本田未央,プロデューサー……もう、残された時間は僅かだね……
ありす,はい。今はこれでいいんです……えへへ
薫,あー！手つないでる！じゃあ、かおるはおんぶー
みりあ,ずるいー！私もー！
モバＰ,うおっ！二人も背負えんって！！
ちひろ,ふふ、気をつけてね～
結城晴,なあ、サッカーして帰ろうぜ。あそこの公園ボール使っていいんだよ。な？
モバＰ,ダーメ。レッスン終わって皆疲れてんの。お前も自覚ないだけなの。昨日のありす達なんかソッコーで寝てたぞ
晴,んだよー。つまんねー。せっかく久しぶりにＰの相手してやろーと思ったのによー
モバＰ,これからはいつでも相手出来るようになるから……っと、もうすぐ事務所だぞぉ。起きろー
佐々木千枝,ふわっ！？千枝は起きてましたよ？おはようございますっ
モバＰ,ふはは、おはよう。雪美ー？仁奈ー？
佐城雪美,千枝…………よだれ…………Ｐ……私は……起きてる…………
千枝,はぅ！
市原仁奈,仁奈も起きてるでごぜーますよ。千枝、袖でゴシゴシするのは駄目でごぜーます。このティッシュを使いやがるです！
千枝,あうぅ……ありがとう……うぅ、二人よりお姉さんなのに……
モバＰ,二人共しっかりしてるなぁ。千枝……どんまいっ！
千枝,むぅぅ！そうやってイジめてると、千枝わるい子になっちゃいますからね！
モバＰ,ごめんごめん。……よし、着いたぞ。気をつけて降りろよ～。……それじゃ、車置いてくるから……って、なんでまた入ってくる！？
雪美,Ｐ……いつでも……一緒…………
仁奈,みんなで帰るでごぜーますよ！
千枝,……千枝はわるい子ですから！
晴,……まあ、ノリで
モバＰ,はは、それじゃ少し歩くようになるけど、一緒に帰るか。ただ今帰りましたー。お迎えは……まだみたいですね
ちひろ,さっきお母さん方に連絡入れたんで、もうすぐ来ると思いますよ
晴,オヤジが来そうだなぁ……あ、おつかれさまでーす
千枝,お疲れ様です。プロデューサーさんがお家まで送ってくれるというのも……
雪美,ただいま…………Ｐ…………私も…………
モバＰ,これからはそういう事もあるかもな
仁奈,ただいまでごぜーます！あ、美優おねーさんが居やがりますっ！
三船美優,ふふ、おかえり仁奈ちゃん。今日はヒツジさんかな？
仁奈,仁奈ヒツジでごぜーますっ。モフモフしやがりますか？
美優,いいの？それじゃ……
仁奈,膝の上に抱っこしやがるです！
美優,ふふ……よいしょ。ふわふわで気持ちいい……
仁奈,美優おねーさんはいい匂いがするです
モバＰ,いいなぁ……
和久井留美,Ｐ君？いやらしい事考えてない？
モバＰ,ち、違いますよ！嫁さんもらって子供できた時、あんな感じで幸せ空間を作れたらなって。美優さんの雰囲気がそう感じさせるのかなぁ？
美優,え！？それはつまり私と…………プ、プロポーズされちゃった……仁奈ちゃん、どうしよう……幸せすぎて、震える……
仁奈,ぷろぽーず？震えるのは会いたくてじゃねーんですか？
留美,はいっ！美優、都合よく捉えない！Ｐ君も、結婚関連の発言には気をつかいなさい！
モバ美優,は、はい
留美,ちなみに私もＰ君と同じこと思ったから。二人で頑張りましょうね
美優,あっ！留美さん、ずるいっ！！
モバＰ,……どうとでも取れる言い方ですね
留美,具体的に言いましょうか？
モバＰ,……お互い頑張りましょう
美優,え？……え！？え！？
ちひろ,大丈夫ですよ、美優さん。プロデューサーさんは逃げただけですから
モバＰ,逃げるって……留美さんという、魅力の塊みたいな人から躱すの、どんだけ大変だと思ってるんですか。スキャンダル、ダメ絶対
ちひろ,勇気あるヘタレってことですね
モバＰ,意味わかんないですよ
雪美,留美…………急に……抱きつかないで…………照れてる？……顔……赤い……
留美,……不意打ちだわ……うふふ
雪美,うあうあ……
ちひろ,プロデューサーさん、女って生き物は面倒くさいんですよ。特に恋なんかしてたら、そらもう
モバＰ,は？……あっ！
美優,Ｐさん……
モバＰ,も、もちろん！美優さんだって、溢れんばかりの魅力がっ！
ちひろ,うわっ……そんな取って付けたよう様に……サイテー
モバＰ,んなっ！女って生き物っていうか、ちひろさんがめんどくせぇ！！
ちひろ,は？美優さん、この人女心がちっとも……
美優,仁奈ちゃん……Ｐさんが、溢れんばかりの魅力って……ふふふ
仁奈,うおー、すげぇモフりっぷりでやがります！
ちひろ,……ちょろい！
晴,なぁ、千枝。これどう思う？
千枝,えっと、寝てるんじゃないかな？……ちょっと悲壮感が漂ってるね
晴,サイバイマンにやられたヤムチャみたいだな。もしくは、みく。……なあ、Ｐ。この人
モバＰ,ん？……ちょっ！楓さん、大丈夫ですかっ！？
高垣楓,……
留美,あぁ、大丈夫よ。美優が海外公演に行くことで温泉旅行がパーになったことに、さっきようやく気づいたのよ
美優,あ、あはは……
モバＰ,なんだ、びっくりした……楓さん、床に寝転んでたら汚いですよ
楓,……
雪美,Ｐ……ん……
モバＰ,お？食べさせてくれるのか？懐かしいなアポロチョコ
ちひろ,最近、誰かしらプロデューサーさんの膝の上に座ってますね
モバＰ,ん～まぁ、懐かれて悪い気はしないですよぼっ！？……雪美、いきなり口の中にチョコ突っ込むのはどーかなーって
雪美,…………はむ。…………Ｐと……間接…………キス
モバＰ,んまっ！おませさんっ！！
楓,……
晴・千枝,！？
ちひろ,そういえば、菜々さん今日からでしたっけ？ダンスレッスン
モバＰ,ええ。バイト終わってから来ますよ。楓さんもダンスは初レッスンですね
楓,……
晴・千枝,ひぃ……
モバＰ,楓さん、菜々さんが着き次第レッスンスタジオに……
楓,プロデューサー……
モバＰ,んはっ！近っ！！
楓,逃げちゃダメです
安部菜々,おはようございますっ！ナナ、初レッスンに向けコンディションをばっちしにあすなろ抱き！？
留美・美優,……
菜々,無視ですっ。早速、芸能界の厳しさがっ！
ちひろ,あ、ごめんなさい。おはようございます。ちょっとアレにびっくりしただけですから、大丈夫ですよ
菜々,でも、あのお二方の目が……
ちひろ,関わなければ、問題ないです
菜々,はぁ……
モバＰ,あ、あの……楓さん？
楓,大きなお仕事ですから、温泉旅行が駄目になるのも仕方ないことです。でも、もう私……温泉の体になってるんです
モバＰ,お、温泉の体？
楓,なので、菜々さんと私、プロデューサーのお留守番トリオで、近場の温泉に行きます
モバＰ,断定！？
菜々,巻き込まれましたっ！ちひろさん！巻き込まれましたよっ！
ちひろ,菜々さんと楓さんは、まだまともにレッスンしてないですから、お留守番も仕方ないですよねー
菜々,そんな事聞いてないですよっ！ほぁぁ、お二方の目線がナナに！ナナにっ！！
留美・美優,……
モバＰ,い、行こうにも、時間が
楓,私知ってます。プロデューサーの担当アイドルも海外行くことになって、余裕の出来たプロデューサーに社長がお休みをくださったのを
モバＰ,何故それをっ！
ちひろ,おもいっきりホワイトボードに書いてありますね
菜々,あ、ほんとだ……って、まだミテマスヨー
留美・美優,……
楓,駄目……ですか？近場ですよ？お手軽ですよ？
モバＰ,う～ん、よく考えたら予定ないし、断る理由ない……か。二人きりじゃないし……
菜々,ハッ！？ナナ解っちゃいました！プロデューサーっ！楓ちゃんっ！ナナ、その日バイトで忙しいですっ！
留美・美優,……
菜々,ビンゴぉ！やりましたよー！
ちひろ,え？レッスン組むのに予定表出して貰いましたけど、その日オフになってる……あ
留美・美優,……
菜々,おにー！あくまー！
楓,ふふ、楽しみですね
モバＰ,菜々さん。もう、新人の軽い親睦会ってことで……諦めてください
菜々,それによって、ナナと先輩方の親睦がっ！
留美,ふふ、ごめんなさい菜々さん。ふざけ過ぎました。これから、よろしくお願いしますね？……Ｐ君は覚悟しときなさい
美優,そうですね……Ｐさん、私も……ね？
モバＰ,ちひろさんの不用意発言による、理不尽が俺を襲う
ちひろ,ほう、では……。雪美ちゃん、楓さんがチョコレート食べたそうですよ？
雪美,楓……ん……
楓,あむ。ありがとう、雪美ちゃん
ちひろ,妻が夫を抱きしめ、娘からチョコを食べさせてもらう一コマっと
モバＰ,おにー！あくまー！ちひろー！！
ちひろ,そして送信
モバＰ,ちょっ！誰に！？誰にっ！？
留美,なるほど……ちひろさん、次は私をお願い。Ｐ君が抱きしめるパターンで
美優,あ、私もそれで……
モバＰ,え！？いやいやっ！それはマズイ……
留美・美優,……
モバＰ,是非やらせていただきます……ただ、誰にも見せないでください。内密に……
留美,ま、いいでしょう。気持ちを込めて抱いてね？
美優,うふ……うふふ、ふふふふふ
仁奈,お、おおお！？モフりがっ！更なるモフりがっ！！
千枝,千枝もやってもらお……
晴,それは……Ｐ、捕まるなよ……
先輩Ｐ,それじゃ、行ってくる。片付けとか諸々頼むな
モバＰ,ウッス。なるべく、そういった雑用は終わらせときますね
卯月,何の話ですか？
モバＰ,なんでもないよ。それより時差ボケ対策は大丈夫か？体調には気をつけろよ
卯月,はいっ！あっちでの様子はメールしますね！
先輩Ｐ,後がつっかえてるぞ。早くバス入れ。ほれほれ
卯月,うひゃ！おしり押さないでください～。プロデューサーさん、行ってきま～す！
モバＰ,おうっ！頑張れよっ！！
双葉杏,杏と乃々は海外バックレ隊を結成しました
森久保乃々,お家に帰りたいと思います……
モバＰ,くるみ、こいつらの事頼むな。これ、餌付け用の飴だ
大沼くるみ,う、うん。がんばりゅ！杏しゃん、乃々しゃん！行きましょう！！
杏・乃々,うあぁ……
前川みく,Ｐちゃんっ！にゃっ！？
向井拓海,はよ、乗れ
村上巴,ほうじゃ、つかえとる
モバＰ,ははっ、気張れよっ！！
拓海・巴,応っ！
財前時子,期待してなさい。世界を跪かせてやるわ
モバＰ,ッス！シャス！！
佐久間まゆ,Ｐさん……離れていても、心はいつも一緒ですよ
モバＰ,ん。いつでも気持ちは傍にいるよ
神崎蘭子,無事大輪の花を咲かせてこよう！
佐藤心,デビュー戦が世界戦ってありえなくね？……はぁと、今更ビビッてみたり☆
上田鈴帆,着ぐるみ着んと、調子出んばい……
モバＰ,佐藤さんの言う通りちょっと珍しいことだけど、自然に人を笑顔に出来る三人なら大丈夫！楽しんでいけっ！
蘭子・心・鈴帆,もちろんっ！
モバＰ,留美さん、美優さん。大変なのは重々承知なんですが、みんなのフォローを出来る範囲でお願いします
留美,Ｐ君のお願いなら、聞かない訳にはいかないわね
美優,はい。フォローされる側になっちゃうかもしれませんが……
モバＰ,ははは。まあ、助け合いってことで
未央,それじゃ、プロデューサー
美嘉,また、二週間後にね★
凛・奈緒・加蓮,行ってきますっ！！！
モバＰ,おうっ！いってらっしゃい！頑張れよっ！！
ちひろ,いってらしゃ～い……さて、私達も頑張りましょうか。夜までに、大雑把な荷物まとめましょう
モバＰ,……なんか夜逃げを指南するプロの人みたいですね
ちひろ,誰がですかっ！
モバＰ,え？ちひろさん
ちひろ,最近、私に対して遠慮が無さすぎだと思いますっ！
モバＰ,本当の意味で信頼できる人なんですよ、俺にとってのちひろさんは。そんな人に遠慮なんて……出来る訳がないっ！
ちひろ,力強く何言ってるんですかっ！信頼とか……もう！ほんとに馬鹿ですねっ！
モバＰ,あれ？照れてる？
ちひろ,照れてません！私はそんなチョロい女なんかじゃありません！
モバＰ,そうですよね。でも、本気で信頼してますからね？ついでに言えば、好きな人にはちょっかいを出したくなるもんですよ、男ってのは
ちひろ,好っ！？……っ！
モバＰ,うぇ～い！照れてる照れてるぅ。うぇははは
ちひろ,くぅ！バカバカバカっ！プロデューサーさんの馬鹿ぁ！！
モバＰ,ちょっ！やめっ！ごめっ！！んはぁ！！
ちひろ,ばかぁ……
モバＰ,あ……
晴,……………………こんなとこで何してんだ？コントか？見てらんねぇぞ
モバちひ,！？
菜々,ヒューヒューだよっ！ヒューヒュー！熱い熱いっ！！
晴,お前も何言ってんだ？…………ほんと何言ってんだ？？
菜々,！？
モバＰ,そろそろ撮影終わるころかな？ちひろさん、楓さんと菜々さん迎えに行きますので、ちびっ子達のことしばらくお願いします
ちひろ,はーい。こずえちゃん、プロデューサーさんお出かけするから、おんぶ終わりね？
こずえ,……ふわぁ。おかたづけはー？おわりー？
モバＰ,帰ってきたら、また始めるよ。ほれ、次は晴がおんぶしてくれるぞ
晴,は！？お前なに言って
こずえ,んー、わかったー
晴,のわぁ！！
みりあ,こずえちゃん、おんぶお化けだぁ！あははっ
薫,かおるもー！
みりあ,ひゃあ！ありすちゃん、助けてー。あはははっ
ありす,楽しそうですね……ん？
仁奈・雪美・千枝,……
ありす,……いや、しませんよ？
仁奈・雪美・千枝,……
ありす,なっ、なんですか……千枝さんまで、そんな
千枝,千枝わるい子だから……
ありす,便利ですね！それっ！Ｐさんっなんとか言って
モバＰ,それじゃ、行ってきまーす。みんな仲良くしろよー
ありす,ちょっ！待って……ひゃあぁぁぁ…………
モバＰ,……仲良きことは美しきかな。ありす、ファイト☆。ちょっと早かったか。コーヒーでも飲もうかな。自販機は……発見。ん？
輿水幸子,困りましたね……がっちりホールドされてますし
依田芳乃,ここにいるのが、いいのでしてー
モバＰ,かわいい子達だな。姉妹？友達？……ま、いっか。あんまり見てると通報されかねん
幸子,こんな小さな子、ほっとく訳にもいかないですし……
芳乃,わたくしのほうが、大きいのでしてー。お姉さんなのでしてー
幸子,むう～……あ、ちょっとそこの人
モバＰ,コーヒーのボタン押したら、コーラが出てきやがった……くそう、この自販機、韻を踏んでるつもりか
幸子,ちょっと！このカワイイボクが呼んでるのに無視するなんて、何様ですかっ
モバＰ,コーヒープッシュするお前に、コーラをプッシュ。故障？補償？お前の器に失笑、苦笑、俺、圧勝。ヒェア！ヒェア！
幸子,急に手を振り出して、馬鹿にしてるんですかっ！
モバＰ,え！？やべ、恥ずかしっ！……って、俺を呼んでたの？
幸子,そうですよ！まったく……こんなカワイイ子の呼びかけに気付かないなんて、ありえませんよ？
モバＰ,おおう、すごい自信だな。で？どうしたの？
幸子,この子、迷子みたいなんです。声掛けたら、捕まっちゃいまして。カワイイボクと一緒に居たい気持ちはわかりますけど、流石に困ってるんです
モバＰ,なるほどね。……君、お名前は？
芳乃,わたくし依田は芳乃でしてー。あと、迷子ではないのでしてー。むー？あぁー、そなたでしたかー
モバＰ,ん？俺？
芳乃,そなたに会うために、わたくしはここに導かれたのでしてー
モバＰ,そっかそっか。う～ん……どうしよ？
幸子,ボクに聞かれても……
芳乃,目的は果たせたのでー、今日は帰りますゆえーまた後日ー
モバＰ,え？……いない
幸子,不思議な子でしたね……あ、そうだ時間……って間に合う訳ないか。仕方ないですね
モバＰ,？
幸子,……あ、本日そちらでオーディション受ける予定の輿水幸子と申します。諸事情によりそちらに伺う事が出来なくなった為、辞退したいと……はい、お手数おかけします。失礼します……ふぅ
モバＰ,……
幸子,なんですか、その顔
モバＰ,いや、ちっさい割りにしっかりしてるなぁ、と
幸子,失礼ですね。……次、探さないと
モバＰ,オーディションってタレントさん？
幸子,いえ、アイドル志望で所属事務所を……って、あなたには関係ないです
モバＰ,まあまあ。ちなみに、どこ受けたの？
幸子,なんですか、もう。まぁ、暇になったから少し付き合ってあげますよ。961プロです。書類審査は通過したんですよ。当然ですけど！ふふんっ
モバＰ,大手だね。なんで行かなかったの？
幸子,何言ってるんですか、あなたも当事者じゃないですか
モバＰ,いや、俺が関わったのほんの数分だし。時間に遅れるくらい、あの子と一緒にいたんでしょ？適当に切り上げようとは思わなかったの？
幸子,思いませんよ。普通に考えて、ほっとける訳ないでしょう。そんな事もわからないなんて、可哀想な人ですね！
モバＰ,ふんふん、なるほど……でも、アイドルになりたいんなら、事務所は重要だよ？いいの？
幸子,ふふーん！ボクくらいカワイイと、所属事務所なんてすぐ見つかりますから、いいんです！
モバＰ,はは、そうか。……うんっ！だったら、うちのオーディション受けてみないか？
幸子,は？
モバＰ,実は俺、アイドルのプロデューサーなんだ。今度、大規模なオーディションが……
幸子,いきなり何言ってるんですか。胡散臭すぎますよ。通報しますよ？
モバＰ,ま、待て待て！確かにこの流れは都合良すぎっていうか、怪しさ満開って俺も思うけど、事実だからっ！
幸子,むぅ……じゃあ、どこの事務所ですか？誰が所属してるんですか？
モバＰ,NGとかTPとか……
幸子,……何で事務所名を言わないんですか
モバＰ,え？
幸子,事務所
モバＰ,……来て貰えればわかるかなと
幸子,行くわけないでしょ！怖すぎますよ！
モバＰ,ですよねー……
幸子,はは～ん。さては、カワイイボクの気を引きたくて、そんな嘘を……ふぅ、ボクのカワイさも罪ですねぇ
モバＰ,事務所名を言えん理由あるんだけど……ん？今、何時だ？
幸子,スルーしたあげく、スマホ弄りだすとは何事ですかっ！いい歳して女の子の扱いを知らないなんてっ！
モバＰ,え？……あぁ、このコーラあげるからちょっと待ってね。346プロ、アイドル……
幸子,んなっ！？こ、この……ふ、ふんっ！まあ、いいです。喉渇いてたし……
モバＰ,おっ！やっぱり発表されてる
幸子,フギャー！？
モバＰ,ぁー………………うちの事務所、346プロと統合する事になってね？これね？社会的にデカイ出来事でね？発表されるまで言えなくてね？
幸子,……
モバＰ,346プロってアイドル部門がなくってね？あ、うちの社長、実は346プロの元社長なんだって。趣味でうちの事務所やってて、まあ346プロの傘下で
幸子,……
モバＰ,それで、昨今のアイドルブームと、海外公演までする凛達の活躍にね？本丸の346プロも黙ってられなくてね？社長も部長で現場に復帰的な？
幸子,……
モバＰ,部長なのに、346プロの重役がペコペコしてるんだよ？……いろいろ力技だよね。うん、まあ……細かいとこは気にしないでくれると……ね？あはは……はは……
幸子,……
モバＰ,……346プロのモバＰです。ぜひ、オーディションに
幸子,346プロの輿水幸子です。よろしくお願いします
モバＰ,え！？いやっ！オーディション……
幸子,よろしくお願いします
モバＰ,オーディ……
幸子,事務所……行きましょうか
モバＰ,はい……
菜々,プロデューサーが女の子に連行されてます。お迎えは……
楓,駐車場に行ったんですよ。車が来るまで、ここで待ってましょう。ふふっ
菜々,あはは…………？？
