花園たえ,ふんふんふふーん♪
たえ,そっか。ならよかった
沙綾,……何がよかったんだろ。というか、すごく嫌な予感がする。劇中？のあなたの好物とかから、ものすごく嫌な予感がする
たえ,じゃあそろそろ本番だね
沙綾,……本番？
たえ,そう、本番
沙綾,おたえ？ちょっと、近くないかな？
たえ,大丈夫だよ
沙綾,何が大丈夫なのかちゃんと説明が欲しいかなぁ。あとさ、ちょっと聞きたいんだけど
たえ,なに？
沙綾,さっきのおたえの演技の中のさ、あなたの好物についてなんだけど……私の好きな食べ物と似てない？
たえ,ああ、それは沙綾だから
沙綾,えぇ、っと……。当たり前だよ。ちょっと落ち着いて話をしよう、おたえ。出来ればもう少し身体を離してさ
たえ,……？沙綾、私のこと嫌い？
沙綾,えっとね、嫌いじゃないよ？でもさ、今は好き嫌いとか関係ないんじゃないかなって思うんだ
たえ,嫌いじゃないなら問題ないね
沙綾,いや絶対あるよね？。まずは話し合おう？ね？ほら、まだちょっと気になるところがあるんだ
たえ,気になるところ？
沙綾,そ、そうそう。正直確認するのがちょっと怖いんだけどさ、さっきのおたえの話でいうあなたが……百歩譲って私だとしてさ？
たえ,うん
沙綾,ポピパのみんなって言葉もあったよね？
たえ,うん
沙綾,おかしいよね？ポピパの中には私もいるし、そしたら私が２人いることになるじゃん？
たえ,……！！
沙綾,ね？色々おかしいでしょ？
たえ,沙綾が2人……ポピパ沙綾と……社会人になって社会の荒波に揉まれて少し疲れちゃって未成年と恋愛関係になってることに苦悩して好きなんだけど相手のことを想って別れ話を切り出す沙綾がいるなんて、お得だ
沙綾,……え？。そんな設定があったの……？
たえ,でもどうしよう。どっちの沙綾にすればいいんだろ
沙綾,あの、おたえ？
たえ,うーん……まぁそれはあとで考えればいいか
沙綾,おーい……
たえ,あ、ごめんね。ちょっと考えごとしてた。沙綾はやっぱり目の付け所がいいね。そういうところ、すごく素敵だなって思うよ
沙綾,ああうん、褒めてくれるのは嬉しいけどさ……ちょっと離れようか、おたえ？
たえ,え、なんで？
沙綾,なんでって、ほら、もうさ、ほぼ密着してるよ？おかしいよね？友達の距離じゃないよねこれ
たえ,…………
沙綾,……おたえ？
たえ,大丈夫。私とギターは一緒だから
沙綾,待って、本当に意味が分からな――ちょ、近いって！ちょっと落ち着こう、おたえ！？
たえ,どんしんくふぃーる♪秘密のーはなーぞーのー♪
沙綾,いやいやいや！怖いって！いまそう歌われるとすごく怖い！
たえ,沙綾、私のことが嫌いじゃないんだよね？ならいいよね？近くてもいいよね？
沙綾,また目のハイライトが消えた！？
たえ,千聖先輩に教えてもらったんだ、消し方。そっちの方が魅力的よ、おたえちゃんって
沙綾,あの人はなんてことを……
たえ,さぁ、不可思議な夢の世界、描こう？
沙綾,い、いやいやいや、ちょっと、それは色々マズイって！ちょ、待って、近っ、近い！ちょ、ま……ちょま……
たえ,のーうぇいあー♪出口はーないーかーらー♪
沙綾,あ、これはもうダメなやつかも……。い、いや、諦めちゃダメだ！
たえ,大丈夫。大丈夫だよ。ちょっと別れ話をしよう？
沙綾,絶対大丈夫じゃないって！離れてって――わっ！？
たえ,わー
沙綾,私たちの距離を離そうとおたえの肩を押したら、意外なほどあっさりとおたえは身を退いてくれた。そして勢い余った私はそのままおたえを押し倒すような形で床に転んでしまうのだった
たえ,…………
沙綾,あ、その、ごめ――
たえ,そっか。沙綾は押し倒す側が良かったんだね
沙綾,違うよ！？
牛込りみ,明日までの宿題、教室に忘れてたぁ……
沙綾,あっ
りみ,あっ
たえ,あ、りみ。さっきぶりだね
沙綾,私とおたえを見て固まるりみりん。私も固まる。おたえだけ平常運転だった
りみ,…………
沙綾,い、いや、これは違うんだよ、りみりん
りみ,いいなぁ。私も沙綾ちゃんに床ドンされたいなぁ
沙綾,えっ
たえ,あ、代ろうか？
りみ,いいの？ありがとう、おたえちゃん
沙綾,……なんでそうなるの！？
