【艦これ】提督,最高練度に達した艦娘が、ことごとく無気力になっている
愛宕,あらー、私は別にこれでもいいのよ？
高雄,だ、め、で、す！
提督,助かったよ
愛宕,あらー、私は別にこれでもいいのよ？
提督,じゃあ早速
愛宕,そうだ用事があったんだわちょっと失礼するわね
提督,･･･逃げられた
高雄,そりゃそうよね、あの子の経験なんてみんなと差がないんだもの
提督,せっかくだから･･･
潮,これが･･･、あすなろ抱き！。あ、あの！
提督,んあ？
潮,ひ、火を、おつけします！
提督,ん･･･？タバコの？
潮,はい！
提督,･･･。うん。おねがい、するよ
潮,はい！。で、では！。えーい
提督,･･･
潮,あれ･･･？。えーい！
提督,･･･。同じスペックのはずなのに･･･、こんなに違うんだ
潮,あれぇ･･･。おかしいな･･･
提督,潮
潮,す、すみません！すぐ点けますから！。えーい！。どうしてぇ･･･？
提督,潮
潮,ふあっ
提督,うしお、おちついて。いっしょに、やろう
潮,･･･はい。あれ、これって･･･マンガで読んだ･･･。でも･･･。提督･･･。ふふっ･･･
提督,どうした？
潮,いいえ･･･
提督,じゃ、やるよ
潮,はい。共同作業･･･
提督,箱のほうは動かさず
潮,動かさず
提督,棒のほうだけ
潮,棒のほうだけ
提督,すりつける
潮,わ
提督,ね
潮,はい！。あの、もう一回
提督,よし
潮,で、ではっ。潮、いきます！
提督,うん
潮,えーい！。ええー！？
提督,あはははは！
潮,ごめんなさい･･･
提督,いいもの見られたし、全然大丈夫だよ
潮,･･･？はい。みんなの、ために。私が、ＭＶＰでよかったんでしょうか
提督,漣･･･、”やられたフリ”はバレてるっぽいぞ
潮,みんなで勝ったのに。･･･評価は、潮だけなんて
提督,そうだ
潮,･･･提督？
提督,みんながそれぞれの役割を果たし、勝った。潮も、誇ってほしい
潮,･･･はい
提督,勝利も、敗北も、つらいことも、たのしいことも。皆の、ものだ。私の、誇りだ
潮,はい！。投錨
射出型の錨、明石命名,パイルアンカー
潮,機関、停止。ふぅぅー･･･。―――。あと、すこしで。左腕に、直撃。左足。機関部。見えた、ここ！。てーっ！。そしたら、提督が後ろから抱きしめて
朧,･･･
潮,あったかくて
曙,･･･
潮,恥ずかしくって、でも離れたくなくって
漣,んふふ～
潮,･･･あれ、朧ちゃんと曙ちゃんは
漣,とっくに出て行ったよ～。行こっか
潮,う、うん
朧,･･･
曙,･･･
漣,･･･
潮,･･･
提督,大淀さん、この資料は･･･
大淀,提督、ダメですよ。大淀、とお呼びください
提督,ああ、そうでしたね。大淀
大淀,はい、･･･もう一度
提督,大淀
大淀,提督
提督,大淀
大淀,提督
朧,･･･なんでしょう、この胸の中のザワザワは
曙,あたしが一番って言ったくせに！
漣,なんでイチャイチャを見せられてるのかな～･･･
潮,いいなあ･･･
大淀,ひらり
提督,あ痛ーー！
霞,わたしたちは、しつむしつで、あばれました
満潮,バッカじゃないの
朧,朧、行きます！
曙,曙、出撃します！
漣,漣、出るっ！
潮,潮、まいります
