戸山香澄,あーお腹減った～！やっとお昼休みだね～！
香澄,なになに？気になるな～有咲と燐子先輩の昔話！ねぇねぇ聞かせて有咲ぁ～！
有咲,いや昔話ってほどのもんじゃないし、それに……お前と北沢さんみたいな話じゃねーし
香澄,私とはぐみたいな話じゃないって？
有咲,……あんま聞いてて気持ちのいい話じゃねーってことだよ
燐子,…………
紗夜,白金さんもそういう記憶、なんですか？
燐子,い、いえ……わたしはどちらかというと、助けられた記憶だと……
香澄,燐子先輩はこう言ってるよ？
有咲,そりゃ……気持ちのいい話じゃねーのは私の身の上話だからな
香澄,そうなの？でも有咲のことなら何でも知りたいなぁ
有咲,おまっ、そういうこと真顔で言うなよ……照れんだろ……
香澄,ねぇねぇ有咲～、昔話、聞いてみたいな～
有咲,……まぁそこまで言われたら話すけどさ
紗夜,市ヶ谷さん、それは私も聞いて大丈夫な話なんでしょうか。踏み入った話であれば私は席を外しますが
有咲,あー、えっと、大丈夫です。もう昔の話なんで。それより、ほんとあんま明るい話じゃないんで……氷川先輩はそれでもいいですか？
紗夜,はい。白金さんの子供の頃、というのにも興味がありますから
有咲,……分かりました
燐子,市ヶ谷さんがあの時のありさちゃんなら……公園の話とか、かな……？
有咲,ええ、まぁ。というか……やっぱり白金先輩がりんちゃんだったんだ……
香澄,ありさちゃんにりんちゃん？
有咲,昔そういう風に呼び合ってたんだよ。ただ、名字はお互い知らなかったし、そもそも私はその子の名前をりんだと思ってたからさ
燐子,うん……なんだか懐かしいな……
有咲,で、なんだ。私と白金先輩が出会った経緯なんだけどな――。こう言っちゃなんだけど、私は裕福な家庭に生まれたと思う。ばーちゃんが流星堂を経営してるし、父さんもいいとこ勤めだったからさ。そんで、私は昔から体を動かすこと以外は得意だった。勉強とか、歌を歌ったりとかな。まぁそれもみんなが……つか、父さんと母さんが褒めてくれるからどんどん上達していったっていうか……そういうのが主な理由だったんだ。香澄は知ってるけど、私、小学生の頃はピアノ習ってまして……
香澄,確か中学受験で辞めちゃったんだよね？
有咲,そう。んで、そのピアノを始めたきっかけが、小学１年生の時に鍵盤ハーモニカが上手いって褒められたから
ありさ,おとーさん、おかーさん！わたしね、せんせいにほめられたんだ！ありさちゃんは上手に弾けるねって！
有咲父,そうかそうか！有咲は将来、プロのピアニストかなぁ
有咲母,もう、あなたったら……
ありさ,えへへ。あ、そうだ！２人にもきかせてあげるね！
父,ほぉ、楽しみだなぁ
母,ふふ、そうね
ありさ,それじゃあいくよ～！。……どう？
父,うん、すごく上手いぞ有咲！やっぱり有咲は天才だなぁ、お父さん感動しちゃったよ！
ありさ,えへへ～
父,はは、愛いやつめ～
ありさ,きゃー！もー、くすぐったいよー！
有咲,まぁ、子供だったからさ。やっぱ、そうやって親に褒められるのってすげー嬉しかったんだ。だからもっともっと父さんに褒められたいなんて思って、ピアノ教室に通うようになったんだよ
紗夜,そこで白金さんと出会ったんですか？
有咲,はい。……あ、いや、出会ったってほどじゃなかったんですけど……
燐子,確か……毎週月曜日、だったかな……。その日はわたしと市ヶ谷さんが……ちょうど入れ替わりでピアノ教室があって……
有咲,私のピアノ教室が終わって、帰る時に白金先輩が来るって感じでしたね
燐子,その時は全然話したりとか……してなかったんですよね……
有咲,そうですね。私はただ次の時間の女の子って思ってただけでした
香澄,それなのに公園で遊んだ記憶があるの？
有咲,いやな、本当に遊んだっていうほどのものでもないんだよ
燐子,その辺りは……わたしが話しますね……。わたし、小さいころから引っ込み思案でした……。新しいことを始めるのも苦痛でしたし、知らない人がいるところも……怖くて嫌い……でした……。小学校でも……いつも教室の隅で本を読んでいました……。だから……友達と呼べる人もいなくて……。両親は……そんなわたしの性格を直そうと、ピアノ教室に通わせてくれたんです。でも、やっぱりそれも苦痛で……。ある日……両親には内緒で……サボっちゃったんです。ピアノ教室から逃げ出して、近くの公園で……佇んでいました……
有咲,私もいつも入れ違いでくる子がいないな、って思ってたんですけど、まぁそういう日もあるかって思って。そしたら、家に帰る途中の公園で、ブランコに座ってボーっとしてるその子を見かけて……
りんこ,…………
ありさ,……ねぇ
りんこ,っ！？
ありさ,あ、ごめんね。びっくりしちゃった？
りんこ,…………
ありさ,あなた、いつもピアノ教室にくるひとでしょ
りんこ,……あ……いつも……わたしのまえにピアノ弾いてる……
ありさ,うん。どうしたの？きょうはおやすみの日？
りんこ,…………
ありさ,……となりのブランコ、すわるね
香澄,有咲から声かけたんだ。珍しいね
有咲,私もこの頃はまだ素直だったから……。子供心ながらにさ、話したことはないけど知ってる人だから、困ってるなら助けてあげなくちゃ……みたいに思ったんだよ
香澄,今もそれくらい素直ならよかったのにね！
有咲,う、うるせー！今はそれはどうでもいいだろ！。……それにな、正直その子をどうこうしたいってより、きっとそうすればまた父さんと母さんが褒めてくれるって思ってたんだよ、私。我ながらなんて打算的なクソガキだと思うけどさ……
燐子,でも、わたしはその優しさに……助けられました……
紗夜,そうなんですか？
燐子,はい……。嫌なことから逃げて、両親を裏切ったような気持ちで……消えてなくなりたいって、その時は思ってましたから……
有咲,…………
香澄,そうだったんですね。有咲ってばやさしー！
有咲,……まぁ、うん
ありさ,わたし、ありさ
りんこ,え……？
ありさ,あなたは？
りんこ,え、えっと……わ、わた、し……りん……こ……
ありさ,ふーん、りんちゃんっていうんだ
りんこ,えっ……ち、ちが……
ありさ,ねぇねぇりんちゃん。この前ね、ピアノのせんせいがこうやって弾くんだよっておしえてくれたところがあるんだ
りんこ,…………
ありさ,でもさ、わたし、よくわからなかったんだ。りんちゃんはわかる？
りんこ,え、あ……そ、それはこうして……
ありさ,ふんふん……あーなるほど！
りんこ,ひゃっ……
ありさ,あ、おおきな声だしてごめんね？びっくりしちゃった？
りんこ,う、ううん……
ありさ,そっか、よかった。えへへ、りんちゃんってすごいね
りんこ,え……？
ありさ,わたしもせんせいに上手だねってほめられたけど、わたしよりりんちゃんのほうがもっと上手そうなんだもん
りんこ,そ、そう……かな……
ありさ,うん！りんちゃんすごい！
りんこ,あ……えと……あ、ありがとう……
ありさ,どういたしまして！
燐子,そうやってわたしの隣に座って……ずっとお話してくれました……。わたし……学校でもずっと１人だったから……それがすごく嬉しくて……。しばらくしたら、お母さんがわたしを迎えに来て……すごく怒られました。でも……全然反省してませんでしたね……。ありさちゃんが……とても優しくしてくれて……友達になってくれましたから……。……わたしの初めての友達。あこちゃんみたいに一緒に遊んだり……っていうことはなかったけど、普通にお話が出来る友達……。本の中でしか知らなかった、友達っていう響きが嬉しくて……心が明るくなってましたから……。ありがとうございます……市ヶ谷さん
有咲,い、いえいえ……私、白金先輩の名前間違って覚えてましたし……
燐子,ううん……。りんちゃんって、友達同士の呼び方みたいですごく嬉しかったんだ……
有咲,ま、まぁ……白金先輩がそれでいいならいいですけど
香澄,あっ、有咲、いま照れてるでしょ？
有咲,ああもうさっきからうっせー！いいから続き話すぞ！
燐子,ふふ、そうだね……。それからわたしとありさちゃんは……ピアノ教室の入れ替わりの時間にお喋りをするようになりました……。本当にちょっとのことでしたけど……わたしはその時間がすごく楽しみで……
有咲,学校は違いましたもんね
燐子,うん……同じだったら良かったのになぁって、すごく思ってたよ……。でも、そのおかげで……ありさちゃんとたくさんお話ししたくて……共通の話題だったピアノにどんどん打ち込むようになっていって……。クラシックとかも聞いて……家でも練習したりして……そうしたら、いつの間にかにピアノも好きになってました。わたしがこうしてロゼリアに巡り合えたのも……ありさちゃんのおかげ、だね……
有咲,そ、そんなことないですよ……
紗夜,いいえ、市ヶ谷さんがいたからこそ白金さんがロゼリアのメンバーになるという未来が出来たんです。ありがとうございます、市ヶ谷さん。白金さんがいなければ、今のロゼリアはありませんから
有咲,え、ええと……どういたしまして、なのかなぁ……？
燐子,わたしは……本当に感謝してるよ……？。でも……それからもピアノ教室には通ってたけど……ありさちゃん、来なくなっちゃったよね
有咲,あー、まぁ……
香澄,そうなんですか？
燐子,はい……わたし、すごく寂しかった記憶があります……
有咲,まぁ、その、ちょっと事情があって
香澄,事情？
有咲,…………。香澄、最初に私の蔵に来た時のこと、覚えてるよな？
香澄,うん！キラキラした星のシールが貼ってあって、それを辿ったら有咲の家に着いたんだ！。あのシールって有咲がピアノで曲を弾けるようになったら貰ってたやつなんだよね？
有咲,そうだ
燐子,星形のシール……懐かしいな
有咲,白金先輩も覚えてますか
燐子,うん……
有咲,私はあれをピアノ教室から家までの気に入った場所に貼っていたんです。いつかそれを父さんと母さんに見せて、褒めてもらおうと思ってました。こんなに弾けるようになったんだ、すごいだろ、って
香澄,へー、そうだったんだ！
有咲,ああ。んで、そのシールがもう家の近くまで繋がりそうだ、って時……だったかな。父さんが病気で死んだんだ
香澄,……え？
紗夜,亡くなられた……んですか
有咲,ええ、はい。その、本当に聞いてて気持ちのいい話じゃないんですよ。ごめんなさい
燐子,そ、そんな謝ることじゃ……
紗夜,むしろ私たちこそ……
香澄,…………
有咲,ああもう、気にしないでくださいって。ほんと昔の話なんで
紗夜,……急に体調を崩されたんですか？
有咲,いえ……まぁ、なんていうか……父さんも母さんも私に心配かけさせたくなかったんだと思います。いっつも冗談めかした口調で、お酒の飲みすぎだって医者に怒られちゃったとかなんとか言って病院に通ってて……ほんと、子供がそんなん言われたら信じるしかないじゃないですか。それで……父さん、気付いたら入院してて、気付いたらもう……
燐子,…………
紗夜,…………
有咲,子供って、死の概念なんてそんな現実味がないんだと思います。朝起きれば、どこかに出かければ、父さんの会社に行けば、運動会とかそういうイベントがあれば……。ひょっこり父さんが顔を出して、いつもみたいにふざけた調子でさ、よく頑張ったな、有咲！流石俺の娘だ！なんて言うじゃないかって……普通は思うんでしょうね。けど私は無駄に小賢しかったから、もうパッと理解しちゃったんです。どんなに頑張ったって、どんなに良いことをしたって、父さんはもう二度と私を褒めてくれない。そう思うと……急にやる気がなくなっちゃったんですよ。全部、バカらしいなって。学校でどんなに勉強したって、ピアノがどんなに上手くなったって、意味ねーんだもん。褒められたくて頑張ってたのに、もう褒めてくれねーんだもん。ホント小賢しいだけのクソガキでした。そういうことばっかり気が付くのに、自分のバカみたいに狭い視野には気付けねーんですよ。……私にとっての生きがいは父さんと母さんの２人に褒められること、それしかねーんだって……もう頑張る理由がなくなっちまったんだ、なんて思い込んでたんです。だから、それからは本当に全部が虚しくて、学校でもどんどん口数が減って、ぼんやりとしてる時間が増えて……それでも勉強の要領は良かったから教科書読んでるだけでテストは満点取れて……。なんで学校なんか通ってるんだろって思うようになったのはそれから。クラスメートの今日はお父さんが遊んでくれるとか家族でご飯食べに行くんだって話し声がやたら耳につくし、そいつら何も悪くねーのに私はイライラするし。本当……思い出すだけで嫌な汗が出てきますよ。そんで、私を心配してくれるクラスメートとかも無視して、そしたら次第に孤立していって、まぁ人と話す気分じゃねーしその方が楽でいい、とか開き直ったふりして……結局、学校にあんま行かなくなりました。ピアノ教室にも顔を出さなくなったのはそん時です
燐子,そう……だったんだ……
有咲,……はい。私が一番荒れてた時期でしたから。でも……そんな時でも、やっぱり母さんとばーちゃんには心配かけたくなかった。だから朝は時間通り出かけるんですよ。行ってきます、って、ランドセル背負って。だけど学校には行かないで、図書館とか公園とかで時間潰して、下校時間を見計らって家に帰る。そんで、今日も楽しかったんだって嘘をついてました。……今考えれば、それもバレバレだったろうな。バレてねーはずがねーよ。絶対に学校から連絡が行くだろうし。でも母さんはそう、良かったねって笑顔で言ってくれたんだ。……ばーちゃんもさ、シレっと私のランドセルにおにぎりとか飲み物入れててさ……学校には給食あんのに。そうやって、私の嘘に騙された振りをしてくれてたんだ。ホント、余計な心配ばっかかけさせてた。でもその時の私はうまく騙せてるって思ってた。馬鹿なガキだよ。意地っ張りで、強がりで、嘘まみれのクソガキだ
燐子,……じゃあ……朝の公園で会ったことがあるのも……
有咲,はい、その時です。行く場所もなくて、途方にくれてた時……です
りんこ,さいきん……ありさちゃんこないな……。なにかあったのかな……
ありさ,…………
りんこ,あれ……？ありさちゃん……？
ありさ,…………
りんこ,あ、ありさちゃん……！
ありさ,っ！……りん、ちゃん……
りんこ,そ、その、ひ、ひさしぶり……だね
ありさ,…………
りんこ,ピアノ教室……さいきんきてないけど……なにかあったの……？
ありさ,…………
りんこ,…………
ありさ,…………
りんこ,あ、あの……がっこうは……？
ありさ,べつに
りんこ,えっ……
ありさ,…………
りんこ,……ありさちゃん……だいじょうぶ……？かおがこわくなってるよ……？
ありさ,……さい
りんこ,な、なにかあったなら……おはなし――
ありさ,うるさいっ！
りんこ,ひゃっ！？
ありさ,あ……。……っ。……りんちゃんにはかんけいないから。どっかいって
りんこ,あ、ありさちゃん……？
ありさ,どっかいってよ！
有咲,あの時の私はそうやって色んな人を突っぱねてました。その……すいませんでした、白金先輩
燐子,う、ううん……
有咲,でも……白金先輩は私の傍にいてくれましたね
燐子,放っておけなかったから……前はわたしが助けられたから……今度はわたしがありさちゃんを助けるんだって、思ったんだ……
りんこ,……っ！
ありさ,なんでとなりにすわるんだよ、どっかいけよ！
りんこ,い、いかない……！
ありさ,……なんで
りんこ,ありさちゃん、こまってるから……こんどは……わたしが……！
ありさ,こまってねーよ！……ほうっておいてよ
りんこ,や、やだ……！
ありさ,ほうっておいて
りんこ,ぜったいに……やだ……！
ありさ,……なんでだよ……
りんこ,ありさちゃんが……しんぱいだから……そばにいるもん……
ありさ,っ、そんなの、たのんでない！！
りんこ,っ！
ありさ,いいからほうっておいてよ！さっさとがっこういけよ！！。そんなんじゃまたしかられるぞ！おかあさんと、っ、……おとうさんに！！
りんこ,いいもん……！
ありさ,よくねーだろ！
りんこ,いいの……！
ありさ,なんだよ、それ！
りんこ,わかんないっ……
ありさ,はぁ……！？
りんこ,わかんないけど……ありさちゃんが……なきそうだもん……！
ありさ,っ、ないてねーし！
りんこ,なきそうだもんっ……
ありさ,ぜんぜん、こんなのないてるうちにはいんねーから！
りんこ,でも……そばにいるもん……！
ありさ,なんだよ……なんなんだよ……おこられてもしらないからな！
りんこ,おこられてもいいもん……
ありさ,……もういいよ……かってにしろよ……
りんこ,かってにするもん……
ありさ,…………
りんこ,…………
有咲,それからずっと、私の隣にいてくれましたね
燐子,ありさちゃんが……心配だったから……
有咲,……ありがとうございます。さっき白金先輩が言ってたみたいに、あの時の私はどこかに消えていなくなりたい気持ちでした
燐子,え……？
有咲,まるで嘘の固まりみたいな私を、綺麗さっぱりこの世界から消して欲しいって……ずっと思ってました。あの時は……本当に辛かった。朝起きるのも、学校に行く振りをするのも、母さんとばーちゃんの笑顔を見るもの、全部が苦しくてしょうがなかった
燐子,ありさちゃん……
有咲,だけど一番辛いのは……辛いと思われることでした。ガキだったから。ホント、ただの生意気なクソガキだったから。辛いんだね、大変なんだね……って、そうやって同情されるのが癪に障って、余計に居たたまれなくなって……。だからりんちゃんにも酷いことばっかり言って……
燐子,…………
有咲,……でも、本当は嬉しかった。そうやって私のことを心配してくれるりんちゃんの存在が。その時の私は……クラスメートを突っぱねて、もう独りになってましたから。どんなに憎まれ口を叩いたって、無視してたって、ただ黙って隣にいてくれたことが……すごく嬉しかったです。少し……救われた気持ちになりました。それでようやく自覚したんです。こんなことしてたって何にもなんないし、バカなことやってんな、私……って。りんちゃんまで傷付けてなにやってんだって、自分がどんだけ小さい存在なのか思い知らされました。だから母さんとばーちゃんに嘘をつくのは、その日が最後になりました
ありさ,……もうかえる
りんこ,え……？
ありさ,わたしは１人になりたかったのに……ここにいるとりんちゃんがいるから
りんこ,あ……ご、ごめんなさい……
ありさ,べつに
りんこ,あ、あの……ありさちゃん……！
ありさ,……なに
りんこ,ピアノ教室で……まってるから……
ありさ,……そう
りんこ,また……ね……？
ありさ,…………。……うん
燐子,……それがわたしたちの最後の思い出、だったね……
有咲,……はい。それから、家に帰った私は母さんとばーちゃんに今までのことを正直に話して……少しだけ学校を休んで、色々と心を入れ替えたんです。……けどまぁ、相変わらず勉強は出来てたし、あんま学校に行く気にはならなかったんだけど
紗夜,それが最後の思い出……と言っていましたが、ピアノ教室で会わなかったんですか？
有咲,ええ、なんというか、間が悪かったんですよ。ピアノ教室にまた通いだしてから、月曜日に入れ替わりでりんちゃんが来ることはなかったんです
燐子,実は……あのあとすぐ……わたしが都市開発の関係で引っ越さなくてはいけなくなってしまって……
有咲,私もピアノの先生にそれとなく聞いたら引っ越すから辞めましたって言われちゃって……すごく後悔しました。あれがお別れなら、もっとちゃんと話せばよかったって
燐子,ありさちゃんとは……ピアノ教室と公園でお話しかしてませんでしたから……お互いの家の場所も知らなかったんです。引っ越し前にどうにかして会えないかなって……思ってたんですけど……
有咲,……ついぞ出会うことなく、って感じでしたね
紗夜,そうだったんですね……
有咲,その、言うのが遅くなっちゃいましたけど……白金先輩。その節は非常にご迷惑をおかけしました。それと、ありがとうございました。あの時、隣に白金先輩がいてくれなかったら……あのままずっと腐ってたかもしれません
燐子,う、ううん、わたしこそ……。ありさちゃんのおかげでピアノに一生懸命になれたから……。あこちゃんに出会って、ロゼリアに入れて……それからいろんなことを経験出来て……わたしも変われたんだ……。だから……ありがとう、ありさちゃん
有咲,い、いえ、私の方こそ……
燐子,それじゃあ……お互い様、だね
有咲,……そうですね。は、はは……なんか照れくさいですね。こうやって改めて昔のこと話すと
燐子,うん……そうだね……
香澄,…………
有咲,って、香澄？さっきから黙ったままだけどどうかし――
香澄,……ぅぅぅ、ありさぁ～っ！
有咲,うわっ！？な、なんだよ急に！？
香澄,有咲がそんな苦労してたなんて……知らなくてごめんっ！！。本当にごめんっ！！
有咲,わ、分かったから離れろって！
香澄,やだっ！
有咲,やだ、って……そんな泣きながら抱き着かれると制服が……
香澄,やだ！！
有咲,ああもう……分かったよ、好きにしてろよ……
香澄,好きにしてるっ！
有咲,…………。……その、ありがとな、香澄。なんつーか、これはもう昔の話だから。そりゃ、たまに寂しくなるけど……私はもう気にしてねーからさ。それにあのシールのおかげで香澄たちに出会えたんだし……な。今じゃ全部、私の大切な思い出なんだ
香澄,うん……うんっ！！
有咲,だ、だからそんな強く抱き着いてくんな！流石に苦しいって……！
紗夜,…………。何でもないいつも通りの日常も、終わりが来るのは急なのかもしれない。……こうして話を聞くと、それは考えるよりも身近にあるのかしらね。なら……私ももう少し素直になるべきね……日菜にも、大切な友人たちにも……
燐子,氷川さん……どうかしましたか……？
紗夜,……いえ。白金さんと市ヶ谷さんの話を聞いて、私ももっと素直になるべきだな、と少し思いまして
山吹沙綾,おーい！
牛込りみ,ごめんね、みんな……お待たせしちゃって……
花園たえ,ふんふんふーん♪今日のお弁当のおかずは何かなー♪
沙綾,あれ、紗夜先輩に燐子先輩。珍しいですね
紗夜,こんにちは
燐子,こ、こんにちは……
沙綾,はい、こんにちは
たえ,どうしたんですか？
紗夜,たまには私と白金さんも外でお弁当を食べようかと思いまして……
沙綾,なるほど、そうしたら香澄に一緒に食べませんか？って誘われたんですね
紗夜,ええ、その通り。よく分かりますね
沙綾,あはは……ポピパのことですから
りみ,香澄ちゃん、どうしてそんなに有咲ちゃんに抱きついてるの？
香澄,それがね、有咲と燐子先輩の昔話がすごくって！有咲、話してもいい？
有咲,……そこそこ長い話になるし、それは今度でいいだろ。それよりお前が私を離せって
香澄,はーい
有咲,はぁ～、苦しかった……。つか、香澄。お前、父さんのことなんとなく勘づいてて何も言ってこねーのかと思ってたぞ
香澄,いつ行ってもいないなーくらいにしか思ってなかった！
有咲,はぁ……そーかよ。まぁ、その方が香澄らしくていいや
香澄,私いま褒められた？
有咲,あーはいはい、褒めた褒めた
香澄,えへへ～、有咲に褒められて嬉しいなぁ～
有咲,単純なやつだな、ホント。……まぁ、そんな香澄だから、私も……
香澄,ん？なになに？どうかした、有咲？
有咲,べつに。なんでもねーよ。っと、それよりも……氷川先輩
紗夜,はい？
有咲,その、つまらない身の上話に付き合ってくれてありがとうございました
紗夜,……いいえ、つまらなくなんてないですよ。市ヶ谷さんの話のおかげで、私も大事なものはきちんと大切にしようと思えましたから。それより、私の方こそ興味本位で気軽に話を聞いてしまってすみませんでした
有咲,い、いやいや！氷川先輩は最初から気を遣ってくれたじゃないですか！。ほんと、そういうしっかりしたところを香澄にも見習ってほしいくらいですよ……。それから白金先輩も……本当にあの時はありがとうございました
燐子,ううん……気にしないで……。さっきも言った通り、わたしもありさちゃんのおかげで……いろんな素敵な風景に出会えたから……
有咲,……そう言ってくれると助かります
燐子,…………
有咲,白金先輩？どうかしましたか？
燐子,ありさちゃん……わたしのこと、昔みたいに呼んでくれないの……？
有咲,えっ！？い、いや、流石に先輩をちゃん付けで呼ぶのは……それに名前も間違えてましたし……
燐子,わたしは……それでもいいよ……？ありさちゃんは初めてのお友達、だから……
有咲,えーっと……
燐子,ダメ、かな……？
有咲,うっ、わ、分かりました……それじゃあ、その……り、りんちゃん
燐子,うん……なぁに、ありさちゃん
有咲,……～～っ！やっぱ無理だって！恥ずかしいしなんかアレだし！！
燐子,ふふ……でも、わたしはそうやって呼んでもらえると嬉しいな……
たえ,……有咲が先輩と仲良くなってる
りみ,なんだか珍しいね……
沙綾,意外と気が合うのかな？
紗夜,……昔に色々あったみたいですから、白金さんと市ヶ谷さんは
たえ,へー、そうなんですね
香澄,…………
りみ,あれ？香澄ちゃん、どうかしたの？
香澄,うん……なんか……なんていうか……燐子先輩ずるい！
燐子,えっ……？
香澄,ねぇねぇ有咲っ、私もかーくんとかそういう風に呼んで呼んで～！
有咲,は、はぁ！？なんでだよ！？
香澄,だってだってっ、燐子先輩だけりんちゃんって呼ばれるのずるいよ～！
有咲,知らねーよ！つか呼ばねーから！
燐子,えっ……ありさちゃん……呼んでくれないの……？
有咲,え？い、いや、その……
燐子,そっか……りんちゃんって呼ぶの、嫌だったんだ……。１人で勝手に盛り上がって……ごめんね、ありさちゃん……
有咲,え、えーと、時と場合によりますから……その、り、りんちゃんも、そんな風に謝んないでよ……
燐子,……ふふ、ありがとう……。やっぱりありさちゃんは……昔からずっと優しいね
有咲,うぅぅ……なんだよこれすっげー恥ずかしいんだけど……
香澄,やっぱりずるいー！ねぇねぇ有咲、私も呼んでよ～！！
有咲,ああもう、うっせー！まとわりついてくんなーっ！！。……もう１つ、あの日からまだ言えてない気持ちが胸の中にある。本当はずっと笑って生きていたい。昔――まだ父さんが笑って私を褒めてくれた時は素直に言えた気持ちだ。今の捻くれた私が素直にこの言葉を発するには大きな勇気が必要だろう。……けど、きっとこれは無理をしてすぐに言う必要なんてないんだと思う。優しく私を褒めてくれた父さんと、幼いころの私が一生懸命集めた星のシール。それらが導いてくれた、かけがえのない親友たちがいる。その親友たちと、りんちゃんと氷川先輩の、みんなの笑い声がある。なんでもない、特別で大切な日常が目の前にある。あの時と変わらず、私は小賢しくて強がりで意地っ張りなクソガキだ。そのせいでみんなにも迷惑をかけた。でも、みんなはそんな私を認めてくれた。私も生意気なクソガキなりに、みんなに対して少しだけ素直になれた。大切な人たちなんだって思って、曲がりなりにもそれを口に出せるようになった。だからきっと……今すぐに、なんて焦る必要はないんだろう。色んなことの積み重ねで香澄たちと出会った。そして夢をわけあった。何があったって、この瞬間がある。そして、それは虹の先の未来へずっと続いていくんだから。……相変わらず鬱陶しくまとわりついてくる香澄を受け止めながら、私はそんなことを思うのだった
