モバＰ,以降Ｐ表…おのれサイキックゥ！！
ちひろ,あれ…？いつもならここで銭ゲバが一体どの口で人様を変人呼ばわりするってばよ。って誰が銭ゲバ守銭奴カネゴンですか！
Ｐ,一言も言ってないのに理不尽ではないかね！？。…まさかとは思うけどどこかで監視とかしてないよな？。ちょっと失礼するよ
乃々,な、なんですか…もりくぼは静かに暮らしているだけなんですけど…？
Ｐ,引き出しか！
こずえ,むにゃあ…
Ｐ,くっ…！おのれ何処に！
ちひろ,出勤してきた同僚が朝イチから挙動不審すぎる。どうかしたんですか？いつにも増して怪しいですよ
Ｐ,お構いなく県民性です
ちひろ,他の県民にとんでもない風評被害ですね
Ｐ,さぁて仕事仕事
ちひろ,…？本当に今日は変ですね。志希ちゃんのクスリでも飲みました？
Ｐ,ハッハッ至っていつも通りですよ
ちひろ,どう見ても様子がおかしいから聞いてるんですけど……まぁ、別に害が無いのならいいですけどね
Ｐ,チッヒに優しく接する…要は他のアイドル達に対するように紳士的に振る舞えばいいだけじゃないか。考えてみたら簡単な事だ
ちひろ,絶対何か企んでる…
Ｐ,…よし仕事終わりっ
ちひろ,そうはならんやろ
Ｐ,？
ちひろ,出勤してきて１０分も経過してませんよバケモノですか！
Ｐ,高橋名人の冒険島で鍛えたフィンガーテクニックがありますので
ちひろ,そんな早く片付けられるならたまにはこっちも手伝ってくださいよ
Ｐ,いいですよ？
ちひろ,なーんて冗談ですけど。………え、なんだって？
Ｐ,だから手伝いますって。たまには
ちひろ,……
Ｐ,耳の穴穿りすぎです。耳血出ますよ
ちひろ,すみません、疲れているんですかね…ちょっと幻聴が
Ｐ,いいから半分寄越せ
ちひろ,あっ
Ｐ,…何ですか、鳩が鉄砲玉にされたような顔して
ちひろ,…あの、熱でもあるんですか？
Ｐ,ここは偶に見せた優しさにグッと来るところではないのかね
ちひろ,あははははははは！！
Ｐ,シバきたい、この笑顔
ちひろ,…何かあったんですか？
Ｐ,んー？何がですか
ちひろ,いえ、どう考えても様子がおかしいので
Ｐ,平常運転でごぜーますよ
ちひろ,蛇行運転に見えるから尋ねてます
Ｐ,日頃あなたの目に俺はどう映っているのでしょう
ちひろ,性悪ドＳひねくれ社畜
Ｐ,辛辣っ
ちひろ,…。…熱は無いみたいですね
Ｐ,失礼では無いですかねぇ
ちひろ,失礼の権化のような人がどの口で言いますか。何か企んでません？
Ｐ,企んでませんよ
ちひろ,何かやらかしたのなら素直に白状してくださいね
Ｐ,やらかしてねーですよ
ちひろ,何かの罰ゲーム中とか？
Ｐ,アハハ、ちひろさんに優しくするのが罰ゲームですか。鋭っ！
ちひろ,怪しい
Ｐ,気にしすぎですってば。俺はいつも通りですよ？ほら、もうガンプラ作り始めてますし
ちひろ,いや仕事してくださ…って終わってるよこのモンスター社畜
Ｐ,どれ、お茶でも淹れてきます
ちひろ,コーヒーでお願いしますね
Ｐ,ブルーマウンテンでいいですか？
ちひろ,そんな贅沢品ありませんよブレンディでいいです
Ｐ,了解です
ちひろ,絶対怪しい。いつもだったら既に４７回くらい憎まれ口叩いてる筈なのに。…めんつゆ持ってきたりしませんよね。うん、美味しいです
Ｐ,市販のインスタントですよ
ちひろ,プロデューサーさんの事だからてっきりホットポン酢でも持ってくるかと思ってましたけど
Ｐ,お婆ちゃんが言ってた。食べ物で遊ぶのはよくないですよ、って
ちひろ,やっぱり今日のプロデューサーさんおかしいですね…こうしてコーヒー淹れてくれるのも珍しいですし
Ｐ,たまにやってるじゃないですかい
ちひろ,今日はまだ私の事おちょくってこないし
Ｐ,日頃の俺を一体何だと思ってるんですか
ちひろ,日頃の自分を何だと思ってるんですか
Ｐ,あのだね、俺だってだね、四六時中ハジけてる訳でもだね
ちひろ,何か深刻な悩みがあるなら話くらいは無料で聞きますよ？
Ｐ,俺を一体何だと思っているんだよ！
ちひろ,…。……
Ｐ,龍が如くスタッフでキムタク主演ゲームだと…
ちひろ,絶っっ対何か企んでますよね
Ｐ,今秋はジョジョにからくりサーカスに金カムに禁書にゴブスレ…いかんグリッドマンまであるじゃねーか
ちひろ,私は騙されませんよぉ…？
Ｐ,ん？俺の顔に何かついてます？
ちひろ,ええ、目玉と鼻と唇が少々
Ｐ,最低限必要なパーツです。ああ、もしかして暑いんですか？エアコン少し下げますね
ちひろ,…
Ｐ,何ですかその苦虫をじっくり咀嚼したような顔は
ちひろ,本当に今日はどうしちゃったんですか
Ｐ,どうもしてませんってば
ちひろ,何か変なもの食べました？熱は測りました？水分はちゃんと取ってますか？瞳孔は…うわぁハイライトうっす
Ｐ,チッヒが優しくて怖い
ちひろ,絶対に何かを企んでますよねあの社畜…
Ｐ,精一杯優しくしている筈なのにめっちゃ睨まれてる…何故だ。そうか。世の中金と己しか信じられぬ哀れなチッヒは人の優しさや温もりを理解出来ないんだな
ちひろ,どんな裏があるか分かりませんし油断はしないようにしておきましょう
Ｐ,可哀想に…愛を知らぬ哀れなちひろさん
ちひろ,何を唐突に！？
Ｐ,お気になさらず…うん、肩でも揉みましょうか？
ちひろ,だから唐突に何ですか！？本当に今日は一体何を企んああああああああああ
Ｐ,まぁまぁ遠慮なさらず
ちひろ,あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛
Ｐ,痒いところはございますかー？
ちひろ,しいて言えば心がむず痒あ゛あ゛あ゛あ゛そこいいですそこ
Ｐ,随分凝ってますね。毎日苦労していますもんねえ。金勘定とかな
ちひろ,ええ、本当ですよ…あ゛～…そこ効きます
Ｐ,痛くないですかー？
ちひろ,絶妙の痛気持ち良さです……。随分お上手ですねぇ…クビになっても整体師で食べていけるんじゃないですか？
Ｐ,俺のこの手が真っ赤に燃える
ちひろ,あだだだっ
Ｐ,すみません力加減を間違えたという建前です
ちひろ,いたた…あ、肩が凄く軽くなりました。ほらっ
Ｐ,針も打っときますか？日頃からベルトのバックルに施術用のを携帯してあるので
ちひろ,どこの宮沢鬼龍ですか。でも本当に効果抜群ですよ？見てください腕がこんなに軽やかに動きます
Ｐ,ハハッ風圧が凄ぇ。ああ、もうこんな時間ですか
ちひろ,え、何ですか今のアラーム
Ｐ,ちひろさんお昼どうします？
ちひろ,私は何か外で買ってこようかと。プロデューサーさんは？
Ｐ,今日は弁当持参です
ちひろ,じゃあ私ちょっと買いに行ってきますね
Ｐ,良かったら一緒にどうですか？
ちひろ,…はい？
Ｐ,いや、多めに作ってきたんで。たまには
ちひろ,…。…っ。正体を現しなさいこの偽物！
Ｐ,突然同僚に頬っぺたを引っ張られる理不尽！
ちひろ,くっ！何て精巧な特殊メイク…！
Ｐ,正真正銘本物だよ！
ちひろ,あっ、このお弁当の中に何かハズレが入っているんですね？
Ｐ,そんなロシアン的な事を嬉々としてやるのは卯月くらいですよ
ちひろ,一体何を企んでるんですか！
Ｐ,人の善意は素直に受け取るのが人間のルールだろう！
ちひろ,…騙されませんよ？
Ｐ,同僚からの信用が無さ過ぎて悲しい
ちひろ,日頃の行いじゃないですか
Ｐ,あ、今日はですね見ての通りサンドイッチにしてみたんですよ。こっちのタッパーはおかずが入ってるのでご自由にどうぞ
ちひろ,わあ、インスタ映えしそう
Ｐ,ハーブティーも作って水筒に入れてきました。ホットが良ければ温めてきますけど、どうします？
ちひろ,冷たいままで良いですよ
Ｐ,フォークとお手拭きも出しておきますね
ちひろ,女子力高っ。あむあむ…あ、パンがパリッと香ばしい
Ｐ,具を挟んでからトースターで軽く焼きを入れたんです
ちひろ,パニーニみたいですね。ベーコンもカリカリで美味しいですね
Ｐ,こっちがツナ、こっちが卵です。こっちのタッパーはベビーレタスとピクルスとプチトマトが入ってますから。野菜もしっかり取ってくださいね
ちひろ,サラダまでしっかり作って、いつでも婿入り出来ますね
Ｐ,ハッハッ、相手がいませんよ
ちひろ,花嫁選び放題で何言ってるんですか
Ｐ,卵どうです？荒く砕いたポテチ入れてスパニッシュオムレツ風にしてみたんですけど
ちひろ,それはもう塩加減が素晴らしくて止まりませんとも
Ｐ,デザートに桃と巨峰のムースもありますからね
ちひろ,もう私と結婚しちゃいません？
Ｐ,あはははははははははははははははははははははははは！！
ちひろ,滅多に見られないプロデューサーさんの大爆笑！？。ご馳走様でした
Ｐ,ご馳走しました
ちひろ,本当に何だかすいません…こんなにしっかり頂いちゃって
Ｐ,じゃあ今度飲みに行く時はちひろさんの奢りという事で
ちひろ,えー……しょうがないですねぇ。高いの頼まないでくださいよ？
Ｐ,ポテト２皿頼んじまおう
ちひろ,贅沢の規模がみみっちい。あ、だったら今夜行きます？今日は他のみんなもほとんど事務所に来ませんし
Ｐ,構いませんよ
ちひろ,じゃあ決まりですね。いつものお店でいいですよね？答えは聞きませんけど
Ｐ,異論は無いけどもさ
ちひろ,さてと、それじゃあ残りのお仕事ちゃっちゃと終わらせちゃいましょうか
Ｐ,もう終わってしまった俺は一体どうすれば
ちひろ,じゃあ手伝ってくださいよ
Ｐ,さっき半分手伝ったのに更に手伝えと
ちひろ,ポテト３皿注文してもいいですから
Ｐ,それに釣られるのは北条加蓮ゥくらいですよ
ちひろ,…
Ｐ,…
ちひろ,……
Ｐ,……
ちひろ,…ふぅ
Ｐ,終わりましたか？
ちひろ,ええ、お陰様で。本当に今日はどうしたんですか？大人しすぎて気持ちが悪いんですけど
Ｐ,気持ち悪いとは流石に酷くありません？
ちひろ,失礼しました。きしょいです
Ｐ,字数は減ったのに印象は悪化してる。ですから別にどうもしてませんって。同僚を手伝うくらい当たり前でしょう？
ちひろ,普段手伝ってなんかくれないじゃないですか
Ｐ,いつも手伝っていたらちひろさんのためにならないでしょう
ちひろ,ためにならなくてもいいですから手伝ってくださいよ
Ｐ,気が向いたら、いつかそのうちに
ちひろ,けち
Ｐ,猫撫で声出さないでください
ちひろ,ノリの悪い人ですねぇ。２人しかいない訳ですし、たまには先輩って呼びましょうか？
Ｐ,何その即興コント
ちひろ,お兄ちゃんって呼んだ方が嬉しかったりします？
Ｐ,大変光栄なのですが残念ながら医者に止められておりましてお気持ちだけ受け取っておきますね
ちひろ,どういう意味ですか
Ｐ,それに何も企んでなんて無いですってば。本当に
ちひろ,ふーん、どうですかねー
Ｐ,一向に信じてもらえない
ちひろ,信用と信頼は違うんですよ？
Ｐ,日頃の感謝を示しているだけなのにこの扱いと来たらどうよ
ちひろ,またまた心にも無い事を～
Ｐ,失礼な、埼玉県民は嘘は１つしかつきません
ちひろ,それ自体が嘘ってオチですよね？
Ｐ,感謝しない訳が無いじゃありませんか。１８０名を超える所属アイドルに対してたった１人の事務員という常識で考えればブラックという言葉すら生易しい労働環境に不満の声も出さず
ちひろ,いや、それをあなたが言いますか？
Ｐ,激務にも笑顔を絶やさずその存在は正に職場のオアシス
ちひろ,どうせ毒の水とかアリジゴクとか言うんでしょう？ふーんだ
Ｐ,ご自身も疲れているにも関わらず何かと栄養ドリンクを普及してくれる気遣いは天使の如く
ちひろ,臨時収入目的をそう言われると流石になけなしの良心が…
Ｐ,あらゆるイベントにおいても抜群のサポート。こちらの無茶ぶりに対しても嫌な顔せず１度だけ回復アイテムを無償でくれる優しさはもはや菩薩の領域！
ちひろ,え、えっと…単にそういう仕様というだけで…
Ｐ,雨の日も風の日も早朝５時から天使の微笑みで同僚を出迎えてくれる貴女はそう、まさしく女神！
ちひろ,た、ただのログインボーナスじゃないですか、もう……えへへ
Ｐ,ちひろさんは天使！
ちひろ,や、やめてくださいよ…ほんとは裏があるんでしょう？
Ｐ,ちひろさんは女神！
ちひろ,ちょ、も、もういいですから…！
Ｐ,ちひろさんは最高です！
ちひろ,う゛ぅ～……
Ｐ,ちひろさん天使！女神！災禍の顕主！メインヒロイン！。コスプレ趣味！目に優しい色の制服！ドスケベボディ！
ちひろ,も、もぉ～…しょうがない人ですねぇ！今夜は好きなもの奢りますよ！
Ｐ,ちょろいぜ
ちひろ,…で、結局今日のアレは一体何だったんですか？
Ｐ,罰ゲームれす…
アッキー,終わりだ
優,アッキーアッキー、もうちょっとだけ続くよ
ちひろ,…って事がありましてね？はぁー、あのサディスト社畜の事だからそんな事だろうとは思いましたけど
肇,はぁ…お疲れ様です。それにしても、ちひろさんとプロデューサーさんって仲が良いんですね。前々から思っていましたけど
ちひろ,どこをどう見たら仲良しに見えるんでしょう
肇,一番遠慮の無い関係と言いますか距離が近いじゃないですか。ちょっと羨ましいです
ちひろ,私としてはもう少し遠慮というか手加減が欲しいところですけどねえ…
肇,……そう言えば、お２人はどういうご関係なんですか？単なる同僚という風でも無いようですが
ちひろ,関係ですか？うーん……そうですねぇ。何て言えばいいんでしょう。…。１番、同期入社
肇,１番って
ちひろ,２番、入社時の教育係
肇,クイズですか
ちひろ,３番、学生時代の先輩後輩
肇,クイズなんですか！？
ちひろ,４番、元家庭教師
肇,その関係性、どこかで聞いたことがあるような…
ちひろ,５番、実は腹違いの兄妹
肇,え
ちひろ,ふふ、さぁどれでしょう？正解があるとは言ってませんけどね？
肇,…。……え？
アッキー,今度こそ終わりだ
