渋谷凛,はい、ちひろさん。頼まれてた住宅情報誌
美優,！？
モバＰ,今、後ろに髪を纏めてるから、うなじがイイ感じにグッとくるよね
美優,ぁぅ……
凛,……雰囲気？
モバＰ,……なんて言うか……未亡人感？
美優,……
モバＰ,あ、やべ…………怒りました？
美優,はい。こんな言い方はなんですが……私は傷物ではありません
モバＰ,す、すいません
美優,でも心は傷つきました
モバＰ,どうすれば……えっと……
美優,……この前、夜景の見える素敵なバーを教えて貰ったんです。でも一人じゃ行きづらくて……
モバＰ,ぜひ、ごちそうさせてくださいっ！
美優,ふふ……ありがとうございます
モバＰ,ふぅ……。ちなみにどこにある店なんです？
美優,最近出来たホテルの最上階にあるみたいなんですが……
モバＰ,ホ、ホテルですか……。それはマズイような……
美優,大丈夫です！業界関係者御用達でマスコミ対策も万全なところですからっ！！
モバＰ,じ、じゃあいいのかな？
美優,はいっ！いいんですっ！！
モバＰ,で、ですか
美優,ふふ……やったやった！……夜景を見ながらＰさんとっ！その後は……きゃあきゃあ！
凛,喰われるっ！
みく,……クネクネしてる美優チャンと、鬼気迫る表情でスマホを操る凛チャン……
幸子,なんとな～く、考えていることが透けて見えますね
美優,それじゃ今夜にでも……
和久井留美,ちょ、ちょっと待って！
モバＰ,うおっ！……どうしたんです？そんな慌てて
留美,ん……はぁはぁ……。んんっ！話は聞かせて貰ったわ。Ｐ君、勢いに流されるなんてらしくないわよ
モバＰ,その前に、どこで話を聞いて……
留美,そんなのは些細なことよ。アイドルとプロデューサーが二人きりでホテルに行くことに比べたらね
モバＰ,……そう言葉にされると、やっぱりマズイですね。美優さん、今回は止めて、今度大人組みんなで行きましょう
美優,あぁぁ……
留美,ごめんね、美優。こればっかりは私も全力だから
美優,ぁぅぅ……勇気出したのに……
凛,……自分で留美さん召喚しといてなんだけど、留美さん速すぎ
みく,ホントに全力なんだにゃ……
幸子,あの必死さ、Ｐさんが好きなのか結婚に焦ってるのか分からないですね
留美,ふぅ……ちょっと汗かいちゃったわね
美優,る、留美さん！そんなに胸元開けたら……
モバＰ,……
留美,あら？珍しいわね。Ｐ君が性的な目で見てくるなんて
モバＰ,違いますがな。ただ、鎖骨に流れる汗っていうのも色気があるなって
留美,それは性的でないの？ふふっ
モバＰ,いやいや、さっきまで色気云々の話をしてたんですよ
留美,なんでまた
モバＰ,礼子さんにドキドキするって言ったら、凛の知的欲求を刺激したみたいで
留美,……それは私も気になるところね
モバＰ,そ、そうですか
凛,……それで、結局プロデューサーが一番色気を感じるポイントはどこなの？
モバＰ,そう言われてもなぁ。ぶっちゃけ、色気を感じるところをあげていったらキリがないんだよ
凛,……じゃあ、誰に一番色気を感じるの？やっぱり礼子さん？
モバＰ,それを聞いてどうすんの……
凛,参考にするから
モバＰ,……凛。お前にジューシーでポーリーな道は進められない
凛,アイドルの方向性についてじゃないから。いいから、答えて。誰なの？
モバＰ,えぇ……。ん～……酔ってるときの楓さん
凛,……私お酒飲めない。却下
モバＰ,め、めんどくさぁ……。じゃあ、さっきまでに言った色気ポイント、これを全部兼ね備えてる人で！誰だとかは知らん！
凛,むぅ……そんな人だったらプロデューサーは堕ちるってこと？
モバＰ,あ～はいはい。恋の大海原にぼっちゃ～んと堕ちますよ～
凛,もう！真面目に聞いてっ！
モバＰ,わかったわかった。それより、そろそろ仕事の時間だから準備しろ。……そう言えば、美波遅いな
凛,わかってない！もうもうっ！！
新田美波,すいません！遅れましたっ！！
モバＰ,おー。珍しいな遅刻なんて
美波,ちょっとラクロスの練習に夢中になっちゃって……
モバＰ,確かに結構汗かいてるな。もう少し時間あるから、着替えてきな
美波,はい！
モバＰ,焦って走ったらコケるぞ
美波,キャっ！
モバＰ,ほら言わんこっちゃない
美波,ぁ……すいません……
モバＰ,あ、あぁ。うん……
みく,……ポニーテール、そして綺麗なうなじ。暑さからか、ボタンを外して若干緩くなった胸元……
幸子,その鎖骨に流れる汗……。ほどよく肉付きがあり、ラクロスによって引き締まっている絶妙なバランスの太もも
みく,そんな美波チャンは魅惑的なたれ目……
凛,……あっ！
美波,……
モバＰ,……美波？
美波,……え？あ！ご、ごめんなさい！ボーとしちゃって！汗臭いですよねっ！！
モバＰ,いや、いい匂いしかせんけど……えっと……
美波,ぁ……ぅぅ……プロデューサー……さん……
モバＰ,っ……
みく,とっさにつまずいた彼女を支えたプロデューサー。思い掛けなく近づく二人の距離
幸子,彼女は思う。普段はある程度の間をとっていたが、いざ触れ合うと嫌ではない。いや、むしろ心地よいと
みく,それはもう離れがたく、このまま身を委ねたい想いが彼女の身体を支配する
幸子,わずかに残っている理性に反して……いや、それすらもスパイスにし、プロデューサーの背中に手を廻すと、何かを訴えるようにうつむき、縋る様にまた顔をあげた
みく,そして、そんな彼女に潤んだ瞳で見つめられ、プロデューサーと呼ばれていた者は、ただの男になってしまう
幸子,彼女の香りは、天使の囁きか、はたまた悪魔の誘惑か。男は霞がかった頭の中で、止まれ止まれと叫ぶが、それも空しく、彼女の瞳に引き寄せられていく
みく,彼女もまた引き寄せられる様に、クンっと踵をあげ、一瞬深く見つめ合うと、ゆっくりと目を閉じた
幸子,そして二人は、赤子の手に満たない合間を、溶け合うように近づき……
凛,プロデューサー！！
留美,Ｐ君！
美優,Ｐさん！
モバＰ,ハッ！！……っぶなぁ！！すまん美波、あの二人の変な語りに飲まれてた
美波,あぁぁ……もう少しだったのに……
凛,はい、美波！早く着替えて、仕事行くよっ！
美波,凛ちゃん、後生だから続きを……
美優,Ｐさん……本当に美波ちゃんに堕ちちゃったんですか……？
モバＰ,……正直危なかったですけど、それはあの二人の所為……だと、思いたい
美優,……。みくちゃん、幸子ちゃん……今度は私にも……
みく,美優チャン本気の目にゃ……
幸子,ちょっとふざけ過ぎましたね……
留美,ところで、ちひろさん。何してるの？
ちひろ,記録映像をば
モバＰ,やけに静かだと思ったら！！
ちひろ,さあ！このデータの取り扱いに関して話し合いましょうかっ！
モバＰ,悪魔めぇ……。ただいま帰りました～
凛,お疲れ様です……ホントに疲れた……
美波,お疲れ様です。大分遅くなっちゃいましたね
ちひろ,おかえりなさい。凛ちゃんそんなに疲れてるならドリンク飲む？
凛,うん。ありがとう
モバＰ,それじゃ、反省会は明日にして、今日は終わりにしよう。送らないとな
ちひろ,それなんですけど、他に送って欲しい人がいまして……
高垣楓,おかえりなさ～い。プロデューサープロデューサー、あのですねぇ……ん～……おかえりなさい～
モバＰ,……え？泥酔？
ちひろ,日本酒のイベントで試飲しまくっちゃったみたいで……
モバＰ,……これもブッキングミスだったかなぁ
楓,立ったままで何してるんですかぁ～？ほら～、こっちきて……いや、迎えにいきますね～
モバＰ,そんなフラフラになって……危ないですから、そこでストップ！！
楓,……すてっぷ、じゃーんぷ！
モバＰ,ちょっ！あぶっ！！
楓,んふふ～。ナイスキャッチですよ～。プロデューサーの胸板～
凛・美波,
モバＰ,と、とりあえず座りましょう！今の楓さんに凛達が処理しきれてません！
楓,すぅ～～～んふ～～～
モバＰ,嗅がないでください！ほら、座って！！
楓,や～ですよ～。今はプロデューサーとくっついていたいんですぅ～
モバＰ,こらアカン……
凛,酔った楓さん……
美波,手に負えないね……
凛,でも、プロデューサーが一番色気を感じてる状態……
美波,え！？
ちひろ,それは、ほろ酔いの時の楓さんだと。流石にあれはないんじゃ？
凛,だといいけど……なんか嫌な感じがする……
楓,プロデューサー、勘違いしちゃだめですよ～。こうやって抱き付いてること～
モバＰ,しませんって。酔っ払いの行動にいちいち惑わされませんよ
楓,そういう事じゃなくて～、プロデューサーだから抱き付いてるってことです～
モバＰ,もう、よくわかんないッス
楓,酔ってるからって、誰彼構わず抱き付かないってことですぅ～～～んふ～～
モバＰ,だから嗅がないでください！
凛,そろそろ引き剥がしに行こうと思う
美波,り、凛ちゃん。目が怖いよ……
ちひろ,……さっきのドリンクちょっと濃いかったかな……
美波,ちひろさん！？
モバＰ,もう、帰りますよ！送りますからもう少しシャンとしてください
楓,う～……おんぶ……おんぶぅ！！
モバＰ,なんでこんなに幼児化してんだ……ちひろさん、なんか飲ませました？
ちひろ,失礼ですね！何でもかんでも私の所為にしないでくださいっ！
楓,そうですよ～。これは作戦なんですから～
凛,……なんの？
楓,……おんぶしてもらう為の？
凛,きな臭いっ！この人きな臭いよプロデューサー！！
モバＰ,酒臭いだけだって。はぁ……仕方ないな。ほら楓さん、おぶるんで乗ってください
楓,は～い。んふ～
凛,あっ！邪悪な笑みを浮かべたっ！！
美波,り、凛ちゃん、落ち着いて
凛,だってアレダメな奴！毒々しい！
楓,……ごめんね？凛ちゃん。でも……うふふ
凛,ほら、ポイズン！メープルポイズン！！
モバＰ,なんだそのトラウマになりそうな言葉は……。それじゃ、ちひろさん。凛達は任せますね
ちひろ,了解しました。気をつけてくださいね？
モバＰ,ういっす。じゃあ、楓さん。行きますよっと
楓,は～い…………私は処*ですから安心してくださいね？
モバＰ,……急にどうしたんですか。ホント飲み過ぎですよ
楓,電波を受信したんです。ピリピリンって
モバＰ,ウサミンに毒されてたか……
凛,あ……あ……。ちひろさん！？駄目でしょ！？行かせちゃ駄目でしょ！？不穏なこと言ってたよ！大体、25歳で処*ってどうなの！？
ちひろ,凛ちゃん……私は結婚と同時に喪失するのが理想だと思うの
美波,ちひろさん……私もそう思いますよ……
ちひろ,美波ちゃん。少しだけ胸借りていい？
美波,はい……
ちひろ,うぅ……
凛,ちひろさんがおぼこかどうかはどうでもいいのっ！このままだとプロデューサーが喰われるっ！！
ちひろ,ひどいっ！凛ちゃんだってまだのくせにぃ！！
美波,去年まで中学生だった女の子に何を言ってるんですか……
ちひろ,だってだって！悔しいんだものっ！きぃ！！
美波,……ちひろさんも疲労がポンって取れそうなドリンク飲みました？
ちひろ,美波ちゃんもひどいっ！
凛,そんな事よりプロデューサーがっ！プロデューサーがっ！！
美波,……あのね、凛ちゃん。楓さん寮だったよね？寮で何か出来るとは思えないけど
凛,っ……そっか……そうだよね……ふぅ。ごめん取り乱した
美波,ううん。寮じゃなかったら私も止めてたよ。……ん？ちひろさん？
ちひろ,……これ
美波,住宅情報誌？
凛,………………………………………………………………あ゛あ゛っ！！
