モバＰ,以降Ｐ表記にゃ
幸子,プロデューサーさんこそよく見てください。芳乃さんが食べてるの、歌舞伎揚げです
芳乃,ふぉー？
Ｐ,お米食べろよぉぉ！
文香,ありすちゃん、そこのニシン漬け取ってもらえませんか…？
ありす,はいっ。よいしょっと…何だか本当にビュッフェみたいですね
文香,…びゅっへ
乃々,ご、ご飯の上に手羽先をライドオン…なんですけど
ありす,私はどう頂きましょう…文香さんを習ってニシン漬けからいってみましょうか
文香,…欲を言えば、シャチの竜田揚げかアザラシの塩茹でを用意したかったのですが…
Ｐ,ハードル高ぇ
幸子,うわっ！何ですかこのお米！物凄く美味しいんですけど！
ありす,…わっ、本当です！一体何なんですかこれ、スタドリが入ってるのでしょうか
Ｐ,普通に良いコシヒカリを良い水と備長炭で炊いただけだよ
芳乃,一粒一粒がーキラキラしていて立っておりますー
Ｐ,そうだろう、そうだろう。沢山あるから沢山食べろよ３４６プロ屈指のポンコツズ
幸子,ポンコツとは何ですか失礼な！って明太子は駄目です！このお米に明太子乗せたら引き返せなくなります！
乃々,て、手羽先の甘辛いタレが絡んだご飯も……何ですか、新手のいぢめですか？ありがとうございます
ありす,ニシン漬けって実は初めて食べましたけど美味しいですね
文香,ヒンナヒンナ
芳乃,うまうまー
Ｐ,ハハッ、約一名米食ってねぇ奴がおるわ
幸子,何でしょうね…明太子ってご飯のお供として地上最強じゃありませんか？
文香,私はそこに更に…鮭フレークをどんっ
幸子,わわっ！な、何て事を！
ありす,鮭と鱈の他人丼ですね
乃々,はふほふ…さ、幸子さんのモツ煮も美味しいです…
Ｐ,この鶉の玉子が何とも言えないよなぁ。煮汁ご飯にかけちまえっ
幸子,そ、そうでしょうそうでしょうとも！フフーン！やっぱりカワイイボクは食べ物のチョイスでも頂点に立つんですね！
文香,…さっき泣きそうでしたけどね
幸子,文香さん、さっきからちょいちょい毒ありません？
文香,あ、ありすちゃん…そこの高菜を取ってもらえませんか？
ありす,はいっ。盛り上がってきましたね、この事務所内ビュッフェも
文香,…ぶっぷぇ
芳乃,むむー、届きませんー
Ｐ,どれよ。言ってくれれば取ってやるって
芳乃,もうちょい、なのでしてー
Ｐ,うん、思い切り膝の上乗ってるんですけど飯食えねぇ
乃々,の、のりたまってたまに食べると凄く美味しく感じますよね…
ありす,私はどちらかと言えばおとなのふりかけ
幸子,あ、このカジカのお鍋も凄くいいですね。魚のダシがたまらないです
文香,ふふーん…
Ｐ,カジカって地方によってはゴリって呼ばれるんだよな
芳乃,ガレッジセールでしてー？
文香,いいえ…湘北高校バスケ部のキャプテンです…
幸子,プロデューサーさんツッコミ手伝ってくださいよ！
芳乃,そなたー、おかわりをー
Ｐ,あいよ。大盛り？超盛り？
芳乃,節度ある分量でー
ありす,カジカのお汁もモツ煮もご飯が進みますね。私、これだけ食べるの久しぶりな気がします
文香,…こうして、みんなで楽しく食べると、一層美味しく感じますね…
乃々,ふ、文香さん…ビュッフェ、って言ってみてください…
文香,……ぶっぺ
幸子,良い話になりそうだったのに台無しですね
Ｐ,茶碗の底に明太子を敷いてだな、その上に米を乗せて高菜を乗せてまた米を乗せてそぼろ肉をだな…
幸子,何ですか、その部活上がりの中学生みたいなオリジナル丼は
ありす,やはり視覚的に一番クるのは、こうしてシンブルに白米の上に明太子一本ドンッ、でしょう
乃々,も、モツ煮の汁をかけたご飯も…凶悪です
幸子,皆さん甘いですねぇ。この肉そぼろと炒り卵の２色そぼろご飯こそ究極でしょう！
文香,手羽先を解して…ご飯に混ぜて…
芳乃,皆さまー、それぞれ個性的ですー
Ｐ,そういうお前さんは歌舞伎揚げ砕いて米に振りかけとるやん
芳乃,これにー、渋めのお茶を注ぎ入れるとー
Ｐ,畜生、それ美味いに決まってるだろ。あ、おかわり必要だったら挙手してなー
幸子,はいっ
ありす,はい
乃々,はい…
こずえ,へーい
文香,気持ち多めぐらいで…
芳乃,皆さまよく食べますー
Ｐ,ちょっと待って今返事が多くなかった？
芳乃,お茶のおかわりですー
Ｐ,お、ありがとな
幸子,あ、ボクにもいただけますか？
芳乃,はいなー
文香,ありすちゃん、コップが空っぽです…今注ぎますね
ありす,わわっ、無理なさらないで下さい！ヨロヨロしてます！
文香,だ、大丈夫です…
Ｐ,大丈夫じゃねぇよーそれ俺の茶碗だよー
文香,…あ
乃々,い、意図せずしてお茶漬けになっちゃったんですけど…
Ｐ,うあー…
文香,…あ、えと……。…ゆ、許して…にゃん？
Ｐ,全てを赦そう
幸子,ちょろっ！
ありす,にゃんですか？語尾ににゃんとつければいいんですかにゃん？
Ｐ,某猫ドル前川みくナントカさんのアイデンテイティがクライシス帝国しちゃうからやめなさい橘さん
ありす,ありすですにゃん！
乃々,もう、呼び方ぐらいいいじゃないですか…
ありす,いつまでも名字呼びでは４年後同じ姓になった時にすぐに慣れないじゃないですか
乃々,プロデューサーさんの未来、確定されてるんですか…
Ｐ,どうしよ、このお茶まみれご飯…
幸子,お茶漬けとして食べちゃえばいいのでは？
Ｐ,うーん、仕方ないか…。んまっ
文香,…け、計算通り…です
幸子,文香さんですよね？中にフレデリカさんとか入ってませんよね？
Ｐ,何でこう、ご飯に汁物ぶっかけて食うのって美味いんだろうなぁ
芳乃,わたくしもー、たまに御御御付けをご飯にかけてしまいますー
Ｐ,いや、それは常識の範疇だろ。チーズとか入れるともう最強無敵だよな
ありす,あまり品の良い食べ方では…と、言いたいところですがお鍋の汁を既にかけてしまっているので論破出来ません…
乃々,た、卵かけご飯も…範疇ですか？
Ｐ,もちろん。卵混ぜてから入れる派とご飯に乗せてから混ぜる派があるって聞いたけどあれって都市伝説なんだっけ？
幸子,ボクは混ぜてからかけますね
乃々,お、同じく……ポン酢を垂らすのが好きです…
ありす,私も混ぜてからですね。ちなみに私のオススメトッピングはイチゴジャ
Ｐ,食べるラー油とかワサビなんて入れてもイケるよな、卵かけご飯って
ありす,イチゴジ
Ｐ,文香はどうだ？何か拘りとか
ありす,なんで言わせてくれないんですかっ！
文香,…そう、ですね……。…卵かけご飯を……フライパンで炒めると、美味しいです…お試しあれ
Ｐ,うん、それ炒飯って言うんだけどな
文香,…っ！
乃々,何てことでしょう…こ、この人本気でショック受けてますけど…
文香,そ、そんな…今までこの焼き卵かけご飯
芳乃,残念でしたー
幸子,どうしましょう…ボクの中で加速度的に文香さんのイメージが崩れていくんですが
芳乃,お茶漬けがー、うまうまですー
幸子,明太子入れてもイケますね…何なんでしょう、この明太子という食欲増幅させる権化のような食べ物は
ありす,卵焼きに入れたりしても美味しいですよね
乃々,も、もりくぼは…卵焼きにそぼろを入れるのも好きです…
Ｐ,米が進むモノって大概卵とも相性いいよな。海苔も高菜もキムチも
文香,卵焼き……食べたくなってきました
Ｐ,今から作れと？
幸子,流石にそろそろお腹いっぱいですよ
ありす,右に同じくです
芳乃,ぽんぽんぱんぱん、ですー
乃々,む、むぅーりぃー…
文香,残念、です…
Ｐ,文香はまだ食べ足りなかったのか？
文香,もうギブアップですが
Ｐ,なら何で催促したんよ
芳乃,お茶ですー
Ｐ,ありがとなー。芳乃は良い奥さんか土地神になれるな
芳乃,ふんすー
ありす,プロデューサーさん、お茶は如何ですか？
Ｐ,たった今満たされた湯呑が見えんのか橘さん
ありす,ありすです
幸子,しかし女の子５人に埼玉県民１人でこんなによく食べましたね…炊飯器空っぽになっちゃうとは
乃々,業務用サイズの炊飯器を空にするとか…カロリー考えたくないですけど…もりくぼがもちもちになってもちくぼになってしまうんですけど…
文香,…みなさん、明日からレッスンがハードになりそうですね…
Ｐ,実は一番食べてたの文香なんだけどな。とりあえずお前明日は茜とマラソンな
文香,なんと
ありす,お待たせしました。メインディッシュ、イチゴになります
幸子,デザートですよね
乃々,あ、じゃあ…テーブルの上片付けます…
Ｐ,もう洗い物も全部終わったぞ
幸子,うわっ、本当だいつの間に！
芳乃,重加速とー、くろっくあっぷとー
文香,ラディカルグッドスピードも真っ青の速さです…
ありす,プロデューサーさん、イチゴですよイチゴ！
Ｐ,見ればわかるよ。手ぇぐらい拭かせてくれ
芳乃,プチトマトかもしれませんー
Ｐ,え、マジで？
幸子,信じないでください。そんなピュアな心持って無いでしょう
Ｐ,酷ぇ…これでも実は４歳までサンタ信じてたのに
乃々,案外現実を知るの早かったんですけど
ありす,今日は本当によく食べました…こんなに沢山ご飯を食べたのは久しぶりです。あ、プロデューサーさんの分のイチゴです。練乳は？
Ｐ,マシマシでお願いします
幸子,１人だとどうしても適当な食事で済ませてしまうんですよね…こうやって皆さんと一緒に、というのは良いアイディアでしたね
文香,また…機会があれば
Ｐ,定期的にやるつもりだぞ。まだまだ米もしこたまあるしな
幸子,そんなに大量に用意したんですか？
Ｐ,いや、ファンからの差し入れなんよ。ウチの所属アイドルの熱心なファンの方に米農家の人がいてさ。この前卑しい豚の拵えたモノでよければどうぞお納めくださいませブヒィ！
ありす,どこからツッコめばいいのやら
幸子,誰のファンなのかここまで分かりやすい例もありませんね
Ｐ,卯月か美波かもしれないぞ？
乃々,頭ごなしに否定できねぇんですけど
ちひろ,今夜も例のお食事会ですか？
Ｐ,ええ。思った以上に好評で
ちひろ,しっかり食べてるからでしょうかね。最近みんなお仕事も評判良いですよ？
Ｐ,アイドルは体が資本ですからね。食事って大事ですよね。最近は有り余ってる米でみんなの昼食用におにぎり作って持っていかせてるんですよ、ほら
ちひろ,おにぎりって言うかサッカーボールじゃないですかソレ
Ｐ,日替わりで具を変えてるんですよ。ちなみに今日は山葵漬けです。食べます？
ちひろ,問題は具じゃなくて量だよ
未央,ふぇ～…ようやくお昼休みだよ
凛,今日の収録はちょっと忙しかったね…はいお茶
未央,ありがとしぶりーん…
凛,折角だしプロデューサーがくれたおにぎり食べようか
卯月,狂気を感じさせるサイズのアレですね！
未央,味は凄く良いんだけど１人分３合超えてるよね、これ絶対
凛,ふふ、プロデューサーって時々こうして愛を試してくるよね
卯月,寝言はともかく頂きますっ！
アッキー,痛いぞ
未央,ファッ！？
凛,ちょっ、卯月ストップ！それおにぎりじゃない！
未央,アッキーだ！それアッキーだ！！
卯月,あむあむ…今日のおにぎりはタンパク質豊富です！
未央,しまむー！ペッしなさい！ペッ！
卯月,おぐぐぐぐ
凛,ああっ、駄目だよ頬袋に入れようとしたら！
アッキー,マッテクレーヨ
聖來,ねぇ、何で今日はおにぎり抱いてるの？
優,え？
