前川みく,……あ、もしもしPチャン？うん。うんうん、わかってるにゃ。取材ね、アイドルらしいふるまいね。わかってるわかってる。うん。……はーい、じゃあね～
みく,……ふ、ふんふん。な、なるほど……？。やっべ本気の博多弁全然聞き取られへんかった。そ、そうだったのにゃあ……ナルホドにゃー……。どっちでもよくなかったのにゃ。笑美チャンの関西弁ならヘーキだったのに。方言ってすごい。みくはあらためてそう思ったにゃ。こ、困ったにゃあ……結構大部分が聞き取れてないにゃ。ううん
笑美,……
鈴帆,……
みく,めーっちゃ真剣な顔してるもんね……ちょっとなに言ってるかわかんなかったにゃ。とは、言えない……うん
笑美,みく？
みく,にゃっ。な……なに？
笑美,なに？やあらへんやろ。みくはどう思うんや？ショージキに。鈴帆っちの話聞いて
みく,正直？ちょっとなに言ってるかわかんなかったにゃ。……じゃなくてぇ。え、えーっと……うーん……みくはね、うん……その。やっぱりね、お互いの気持ちが大事だと思うっていうかね、つまりあの、ケンカはよくないし、やっぱりね、ちょっとみくには難しい問題っぽいし、他の人の意見も聞くべきかもっていうかね
笑美,ほかの人ォ？
鈴帆,ほかの人ォ？
みく,ひえっ
笑美,……まぁそらそうかもな
鈴帆,仕方なかね
みく,っしゃ、セ────フっ！！！！。次来る人にもっかい説明してる間に、鈴帆チャンの言葉理解しなきゃ。最悪、できなかったら次の人の意見に乗っかるにゃ……ちょっと申し訳ないけど、仕方ないよね。おっ、タイミングよし。誰かにゃ……？
村上巴,おう。おはようさん。……なんじゃあ、揃ってこっち見よって
みく,おっとォ雲行き怪しいかにゃ？
鈴帆,いいとこん来たばい
笑美,ちょっと聞いたってえな
巴,あん？。はぁん。そりゃあムズかしい話じゃのう
笑美,せやろ
鈴帆,そうやろ
みく,でしょ？。アカン、まだ全っ然聞き取れてないにゃ……しかもこれまた、巴チャンも方言だよね……
巴,おお。笑美は今んままがええ。鈴帆ァ変わるべきじゃあ思うとる。お互いに考えが決定的にズレとる以上、そらケンカにもなるわの
みく,お！広島弁もちょっと心配だったけど、これなら平気……？
巴,しかしまあ、その辺はうちがどうこう言えることじゃないじゃろ
みく,お？
巴,うちゃあまだまだガキじゃ、そのこたぁこの事務所に入ってようようわかったわ
みく,おお？
巴,笑美や鈴帆、後輩でもない年上の人らにこないせぇ言えるほどの器量は、正直まだ持ち合わせとらん
みく,おっとォ？
笑美,んー、……まあ、そんならしゃあないか。ほなやっぱり
鈴帆,みくしゃんに判断してもらうしかなかやろか
みく,ちょっ。ヤバいヤバいヤバい！だれか……っ！。あっ、きた！？ナイス！！
藤本里奈,あっは！それマジで言ってる系？ヤバたんすぎて超ウケ大輪丸なんすけどー！
大槻唯,マジマジ！まじ卍な～！
みく,あっかん。最近のギャル語も大概難しいから……。ああいやいやでも、里奈チャンも唯チャンも、真面目なときは真面目にやってくれるはずだし……？
里奈,ん？……およ？……あっ、部屋間違えちったぽよ？
唯,ホントだー、ついつい来ちゃうよねー事務所ー！
里奈,ねー！呼ばれてんのは専務室だったっけ？どこだっけ？
唯,確かー、十三階？
里奈,ここはー？
唯,二階ー！
里奈,間違えすぎなー！
唯,ホントそれー☆
みく,そもそもが自由すぎるにゃあ！！
笑美,どや鈴帆っち！あの二人にも負けてられんやろ！
鈴帆,うむむ……ばってん
みく,負けてられん……？。コレは鈴帆チャンのせりふのヒントになる……？うぅん。次！次来る人に期待にゃ！。っしゃ！
神崎蘭子,煩わしい太陽ね
みく,ちょおーい！！
蘭子,……む？……なにやら淀んだカエルムを感じるわ。遥か西より来りた熱度の風……求めしアルマは愉楽か否か……？解らぬ。そなたらのアカ・マナフとなるは望むべくではない。またの邂逅を待とう
みく,えっ、帰るの！？なにしに来たのにゃあ！
赤城みりあ,いつもと違う雰囲気……笑美さんと鈴帆さん。真面目そうなお話ですよね……わからないですけど。邪魔になっちゃうといけないので、ここで失礼しますねだって！
みく,みりあちゃん！？どこにいたのにゃ！？
みりあ,巴ちゃーん、レッスンの時間だよっ！行こ？
巴,おう、わざわざすまんの。今行くけぇ
みく,無視！っていうか、えっウソぉ。みく置いてかれるの？
笑美,蘭子はんは健気やなあ
鈴帆,うんうん
みく,……その言い方、みくがでしゃばりみたいだにゃあ
笑美,………………あっ、そんなことないで？
みく,その間は！？
桐生つかさ,オイオイオイさっきからうるせーよ。なにやってるワケ？
みく,あぁっ、頼りになりそうな人が！
つかさ,なんかイシューでもあんの？ならコンセンサス取るのがマストでしょ、クールダウンしてさ。それがASAPなソリューションだろ結局。じゃあな
みく,頼りになんなかった！なんて！？。
アナスタシア,シトー？……みなさん、どうかしましたか？
みく,アーにゃん！……アーにゃんかぁ～～……
アーニャ,シトー？
笑美,さっきからみくはんなに騒いでんやろ
鈴帆,ウチらの喧嘩忘れてんちゃう
みく,忘れてねえから困ってんのにゃ！ちょっとタンマ！。アーにゃんこっち来て！
アーニャ,シトー？
笑美,タンマってなんやねんなあ
鈴帆,さぁ？
みく,実はね、……かくかくしかじかねこねこにゃあにゃあ────って感じでね
アーニャ,アー……そうなんですね？。それなら、アーニャがたずねてみます。それでもう一度説明してもらって。みく、そのあいだに、頑張ってください
みく,ホント！？あ、ありがたいにゃ……アーにゃんマジ天使……
アーニャ,ふふ……言いすぎ、ですね？では。エミ、スズホ？
鈴帆,お、戻ってきた
笑美,なんや？
アーニャ,Почемувысражаетесь？Пожалуйста,расскажимнепричину.Пошлиспокойно.Онатожеволнуется.
笑美,は？
鈴帆,お？
みく,アーにゃんっ！？！？
アーニャ,ふふ。冗談、です。みくの慌ててるのが可愛くて、つい
みく,今そういうのいらないのにゃあ！！……でもありがと！！！
アーニャ,どういたしまして、ですね？
みく,後半だけ受け取らないでね！！
笑美,なにをイチャこいとんねん
鈴帆,なんち言うとったとか……？
みく,次から次へと！！
メアリー・コクラン,……Huh,huh.Well,sowiththat?
ケイト,Well,Itoldhim
メアリー,What?
ケイト,"Isthisthespacestation?"
メアリー&ケイト,HAHAHA!!
みく,そんなハリウッドみたいな！！普段カタコトだけど日本語でしゃべってるでしょ！？
アーニャ,シトー？
メアリー,あ、ミク！聞いてヨ笑っちゃうワヨ？
みく,今それどころじゃないの！
ケイト,Apparently,sheseemstobebusy.Let'sdoitnexttime,Mary
みく,洋画っぽい仕草すんなにゃあ！！
キャシー・グラハム,オー、ペラペラ、ペラぺ～ラ！
みく,いつ来たの！？ってか無理して混ざんにゃ！
笑美,ウチらもはや空気やんな
鈴帆,結構大事なこつば話しとったになあ
アーニャ,シトー？
双葉杏,……なにこれ、なんの騒ぎ？
みく,杏チャン！？救世主かにゃあ！
杏,はぁ？。……あー……なるほどね？。あずましくねぇべなぁ。はっちゃきこきたくねぇし、杏はかぜんといて。からっぽやむのが杏のポリシー
みく,助けてくれない！。悪ノリしないでほしいにゃ！！思い出したみたいなどさんこ要素！！！
杏,
みく,無言でモ◯ハン始めてるし！
奥山沙織,今とうほぐの方のなまりさ聞こえたべ！！
みく,にゃっ！急になに！？沙織チャンそんなキャラじゃないでしょ！！？
ライラ,???????????????????????.???????????????????????????????.
ナターリア,Bem,eugosteidoparquededivers?es.Voltemosjuntosnovamente
ライラ,……
ナターリア,……
ライラ,……？
ナターリア,……？
みく,ふたりはいったいなにをやってんのにゃ！？。そりゃそうなるでしょ！！！日本語使って！！
高峯のあ,……アナスタシア。星屑の導きに従うときが訪れたわ
みく,今度はのあにゃん……！。……えっ？
アーニャ,ノア！にゃんにゃんにゃんのレッスンのお時間、ですねー。すみません、みく
みく,えっ、なにそれ聞いてないんだけど。みくは？？？？？
のあ,……みく
みく,あっ、みくも一緒？だよねだよね、連絡ミスかなぁ？
のあ,……グッドラック
みく,うっさいよ！！！！。てゆーかホントに置いてかれたんだけど！！？？なんでにゃ！？！？
モバP,前川はこの後取材の仕事入ってるから。仕方ないだろ
みく,あっ、そっか……。えっ、あっ、Pチャン待って！？！？この惨状見てよくどっか行けるね！？
鈴帆,────みくしゃんも追っかけてったばい
笑美,……えっ、ウチらの話は？
鈴帆,終わり？
笑美,うっそやん。ヒくわぁー……
鈴帆,トレーナーしゃんにアドバイスもらいに行ってみよか？
笑美,せやな。……すまんな鈴帆っち。ちょい興奮しすぎたわ、さっき
鈴帆,そらぁお互いさまったい……こちらこそ
