海軍大佐――――。大日本帝国海軍・軍艦,艇
ある海域下での深海棲艦における司令塔の役割を担う存在である性質上、彼女の名前は,姫
――――そして彼女の在りし日の名前は、,軍艦・球磨
1944年1月11日にマラッカ海峡沖で沈んだ,軍艦・球磨
――――それは,心
艦娘は艤装を取り払ってしまえば、それは只の,生身の女の子
そして姫が、いくら,分岐したもう一人の球磨の存在
木曾は、自分が知っている球磨とは別人であると理解していても、,軍艦・球磨
そして木曾は、濁流の様に押し寄せる,球磨姉を殺そうとした
軍艦・球磨は、つんつんと心配そうに自身の脇腹をつつく、まるで魚の様な形をした深海棲艦、,駆逐イ級
――――1943年11月、1630、沼南島,シンガポール
以前は英国軍が利用していたセレター海軍基地であったが、先の,新嘉坡シンガポール
そして其処には現在、一隻の軍艦が乾船渠,ドック
再会の喜びを孕んだ声色を投げかける球磨に対して、更に階級を上げていた在りし日の提督である,中将
これ程、気高く、一点の曇りも疑念もなく、唯自身の想いだけを信じて,戦う
その中将が述べた戦法を聞いた軍艦・球磨は、,来るところまで来てしまった
ふいと、思いついた中将は、自身が被っていた士官軍帽を、隣に備え付けられていた揚錨係留装置,ケーブルホルダー
そしてそれ以上に、中将には決して反故に出来ぬ,あの娘
中将はその約束を交わした時、いや戦争が始まるずっと昔から、,あの娘
だがあの男は、決して,戦い
先程のドスの利いた声といい、普段は目線を合わせて話す中将だが、,軍艦・球磨
――――中将を見据え、,軍艦・球磨
気立ては良いが、少々お喋りなこの若い陸軍将校の話を、中将は,興が乗った
その中将の返事に陸軍将校は、,待ってました
中将は一刻ずつ姿を変える夕闇に、あの日見た,軍艦・球磨
軍需管理部長――――海軍中将。充員召集解除,解雇
中将は敗国の将ではあったものの、,海軍中将
――――それは紛れも無く,全てを喪った男の顔
戦艦・武蔵、並びに扶桑、山城、金剛など、数多の艦艇を喪った、,レイテ沖海戦
戦艦・大和、並びに矢矧、浜風、磯風、霞、朝霜を喪った,坊ノ岬沖海戦
国ひいては親兄弟を護る為、その先の平和への礎に自らならんとし、自ら望んで兵器として組み込まれた,特攻
人類史における、ありとあらゆる人間の業と言う業を集約し、広島・長崎へと投下された,原子爆弾
どれも,倫理観
連合国軍最高司令部,GHQ
日本の過去を裁く為、様々な,正義
日本の未来を護る為、様々な,戦い
連合国軍最高司令部,GHQ
そう、一時たりとも忘れ得なかった、,軍艦・球磨
大方、大戦時にJepun,ジュプン
――Jepun,ジュプン
この鉄屑で1トンあたり600リンギット,2万円
これが私の,最期
結局私は、あれだけの強言を吐いておきながら、,答え
でも向こうでお前に,答え
それにしても、くだらねぇよなぁ。,戦争
あー。実は俺さ、何年か前にJepun,ジュプン
――血も涙も温かみも優しさも無い、冷徹無慈悲なこの世界に対しての,戦い
この瞬間、,深海棲艦
――――そして、暫くして、,艦娘
そして提督は、一通り組み上げた綴織,タペストリー
問題の中心に居たのは、,深海棲艦
――――そして提督は、今まで見た夢の事、,軍艦・球磨
最初は,そんな悠長に夢の話をしている場合か
提督は手慣れた様子で、自分達の行動を他の誰にも悟られない様に注意深く、電探,レーダー
それは先程、球磨が執務室で見せた,不安
――――それは過去の自分と真正面から向き合わなければならないと言う,怖さ
心の中でそう叫んだ提督は、意を決した様に言葉を投げかけ、球磨のその,怖さ
――――自分自身の清らかな想い、己が,生きる意味
先程浮かべていた,怖さ
しかしその速度は、通常限界出力である,最大戦速
また出力,一杯
もう一人の自分である,軍艦・球磨
何かを成し遂げる為に,戦う
――,自分自身
其処には、海面に映る月光の道を境に、一つで二つの存在、,軍艦・球磨
形は違えど、同じ,魂
その二人の表情には、,運命
――――己が境遇、己が,運命
既にこの戦いは,体
どちらの,想い
それに,もう一人の私
納得した様な声を上げた軍艦・球磨は、,気にしなくていい
その表情は、やっと,答え
この出来事を誰かに伝えなければと言う焦燥に駆られた僕は、僕が最も信頼を置いている地方総監部,鎮守府
その右手には砲塔,ターレット
その左手には献花,カーネーション
その花言葉は、,尊敬
深海棲艦との戦闘が殆ど報告されなくなった影響、また戦闘行動を止めた一部の深海棲艦の娘を、国防海軍が,艦娘
そして、現在の艦娘たちの任務は、,深海棲艦と戦う任務
憂虞の念を浮かべた提督に対して球磨は、,もう心配しなくていい
突然、提督のポケットに入っていた軍用携帯端末,PDA
近海20海里,マイル
本作品のメインテーマは,戦う者の想い
また、バックテーマは,過去と現在を紡ぐ
本作品では、,大東亜戦争
また、この作品はあくまでも,史実モノ
○木俣滋郎日本軽巡戦史,図書出版社、1989
○原為一ほか軽巡二十五隻,潮書光人社、2015
○戦艦大和＆武蔵と日本海軍305隻の最期,綜合図書、2015
○特攻最後の証言,文春文庫、2013
○図解太平洋戦争,河出書房新社、2005
○加藤陽子それでも、日本人は,戦争
○E.H.カー歴史とは何か,清水幾太郎訳、岩波新書、1962
○夏目漱石,私の個人主義
