ジャーニースター,並木芽衣子・間中美里・伊集院惠
美里,まぁまぁ、冷めちゃう前にいただきましょう
芽衣子,いただきますっ！
惠,いただきます
美里,いただきまぁす
芽衣子,おいひ～♪パリパリ～♪
惠,このギョウザ、野菜感が強いのね
美里,白菜使ってるんで、キャベツよりそう感じるかもですねぇ
芽衣子,タレつけたら最強！
惠,市販のもの以外を初めて食べたかも
美里,やっぱりピリ辛のタレがベストなんですよぉ
芽衣子,惠ちゃんが家でギョウザ作ってるの想像すると面白い
惠,あら、芽衣子はもうごちそうさま？
芽衣子,ウソウソ！惠ちゃんギョウザすっごい似合うナー
美里,ギョウザが似合うって褒め言葉じゃないよぉ
芽衣子,スープもあったまるぅ
美里,食卓に汁物があると落ち着きますよねぇ
惠,冬は余計そう
芽衣子,いやぁ、ホッとしますなぁ
美里,こたつであったかいごはん食べるのってなんだか贅沢ですねぇ
惠,食べ終わったあとが大変でしょうけど
美里,確かにもう出たくなぁい
芽衣子,惠ちゃん、そういうのは食べ終わってから考えるものだよ。マナー違反！
惠,ズボラな新説マナーね
芽衣子,こっちのギョウザ、チーズが入ってる？
美里,正解～♪やっぱり定番ですよねぇ
惠,案外ワインと合うのかも
芽衣子,呑んべえさんはすぐ飲みたがるんだからぁ
美里,お酢とコショウで食べるとお酒飲みたくなっちゃうかもぉ？
惠,……すごいおいしい。おいしいわ、これ
芽衣子,どれどれ～……んっ！んまい！
美里,こういうシンプルなのって大人になってからおいしさに気づくんですよねぇ
惠,天ぷらを塩で食べたりね
芽衣子,確かに昔はこってりなものばっかりだったなぁ
美里,大人になったなぁっておもっちゃいますよぉ
芽衣子,お酒飲んでるときとかねー
惠,ひとり旅しているときもおもうわ。自分ひとりでいろんなことをやるから
美里,パスポート作ったとき、大人だっておもったんですよぉ
芽衣子,あ、それわかる。これでどこでも行ける！なんて勝手におもってたなぁ
惠,そうね。実際はそんなことないのだけれど
芽衣子,そんな勘違いしちゃうことが子供だった証拠なのかも
美里,そうですねぇ
惠,芽衣子はまだ随分子供っぽいけど
芽衣子,何回も言うけど一番年上ー！
美里,もっと大人になったら、こういうこともできなくなるのかなぁ……なぁんて
芽衣子,……
惠,……
美里,あ、あれぇ？ふたりともびっくりして、どうしたの？
芽衣子,大丈夫じゃない？
美里,え？
惠,美里もそんなこと考えるのね
美里,え、えっ、か、考えないのぉ？
芽衣子,むしろずっと続くって勝手におもってるよ
惠,えぇ、理由はないけど
芽衣子,理由ないけど自信はあるやつ
惠,こういうところで意見が合うのね
芽衣子,私たちの仲じゃーん
惠,そうかもね
芽衣子,照れるな照れるな～♪
惠,近いから
芽衣子,塩対応！。よしっ！お酒飲もう！アルコール入れなきゃ！
美里,えっ、今日は飲まないって
惠,いいわね、付き合うわ
美里,えぇ～惠さんまで……じゃあ私も飲まなきゃじゃないですかぁ
惠,2人より3人、でしょう？
美里,それ言ったの芽衣子さんだよぉ
芽衣子,ふふふ、美里ちゃんも共犯者じゃ～
惠,ギョウザとアルコールは相思相愛よ？
美里,ギョウザ作っちゃったのは私だけどぉ
芽衣子,いえいビール！
美里,缶がつめたぁい～
惠,こたつで冷えたビール、趣深いじゃない
芽衣子,いとをかし！
惠,いとをかし
美里,えっ、それカンパイなの？
芽衣子,夜はまだまだこれからだ！。えす・えす・あーる！
