【ポケモンhgss】イブキ,ありがとう
ゴールド,マントか……。あ、もうこんな時間だ！早く帰らないと夕飯に間に合わない……。ボーマンダ、ちょっと急いでくれ！
ボーマンダ,ｷﾞｬｰｵ!
イブキ,ワタル兄さんがそんなことを……
ゴールド,いろいろ勉強になったよ。でも、ドラゴン使いのマントだから、イブキはともかく、ぼくにはあまり関係のない話じゃないかな？
イブキ,関係、あるかもしれないわ
ゴールド,どうして？
イブキ,必ずしもドラゴン使い同士で結婚するとは限らないからよ
ゴールド,？
イブキ,つまり、誰かがドラゴン使いの家に婿入り、嫁入りする時ね。そういう時も、マントはちゃんと二人分用意するの
ゴールド,ふ～ん
イブキ,もちろん、フスベの外の人が、ドラゴンポケモンを連れているとは限らないから、その時は一番なついているポケモンの絵を刺繍するの。伝統といっても、そのあたりは、けっこう柔軟にできているのよ
ゴールド,へ～！イブキは物知りだなぁ
イブキ,そうでもないわよ。……そうだわ、確かここに……。つまり、誰かがドラゴン使いの家に婿入り、嫁入りする時ね。そういう時も、マントはちゃんと二人分用意するの
ゴールド,ふ～ん
イブキ,もちろん、フスベの外の人が、ドラゴンポケモンを連れているとは限らないから、その時は一番なついているポケモンの絵を刺繍するの。伝統といっても、そのあたりは、けっこう柔軟にできているのよ
ゴールド,へ～！イブキは物知りだなぁ
イブキ,そうでもないわよ。……そうだわ、確かここに……
ゴールド,これは……アルバム？
イブキ,そうね。おじいさまの若いころの写真
ゴールド,当たり前だけど、若いね……
イブキ,昔はこんな見た目だったらしいの。これが結婚式の時の写真よ
ゴールド,フスベの結婚式ってこんな感じなんだ。もしかしたら、ぼくもこんな風に……？
イブキ,……それで、これが
ゴールド,ワタッコのマント……もしかして長老の奥さん？
イブキ,そうよ。キレイでしょ？
ゴールド,さすがはイブキのおばあさん……すごい美人だ
イブキ,もう！マントの話よ……///
ゴールド,あ、そ、そっか……
イブキ,……あとは、こんなものもあるわよ
ゴールド,マント……にしては小さいけれど
イブキ,フスベではね、子供が生まれた時にもマントを作るの
ゴールド,健康な成長を祈って、みたいな？
イブキ,そうね。フスベではドラゴンポケモンたちが子供を守ってくれる、という伝説があるのよ
ゴールド,あ、これが小さいころのイブキの写真かぁ。お、タッツーやミニリュウもいる。みんなかわいいなぁ
イブキ,うれしいこと、言ってくれるわね
ゴールド,今のイブキもかわいいよ
イブキ,もう///。でも……
ゴールド,へ～！よく見るとミニリュウみたいな刺繍がある……ん？
イブキ,……やっぱり、話したほうがいいわよね
ゴールド,どうしたの？イブキ
イブキ,言わなければいけないことがあるのよ
ゴールド,？
イブキ,儀礼用のマントがある、ってワタル兄さんから聞いたでしょ？
ゴールド,うん
イブキ,それについて、トラブルがあって……
ゴールド,トラブル？
イブキ,実は……
ゴールド,実は？
イブキ,……実はもう、あなたのマントが、ほとんど完成しているのよ……
ゴールド,マントって、どのマント？
イブキ,こ、婚礼用のよ……///
ゴールド,…………。は？
マント職人,……しかし長老さんや。イブキちゃんのはともかく、ムコ殿のマントを、勝手に作ってしまっても、いいのかえ？
長老,彼は、数少ない、わしの見込んだ子じゃ。気変わりすることは、無かろう
マント職人,まあ、長老さんがそう言うなら、信用いたしましょ……あたし共で腕によりをかけて縫いましょうか
長老,うむ、頼んだぞ
マント職人,じゃあ、ムコ殿のポケモンの写真かなにかはあるかえ？
長老,こんなこともあろうかと、ゲンゾーに焼き増しさせておいた分が……
マント職人,ほうほう、このボーマンダが……
長老,こっちはイブキのキングドラの……
マント職人,なぁるほど。任せとき……
ゴールド,……そんなことが
イブキ,この前、一緒にマント屋に行ったことがあったでしょ？
ゴールド,その時に？
イブキ,ええ。少し怪しいところがあったから、あとで問いただしてみたのよ。そしたら、こんなことが……
ゴールド,文化財で外堀を埋められてしまった……。というか、人の写真を勝手に渡したら駄目でしょ、ゲンゾーさん……
イブキ,ごめんなさい。もっと早く聞いておくべきだったわ。おじいさまにもいろいろ言ったけれど、もう手遅れで……
ゴールド,大丈夫だよ。イブキが謝らなくても
イブキ,困ったものね、おじいさまも、町の人たちも
ゴールド,放っておけない性格なんだろうね
イブキ,周りばっかり先走って、迷惑よね……？
ゴールド,全然迷惑じゃないよ。むしろ……。あっ
イブキ,つまり、わたしと結婚してもいい、ってことよね……！
ゴールド,これじゃあまるで、プロポーズしてるみたいじゃないか……！。……
イブキ,……
ゴールド・ゴールド,ねえ
ゴールド,……
イブキ,……
ゴールド,……そろそろ、寝ようか
イブキ,…………そうね
ゴールド,……。眠れない……そして気まずい……。イブキも……
イブキ,……
ゴールド,寝てないか。どうしよう……。……。こういう日が、いつか来るのは分かっていた
ナツメ,予感は3年前からあったのよ！
ゴールド,違うそうじゃない。直接訊けば、すぐに分かることだ……。でも……。確信が、持てない。イブキは、本当に、ぼくと一緒に居たいと思っているのか。そもそも、自分にその覚悟があるのか。核心に近づくのが怖い。この関係を壊したくはない。……
イブキ,……ねえ
ゴールド,……
イブキ,まだ、起きてるんでしょ
ゴールド,……うん
イブキ,そっちに行っても、いいかしら
ゴールド,……
イブキ,いいわね
ゴールド,……
イブキ,……
ゴールド,せ、背中にイブキのが当たって……。おおお落ち着け、こういう時はヤドンのしっぽを数えるんだ！
イブキ,ゴールド……
ゴールド,ん？……
イブキ,あなたは……わたしと、結婚したいの？
ゴールド,直球で来たーっ！？
イブキ,……
ゴールド,……
イブキ,わたし、ときどき考えるのよ
ゴールド,……？
イブキ,わたしは、あなたにふさわしくないかもしれないって
ゴールド,……らしくないね、世界一のドラゴン使いが
イブキ,世界一でも、何でもないわ。わたしは、あなたに守られてばかりで、自分の気持ちにも素直になれなくて
ゴールド,そんなこと、ないよ
イブキ,……ありがとう。それに、怖いの。ある日、あなたがどこかへ旅立って、消えてしまうかもしれない。あなたが明日もいる保証はどこにもないわ。わたしたちを縛るものは、何も無いから
ゴールド,それが、あのマントか……
イブキ,……本当は、あのマントのことを、伝えないことも考えたのよ。あなたは優しい人だから、多分、周りの勢いに乗せられたら、断れないわ。でも……それってフェアじゃないわよね。それに、ひとの力に頼ってあなたを手に入れたら、わたしがみじめになるでしょ？
ゴールド,……
イブキ,だから、がんばって伝えるわ。あの日のあなたのように
ゴールド,……！
イブキ,やっと、こっちを向いてくれたわね
ゴールド,……背中で聞くわけにもいかないからね
イブキ,……ふふっ。……。ゴールド……。わたしと、いっしょに生きてくれるかしら
ゴールド,あの日、約束したことは今でも変わっていないよ。イブキに、がんばってって言って欲しい。ぼくもイブキに、頑張ってって言いたい。たとえ、きみがぼくを疑うようなことがあっても。ぼくは、イブキを嫌いにならないよ。絶対に、イブキの前からいなくなったりしない。だから。結婚しよう。それで、お揃いのマントを着よう……！
イブキ,……
ゴールド,……？
イブキ,うぅ……っ
ゴールド,……
イブキ,ごめんなさい……
ゴールド,いいんだ、いいんだよ
イブキ,うれしくて、あんしんして、それで……
ゴールド,うん、うん。ぼくは待つよ。だから、好きなだけ泣こう
イブキ,う……っ……
ゴールド,はい、熱いから気をつけてね
イブキ,……ありがとう
ゴールド,落ち着いた？
イブキ,ええ、あなたのおかげね
ゴールド,どういたしまして
イブキ,……
ゴールド,……。……夢じゃ、ないよね
イブキ,……らしくないわね。チャンピオンになった時も、しれっとしていたのに
ゴールド,ワタルさんから聞いたのか
イブキ,そうよ
ゴールド,……あの時より緊張したよ。だって、応援してくれる人がいなかったから。……夢じゃ、ないよね
イブキ,……らしくないわね。チャンピオンになった時も、しれっとしていたのに
ゴールド,ワタルさんから聞いたのか
イブキ,そうよ
ゴールド,……あの時より緊張したよ。だって、応援してくれる人がいなかったから
イブキ,あら、わたしがあなたを何とも思っていなかったかのような言い方ね
ゴールド,そ、そうじゃないけど……
イブキ,ふふっ、分かっているわよ
ゴールド,と、とにかく！。ありがとう。イブキ
イブキ,ありがとう。ゴールド
ゴールド,ちょっと……窮屈だな……。儀礼用だから、尚更なのかな……？。でも……
ボーマンダ,ｸﾞｩ……
ゴールド,きみの方が窮屈か。ごめんな～、キングドラと違って、お前は陸にいられるからなぁ。ははっ、お揃いだよ、ボーマンダ
ワタル,どうだい、ゴールドくん！ドラゴン使いの格好は？
ゴールド,ワタルさん！……ちょっと、動きにくい気がします
ワタル,初めてだから、それは仕方ないだろう。じきに慣れるさ。そのマントも似合ってるじゃないか
ゴールド,ありがとうございます
ワタル,おれがボーマンダの相手をしているから、イブキに見せてきなよ
ゴールド,そうしてきます！
ワタル,走るなよー！。…………兄さん、って呼んでくれてもいいんだぞ。なあ？
ボーマンダ,ｷﾞｬｵ?
ゴールド,イブキ！入っていいかい？
イブキ,いいわよ！
ゴールド,おお……
イブキ,どうかしら？
ゴールド,何度見てもすごいね……そのマント
イブキ,あら、マントだけ？
ゴールド,もちろん、イブキもきれいだよ
イブキ,髪を下ろすと、けっこう、印象がかわるでしょ？
ゴールド,かなり、古風な雰囲気だね
イブキ,おばあさまの時と同じ髪型なのよ。この方が、伝統を感じられるわ
ゴールド,イブキは、そういうこと大事にするもんね
イブキ,それもあるけれど、憧れていたのよ
ゴールド,結婚式に？
イブキ,そうね、おばあさまの写真を見てからずっと。夢だったのよ。こうやって、好きな人と一緒に、並んでマントを羽織る日が
ゴールド,……結果的には、良かったのかな
イブキ,巡り巡って、このマントが、わたしたちの背中を押してくれたのよね
ゴールド,長老のおかげ、だね
イブキ,ダメよ。おじいさま、褒めるとすぐつけあがるんだから
ゴールド,はははっ！
イブキ,……ねえ
ゴールド,なあに？
イブキ,わたし、幸せよ
ゴールド,ぼくも、幸せだ
イブキ,ゴールド……
ゴールド,イブキ……。み、ミカンさんに……アカネさん、いつの間に！？
ミカン,……古風な雰囲気、のあたりからです
ゴールド,ほぼ最初からじゃないですか！
アカネ,とっくに時間過ぎてるで！
イブキ,……続きは夜までお預けね
ゴールド,そうだね
イブキ,さ、行きましょ
ゴールド,みんなが待ってる
イブキ,今日が、わたしたちの始まりなのよね
ゴールド,これからも、色々なことが起こるだろうけど、二人なら乗り越えて行ける
イブキ,ええ、そうね。だから、これからも、よろしくね。あなた
しかも告白編の次がプロポーズ編という,
個人的には,文化財で外堀を埋められてしまった……
