彡(｡)(;),早く自分語りするんや！ワイの命を無駄にする気か！？
(*^○^*),誰にだお
彡(ﾟ)(ﾟ)(o'ω'n),誰にでもねェ。―――ただワイの――
彡(●)(●)(o●ω●n),ただワイの魂にだ！！！
彡(ﾟ)(ﾟ),奇しくも同じ投下時間や。止まるな！お前達は魔人ブウと高木ブーを越えたくないんか！。そこに山があるから、そこに魔人ブウと高木ブーがいるから。超えるのは本能だろ！。語るんや！自分を！紹介してみぃ、ここは自分語りも面接場や！
彡()(),くっ、いきなりおんちゃんがハモってきてむかついたから裸絞めしたら、その腕を握力だけで細切れにされて、あげく首をにぎりつぶされてもうた！
彡(ﾟ)(ﾟ),魂で声発せられるからよいがこれじゃあ余計な敵作るだけや！。まだクライマックスあらへん、ここで終わったらバッドエンド確定やろ！。早く他の奴も自分語りエネルギーを出しつづけるんや！。よし、ポジハメの奴は顔面トンファーキックで一撃で粉砕した
彡(ﾟ)(^),後悔するくらいなら元からやろんやろ、当然の考えや、この調子で語ろうぜ、自分！
彡(ﾟ)(ﾟ),なっちまえばいいじゃん、雌羆に。血はあらそえんな、坊主は髪洗うの楽すぎて伸ばしてもすぐ洗うの面倒で切ってしまうのがあかんわ、じっくり休むか自分磨きするにゃろ？。剪定おだやかですな……だが油断すんな！もっと自分語りしろ！。この戦いには希少民族である原住民が1145141919人集まってつなぎとめているんやぞ！
(´・ω・`)(´・ω・`)(´・ω・`)(´・ω・`)(´・ω・`)(´・ω・`)(´・ω・`),わー
彡(ﾟ)(ﾟ),だからお前等は自分が出来る最大限をこなすんや！早く自分語りを！！！。ワイの親戚のネコかわいかったなぁ、亡くなったけど……あっ
彡()(),くっ、隙つくっとるワイが隙つかれたらしゃあないわ
彡(ﾟ)(ﾟ),眼鏡ショタは生憎守備範囲外や、だからお前等も自分語りして！動かそう！大地を！。なかなかチャーミングな蜘蛛飼っておるんやな
彡(;ﾟ)(ﾟ),くっ、これが月の宮殿永遠山河(とわさんが)に封印されていた、戦略総合機構オグレンデュの神の杖(リボルケイン)か
彡(ﾟ)(ﾟ),高度千三百kmから金属棒を秒速三百三十四㎏、マッハ九百八十二で射出され、ワイの身体は灰になったがまだ生きてるで、だから語り続けろ、己自身を！
浜松市東区内のショッピングセンターで、ポテトチップスのおまけのプロ野球選手カードの入った袋２５個に、はさみで切り込みを入れたとして、浜松東署は６日、愛知県豊川市中条町宮坪、無職松尾昇容疑者,５１
同署によると、松尾容疑者は５日午後１時５５分ごろから約２０分間、同センターで、おまけのカード付きのポテトチップス２５袋,１袋９０円、計２２５０円
彡(ﾟ)(ﾟ),もう許してやれよ、わいと従業員は絶対許さんが。ちょっと自分語り足りんな、だが少しだけ耐えられるという事、それは永遠に耐えられるという事それが志誠館や。わめくんじゃないで、ただ自分語りのために発しろ！。はやく自分語りするんや！でないとゴミのようなロリ＝コンどもが大量発生する事になるで！。ロリは糞や！やっぱショタが一番やな！。人間はゼクロムには勝てねェ、空手も柔道も習ってねぇゼクロムにだ、だったらどうするよ、語っちまえばいいじゃん、自分語り
彡(●)(●),そしてゼクロムに！
彡(ﾟ)(ﾟ),なかなかええ自分語りやないか、おかげで科捜研の女にバレてもうたわ。安心せぇ、女装はセーフや、特に二次は姿形が雌と同じ格好ならもう雌やろ、そしてリバースト何故パレたし、ググッてやっとわかる程度のはずじゃ――。……まぁ安心しろ、目的遂行までには隙つくるさかい、お前等は自分がすべき事続けろ、わかってんやろ。自分語りや。ワイは人生に余裕なくて5世代で止まってるわ、またやりてぇさ、ドククラゲハーレム、メガヘルガーそんなひどいん？。何言うとるん、ハーバード大出た君こそ語れる、否、語らなあかん、そうなってしもたんや！。ちっ、ヤクザぶっ飛ばしちまったら、用心棒が出てきやがった、全身黒尽くめの男やな。シャツも、ベルトも、ズボンも、靴も全部黒い松井秀和とちょい似た男や。用心棒……やろ？雇い主に対して扱いがぞんざいやな、なんやこの悪寒。……隙を作れるかどうか、自信あらへんが、お前等、はよ自分語りしな！。くっ、萩尾流古武術のおえらいさんが闇空手に転職したせいでこずってミノフスキー粒子担当できん、というかガンダム知らん！高一まで精通してなかったって事？うまそうやん。3歳はやすぎんやろ、ふざけんな、糞ビッチ。やば、そんな事よりはよしないと飼い犬を自らの手で殺さなければならんくなる！ペット元からいない気するが！というか転職関係あらへんやろ！。とにかく自分語りするんや、ワイの身体ももう長くはもたんで！。さぞかわいいんやろな。デコがでかいんちゃう、頭が栗頭先生なだけや、ワックスワックス、栗頭先生なだけや、言われてやろうとすると難しいよな、わかる、飲ーんで飲んで飲んで飲ーんで飲んで飲んで飲ーんで飲んで飲んで育毛剤。くっ、少し休戦してたら近くを通りかかった美少年のお尻の穴に指つっこんだら、その美少年と瓜二つの眼鏡かけた陰キャ女にからまれてもうた、なんやこのブス、この美少年の双子か？。そしたらブス眼鏡陰キャ糞眼鏡女の舎弟とおぼしきブラッドテンプルっちゅう魔法少女貧乳コスプレ女と西洋鎧コスプレ集団にボコボコにされてる最中や、ワイが何したっていうんや、解せぬ。だからはよ自分語りしてくれ、この戦いは休戦はないんやで。エサヒ～ス～パ～ドラ～イ、ダークポケモンやのに金銀時代から当時炎タイプではめずらしかったソーラービームあるし、メガ特性サンパワーやし裏設定でそんなのあるんかね。プレモル～、す～ぱ～ドッラ～イ……フッ、ワイ達が語る自分語りは、全部無駄じゃなかった、これからも、ワイ達が止まらない限り、自分語りは続く、だから止まるんじゃねぇぞ。わいなんて堅気(カタギ)やし、なんてひどい強化パッチ出してやがる、ワイは自分語りのためにこの地を踏んだやきうのお兄ちゃんやぞ、水やりくれぇなんてことはねぇ。お前等を守るのはワイの義務や、いいから自分語りしろや、自分語り玉の威力が上がらんやろ
彡(-)(-),でもそのおかげてやっとわかったんや、ワイ達にはたどりつく場所なんていらねぇ。ただ自分語りするだけでいい、止まらんかぎりスレは伸びる。そうか、もったいないなぁ……、おち〇ち〇ランドも閉園か
彡(ﾟ)(-),安心しろ、ワイは隙作るからよォ、お前達が語るかぎり、その先にワイはいるで！
彡(-)(-),だから……止まるんじゃねぇぞ――
彡()(),あ……が……自分語り玉が暴発して――。あかん……そ、ろ、そ、ろ……げんか……
彡(●)(●),み、……深や…………さ…………………………ン
この短時間の間に琥太郎クンカクンカハムハムしよう、むしろ子作りしよう、戦乙女,ヴァルキリー
彡(ﾟ)(ﾟ),……しまった、光速で発射された高見山のもみ上げがこっち――
