有名番組Ｐ,最近犬が可愛すぎてヤヴァイ
卯月,い、いいじゃないですか！未央ちゃんだけなんてずるいです！！
未央,……仕方ない、ではしまむーにプロデューサーを譲って進ぜよう！
武内Ｐ,本田さんまで何を言って
未央,みんなのプロデューサーでしょ？担当アイドルを差別化するのは頂けませんなぁ。それにもう私を撫でちゃったんだし、一人も二人も変わらないでしょ？
武内Ｐ,それは……そうですが……
卯月,……ありがとう未央ちゃん！。さ、プロデューサーさんお願いします。この手で私の頭を……。この……手で……。……
武内Ｐ,し、島村さん……？
卯月,ひゃ、ひゃい！あ、ほらお願いします！。あ、だ、抱き着いた方が撫でやすいですね！え、えいっ！！
武内Ｐ,
未央,ほほう、しまむーぐいぐい行きますな……
凛,……
卯月,さ、ほらプロデューサーさん？
武内Ｐ,分かりました。それでは失礼します。……。……。……。……。……。……。……。……。……
卯月,ふふっ♪
武内Ｐ,島村さん……？
卯月,何でもないですよ～♪えへへ♪
武内Ｐ,あ、頭を押し付けると髪型が……
卯月,今はいいんです♪それよりもっと撫でて下さい♪
武内Ｐ,は、はぁ
凛,……。…………。……………………。………………………………。…………………………………………。……。プ、プロデューサー！！
武内Ｐ,は、はい！
凛,その……あんまり女の子の頭撫でたりするのって、良くないよ
未央,し、しぶりん？
武内Ｐ,……はい。おっしゃる通りです
凛,女の子の髪ってセットするの大変だからね。下手に触ると大抵怒られるよ
武内Ｐ,はい……
卯月,大丈夫ですよ凛ちゃん。ちゃんと気を使って崩れないよう撫でてくれてましたよ
凛,……ふーん。そこの気遣いはできるんだ……。まぁ私とかは髪下ろしてるだけだし、崩れても手櫛で大体直せるけどね
武内Ｐ,そうですね。渋谷さんの髪はとても綺麗で通りが良くてクセがなく、スタイリストの方からもそういった声を頂いています
凛,そ、そうだよ。それとプロデューサーは誤解されやすい顔してるんだから、女の子の頭に手を乗せたら怖がられるよ
武内Ｐ,はい……
凛,まぁ私は怖がったりしないけどね。あんたの事ちゃんと分かってるし
卯月,凛ちゃん、私たち
凛,あ、そ、そうだね卯月。あ、あとあとそもそもこれってセクハラだからね？プロデューサーも分かってるみたいだけど、普通の人にしたら大問題だよ？
武内Ｐ,……はい
凛,私たちは別にセクハラだなんて言わないからいいんだけどさ
武内Ｐ,はぁ……
凛,それから……えっと……
武内Ｐ,……。……あの、渋谷さん
凛,何？
武内Ｐ,その……大変言いづらいのですが、……渋谷さんも……撫でて欲しい、のでしょうか？
凛,！。ふ、ふーん。あんたがそう思うならそうなんじゃないの？
武内Ｐ,……
凛,わ、私はあの時からずっと、プロデューサーの判断を信じてるから
武内Ｐ,渋谷さん、一つお願いがあるのですが
凛,な、何？
武内Ｐ,あなたの頭を、撫でてもよろしいでしょうか？
凛,！！。う、うん。プロデューサーのお願いなら、いいよ
武内Ｐ,……ありがとうございます
凛,じゃ、じゃあプロデューサー。ん
武内Ｐ,はい、それでは……失礼します。……
凛,……
武内Ｐ,……
凛,うん……悪くないかな……
武内Ｐ,……
凛,……
武内Ｐ,……。……
凛,……ねぇ、もっと強く撫でて
武内Ｐ,強く、ですか？
凛,うん、思いっきり。もっとあんたを感じたいから
武内Ｐ,……強く撫でても、いいのですね？
凛,？そう言ってるんだけど……
武内Ｐ,……分かりました。……では失礼します
凛,！！。！！！？。！！！？！？
武内Ｐ,……いきます
凛,……ふぇ？
武内Ｐ,……
凛,！！！！
武内Ｐ,……。……。……
凛,……っ！……ぁまっ……て！だ……ダメ……！！
武内Ｐ,あっ……す、すみません渋谷さん
凛,ぇ……あ、ダメじゃない！！ダメじゃ……ダメじゃ、ない……よ
武内Ｐ,やはりやり過ぎで……
凛,いいから……つ、続けて……お願い
武内Ｐ,は、はい……分かり、ました
凛,……ッッ！！
武内Ｐ,……
凛,……ぁ、っつ！……ふっ、んっ……！！
武内Ｐ,……
凛,……んんっ！……っぁ！！……んっ！！
武内Ｐ,……
凛,……っ！ふ、ふぅ……くっ！
武内Ｐ,！！。……
凛,……は、ぁ！……んっ！……ふっ、う！
武内Ｐ,……
凛,あっ！……く、ぅ……んんっ！
武内Ｐ,……
凛,っ、ﾌﾟﾛ……ﾃﾞｭｰｻ、っぁ！ﾌﾟ……ﾛ、んっ、ﾃﾞｭ……ｰｻｰ
未央,し、しまむー。なんかしぶりんの様子が……
卯月,な、なんだか色っぽいです……
未央,ん？携帯鳴ってる……プロデューサーのカバン？
卯月,ちょっとカバン失礼しますね……あっ、これちひろさんからです！
武内Ｐ,千川さんが……？渋谷さん、腕を解いてもらっていいですか？
凛,ふぇ？
武内Ｐ,電話に出たいので……
凛,……嫌。ねぇ、もっと……
未央,オ、オホン！しぶりん、さすがに仕事の邪魔は良くないよ？
凛,……あれ？未央？
未央,？未央ちゃんですよ？
凛,卯月……
卯月,どうしたんですか凛ちゃん？
凛,……さっきまでの……見てたん、だよね？
未央,そりゃあまぁ……
凛,…………。…………。…………。…………。もう……死にたい……
未央,し、しぶりーーーん！！大丈夫だよ私たちも似たようなことしてたんだし！！
卯月,そうですよ凛ちゃん！それにプロデューサーさんに甘えてた凛ちゃん、すごく可愛かったですよ！
未央,なんで今追い打ちしたの！？しまむー！？
卯月,？
未央,そうだったしまむーは天然ボケだからちくしょう！
卯月,み、未央ちゃんひどいです～！
凛,おうちかえる……
武内Ｐ,は、はい。今ＮＧｓと打ち合わせをしていたので……。そ、それはどういった……。…………
卯月,未央ちゃん、私天然じゃないっていつも言ってるじゃないですか！
未央,いやいやむしろ最近天然畜生島村卯月として巷で話題だよ！！
卯月,何ですかその通り名！？それどこの巷ですか！？
凛,私のプロデューサーはどこ……？ここ……？
未央,そんな事よりしぶりんが壊れてるんだけど！プロデューサー助けて！！
卯月,そんな事とは何ですか！未央ちゃん話を聞いてください！
武内Ｐ,…………
ドア,ガチャ
未央,あっプロデューサー！しぶりんが！！
凛,違うかな……プロデューサーはもっとバーって……
卯月,プロデューサーさん聞いてください！未央ちゃんが！
武内Ｐ,……ふふっ
未央,！！
卯月,！！
凛,！！
未央,プロデューサー、今笑った！！
武内Ｐ,えっ、あ、いえその
卯月,素敵な笑顔でしたよ、プロデューサーさん♪
武内Ｐ,あの、その
凛,うん、良い笑顔、だったよ
武内Ｐ,う、そ、そうでしたか……
未央,あっしぶりん正気に戻ったんだ
凛,？何の事？
未央,……ナンデモナイデスヨー
卯月,えへへ……。今日はプロデューサーさんに撫でてもらって、笑顔まで見れて……。とっても幸せな日です♪
凛,そうだね卯月。……うん、ちょっと忘れられない日になったかも
未央,…………ねぇプロデューサー、一つ提案があるんだけど……
武内Ｐ,……？。失礼します
未央,あっ、プロデューサー、……お、おかえりー！
武内Ｐ,……。……
未央,！
武内Ｐ,……
未央,……えへへ……分かってても、返してもらえるのって嬉しいや
武内Ｐ,……昨日、約束しましたからね
未央,プロデューサー真面目だし、やっぱりアイドルにこのような事は～とか言うと予想してたんだけどな～
武内Ｐ,……そうですね、では止めましょうか
未央,ちょ、ちょっとプロデューサー冗談だってば～！
武内Ｐ,いつまでもこうしている訳にもいきませんからね。さぁ、打ち合わせを始めますよ
未央,ぶーぶー。未央ちゃんは不服ですぞー。……まぁ今日はこれぐらいでいっか！この後プロデューサーは皆にたくさんナデナデしないといけないしね～
武内Ｐ,……？今日は島村さんはピンクチェックスクールでのレッスン、渋谷さんはクローネの活動で私とは会わないと思いますが……
未央,……？他の皆は？CPの誰かとは会うでしょ？
武内Ｐ,……？ええ、それはまぁ
未央,え、じゃああってるじゃん
武内Ｐ,……？
未央,……？
武内Ｐ,………………！！。本田さん、昨日の約束はあなた方三人と私の約束ですよね！？
未央,え？何で三人だけ？
武内Ｐ,…………本田さん、昨日の約束はもう皆さんに知らせてあるのですか？
未央,う、うん、帰ってすぐにグループトークで。……プロデューサー？
武内Ｐ,……そう……ですか
未央,……昨日の約束、私たち三人とだけのつもりだったの？
武内Ｐ,……はい
未央,そ、そうだったんだ……あはは……。昨日言ったでしょ？担当アイドルにそういうとこで差をつけるのは良くないって
武内Ｐ,……しかし、このような事を嫌がる方もいらっしゃるのでは
未央,いやいや皆ぜっっったい喜んでくれるから！この未央ちゃんが保証するよ！！
武内Ｐ,それは……そうなのでしょうか……？
未央,あー！信じてないなー！
武内Ｐ,いえ、決してそういう訳では
未央,……ねぇプロデューサー、私はアイドル始めて、色んな景色が見れたんだ
武内Ｐ,……本田さん？
未央,それは今思い出しても夢みたいに綺麗で、泣けちゃいそうなぐらい。それはプロデューサーに支えられて、皆と一緒に歩いてきたから見れた景色……。だからプロデューサー！プロデューサーもこの一歩目を踏み出してみようよ！きっとこれから沢山、いい事あるからさ！
武内Ｐ,……その一歩というのは、皆さんを撫でる事、という認識で合っていますか？
未央,…………プロデューサー、そこはかっこよくバシッと返事するシーンだよ……
武内Ｐ,す、すみません
未央,……で？プロデューサーどうするの？
武内Ｐ,…………本田さんの言葉を、信じてみようかと思います
未央,！ありがとう！！
武内Ｐ,はい、手段はともかく、私も皆さんと共に歩んでいきたいと思っていますので
未央,うんうん、じゃあ早速ご褒美に未央ちゃんを抱きしめてナデナデする権利を進ぜよう！
武内Ｐ,……それは本田さんがして欲しい事、なのでしょうか？
未央,……うん、だから、お願い！
武内Ｐ,……失礼します。……
未央,……♪。……えへへ……♪。……ねぇプロデューサー！
武内Ｐ,……何でしょう？
未央,これからも、よろしくねっ！！
武内Ｐ,！……はい！。失礼します
卯月,あ、プロデューサーさん。お疲れ様です♪
武内Ｐ,お疲れ様です、島村さん
卯月,……。…………？。ん……。……♪。えへへ……♪
武内Ｐ,…………それでは、そろそろ
卯月,はい♪あ、かな子ちゃんがロールケーキ持ってきてくれたみたいで……
武内Ｐ,失礼します。……渋谷さん、お待たせしました
凛,お帰りプロデューサー。そんなに待ってないから気にしないで
武内Ｐ,ありがとうございます。では早速次のライブでの衣装なのですが……
凛,……あのさぁ、何か忘れてない？
武内Ｐ,何か……？…………！
凛,ん
武内Ｐ,……渋谷さん、撫でる前に一つお聞きしたいのですが……
凛,……何？
武内Ｐ,その……撫で加減はいかがしましょう
凛,撫で加減？
武内Ｐ,前回の時、渋谷さんの様子がおかしかったように見えましたので
凛,あ……うん、まぁそうだね……ちょっと強い目ぐらいでお願い
武内Ｐ,……やはりあのように思い切り強くするのはいけませんでしたね。申し訳ありません
凛,あ、いや、別にあれがダメな訳じゃないよ
武内Ｐ,……？そうなのですか？
凛,ただその……後処理が……大変……というか
武内Ｐ,？今なんと……
凛,……何でもないから！ほらちょと強めでお願い！
武内Ｐ,は、はい。……
凛,……
武内Ｐ,……
凛,……うん……ちょうどいい……
武内Ｐ,そうですか
凛,…………あの……さ……
武内Ｐ,？
凛,……その……次のライブに成功したら……
武内Ｐ,……
凛,……思いっきり強いの……お願い……
武内Ｐ,それは……よいのですか？
凛,うん……それがいい
武内Ｐ,……わかりました。ではそろそろそのライブの為の仕事に入りましょうか
凛,うん。……今まで以上の私で、がんばるから
