最初の奴【ミリマス】琴葉,プロデューサーが構ってくれない
萩原雪歩,以下、雪歩
Ｐ,雪歩か。お疲れ様
雪歩,今、お忙しいですか？
Ｐ,ああ……ゴメン、せっかく久しぶりに雪歩と会ってるってのに
雪歩,いえ、プロデューサーの顔が見れただけで満足ですから
Ｐ,そういうわけにもいかんだろ……じゃ、とっととこの書類片づけるから待っててくれるか？俺も久々に少し話がしたいしな
雪歩,はい！待ってますね、プロデューサー。……あっ、そうだ
Ｐ,……ふう、これで一段落か。雪歩は……。あれ、いない。帰っちゃったか？
雪歩,プロデューサー！お待たせしましたぁ
Ｐ,お、雪歩！帰っちゃったかと思ったぞ！
雪歩,ご、ごめんなさいぃ……実は、これを用意してたんですぅ
Ｐ,おっ、いつもみたいにお茶と……これ何？
雪歩,はい、和三盆ですぅ！麗花さんに聞いて用意してみました……合うかどうかは、良く分かりませんけど……
Ｐ,いや、麗花のススメなら大丈夫じゃないか？そんな遠慮しなくても、美味しく頂かせてもらうよ。ありがとうな、雪歩
雪歩,そ、そんな事ないですぅ！わ、私なんて……。と、とりあえずどうぞ！あ、火傷には気を付けてくださいね？
Ｐ,気を付ける気を付けるって……じゃ、頂きます。……ふぅ、落ち着くな。流石、俺の自慢の雪歩だ
雪歩,そ、そうですかぁ？良かったぁ……
Ｐ,雪歩のお茶がない日常がどれだけ寂しかったことか……これからも、余裕があったら入れてほしいんだけど……
雪歩,は、はい！勿論ですぅ！精一杯、頑張ります！
Ｐ,ハハ、アイドル活動の方で疲れてないようにしろよ？。じゃ、この麗花イチオシの和三盆を……。……良いなぁ、優しい味がする
雪歩,良かったぁ……プロデューサーが好きか分からなくて、こわかったですぅ……
Ｐ,なーに言ってんだ、そんなんで怖がる必要はないって！和三盆、美味しく食べられてるしな
雪歩,はい、いっぱい食べて……次のお仕事も、頑張ってくださいね
Ｐ,…………
雪歩,あ、あの……プロデューサー？
Ｐ,ああ、ゴメン。嫁さん貰ったらこんな風なのかなぁ……って
雪歩,お、おおおお嫁さんって！
Ｐ,あっ、すまん……気持ち悪いこと言って。忘れてくれ
雪歩,そ、そんな事ないですぅ！わ、私はプロデューサーとなら……
Ｐ,あー、結婚してぇなぁ……
エミリー,わぁ……雪歩さん、流石ですね。？伊織さま？
伊織,ちょっと悪いわね、エミリー。あ、新堂？今度、美味しいお茶菓子を教えてちょうだい。コーヒーに合う奴でも良いから……。え？それは私の方が良く知ってるって……でも、アイツの好みかどうかは分からないでしょ！。ちょ、何笑ってるのよバカァ！とにかく、頼んだからね！
エミリー,大丈夫ですか、伊織さま……？
伊織,雪歩に勝てるだけの癒しが私に生み出せるのかしら……
エミリー,癒し……そうだ！伊織さま！私思いついたことがあります！
雪歩,―――
Ｐ,――
雪歩,……ふぅ、やっぱり楽しいですぅ
Ｐ,俺も久々に雪歩と話せて楽しかったよ
雪歩,……あの、プロデューサー？私にも、時々構ってくださいね？。私、やっぱりプロデューサーがいないとまだまだダメダメですから
Ｐ,そうか？男も犬も、克服してきたんだろ？
雪歩,それでもですぅ！
Ｐ,はは、分かったよ。今度、また練り直す時に雪歩の仕事になるべくついていけるようにするからさ
雪歩,本当ですかぁ？約束ですからね？
Ｐ,ああ、約束だ
雪歩,じゃ、じゃあ指切りげんまんしましょう！
Ｐ,そ、そんなにか……？
雪歩,そんなにですぅ！……ゆーびきーりげんまん、うそついたらはりせんぼんのーますー……。ゆーびきった！はい、おしまいですぅ！忘れないでくださいね？
Ｐ,忘れないよ、勿論
雪歩,……えへ
エミリー,仕掛け人さま！少しよろしいでしょうか！
Ｐ,ん？どうしたエミリー、何か問題でも起きたのか？
エミリー,い、いえ……そういうわけではないんですけど……。仕掛け人さま、少し時間頂いてもよろしいですか？
Ｐ,？ああ、構わないが……。悪い雪歩、行ってくる
雪歩,はい、いってらっしゃい
Ｐ,…………
伊織,…………
Ｐ,なあ伊織
伊織,何かしらプロデューサー
Ｐ,なんで俺は正座してるの？
伊織,勿論、お茶を美味しく頂くためよ？
Ｐ,そうか……じゃあ、もう一つ質問なんだが、いいか？
伊織,良いわよ、何？
Ｐ,…………なんでエミリーはお茶をたててるの？
伊織,お茶が好きだからでしょ？別に良いじゃないの。深く考えすぎると老けるわよ？
エミリー,……はい、仕掛け人さま！完成いたしました！
Ｐ,お、ありがとう……
エミリー,それでは、前に置かせていただきますね！
Ｐ,……うん、抹茶だな
エミリー,はい、お抹茶です！
Ｐ,……このお茶菓子はどうしたんだ？
エミリー,申し訳ありません仕掛け人さま。こちらのお茶菓子は伊織さまから頂いたもので……
Ｐ,いや、アイドルがたててくれたお抹茶なんて飲める機会はそうそうないしな！全然、そんな事で気にする事ないよ！
エミリー,あ、ありがとうございます！
Ｐ,笑顔がまぶしい……。さ、じゃ早速抹茶から……
伊織,ちょっと待ちなさいプロデューサー。アンタ、まさか抹茶の飲み方の作法も知らないんじゃないでしょうね？
Ｐ,器回す奴なら知ってるぞ？
伊織,そうじゃないわよ……あのね、先に頂くのはお茶菓子の方なのよ。それで口の中が甘くなったところで、抹茶を美味しく頂くんだから
Ｐ,お前はいっつも詳しいな……素直に尊敬するよ
伊織,嫌というほどやってきたから、まぁ当然といえば当然ね。さ、抹茶が冷めないうちに食べちゃいなさいよ
Ｐ,おう。じゃ、まず言われた通りお茶菓子から……。……え、こんなにお茶菓子ってほどよい甘さになるのか？俺、もっとギットギトに甘くなってる奴想像してたわ
伊織,当然でしょ？この伊織ちゃんのお墨付きなんだから！にひひっ♪
Ｐ,いや、本当に美味しいなこの茶菓子……
エミリー,あの、仕掛け人さま？そろそろお抹茶の方を……
Ｐ,おう、じゃいただきます
エミリー,……どうですか？
Ｐ,うん、美味い。イイ感じに抹茶たてられるんだな……初めて飲んだからビックリしたよ
エミリー,仕掛け人さまにお出しできるような出来になるまで、頑張って練習しました！
Ｐ,そうか、それは嬉しい話だ……
エミリー,……ふぅ
Ｐ,エミリー！？
伊織,……ああ、アンタまさか
エミリー,も、申し訳ございません……足が、足が……
Ｐ,……そういえば、正座できなかったなエミリー
エミリー,いたた……も、申し訳ありませんでした伊織さま
伊織,まったく……アンタがそうなっちゃったら意味ないでしょ？
エミリー,うう、気を付けます……
伊織,で、何かつかめた？
エミリー,お茶を仕掛け人さまに頂いてもらったのは嬉しかったのですが……
伊織,まだ決定的じゃないのね
エミリー,あの、迷惑でしょうから――
伊織,ストーップ！アンタ、まーさか一人でやろうっての？。水臭いんだから……まったく、人にきちんと頼るのもしっかりとした大和撫子よ？
エミリー,い、伊織さま……！分かりました！私、精一杯精進します！
伊織,その意気よ！
島原エレナ,以下、エレナ
Ｐ,扉立て付け悪いんだからちょっとは加減してやってくれ……おはようエレナ。今日は……あれ、なんだっけ？
エレナ,んー？今日はオフだヨ？プロデューサーが忘れてるとかじゃないから安心シテ？
Ｐ,ビビらせるなよ……スタジオ取ってないって焦ったじゃないか
エレナ,モー、プロデューサーは真面目サンだネー。ワタシ、ちょっとプロデューサーと遊びたいナって思ったから事務所に来たノ！
Ｐ,あ、遊ぶって……
エレナ,……ダメ？
Ｐ,俺が泣きマネで落ちると思ったら大間違いだぞエレナ
エレナ,エー！？なんでわかったノー？
Ｐ,俺だって伊達にプロデューサーやってるわけじゃないからな
エレナ,ブー、つまんないヨー
Ｐ,ハハハ、悪い悪い。で？遊ぶって何で遊ぶ気だ？
エレナ,……エッ？いいノ？
Ｐ,悪いなんて言う訳ないだろ？アイドルがわざわざ用もないのに事務所に来て追い出すのは流石にな
エレナ,……モー！プロデューサーのそういう所、ダイスキだヨー！
Ｐ,離せ、離れんか！
エレナ,エー、嬉しくないノー？
Ｐ,幸い、俺は昔から美希に抱き着かれて耐性がついてるからな
エレナ,……顔赤いヨ？
Ｐ,き、気のせいだ！
エレナ,アハッ、プロデューサーは照れ屋サンだネー！
Ｐ,照れてない！良いから離れろ、用件はなんだ！
エレナ,さっきみたいにハグしてるだけでも良かったケド……そう、ワタシはこれがやりたかったノ！
Ｐ,……何する気だ？
エレナ,モッチロン、サンバ！だヨ！
Ｐ,…………
エレナ,ヘーイ！プッロデューサー！早くおっどろーヨー！
Ｐ,いやいや、待て待て待て！どういう事だ！？
エレナ,考えるんじゃダメだヨー？もっと、ほら！体を動かして！
Ｐ,な、なにが一体どうなって
音無小鳥,以下、小鳥
Ｐ,あっ、音無さん！
エレナ,あっ、コトリー！コトリも一緒に踊ろうヨ！
小鳥,えっ、ここ事務所じゃ……
エレナ,細かい事気にしちゃダメだヨー！
小鳥,…………
Ｐ,……音無さん？
小鳥,仕方ないわね……やってやるわ！
エレナ,オー！コトリはノッリノリだネー！
小鳥,モッチロンよ！ストレス解消、楽しく踊るわよー！
エレナ,オー！
Ｐ,待て、アンタ仕事ほったらかして何踊ろうとしてんだ！
伊織,……頭が痛くなってきたわ
エミリー,ど、どうしましょう……
伊織,……仕方ないわ、行くわよエミリー
エミリー,えっ？で、ですが……
伊織,このまま踊ってたらプロデューサーも疲れちゃうわ。その前に仕掛けるわよ
エミリー,仕掛けるとは……？
伊織,……エミリー、なにもダンスはサンバだけじゃないわ。日本にだってあるでしょ？
エミリー,……あっ！
伊織,さ、かき回しに行くわよ！
Ｐ,ヘーイ！
小鳥,リンボー！
エレナ,オーレ！
伊織,…………
エミリー,す、すごいです……
エレナ,あっ、イオリにエミリー！二人も一緒におどろーヨー！
伊織,えっ、いや私は良いのよ？
エレナ,エンリョしないデ！さ、いっくヨー！
伊織,
エミリー,うふふっ、楽しいですね！
伊織,流石、ダンスが得意分野なだけあるわね……
エレナ,フー！いい汗かいたヨー！
Ｐ,そ、そうか……良かったな
エレナ,ウン！プロデューサーとサンバ踊れたから、大満足だヨー！。また付き合ってネ、プロデューサー！
Ｐ,ああ、出来る限りな……
エレナ,じゃ、プロデューサー！またネー！
小鳥,……ピヨォ
Ｐ,さっきまでの威勢のよさはどうしたんですか音無さん……
小鳥,……年を、舐めてました
Ｐ,年なんて言い出したらキリありませんよ……エミリーと伊織は大丈夫か？
エミリー,はい！すっごく楽しかったです！
伊織,ぜーぜー……だ、大丈夫に決まってるでしょ？かわいいかわいい伊織ちゃんよ？
Ｐ,大丈夫じゃないじゃないか……はいこれ、タオルやるから汗ふいとけ
伊織,あ、ありがと……アンタはどうするの？
P,タオル貸しちゃったからちょっと給湯室のタオル借りてくる……
伊織,だったら、私がそっちの方を
P,いーから！お前は座ってろ、こんなところで体調を崩すな
伊織,……ふ、ふん！言うようになったじゃないの！
P,はは、いつもの伊織が戻ってきたな。じゃ、俺はタオル取りに行ってくるよ
伊織,…………。……もぅ、ホント出来るようになっちゃったんだから
エミリー,……伊織さま、大丈夫ですか？お顔が少し赤いような……
伊織,だ、大丈夫よ！さっきまで運動してたから、血行が良くなってるだけ！
エミリー,そうなのですか……なら、良かったです
P,ふぅー……。ついでだから、みんなの分も取ってきたよ。一人一つもっていってくれ
小鳥,あ、ありがとうございます……ふぅ、汗吹くだけでも随分違うわ
エミリー,感謝いたします、仕掛け人さま！
P,……で、エミリー。正座してたのは大丈夫になったのか？
エミリー,はい、おかげさまで好調です！
P,それなら良かった……
エミリー,……あの、仕掛け人さま？お願いを一つ、してもよろしいでしょうか
P,いいぞ、どうした？
エミリー,あの、私……盆踊りをしてみたいんです！
Ｐ,ごめん無理
エミリー,ええっ！ど、どうしてですか！？
Ｐ,盆踊りって言ってもいっぱい種類あるだろ……？
エミリー,そ、そうなのですか？
Ｐ,そうだよー。それでいて動作もいっぱいあってさ
小鳥,そうですねえ、うちの近所でやってた盆踊りなんて、おひさまみたいに手をくるってやってたのくらいしか覚えてませんよ
Ｐ,あー、あのポーズどこもやりますよねー
エミリー,…………
伊織,あちゃー……。カンッペキに流されたわね……
エミリー,ご迷惑だったでしょうか……
伊織,流石に迷惑だったかもしれないわ……。とはいえ、まさかソーラン節とかやらせるわけにはいけないし
エミリー,？
伊織,いや、なんでもないわ
エミリー,……仕掛け人さまに構ってもらうって、難しいんですね。痛感しました
伊織,エミリー……ごめんなさい、手を貸してあげるとかエラそうな事言っててこのザマだわ
エミリー,そ、そんな事ありません！伊織さまがいてくださらなかったら、私ここまで出来てませんでしたから！
伊織,そう言ってくれるのはありがたいけど……
エミリー,うう……どうしましょう
伊織,……そうだ、エミリー。短歌はきちんと書けるようになったかしら？
エミリー,えっ？
伊織,この前のライブでやってたじゃないの
エミリー,ああ……でも、私ではまだ
伊織,良いのよ。こういうのは気持ちだって言ったでしょ？。ほら、やれるだけ書いてみない？
エミリー,そ、そこまで言うなら……。……はい、出来ました！
伊織,へぇ、どれどれ……。……良いじゃない！まぁ、また季語入ってないけど……。エミリー。これあたしが貰っても良い？
エミリー,伊織さまが、ですか？
伊織,ダメかしら？
エミリー,いえ、どうぞ！
伊織,ありがと……あ、そうだエミリー。アンタ、お茶屋さん付き合わない？この前見つけた所なんだけど
エミリー,お茶屋さんですか？わぁ、行ってみたいです！
伊織,じゃ、早速……ってあら？
エミリー,どうかなさいましたか、伊織さま？
伊織,悪いわねエミリー。私、事務所に忘れ物したみたい。この場所なんだけど……先に行っててもらえる？
エミリー,え？そんな、急がなくても私待ってますよ？
伊織,それがちょっとめんどくさい忘れ物でね……時間がかかるかもしれないのよ。だからお願いね、エミリー！
Ｐ,……分からない
小鳥,急に盆踊りがしたいって言い出した、エミリーちゃんの事ですか？
Ｐ,そうなんですよ。理由良く分からなかったし、疲れてたので断っちゃったんですけど……
小鳥,ひょっとして構って欲しかったんじゃないんですかぁ？
Ｐ,そうなんですかねえ……？
伊織,失礼するわー
Ｐ,おっ、どうした伊織。忘れ物か？
伊織,そうよ。だいっじなだいっじな忘れ物！
Ｐ,うおッ！？きゅ、急に何するんだ伊織……
伊織,アンタ、バッカじゃないの！？ここまで女の子に書かせてそれでも男なのかしら！
Ｐ,か、書かせた……？。……！
伊織,……さて、ここからどうするのかしら？うちの優秀なプロデューサーは
Ｐ,エミリーは……エミリーは今、何処にいる？
伊織,ここのお茶屋さん。さ、ツベコベ言わずに早く行ってきなさーい！
Ｐ,ああ！悪い、行ってくる！
伊織,……全く。ホーント、いっつも世話が焼けるんだから
小鳥,……伊織ちゃんは寂しくないの？
伊織,そりゃ、私だって寂しい時は少しくらいはあるけど……。伊織ちゃん的には、もうそこまで甘えてられないのよね～にひひっ♪
小鳥,……仕方ないわね
伊織,？どうしたのよ、小鳥
小鳥,私だって大人よ！さぁ、甘えてらっしゃい！
伊織,アンタ、バッカじゃないの！？
Ｐ,確か、ここだな
エミリー,……あれ？
Ｐ,ふぅ……待たせたなエミリー
エミリー,ど、どうして仕掛け人さまが！？
Ｐ,伊織に尻をひっぱたかれてな……。とりあえず、店の中に入ろうか
エミリー,そ、それで仕掛け人さまがどうして……？
P,伊織に教えてもらったんだよ……それでなんだが
Ｐ,今まで悪かった！エミリー、許せ！
エミリー,ええっ！？か、顔を上げてください、仕掛け人さま！ど、どうして……
Ｐ,実は、これ読んだんだ
エミリー,あっ、それは私が書いた短歌……
Ｐ,すまなかった。ここまで思い詰めてたとは思ってなくて……
エミリー,仕掛け人さまが謝られるような事じゃないです！。……でも、ほんの少しだけ。寂しかったです……
Ｐ,エミリー……
店員,お待たせしましたー、あんみつ二つです
Ｐ,どうもー。さ、エミリーも食べて
エミリー,い、頂きます……。美味しいでしゅ……さすが、伊織さまのおすすめですね！
Ｐ,ああ、本当に美味い……伊織は相変わらず凄いな。……なぁ、エミリー。この後祭りに行かないか？
エミリー,お、お祭りですか？
Ｐ,ああ。さっき、盆踊りがしたいって言ってただろ？。俺たちで考えるのは難しいけど、そういう地域のお祭りなら踊りは原形があるしな。幸い、さっき近くでやってるのを見かけたんだ。上手くなくても楽しくやれると思うんだが……どうだ？
エミリー,よ、よろしいのですか？でも、お仕事の方が……
Ｐ,なぁに、今日は音無さんに仕事を代わってもらったから平気だって。……だから、行きたいか行きたくないかだけでいいんだぞ？
エミリー,……はい！行きたいです！
P,よし決まりだ！食べ終わったら、祭りに出向いてみよう！
エミリー,はい！
小鳥,……いいですよねぇ、プロデューサーさんはー
Ｐ,なんですか音無さん、何か文句ありげな言い方ですけど
小鳥,エミリーちゃんと結局あの後お祭りに行ったんでしょー？。いいなぁ……私もアイドルの子とデートしながら、ビール飲みたかったなあ……
P,はいはい、仕事してくださいね
小鳥,昨日溜まった仕事放って帰った人が何言ってるんですか
P,さて、何のことやら
伊織,おはよーございまーす
P,伊織、おはよう……昨日は悪かったな
伊織,きちんと最後まで付き添ってあげたんでしょ？なら、私から言う事は何もないわよ。で……やれば出来るじゃないの、アンタ。トックベツに、伊織ちゃんが褒めてあげない事もないわよ？
P,ハハハ、素直に喜んでおくよ
小鳥,伊織ちゃんおはよう……結局、私には抱き着いてくれなかったし……。うう、独り身寂しいピヨ
伊織,今度来る新人の子でも飲みに連れてってあげたら良いじゃない。先輩としての株も上がるわよ？
小鳥,そ、そうね！よし、早く来て新人ちゃん！
P,……なぁ、伊織人事指導とかやらない？絶対向いてると思うんだけど
伊織,遠慮しとくわ。アンタの給料がもうちょっと良くなったら考えてあげる
P,社長にでもなったら任命するよ……。おっ、エミリーだ。もしもし？。んー？。ああ、暇だけど。どうかしたか？。寿司？回る奴か？。楽しそうだな、エミリー……分かった、じゃあ12時に迎えに行くよ。……では、そろそろお昼に
小鳥,待ってくださいよぉ！お願いです、お願いですからやっていってください！手伝ってください！
P,泣かないでくださいよ……時間までは付き合いますから
小鳥,約束ですよ！約束ですからね！？
伊織,まったく……プロデューサー、私も手伝うわ。時間かかって遅れたとか、エミリーが可哀そうだし
P,頼む……じゃ、とっとと片付けましょうか
インタビュアー,では、エミリーちゃんが最近一番楽しみにしている時間はなんですか？
エミリー,はい……事務所の皆様と、色々な日本の物に触れ合う時間です！
劣化が止まりません、ネタが切れました,いつもの
