八幡:雪乃:結衣,部活動紹介？
雪乃,……勝負、……負け？あり得ないわね。私の部が他の部より劣っているはずがないわ
八幡,小町ちゃん。雪ノ下のやる気スイッチ押しましたね。それにこの部は俺がいるから絶対的に劣ってる気がする
小町,そして結衣さん！ここで部員を多く確保したら、話が合うような人が数人はいるかも知れません！
結衣,た、確かにゆきのんやヒッキーとは流行りの話とかできないから、そんな子がいたらいいなー、なんて
八幡,小町ちゃん。由比ヶ浜のやる気スイッチも押しましたね。流行りの話できなくてごめんね。今の発言で雪ノ下お前のこと睨んでるぞ
小町,そうと決まればさっそく敵情視察です！他の部が何をするか確認してそれ以上のことをしましょう
雪乃,そうね
結衣,おー！
八幡,……俺のやる気スイッチは押してくれないのね。ま、小町がいたら俺もやる気が出るってことで手を打とう。で、なんでサッカー部見に来てんの？テニス部じゃないの？普通テニス部だろ。テニス部入ってきていいか？
結衣,ヒッキーのそれ彩ちゃんに会いたいだけじゃん！
雪乃,何故サッカー部なのかしら？
小町,あのイケメンさんがいるのは確かサッカー部ですよね？あの人なら部活動紹介で何かしてくれそうな気がするのです！
八幡,あー、葉山な。確かにこういうのに慣れてるイメージはあるな
結衣,でもさー、ここで見ててもサッカー部練習してるだけだから参考にならなくない？
八幡,確かにそうだな。で、ここからどうすんの？
小町,あ、あれー、おかしいな？サッカーの練習じゃなくて部活動紹介の練習してると思ったのにな……
雪乃,はぁ、仕方ないわね。直接聞きに行きましょう
八幡,あの中に行くのか？無理無理。サッカー部とかうるさくて調子に乗ってるイメージあるし。野球部も同じく。テニス部はないな、テニス部でいいだろ？テニス部行こうぜ
結衣,どんだけ彩ちゃんに会いたいの！？
小町,お兄ちゃんは学校でも相変わらずだなー
いろは,あれ？先輩たちじゃないですか
八幡,おい、敵情視察とか言いながらあっさり見つかっちまったぞ
雪乃,おかしいわね、比企谷くんがいたら見つかる可能性も減るはずなのだけれど
八幡,いやそれ俺だけ見つからなくても意味ないから。周りは影薄くならないし。幻のシックスマンか俺は。ミスディレクションがオーバーフローしちゃうだろ
いろは,こんなとこで何してるんですか？。もしかして、わたしに会いに来たんですか？すいません、会いたいとか思われるのは普通に嬉しいですけど、さすがにストーカーみたいな事は遠慮していただきたいです。ごめんなさい
八幡,別に会いたくて来たわけじゃねーよ
いろは,それじゃ何しに来たんですか？それにその人は？
小町,どもども、生徒会長さんですよね？兄がお世話になってます。妹の小町です
八幡,お世話になってんのは確実に一色なんだけどな
いろは,先輩の妹さん？あのお米の？
小町,お米？
八幡,お米じゃないから。人だ、人間だ、美少女だ
いろは,やっぱりシスコンなんですね……。えっと、小町ちゃんでいいのかな？先輩に生徒会長にさせられた一色いろはだよ。よろしくね
八幡,おい、確かにそうだけど、もっと好印象な挨拶あるでしょが
いろは,そんなことよりあと奉仕部だけですよ、部活動紹介の提出プリント出てないの。早く出してもらえませんかね？
雪乃,ちょうどその事で話があってきたのよ
結衣,サッカー部ってどんなことするの？
いろは,サッカー部ですか？うーん…………。詳しく分かりません
八幡,なんでだよ、お前マネージャーだろ？ちゃんと仕事しろ
いろは,むっ、失礼ですね。ちゃんと働いてますよ。生徒会が司会を務めるから、サッカー部の方にあまり顔が出せないんじゃないですか
八幡,あー、そういうことな。てかならマネージャーじゃなくて生徒会の仕事しろよ
いろは,そ、それはそれです！とにかく詳しく知りません。葉山先輩をメインとして何かするって言ってはいましたけどね。目立ちますし、勧誘効果最大です！
雪乃,ありがとう、参考になったわ
八幡,今の参考にするとこ一つでもあったか？
雪乃,目立つというのはそれだけでも、他と差をつけれるポイントになるわ
小町,確かにそうですね。印象に残らないとその部の存在すら覚えませんから
雪乃,そこで私たちの部は比企谷くんをメインにしましょう。目立つこと間違いないわ
八幡,お前それ悪目立ちって言いたいだろ。それに俺レベルのぼっちとなると悪目立ちすらしない。認識されないからな
結衣,あ、あはは……
八幡,大体目立つんならそれこそお前でいいだろ。容姿端麗、成績最高、毒舌少女
雪乃,最初の二つはいいとして最後のは何かしら？あなたは悪目立ちの文字みたいに、目も悪かったわね
結衣,まぁまぁ、とにかく目立つようなことしたらいいんだよね？
いろは,すること決まったらちゃんと提出してくださいね。ちなみに希望の順番あったら言ってくださいね。そっちに回してあげます
結衣,それっていいの？？
いろは,生徒会長だからいいんじゃないですかね？
雪乃,適当だわ……
八幡,そんときは頼む。じゃーな。ふっ、まったく不本意だが他の部の意見を参考とするなら、サッカー部だけだと意見が偏るよな。別に俺個人的にはサッカー部だけでもよかったけど、念には念を入れておかねばならないしな。仕方なく外で練習していたテニス部に話を聞きに来た訳だなまったく。不本意だが
小町,お兄ちゃん……
結衣,ヒッキーきもい……
雪乃,比企谷くんの気持ち悪さは今に始まったことでもないでしょう。早く話を聞きましょう
八幡,おい待て雪ノ下。今は練習中だから邪魔しちゃ悪いだろ
雪乃,あなたは何をしにここまで来たのかしら
結衣,あ、彩ちゃんこっちに気づいたみたいだよ
彩加,八幡！それに雪ノ下さんと由比ヶ浜さんまで！あっ、小町ちゃんもいたんだ。どうしたの？
小町,戸塚さんお久しぶりです！男子テニス部は部活動紹介どんなことするんですか？
彩加,僕たちは初心者が見ても楽しめるようにスマッシュや、的当て感覚で打ったボールを直接カゴに返したりしようかなって考えてるよ
八幡,絶対難しそうだな。それにどこの王子様たちだよ……。戸塚は王子様？王女様？…………戸塚は戸塚だなうん
結衣,それすごいね！でもなんか難しそうな気もする
雪乃,テニス部の技術でそんなことが出来るのかしら？
彩加,あはは、確かに少し厳しいかもしれない。でも外したらそのまま笑いにもっていけないかなって考えてるんだ
小町,なるほどなるほど。確かに笑いなどもあったほうが記憶に残りますね
八幡,そーゆーもんかね？
雪乃,ありがとう、参考にするわ
彩加,うん。みんなも頑張ってね
雪乃,ええ、負けないわ
彩加,う、うん？
雪乃,さて、どうしましょうかしら
結衣,話聞いた限りじゃ、派手で笑えて目立つって感じだよね
八幡,後は奉仕部らしさとかいれてけばいいんじゃねーの
結衣,奉仕部らしさって？
八幡,さぁ？知らん
雪乃,なんて無責任な発言なのかしら
八幡,俺らが笑いあり涙ありとかするのが無理だろ
雪乃,涙ありは誰も言っていないのだけれど
八幡,目立つ分なら簡単に出来そうだな。雪ノ下も由比ヶ浜も目立ちそうだし。もうお前ら二人だけでいいんじゃねーの？
結衣,ヒッキー相変わらずやる気なさすぎ。もうちょっと頭使ってよね
八幡,由比ヶ浜だけには言われたくない言葉だな……
結衣,ちょっ、それどーゆーことだし！
八幡,言わなくても分かるだろ。頭使え
結衣,むー、ヒッキームカつく
雪乃,その会話自体頭使ってなさそうね。はっきり言って私たちに笑いは無理だと思うわ
八幡,同じく。高校生が笑う内容とか分かんねーしな
結衣,確かにスベったりしたら恥ずかしいもんね
八幡,順番も決めれるそうだし、最初につまらなそうな部でも回してもらうか。その後に奉仕部
結衣,そこまでしていいのかなぁ？それにつまらなそうな部ってのも思いつかないし
八幡,ある、遊戯部だ。あいつらモブモブしい顔してたからな。あいつらに面白いこととか無理そうだし
結衣,なんかサラッと酷いこと言ってる！？
雪乃,順番の話はともかく、私たちがする事を決めましょう。休日を挟んだら残りは1日しかないのだし
結衣,あっ、なら休日もみんなで考えようよ
八幡,なん…………だと？こいつ俺の休日を奪うつもりか。そうはさせん。落ち着け由比ヶ浜。学校行事に対して俺らの貴重な休日様を使うのは、休日様に失礼だ。休む日と書いて休日だ。ならその日に休まないのは間違っている
結衣,そうかな？んー……でもあたしは休日遊んだりしてるよ
八幡,お前はお前、俺は俺。みんな違ってみんないいんだ
雪乃,言ってることが無茶苦茶になってきているわよ。あなたはどうせ暇なのだし少しは働きなさい
八幡,働く……嫌な響きだ。だが雪ノ下も由比ヶ浜も休日を使う気満々のようだ。てか、冷静に考えて何も決まってないからそりゃ使いますよね。分かったよ。休日使うんなら今日はもう解散でいいだろ？
結衣,うん。明日から頑張ろう！
雪乃,そうね
八幡,たでーまー
小町,おかえりお兄ちゃん
八幡,てかお前いつの間に帰ってたの？いきなりいなくなったから焦ったぞ
小町,ごめんごめん、夜ご飯作らなきゃ行けなかったからね。それより、ちゃんとすること決めたの？
八幡,決まってない。だから休日雪ノ下の家で話し合うらしい
小町,ほほう
八幡,……んだよ？
小町,いやいや、仲良くやっているようで何よりです。休日遊ぶ仲にまでなるなんてね
八幡,そんなんじゃねーよ。仕事だ仕事
小町,雪乃さんの家行く前に小町にも言ってよ？ちゃんと服装チェックするんだから
八幡,はいはい
小町,よろしい！それじゃ、ご飯にしよっか
雪乃,いらっしゃい
結衣,やっはろーゆきのん
八幡,うす
雪乃,あがってちょうだい。紅茶でいいかしら？
結衣,うん！ありがと
雪乃,少し待ってて
八幡,久々に来たな
結衣,そう？あたしはよく来てるよ
八幡,そりゃお前は仲いいしな。俺が来てたらおかしいだろ
結衣,ヒッキーも仲はいいと思うけどな。よっこいしょ。ほら、ヒッキーも座ったら
八幡,まぁ、座るけどよ。お前…………
結衣,ん？ほら
八幡,いやだから、その隣にどうぞみたいな仕草はやめてもらえないかね。そこに座ると近いし
雪乃,何をボサッとしているのかしら？邪魔よ
八幡,お、おう。すまん。とりあえず近くのとこに座っておこう
結衣,…………むー
雪乃,どうぞ由比ヶ浜さん
結衣,あ、ありがとゆきのん
雪乃,はい比企谷くん。早く飲みなさい
八幡,おい、待遇の差が酷いぞ。あからさまに違いを見せつけるな。傷つくぞ。いただくけどよ
雪乃,まだ熱いわよ、猫舌なのでしょう？
八幡,…………それもそうだな。おいおい、早く飲めばいいのか冷ましていいのかどっちだよ。…………それにしてもあれだな。そうゆうこと覚えられて気を使われると、ちょっと照れくさい
結衣,そ、それじゃどうしよっか？
八幡,ならそんな感じでいいか。意外と時間かかったな。外暗くなってるし
結衣,今日中に決まったからいいじゃん。明日は暇になるんだし
八幡,それもそうだな。休まないと死んでしまうからな
雪乃,あなたは休み続けた結果、目が死んでしまっているのよね
八幡,それは違うぞ雪ノ下。今まで苦労してきたから目が死んだ。そのために休息が必要なんだ。……本当に…………いろいろあった……
結衣,あ、え、えっと…………ヒッキー大丈夫だよ。目が死んでないとヒッキーじゃないよ
八幡,ありがとな由比ヶ浜。だけどもう少しフォローのスキルをあげた方がいいぞ
雪乃,比企谷くんのどうでもいい話を聞いてしまったわね
八幡,お前はフォローのスキルを身につけるところから始めよう。てかもうすることも決まったしどうする？帰る？
雪乃,そうね。特別することもないのだし帰宅しても問題ないわね
結衣,えぇー！？ゆきのん、一緒に夜ご飯食べようよ
八幡,これはゆきのんて言ってるから俺は誘われてないのん。別にいつもの事だから寂しくないのん
雪乃,はぁ……仕方ないわね。それなら作りましょうか
結衣,あたしは何したらいい？
雪乃,…………私の隣で見ていればいいわ
結衣,何もしなくていいってこと！？
八幡,そんじゃな
結衣,へ？
八幡,は？
結衣,い、いや、ヒッキーも一緒に食べるんだと思ってたから
雪乃,私は別に構わないわよ。2人分も3人分もそこまで変わりはないもの
八幡,ま、帰っても暇だしな。けど小町が飯作ってるかもしんないんだよな
結衣,そっか……。ご飯用意されてるんなら仕方ないか
雪乃,…………小町さんがまだ作っていなければ問題はないのでしょう？
八幡,そうなるな
雪乃,確認してもらえらかしら？
八幡,ちょっと待っててくれ。もう飯って作ってるか？。そうか、分かった。いやなに、小町がまだ飯作ってなかったら、雪ノ下ん家で由比ヶ浜と一緒にご馳走になろうと思ってただけだ。そんだけだ。それじゃ切るぞ。は？落としちゃった？何してんのお前？。おい…………。切られた
結衣,どうだった？
八幡,たった今俺の分は無くなったようだ
結衣,？？
八幡,……まだ作ってないらしい。ご馳走になってもいいか？
雪乃,ええ、構わないわよ。何かリクエストはあるかしら？
結衣,んー……ゆきのんが作るのならなんでもいいよ。全部美味しいもん
八幡,それもそうだな。お前料理の腕前凄いからな
雪乃,そ、そう？別に私にとっては普通なのでけれど。でも……
八幡:結衣,？？
雪乃,そう言われるのは悪い気はしないわね
結衣,ゆきのんっ
雪乃,暑苦しい……
八幡:結衣,いただきます
雪乃,召し上がれ
結衣,うまっ！やっぱゆきのん料理めっちゃ上手だね
雪乃,ありがとう。急いで食べる必要はないわよ。口元、付いてるわ
結衣,あ、えへへへ。ありがと
八幡,マジでうまいな。なにお前？遠月十傑なの？
結衣,ヒッキーも口元付いてるよ
八幡,へ？
結衣,…………あっ
八幡,…………
結衣,…………///
八幡,おいおい顔赤くすんなよ。余計照れるだろ。手に持ったのはどうすんの？食べちゃうの？なにそれ恋人シチュエーション
結衣,…………
八幡,いや戻すのかよ。やばい、俺の口元に付いてるやつどうしよう。由比ヶ浜に戻されたことによりどうしていいかわからん。食べるの？食べちゃっていいの？
雪乃,いつまで付けているつもりなの
八幡,……え？。次は雪ノ下がとったよ？え？なにこれ？さっき由比ヶ浜のは食べたよねこいつ。…………もしかして
雪乃,ちゃんと捨てておいたわ
八幡,お、おう。すまん。ゴミ箱に捨てちゃうのかよ。いやいいけど
結衣,ごちそうさま。美味しかったよ
八幡,ごちそうさん。マジでうまかった
雪乃,お粗末さま。食器洗ってくるわね
八幡,ごちそうになったんだしそれくらい俺がするぞ
雪乃,あら？いいのかしら？
八幡,ああ。専業主夫志望の俺にかかれば食器洗いなど朝飯前だ
雪乃,威張って言ってる割に、言っていることは小学生でも出来るレベルね。食器洗いお願いするわ
八幡,ほいよ
結衣,あたしも手伝うよ
八幡,いやいい。2人いても邪魔になるしな。雪ノ下となんか適当にしとけ
結衣,あ、うん。分かった
八幡,さて、やるか。雪ノ下ん家の食器ってなんか高そうだな。めちゃくちゃ綺麗だし。洗剤はキュキュットだしな。あのCM、指先で擦るとキュキュッって音してるけど、指先に全ての力を込めてキュキュットしてんじゃないの？。おーい、終わったぞ
雪乃,しっ
結衣,…………ん
八幡,こいつ寝てんのか。どうするんだそいつ？
雪乃,由比ヶ浜さんは元々泊まる予定だったのよ。問題はないわ
八幡,そうか
雪乃,ええ
八幡,…………
雪乃,…………
八幡,そろそろ帰るか
雪乃,あ、その、来週は部活動紹介ね
八幡,そうだな
雪乃,新入部員、入ってくるかしら？
八幡,どうだろうな。少なくとも俺は、入ってこなくてもいいと考えている
雪乃,どうして？
八幡,別に人数不足とかそういう問題もないしな。もし戸部みたいなやつが入ったりしてきたら嫌だ
雪乃,私も新入部員は入ってこなくていいと思っているわ
八幡,そうなのか？なんで？
雪乃,…………さぁ、何でだと思う？
八幡,分かんねーよ
雪乃,…………ふふ
八幡,んだよ？
雪乃,いえ、何でもないわ
八幡,そろそろ帰るわ
雪乃,そう。気をつけてね
八幡,……おう、意外と心配してくれんだな
雪乃,言葉足らずだったわ。気をつけて、不審者に間違われないように
八幡,だよなー。そっちだよなー
雪乃,また月曜日ね
八幡,ああ、じゃあな
雪乃,ええ、また
いろは,どうぞー
八幡,部活動紹介の提出プリント持ってきたぞ
いろは,なんだ先輩か。見せてください
八幡,俺で悪かったな。ほら
いろは,確かに貰いました
八幡,なら仕事頑張れよ
いろは,言われなくても頑張ってますよー。どこかの部が提出遅かったから仕事遅れてますけどね
八幡,す、すまん
いろは,謝らなくて大丈夫です！代わりに手伝ってください
八幡,えー…………
いろは,仕事が遅れてるのは
八幡,はいはい分かったよ。てか謝りもしたし仕事もしなきゃいけないのかよ。雪ノ下たちも同罪のはずなのに
いろは,それじゃお願いします
八幡,はいはい
いろは,奉仕部は新入部員入ってきそうですか？
八幡,何もしてないからまだ分からんだろ
いろは,なら先輩は入ってきてほしいですか？
八幡,別にいらん。てかこんな会話、土曜に雪ノ下ともしたな
いろは,…………へ？
八幡,どうかしたか？
いろは,先輩って雪ノ下先輩と休日遊んだりするんですねー……
八幡,そんなんじゃねーよ。3人で部活動紹介の話し合いしてただけだ
いろは,あ、そういうことですか！
八幡,雪ノ下も部員はいらないとか言ってたな
いろは,あー……なんとなく分かります。わたし的にも入ってほしくないですし
八幡,なんで？
いろは,分からないならいいです
八幡,てかお前も仕事しろよ。こっち終わったぞ
いろは,ならそれで終わりです
八幡,ん？俺の分は終わったけどお前はあるだろ？
いろは,残りは先輩に渡したので全部ですよ
八幡,……お前な
いろは,お疲れ様です。そういえば順番どこがいいですか？
八幡,話し合った結果どこでもいいことになった。けど盛り上がりそうな部の後はやめてくれ
いろは,分かりました、任せてください
八幡,頼む。なら俺は行くわ
いろは,はい、またお願いしますね
八幡,普通に嫌なんだけど……。お前ら、まだ残ってたのか
結衣,ヒッキー遅い。何してたの？
雪乃,どうせまた、一色さんは甘やかしてたのでしょう
八幡,確かに仕事は押し付けられたけどよ。てか先に帰っててよかったんだぞ
雪乃,あなたの荷物があるから部屋を閉めれなかったのよ
結衣,ヒッキー残して先に帰るのも、少し嫌な感じするし
八幡,意見は統一しとけ。待たせてすまんな。ま、残されることに関しては慣れてるんだけどな
雪乃,さすがは比企谷くんね。社会から取り残されてるだけはあるわ
八幡,別に残されてるのが悪いことではない。ほら、残り物には福があるって言うだろう。俺超福男
結衣,また出た……
雪乃,そろそろ帰りましょうか
八幡,で、一色。これはどういうことだ？
いろは,なにがですか？
八幡,俺たちの順番だよ。なんで一番最初なの？なにこれ悪意？生徒会長にしたことまだ根に持ってるの？
いろは,先輩が目立つ部の後は嫌って言ったんじゃないですか。どの部が目立たないのか分からないので一番最初にしちゃいました
結衣,ヒッキー……
八幡,え？俺が悪いの？
雪乃,決まってしまったことは仕方ないわ。さっさと終わらせましょう
いろは,そうですよ先輩。雪ノ下先輩を見習ってください！
雪乃,一色さん。あなたも順番のことは私たちに言っておくべきよ
いろは,す、すいません。もうそろそろ始まりますので準備お願いしますね。それでは今から部活動紹介を始めます！司会はわたし、生徒会長の一色いろはです
男子A,あの先輩可愛くない？
男子B,それな
男子C,生徒会入ろうかな
いろは,トップバッターはこちら！生徒のお悩み相談のります。困ったことがあればここに来い。奉仕部でーす！
雪乃,みなさん初めまして。奉仕部部長３年の雪ノ下雪乃です
男子A,あの先輩メチャクチャ綺麗じゃない？
男子B,それな
男子C,奉仕部はいろうかな
雪乃,奉仕部というのは…………〜〜…………です
いろは,奉仕部の皆さんでした。拍手ー
男子A,胸でかい先輩いたな
男子B,それな
女子A,2人だけなんだー
女子B,えっ？３人いたでしょ？
女子A,そうだっけ？
女子B,なんか目がすごかった
雪乃,…………はぁ
八幡,疲れたのか？
雪乃,前に言わなかったかしら？人の前に立つのは苦手なのよ。上に立つのは好きだけど
八幡,あー、そうかよ
雪乃,だいたいあなた噛みすぎよ
八幡,そ、それは仕方ないだろ。俺も人前に立つのは苦手だし。人の下にはいつの間にか立ってるけどな
結衣,まぁまぁ、終わったことだしいいじゃん！
雪乃,由比ヶ浜さんは言うことを忘れすぎよ
八幡,それは仕方ねぇだろ。由比ヶ浜だし
結衣,ちょっ、人のこと馬鹿にしすぎだから！
八幡,ま、終わったんだしいいだろ。後は部員が来なければオールオーケー
結衣,来なくていいんだ！？
雪乃,後は放課後次第ね
八幡,うーす
結衣,やっはろー！
雪乃,こんにちわ
八幡,1年来てないのか
雪乃,ええ、まだ1日目だし仕方ないわよ
結衣,新入生こないねー
雪乃,そうね
八幡,自ら好んで人助けするような奴もそんないないだろ
結衣,来たかな？来たかな？
八幡,かもな
雪乃,どうぞ
いろは,こんにちはー！
八幡,お前かよ
いろは,むっ、何ですかその反応。というかやっぱり部員入ってないんですね
結衣,そうなんだよね。見学にも誰も来ないし
いろは,とりあえずよかったです
八幡,よかった？
いろは,はい！
結衣,なんでよかったの？
いろは,んー……。今奉仕部に部員が増えたら若干来づらくなりますしー
八幡,そんな理由かよ
いろは,それとやっぱり奉仕部は、この3人がしっくりきます。先輩たちもそうじゃないんですか？
八幡:結衣,…………
雪乃,一色さんの言うとおりね。私も奉仕部はこの3人がいいと思うわ。あと……
いろは,あと？
雪乃,ときどき一色さんが来てくれるのも、いいかもしれないわね
いろは,ゆ、雪ノ下先輩
雪乃,けれど、ちゃんと自分の仕事もしなさい
いろは,は、はーい……。それじゃわたしは戻りますね
八幡,…………
結衣,ゆきのん……
雪乃,何かしら？
結衣,ゆきのんっ！
雪乃,ちょ、ちょっと由比ヶ浜さん？いきなり抱きつかないでもらえるかしら
結衣,ゆきのんこの3人での奉仕部好きなんだね！
雪乃,な、なんのことかしら
結衣,ゆきのーん！
雪乃,ゆ、由比ヶ浜さん。苦しいわ
八幡,雪ノ下が部員をいらないと言ってた理由はこういうことか。俺も心のどこかで思ってたのかもしれないな。だから部員がいらないと言ったのかもしれない。残りの高校生活、ずっと奉仕部にいられるわけではないだろうけど。奉仕部にいられる時間は大切にしとくか
雪乃:結衣,…………
八幡,え？どした？
結衣,ヒッキーらしくなかったね、今の
八幡,……声に出てたか？
雪乃,ええ、丸聞こえよ
八幡,…………マジかよ
結衣,みんなの時間大切にしていこうね！
雪乃,そうね
八幡,ああ、そーだな
結衣,えへへー
八幡,高校生活の終わりまで約1年。近づいてきているからこそ大切な空間に気づけたのかもしれない。俺たちの関係が高校生までか、卒業後も続くかはその時になるまで分からない。けれど、きっと、奉仕部に入ってからの思い出はずっと持ち続けるだろう。なんてことを考えてしまった。あと平塚先生。新入部員ゼロですみません
