子供たちは口をそろえて言う。,将来は、あの組に入るんだ
雷,もう、電ったら。どうせやるなら急須じゃなくて灰皿にしなさいって言ったじゃない
電,い、電もなるべくならカチ割りたくなかったのです……
雷,――まぁ、しょうがないわ。……さて、今更だけどようこそ暁組へ。たっぷり可愛がってあげるわね
モブ川A,あ……いや……――
野分,――失礼します
浦風,ん、野分か……。急にどうしたんじゃ？
野分,浦風の姉御にお伝えするべきが悩んだのですが、すこし表で騒いでる連中が居まして……
浦風,騒いでる……ねぇ
野分,はい。いまいち意思の疎通ができないのですが、若頭の名前を出していたもので……
浦風,不知火姉さんの名前を？
野分,追い返しますか？
浦風,うーん……。――いや、通してええよ。ウチが対応するけん
野分,……わかりました
モブ藤A,――どーもどーも、アンタが陽炎とかっちゅう組長ですかぁ？
浦風,……いえ、申し訳ないんやけど組長はいま不在ですけえ、ウチ……浦風が対応させていただきます
モブ藤A,ほーん……。まぁ、なんでもええんやけど
浦風,それで、今日はどのような用件でしょう？
モブ藤A,……おい
モブ藤B,へい。――それがなぁ浦風さん。あんたんとこの不知火ってやつが、うちの若いもんをボコボコにしてくれたんですわぁ
浦風,不知火姉さんが……
モブ藤B,それも無抵抗の若いもんを……。あぁーあ、若いもんの事を思うと涙がでてきますなぁ！
浦風,それは……大変ご迷惑をおかけしました。今日はウチが頭下げるけん、どうかそれで手打ちにしてくれへんやろか
モブ藤B,…………。アニキ……、やっぱり噂は噂だったみたいですなぁ
モブ藤A,ああ……。おい、このまま畳みかけちまえ
モブ藤B,へい。いやーいけませんなぁ浦風さん。仮にもこの世界、それだけで済んじゃ警察いらんでしょう……
浦風,探り合いは結構ですけえ、単刀直入に言っていただけるとありがたいんやけど
モブ藤B,じゃあ言わせてもらうわ。お宅の不知火、うちらモブ藤組に差し出してもらいましょか
浦風,……不知火姉さんを？
モブ藤B,おうよ。若いもんが随分痛い目に遭わされたんや。それぐらいしてもらわんとなぁ
浦風,………………
モブ藤A,悩んでおりますなぁ。――まぁ、なんでしたら浦風さん。あんたでも別に構いませんよ
モブ藤B,あっはっはっは。それはいいですねアニキっ！
野分,…………姉御
浦風,何もせんでえぇ。……不知火姉さんが起こした火種なら、不知火姉さんが始末付けるのも一つの筋ってもんじゃろなぁ……
野分,………………
浦風,――わかりました。後日、不知火の方をそちらに向かわせます。この度は本当に、ご迷惑をおかけしました……
モブ藤A,はっはっは、物わかりの良い方で助かりますよ。……しかし、陽炎組がどんなものかと来てみれば、こんな簡単に仲間を売る組だったとは……。拍子抜けですわ
モブ藤B,まったくですなぁ、アニキ。これじゃ――。――組長の陽炎とかいう奴の度量もその程度なんでしょ
浦風,――――ッ。おどりゃあ……。……こっちが下手に出とったら調子に乗りおって……
モブ藤B,……へっ？
浦風,――もうええわ。不知火の姉貴に任せよう思うてたけど、気が変わった。ウチがやったる
モブ藤A,え……あ、あの……
浦風,流石のウチも、組長を貶されて黙ってるほどお人よしじゃあないんじゃ！。――谷風ッ！！
谷風,へいっ！
浦風,砲持ってこんかい……。こいつらのどてっぱらに穴開けて、〇〇〇〇ピー
谷風,かぁーっ！お任せをっ！
モブ藤A・B,あ、あぁあああぁ……
谷風,おぉっ？
タキュウダー,………………。………………
ナガモン,私を求める声がする……。私の名を呼ぶ、駆逐艦の声がするッ！！
駆逐艦,ナガモンがんばれー！
ナガモン,――うぉおおおお！！。ナガモン……パーンチッ！！
タキュウダー,………………っ
駆逐艦,ナガモーンっ！！
ナガモン,みんなの声援のお陰で、私は強くなれたっ！これからも応援、よろしく頼むぞっ！
谷風,おぉっ？
浦風,なんじゃ、邪魔するんか？……磯風よ
磯風,いいや、浦風の姉御の邪魔なんかしませんよ
浦風,ほう……。それじゃ、ウチの納得できる理由があるんじゃろうなぁ？
モブ藤A・B,た、助けてくれたのか……！？い、今のうちに……
磯風,姉御。こんなところで撃ったら、せっかくの畳が汚れてしまいます。しかし、姉御の怒りもわかります。ここは、この磯風に任せてくれませんか？
浦風,………………
磯風,………………
浦風,――……わかった。磯風に任せる
磯風,ありがとうございます。――浜風
浜風,ここに
磯風,あの逃げようとしてる二人を捕まえて縛っておけ
浜風,もう縛ってあります
モブ藤A・B,んーー！んーー！！！
浜風,――どうしましょうか？
磯風,流石だな。……ちょうど、時津風姉さんの遊び相手が居なかっただろう。部屋に放り込んでおけ
浜風,はい
磯風,谷風
谷風,へいっ！
磯風,近隣の堅気の方々に迷惑を掛けなければ、手段は問わない。……モブ藤組を潰して来い
谷風,かぁーっ！そっちの方が楽しそうだねぇっ！お任せをっ、行ってきます！
磯風,……野分。後始末もあるだろうから、付いてってやれ。誰か連れていってもかまわん
野分,はいっ
磯風,……これでどうでしょうか、姉御
浦風,ん、ええよ。……ウチもちょっと、不知火姉さんを探しに出かけてくるけえ。まったく、どこで何をやってるんじゃ……
磯風,ははは……――
暁,ん……んぅ……。もう……なにかしら……？騒がしいわね……
雷,――あら、組長。ほらー、騒がしくするから組長起きちゃったじゃないっ！
電,雷ちゃんもドタバタしてたのです……
雷,わ、私はしょうがなくよ。しょうがなくっ！
モブ川A,た、助け……て……
暁,。ちょ、ちょっとっ！ダメじゃないこんなことしちゃ！
雷,く、組長……
電,ご、ごめんなさいなのです……
モブ川A,よ、よかった……！こいつはまとも――
暁,――レディは、相手を不必要に痛めつけないものよ。……だから、ね
モブ川A,えっ
雷,……わかったわ、組長
電,なのです
モブ川A,えっ――
暁,――あれ？そういえば響は？
雷,あぁ、響なら早々にモブ川組を潰しに行ってたわ
電,さすが、響ちゃんは行動が早いのです
暁,……響だけで大丈夫かしら？
雷,大丈夫よ。響の事だもの、きっとスマートにしてるに違いないわ――
響,Ураааааааааааааааа！！！！
モブ川C,うわぁーっ！な、なんだこいつはっ！
モブ川D,か、敵わねぇ！逃げろぉーッ！！
暁,――……お腹すいたわね……
電,なのです……
雷,……それにしても、よかったの？組長
暁,えっ？なにがよ
雷,さっきのやつ、逃がしちゃって
暁,あぁ、いいのよ。もうこの事務所に来ることもないでしょうし、レディは無駄な労力は使わないものよ
雷,ふーん、ならいいんだけど
電,……響ちゃん、遅いのです
暁,本当ね……。なにかあったのかしら……
響,――遅くなってすまない。いま帰ったよ
暁,響っ！遅かったじゃない、どこで何を……――
雷,こ、これは……！
電,お、おいしそうなのです……！
響,帰ってくる途中で、商店街の人たちからみかじめ料をもらってきてたんだ――。ハラショー。ハラショー。ハラショー
電,――わーっ。みかじめ料なのですー！
暁,もうお腹ペコペコよ。ま、まあ、まだ我慢できたけどっ
雷,それじゃあ私は食器を用意するわね
響,ふふっ。さぁ、ありがたくいただこうか――
初風,――陽炎組、若頭補佐……初風よ。はぁ……、どうして私たちの組ってこう血の気の多いやつばっかりなのかしらね。まったく、少しは陽炎の組長や私を見習ってほしいものだわ。みんなもそう思うでしょ？。――さて、次回暁が如く。いいことばかりじゃない？助け出せ、暁組！。……任侠桜に仁義の嵐！。――えっ、ツチノコ？……さぁ、なんのことかしら
暁,――へー、この近くでなにかあったみたいね。ニュースになってるわ
電,あっ、電も知ってるのです。モブ藤組が襲撃されたとか……。なんでも屋敷ごと潰されたみたいなのです
暁,ふーん、大変ねぇ……
雷,って、そんな人事じゃダメよ組長っ
暁,えっ、どうしてよ？
響,――この件には陽炎組が関わっているから……。だろう、雷
雷,えぇ、流石ね響
暁,むっ……。あ、暁だってわかってたし……
雷,とにかく、何があったのか知らないけど、陽炎組が動いたんだったら気をつけないといけないわ
電,い、電も聞いたことあるのです……。艦娘の極道で最大勢力を誇る陽炎組……
雷,今はまだ大丈夫そうだけど、いずれお互い無視できなくなってくるわ
暁,……艦娘同士なんだから、仲良くできないかしら
雷,それは難しいわね、組長。……とりあえず、まず私たちはこの辺りのことをどうにかしないとね
暁,この辺り？――あっ、そういえば遊園地が近くにあるって聞いたわっ
電,わーっ、遊園地行ったことないのですっ
雷,……でも、その遊園地は睦月組のシマだわ
暁,えっ
雷,睦月組は、陽炎組に次ぐ勢力を持っている組よ。……まぁ、比較的おとなしいらしいけど
響,でも、私たちのシマの隣に位置してるから、気をつけなければいけないね
暁,ま、まぁ、別に遊園地なんていいけど……。子供じゃないし……
電,えぇー……。残念なのです……
雷,ほかにも、私たちとシマが近いのは夕雲組。夕雲組も陽炎組や睦月組に肩を並べる勢力よ。ただ、おとなしい睦月組と比べると活発に動いているみたいね
響,あとは綾波組かな。組長の綾波を一回だけ見たことがあるけど、とてもすごいオーラを放っていたよ
暁,へぇー、おーら……。わ、私はっ？私のおーらはどうなのよ
響,………………。――組長も負けず劣らずのオーラさ
暁,や、やっぱり？ふふん、一人前のレディなら当然よね
電,組長すごいのですー
響,……ほかにも、綾波組には血霧姉妹と呼ばれる二人の若頭補佐がいると聞くよ
雷,あとはまぁ、吹雪組かしら。……でも、あまりパッとした話を聞いたこと無いのよね。――それで、わかったかしら組長？ひとまず、私たちの近くにシマを持ってる組はこれだけあるって事
暁,わ、わかってるわよ。もう……
雷,本当はまだまだ居るのよっ。ほかは私たちのシマとは離れるけど、戦闘力は一番と噂もある白露組とか、まるで軍隊とも謳われる朝潮組とか――っ
暁,わかったって言ってるでしょっ！もう、雷はおせっかいがすぎるのよ
雷,はぁ……、大丈夫かしら
響,――組長
暁,なによ、響もまだあるのっ？
響,いや、組長なら当たり前のようにわかってるとは思うけど……。もし私たちのシマを取られたら――。もう、商店街の人からみかじめ料をもらえなくなってしまうな。と思ってね
暁,。――それだけは避けなければならないわ……っ！！
響,同感だ
暁,みんなっ！みかじめ料を渡すわけにはいかないわっ。このシマだけは何があっても絶対に守り抜くわよっ！
電,おーっ！なのです！
雷,ふふっ、さすが響ね。私もがんばるわ、おーっ！
暁,……でも、シマを守るって具体的に何すればいいのかしら
電,パトロールとかです？
暁,うーん、そんなに何かあるかしら……
響,………………っ。――組長
暁,なぁに、いい案があるの？
響,来客みたいだ
暁,えっ？
響,それも、望まないほうの――
暁,だ、誰っ？
響,…………。どこの誰だか知らないけど、狙う相手を間違えたね。……とりあえず、腕一本もらうよ
暁,ちょ、ちょっと待ちなさい響っ！ストップよ！
響,………………
暁,え、な、なんで泣いてるのよっ！？響、痛いようにしてないっ？
響,いや、もう押さえつけてるだけだよ
雷,――ちょっとっ？……って、私がお風呂入ってるときに何があったの？
電,何がというか、急にこの人が入ってきたのです
暁,もう……、なんなのよ……
羽黒,……ふぅ……。な、なんだか緊張しますね。――へっ？も、もうカメラ回ってるんですかっ！？。あ、あの、えっと！り、リポーターの羽黒ですっ！！。き、今日は、鎮守府内に昨日オープンしましたMyOUKO-TANMEN・アシガラに行ってみたいと思いますっ！。――お邪魔しまーす。……わぁ、とても良いにおいがしますねっ。ちょっと、お客さんに話を聞いてみましょう！。お、お食事中すいません。お味のほうはどうですか？
M高,す、すこし辛い……。いや、すごい辛いですけど……、と、とても――ゴホッゴホッ！
羽黒,…………べ、別の方にも聞いてみましょう！。すいません、お味はどうですか？
N智,あ、あぁ！辛さの中にも美味しさがあって、と、とてもクセになる味だなっ！
羽黒,わ、わぁー、そうなんですかー。――そ、それでは、リポーターの私も一口いただきたいと思いますっ。……すー……はー……。い、いただきますっ！。……あっ、おいし――。――――――――！！！？？？。――……ゴホッゴホッ。い、いやー、とても美味しかったですね…………。そ、それでは皆さんも、一度行ってみてくだひゃい……。リポーターの羽黒でした…………
足柄,みんなっ！待ってるわよっ！
暁,――で、説明してもらおうかしら？
モブ橋組長,今回はウチの若いもんが、本当に申し訳ありませんでしたっ
モブ橋A,す、すまねぇ。すまねぇ……オヤジっ！
暁,べ、別に謝らなくてもいいわよっ！どうしてその若いもんがこんなところに来たのかを、私は聞きたいのよ
モブ橋組長,……いや、非礼に非礼を重ねる気はねぇんですけど、こればかりは身内の話ですんでどうか……
電,人の事務所襲撃しといて、それはないのですっ！
雷,そうよっ！どうでもいいけど、扉直してってよねっ！
モブ橋組長,そ、それはわかってはいるんですけど……
響,……言わないというのなら、それでもいいさ。でも、その若いもんはウチの組長の命を狙ったんだ。ただで返すわけにはいかない
モブ橋A,…………お、オヤジ。俺……――
モブ橋組長,……わかりました、お話ししましょう
モブ橋A,オヤジ……！！
モブ橋組長,実は、情けねぇ話……ウチらは命令されてるんです。暁組を潰して来いって
雷,なんだ、もともとその気はあったってことね
モブ橋組長,ち、違うんだっ！俺たちは、暁組に手を出す気はなかったんだ……
電,どういうことなのです？
モブ橋組長,俺だってバカじゃねぇ。このあたりのシマを少し歩けばわかる。このシマの人は幸せそうだ……。それを壊すなんて、俺にはできねぇ。ですが、俺たちモブ橋組は小さい組です。どっか、でかい組にくっついてないとすぐに潰されちまう
暁,その組って？
モブ橋組長,モブ中組です……。モブ中組に命令されたんじゃ、俺たちは逆らうことができません……
雷,……でも、手を出す気はないって
モブ橋組長,あぁ、それでも今回ばかりは従うつもりはなかったッ！しかし……しかし……ッ！
電,はわわっ。な、泣かないでほしいのです
モブ橋A,モブ中組のやつらがッ！あいつらがオヤジの息子さんを人質に取ったんだッ！だから……、だから俺は……ッ！！
モブ橋組長,馬鹿野郎ッ！！そんなみっともねぇ言い訳をするんじゃねぇよッ！
暁,そんな奴らが……
雷,これは酷いわ……
モブ橋組長,すいやせん、恥ずかしい所をお見せしました……。――ですが、コイツがやったことは俺を思っての事だったんです。どうか……！どうか、見逃してくれませんでしょうかっ！もちろん今後一切、暁組に近付かないことを誓いますッ！
電,で、でもそれじゃ、息子さんはどうするのです……？
モブ橋組長,俺だって極道の端くれ……。この世界に入ってから、覚悟はできていやす
モブ橋A,オヤジィ……
モブ橋組長,言い訳のように聞こえるかもしれませんが、俺はもともとそんな器のある人間じゃございやせん。俺、学がないもんで。この時代、極道に入らなければ妻や息子を食べさせてやることができなかったんです……。それでも目指してたのは、あんた達みたいな極道だ。身内だけでも、笑顔にできるような……そんな……。だけど、そんな都合のいい事なんてあるわけないんだ。力のない俺たちみたいな組は……。――もし、事が終わってまだ命があったら、きっちり足を洗おうと思いやす。だから、だからどうか……！
モブ橋A,お願いします……っ！
暁,………………
雷,………………
電,………………
暁,――ねぇ、みんな
雷,わかったわ
暁,えっ。ま、まだ何も……
雷,言わなくたってわかるわよっ。息子さんを取り返しに行こうっていうんでしょ？
モブ橋組長,えっ……？
電,組長はわかりやすいのですっ
モブ橋組長,だ、ダメだっ！これは、これは俺たちの問題で……！
暁,もう私たちも無関係じゃないわっ。息子さんを、一緒に取り返しに行きましょう……！
モブ橋組長,ほ、本当ですかい……！お、俺は、なんてお礼を言ったら……！！
暁,そうと決まったら、準備を……。――ってあれ、響は？？
響,――ただいま
暁,ちょ、ちょっと響っ！いったいどこに――
響,息子さんを取り戻して、ついでにモブ中組を潰してきたよ
暁,でかしたわ響ッ
モブ橋息子,父ちゃぁーんっ！！
モブ橋組長,うぉおお、息子よぉおおっ！！。本当に、本当になんてお礼を言っていいか……！
暁,気にしなくていいのよ。……もし、また何かあったら遠慮なく暁組に来なさい
モブ橋A,俺はこんな人たちを……！息子さんをありがとうございましたっ！
暁,ほら、もう行きなさい。まっとうに生きるのよ
モブ橋息子,バイバイ！ありがとう、お姉ちゃんたちっ！
暁,――極道って、いいことばかりじゃないのね。私、みかじめ料の事しか考えてなかったわ
電,そ、それはそれでどうかと思うのです……
雷,……って、結局扉壊れたままじゃないっ！あーもうっ！
響,私が直しておくよ
暁,あの人たちみたいに、私たちにもこれから辛いことがあるのかな……
電,うーん……、あんまり想像したくないのです
雷,難しいわね……
響,………………
暁,――でも、私たち四人で居れば、きっとどんな困難も乗り越えられるに違いないわっ！
電,はわわっ！そうに違いないのですーっ！
雷,そうよ、私がいるじゃないっ！
響,ふふっ、ハラショー
皐月,――睦月組、本部長。皐月だよっ。ボク達のシマにはね、でっかい遊園地があるんだー！。遊びに来る子供たちの笑顔……。やっぱりかわいいよねっ！。でもね、そんな笑顔を台無しにするような事件が起こってしまったんだ……。――次回暁が如く。かん違いの遊園地！暁組を追い詰めろ！。任侠桜に仁義の嵐っ！。……ボクは、みんなを守って見せるよ
暁,――……いい、みんな。わかってるわね？
電,な、なのです……
雷,えぇ……
響,ハラショー
暁,これは遊びじゃあないの。……一瞬たりとも気を抜いちゃダメよ
電,ぜ、絶対に気は抜かないのです……！
雷,も、もちろん、私だって！
響,………………
暁,――さぁ、行きましょうか……！遊園地へっ！！。こ、これは……
電,チケット……？いったい何のチケットなのです？
雷,えぇっと、これは……
響,遊園地のチケットだね
暁,ゆ、遊園地……っ！
電,遊園地……なのですっ！？
響,あぁ、商店街の人がくれたんだ
暁,……こ、これが…………。……よしっ！みんな――
雷,ダメよ、組長
暁,えっ
雷,この前も言ったでしょ？この遊園地は睦月組のシマだって……。私たちが行けるわけないわ
電,はわわ……、遊園地が……
暁,――で、でもっ、雷だって行きたいでしょっ？
雷,うっ……。そ、そりゃまぁ……私だって……
暁,じゃ、じゃあ……
電,でも、睦月組の人に見つかっちゃったら怖いのです……
暁,………………
響,――それじゃ、偵察に行くのはどうだろう
暁,て、偵察っ？
響,そう。睦月組はシマも隣だし、相手の情報を知っておくのは重要だよ
雷,スパイってことねっ！
電,スパイなのですー！
響,うん。……さぁ、どうする組長？
暁,……決まってるわ。みんなっ、準備するのよっ！
雷・電,おーっ！
電,――次はジェットコースターに乗るのですっ！
暁,え、えぇっ！さ、さっきも乗ったじゃないっ！
雷,まぁまぁ、怖かったら無理して乗らなくても……
暁,こ、怖くないしっ！！何回だって乗ってみせるわよっ！
響,ふふっ、ハラショー
如月,……水無月？なにをそんなに慌てているの？
水無月,た、大変なんですよぉ――っ！
如月,――組長。本部前に、これが……
睦月,そ、そんなぁ……！こ、これは本当の事にゃしぃ？
弥生,由々しき……事態？
睦月,と、とにかく、組員総出で探さないと……！皐月っ、連絡をお願いっ！
皐月,任せてよっ！
睦月,………………
如月,……うなだれててもしょうがないわ、組長。さ、私たちも行きましょう？
睦月,はぅ……――
暁,――クレープっていうのかしら、これおいしいわね！
電,みかじめ料の中にはないのですっ
雷,そうねー、事務所でも作れるのかしら……
響,とても力を感じる……。ハラショー
暁,さて、次はどこに遊びに……。――偵察しようかしら
雷,お化け屋敷とかは？
電,お、お化け屋敷は怖いのです……！
暁,あら、電怖いの？だらしないわねぇー
電,組長、足震えてるのです……
暁,あっ……
電,あ、あれは、睦月組の……！
雷,望月……だったかしら？
望月,――そっか、思い出した。……君ら、暁組だね？
リュウジョーン,あーはっはっはっはっ！この大福製造工場はうちが壊してやったでー！こんなもん食べるから太るんやっ！。この調子で、他の工場も……――。……出よったな。クウボレンジャーっ！
赤城,あなた達、悪の軍団タイホーンの思い通りにはさせないわっ！。――私の赤は、燃焼の赤……！赤城レッド！
加賀,………………………………加賀ブルー……
飛龍,き、金曜日はやっぱりカレーよねっ！飛龍イエロー！
蒼龍,目に優しいのはこの私っ！蒼龍グリーン！
翔鶴,ツルのように美しく……！翔鶴ホワイト！
瑞鶴,同じくっ！瑞鶴ブラック
赤城,６人そろって……私たち――っ！
加賀,………………
リュウジョーン,クウボレンジャーめ、またもうちらの邪魔をするんかっ！
赤城,当然よっ！私たちが居る限り、この街は守ってみせる！
リュウジョーン,ふはははっ！それじゃ、せいぜい守ってみぃ！
赤城,――みんな、いくわよっ！
飛龍・蒼龍・翔鶴・瑞鶴,おーっ！
加賀,………………
望月,――君ら、暁組だね？
暁,…………み、みんな、作戦Dよ
電,な、なのです……！
雷,しょうがないわね……
響,了解
望月,ちょっと話を――
暁,――逃げるわよっ！
電,はいなのですー！
雷,作戦ダッシュねっ！
響,ハラショー
望月,あー……。追いかけたほうがいいのかなー……。でもなぁ……
三日月,――もっち、何をボーっとしてるのっ。こんな緊急事態に……
望月,いやー、いまさぁ暁組の娘達が居たんだよー
三日月,あ、暁組……ッ！！？――って、なんで追いかけないのっ！
望月,えっ？なんで？
三日月,……でも、そうか……！今日届いたアレは暁組の宣戦布告……ってことになるのね
望月,…………いや、それは違うんじゃ――
三日月,もっちは今すぐ暁組を追いかけてっ！私は組長に報告と、入口の封鎖と……。――あぁもう、とにかく動かないとっ！
望月,三日月？だから……
三日月,ほらっ！私は行くから、もっちも早く追いかけるっ！
望月,あー……行っちゃった。……なんか面倒くさいことになりそうだけど、しょうがないかー……
暁,――お、追っては来てそう？
電,それらしき影は見えないのです……
