モバＰ,以降Ｐ表記。そかそか
Ｐ,担当アイドルの着衣嗅がないと睡眠を取れないというなら喜んで不眠症になろうじゃないか
志希,くんかくんか……あ、もしかしてレッスンの後の匂いじゃないと？
Ｐ,社畜ちょっぷ！
志希,ふにゃ！。んじゃありきたりでツマンナイけど、こんなんどうかにゃ～？
Ｐ,だから怪しいクスリは無しだっての
志希,キミはアタシを一体何だと思ってるのさ
Ｐ,目を離すと失踪するか好奇心が疾走するかどっちかしかないマァッドゥサイエンティスト
志希,あのね、一応アタシにも人並みに傷つくハートはあるんだよ？
Ｐ,んで、何それ
志希,スルーは酷いなぁ…ま、別にいーけど
Ｐ,すんすん…何か匂うな
志希,志希ちゃん特性ブレンドのリラックスアロマだよ～。ストレスとかで自律神経が昂ってると睡眠障害になるからねー。どうどう？効きそ？
Ｐ,んー…いい匂いなのは分かるけど、どうだろ
志希,んじゃ試しに焚いてみるから横になって？はいシャツを脱いでー横になってー目を閉じてー
Ｐ,……
志希,ふぉお？ふぇふえひょう？
Ｐ,横で人のシャツに何してんだテメェ状態で眠れそうにありません
志希,どお？眠れそう？
Ｐ,シャツべとべとじゃねぇか
志希,はいはい気にしない気にしなーい。目を閉じてて。リラックスだよ～♪
Ｐ,……。…あ、でも何かこのまま眠れそうな気がする。アロマ凄い
志希,眠った？ねぇねぇ眠った？
Ｐ,寝かせたいんかい寝かせたくないんかい
志希,構ってほしい！
Ｐ,言っちゃったよこの娘
志希,でもキミが本調子じゃないのはアタシとしても不本意だよー。志希ちゃんどうすればいいと思う？
Ｐ,構いたくない時に限って甘えてくるの何なの？猫なの？
志希,にゃー？
Ｐ,可愛いとは思うけど寝不足で若干ピリついてるからイラッともする
志希,え、ひどくない？。よしっ！それじゃあ最終手段っ。リーサルウェポンいってみよー！
Ｐ,そんなんあるなら最初から出してくれよ
志希,んしょ、よいしょっ
Ｐ,何でお前までベッドに上がるん？
志希,ささ、どぞどぞ～♪
Ｐ,何それ
志希,んー？見てわかんない？
Ｐ,膝枕？
志希,にゃははー♪ピンポンピンポーンっ
Ｐ,あ、結構です
志希,アタシにも人並みに傷つくハートはあるんだってば！。ええい実力行使だっ！
Ｐ,枕取られたかと思いきや次の瞬間担当アイドルの膝の上に落ちる後頭部！
志希,ふっふー。志希ちゃん枕は如何かなー？
Ｐ,…恥ずかしくない？
志希,…ちみっとだけ？
Ｐ,こんなところを千川にでも目撃されたら今月の給料モバコインカードで支給されるぞ
志希,起きちゃダメっ
Ｐ,がはっ
志希,はいそのまま目を閉じて～リラックスだよ～キミは段々眠くなる～眠くなる～一ノ瀬志希ちゃん大好きになる～
Ｐ,
志希,あれ？何だかんだ言いながらアタシの太ももであっさり寝ちゃったねぇ～
Ｐ,
志希,目のクマすっご。ちゃらんぽらんしてるフリしてストレス貯めてるのかなぁ
Ｐ,
志希,アタシ、キミに甘えすぎちゃってる？でも仕方ないよねぇ～
Ｐ,
志希,ギフテットでも気まぐれでもすぐどっか行っちゃってもいいからアイドルにしたい、なんてキミぐらいだよ？そんな変な事言う人は。面白そうだったしキミは良いニオイだしホイホイ釣られちゃったけどさー。んっふふー♪お陰で毎日退屈知らずだよ～。アタシでも全然わかんない事が沢山だし。みんな面白くて興味深いし。これでもうちょっとお仕置き手加減してくれると嬉しいなぁ
Ｐ,……ハッ！？
志希,あ、起きちゃった
Ｐ,…あれ？俺は一体…
志希,おっはよー。ぐっすり眠れた？志希ちゃんのお膝はそんなに寝心地良かった？
Ｐ,え、寝てた？…まるで頸椎キめられて気絶してたような気がするんだけど
志希,き、きき気のせいじゃないかにゃー？
Ｐ,気のせいか…そっか。首が横に曲がらないけど気のせいか…。……何だよ、そんなニヤニヤして
志希,んーんー？やっぱりキミといると退屈しないな～って♪
Ｐ,貴様何を盛った
志希,アタシの信用低すぎない！？
Ｐ,千川よりは信用してるぞ
志希,それ事実上ワースト２だよね！
Ｐ,この機会にだね、日頃の行いというものをだね
志希,うりゃ！こーしてやる！
Ｐ,８３cmのアイピロー！
志希,さっきまで生命だったものがあたり一面に転がる～♪
Ｐ,史上最悪の子守歌だな
志希,もう眠れない？焼きたてのサンマにお醤油を垂らしたニオイのアロマあるけど使う？
Ｐ,眠れる訳があるかぁ。それよりもういいぞ？いつまでもオッサンの頭乗っけてると足痛くなるだろ
志希,お構いなく～♪今キミの白髪探してるから
Ｐ,ま、まだそこまでの歳じゃないやい！
志希,１本はっけ～ん♪
Ｐ,数本いってません！？
志希,まだ寝れない？膝枕ダメなら添い寝する？
Ｐ,社会的にしんでしまいますやめてください。さっきのアロマは良い感じだったけどな
志希,そーなの？だったら寝ちゃえば良かったのに
Ｐ,自分を構えって起こしたのは誰だよ！
志希,誰かなぁ～？
Ｐ,今履いてる靴下嗅ぐ？
志希,アタシにもフレグランス選ぶ権利があると思いますっ！
Ｐ,境界線がいまいち分からねーですよ。さっきのアロマって志希のオリジナルなんだよな？
志希,ふっふー、そうだよー♪。凄いでしょ？最高でしょ？天才でしょっ？
Ｐ,はいはい凄い凄い
志希,んふふーっ♪もっと褒めて褒めて～♪
Ｐ,凄い凄い志希ちゃんサイコーチョーイイネ
志希,感情が籠ってなぁーい！
Ｐ,だから押し付けんモガモガモガ！
志希,にゃっはっは～♪はいオヤスミー
Ｐ,ぷはぁっ！永遠の眠りにつくわぁ！
志希,あはははははははははっ！
Ｐ,何が可笑しいッ！！
志希,に゛ゃははははははははははははっ！！？。ち、ちょっ……足腰立たない…
Ｐ,服着崩れてるぞ。はしたないからちゃんとしなさい
志希,誰のせいだよぅ…
Ｐ,結局このアロマが一番効果ありそうだな。なぁ、これと同じもの頼めるか？
志希,ん～…？いいよソレあげる～。元々キミの為に作ったんだしねー
Ｐ,え、そうなの？
志希,うん、そうなの
Ｐ,だったら最初からそう言ってくれね？
志希,だってそしたらこーしてたっぷりキミのスメルを服に染み込ませられないも～ん
Ｐ,計算尽くかい
志希,ふっふ～。志希ちゃんジーニアスだからねぇ
Ｐ,天才っつーか天災だよディザスターだよもうちょい自粛してくれると助かるよ
志希,止めろとは言わないんだね？
Ｐ,言って止めるハスハスじゃないし言って止めたらハスハスじゃないだろ
志希,にゃははっ♪キミのそういうトコ好きだよ～
Ｐ,そういうトコ？
志希,結構チョロいとこ
Ｐ,さぁ、実験を始めようか
志希,に゛ゃひゃひゃひゃひゃひゃひゃひゃはははははっ！！！？
Ｐ,と言うわけで安眠のために特製アロマを使ってみるですよ
芳乃,すんすん
Ｐ,芳乃ステイ。まだ使ってない
芳乃,雌の匂いがしますのでー
Ｐ,どれ、では早速試してみようか。確かマグカップにお湯を入れて、そこに１、２滴垂らして…
芳乃,くんくん……岩手、１８歳、藍原ことみの匂いがしましてー
Ｐ,…お、良い感じに匂いが広まってきた。おぉー、どうだ芳乃。これならリラックスして熟睡出来そうじゃね？
芳乃,すんすんくんくん
Ｐ,嗅ぐの俺じゃなくて
芳乃,ほー？。なるほどなるほどー。良い香りがしておりますー
Ｐ,だろ？
芳乃,ですがー
Ｐ,うん？
芳乃,お腹が空いてしまう匂いなのでしてー？
Ｐ,…あ、これ焼きたてのサンマにお醤油を垂らしたニオイだわ
アッキー,お…終わりだ…
優,いい加減諦めてトリミングしようよ暑いでしょ？
