戸山香澄,作りたくない？
沙綾,やっぱりこの時間になるとお客さん多いなぁ……。ごめん、お客さん多いんだけど、ちょっとこっち一人で任せてても平気？そろそろパンが焼き上がるからそっちの面倒見なくちゃいけないんだ。……バッチリ任せろって？ふふ……うん、ありがと。じゃあちょっとお願いね。……さってと、パンの様子は……うん、いい具合に焼き上がって来てる。ここの見極めが大事なんだよね……まだお父さんほど慣れてないから目を離せない……。……あっちは大丈夫、かな。…………。バッチリ任せろ、か。あはは、カッコつけてたなぁ。……うん、きっと大丈夫だよね。今までだって私を裏切るようなこと、したことないもんね。だから私はこっちに専念できるよ。朝のおじさんの言葉じゃないけど、将来こんな生活を送るっていうのも……悪くないかもね。なんて。……ふふ。おつかれー！今日は本当にありがとね、手伝ってくれて！。……いやいや、大したことだって。朝から晩まで付き合って貰っちゃって……本当に助かったよ。何か私にして欲しいこととかある？限度はあるけど、今なら大抵のことは引き受けるよ。……え？私の焼いたパンが食べたいって……それだけでいいの？。……私のパンはそれだけで済ませられるものじゃない？。…………。……あ、うん。私の焼くパンについてそんなに熱く語られるとは思わなかったかな。引いてないってば。ちょっと驚きはしたけど、そこまで好きって言ってくれるのは嬉しい……かな。よーし、それじゃあちょっと待っててね。腕によりをかけて作っちゃうからっ。はいはい、分かってますよ。甘いチョコたっぷりのチョココロネだよね？。本当、甘いもの好きだよね。いやいや、馬鹿にしてないって。そういうところ、可愛いと思うよ。えー？私の方が可愛いって？特にエプロン姿にポニーテールがいい？。あはは、ありがと。君にそうやって褒めてもらえると嬉しいよ。んー？からかってないって、本心だってば。……恥ずかしくなるなら言わなきゃいいのに。おかしいんだ。……今日は本当にありがとうね。君がいてくれて、本当に助かったよ。また、さ。こういう時があったら……頼りにしてもいい？。……いつでもオッケー？。うん、そう言ってくれると嬉しいなっ。それじゃ、もうちょっとゆっくりしててね。あ・な・た♪。……なんてねっ！
りみ,……い、以上、です。どうかな……？
たえ,Hey、S〇ri。沙綾と結婚する方法は？
有咲,オーケーグ〇グル。山吹ベーカリー永久就職方法
りみ,え、えぇ！？どうしたの！？
香澄,りみりん、止めないであげてっ。あれは必然なの……仕方のないことなの。沙綾と一日二人っきりでお店番、それはもう結婚しているのと同じっ！。自信がないなんて言っておきながらこんな爆弾を放り込んでくるなんて……りみりん、恐ろしい娘ッ！
たえ,ありませんって返ってくる。これ壊れてる
有咲,はぁ？アルバイトじゃなくて私は人生まるごと終身雇用が望みなんだけど？天下の検索機能様も使えねーな
りみ,き、気に入ってもらえたんだよね……？それならよかったぁ……
たえ,大変素晴らしいお手並みでした
有咲,りみはもっと自信持っていいと思うぞ
香澄,その通りだよ、りみりん！
りみ,みんな……ありがとう……
たえ,それじゃあ次は私の番
有咲,おたえか……どんな台本が来るのかまるで分からん
香澄,楽しみだなー♪
りみ,おたえちゃん、お願いします
たえ,うん。それじゃあ話すね
――たえの妄想花園ランド,恋人の家
沙綾,あはは、相変わらず君の家はウサギ多いねー。来るたびに懐かれてきてるし、私の顔、覚えてくれてるのかなぁ？。よしよし、いい子だね～。……うん？どうかした？。……あー、さてはヤキモチ妬いてるなー？。あはは、愛いやつめ～、なでなでしてあげよう。……君、顔はそっぽ向けてるのに全然嫌がらないんだね。沙綾が撫でたいなら仕方ないって？んー、それじゃあ嫌なのに我慢してるんだね……そっか、気を遣わせちゃってごめんね……。…………。……っ。くっ……あは、あははは！珍しいくらい慌てて弁解してたねっ。うん、冗談。……ごめんってそんなに拗ねないでって。え？なに？褒めてくれないと機嫌直んない？。はいはい、ウサギより君の方がずっと可愛いよ。あ、これは微妙だった？ごめんごめん
りみ,沙綾ちゃんに手玉に取られてるよぉ
有咲,この掌で踊らされてる感、たまんねーな
香澄,沙綾の掌の上だったら何でもダンスっちゃうよ！
沙綾,お邪魔しま……って、まーたなんか君の部屋散らかってない？。この前一緒に掃除したばっかりなのに……あーもう、飲みかけのものは飲まないんだったらすぐ捨てるっ。はいはい、ベッド周りに置きっぱなしの本も本棚に戻してー。またすぐ読むから？そんな遠い距離じゃないんだから、面倒くさがらずにちゃんと戻しなさい。……ウサギのエサもまた新しい種類の買ったでしょ、これ。もうっ、可愛いのは分かるけどちゃんと与え切ってから買わないと古いのが悪くなるよ？。ああもう、紙くずがゴミ箱からこぼれてる。投げ入れようとして入らなかったのをそのままにしないっ。……ふぅ。うん、とりあえずはこんなもんでいいかな……っと。いつも悪いねって、悪いと思うならちゃんと部屋の掃除をしなさい。沙綾がいるとつい甘えちゃう？ああそうですか、私が悪いんだね。うーん……私がいると君の為にならないんじゃ、ちょっと距離を置いた方が――。わっ、びっくりした。どうしたのいきなり……五体投地する勢いで頭下げて。今度から部屋はちゃんと片付けて散らかさないからそれだけは勘弁？。……んー、どうしようかなぁ。何回言ってもちゃんと片付けないからなぁ。私も離れたくないけどなぁ、君をダメにするのも心苦しいからなー。……くすっ、冗談だよ。距離は置かないから、今日からちゃーんと部屋の掃除はしっかりすること。ね？。……うん、良い返事だっ。偉いぞー、ご褒美になでなでしてあげよう。……今度も全く嫌がらないんだね。なんだか今日の君は一段と甘えん坊さんだねぇ。え？たまにはそういう気分になるって？。うーん、これたまにかなぁ、割とよくあるような気がするけど……。…………。最近、何か落ち込むことでもあった？。言いたくないなら言わなくても大丈夫だよ？でも、もし何か胸の中につっかえてるものがあるならさ、吐き出しちゃいなよ。……カッコ悪いからやだ？。ふふ、平気だよ。私はずっと、君の味方だから。カッコ悪いなんて思わないよ。むしろ、信頼してくれてるんだなって嬉しくなる。……うん、いいよ。しばらく撫でててあげるから。…………。…………。……ん？。……うん、うん……。…………。うん。……そっか。バイトで失敗しちゃって、お客さんと社員さんにすごい怒られちゃったんだね。だから今日は、会った時からちょっと元気なかったんだ。……大丈夫だよ、失敗なんてみんなするものなんだから。私だって店番してる時に失敗することもあるし、お客さんに怒られることもあったよ。嫌だよね、そういうこと。なんでそんなに怒られなくちゃいけないんだって思うこともあるよね。……うん、ずっとそう思ってたけどちゃんと謝って、しっかり後始末できたんだ。偉いね、ちゃんと頑張れたね。……ふふ。あ、ううん、ごめんね。いつもこうやってストレートには甘えてこないからさ。素直な君、可愛いなぁって。……もう大丈夫？うん、分かった。お見苦しいところをお見せしました？あはは、いいっていいって。さっきも言ったけどさ……弱ってるところを見せてくれるのはさ、信頼の表れって感じがして嬉しいからさ。あっ、でもだからって部屋の掃除をちゃんとしないのはダメだからねっ。ちゃーんとやることやる人しか私は甘やかしません。抗議は一切認めません。分かった？。……はい、よろしい。え？次の機会には君が私を甘やかすって？。うーん、あんまり君が甘やかしてくれるとこ想像できないけどなぁ……。あはは、ごめんごめん。それじゃあ、次の機会に期待してるよっ
たえ,終わり。テーマは愛と正義
香澄,…………
りみ,…………
有咲,…………
たえ,あれ、どうしたの三人とも。おーい
香澄,……はっ！？ごめん、沙綾にひたすら甘やかされる世界からなかなか帰ってこれなかったっ！
たえ,ああ、分かる。よくあるよね、そういう時って
香澄,危なかったよぉ、膝枕＋頭なでなでは強敵だったよぉ……
たえ,大変だ、香澄。りみと有咲が帰ってこれなくなってる
りみ,……ぎゅってしながらなでなでしてほしいなぁ
有咲,……えへへ
香澄,ホントだ！二人ともいい笑顔すっごくポヤポヤしてる！
たえ,こういう時は……えいっ、全力腕つねり
有咲,痛っ！？
たえ,おはよう、有咲
有咲,あ、あれ、沙綾は……はっ、アレ夢か！？
香澄,りみりーん、朝だよーっ！えい、イヴちゃん直伝ハグ攻撃っ！
りみ,はわっ……あれ、沙綾ちゃんどこ……
たえ,幸せな夢の中だよ、りみ
りみ,あっ……そっかぁ。台本の読み合せ中だったね
有咲,……私とりみで起こし方に差がねぇか？
たえ,気のせいだと思う
香澄,気のせいだよ有咲っ！
りみ,か、香澄ちゃん、そろそろ離して欲しいな……
有咲,いやぜってー気のせいじゃねーだろ！？
香澄,まぁまぁ。それより次、有咲の番だよっ
たえ,トリだね。楽しみ
有咲,え、あー、あー……そうだな
りみ,どうしたの、有咲ちゃん？
たえ,有咲も自信がない系？勇気がないなら私があげようか？
香澄,ハピネスっ！ハピィーマージカルーっ♪
有咲,それ違うバンドの歌だろっ！。私は自信がないっていうかだな……ちょっと被ったなってとこがあってだな……
香澄,大丈夫大丈夫っ！人の数だけそれぞれの愛があるんだよ、有咲っ！
りみ,そうだよ有咲ちゃん。きっと有咲ちゃんにしか表現できない沙綾ちゃんの素晴らしさがあるよっ
たえ,こーえにー出せーばどこでーもでーきーるー♪
有咲,おたえはいつまで歌ってんだよ！？ああもう、とにかく私の台本読むぞっ！！
沙綾,はい、いらっしゃいませ～。お店の手伝いとかはたまにしてもらってるけど、私の部屋に君が来るのってちょっと久しぶりだね。今お茶淹れてくるから、適当に座って待っててよ。うん？よく片付いてるって？。いやぁ、それは君の部屋が散らかってるだけなんじゃないかなぁ？。最近は真面目に片付けてる？ホントかなぁ……。はいはい。それじゃあちょっと待っててね
香澄,ほうほう、こちらは沙綾の部屋でのデートですな
たえ,沙綾の本拠地に攻め入るなんて大胆。すごい
りみ,沙綾ちゃんのお部屋って安心する匂いがするよね
沙綾,お待たせー。はい、粗茶ですが……なーんて。どうしたの、キョロキョロして。挙動不審だね。何でもない？ふーん、それならいいけど。それにしても、こうやって二人でゆっくりするのも久しぶりな気がするなぁ。最近はお店の手伝いも忙しかったし、ライブもあったからさ。気が付いたら一か月経ってた！みたいな感じで。……君は寂しかったかな？最近私となかなか会えなくて。……そっか、良かった。私と一緒だね。うん。私も。私もね、ちょっと……寂しかったかな。やることが次から次へと出てきて、ちょっとへこたれそうな時とかは特にね……。ああごめんごめん！久しぶりにこうやってゆっくり出来るのに辛気臭い話しちゃったね！。え？無理しないでほしいって？。……別に私は無理なんてしてないって。まぁそりゃ、大変は大変だったけど、終わってみればそんなでもなかったかなって。それは無理をして倒れる人が言うセリフ？いやいや、大丈夫大丈夫、私はまだそんな歳じゃないって。いやまぁ、確かにバンドのみんなにもお父さんお母さんにもそんな風なこと言われたけどさ。そうやって心配してくれるだけで私は嬉しいよ。……それだけじゃ満足できないって？私に頼りにされたい？。あはは、私はもう十分、君のことを頼りにしてるよ。これ以上？これ以上って言われてもなぁ……例えばどんな風に？。肩もみ？ああうん、確かに肩がちょっと重いかなって気がしないこともないけど……。あ、本当にやる気だったんだ。あー……それじゃあうん、ちょっとお願いしようかな？。ん？普段はそうだね、どちらかというとお父さんに肩たたきとかしてあげる側だね。いつもお疲れ様……か。うん、ありがと。……んっ。あ、あはは、あんまり慣れてないから変な声出ちゃった。ん、んー……首の付け根辺り押されるの、ちょっと気持ちいいかも……。へー……人間は頭が重いからここがコリやすいんだ。っ、あ、あっ……そのポイントちょっと弱いかも。んん……次は肩の付け根？。ふぁ……ああ、そこイイ……。ああぁ……すごい気持ちいい……。痛くないかって？ううん、全然平気だよ……。君の手、優しく私を触ってくれるから……すごく心地いいかも。あっ、すご、肩甲骨の辺り……。んぅ、ああ、そこグリグリされるのイイ……すごいよっ……
香澄,…………
りみ,わぁ……
たえ,……ふぅ
沙綾,んー！あはは、なんかすっごく肩が軽いや。……うん。自分が思ってるよりも疲れてたみたいだね、私。その、ごめんね。本当はちょっと強がってたかも。このくらいみんなやってるんだ、疲れてるけど疲れたなんて絶対に言わないぞっ……みたいな？。うん、そうだね、君の言う通りだよ。倒れてからじゃ遅いもんね。そんなこと私が一番、身を持って経験してるのに。……ふふ。ううん、どうもしないよ。ただ、私って幸せ者だなーって。バンドのみんなにも、家族にも心配してもらえて、君にもこんなに大事にしてもらえて。そう思ったら自然と笑えてきちゃったんだ。だからみんなに、もっともっと尽くしたいなーなんて。はいはい、分かってますって。山吹沙綾、頑張りすぎないよう頑張りますっ。……なーんて。……ねぇ、ちょっとだけワガママ、聞いてくれる？。何でも聞くって……いいのかなーそんな安請負しちゃって。んー、じゃあ……手始めにハロハピのミッシェルをポピパに引き抜いて来てもらおうかな？。……あはは、ごめんごめん。そんな無理難題は言わないよ。明日さ、お店の手伝いもバンドの練習も学校もない、まっさらなお休みなんだ。だからさ……うーん、普段言い慣れてないから恥ずかしいな……。うん、分かった。じゃあストレートに言うね？。今日から明日の夜まで、私にずっと付きっきりで甘やかして欲しいな……。…………。……だめ？。…………。……うん。ありがと。え、顔が赤いって？それは夕日のせいでーす。というか、そういう君の顔も赤いよ。はいはい、夕日のせいね、夕日のせい。ん、荷物取りに一回家に戻るんだね、了解。その間にお客さん用のお布団とか用意しとくね。……でも、寂しいから早く戻って来てほしいかな。え？あ、聞こえてた？あ、あはは……気にしないで焦らずにね？。……おーい。…………。反応がない。寝たかな？。……正面切ってなかなか言えないから、こんな形になっちゃうけど……いつもありがとうね。君がいてくれて本当に良かった。いつも私のことを助けてくれてありがとう。……大好きだよ。わっ。……寝返り打っただけかな？起きてたら絶対何かしら反応するもんね。それにしても、くす……可愛い寝顔。えい、写真とっちゃえ。ぱしゃり。ふふ、暗いけどばっちり撮れた。…………。折角だから……2ショットも撮ろっかな？。ちょっとお布団にお邪魔しまーす……いい子だから起きないでねー……。……潜入完了っ。それじゃあ寝顔と私とを……ぱしゃり。うん、上手に撮れたね。……2ショット撮るつもりだけだったけど、なんだか君にくっ付いてると安心する……。このまま……くっついたまま寝ちゃおっかな……。うん……そうしちゃお。……明日も甘えちゃうけど、許してね？。それじゃあ……おやすみなさい……。君も私も……いい夢が見れますように……。……すー……
有咲,……終わり
香澄,…………
りみ,…………
たえ,…………
有咲,いや何か言ってくれよ。無反応でいられるとなんか恥ずかしいんだけど
香澄,……感動した
りみ,……ドキドキしました
たえ,……沙綾のベッドになりたい。ペットでも可
有咲,えぇ？
香澄,すっごい感動したっ！いつも頑張り過ぎちゃう沙綾とお互いがお互いを支えあう仲……すごくいい！！
りみ,ドキドキしちゃった……。お互いの体に触れ合うのを簡単に許せるのって、すごい大人っぽい……！
たえ,私は沙綾を支え、癒す、ただそれだけの存在になれればいいんだって今気付いた
有咲,いや、確かに私も自信作を送り出したつもりだけどさ……そんなに褒めんなよ……照れるだろ
香澄,よーし、これで沙綾と結婚したくなるＣＤの台本が出来たね！
有咲,タイトル変わってね？
たえ,本質は合ってるから大丈夫
りみ,確かにおたえちゃんの言う通りかも……
香澄,そしたらまず収録するためのスタジオ抑えなきゃ！
たえ,あ、じゃあ私、麻弥さんに事情話してパスパレのスタジオ貸してもらえないか聞いてみる
香澄,お願い、おたえっ
有咲,じゃあ私は台本をデジタル化して印刷するぞ
りみ,有咲ちゃん、私も手伝うね。あとちょっと思ったんだけどね、時系列を付けてそれぞれの話に関連性を持たせると深みが増さないかな？
香澄,りみりんあったまいい！それいい案だよっ！
有咲,了解、じゃあその方向で少しいじるぞ
香澄,有咲大先生の手腕に任せますっ！。じゃあ、私は沙綾にＣＤ化が決まったよって連絡しとくね！
沙綾,ふぅ……今日はお客さん多かったなぁ。ん？香澄からメッセージが届いてる……なになに。ＣＤ？うーん、新曲作ったってことかな……それで私が歌うのかな。あ、また香澄からメッセージ。え、なんでパスパレ……それに演技指導って……。えーと……よく分からないけど次の休みは……。新曲かぁ、どんな曲なんだろ。叩きながら歌うのかなー私。楽しみだなぁ。……なんて能天気なことを考えていた自分を叩きたい。件の木曜日、私に手渡されたのは楽譜ではなく台本。表紙には沙綾と結婚したくなるＣＤ。困惑する私に追い打ちをかけるように、白鷺先輩が私をパスパレのレッスンルームに連行。ここまでポピパのみんなから一切の説明はなかった。そして演技指導する白鷺先輩がすごく怖い。鬼教官だった。みっちりと二時間レッスンをして、次に連行されたのはスタジオ。楽器などが置いておるスタジオではなく、よく声優さんが収録するようなスタジオ。ここまで誰からも事の次第の説明はなかった。ものすごく鋭い眼光で私を見つめる演技指導の鬼になった白鷺先輩がただただ怖かった。……そして気が付いた時には、収録は終わっていた。なんだか歯の浮くようなセリフの数々を感情を込めて喋らされた気がするけど、その時私の胸にあったのは白鷺先輩から解放されるという喜びだけだった。そしてそれから二日後……
香澄,ついに出来たっ！沙綾と結婚したくなるＣＤ！
りみ,ここまで長かったね……！
たえ,みんなの努力の結晶だ……
有咲,まぁ……たまにはこういうのもいいかな……
沙綾,…………
香澄,でも……こうして手に取ってみると……アレだよね……
たえ,やっぱり香澄も？
有咲,そういうおたえもか……
りみ,よかった……私だけじゃなかったんだね……
香澄,うん……
香澄りみ有咲たえ,売るのがもったいない！沙綾ちゃん
香澄,だよねー！
たえ,これは仕方のないこと
りみ,自然の摂理だよね……
有咲,まったくだよ
沙綾,…………。どうやらポピパの心は一つみたい。……なんという美しい友情なんだろう
りみ,でも、私たちで独占するのは全世界の沙綾ちゃんファンを裏切ることになっちゃうよね……
有咲,そうなんだよな……
香澄,うん……だから、私は断腸の思いでこれを販売するっ！
たえ,香澄、偉い
香澄,これが私たちの使命だもんねっ！
沙綾,その私たちに私は入ってるんだろうか。きっと入ってるだろうけど出来れば除外してほしい。盛り上がる四人を少し遠巻きに眺めつつ、私は呟くのだった。……なつにCHiSPAでまた一緒にバンドやらせて下さいって頼も
