砂塚あきら,以下あきら
あきら,え～…気を取り直して続きを読んできマス…。組むアイドルは…辻野あかりちゃん。あんまりよく知らないけど…あの子なんJ民なの？。ん、カンペ……東京ではあれが流行っていると思い込んでただけ…マジで？ピュア過ぎるでしょ！。そんなピュアな子とネットの海に浸りきった自分じゃうまくいきそうにないんだけど…。こんにちはあきらちゃん…はいこんちわ～。あきらちゃんが組むならやはり、デビュー時期の近いあかりんごが良いと思います！。まぁ殆ど同期だしね、でもなぁ…。ユニット名は、つい最近の放送で一人の砂に延々キルされ続けてるあきらちゃんを見た時に思いつきました。ユニット名は顔面あかりんごです！。却下。顔真っ赤になってないし！というかあの砂が延々粘着してくるから一泡吹かせてやろうとしただけだし！。ん、カンペ……え～…あの時の配信で戦ってたcandyplzさんデスが…えっ、マジ…？。双葉杏さんだったことが判明しました。本人からのコメントでは…あったまってるから動きは直線的だし周囲確認も甘々だしでスコア美味しかったよ、またよろしくね～とのこと……むがああああ！！！！
また,スコア献上
あきら,はぁ…おみぐるしいトコロをお見せしてもーしわけございませんでした…。謎い励ましありがとデス…それじゃ、次は青い鳥機能の方から何個か拾っていくよ～。こちらはクロさんから、組む相手は速水奏さんと星輝子さん、ユニット名はシャークネード
奏,サメの話？
あきら,うわぁ！？。は…速水奏…さん…？
奏,あなたが新人の子ね？
あきら,え、あ…ハイ…
奏,あぁ…このギザギザな歯…良いわ…トキメいちゃう
あきら,えっ…歯触って…
奏,真っ赤になっちゃって…可愛い
あきら,そんっ…
幸子,カワイイと聞いて！
あきら,また何か来た！？
幸子,コメントが辛辣！？
まゆ,幸子ちゃん、お邪魔しちゃダメですよぉ
幸子,まゆさん…。なんですかこのコメントの温度差は…
まゆ,うふふっ、まゆも皆さんのこと、すきですよぉ。ほら幸子ちゃん、それに奏さん、いつまでもお邪魔してちゃダメですよ
奏,しょうがないわね…それじゃ、サメについてはまた今度じっくりと…ね
幸子,フフーン！それでは皆さん、ボク達のカワイイ後輩の事、よろしくお願いしますねっ！
まゆ,それでは、失礼しましたぁ
あきら,………。死んでないっ！。この事務所なんなの！？皆自由過ぎない！？
新鮮な反応だぁ…,感涙
守護らなきゃ,使命感
あきら,なにこの反応こわい…。もういいや！色々アクシデントがあって時間がおしてるから最後にこのメールを読んで終わりにするよ！。え～…ペンネーム働きたくないさんから。え～…組む相手は橘ありす、三好紗南。同じ位の年代で、それぞれゲームが好きなので話も合うので良いと思います。ユニット名はそれぞれの名前からTASとかどうでしょう…おぉ～！。良いじゃん！橘、あきら、紗南でTASね！ゲーマーアイドルのユニットとしてはかなりイケてるジャン！。自分的にはこのTASが一番ハマったね！送ってくれた人ありがとう！。それじゃあ今日はこの辺で！さようなら～！
P,おう、お疲れ～
あきら,ホントつかれた～…というか、アクシデント起こりすぎじゃない…？
P,ははは…悪い、幸子にはアマゾンロケ入れておくから
あきら,まぁ…今日は色々皆さんに助けて貰えたのでカンベンしてあげて欲しいデス
P,ん……おう
あきら,この先どうなるかわからないデスけど、皆さんと一緒なら少なくとも楽しくやれると思うデスよ。Pさん、これからもよろしくデス！
