柔道家,女を押し倒して寝技かけるの楽しいィ～！
家元,……！。速いッ！私以上のスピード！？。しかも、このスピードでありながら、決して粗雑さは感じさせない！。まるで、スローモーションを見てるような錯覚すら抱く！。こいつ……こいつ、何者なんだァ！？
青年,……
家元,お手前を……頂戴してやる。……。！！！。なんだこりゃあ……！。うまい、うますぎる……！。いや、それだけじゃない！。聞こえる……！ししおどしの音がたしかに聞こえる！。ウグイスの鳴き声まで！。いや、聞こえるだけじゃない。見える……見えるぞ！。美しくも質素で、清らかな……日本庭園！！！。こ、これは一体……！？
青年,これが――“わびさび”だ
家元,わびさび……！。まさかこの荒廃した世の中で味わえるなんて……嗚呼、涙が止まらない！
青年,今の風景を感じられたということは、あなたの“道”は完全に途絶えたわけではないようだ。どうかこれからは心を改め、厳粛で美しい茶道にまい進して欲しい
家元,は、はい……！精進いたします……！
弟子A,うぅぅ……
弟子B,いてて……
青年,貴女がたもどうぞ
弟子AB,うまいぃぃぃぃぃぃぃぃぃぃぃ！！！
家元,私の……完敗です！
青年,なら、これまでに捕えた人々を解放してもらえるな？
家元,もちろんです……！
青年,ではこの地域は、引き続き貴女が守ってくれ。俺はこの戦いで、自分がやるべきことを見出せたからな
家元,ま、待って下さい！。ぜひ……ぜひあなたのお名前をお聞かせ願いたい！
青年,俺の名は……。万利休
家元,ま、まさか……！？
青年,千利休の……末裔だ
家元,あ、あああ……！どうりで……！。なんてことだ……千利休の血を受け継ぐ者と茶道勝負をしていたとは！。ふふ……こうなるに決まってるじゃないか……！
父,家元を改心させてくれて、ありがとうございました
母,あの人も元々は優秀な茶人だったのですが、世の中が荒んだことですっかり病んでしまって……
青年,やはりそうでしたか
少女,お兄さん、ありがとー！
青年,どういたしまして。これでお茶の礼はできたかな
少女,これからお兄さんは、どうするの？
青年,千利休の子孫として、荒廃しきった日本に“わびさび”を再び伝えるつもりだ。そうすれば茶道だけじゃなく、他の“道”もよみがえり――。日本全体が生まれ変わるはずだ！
少女,お兄さんならきっとできるよ！応援してる！
青年,そういってもらえると心強いよ
少女,あたし待ってるから……お兄さんが帰ってくるのを、お茶を立てて待ってるから！
青年,ああ、必ず戻ってくる！
