本田未央,しまむー！！なんで……なんでこんな事に……！
卯月,ファーストキスはもっとロマンティックなシチュエーションを想像してたからっ！私のファーストキッスは、もう……もうっ！
奈緒,自業自得って言いたいところだけど……気持ちは分かるし……情状酌量の余地ありか？
未央,流石かみやん。乙女だね！
奈緒,茶化すなよっ！ファーストキスなんだから、みんなもだろ！？
未央,ごめんごめん
卯月,あ、でも、みんなに見守られながら、感動の再会、笑顔でキッス……こう考えたら十分ロマンティックだねっ！
凛,ん。刑を執行するね
卯月,あぁ！！ま、待って……
未央,しまむー……
凛,……
卯月,っ……ぶしっ！
未央,……地味だね
卯月,んあっ！じ、地味って……
凛,……
卯月,ぶしっ！
凛,……
卯月,ぶしっ！
未央,……ﾌﾌ
凛,……拙者は
卯月,ぶしっ！
加蓮,……ソーラン
卯月,ぶしっ！
奈緒,……あの花の舞台、ちち
卯月,ぶしっ！
未央,ﾝﾌﾌﾌ……ん？プロデューサーは？
加蓮,え？あれ？
凛,……
奈緒,いつの間にいなくなったんだ？
凛,……もしもし？今どこ？
未央,しぶりん行動早すぎっ
凛,フィッシャーマンズワーフ？。……すぐ行く
未央,カニっ！
加蓮,……
奈緒,……
卯月,ふ～ふ～…………え？
ヘレン,未央！気付くのが遅いわ！世界レベルはどんな時も油断しないものなのよ！いつも周囲にアンテナを張り巡らしときなさいっ！
モバＰ,そーだぞー
未央,はぁはぁ……また私だけに……
ヘレン,未央。あなたには特別なパッションを感じるの。ここにいる凛、奈緒、加蓮に無い……そう、私にも無い特別なパッションを！
未央,はぁはぁ……え？……え？？ヘレンさん、パッション無い……え？
ヘレン,世界レベルが持ってない素質を、世界レベルが磨いたらどうなるか……想像しただけで滾るわ！そうでしょう！？
未央,パ、パッションの権化じゃん……はぁはぁ
凛,未央。世界レベルって……何？
未央,私が聞きたいよ……。ていうか、結構ダッシュしたのになんで息が上がってないの？……はぁはぁ
凛,プロデューサーの元に行くのに、みっともない姿は見せられないよ
未央,み、みっともないだとぅ……
奈緒,うんうん
加蓮,そうそう
未央,かれんはすっかり健康ですね……
モバＰ,……それはそうと、卯月は？
トライアド・未央,あ
卯月,あ゛あ゛あ゛～！み゛ん゛な゛ひ゛と゛い゛よ゛～！！
モバＰ,よ～しよし。泣くな泣くな
未央,ご、ごめんね？カニの魔力につい……
卯月,わ゛た゛し゛は゛、か゛に゛い゛か゛～！！
未央,あぁ！そうじゃなくて！ごめんよ～
凛,流石に反省するよ……。ごめんね、卯月
加蓮,うん。反省します……ごめんなさい
奈緒,ワザとじゃないんだ……けど、ごめん！
卯月,う゛あ゛あ゛あ゛～！さ゛ひ゛し゛か゛った゛～！こ゛わ゛か゛った゛～！！
モバＰ,うんうん……外国で縛られて放置されたら、そりゃ不安になるよな。よしよし
卯月,ふ゛ろ゛て゛ゅーさ゛ーさ゛～ん゛！う゛わ゛あ゛あ゛ん゛！！
凛,……卯月。本当に悪かったと思ってるけど、抱き付くのはそろそろいいんじゃない？来年成人なんだし
奈緒,……そうだな。号泣は仕方ないとしても、縋りつくのはもういいだろ？お互い来年にはおばさんってイジられる歳なんだし
加蓮,……だね。ダミ声になるのはしょうがないけど、密着するのはどうなのかな？私達の中で一番年上なんだし
卯月,う゛あ゛あ゛！ふ゛ろ゛て゛ゅーさ゛ーさ゛ん゛！ひ゛と゛い゛こ゛と゛い゛わ゛れ゛た゛～！！
モバＰ,コラ！弱ってる卯月に言うことじゃないだろ！
トライアド,ぐぬぬ……
モバＰ,大体、二十歳でおばさんって……
卯月,………………………………ナナちゃん、まだ十七歳なんで、私も十七歳でよくないですか？
モバＰ,うおっ！急に泣き止んだな！因果律と人の認識をうやむやに出来るのはウサミン星人の特権だから、卯月には難しいな
卯月,ですか
モバＰ,……泣き止んだなら、離れない？
卯月,やです
モバＰ,ですか
トライアド,くぬぬぬぬ……
未央,……しぶりん達、負い目を感じて強く出れないみたいだね
ヘレン,場の流れを読んで、自分に有利な時はトコトン責める。卯月のあの姿勢、未央も見習いなさいっ！！
未央,……ッス
モバＰ,――――――はい。評価して頂いて大変光栄ですが、そのお話を受けることは出来ません。いえ……私は346プロの仲間達と一緒にトップを目指したいんです。……は？。……うちのアイドルはお金じゃ動きません。もちろん私もです。勘違いしてる様ですが、私と担当アイドルだけではなく、346プロの人達、みんなとの間に絆があるんです。それは絶対裏切れません。お金を否定する気はありませんが、考え方が根本的に違うので、改めてこのお話はお断りします。だから、お断りすると……。変わることはありません……失礼します。……
加蓮,……プロデューサー
モバＰ,っ！？いつの間に居たんだ！？
加蓮,……荷物纏め終わったら集合って言ってたじゃん
モバＰ,そ、そうだったな。……電話、聞こえてた？
加蓮,うん……
モバＰ,そっか……まぁ、そういう事。ヘッドハンティングされたけど断っただけ。心配すんな
加蓮,……わかった。信じるからねっ！
モバＰ,おう！俺はお金より……何よりもお前達が大事！自分よりもなっ！！
ヘレン,エクセレンっ！その言葉、濡れたわっ！！
モバＰ,うおっ！ビックリした……。みんな集まったか。しかし、ヘレンさん。その発言はいかがなものかと……
ヘレン,Ｐ！それほど粋に感じたのよ！未央も濡れてるわっ！
未央,捏造によるセクシャルハラスメントに襲われたっ！！
卯月,未央ちゃん！濡れるって何が！？
未央,またっ……！かみやんが知ってるよ！
卯月,奈緒ちゃん！？
奈緒,なんっ！……加蓮っ！！
加蓮,え？おま
未央・奈緒,言わせねぇよ！？
卯月,なんで！？
モバＰ,卯月はなんで言わせたいんだ……
凛,ねぇ……自分は大切にしてね？私だって何よりもプロデューサーが大事なんだから……
モバＰ,お、おう……。コントが行われてる横でシリアスを出されると困惑するな……
凛,……本気だからね
モバＰ,わかったわかった。……よし！そろそろ空港行くぞ。みんな忘れ物ないな？
加蓮,うん……って！なんで凛と手を繋いでんの！？
凛,ホントは腕を組みたいけど荷物があるから仕方なくだよ
モバＰ,腕組むと歩き難いもんな
奈緒,なんで普通に受け入れてるんだよ！！
モバＰ,もういいかなって
凛,え！？それって……！
モバＰ,玄関出たらすぐタクシーに乗るし
凛,……
モバＰ,蹴っちゃいやん
加蓮,……
モバＰ,そんな流れるように
奈緒,……
モバＰ,お前達まで
卯月,……
モバＰ,！？
未央,！？
ヘレン,未央！なんで流れに乗らないの！
未央,ぇ！？
トライアド,ん？
卯月,ほら！運転手さん待ってるよ！いざ帰国っ！！
トライアド,う、うん
未央,しまむーが黒い……
モバＰ,再会して以来、卯月には特に警戒してたのに……それでも隙をつかれるなんて……。プロデューサーとしてどうなんだ……
未央,私もしまむーに意表を突かれてばっかりだよ。ノリきれてないのは私の立ち位置的にどうなんだろう……
ヘレン,未央！自分の中にある常識を打ち破らないと、卯月の世界に飲まれるわよ！もっと自分のキャラクターにパッションを出していきなさいっ！！
未央,う～……わかんないよぉ……。プロデューサー……私、キャラ薄いかな？
モバＰ,いや……俺はそのままの未央が好きだよ……ていうか、そのままでいてください。お願いします……
未央,う、うん……ありがとう
ヘレン,そんな日和った考えじゃ到底世界レベルになれないわっ！！新たな一歩を踏み出してみなさい！照れを克服しないといけないわっ！
未央,じゃあ……プロデューサー。手……繋いでいい？
モバＰ,……ん
ヘレン,……まあ、今はそれでいいわ。日本に帰ったら特訓よ！！
未央,……ッス。じゃ、行こっか
モバＰ,特訓ってどんな……もう、なんでもいいや
ヘレン,中々いい合宿だったわね！
未央,遊んでばっかりだったけど……
トライアド・卯月,あぁ！手繋いでる！！抜け駆けっ！！
未央,…………おーし、さっきまで手を繋いでたしぶりんはこの際許そう！ただし、しまむー！てめぇは駄目だ！歯を食いしばれぃ！！
卯月,！？
モバＰ,おはようございます！不肖の身ながら一年間の勉学を修め、この度プロデュース業に復帰することになりました！これからまた……
千川ちひろ,プロデューサーさん！ようやく来ましたね！早速ですが、助けてっ！
モバＰ,……どうしたんですか。せめて最後まで言わせてくださいよ
ちひろ,いいから何とかして下さいっ！この二週間、アイドルの子達の……特にその二人のプレッシャーが半端ないんですよ！
モバＰ,は？どの二人……
城ヶ崎美嘉,プロデューサー……
佐久間まゆ,Ｐさん……
モバＰ,うおぅ！ヌルっと現われたな
美嘉,まずは……お帰り★ずっと会いたかったよ！
まゆ,うふふ……ＰさんＰさんＰさん
モバＰ,おう！ただいま！……まゆ、そんなニギニギされると手の感触が無くなっちゃう
まゆ,ごめんなさい。でも、Ｐさんを実感できて安心できるんですよぉ？Ｐさんもまゆを感じてくださいね？
モバＰ,……うん。そうね
美嘉,……
モバＰ,いや、対抗せんでいいから。今の俺、GLAYみたいなポーズになってるから
ちひろ,流石プロデューサーさん。瞬時によく分からない空間にしましたね
モバＰ,……よし！二人共離してくれ！帰国の挨拶周りに行ってくる！
ちひろ,あぁ！褒めたつもりだったのに！行かないでぇ！！
モバＰ,……どんだけ必死なんですか
ちひろ,毎日同じ詰問されたら誰だってこうなりますよぉ！
モバＰ,……お前ら何したの？ちひろさん、ガチで参ってるじゃん
美嘉,……NG・TPだけプロデューサーのとこに行ったのが納得いかなくて、ちょっとディスカッションを
まゆ,先輩Ｐさんは休暇でいないし、部長は最近見ないですからねぇ……。だったら、ちひろさんに質問せざるを得ないですよね？……ねぇ？
モバＰ,そ、そうだな……
ちひろ,でもちゃんと説明しましたよ！スケジュールの都合上、仕方ないって！
美嘉,そう言われても納得出来ないの！
ちひろ,プロデューサーさ～ん……
モバＰ,はいはい。……美嘉。お前がアメリカに行くなら莉嘉も一緒だろ？姉妹でありユニットでもあるんだから
美嘉,当たり前だよっ！
モバＰ,でも莉嘉はまだ中学生だ。仕事ならまだしも海外へ二週間遊びに行かせますって、親御さんいい顔せんだろ
美嘉,合宿って建前だったじゃん
モバＰ,うん。世間に向けてのな。親御さんには大切な娘を任せてもらってるんだ。嘘を吐くことは出来んよ
美嘉,ぐぬぬ……
まゆ,では、まゆはどうなんですかぁ？まゆはもう自立してますよぉ？
モバＰ,オフになるたびに、俺んとこ来てたからだろ。あれはやり過ぎだったな。それでお仕置きの意味を込めて、先輩が仕事を入れたんじゃないか
まゆ,むぅ……
モバＰ,俺も詳しくは聞いてないけど、二人にはこんな理由だと思うよ。納得出来たか？
美嘉,……うん
まゆ,……はい
モバＰ,じゃあ、この話は終わり！ちひろさんに当たるのは無しな？
美嘉,うん……ごめんね、ちひろさん
まゆ,ごめんなさい……
ちひろ,いえいえ、いいんですよ！……プロデューサーさん、ありがとうございました。惚れ直しましたよ
モバＰ,惚れ……直した？じゃあ、元々……
ちひろ,……言い間違えました。惚れました。……あれ？違う違う！見惚れました……じゃない！
モバＰ,めっちゃ惚れられてるな
ちひろ,あ！見直しましたっ！見直しましたです！！か、勘違いしちゃダメですよ！？
モバＰ,ツンデレ？
ちひろ,何を言ってるんですかっ！っっ馬鹿！！
美嘉,……普通あんな言い間違えするかな？
まゆ,あの顔の赤さも気になりますねぇ……
ちひろ,……え？美嘉ちゃん？まゆちゃん？
美嘉,ちひろさん。あっちで恋バナでもしよ？
まゆ,うふふふふふ……
ちひろ,え？え？え！？た、助けて、プロデューサーさん！
モバＰ,美嘉、まゆ。ちひろさんを困らせるんじゃ……
龍崎薫,おはよー！……あ～！！せんせぇだっ！
赤城みりあ,ホントだっ！わぁわぁ！プロデューサーだぁ！！
モバＰ,ん？おっと、二人共元気だったか？
薫,うん！えっとねえっとね！！今日ドーナツをね！
みりあ,薫ちゃん、シー！
薫,あっ！そっか！
モバＰ,なになに？私気になります！
薫,気にしちゃダメっ！
モバＰ,えー？
みりあ,いいからこっち！こっちでお話ししよっ！！
モバＰ,はいはい
ちひろ,ま、まって～……私を気にしてください～……
一ノ瀬志希,ふぁ……。おはよぉ～。そして、おやすみ～
モバＰ,事務所に初出勤の新人なのに、砕けた挨拶で速攻寝だしたよ……
キャシー・グラハム,あはは！そんな一ノ瀬志希に一言！
モバＰ,遅刻せず、よく来てくれた！……もしかして俺、志希に甘い？
クラリス,そうですね。志希さんに対してだけ寛容過ぎるきらいがありますわ。人は平等でなければなりませんよ。Ｐ様？
モバＰ,い、以後気をつけます……
キャシー,今更だけど……嫉妬って、七つの大罪の一つだよね
イヴ・サンタクロース,ですねぇ～。でも、そこはあまり触れないほうがいいかと～
キャシー,だね……
宮本フレデリカ,おはよぉぉ……う？プロデューサー発見っ！お久っ！！
モバＰ,おー！おはよう！久しぶりだな！あんまりスカイプしてくれんかったから、ホントに久しぶりだな、おい
フレデリカ,それには深い理由があってね～。パソコンの前に座るとプロデューサーラブっ子達がフライングボディアタックを……おぉ！？
モバＰ,どした？
フレデリカ,……
キャシー・クラリス・イヴ,？？？
フレデリカ,パツキン！！
モバＰ,お前もな。そっか、スカイプで話してないから知らんのか
キャシー,……ハァイ！
フレデリカ,しるぶぷれ！
イヴ,……ハロ～！
フレデリカ,こまんたれぶ！
クラリス,ぁぁ……。It'sapleasuretomeetyou.
フレデリカ,めるしーぼく！
メアリー・コクラン,ダーリーン！！
フレデリカ,ぼんじゅーる！
メアリー,ぼん？……ダーリン、この人なんで手を挙げてるノ？
モバＰ,……挨拶、なんだろう。知らんけど
フレデリカ,立派な挨拶でしょ～……って、あれ？日本語？
キャシー,あはは！こんな返しは初めてだよ！改めてよろしくね！キャシーだよ！！
イヴ,イヴ・サンタクロースといいます～。私はパツギンですねぇ～
クラリス,ふふ。クラリスと申します。フレデリカさんですよね？お噂はかねがね伺っております
メアリー,メアリーよ！そういえば、アナタ写真で見たワ！これからヨロシクネ！フレデリカ！！
フレデリカ,みんな日本語喋れるんじゃ～ん！フレちゃんの事もすでに知ってるし！もー……こちらこそヨロシクね！
モバＰ,ははは。さて、そろそろ周子も来るかな。メアリー、舞は？
メアリー,あっちで、ミリアとカオルと話してるワ！
モバＰ,そっか。まぁ、まだ取材まで時間あるし、大丈夫か
メアリー,デビュー前なのに取材……テンション上がるワ！
モバＰ,ある意味これがデビューだよな。でも、本当の意味でのデビューは、来月のステージだからな！気合い入れてけ！
メアリー,もちろんヨ！NG・TPと同じステージ……くぅ！楽しみだワ！！
モバＰ,ふふ
塩見周子,おはよーございまーす！
モバＰ,お、来たか。おはよう！よし、志希起きろー！メアリー、舞を呼んできてくれ
メアリー,わかったワ！
モバＰ,ほら、起きろ。そろそろ出るぞ
志希,ん～……志希ちゃん、まだ充電中……後十分……
モバＰ,……五分だ。それ以上は許しません
志希,ん～……
周子,……Ｐさん、志希ちゃんに甘くない？
キャシー,おっとー、本日二度目の指摘だぁ
モバＰ,……こいつフラっといなくなる時があるから心配なんだよ。だから、無意識で甘くなってるのかも
周子,無意識……
志希,それだけ志希ちゃんと一緒にいたいって事だよね～。ふわぁ
クラリス,一緒に……
モバＰ,誤解を招くような言い方を……て、起きたか
志希,キミの声で目がぱっちりしてきたよー。ということで、寝起きのクンカー
モバＰ,おわっ！
志希,きゃっ！だいた～ん！ハスハス～
モバＰ,ば、ばかっ
周子・クラリス,……
フレデリカ,おー……圧を感じるねー
キャシー,女の嫉妬って怖いよねー
イヴ,ですね～。周子さんも隠さなくなってきましたねぇ
モバＰ,そんなしみじみ言う前に助けてっ！クラリスさんが開眼する前にっ！！
志希,ハスハスハスハスっ！
モバＰ,くっ！力強ぇ！！
美嘉・まゆ,……
フレデリカ,さらに倍っ！
キャシー,あ、強そう
イヴ,絶対強いですぅ
モバＰ,なんで二人が！？ち、ちひろさん！？
ちひろ,恋バナという名の尋問が終わったので……。次はプロデューサーさんの番ですね……
モバＰ,嘘ぉ……
クラリス・まゆ,うふふふふふ
モバＰ,やべぇ……笑えない……
美嘉,……ふぅ。なんてね。プロデューサーからは、イチャついてないの分かってるから
周子,……だねー。まぁ、いつもの事だしねー。別に何もしないよ
モバＰ,て、天使っ！！
志希,ハスハスハスハス～
モバＰ,！？
美嘉,あ、無理
周子,うん、無理
クラリス・まゆ,……
モバＰ,馬鹿なぁ……。ただいま戻りました～
アイドル達,おかえりなさ～い！！。！？
フレデリカ,……………………………………………………………………………………おー
周子,……え？何……え？バズーカ？
キャシー,クラッカーと……バズーカ？
メアリー,……日本は仕事から帰ってくると、バズーカでお出迎えなノ？
志希,にゃ～はっはっは！あり得な～いっ！にゃははは～！
福山舞,ビックリした……
イヴ,ふわぁ……なんですかコレ～
クラリス,……Ｐ様？
モバＰ,……なんでしょうね
川島瑞樹,……んん゛！気を取り直して……Ｐ君、留学お疲れ様！そして新人ちゃん達、ようこそ346プロへ！歓迎するわっ！！
アイドル達,イエ～！！！
フレデリカ,……
佐藤心,奴を取り押さえろっ！！
向井拓海・村上巴・卯月,ヨッシャっ！！
フレデリカ,！？
モバＰ,……えっと、ありがとうございます。普通に嬉しいんですけど……なんか、ごめんなさい
ちひろ,このグダグダ感はリアクション取りづらいですよね……
凛,そこはもういいから、中入って。ほら皆も
キャシー,うん……ほぁ～、すごい人数だ。もしかして全員集合？
未央,先輩Ｐと部長は居ないけどね～
卯月,残念だよねっ！
メアリー,NGが目の前に！一人金髪に憑りついてるけドっ！凄いワ凄いワっ！！
未央,お？実際会うのは初めましてだね。ヨロシクね！
メアリー,ウン！ウン！！
未央,ふふっ、うい奴め。よしよし
フレデリカ,うおぉ……卯月ちゃん、重い～
卯月,そ、そんなに重くありません！プロデューサーさん、信じちゃだめですよ！？
モバＰ,……ハハっ！
卯月,なんですか、その笑いはっ！
フレデリカ,ぉぉぉ……
卯月,へぶっ！
拓海,……卯月一人で良かったな。巴、何してんだ？
巴,このバズーカ、うちにあるのとは作りが違うんじゃ。ちょっとちゃちいのぉ
拓海,……巴ん家のもバラエティグッズだよな？……な？
巴,姉御、何をゆーとんのじゃ。…………当然じゃ
拓海,うん。それでいい。巴はアイドル。ワンランク上のアウトローとは無縁の女の子
巴,うん。ちょっとヤンチャな女の子……よし！すまんの姉御。こういうとこから注意せんとメディアの前でポロッと言ってしまうけぇの
モバＰ,……お前ら大人になったなぁ。特に拓海……お前プロデュース業もやってみる？アイドルと並行して
巴,それはええのぅ！うちをバシッとプロデュースしてくれや！
拓海,アホな事言ってんじゃねぇ！お前、自分が楽したいだけだろっ！
モバＰ,ははは！冗談冗談！でも、お前らが成長してくれてて嬉しいよ
巴,……その成長とやらを具体的に聞かせてみんさい。内面だけかの？ん？
モバＰ,ばかばか、あどけない可愛さを残しながらも美人へと昇華されてる巴さんマジ天使とか、恥ずかしくて言えんよ
巴,くくく……まぁ、ええじゃろ。合格じゃ
モバＰ,あざす。たくみんなんか、綺麗なお姉さんって言葉じゃ足りんくらい美人になってるからね。さっきからトキメキが止まらんよね
拓海,っ！く、くだらねぇこと言ってんじゃねぇ！！そんな……んん～っ！！アホー！！！
モバＰ,……巴さん、やっぱたくみんはカワイッスね！
巴,久しぶりじゃけぇ、たまらんじゃろ？
モバＰ,ッス！マジ惚れそうッス！
拓海,っっ！……和久井の姉御ぉ！美優さ～ん！！Ｐがアタシをオトそうとしてくるっ！
モバＰ,んな！？
拓海,トキメキが止まらんとか、惚れそうとか！マジやべぇ！！
モバＰ,たくみん！元特攻隊長がお上にチクるのはどうかと思うんだけど！
拓海,うるせー！アタシはもう大人なんだよっ！バーカバーカ！！
モバＰ,捨て台詞が完全に子供……あぁ！凛達も反応してるっ！！うおぉ、来た来た来たぁ！！巴さん、やべぇッス！マジパネェッス！！
巴,……うちも調子乗り過ぎたけぇの。凛達は抑えといちゃる。大人はＰが何とかせぇ
モバＰ,姐さん……
和久井留美,巴ちゃんのカリスマ性は流石ってとこかしら？
モバＰ,ええ。ついて行きたくなる背中ですよね。あいつ、将来大物になるぞ～
留美,Ｐ君
モバＰ,……はい
三船美優,Ｐさん……
モバＰ,……はい
クラリス,Ｐ様
モバＰ,……はい
留美・美優・クラ,……
モバＰ,ぇ、ぇぇ……こわぁ……。あ、あのですね？拓海が言ってたのは、じゃれ合いの中での茶目っ気でありまして……他意があるわけではっ！？
留美,Ｐ君……Ｐ君Ｐ君っ！おかえりなさいっ！
美優,はぅぅ……Ｐさん……ぅぅ……Ｐさんっ！
クラリス,え！？
モバＰ,な、なん！？二人共、泣いて……
留美,……目の前にすると駄目ね。愛する人と触れ合えるのだもの。言葉にならない気持ちが溢れ出ちゃうわ……
クラリス,愛する人！？
美優,ずっと……ずっと会いたかった……Ｐさん……私の……Ｐさんっ！！
クラリス,私の！？
モバＰ,うぉぉ……二人共振り切ってる……どうすれば……
クラリス,Ｐ様！もう伴侶がいるなんて聞いてませんわ！……二人もなんてっ！！
モバＰ,伴侶が二人！？そう解釈してくるとはっ……！クラリスさん、落ち着いて！そんなシステムこの日本には無いですっ！
クラリス,そんなことはどうでもいいです！！Ｐ様はまだ独り身だと思ってたのに……。許せません！！個人的ではなくっ、あくまで個人的ではなく！！シスターとして……そう、シスターとしてっ！二人を娶るという愚かな行為を改めさせないと気が済みませんわっ！！
モバＰ,個人的っ、絶対個人的だ！！クラリスさん分かりやすい！！
クラリス,うるさいですわ、うるさいですわっ！両手に花を体現してる人には聞く耳を持ちません！！
モバＰ,誤解ですって、誤解ですって！！そもそも娶ってないどころか、清い関係でっ！！
留美,二人共なんで二回言うのかしら……仲良いわね
美優,むぅ……
クラリス,っ！！説得力皆無ですっ！
モバＰ,で、ですよね。留美さん、美優さん。離してもらえますか？このままだと誤解が解けないんで……
留美,……酷いわ。口づけした仲なのに誤解なんて
美優,そうです……。あんなに激しいキスしたのに……
モバＰ,ちょお！？
クラリス,Ｐ様ぁ！！
モバＰ,……聞こえてたか
留美,……ちょっとはっちゃけ過ぎたわね。介抱と……まぁ、軽い言い訳をしてくるから、Ｐ君はまだ話してない子の所に行ってあげて。ほら、美優。あの二人は私だけじゃ無理だから手伝って
美優,ぁぅ……凛ちゃんとまゆちゃんも聞いてたんですね……
クラリス,……私も介抱してきます。Ｐ様、後程たっぷりとお話しを聞かせてもらいます
モバＰ,は、はは……はぁ……
結城晴,オイコラ、そこの節操なし
モバＰ,ひでぇ……。よお、はるちん。暫く見んうちに可愛さに磨きがかかって……というより美人になったなぁ。またドレス着てくれない？
晴,……クリスマスの事は忘れろ。ドレスを着た事実なんてなかった……いいな？
モバＰ,それは無理だ。ケイタイの待ち受け画像にしてるから、ドレスを着た事実はある……いいな？
晴,んなっ！？どっから画像をっ！ケイタイ貸せ！消してやるっ！
モバＰ,うぉ！素早すぎるぞ！
晴,うるせー……って、この待ち受け、ブサイクな卯月じゃねぇかっ！！。……くそっ！なんか腹立つな！んだよ、つまんねぇ嘘吐きやがって……
モバＰ,いやいや、スマホのほうだって。ほら
晴,な……なんで二台持ってんだよ！社会人ぶんじゃねぇ！バーカ！！
モバＰ,おーい、一応社会人だぞぉ。……画像消せって言わなかったな
高垣楓,複雑な乙女心ですねぇ
姫川友紀,いじらしいよね！そしてプロデューサーは口リコンだねっ！！
心,待って！……ショタの可能性も否定できないのでは……？
モバＰ,……楓さん、お久しぶりです。良かったらあっちのほうで話しましょう
友紀,ごめん、ごめんって！無視は傷つくからぁ！
心,そうだぞ☆乙女のかわいい冗談を、本気にとらえんなっ☆
