・,アイドルマスターシンデレラガールズ
乃々,前に誰かが事務所でお話ししているのを、机の下で聞いたんです……。美穂さんは、くまさんのぬいぐるみに名前をつけて、可愛がっていると……
美穂,はぅっ！
乃々,夜はその子を抱っこして、一緒に寝ているとか……
美穂,ひぅっ！へ、へぇー！よく知ってるねっ
乃々,はい……もりくぼ的には、いいと思います。そういうの……。もりくぼも、この間美玲ちゃんにぬいぐるみをプレゼントしてもらったので……名前をつけてあげようかな、なんて……
美穂,あ、あはは……うん、いいと思うな！うんっ
乃々,……ちなみに、美穂さんはなんて名前をつけているのか、教えてもらっても……？
美穂,だっ、ダメぇ！！
美玲,今回も、なんというか、なかなか濃いトークだったな……
まゆ,それでは、乃々ちゃん本人に感想を聞いてみましょう。乃々ちゃーん？
乃々,……どうも、もりくぼです……。そもそも、もりくぼなんかのお話を放送して、一体誰が得するんですか……？
美玲,そりゃ、ノノのファンじゃないか？
まゆ,ファンの皆さんですよねぇ
乃々,うぅ……もりくぼのファンになるなんて、オススメはしないんですけど……
まゆ,あ、早速使ってますね
美玲,あっ！ていうかノノ！あのぬいぐるみには、ちゃんとデビキャって名前があるんだからなッ！？
乃々,そ、そうですよね。もりくぼなんかが新しく命名するなんて、ダメですよね……。ちなみにあの後、穂乃香さんからぴにゃこら太のぬいぐるみを貰ってしまいました……
美玲,あー、そういえば前にウチも貰ったな……。あの緑のブサイク
まゆ,あら、お揃いですね。いいなぁ
美玲,じゃあ今度はマユの分をゲットしに、三人でゲーセンにでも行こう！
まゆ,いいんですか？楽しみですっ
美玲,よし！オフの予定が決まったところで、今回はここまでッ！次もよろしくッ！
乃々,次回からはもりくぼの代わりに、ここにぬいぐるみを置いておきますので……
まゆ,もう、ダメですよ、乃々ちゃん
