※うちにいない子,春風親潮野分に風雲海風葛城とかその他10人くらい？
提督,ボトックス。ヒアルロン酸。注射…しないと爆発する系？
陸奥,爆発まではしないわよそれよりなぜわかった
提督,いや、よく食べよく寝て運動し、酒飲まない姉とよく飲み徹夜もありの妹なにもしてないのに肌の張りが同じなわけ
陸奥,口を滑らせちゃやーよ？
ゴーヤ,今日の収穫はカキが４０キロホタテが１５キロほやが１０キロあわびが少々。ふひひこれだからオリョクルはやめられないでち！。じゃドラム缶につめて鳳翔さんのところに売りにいくでち！
提督,そこまでだ！！
ゴーヤ,提督！
提督,知らなかったよ私がいつも食べている貝類がオリョール海産だったとはね。ちなみに卸値はいくら？
ゴーヤ,カキならキロ５００円くらい
提督,おいおいおい、店で食うと８つくらいしか乗ってないの１５００円とるぞ！
ゴーヤ,でち！？
提督,よし。勤務中の漁は不問にしようまた不当に安い仕入価格も是正を提督権限で呼びかけよう。だから…・・わかるな？
ゴーヤ,ていとく～そちも悪よのぉ
阿武隈,阿武隈の名前漢字で書けます？あたしが貸せるお金は５０万円が限界。間違って行くたびに１０万円づつ減らしますからね！
提督,…阿武熊？。……危熊。………羽生球磨。…………泡魔。……………abookmark!!
阿武隈,ひどいとかいう次元を通り越してる
↓次の子とその子に借りたい金額,コンマ
青葉,ほぉ４１万円も貸してほしいと。残念ですねぇ青葉、金を貸すくらいならあげろそれが相手のためと考えているんです。それに取材対象と金銭のやりとりはできません
衣笠,ねぇ青葉。青葉カメラ買うとき私から５０万円借りてるよね…。あと、勝手に寝顔新聞に載せられたし…
青葉,女は９割方、損しないためなら平気で嘘をつく生き物です。
提督,ひでぇ
衣笠,んもぉマジＭＭMK5だよ
青葉,……？
提督,……何の作戦名？
衣笠,えっ？今そんなふうに言わないの？
青葉,しかも提督のことかなり好き。きっとたんまり貸してくれますよ～。酒匂さんは提督のこと大好きですし、キスでも一発かましてメロメロにすればいくらでも貢ぎますよぉ
提督,って言ってたけど…。酒匂って貧乏そう…胸も軽巡だし…戦果ないから歩合給もらってなさそう…。秋月よりひどいものを感じるぜ
酒匂,あっ司令だえへへ。お暇？
提督,うわぁとことこ駆け寄ってきてすっごい笑顔。暇だよ酒匂も暇ならちょっとお話でもしようか
酒匂,ぴゃん！やったあ！酒匂にかまってくれてうれしいよ。えっとね！えっとね！今日は軽巡のみんなで演習したの！。酒匂すぐやられちゃったやっぱし改二のある人は強いね！
提督,よしよし酒匂もいつかきっと……なれるといいな
酒匂,ぴゃーうぅー気持ちいい～もっと撫でて撫でて
提督,はいはい。軽巡の皆とはうまくやれているか？
酒匂,最初は知らない人ばっかりで、お姉ちゃんとかいう人も知らなかったし。でも今は仲良し！。那珂ちゃんとか鬼怒さん長良さんとかは気が合うよ！天龍型はちょっとこわーい。それでねそれでね
提督,三時間も話してしまったけどこれどうやって切り出せば
酒匂,あっそろそろご飯の時間だね。じゃこれ
提督,百…万円？。酒匂はそう言うと唇を突き出してきて、真赤な顔で立ち去って行った。最初に浮かんだ感情が百万円手に入って嬉しい。だった自分のことは嫌い。はぁ目標金額までにはあと半分か。てっきり５００万くらいすぐかと思ったけど
龍驤,お兄さんお困りどすか？。ワシが金用だててもよろしゅうまっせぇ？
提督,…ホンマでっか！
龍驤,十日で一割や、よろしおまんな返せなかった時には……あんさんの指揮命令権担保にもらうでぇ
提督,し、指揮権！？そな殺生な
龍驤,無理にとはいゅうとりませんがねぇ
提督,…背に腹は変えられんかおし！ワイも男や腹くくった！
龍驤,ほぉ～男らしいなぁほれ、持ってけや
提督,ありがとう！何県民だかわからない駆逐艦さん！
龍驤,横浜生まれの横須賀育ち三浦半島民や三崎のマグロ食べてってぇな！
提督,土下座
木曾,ふっ、俺とお前の仲じゃないか
提督,土下座
木曾,顔を上げなよ。で、いくらだ？
提督,……クマちゃんかぁ
木曾,クマ？九○。90万か？いやーちょっとそれは多くねぇか？。偉そうなこと言ったが俺はあんまし宵越しの金を持つほうじゃなくてだな
提督,なんで男らしい風なのに木曾だけスカートなんだろうな
木曾,えーと。その。なんだ。まぁ１０万くらいで我慢してくれや。わりぃな。頼りがいがなくて
提督,確かにこれじゃ脱がしがいがないな…
千代田,ダメ男！！ダメ男だよ千歳おねぇ！！。女から金借りる男はヒモ翌要素があるんだ！。なんてことになって哀れな千歳おねぇはその豊満なボディを売りダメ男を養うことに。そしたら私常連に……じゃなくて駄目ぇ！
提督,うん。妄想たくましいな。まぁ千代田が貸してくれるとは思ってないよ。ところで千歳さん。貸してっていうか返して。飲み代建て替えた分１４，５回分７万くらい
千歳,えぇー、ライザップに通うお金払ったばっかりで手持ちはあまり。千代田。悪いけどまた貸してくれない？これが最後本当に最後だから
千代田,うん。千歳おねぇの頼みなら！
提督,あまりにも声がでかいので壁をドーンと叩いてみることにした。そういえばこないだ壁に画びょう差したら悲鳴が聞こえてきたっけ
大井,ぎょ、魚雷……２０…いや、３０発…ううん。５０発
提督,いいか話せばわかる。このような壁ということは私の声もそちらに聞こえていた…そうだな？
大井,はいお金がないお金がないあの馬があの馬がと。……裏切ったら包丁沙汰ですよ
提督,私は金で転ぶ男すべては見ていないし壁はこちらの負担で今日中に修理しておこう
曙,ねぇクソ提督ちょっといい？
提督,げさすがにこいつからは借りる気がなかったが…バレたか
曙,皆噂してるわよ。あんたが金に困ってるって。まぁあたしには関係ないことだけどさ。七駆のみんなってほらお金貸しちゃいそうな奴複数いるじゃない。だから…あーもうさっさと受け取んなさいよ！！。ただの駆逐艦だし給料一番下だしこれが限界なんだからね！。あと貸すだけだからあげるわけじゃないからちゃんと返しにこないと許さないわ！。ホントなんであたしがこんなこと冗談じゃない
提督,マネーマネーマネープリーズ
ゴーヤ,>>27でもう貸したでち！。いや、貸さんよ
↓貸してくれる子,ごめん。当時未着任なのでプリンツ未ドロ
間宮,いらっしゃいませー
提督,いや、今日は客で来たんじゃないんだ
間宮,あら。お話にでも来てくれたのかしら？
提督,そうお話間宮さん。君の料理は絶品だ。素晴らしい
間宮,そ、そうですか？嬉しいですが
提督,チェーン展開ということを考えても見てもいい味だと思うんだけどな
間宮,チェーン？
提督,そうだ私のコネで各鎮守府に間宮を開店する。収益はすべて君のもの。170万円ほど預けてもらえばお断りします
間宮,別にお金を惜しむわけじゃありませんよ。170万なんて赤城さんが3か月もすれば売り上げてくれますし。ただ、私は直接お客さんと触れ合える。そういう環境を大切にしたいんです。だからチェーン化はお受けできません
提督,そうか…
間宮,あと提督はツケを払ってください
秋津洲,だから二式大艇ちゃんはあげないからね！。えっ？借りるだけ？装備から外すだけ？後できっと帰ってくる？。それならまぁ…いいかもそうだよね！あたし専用の大艇ちゃんだもん。五十鈴さんの電探とかうるさい人の夜偵みたいに取り上げられっぱなしなんてありえないかも！。提督疑っちゃってごめんね！はい、どーぞ♪
雷,司令官私、言ったねもーっと私に頼っていいのよって。あれから3年も経つんだね長いようで短かったね。あなたはＭＶＰを取っても気が付いてくれない。髪型を変えても、改装しても気が付いてくれない。暁とか響が出撃する中、私は鼠輸送ばっかり。どんどん来る新しい子にまぎれてひと山いくらの扱い。でも私が言ったんだもんね私に頼ってくれていいのよって。だけど……あんまりよあんまりだわ！！。ごめん私おかしいよね今日のところは…帰って
夕雲,夕雲は…。夕雲は提督のお言葉なら…。その。お金を貸したなんて言ったら長波さんかは怒りそうね。内緒よ
提督,キター。雷に比べて頼られ疲れてなーい！。よしこれからは夕雲にもっと頼ろう
夕雲,じゃ２０万円くらいでいい？
提督,はーい
夕雲,じゃ約束。ゆーびーきーりーげーんまーん。返さなかったら61cm魚雷千本のーます♪。うふふ♪
提督,あこれ雷と違って甘えすぎるとあかんやつだ
浦風,んもぉー借金して回っちょるって評判じゃよ。提督さんちゅーもんがそれじゃいかん。心配いらんようちに任しとき！
提督,浦風…
浦風,だいたいなぁ提督さんちゅーことは公務員じゃろ？いたしいことないきに。じゃ個人信用情報機関に照会…っと
提督,なんですかそれは
浦風,おどりゃあどがぁなつもりなん！
提督,頼む。それでも貸してくれ！
浦風,のけやテメェの部下の前で土下座すンじゃねェッ！！
天津風,って言われても……。百歩譲って連装砲ちゃんなら身代金に協力してあげても。べ、別に島風が友達だからじゃないんだからね！連装砲くんのためなんだからね！！。ていうかなんで私に身代金を？
提督,いや、誘拐した後で秋月型から身代金とるなんてエゲツナイまね自分にはできないと後悔してな。でもせっかく誘拐したんだし…と。これガチャガチャ動いてかわいくね？
天津風,……昼ごはん代くらいなら貸してあげてもいいけど？
提督,せめてもうちょっと…ってなに財布に４千円しか入ってないじゃん。貧しいな
天津風,普通でしょ？
提督,いよっその素敵な独特すぎるシルエット！素敵だねぇ金貸して～
山城,上司が金貸せと迫ってくる……不幸…っていうかブラックだわ…
扶桑,はぁ。……空はあんなに白いのにどうして職場はブラック…
提督,うん単に今日が曇りなだけだよねっていうか君ら給料いくらよ
扶桑,'航空’戦艦だから戦艦の基本給月６０万に航空手当６万
山城,だいたいドックにいるから残業代も歩合給も機会がなくて…月６６万固定はぁ不幸
提督,よしそこ並べ
↓２,何でもするから貸して
提督,ほーら今回のイベントでドロップした嵐だよ～
嵐,おう、陽炎姉！会えて嬉しいぜ！
陽炎,やっと会えた！わーい♪私の妹がこんなにイケメンなわけがあった～♪
提督,同じく今回掘った磯風だよ～
磯風,ふっ。貴方が姉か。どれ、出会いを祝して一緒に食事など
陽炎,ええ…一から手取り足とり教えてあげるお礼なんていいの。自分のため。リスクを減らすためだから
提督,ははは陽炎はいいお姉ちゃんだなぁ
陽炎,で、あと初風は？
提督,最近のイベで出てくる箇所あったっけ…？
陽炎,野分は？
提督,いや、あの4-5のみドロップってちょっと
陽炎,で、なんで親潮を掘らなかったの？なんでよ？
提督,あんなもん掘りに挑む気にすらならんわ！
熊野,ふぅお金…ね１本程度なら用意してあげてもよろしくてよ
提督,ぜひとも！！熊野大明神様！
熊野,では少々お待ちなさい。うーんしょ。と１０キロくらいありますのでお気をつけあそばせ？
提督,１０…キロ？。――――――。わわわわわたし程度には恐れ多いこんこんこんなこんなの
熊野,先ほど違いますわね？
提督,一本が一億だなんで誰誰誰がおもおもおもう百万一本とかスケールが違うと思って驚いたのにその上
熊野,普段打ってる魚雷一本そんなもの今さら驚くとはおかしな方ですわねではお望み通り
提督,金剛……ふひひ。まぁ絶好のカモってとこか。おはよう金剛今日も…美しいな
金剛,HEY、提督ぅー！私、恋人にmoney貸すのは否定しないヨー！
提督,おお話がわかる！二十万万。二十万でいいから。こ、金剛さん？
翔鶴,あんなに見てはいけないと言ったのに！！
提督,堪忍してけろまさかおめぇが…そんな
翔鶴,見られてしまったのでは仕方ありません。もうこれでおしまいです
提督,まっでくれぇおらもうみねぇから
翔鶴,いいえこれが最後おわかれです…
瑞鶴,……提督さん瑞鶴姉その……何してんの？
翔鶴,あ、いやその
提督,翔鶴にまた金借りようと思って部屋開けたら内職してたのを見てしまって
翔鶴,ううう私って人に借金頼まれやすくて
摩耶,お前…本気でぶっ殺されてぇか…
提督,まてまだなにも言ってない。普段の優しいお前になってくれ怖がる仲間を後ろに隠れさせるような。今の君は…怖いよ
摩耶,てめぇみたいな奴を背後に立たせるほうが怖いわ！！。お前その……なに？ストレス？明石さん呼ぶ？
提督,そういうわけではなくて。ちょっと待って今借用書とペンを出すから…。ここにサインを
摩耶,あ…………ぁ…………
提督,まだなにも言ってないのに…
憲兵,どうでもいいけど最初から通して土下座しすぎじゃね？
提督,自分もそう思う
憲兵,哀れだから貸してやるよ。自分、月のこづかい３万だからあんま貸せないけど
提督,こづかい制…憲兵さん結婚されてるんですか？
憲兵,ああ、娘が２人いるいいもんだよ。子供って
提督,うらやましいっス僕、女に囲まれてると逆に結婚願望失いかけてたけどなんかそういう普通の話聞くと。……５万って言おうと思ったけど七千円でいいです。あと、今度飲みに行きましょ
利根,びえーんびえーん・°°・(＞_＜)・°°・
筑摩,もぉ、利根姉さんったら子供みたいにどうしたんですか？
利根,びえええ！てーとくがてーとくがな
筑摩,はいはい。んもー。ごめんさいね。利根姉さんがご迷惑をかけて
利根,スカートの中で土下座したのじゃ
筑摩,――――――あん？
提督,もうあかんのです金がないのは足がないのと同じじゃこのままだと家族と家族と心中せんといかん
長門,そんな話は初耳なのだが私はお前の家族ではなかったのか？。確かにお前が加賀や榛名やあとなぜか祥鳳と古鷹とケッコンしていることは知っている！。秋雲とケッコンしようとレベリングしていることも。どうして今まで言ってくれなかった。大切な局面では常に旗艦を務める私がそんなに信用できないのか！
提督,いや、その
長門,連合艦隊旗艦を務めた栄光に比べれば微々たるものだが基本給に歩合足すと、私の給与は月額１００万程度だ。どうして…どうして相談してくれなかった
提督,…ははは冗談冗談冗談だって
長門,なに？
提督,夫が妻に金をねだるそんなことをするわけ…ないだろう？
長門,ああ。なんだそうかほっとしたぞ！まったくもぉ。今月のこづかいは５万のとこ減額だ！
提督,金・・・・・・貸して
秋雲,……こんなんじゃ漫画の展開として使えないよぉ
提督,土下座
秋雲,ねぇ金借りるとこから恋が始まる漫画読んだことあるぅ？
提督,おっしゃる通りです
秋雲,アシスタントの妖精さんたちも呆れてものが言えないってよ
提督,はい反論の余地もございません
秋雲,もぉ提督は布団入ッて来ちゃダメ！あーあ。これはコミケ越えできないパターンかなぁ
提督,ひぃええ締切前は声かけないからお許しをお許しを土下座。提督３０分で５万！３０分で５万！
如月,司令…官…？
提督,３０分で５万！３０分で５万！３０分で５万！で体を売って私に金を貸してくれ！ってなに言ってんだおい意味わからない！！。駆逐艦の好意を３０分で５万で売らせるなんて最低だ！。すまん。なんでこんなことを口走ってしまったのか…
如月,司令官。その３０分で５万円で…いいの？
提督,は？
如月,酒匂さんなんて３時間で１００万だったのに。んふっ。如月は特別ってことぉ？はい５・ま・ん・え・ん
提督,なにっ？やめ、やめてぇああ。艦娘の腕力。すごぉい……
日向,あ…君…瑞雲とか…どうかな？
提督,なにが…どうかな？…なん…です…か？
日向,３０分で…５万
提督,なにそれ…なにが…そう…どうかな・・・
日向,…まあ、そうなるな
提督,あああああああああああああああああああああああああああああああああ
日向,こう…なんていうか…ドライブタイガーツインシュート…って感じだったな
提督,なんで…右側ばっかりに…引っ張ったんですか…？
日向,伊勢がいれば今頃航空戦艦の真の力を思い知っていたろうな
提督,なんかよくわかんなくなってきた。ターゲット比叡推定有効手段土下座っ！。金貸してくださーいスライディング土下座
比叡,ひえ～っ！？あ、はいぃ
提督,ハプニングに弱っ
比叡,でも私お姉さま方にくらべてお給料低いのでそんなにはお貸しできません
提督,？
比叡,史実だと条約の関係で艦籍は練習戦艦？なので…艦籍で給料決まるので…。それでも飲み会や電車は戦艦料金とられるんですｸﾞｽﾝ
提督,戦艦…料金…？
比叡,この業界戦艦と重巡が飲んだら戦艦が全部払う本来なら。練習戦艦のお給料軽巡と同じなのに…でも体育会の流儀だし…
提督,…３０分で５万って言おうと思ったけど４万でいいよ
吹雪,しばふ村の駆逐艦は手取り22万で村に17万円仕送りしているのでお金をお貸しするのはちょっと…
白雪,ご迷惑をおかけしますが…
初雪,さすがに…無理かも
深雪,まーなんていうかねー駄目なもんは駄目っしょ
磯波,ごめんなさい…
綾波,まーそういうことなので諦めてくださ～い
敷波,ごめんね
叢雲,…………
提督,おや、叢雲ちゃーん？落ち着きないでちゅねーどうしましたかー？
叢雲,べ、別になんでもないわよ！
提督,いやーしばふ村の駆逐艦の話。素敵だねぇで、彩樹艦隊は故郷に仕送りは？
叢雲,アンタに関係ないでしょ
提督,関係ないよでも気になっただけで…ねぇ笑顔。ようやく…500万…溜まったぜ
大淀,借りただけでは？ところで結局なんの借金だったのですか？。本命お馬対抗麻雀大穴憲兵というところでしょうか
提督,なぜ男まぁいいや、見せるから艦娘みんなを中庭に集めてくれ
大淀,はぁ
秋月,緊急招集とはなんでしょうか？
青葉,青葉も知りませんねー
陸奥,あっ提督が出てきたわね
提督,集まってくれてありがとうその…なんだ。皆に見せたいものがあってな。2か月前から工事をしていたんだがこれだ
金剛,石碑？これは慰霊碑デスカー？
提督,そうだ戦において死者の霊を慰めるこれは当然のことだろう？
青葉,借金の原因は慰霊碑建立費用でしたかー軍費として正規請求できなかったんですか？
提督,ただの慰霊碑ならできた
青葉,だったらなんで
提督,これは轟沈した仲間そして撃破した深海棲艦の魂を慰めるための慰霊碑なんだ
長門,敵…をか？
提督,敵とはいえ彼女達も意思を持った生き物誰かが供養してやる必要があるだろうが違うか？
熊野,……貸したお金は返さないでいいですわ
雷,当然よ！みんなもそれでいいでしょ
酒匂,酒匂、こんな素敵なことに協力できて嬉しい！
提督,お前ら…お前らっ
大淀,この慰霊碑右下に妖精さんのサインが彫ってありますが
提督,！？
大淀,妖精さん製じゃないですよねそしたら材料費だけで１５０万ってところですもんね。ね？
提督,え、あの。そのなんだ350万に関しては話せばわか
