モバＰ,以降Ｐ表記ぃ？わかるぅ
Ｐ,ゆずぅっ
柚,よしよし良い調子。更に早く！
Ｐ,金柑
柚,あーっ惜しい！
Ｐ,やっぱクスリが切れるのを待つしか無いのかな
柚,ぐさぁーっ
Ｐ,おふっ
柚,どうどう？Ｐさんアタシのこと呼んでみて？
Ｐ,ごふっ…い、いきなり何すんじゃいグレープフルーツ…
柚,ダメかぁ。ってかとうとうグレープフルーツ！？
Ｐ,あの…どうして俺は今脇腹を突かれたのでしょうか？
柚,えっとね、肝臓を刺激して活性化させると体内の毒素を早く分解させられるよって
Ｐ,常人には無理だよ。どこの島村だよそんな事教えたの
柚,えっ？ゆかりちゃんから聞いたんだけど
Ｐ,ネタ元と内容に少しは疑問を持ちなさい
柚,あ、スタドリ飲んだら治るんじゃないかな？
Ｐ,化学反応起こして悪化するオチしか見えない。ジタバタしても仕方ない。自然治癒を待つか原因コンビが処方箋持ってくるのを祈るしかないだろ
柚,なんでそんなに落ち着いていられるのさー。Ｐさんはアタシのこと呼べなくてもいいの？
Ｐ,そうは言って無いだろグレープフルーツ
柚,語呂悪っ！
Ｐ,ちなみにグレープフルーツって１つの枝にブドウの房のように実をつけるからグレープフルーツって呼ばれるようになったんだぞ
柚,唐突な柑橘トリビア
Ｐ,ここはポジティブに考えよう。こんな事になったのがアイドルじゃなくて俺だったのが不幸中の幸いだと
柚,結果的にアイドルに支障が出てるよー
Ｐ,支障？
柚,さみしい
Ｐ,不知火…
柚,やっぱりＰさんにはいつもみたいに柚って呼んで欲しいなぁ…
Ｐ,日向夏…
柚,最初は別に気にならないと思ったんだけどね？でも実際Ｐさんに喜多見って呼ばれた時凄くさみしくなっちゃってさ…
Ｐ,晩白柚…
柚,って柚ちゃんの貴重なしんみりシーンも台無しだよ！
Ｐ,ライム…
柚,治れー！今すぐ治れー！
Ｐ,痛い痛いっ。叩いて治るとか昭和の家電じゃないんだからさ
柚,はいアタシの名前！
Ｐ,きんかん
柚,なおれぇー！
Ｐ,助けてよしのん！
柚,Ｐさーん
Ｐ,あいよ
柚,アタシの名前ー
Ｐ,だいだい
柚,むーっ
Ｐ,背中に張り付かないで欲しいんだけど
柚,アタシのなまえー
Ｐ,シークワーサー
柚,むぅーっ！
Ｐ,頭の上に顎乗せないでほしいんだけど
柚,なーまーえー
Ｐ,オレンジアームズ
柚,うぅーっ！
Ｐ,寄りかからないで欲しいんだけど
アッキー,書類作業なら俺がやろう。お前はアイドルのケアをするといい
Ｐ,紳士的な気遣いありがとうなマッキー
アッキー,それは、油性ペンの、名前だ
Ｐ,ほら、ヒッキーがこう言ってくれてるから向こうで遊ぼうネーブルオレンジ
柚,ゆーずーだーよー！
Ｐ,ぶら下がらないでほしいんだけど
アッキー,俺もアイドル枠なのか
優,アッキーそろそろ会議の時間だよー
Ｐ,アッシー、ラッキー、チェイス、タッキー…あかんマスコット枠にまで影響出とる
柚,あれ、今変なの混じってなかった？
Ｐ,ミッ
柚,それ以上はいけない
Ｐ,ハハッ？裏声
柚,Ｐさん消されちゃうよ！？
Ｐ,浦安のテーマパークのネズミさんてそんな武闘派だっけ。黄色い電気ネズミじゃあるまいし
柚,国際的ネズミと国民的ネズミを同時に敵に回すのやめよう！事務所消されちゃう
Ｐ,ハハッ、温州みかんは心配性だなぁ
柚,せめて呼び方統一してほしいなぁ
Ｐ,無茶言うなよ、俺だって好きで言ってる訳じゃないんだからさ
柚,ホントに～？Ｐさんの事だから実はとっくに治っててワザとやってるってオチじゃないの～？
Ｐ,・そんな事無いよ
柚,今０．５秒の間があったよね。何かな？その間は何カナ？
Ｐ,近い近い。年頃の娘さんがオッサンに顔近づけるな県民性感染するぞ
柚,同郷だよ
Ｐ,そう言えばそうだっけ。いやぁウチの事務所の埼玉出身ってギャルとギャルとカリスマとギャルだもんなぁ
柚,最初はてっきりＰさんの趣味かと思ったよ
Ｐ,ただの偶然だよ！
柚,あははっ。またみんなでサイボクハムとかツアーやろうね
Ｐ,そうだな
柚,あ、Ｐさんアタシの名前は？
Ｐ,マーマレード
柚,とうとう加工されちゃった！？
Ｐ,お腹空いてきたな…夕飯前だけど何か軽く腹に入れておくか
柚,なにか個性的かつ可愛いお腹の音が聞こえた…
Ｐ,いつもみんな好き勝手に食べ物持ってくるから食べ物には困らないよな、ウチの事務所。…おっ食パン発見
柚,そう言えばアタシもお腹空いた～。ＰさんＰさん、アタシたっぷりハチミツのハニトーがいいなー♪
Ｐ,んー、ハチミツ無いからハニトーじゃなくてトーでいい？
柚,せめてバターかジャム欲しいよー！
Ｐ,はいはい。えーっとジャム、ジャム…誰だ冷蔵庫にフルボトル入れてんの。お、あったあった。柚子ジャムがあったぞー
柚,わーい♪
Ｐ,じゃあパン焼くぞー
柚,お皿持ってくるねー
Ｐ,お茶はどうすっかな。確か戸棚に狭山茶が…おーいこずえ退いてお茶取れない
こずえ,ごめんねぇ～…
柚,お皿並べたよー
Ｐ,こっちもすぐ出来るから先に柚子ジャム持ってってくれオレンジ
柚,柚だってばさー！。…あれ？
Ｐ,パンの焼ける匂いって無敵だよなぁ…紛争地帯にバラ撒いたら終戦するんじゃね？
柚,ねぇねぇＰさん？
Ｐ,何さ
柚,アタシの名前は？
Ｐ,マンダリン
柚,じゃあこれは何のジャム？
Ｐ,柚子
柚,アタシは？
Ｐ,せとか
柚,これは？
Ｐ,柚子。……あれ？
柚,もーっ！！柚子は柚子ってちゃんと言えるのにどうして柚のことは柚って言えないのーっ！
Ｐ,だから俺に言われても！
柚,アタシだって柚なんだから柚子を柚子って言えるみたいに柚の事も柚って呼んでよー！
Ｐ,柚子がゲシュタルト崩壊しそうなんだけど
柚,はいアタシの名前っ！
Ｐ,喜多見みかん！
柚,新種みたいだよそれじゃあ！
Ｐ,喜多見、喜多見………ゆ、かぼす！
柚,頑張ってくれたけどかぼすに逆戻りだよ！
Ｐ,パッツン！
柚,それだと岡崎センパイと被るってば！
Ｐ,冷凍みかん！
柚,なんで時々手を加えられてるの！？
Ｐ,橘！
柚,ありすです。ってコレあの子の持ちネタだし！
Ｐ,ありす！
柚,本人に言ってあげなよ！
Ｐ,この長い長い下り坂を君を自転車の後ろに乗せて
柚,ゆずだよ！
Ｐ,かぼす！
柚,かぼすがベースなの？かぼす起点なの！？
Ｐ,柚っ！
柚,かぼすだよ！。って違う違う柚だよ合ってるよよ柚だよ！。もーっ！！柚子は柚子ってちゃんと言えるのにどうして柚のことは柚って言えないのーっ！
Ｐ,だから俺に言われても！
柚,アタシだって柚なんだから柚子を柚子って言えるみたいに柚の事も柚って呼んでよー！
Ｐ,柚子がゲシュタルト崩壊しそうなんだけど
柚,はいアタシの名前っ！
Ｐ,喜多見みかん！
柚,新種みたいだよそれじゃあ！
Ｐ,喜多見、喜多見………ゆ、かぼす！
柚,頑張ってくれたけどかぼすに逆戻りだよ！
Ｐ,パッツン！
柚,それだと岡崎センパイと被るってば！
Ｐ,冷凍みかん！
柚,なんで時々手を加えられてるの！？
Ｐ,橘！
柚,ありすです。ってコレあの子の持ちネタだし！
Ｐ,ありす！
柚,本人に言ってあげなよ！
Ｐ,この長い長い下り坂を君を自転車の後ろに乗せて
柚,ゆずだよ！
Ｐ,かぼす！
柚,かぼすがベースなの？かぼす起点なの！？
Ｐ,柚っ！
柚,かぼすだよ！。って違う違う柚だよ合ってるよ柚だよ！
Ｐ,ようやくクスリが切れたみたいだな…今日中に戻って良かったわ
柚,ＰさんＰさんっ！アタシの名前は？アタシの名前っ！
Ｐ,喜多見さん家の柚さんですな
柚,もう１回っもう１回！
Ｐ,フリスクのパッツン担当の柚
柚,アンコール！アンコール！
Ｐ,かぼす
柚,ぐさぁーっ！
Ｐ,ピニャ！
柚,まったくもう！まったくもう！Ｐさんのイジワル！サディスト！東武東上線！
Ｐ,ゴフッ…何で編み棒持参してんの…
柚,いつぴにゃに遭遇しても大丈夫なようにだよ
Ｐ,どこかのお空の世界じゃないんだからさ…肋骨の隙間は痛いよ
柚,Ｐさん
Ｐ,うん？
柚,名前、もっと呼んで？
Ｐ,柚
柚,うんっ。えへへ。ねぇねぇ、もっともっと♪
Ｐ,柚
柚,えへへー♪もっと呼んで？ねぇねぇ
Ｐ,かぼす
柚,ぐさぁーっ！
Ｐ,ぴにゃああ！！。はいもう一度
志希,ふぉうふぃふぉふぉふぉふぁひふぁふぉふぉふぉふひゅひぃふぁふぇんっ
Ｐ,うん、何言ってるのかわかんねぇや
志希,あぅ～…キミねぇオトメの頬っぺたをよくもまぁお餅のようにムニムニと～
Ｐ,よし次晶葉な
晶葉,ま、待て助手もう二度とおかしなものをつくひぃふぁふぁふぁふぁっ！
Ｐ,よし、お仕置き終わりっ
晶葉,うぅ…表情筋がほぐされた…
Ｐ,２人とも、これに懲りたらヘンテコ発明は控えるんだぞ。いいな？
志希,はーい。やらないとは言ってないからね～♪
晶葉,善処しよう。やらないとは言ってないからな
Ｐ,不穏な気配を察したのでもうちょいムニるな
志希,あひぁふぁふぁふぁ！
晶葉,ひゃひぇひぇひぇ！
Ｐ,お前らだね、もう少しだね自重というものをだね
志希,あたし達が自重したら話始まらなくない？
晶葉,うぅ…揉み解された頬っぺたが心なしか軽い…
Ｐ,お前らは欲望のままに珍品生産して楽しいだろうけどこっちは大変だったんだからな？主にかぼ…柚が
志希,ごめんちゃ～い
晶葉,まぁそう責めてやるな助手。この通り志希も反省しているだろ
Ｐ,お前さんもだよ
晶葉,……発明に犠牲は付き物だぞ？
Ｐ,まず自分を犠牲にしようぜ。まったくウチのトラブルメーカーズときたら…。じゃあ破壊するからスイッチ渡しなさい
晶葉,え？
Ｐ,ん？。…志希も変なクスリ出して、ほら
志希,え？
Ｐ,ん？
晶葉,…
Ｐ,…
志希,…
Ｐ,…
晶葉,……てへっ
志希,……えへ
Ｐ,ぎるてぃ
あずき,気のせいかな、どっからか頬っぺたブニブニされてるみたいな悲鳴が聞こえない？
忍,やけに具体的だね。よいしょ
穂乃果,あれ、２人ともそれどうしたの？
あずき,事務所に来たら何か床に落ちててさー。スイッチオン大作戦？
忍,どストレートにも程があるよ
穂乃果,ふぅん…じゃあ取り合えず私も
柚,ごめんごめんお待たせーっ！聞いてよ昨日こんな事があってさぁ～
あずき,あ、かぼすちちゃんおはよー
忍,おはようかぼすちゃん
穂乃果,かぼすちゃんおはよう
柚,！？！？
あの子,終わりだよー
ウサ子,幽霊が喋ったウサ！
あの子,おまいう
Ｐ,まったくウチのトラブルメーカーズときたら…。じゃあ破壊するからスイッチ渡しなさい
晶葉,え？
Ｐ,ん？。…志希も変なクスリ出して、ほら
志希,え？
Ｐ,ん？
晶葉,…
Ｐ,…
志希,…
Ｐ,…
晶葉,……てへっ
志希,……えへ
Ｐ,ぎるてぃ
あずき,気のせいかな、どっからか頬っぺたブニブニされてるみたいな悲鳴が聞こえない？
忍,やけに具体的だね。よいしょ
穂乃果,あれ、２人ともそれどうしたの？
あずき,事務所に来たら何か床に落ちててさー。スイッチオン大作戦？
忍,どストレートにも程があるよ
穂乃果,ふぅん…じゃあ取り合えず私も
柚,ごめんごめんお待たせーっ！聞いてよ昨日こんな事があってさぁ～
あずき,あ、かぼすちゃんおはよー
忍,おはようかぼすちゃん
穂乃果,かぼすちゃんおはよう
柚,！？！？
あの子,終わりだよー
ウサ子,幽霊が喋ったウサ！
あの子,おまいう
肉体や精神を一体化していればこういうトラブルなど回避出来るというのに,ＥＬＳ感
