質問スレでAA貼っての投下の賛同と許可を頂いたので投下いたします,SS主体と言う約束
東郷,ふふ、お兄さん…凄く興味深いですね
友奈,難しすぎてわからないよ…
店員,おまたせしましたー！かしわ天とかき揚げ単品におろし醤油うどん、生ビールおまたせしました！
マクギリス,ふふ…あははは！話しはあとだ！さっそく食べるぞ！！！いただきますっ！。うまぁぁぁぁぁぁぁいい！
東郷＆友奈,！？
マクギリス,揚げたてふわふわのかき揚げ…！たまねぎと海老のアクセントがすばらしい！天つゆにぶっこみ一気にかじってビールで流し込む！至福だ！。ごきゅごきゅぷはぁ！四国！本当に食と愛に囲まれた素晴らしい国なのだな！
友奈,す…すごい…
東郷,こ…こんな食べ方する人はじめて…
マクギリス,おろし醤油と大根おろし、かぼすの酸味が利いて…うんまぁぁぁぁい！！！！！。阿頼耶識システム…勇者システムふふ、ひょっとしたら何か繋がりがあるのかもしれんな
東郷,ガンダムフレーム…そんなものがあるなんて…
友奈,二人とも…会話の流れについていけないよ…
マクギリス,かつて腐敗した大赦のような組織を変えようとした男が居た…その愚かな男の話をしたかったが…君達ならできるかもしれんな
東郷,え…？
マクギリス,正直君達から聞いた話は半信半疑だ…だが…生きれる限り行き続けろ…
東郷,お兄さん…
マクギリス,もし再びまた会えたなら…私の知っている勇者達を紹介しよう…
友奈,お兄さんだって勇者ですよ！
マクギリス,はは、俺は悪魔にも勇者にもなれなかった男だよ…ただ…こうやって毎日を生きる事で人の尊さ…幸せを初めて知れた…感謝しているさ
友奈,お兄さん！短かったけど楽しかったです！ってあれ
東郷,お兄さんが居なくなったわ…
友奈,どこ行ったんだろう…
アルミリア,マッキー！体大丈夫？。マッキー！体大丈夫？
マクギリス,アルミリア…あれ…俺は四国に出張に
アルミリア,何いってるの…インフルエンザで出張取りやめになったじゃないの…
マクギリス,あれ…あはは、そうだった…なんか出張してる夢を見てしまった…
アルミリア,最近働きすぎよ？三日月さんがマッキーの変わりに遠出してくれたんだよ？
マクギリス,三日月…悪い事をしたな…今度牛丼ギガを奢らねば…
アルミリア,もう…けれど熱も下がってよかった…これも神様のおかげかもね
マクギリス,神様…か。ふ、凄い夢だった…四国とはどのような場所か調べてみるか…。どれどれ…かつて太古の昔…神が四国を守っており…ギャラルホルンは大赦と呼ばれる組織の…。なんだと…。少女たちは勇者と呼ばれる存在で…災害と戦い…のちにそれは阿頼耶識システムとして…。等というものを考えてみました…？なんだ…作家の創作話か…そうか…。まるで現実のような出来事だったよ…彼女達との楽しい食事は…。もし存在していたとしたのなら…散らずに前に進み続けろ…決して枯れない鉄の花…鉄華団のようにな…そして頑張れ。戦の乙女達よ…。ん？三日月からラインが…。ふっ、うどん・・と
