モバP(以下P),俺が出張に行ってる間にそんなことになってんの？
紗南,あとはみんな基本的にオープンだよ、自分の名前付きでチャンネル開いてる
乃々,そうですね……輝子さんも小梅さんも……みんな顔だして凄いんですけど……
P,いや、アイドルだからな？……ったくお前も生放送の番組くらい出ただろうに……他にはどんな……
まゆ,佐久間まゆの恋愛相談室、この番組はまゆがプロデューサーと結ばれるにはどうしたらいいか、視聴者の皆さんにアドバイスをもらう番組ですよぉ。教えていただいたアドバイスはまゆが実際に実践して結果を皆さんにご紹介しますねぇ？。今日の最初のコメントは……。なるほど、鉄板ですね？なら今日のお題はそれで行きましょうかぁ！コメントどしどしお待ちしていますよぉ……ふふふ。ふふ、どうでしょうね。まゆにもあとで教えてくださいね。あなたのコメントがまゆとPさんの未来を決めるんです
P,…………(汗ダラダラ
紗南,…………まゆさん、らしいねっ！
まゆ,そうですよねぇ
乃々,ひえっ！？まゆさんいつの間に……？
P,まゆ、えっと……だな。こういうのはどうなんだ？
まゆ,ファンの皆さんは応援してくれてますよぉ？
P,マジかよ、そりゃヤバイな、俺の今後が
紗南,あ、これ前回放送の録画だね。まゆさんこれ実践したの？
まゆ,それがまゆもお仕事があって……ちょうど今プロデューサーさんがいますから、実践してみようかなと
乃々,な、ならもりくぼはお先に寮に戻るんですけど……
P,おいまて森久保ぉ！お前には付き合ってもらうぞこの調査に！
乃々,嫌なんですけど！もりくぼは輝子さんたちに会いに机の下に行くんですけど！
紗南,まゆさん、結局何実践することにしたの？
まゆ,とりあえず優しくおかえりなさい、というところから始める予定だったんですけどねぇ……
紗南,Pさん、一度外出て
P,なんで紗南はそんな乗り気なんだよ！？
紗南,だってほら、ファンのみんなのアイディアだからね！答えなきゃ！
まゆ,そうですよぉ、協力、してくれますよねぇ？
P,う……わかった、定時過ぎたらな……？今仕事してるからな……？
乃々,動画チェックは仕事じゃないと思うんですけど……？
P,揚げ足取りはよくないと思うぞ森久保ぉ。あとは……なるほど、料理配信は定番だよな
まゆ,いろんな人がやってますからねぇ、コラボとかもよくしてるんですよぉ
P,まぁそういうのありそうだよな、まゆも参加したのか？
まゆ,はい、葵ちゃんのところで相手の胃袋を掴む料理を。今夜ご馳走しますねぇ？
紗南,話題そらそうとしたのに自分から被弾しに行ったねPさん
P,仕方ないだろ今いるメンツで料理するのまゆだけなんだから
乃々,料理以外の話すればいいと思います……
P,乃々、後で顔出し１時間配信な
乃々,理不尽過ぎるんですけど……
P,………なぁ
紗南,まぁ、目に止まるよね、視聴者数ぶっちぎりだし
P,嘘だろ！？ありすが料理カテゴリ1位だと！？
紗南,酷い言い草だね、ありすちゃん怒るよ？
まゆ,えっとですねぇ……お料理の配信って皆さん自由にほかの配信に出ますから
乃々,あ、ファンの皆さんもどれかひとつじゃなくて全部見るんですね……
P,なるほど、ありすの配信は料理カテゴリ目当てじゃないネタ票が
紗南,Pさん、もっとオブラートにつつも？
ありす,本日のゲストはかな子さんです。今日はどんなイチゴパスタが見られるか、楽しみですね
かな子,あ、ほんとにイチゴパスタ縛りなんだね……任せてっ！
ありす,いえ、イチゴを使った料理、ならなんでもいいんです。お菓子はダメです。ストロベリーソースにイチゴも入っていたのでセーフです。愛梨さんの生クリームたっぷり冷製イチゴパスタみたいに橘イタリアン入りすることを目指してください！
かな子,あ、冷やせばスイーツみたいに食べやすいよね！それじゃあ私も頑張ろうかなっ！
法子,呼ばれたっ！ドーナツお待ちっ！
千秋,あら、ありすちゃんの配信見てるのね
紗南,あれ、千秋さん、こういうの混ざってくるのレアじゃない？
千秋,仕事帰りにね、ちょうど仕事の話をしてるんだもの
まゆ,ありすちゃんの配信は個性ありますからね、みなさん割と楽しんでますよ？
紗南,如何に自分のスキルを駆使してありすちゃんを唸らせるか！うんうん楽しそう！
P,何、挑戦的なポジになってんのあいつ
千秋,それもだけど、配信の売りは……えっとこのへんね。料理上手な子たちにありすちゃんがその時のレシピを教えてもらってるところみたいね
紗南,ありすちゃんが料理スキルをラーニングしてるんだねっ！
まゆ,確かに微笑ましいですからねぇ、ありすちゃん頑張ってますし
P,まぁ覚えるのは橘イタリアンなんだけどな……
乃々,お、応用できますから、頑張ってると思うんですけど……
千秋,実際小さい頃達の配信はこういう傾向があるわね。一人でやらせるのも危ないもの
P,あー、そういうのもあるのか。ありすに毎回ゲストがくるのもそれでか
紗南,正直みんな好き勝手にほかの人の配信に入ってくるからね！フリーダムだよ？
乃々,フレデリカさんとか凄い自由なんですけど……
P,タイトルでわかるじゃねーかもう
紗南,他の配信にお邪魔する人も結構いるからね、麗奈ちゃんとか
まゆ,いたずらを仕掛けにいくんですよね、あとは楓さんですか
P,楓さんが？てっきりお酒かダジャレでも言ってるもんかと
乃々,楓さんは……見てもらった方が早いんですけど
まゆ,えっと確か……千鶴ちゃんの配信でしたっけ？
P,は？千鶴がどうかしたのか？
紗南,あぁ、あの奇跡の配信だね！
千鶴,本日は特別編、ということで体育館をお借りしまして書道パフォーマンスをしようと思います。コメント頂いた文字から選んで書きますのでドンドン……えっとなんでいるんですか心さん
心,しゅがぁはぁと、ダゾ☆千鶴ちゃんにはぁとさん大好き！。やーん☆みんなマジ空気読んでる！
千鶴,う、……わかりましたっ！
楓,千鶴ちゃんのふでーパフォーマス、楽しみですね
千鶴,えっ、楓さん！？では行きます……ってあれ！？
麗奈,ハーッハッハッハ！目を離したすきに墨汁を赤に変えてやったわ！
千鶴,麗奈ちゃん！？もう……せいっ！
心,なーんーでー！？ファンの意見ガン無視とかダメだろ千鶴ちゃん☆
千鶴,プロデューサーから心さんが巫山戯たらこう言えばいいってことでしたので
心,おいコラ☆はぁとそーゆーの良くないと思うゾ☆
フレデリカ,わーお！すごい準備！これはフレちゃんのゲージュツセンスが開いちゃう感じ？
志希,この墨の独特な香り！落ち着くよねー、日本人の安らぎ？
フレデリカ,それわかるー！日本人の魂がー、疼いちゃう？
千鶴,えっと……フレデリカさん日本人じゃ……
薫,すっごーい！巴ちゃん巴ちゃん！見て見て！
巴,そんな引っ張らんでも……おぉ！見事なもんじゃのう！
薫,ねーねー千鶴ちゃん！まだ書くの！？薫も手伝いたいです！
千鶴,え？えっと……それなら少しくらいなら……
志希,聞きまして？宮本さん
フレデリカ,聞いちゃったよ一ノ瀬さん！私達も手伝うー！
心,お？それならはぁとのスウィーティーなセンス、見せてやんよ☆
巴,麗奈、他に墨はもっとらんか？千鶴さんとこの墨だけじゃみんな使えんじゃろ
麗奈,はっ！こ、こんなこともあろうかと追加の絵の具も用意済みよ！
千鶴,えっ、えっと……もー！皆さん自由にしすぎですっ！
P,なんだこの……なんだ……
紗南,一回の配信で一番多くアイドルが出た配信ってことで伝説になってるんだよ！
乃々,で、伝説って……
紗南,あぁ！
千秋,このあとも頼子ちゃんとか沙紀ちゃん達も混ざって来ちゃったのよね……
まゆ,まぁ千鶴ちゃんもファンも皆さん楽しそうでしたから、いいと思いますけどねぇ
P,ちなみに楓さんはこれ何やってるんだ……？
紗南,えっと……いろんな配信の画面端に写ってダジャレ言ったら帰っていくんだよね……
まゆ,楓さんが見れたら幸運になれる、とかファンの間ではまことしやかに囁かれてるらしいですよぉ
P,えぇ……？。しかし、乱入放送が結構人気高いな、やっぱ面白いのか？
千秋,もちろん面白い、というのとあるけれど一番は見やすさじゃないかしら
P,ん？……あぁそうか、200個近くあるもんな配信枠
千秋,固定のファンならそのアイドルの配信で十分だけど、色々見たいって層はいるもの
紗南,こんな配信あったんだ！とかこのアイドルいいなっ！って発見するのに便利ってこと？
まゆ,確かに、まゆの配信もフレデリカさんが来てから視聴者増えたような……？
P,そういやせっかくだから聞くけど千秋の配信って何やってるんだ？
千秋,私の好みのクラシック曲の紹介。わかりやすく説明出来ればいいのだけど、難しいものよね
乃々,なんか優雅な空気を感じるんですけど……もりくぼにはむーりぃ……
まゆ,乃々ちゃんもいつもと違う自分を見せてるのは凄いことだと思いますよぉ？
千秋,そんな大層なものじゃないわよ？自分の好きなものを紹介するだけだもの、だからこそ大変なのだけど
紗南,好きなものってついつい気持ちが先走っちゃうもんね、あたしもゲームオススメする時困っちゃうから！
P,まぁそういう枠は多いよなぁ、美世に、椿に……奈緒は……アニメか。……大西ぃ！お前ぇ！
紗南,まぁまぁ、由里子さんの持ち味なんだしさ。いいと思うよ？
千秋,私の場合……ちょっと見てる人の意識が……ね
まゆ,意識、ですかぁ？
千秋,さて、今日も私がオススメする一曲を紹介するわね？。この曲は先週放送した作曲家が作曲したもの、年代は確か……。この音源は◯◯オーケストラさん、この前の演奏会でも……。起きなさいっ！！！。全く……音楽を聞いてもらってからまた話しましょうか、ではスタート。みんな毎回こうなのよ……最終的に感想もくれるから楽しいのだけど
乃々,え、えっと……千秋さん、このコメントは……
まゆ,ふふ、でも千秋さんに教えてもらえば少しクラシックも楽しめそうですねぇ、ね？乃々ちゃん？
乃々,確かに……大人久保……？
千秋,そう？それなら今度オススメを教えるわ。寮に持っていけばいい？
まゆ,えぇ、よろしくお願いしますねぇ？
P,おい、紗南。これってもしかしなくても
紗南,うん、ファンのみんながからかってるだけだよ。まゆさんが誤魔化したけど
P,千秋は生真面目だからなぁ……コメントも間に受けてるんだろ、zzzって打たねえよ
千秋,ちひろさんに教えてもらったアンケートだと大学生とか社会人の人が結構多かったのよね
まゆ,クラシックって大人な趣味、って感じですからねぇ
千秋,でもなんでかしら？みんなリクエストが落ち着ける曲、なのよね
乃々,クラシックって静かに聞くイメージがあるんですけど……
紗南,黒川千秋に起こしてもらえる配信って話題になってるんだよね
P,あー、配信時間深夜近いしなぁ、クラシックって落ち着いて集中するのにいいって聞くし……
紗南,宿題とかレポートの追い込みにクラシック聴きながら千秋さんに起きなさいっ！って言ってもらえるって……
P,あー……しかししっかり感想言うあたりさすがというか
紗南,そのへんはほら、アイドルのファンだし？
P,あとは……なるほど、動物カテゴリか
まゆ,ペットを飼ってる人多いですからねぇ、可愛いですし
千秋,それもあるけど、ペットがいる空間って自室か、寮だもの。生活感を感じていいって話らしいわ
P,そこはかとなく犯罪の臭いがしたのは気のせいか？
紗南,まぁ、特定とかはされないようにってちひろさんも言ってるから……限界があるけど
乃々,家の前に……知らない人が？……むーりぃ……
P,そのへんはちひろさんがなんとかしてるだろ。お、雪美が今配信してる
まゆ,ペロちゃんの撮影ですね。ふふっ、雪美ちゃんが頑張って撮ってるのがわかりますね
P,多分スマホだな、手ブレもしてるし声も入ってるけど年相応というか……
千秋,他の子も配信してるわね、ちょうどお昼過ぎだものね
まゆ,小春ちゃん、聖來さんも……時子さん？
紗南,豚だね！
P,おいこら配信見るなよ！？ちょっと時子様！？。……なんだこれ、生配信枠？
紗南,あー、それはね、ちひろさんが用意したチャンネルだよ！
千秋,まぁ、自由枠ね。もしかしたらアイドルが映ってるかもって
P,会議室使っていいのかそれ……誰かいるか？
乃々,あ、キャシーさんと瑛里華さんが……
紗南,漫才してるね……自由枠のお客さんに見てもらってるみたい
千秋,なるほど、自分の配信枠だと興味がある人しかこないものね
まゆ,まゆも一度自分の配信の出張版をやらせてもらいましたねぇ
P,恋愛相談を？自由枠で？
まゆ,はぁい、色々意見もらえましたよぉ？
P,見えたじゃねぇ！お辞儀した胸を凝視するんじゃねぇよ！
紗南,……コメントの意味がわかるってことはPさんも見てたんだよね？
P,………………二人にはラフ過ぎる格好ででないように言わないとなっ！！！！
千秋,後は人気なのはカラオケ配信、まぁアイドルの生歌だものね
乃々,琴歌さんたちのお茶会とか空気が違いすぎて怖いんですけど……
紗南,優雅にお茶飲んで雑談してるだけなんだけどね……
P,特定班ができてやがる、撮影は……なるほどメイドさんか。……メイドかぁ
まゆ,メイド、好きなんですかぁ？
P,まぁ、この前のまゆのメイドよかったからな。ってそうじゃない
千秋,というよりこの配信はメイドさん達が管理してるのよ、ちひろさんに許可取ったらしいわ
紗南,まぁ自分で撮影する！ってなると緊張して自然体になれないしね？
P,身内に撮らせるって意味じゃ、ライラも同じだな。空気が全然違うが
まゆ,仁奈ちゃんも着ぐるみをお母さんに撮ってもらってるみたいですね
P,とりあえず中々成功してるのを確認できてよかったよ
紗南,荒らしとか酷いコメントも消せるしね！凄い平和だよ！
乃々,もりくぼはそろそろ畳みたいんですけど……
まゆ,やめてもいいと思いますよ？不定期で問題ないじゃないですかぁ？
乃々,もりくぼが嫌でも山久保を待ってる人がいるので……
千秋,それに答える気があるなら続けるべきだと思うわよ？企画自体終わり、なら仕方ないけどね
P,いや、まぁ当分やめないぞ？スキマでやる程度で構わないしな
紗南,よっし！それなら長編RPGとかもやれそう！今度配信で言わなきゃ！
まゆ,まゆもファンの皆さんに長期的な話をしていいかもしれないですねぇ……
P,まゆはその……な？とりあえず今日の……
まゆ,そう！そうですねぇ、この後はしっかり実戦、させてくださいねぇ？
紗南,あたしはみんなに教えてくる！乃々ちゃんもいこ！
乃々,ひ、引っ張らないで欲しいんですけど……！
P,そういや、視聴回数1位ってなんなんだ？
千秋,えっとね……
まゆ,見ればわかると思いますよぉ？
P,そりゃそう…………。ですよねー
世界レベルの放送が見たいなぁ,無茶振り
