なんやかんやで賢者が仲間になった！その後一行は守銭奴かつホスト通いの神と出会い勇者はひのきのぼうを鼻から産み出す悲しき生物にされてしまう。,しかも代償あり
剣士,な……幻術か…？
賢者,いや、いるわよ…そんな複雑な構成のストーリー書けると思ってるの？
剣士,え？
賢者,とにかく起きて！
勇者,えぇ…なんだよ
剣士,盗賊が起きたら消えてて
勇者,まぁ、あいつわりと嫌々ついてきてたからな。逃げたんじゃね
剣士,そんな…
賢者,どうかしらね、２、３日は八葉草の成分も抜けないって言ってたし
勇者,あいつ夜中どっか行ってたな、トイレかと思ったが
賢者,はぁ！？なんで見てて止めないのよ！！
勇者,お前小便止めれんの？俺は無理だね！！
賢者,どういうこと！？
剣士,と、とにかく探しましょうよ…
勇者,え？
賢者,は、はい。…そんな
剣士,え？
勇者,…
店主,だから八葉草を食べたら海に行くなと…
勇者,…
賢者,勇者…
剣士,師匠…あまり気を落とさずに…
賢者,旅に犠牲は…つきものよ…
勇者,いやさ…盗賊って神に使えていないし、葬儀ってどうなんのかなって
賢者,あんたね！！クズだとは思ってたけどよくそんな事言えるわね！！
剣士,け、賢者！！とりあえず落ち着こう…！
賢者,はぁ！？
剣士,いったん宿に戻ろう、盗賊の荷物も少ないけどあるから
賢者,…そうね
勇者,…
賢者,私たちはいったん戻るわよ
勇者,…そうか…俺は明日までこの火を絶やさないように言われているからな
剣士,お体に…さわないように…。賢者…行こう…
賢者,ええ…
剣士,お前な、師匠を何も分かってない
賢者,あなたは分かってるの？
剣士,あぁ、師匠は卑怯だ
賢者,じゃあクズじゃない…
剣士,だけどな…芯のある人だよ…。わがままで思ったことをすぐ行動に移す、軽犯罪なんかお構い無し。だけどな…絶対にしてはいけないことはちゃんと分かってる
賢者,ふーん
勇者,……。本当に死んだのか…。…。え？
少年,あんたの仲間だろ？
勇者,ガキが夜中に何してるんだ
少年,あんたこの村に来たなら人魚伝説は聞いてるよな？
勇者,いや
少年,なんで！？メインイベントだぞ！？
勇者,おっさんの話ってなげぇからな
少年,…ぷ。気に入ったぜ兄ちゃん
勇者,そうか、一方通行だけどな
少年,あんた、火葬ってはじめてだろ？
勇者,まぁな
少年,ちゃんと燃やした跡を見たか？
勇者,灰しか残ってなかった
少年,だろうな
勇者,なんだそれ
少年,骨が残ってないんだろ？普通は少しでも残るもんだ
勇者,？
少年,多分その死体は人魚の妖術だぜ
勇者,なにぃ！？じゃあ本物の盗賊は！！
少年,生きてると思う…人魚に拐われたんだよ…
勇者,そうか、じゃあ取り戻してくる！
少年,おい！どこにいくんだ！？
勇者,え？
少年,場所が分かんないだろ！
勇者,たしかに
少年,たしかにじゃなくてさ…あんたヤバい奴だな
勇者,大人はみんなヤバいんだよ
少年,いや、みんなじゃねぇだろ、母ちゃんとかまともだわ。とにかく、俺が道案内してやる。腕に覚えがあるんだろ兄ちゃん？
勇者,まぁな
少年,なんで初期装備なん！？！？！？。あんたふざけてるんならやめろよな！？！
勇者,ふざけてねぇよ！大人にはなぁ！！事情があるんだよぉ！！
少年,剣は？
勇者,持てねぇ
少年,あんた呪われてんな！！
勇者,うるせぇ！！クソガキ！！
少年,なんだと！！チャンバラ男が！！
勇者,俺は勇者だハナタレ！！
少年,ヤバい奴かとは思ったけど確信に変わったぜ！！。勇者がひのきのぼう使うかよ！！ドM縛り野郎！！
勇者,なにぃ！？！？。はぁっ、はぁっ！
少年,はぁ、はぁ！
勇者,口達者なガキだな！
少年,あんたもな！！
勇者,と、とにかく、案内しろ
少年,あぁ、あ、護身用の武器とか貸してくれよ
勇者,それもそうか
少年,なんだそれ！！あれか！！。あんたひのきの精霊かなんかだろ！！
勇者,うるせえな！！棒でも無いよりましだろ！！
少年,ま、まぁな…。あっちの海の方見てみてよ
勇者,うん？暗くてよく見えないな
少年,孤島があるのわかるかな？
勇者,あぁ…
少年,噂ではあそこに人魚がいるんだ…。村の人は恐れて誰も近づかないよ
勇者,とにかく行ってみよう、船は？
少年,船は鍵のかかった小屋に…
勇者,なんだ？泳ぐのか？
少年,せめて木材があれば小舟が作れるんだけどな
勇者,これでいいか？
少年,うわぁ！！やっぱり人間じゃねぇ！！
勇者,人間だ人間！！。こら！！逃げるんじゃねーよ！！
少年,いや、人間ではないだろ、どんだけ出るんだ
勇者,無限に
少年,ひいいいいい…
勇者,いいから船作れや！！
少年,浮きやすくてよかったよ、ひのき丸って所だな
勇者,よし、行こう！！。あれ？オールは？
少年,オール？櫂か？。ひのきのぼう細いし作れねぇよ
勇者,どうすんの？
少年,バタ足で漕いでよ
勇者,結局俺泳ぎじゃねーか！殺すぞ！！
盗賊,はれ？ここは？
人魚,目が覚めましたか？
盗賊,はひひ、綺麗な人魚が見える～
人魚,まぁ、ふふふ…八葉草でも食べたのかしら？解毒薬よ
盗賊,ごちそうだぁ！
人魚,どう？
盗賊,……
人魚,あれ？見えてますか～
盗賊,うわぁぁぁ！！？人魚！？
人魚,きゃあ！？
盗賊,お、俺をどうするんだぁ！？
人魚,どうもしませんよ！溺れている所を助けたんです！
盗賊,えぇ？。あ…うっすらそんな記憶が…。あ、みんなは！？
人魚,みんな？
盗賊,アニキとか
人魚,この島からは出れませんよ
盗賊,え？
人魚,掟があるんです、この島に来ることは出来ても出ることは出来ない
盗賊,あんたが勝手に助けたんだろ！それはないよ！！
人魚,か、勝手にって！！酷すぎます！！
盗賊,う、すまねぇ。逃げるなら今のうちかな…。さて
少年,はやくぅ、日が明けるぜ？
勇者,じゃあお前も降りて漕いだらぁぁぁぁ？
少年,それじゃ船の意味なくないか？
勇者,俺にとってはもう意味無いんだけど！？
少年,声がしたぞ…？人魚か？
勇者,どうせ神だろ
少年,なわけ…。神ぃぃぃぃぃぃ！？。あんたやっぱり人間じゃないだろ！？。怠惰の神とか！？
勇者,それ悪魔じゃね？。俺なんで勇者って信じてもらえないんだろ、こんなに好青年なのにな。だいたい何してたんだよ、あんただったら盗賊の死体の偽装にも気づいたろ？。どうせ人間の男とあってたんだろ
少年,大人の痴情のもつれは見苦しいぞ
勇者,子供になにがわかる！
少年,なんか似てるな
勇者,それより、なんかあって来たんだろうな？。金持ってきてねぇよ。おいいい！！こっちは一大事ぃぃぃぃ！！。盗賊の命がかかってんだよ！！。結局金とるのに一時的なのかよぉッッッッ！！
少年,とんでもねぇ邪神だよ！！
勇者,ゆうくんってだれぇぇぇ！？
少年,…
勇者,な？
少年,な？じゃないよ。苦労してんな！
勇者,結局なにがパワーアップしたかもわかんねーしな
少年,早くバタ足してよ。うわぁぁぁぁぁ！？
勇者,すげぇ早く泳げるぜ！！
少年,また一歩人間やめたな！
勇者,殺すぞ！！
盗賊,この洞窟は複雑な造りだな…。出口がわかんねぇ。ひ！見つかったか！！
男,あんた…人間だよな？
盗賊,へ？あ、あんたも？
男,おお！久しぶりに人間を見たぜ
盗賊,それじゃあ、あんたも連れてこられたクチかい？
男,いや…俺はちょっと特殊でね
盗賊,あんたここ長そうだな、帰り道わかるかい？
男,あんたは、帰れないよ
盗賊,…は？
男,人魚に連れてこられたんだろ？
盗賊,そうだが
男,つまり許嫁ってわけだ
盗賊,はぁぁぁぁぁぁぁぁぁ！？
男,掟でな、人魚は人間と一緒になってもいいんだよ
盗賊,あ、あぁ？
男,ただし、島にそいつを連れて来ること、そして連れてきた相手を島から出さないこと、連れてきた男とはかならず一緒になること。それが掟さ
盗賊,なんだそれ！！そんな勝手なもん…
男,勝手か…そうかもな。しかし、あんたは溺れ死んでてもおかしくはなかったらしいじゃないか？
盗賊,なんでそれを！
男,その人魚はどんな気持ちで助けたと思う？。この島に連れてくれば必ず一緒にならないといけないんだぞ
盗賊,…
男,それも覚悟で連れてきたんじゃないか？
盗賊,だとしても、俺は
男,まぁ、いいさ。ただ一度命を拾ったんだ、それだけは覚えておきな
盗賊,あんた……
勇者,はぁ…はぁ…
少年,スタミナねぇな
勇者,どうみても、あるだろ？ここまで泳いで押してきたんだぞ…
少年,はやく行こう、探さなきゃ
勇者,そうだな
少年,うわぁぁぁぁぁ！？
勇者,魚人か
少年,あんた驚かねぇの！？
勇者,魚人食った奴しってるしな
少年,仲間もやべえ奴なんだな
勇者,うるせぇな！！
魚人,なぜここに来た！！
勇者,俺の仲間があんたらに拐われたんだ。どうやら心当たりがあるみたいだな
魚人,すまんが、そいつは返すことができん。だがお前らの気持ちもわからんでもない特別に見なかった事にしてやるから帰るがいい
勇者,ほーん、わかった。って帰るわけねーだろ、すげぇ馬鹿だが仲間なんだよ
魚人,死ぬことになってもか？
勇者,試してみるか？
少年,か、かかってこい！
勇者,お前は下がってろ
魚人,ギュオオオオオオ！！
勇者,オッラァァァァ
魚人,キュッ
勇者,ふ、案ずるな峰打ちだ
少年,ひのきのぼうに峰打ちも糞もあるかよ！！
勇者,ふんっ！
魚人,な！明らかに質量がおかしいだろ！貴様人間じゃないな！？
勇者,人間じゃない奴に言われたかねーよ！。食らえ二刀流ひのきのぼう！！！
少年,つ、つえぇぇ…
魚人,我々はまだまだいるぞ！！
勇者,うるせぇ！！HS！！
少年,なにそれ？！
勇者,そこは認めねぇからな！！
魚人,しかし、こちらには数の利がある。いずれにしても死ぬのはお前だ！！
勇者,は！雑魚がいくら集まっても…
少年,うわぁぁぁぁぁ！？
勇者,？
少年,た、助けてくれよ兄ちゃん！！
勇者,えー…こっちも忙しいんだよ…
少年,それでも人間かよ！！
勇者,お前も覚悟は出来てるだろ、思いっきりぶんまわせ
少年,ちくしょう！！や、やってやる！！。おっらぁぁぁ！！。はず…れた…
魚人,ならば死ね！！
少年,だめだ…しぬ！。う…ぐ？。一体！？
勇者,はーっはっはっ！この勇者様にぬかりはないわ！
少年,気持ち悪！！
勇者,おい！！ピンクグッズを浜辺に捨てるな！約束な！！
少年,そんなもん子供に渡すな！！
勇者,浜辺って風が強いんだな。大雨注意報だぜ！！
魚人,なにかくるぞ！！
少年,なんて威力だ！物理法則無視してないか！？
勇者,神のブーストかかってるからな。何びきか逃げたけど、まぁいいか
少年,すげぇじゃん！
勇者,あ、人魚見つけたら食べなきゃな
少年,やっぱり正気の人間とは思えねぇよ！！！。あ！あの白布飛んで行ったけどいいの？
勇者,よくねぇ！！高いんだぞ！！
少年,えぇ…置いていくなよ…。まぁ、俺は俺で目的を果たすか……
人魚姫,ならば結婚はしないと言うのですか？
人魚,…
人魚姫,掟は絶対です…考え直しなさい
人魚,…わかりました。盗賊さん…
人魚姫,どうしました？。…至急魚人兵を集め掃討しなさい、殺すのです
人魚,…盗賊さんの仲間…？。いそがなきゃ！！
男,それでさ、人魚ってだけで家族も村人も大反対さ。だけど俺は愛した女を手放したくはなくてな…。八葉草を食べたふりして海での死亡を偽装したんだ
盗賊,へぇ、それで愛の逃避行かい
男,あぁ、人魚は美しいし、ここも住めば都さ。魚人は血の気は多いが仲間思いだしよ
盗賊,全てを捨ててここに来たわけだ…俺は無理だな
男,まぁ、俺のせいで掟も厳しくなってよ…。その点はすまんな！はっはっは！
盗賊,は、はぁ…洞窟の出口まで送って下さってありがとうございます、あとは自力で帰る方法を見つけるよ
男,あぁ…頑張れよ
盗賊,え？俺？
少年,ちょ、どけ
男,……え？なんでお前が？
少年,洞窟見つけたから来てみたら…。何やってんだよ！！。はやく帰ろう！！母ちゃんも心配してるよ！！
男,……
盗賊,……修羅場だぁ…
男,俺は帰らねぇよ…。兄ちゃんはな…こっちで幸せに生きてるって言っといてくれ
少年,嘘だ！！兄ちゃん、本当は拐われてここに来たんだろ！！。洗脳されてんだよ！！
盗賊,きみ、俺も連れてこられたけど、洗脳はされてないよ
少年,誰だあんた！モブは消えろよ！！
盗賊,はう！？小さいアニキを見てるのか俺は！？
男,いいか！！これは俺が決めた事なんだ！！子供は口を出すな！！
少年,だとしても顔くらいちょっとはだせよ！！。みんなどんな気持ちか…葬式だってしたんだぞ！！
男,大人には事情があるんだよ！！
少年,そんなもん、言い訳だろ！！
盗賊,……
人魚,盗賊さん！！
盗賊,あ！
人魚,お仲間が来てます！！
盗賊,アニキか！？
人魚,変な妖術を使うと！
盗賊,アニキじゃねぇか！！
人魚,盗賊さん…
盗賊,…？
人魚,結婚…してくれませんか？
盗賊,……
人魚,ですよね…私なんて
盗賊,違うんだ！！
人魚,え？
盗賊,あんたは綺麗だよ！助けて貰ったのも感謝してる！！。いい人だし、男さんから人魚の話を聞いて少し憧れた…。結婚もいいなぁって…少し思ったよ
人魚,…なら
盗賊,でもな…俺には仲間がいるんだ…。はじめは…いきなり加減なしに殴られるし、金は巻き上げられるし。なにするにしても連れ回されるし…めんどくさい人間だと思った…。でもな…一緒にいると少しずつ人柄がわかってきたんだ。天の邪鬼で文句しか言わないけど、絶対に一線を越えない…。そんな人なんだ…兄貴は…。ってそれだけだとヤバい奴と思われるかも知れないけどそういう話じゃなく…！こう人間として魅力が…！！自由というか！！
人魚,ふふふ…
盗賊,…！？
人魚,大切な仲間なんですね、その人…
盗賊,あぁ、アニキはかならず魔王を倒す人なんだ…俺は弱いけど、少しでも力になりてぇ…そう思ってる
人魚,ふふ…あーあ…。そのアニキさんが羨ましいです…
盗賊,！？
人魚,あなたの事が、もっと好きになっちゃいました…
盗賊,おれは…
人魚,わかってます！！こちらへ！！。二人を脱出させます！！
少年,あ！！俺も頼むよ！！
人魚,わかりました！
少年,兄ちゃん！！はやくきて！！
男,ふふ…今の盗賊君を見てたらさ…
少年,なにしてんだよ！？
男,よけいに帰る気は無くなった…。ここには俺が愛する人がいるんだ…。わかってくれ…これが俺の選択なんだ…
少年,兄ちゃん！！
男,ただ間違えるなよ、俺はお前も愛してる。それは離れていても…変わらないだろ？。兄弟なんだからな！
少年,！！
人魚,はやく！！
少年,じゃあな！！兄ちゃん！！
男,おう、お別れだ！
勇者,くっそ！四次元ポケットは見つけたけど…ガキはいねぇし、盗賊も見当たらねぇし…。あいつも捕まったか？
人魚,すいませーん！そこの人！！
少年,おーい！！兄ちゃん！！
勇者,捕まってりゅぅぅぅぅぅぅぅぅ！！！
盗賊,あ、あにきぃ！！
勇者,根こそぎいっとるやないかい！！。お、でも一緒に走ってきてるな…捕まってはないのか…？
盗賊,はぁ…はぁ…
勇者,てめぇ！！探したぞ糞が！！
盗賊,アニキぃ！！俺のこと心配して……うぅ…
勇者,そうだぞ…。お前がいないなら誰がリアカー牽くんだよ
盗賊,え？
人魚,もう時間がありません！！。魚人は大部隊を作ってあなたを追っています！
勇者,え？おれなんかした？
少年,あんた棒と一緒に鼻から記憶がこぼれ落ちてるんじゃないか！？
勇者,え？君だれ？
少年,おい！！
勇者,うそだよ、ははは
人魚,ここに来た船はどこに！？
勇者,あ、これ？
人魚,なんですか！このボロ舟は！！
勇者,ひのき丸だ、ばかにするなよ
人魚,とにかく乗ってください！向こう岸まで引っ張りますから！
勇者,あぁ。さすが人魚…これだけ乗ってこのスピードだけなら魚人以上なんじゃないか？
盗賊,これで…一件落着っすかね
勇者,なぁ、人魚…ちょっとカジっていいか？
人魚,死にたいんですか！？
勇者,死にたくないからだけど
人魚,ダメに決まってるじゃないですか！！
盗賊,アニキ！？
少年,…
勇者,そういえばお前の問題は解決したのか？
少年,え！なんでそれを！！
勇者,目を見りゃ悩んでるかどうかなんてわかる。何があったかは知らんが、来るときよりはいい目をしてるぜ
少年,は！どうだかな！あんたの目は節穴だからな！
勇者,よし、海に落とそう
少年,やめろぉぉぉぉぉ！！！
人魚,本当に死にたいんですか！？。暴れないでください！！船が壊れます！！。完全に重量オーバーですよ！！
盗賊,あ、アニキ！！あれを！！
勇者,え？。なんも見えねぇぞ、暗いし
盗賊,俺は目がいいんすよ！
人魚,追っ手が来てますね…生きて逃がす気がないみたいです…
勇者,しゃあねぇな！多段HS！！
盗賊,なるほど！迎撃っすね！。あ！！潜りやがった！！
勇者,くそぉ…陸地まではもう少しなのにな…
少年,さっきの棒投げすればいいじゃん！！
勇者,お前はなんの船に乗ってるんだ？
少年,え？ひのきのぼう？
勇者,そうだ、ひのきのぼうは浮くんだよ水中には届かねぇ
人魚,このままじゃ追いつかれます…！！
少年,くっそー！！ここまでなのかよ！！
勇者,はぁ…しゃあねぇな…
盗賊,あ、アニキまさか！？
勇者,ちょっと足止めしてくるわ
盗賊,無理っすよ！！。水中で魚人を相手なんて！！
勇者,どうかな？俺は…。勇者だぜ？
盗賊,アニキぃぃぃ！！
少年,兄ちゃん！！
人魚,か、軽くなった！！
盗賊,引き返せ！！
人魚,いいんですか！！アニキさんの思いを無駄にして！！
盗賊,！！。くそぉ…もどってくださいよ！！
勇者,はぁ……ヤバいよなぁ。まぁ、今日は行ける気がするぜ。な！！。くっそー！。ぞうがな。魚雷Hブレイク！。水中で棒は振れないが人間魚雷としてすっ飛んで叩き込むなら話は別だ。簡単だぜ！。！！。息が！！。！？。くそ！読まれやすい動きしちまったか！！。ひのきのぼうが水の抵抗力で振れねぇからこいつを払うこともできん！！。ぐ…意識が……。もう…すこ…し…。ぶはっ！！！。だめだ…まだ息が！！。離せ！！。やばい！！。だめだ！！動けん！！やられる！！！！。押してだめなら引いてみろってな。息ももう続かねぇ！！。だが、もうすこし…もうすこしだけ潜る！！。はっ…あんまり深くねぇな。真っ暗だ…だが海底がわかれば…それでいい…。敵は見えねぇが…見る必要はない。俺が酸素を求めて真っ直ぐ泳いだように。トドメをさそうと真っ直ぐ来てるだろうからな！！。くらぇぇぇぇぇ！！。ひのきのぼう流刀殺法…海底爆火山…。なんてな…ゴポポッッ
人魚姫,…なんてこと…魚人達が全滅している！！。ゆ、夢ではないよな…。みんな息は…あるみたいね…よかった。ん？あの光は…。人間？。美しい…神に愛された男だ…。全ての環境がこいつを生かそうと動いている…。神のご意志なら…助けましょう…
盗賊,浜が見えてきた…
剣士,師匠はいったいどこへ…。まさか師匠も人魚に…？
賢者,あれをみて！！
剣士,あれ…盗賊か！？！
賢者,まさか幽霊！？！
人魚,…人がいる…ここまでですね…
盗賊,人魚…？
人魚,……
盗賊,俺たちも…お別れだな
人魚,ふふ…私は戻って来るって信じてます
盗賊,多分この旅で死ぬよw
人魚,なら、この涙をあげます…
盗賊,涙？。///？
人魚,さよなら…
盗賊,……
少年,ラブストーリーか？キスしとけよ、勿体ねぇ
盗賊,ませた子供だな！
賢者,そんなことが…
剣士,てめぇ！師匠を置いてよく帰ってきたな！！。師匠は命をかけてお前を救いに行ったんだろ！！。ならお前も命を張るのが筋じゃねぇのか…！！
賢者,やめなさい！！盗賊の言い分もわかるわ。二人とも犠牲になればそれこそ勇者は望まなかったわ！！！。それにまだ死んだかも…
村人,しかし、もう昼前だ…とても生きてるとは…
剣士,あぁッッッッ！？
村人,ひぃぃぃぃ
少年,とりあえずまとうよ…あの兄ちゃんが死ぬとは思えないし…
盗賊,うう…アニキ…
剣士,…
賢者,ふぁぁぁ…
盗賊,アニキィ…
賢者,ふふ、まぁ死ぬわけないよね
剣士,まさか！！
盗賊,あの人間とは思えないスピードは！！
剣士,師匠ぉぉぉぉぉぉぉ！！
勇者,ただいま！！
賢者,なんなのそのスピードは
勇者,そろそろ元に戻るぜ
剣士,足はありますよね！？
勇者,当たり前だろ！
剣士,よがっだぁぁぁぁぁ生きてる！！
盗賊,アニキ…ありがとうっす！！
勇者,パーティーを守るのは勇者の務めだからな
盗賊,アニキぃぃぃ！！！！
勇者,あと、馬車牽きを助けるのも
盗賊,え？
賢者,感動のシーンじゃないのかい！
少年,あはははは！！！
村人,わはは！君可哀想だね！
勇者,うぇ…金がごっそり無くなってらぁ…
賢者,違うわよ！！
勇者,いや、そういや神の仕業だわ
賢者,あの神って貧乏神じゃないでしょうね。あんたを勇者として選んだ時点でいろいろ怪しいのよね
勇者,うるせぇな！！見る目の塊だろ！！
賢者,なによそのヤバそうな塊
剣士,いや、でも師匠と盗賊が帰って来てくれてよかったですよ。賢者との二人旅とか…ちょっと…
賢者,どういう意味よ！！
盗賊,アニキィ！！少年が来てますぜ！
勇者,え？まじか
母,もー、うちの子が迷惑をかけてすいません！！。あの島まで死んだ兄を探しに行ったそうで…。あなたが一緒について行ってあげたとか……
勇者,あぁ…まあ俺もあの島には行ってみたかったんで。一万でいいっすよ
母,え？
盗賊,アニキィ！！。あはは！奥さん！嘘っすよ嘘
少年,……
勇者,次はお前が誰かを連れていってやる番だな。島にじゃねーぞ？危ないからもう行くな
少年,どこに誰をだよ、誘拐かよ
勇者,くっ、クソガキぃ…
母,あの、お礼とか…
盗賊,いいんすいいんす！！さ、早く家に！
母,は、はぁ？
少年,ベー！
勇者,憎たらしいな
盗賊,アニキに似てるっす。ぎゃあああす！！
勇者,じゃあ、世話になったな
宿の店主,また、いつでも訪ねてください、サービスしますよ
店主,村のガキも助けてくれたしね…はっはっは
勇者,へいへい、んじゃ
盗賊,さぁて、リアカーでも牽くかな、あーあ
賢者,根に持つタイプなのね
剣士,やる気がないならやめるんだな
賢者,なんであなたはコレに前向きなの？
勇者,はは、絶対に馬車は買わねぇ…
盗賊,なんでっすか？なんでっすか？
勇者,というか人魚食い損ねたのがなぁ…
盗賊,それは言わない約束っすよぉ…
勇者,お？
少年,ありがとな！！
勇者,おう！俺も助かったぜクソガキ！
少年,くそて…腹立つなぁ。俺は絶対にあんたみたいな人間になるからな！
勇者,なれるかよ！お前弱いし
賢者,やめときなさい、人間やめるってことよ！
勇者,黙れ糞女
少年,これやるよ！！じゃあな！！
勇者,なんだ？
賢者,ぷくく…なれそうね…あんたに…
少年,へへへ…！
剣士,お前な、師匠の何も分かってない
賢者,あなたは分かってるの？
剣士,あぁ、師匠は卑猥だ
賢者,じゃあクズじゃない…
剣士,だけどな…芯のある人だよ…。わがままで思ったことをすぐ行動に移す、性犯罪なんかお構い無し。だけどな…絶倫にしてはいけないことはちゃんと分かってる
賢者,ふーん
