藤居朋,ねぇねぇ2人とも！明日、あたしの部屋に泊まらない？
朋,わ！ほたるちゃんそんな声出せたの
智絵里,こんなにユニーク！な服をいきなり見せられてもお二人はさっきの私たちみたいにビックリしてしまうかもですし、送るのは後にしましょうっ！
朋,うーん……
ほたる,……
智絵里,……
朋,ま、それもそうね！
ほたる,よかった……
智絵里,よかった……
朋,じゃ、とりあえずは明日の仕事ね！荷物多くなっちゃうかもだけど、泊まりに必要なモノは持ってきて！
ほたる,は、はい……
朋,あたしはもう上がるわね！お疲れ様！
智絵里,お疲れ様でした……
ほたる,……
智絵里,……
ほたる,逆に私たちも同じパジャマを買う……？
智絵里,さ、さすがに……
朋,そろそろ着くわよ！
ほたる,駅からは少し歩くんですね
朋,いやあ、部屋を探すときにね？風水とか立地とかを考えて調べたんだけど、その結果として利便性が犠牲になったというか……
智絵里,朋さんらしいですねっ
朋,もちろん、今ならもっとまともな場所に住むわよ？あの時は占いに半分依存してたし……でもまあ、その時のあたしも大切な”あたし”だし、そう考えると昔の自分が選んだ部屋って見捨てられないのよね……
智絵里,占いへの依存がない人はレインボーのパジャマなんて買わな
ほたる,あっ横断歩道！！！！！！
朋,叫ぶほど！？
智絵里,セーフ……
ほたる,アウトでしたけど……
朋,というか智絵里ちゃん、さっき何か言いかけてなかっ
智絵里,あっ新幹線！！！！！！
朋,通ってないけど！？。ま、まあよくわかんないけど……着いたわよ！
ほたる,わあー
智絵里,わあー
朋,じゃ、カギ開けて……いらっしゃい！
智絵里,なんということでしょう……！
朋,いや、別にリフォームのお披露目とかじゃないんだけど。ここがあたしの部屋！
ほたる,！！！！！！！
智絵里,！！！！！！！
朋,？
ほたる,こ、これは……！！！
智絵里,カーテンは青で……棚は緑……
ほたる,机は白、座布団は赤、紫の本棚の中にカラフルな小物がたくさん……！
智絵里,は、はっきり言って……
ほたる智絵里,目が痛い……！！！！！
ほたる,え、ええっと……
朋,どう！？これならその日のラッキーカラーが何色でも対応できるわ！びっくりしたわよね？
智絵里,びっくりというか……はい……
朋,でも、最近はあんまり増やしてないの。アイドルになって、占いに頼りすぎるのはよくないって学んだからね！
智絵里,学んだ人はレインボーのパジャマなんて買わな
ほたる,あっ時差式信号機！！！！！！
朋,室内で！？。また智絵里ちゃんが何か言ってたような……
智絵里,だ、大丈夫です……
朋,そう？じゃ、今お茶出すから待っててね〜
ほたる,……
智絵里,……
ほたる,……どうぶつの森にこんな感じの家具シリーズありましたよね
智絵里,”カラフルな◯◯”シリーズだったような……
ほたる,……
智絵里,画像検索する方は今のうちにどうぞ……
ほたる,誰に言ってるんですか……。今日の朋さん、なんというか……いつもよりはしゃいでるというか……
智絵里,それだけ、楽しみにしてくれてたんだよね……
ほたる,はい……
智絵里,いつも……わたしたち2人でお泊まりしてて……
ほたる,朋さんのことばっかり話していますし、呼ぶのは悪いと思っていたんですが……
智絵里,でもこんなに……明らかにポンコ……お茶目になるくらい……
ほたる,それに比べて私たちは……やれ服がとか……やれ部屋がとか……
智絵里,……
ほたる,……
智絵里,恥ずかしい……ね
ほたる,……はい
智絵里,朋さんは……純粋に…ｸﾞｽｯ……楽しみにしてくれて……ｴｸﾞｯ
ほたる,私たちだって……ﾋｯｸ……楽しまなきゃなのに……ｸﾞｽｯ
智絵里,ごめんなさい……ｸﾞｽｯ
ほたる,本当に……ごめんなさい……ｸﾞｽｯ
朋,お待たせー！麦茶でいいわよね？いやー、最近暑くなってきちゃって
ほたる智絵里,と゛も゛さ゛ん゛〜〜〜〜〜！！！
朋,なんで泣いてるの！？！？！？。あっ！またケンカしたんでしょ！ダメじゃないの！
智絵里,……
朋,あれ？じゃあ、どこかぶつけた？
ほたる,……
朋,じ、じゃあどうして……
智絵里,……
ほたる,……
智絵里,……朋さん
朋,え？
ほたる,昨日見せてくださったパジャマなんですけど……
朋,ああ、あれ？待ってて！そこのクローゼットに
ほたる智絵里,あれ、死ぬほどダサいです
朋,えええええ！？！？！？。え！？ど、どうしたのいきなり
ほたる,正直、どうかと思います
智絵里,アイドルとか関係なく、女性としてあんまりです
ほたる,サイトの読み込みミスで色が狂ったのかと思いました
智絵里,スターを取って無敵になったんですか？
朋,まって！まって！！！。急にどうしたの！？おかしくない！？
ほたる,ごめんなさい……！でもこれと向き合わなきゃ、私たちは前に進めないんです……！
朋,いつからそんな重い話に！？
智絵里,落ちてても拾いません
朋,もうやめて！！！！！。えっと……、確認なんだけど……このパジャマって本当にダサ
ほたる智絵里,ダサいです
朋,食いぎみに
ほたる,朋さんの想いはわかります。その日のラッキーカラーは起きてからわかるから、日付が変わってから起きるまではその色を身につけられない！と考えたんですよね？
朋,うん……
智絵里,冷静に考えてください
朋,え？
智絵里,別にレインボーのナイトキャップとか、レインボーのタオルを頭の下に引くとかでも平気ですよね？
朋,た、確かに……
ほたる,全身をレインボーにする必要はありますか？
朋,ないです……
智絵里,スターを取って無敵になったんですか？
朋,もうそれは聞いたから！！！。そっか……これ、ダサいのかあ……運気上がりそうなのに……
ほたる,と、朋さん……
智絵里,だ、大丈夫ですっ！部屋もダサいですっ！
朋,ぐはぁ！！！！！
ほたる,朋さん！！！！！
朋,へ、部屋も……！？
ほたる,どうしてこの流れで部屋はセーフだと思ったのでしょうか……
朋,こんなに運気が上昇しそうなのに……！？
智絵里,運気以外の評価軸はないんですか……？
朋,うぅ……そこまで言わなくても……
智絵里,と、朋さんっ！
朋,は、はいっ！
智絵里,わたしたちは、朋さんのことを想って……！断腸の思いで伝えているんです……！
ほたる,はい……例えばアイドルの寝起き大公開！というコーナーがあったとして、こんなカラフルなパジャマ姿が映ったらどう思いますか？
朋,運気上がりそうだなって……
ほたる,ブレないですね……。わかりました。では、他の方に聞いてみましょう
朋,他の？
ほたる,はい。昨日見せていただいたサイトの画像を海さんにこれ買おうかと思うんだけど、どうかな？と送ってみましょう
朋,わ、わかった……でも海ちゃんならおー、いいじゃん！って返してくれると思うけど……
ほたる,いえ、恐らく正気か？と返ってきます
朋,酷くない！？。あ！返ってきた！。もーーー！！！！！。わかったわよ……認めるわよ……
智絵里,ごめんなさい……
朋,ううん、2人はあたしのために言ってくれたんだもんね？むしろお礼を言わなきゃ
ほたる,フォローになるかはわかりませんが、部屋自体は慣れてしまえばそこまでおかしくないですし、朋さんのキャラにも合っていて、しかも話題が広がりやすいので、悪くないと思いますよ……？
朋,ありがと……
智絵里,では！お泊り会を開始しましょうっ！！！
朋,流石にそんなテンションではないわよ！！！。じゃあ、そろそろ寝よっか？
智絵里,え？お風呂シーン？カットですよっ！
ほたる,誰に言ってるんでしょうか……
朋,でもごめん！ベッド1つと来客用の布団1枚しかないの……。じゃんけんで勝った方、ベッド使っていいわよ。負けた方は悪いけど、あたしと一緒に布団で寝ましょ？
智絵里,……
ほたる,……
朋,えっなにこの空気
ほたる,”負けるが勝ち”だなんて、私のためのルールですね……
智絵里,運が悪い人って、”こういう時に限って勝っちゃう”ものなんだよね……
ほたる,智絵里さん、年上ですから、ベッドでゆっくり眠るといいんじゃないですか……？
智絵里,ほたるちゃんこそ、永遠に寝ててもいいんだよ……？
朋,ストップ！！！煽らないの！！！。ケンカするなら2人でベッドで寝て！あたしは1人で寝るから！
ほたる,そんな……
智絵里,ほたるちゃんのせいで……
ほたる,智絵里さんがはしゃぐから……
朋,はいはい！終わり終わり！。じゃ、電気消すわよ！
智絵里,はーい
ほたる,はーい
朋,おやすみー
智絵里ほたる,おやすみなさい……
ほたる,……
智絵里,……
ほたる,……
智絵里,……
ほたる,あーベッドから落ちちゃったー棒
智絵里,あーベッドから落ちちゃったー棒
朋,なんで！？。そ、そんなに2人とも寝相悪かったっけ！？ってかほたるちゃんが智絵里ちゃんの下敷きになってる！？
ほたる,智絵里さん……ちゃんとご飯食べてますか？
朋,潰されてなお健康の心配を！？
智絵里,ほたるちゃんは何を食べたらそうなるの？
朋,それはちょっとあたしも気になる
ほたる,では、おやすみなさい
智絵里,おやすみなさいっ
朋,えっいつの間にか左右挟まれてるんだけど
ほたる,ZZZ……
智絵里,ZZZ……
朋,……。……ま、いっか。おやすみ、2人とも。2人とも、忘れ物はない？
智絵里,はいっ！
ほたる,大丈夫です
朋,じゃ、行きましょ！前にも言ったけど、5分もかからないからね
智絵里,5分くらいなら、ほたるちゃんに何か不運が起きることもないですよねっ
朋,積極的にフラグを立てていく
ほたる,そうですよね
智絵里,早速植木鉢が！！！
朋,ほたるちゃん！！！！
ほたる,いえ、当たり所が良かったので……
智絵里,角から急にトラックが！！！
朋,ほたるちゃん！！！！
ほたる,これくらいなら大したダメージでは……
智絵里,空からヘリコプターが！！！
朋,ほたるちゃん！！！！！
ほたる,まあ、見た目ほど痛くはないでーーーーー
智絵里,なぜか開いていたマンホールに落ちていきましたっ！！！
朋,ほたるちゃん！！！！！！
