卯月担当プロデューサー,以下卯月P
沙里奈担当プロデューサー,以下沙里奈P
雫担当プロデューサー,以下雫P
里美担当プロデューサー,以下里美P
ちひろ,帰れ～！お前らどうせ胸なんだろ！どうせティンティンに来て勃起したんだろクソがっ！！！
沙里奈P,ちひろさんが荒れてる…
雫P,こわいな～…カルシウム不足ですか？
里美P,大丈夫ですか？甘いもの食べます？
ちひろ,うるせ～！！！。はぁ…はあ…どいつもこいつも…しばらく刺繍封筒出してやらないんだから！
梨沙担当プロデューサー,以下梨沙P
ちひろ,梨沙Pさん！やった！梨沙Pさん来た！これで勝つる！
梨沙P,ちひろさんどうしたんですか？そんなに喜んで
ちひろ,梨沙Pさん聞いてくださいよ！実は…
梨沙P,成程、皆が自分の性癖に基いてプロデュースしていて、更に一部アイドルはプロデューサーをそのまま落とそうとしていると…
ちひろ,梨沙Pさんに限ってはそんなことありませんよね？
梨沙P,当然じゃないですか、あの子はせいぜい生意気な親戚の子ってくらいですね…間違っても勃起なんてしませんよ
ちひろ,さすがです！事務所の良心！無料10連で毎日刺繍封筒出しちゃいます！
梨沙P,ははは、プロデューサーとして当然の事ですよ
ちひろ,ちなみに梨沙ちゃんとはどうやって出会ったんです？
梨沙P,そうですねぇ…。昔ちょっとお洒落なショッピングセンターで色々物色していたんですが、そこで親子で歩いている梨沙と梨沙のお父さんに出会ったんですよ
ちひろ,ふむふむ
梨沙P,一目見た時すぐに気が付きましたね、あれがティンと来たって奴なんだと思います
ちひろ,おお…！ついにまともなアイドルとの出会いが聞けそうです！
梨沙P,あの見事な筋肉…がっしりとした胸板…
ちひろ,…ん？
梨沙P,それらを見た時下品なんですがその…勃起しちゃいましてね…ふふっ
ちひろ,
梨沙P,ということで将を射んと欲すればまず馬から、梨沙をプロデュースしながら彼とお近づきに…って、ちひろさんどうかしました？
ちひろ,…。……。………梨沙Pさん
梨沙P,はい？
ちひろ,くわしくお願いします
