氷川紗夜,嫌な夢を見ていた。真っ暗な夢だった
日菜,心境の変化……
紗夜,流石に泣いてしまうほど嫌な夢を見たから、とは恥ずかしくて言えないわね
日菜,心境の変化ってなんだろ……？
紗夜,もしかしたら長くは続かないかもしれないから、あなたには一番に伝えようと思ったのよ
日菜,長くは続かない……
紗夜,またあの夢を見たらこういう気持ちになるだろうけど、人間は得てして忘れやすい生き物。日菜に対して素直になるのはなかなか難しいし、勢いがないと踏ん切りがつかないのよね
日菜,心境の変化……長くは続かない……ま、まさか……？。あ、あの、おねーちゃん？
紗夜,どうしたの？
日菜,もしかして……風邪とかひいてない……？
紗夜,……別に、ひいてないわよ。そういえばいつも日菜は私のことをこうやって考えてくれていたわね。それなのに、こんなに優しいこの子を私はいつも冷たくあしらって……自分が情けなくて涙が出てきそうだわ
日菜,なんか悔しさと申し訳なさが一緒になった顔に……？少し涙ぐんでるし……もしかして……！？
紗夜,あ、本当に涙が……いけないわね。これじゃあ日菜に余計な心配をかけるだけね
日菜,あの、おねーちゃ――
紗夜,とにかく、言いたいことはそれだけよ。それじゃあ
日菜,……行っちゃった。…………。冗談にも真面目な反応して、あたしが話すと嫌がるのに自分から昔のことまで話してて……。それに心境の変化があって長くは続かないって……。もしかしておねーちゃん……何かの病気なんじゃ……！？
湊友希那,悪いわね、燐子。せっかくの休日なのにワガママを聞いてもらって
白金燐子,いえ……友希那さんが……衣装関係のことに興味を持ってくれるのは……嬉しいですから……
友希那,そう言ってくれると助かるわ。……あら？
燐子,友希那さん……？どうかしましたか……？
友希那,いえ、あそこの電柱の影にいるのは……
日菜,…………
燐子,氷川さんの妹さん……ですね……
友希那,何やってるのかしらね
燐子,さぁ……？
日菜,……うん？
燐子,あ……目が合いましたね……
友希那,そうね。こんにちは、日菜
日菜,しーっ
燐子,え……
日菜,ちょうどよかった。友希那ちゃん、燐子ちゃん、ちょっとあたしに付き合ってくれない？
友希那,紗夜の様子が変？
日菜,そうなんだ。今日の朝ね、珍しくあたしの部屋に来て、急に真面目な顔でお礼なんて言ってきてさ
燐子,それに……何か不都合があるんですか……？
日菜,うんとね、嬉しいは嬉しいんだよ？でも、おねーちゃんが心境の変化とか、長くは続かないって言ってて……もしかしたらどこか調子が悪いのかなって
友希那,……確かにそう聞くとちょっと怖いわね。それで、紗夜におかしなところがないかって尾行しているのね
日菜,うん
紗夜,…………
日菜,おねーちゃん、ロゼリアで何か変わったこととかなかった？
燐子,そういえば氷川さん……昨日は学校帰りに病院に行くって……言ってましたね……
日菜,びょ、病院！？あたし、そんな話お母さんからも聞いてない！
友希那,日菜、声が大きいわ。紗夜に気付かれるわよ
日菜,っとと……
燐子,でもそれは――
友希那,だけど、日菜の憶測に信憑性が出てきたわね
日菜,やっぱりおねーちゃん、どこか具合が悪いんだ……もしかしたら余命何か月とか……？そんなのやだよぉ……
燐子,え……あの……
友希那,落ち着きなさい。流石に紗夜だって、そんなに重い症状なら日菜にも私たちにもそう伝えるハズよ
日菜,でも……
友希那,大丈夫。紗夜は平気よ。きっとすぐに良くなる。それまであなたや私たちに心配をかけまいとしてるのよ。日菜なら分かるでしょう？
日菜,うん……おねーちゃん、強くて優しいから……きっと１人で全部抱えて頑張ると思う
燐子,え、えっと……。え、えっと……
友希那,私たちに今できることは見守ることだけ。だけど、きっとそれが一番大切なのよ。紗夜の心意気を汲んで、私たちは陰ながらサポートに徹しましょう
日菜,うん……分かった……！
燐子,あの……
友希那,燐子
燐子,は、はい……！？
友希那,ごめんなさい、新しいステージ衣装の参考に服を見に行くのはキャンセルよ。今日は日菜と一緒に紗夜のことを見守りましょう
燐子,……はい……
日菜,ありがとう、友希那ちゃん、燐子ちゃん。おねーちゃん、２人みたいな友達がいてきっとすごい幸せ者だよ
燐子,ど、どうしよう……ギターの弾きすぎで軽い腱鞘炎になっただけって……言うタイミングが……
紗夜,まだ左腕が少し痛むわね……
日菜,！？おねーちゃんが左手をジッと見てる……！？
友希那,どうしたの？そんなにおかしな行動でもないでしょう？
日菜,で、でもアレって確か……手鏡って言うんだよね……？
友希那,てかがみ？手鏡って身支度を整える時に使うものじゃないかしら
燐子,いえ……それではないかと……。死期が近い人間は……何故か……自分の掌や手の甲を見ることが多くなるそうで……
日菜,そう、それっ！病気でもうすぐ亡くなりそうな人とか、まるで手鏡を覗くみたいに自分の手をジッと見つめてるんだってパスパレのロケで聞いて……！
友希那,まさか、本当に……？
日菜,おねーちゃん……そんなのやだよ……
燐子,…………。あ……このタイミングできっと腱鞘炎が治ってないんですよって……言えばよかったんだ……
友希那,私たちが思うよりも深刻そうね……
日菜,だから朝にあんなことを……。そんなお礼なんていらないよ、あたしはおねーちゃんが元気ならそれだけでいいのに……
友希那,紗夜……
燐子,どうしよう……もう言えそうにない……
紗夜,無理をして痛みが長引けばそれだけロゼリアにも影響が及ぶでしょうし……。ギターが弾けないのはもどかしいけれど、休息も練習だと思って我慢するしかないわね。こんなことじゃ、いつになったら日菜の隣でギターを奏でられることやら……。はぁ……
友希那,……今、ものすごく深いため息を吐いていたわね
日菜,しかもすごい暗い顔してる……
紗夜,っと、いけない。こういう時に深く考えすぎてドツボにハマるのは私の悪い癖ね。悪い方へ物事を考えると肩に余計な力が入るわ。何か別のことを考えましょう。例えば羽沢さんが可愛かった時のこととか……。……ふふ
日菜,今度は穏やかに笑ってる……
友希那,いけないわ。きっと自分の体調のことを考えて不安定になっているのよ
燐子,…………。あの表情は……羽沢さんのことを考えてる時の顔のような気が……
友希那,あら、あれは……？
紗夜,おや、宇田川さん
宇田川あこ,あ、紗夜さん！こんにちは！
宇田川巴,どうも、紗夜さん
紗夜,ええ、こんにちは。２人でおでかけですか？
日菜,あこちゃんと巴ちゃんだ
友希那,……これはマズいんじゃないかしら
燐子,え……？
友希那,宇田川さんとあこ。いつも仲睦まじい姉妹の様子を見て、それに自分と日菜を重ねてしまうんじゃないかしら
日菜,あたしとおねーちゃんをあの２人に？
友希那,ええ。ほら、前はあなたたち、色々あったでしょう？
日菜,うん。でもそれはもう昔のことだよ
友希那,だけど死期が近い人はやたらと昔のことを回想すると聞いたことがあるわ。もしかしたら、そのことを鮮明に思い出してなおさら不安定になるんじゃ――
燐子,あ……氷川さん、あこちゃんを抱きしめてますね……
日菜,えぇ！？あこちゃんずるい！
友希那,やっぱり……
燐子,いいなぁ……わたしもあこちゃん……抱きしめたいなぁ……
日菜,あ、あこちゃんと巴ちゃん、こっちに来るよ！
友希那,２人に話を聞いてみましょう
巴,何だったんだろうな、紗夜さん？
あこ,んー、紗夜さんのことだから何か難しいこと考えてるのかなぁ？
友希那,こんにちは、宇田川さん、あこ
燐子,こんにちは……
あこ,あ、今度は友希那さんにりんりん！こんにちは！
日菜,やっほー
巴,こんにちは。日菜先輩も一緒って、なんだか珍しい組み合わせですね
友希那,ええ、ちょっとね
日菜,それよりあこちゃん！今おねーちゃんとお話してたよね！？どんなこと話してたの！？おねーちゃんはどんな顔してた！？あとおねーちゃんに抱きしめられてどうだった！？
あこ,え！？えぇっと……
友希那,日菜、気持ちは分かるけど落ち着きなさい。そんなに一気に聞かれても困るでしょう
日菜,あ、ごめんね？
あこ,う、ううん……
巴,どうしたんですか、そんなすごい剣幕で
友希那,私が代わりに話すわね。実は……。……という訳なの
巴,なるほど、紗夜さんの様子がおかしいんですね
あこ,え、さ、紗夜さん死んじゃうんですか……！？
友希那,落ち着きなさい。まだそうと決まった訳じゃないわ
燐子,涙目で心配顔になってるあこちゃん……可愛いなぁ……
日菜,だからおねーちゃんとどんなこと話したか教えて欲しいんだ
巴,紗夜さんと話したこと……えーっと、まず普通に世間話してて、それから急に昔の話になりましたね
友希那,昔の話？
あこ,うん……バンドを組んでからすぐの時に、紗夜さんに怒鳴られたこととかの話になって……
巴,そしたら、すごい真面目な顔であの時は本当にごめんなさい。今の私があるのは、それでも変わらずに接してくれたあなたのおかげよみたいなこと言って……
あこ,あこはそんな昔のことはもう全然気にしてないですよ、また一緒にゲームとかやりましょう……って言ったら、紗夜さん、急にあこのことぎゅーってしてきたんだ
燐子,うらやましい……
あこ,りんりん？何か言った？
燐子,ううん……なんでもないよ、あこちゃん
巴,そんで、紗夜さん行くとこがあるらしくて、そのまま別れてきたって感じですかね
日菜,…………
友希那,…………
巴,……あれ、２人とも、どうかしました？
日菜,これって……
友希那,まるで今生の別れみたいね……
日菜,や、やっぱりおねーちゃん、どこか具合が良くないんだ……！！
巴,え、あの……そういう感じじゃなかったっすけど……
あこ,り、りんりん！紗夜さん、大丈夫だよね！？
燐子,大丈夫だよ……心配することは何もないからね……
日菜,ど、ど、どうしよう、友希那ちゃん！？
友希那,落ち着きなさい。まだよ、まだそうと決まったわけじゃないわ。もう少し様子を窺いましょう
日菜,あっ、いけない！おねーちゃん見失っちゃう！
友希那,今、紗夜を見失っては全てが手遅れになるかもしれないわね。急いで後を追いましょう
日菜,うん！それじゃあね、あこちゃん、巴ちゃん！さぁ行こ、燐子ちゃん！
燐子,ふ、２人とも、待ってください……もう少しあこちゃんを……！
巴,……なんだったんだ？
あこ,おねーちゃん……紗夜さん、大丈夫かな……？
巴,大丈夫だよ、そうそう簡単に人は死なないさ。安心しろって。紗夜さんも普通に元気そうだったろ？
あこ,うん……でも心配だよ……
巴,あこは優しいなぁ
日菜,おねーちゃん、コンビニに入って行ったね……
友希那,流石に中に入ると尾行しているのがバレるわ。ここで紗夜が出てくるのを待ちましょう
日菜,うん
燐子,…………
日菜,燐子ちゃん、なんだかボーっとしてるけど大丈夫？
友希那,きっと紗夜のことを考えてるのよ。今はそっとしておきましょう
燐子,涙目で頭撫でられるあこちゃん……可愛かったなぁ……
日菜,あっ、おねーちゃん出てきた！手にビニール袋持ってるけど……何を買ったのかな
友希那,調べてみましょう
日菜,どうやって？
友希那,今日、そこのコンビニでリサがバイトなのよ。電話してみるわ。ごめんなさい、ちょっと火急の用事があって
日菜,リサちー出るの早くない？
友希那,いつもこんな感じよ。いえ、それはこっちの話。ところで、いま紗夜が買い物していったわよね？。ええ。なるほど。それと、何かリサにおかしなことを言ってなかったかしら。……お礼っていうと、いつもありがとうとか、あなたのおかげで今の私があるとか、そういうこと？。そう……そう、なのね……。分かったわ。その時までに、私も心の準備をしておくわね。……今度話すわ。忙しいところ悪かったわね、リサ。ならよかった。バイト、頑張って。……やっぱり、リサもあこみたいにお礼を言われたみたいね
日菜,それって……お世話になった人に別れの挨拶をしてるのかな……？
友希那,礼儀正しい紗夜のことだから……いつ会えなくなってもいいように、と考えている可能性はあるわね
日菜,そんな……じゃあやっぱり……
友希那,けど、紗夜は栄養ドリンクとのど飴を買っていったとリサは言っていたわ。健康に気を配っているということは、きっとあの子もまだ諦めていないのよ。だから日菜、そんな暗い顔をしないの
日菜,……うん。一番辛いのはおねーちゃんだもんね。あたしがこんな落ち込んでちゃダメだよね！
友希那,その通りよ。さぁ、紗夜を追いましょう
日菜,うん！
友希那,燐子
燐子,……はっ……はい……？
友希那,きっと、あとで紗夜から私たちにも連絡が来るわ。一応覚悟をしておきましょう
燐子,…………。……何の話だろう……？。あこちゃんのこと考えてて……全然話を聞いてなかった……
友希那,簡単には頷けないわよね。気持ちは分かるわ。でも……ちゃんと考えておいて
燐子,……はい。分からないけど……とりあえず頷いておこう……
友希那,そうよね、紗夜だもの。ここへは絶対に来るでしょう
燐子,そうですね……氷川さんですからね……
日菜,おねーちゃん、つぐちゃんのこと大好きだもんね。ちょっと妬いちゃうよ
友希那,今回も中には入れないわね。ここは言わば紗夜のテリトリーなんだし、入ったらすぐに気付かれるわ
日菜,あ、でもおねーちゃん、窓際の席に座ったみたいだからここからでも少し見えるよ
燐子,そう……みたいですね……
紗夜,…………
羽沢つぐみ,…………
友希那,紗夜……？
日菜,あれ、今つぐちゃんに手渡したのって……さっきコンビニで買ったやつ……？
燐子,氷川さん……コンビニで何を買ったんだろう……
友希那,…………
日菜,…………
燐子,…………
紗夜,…………
つぐみ,…………
友希那,羽沢さんを抱擁してるわね……
日菜,あこちゃんの時と同じだね……
燐子,あこちゃん……可愛かったなぁ……
友希那,……あの栄養ドリンクとのど飴は羽沢さんの為のものだったのね
日菜,つぐちゃんは自分みたいにならないで、ってこと……なのかな
燐子,髪もすごく柔らかくて……気持ちよかったなぁ……
友希那,そう考えるのが自然……ね
日菜,…………
友希那,…………。……紗夜からメッセージよ
日菜,…………
友希那,私たちも……覚悟を決めましょう
日菜,……うん
燐子,わたしも……あこちゃんを抱きしめてみたいなぁ……
紗夜,こんにちは
友希那,……来たわね、紗夜
燐子,こ、こんにちは……氷川さん……
日菜,おねーちゃん……
紗夜,日菜まで一緒にいるなんて珍しいわね
日菜,……うん
紗夜,？どうしたの、そんなに暗い顔をして
友希那,……紗夜
紗夜,はい、なんでしょうか
友希那,私たちは仲間……いえ、親友と言ったって過言じゃないわよね？
紗夜,ええ、私もロゼリアのみなさんには何度お礼を言っても足りないくらい助けられましたし、私も湊さんや白金さんたちのことをかけがえのない友だと思っています。私と出会ってくれて、そしていつも導いてくれてありがとうございます
友希那,そう。それなら……私たちの間につまらない隠し事なんていらないわよね？
紗夜,湊さん……？
燐子,あ……そういえば……氷川さんが腱鞘炎なの……結局友希那さんに言ってなかった……
友希那,隠していることがあるでしょう。正直に言って
紗夜,…………。隠していること……腱鞘炎のことかしら？確かに白金さんには知られてしまったけど、他のメンバーには心配をかけさせないように、黙ったままさっさと治そうと思っていたわ。よく分かったわね、湊さん。流石、ロゼリアのことをよく見ている
友希那,紗夜
紗夜,ええ、ごめんなさい。余計な心配を抱かせまいと少し意地を張っていました
日菜,お、おねーちゃん……っ
友希那,そう……やっぱりそうなのね……
紗夜,ですが、そこまで気にしないで平気です。大したことでもないので
日菜,なんでそんなこと言うの！？ふざけないでよ、おねーちゃん！！
友希那,言葉を選びなさい。あなたは、あなたが思っている以上に……私たちにとって大切な存在なのよ
紗夜,え、あ、ありがとうございます……？。湊さんが怒るのはまだ分かるけれど、どうして日菜まで怒っているのかしら
燐子,あああ……わたしが言えなかったせいで……話がすれ違ってる……
紗夜,白金さんはなんだか慌てているし……どうしたのかしらね？
友希那,病院は……お医者様はなんて？
紗夜,特に何も……しばらく安静にしていてください、くらいでしょうか
友希那,……もう匙を投げられるくらいに……
日菜,おねーちゃん……どうしてそんなになるまで黙ってたの……？
紗夜,まぁ、その……私にもプライドがあるから、かしら
日菜,やめてよ！こういう時くらいあたしを頼ってよ！あたしってそんなに頼りない！？
紗夜,えっ？
日菜,昔のことがまだ引っかかってるって言うなら、あたしは土下座だってなんだってするよ！？だから、もっともっと頼ってよ……１人で全部抱えないで、あたしにも頼ってよ……
紗夜,日菜……。……確かにそうね。前に比べればずっとマシだけど、私はまだまだ日菜に対しての嫉妬や対抗心があるわ。必要以上に甘える、というのは論外だけど……変に意地を張り続けるのも違うわね。そうね。朝に言った通り、これからはもっと日菜を頼るようにするわ
日菜,絶対だよ……あたしは最期までおねーちゃんの妹なんだから……一番近くにいるんだからね……
紗夜,もう、大げさね。そんな泣きそうな顔をしないの
日菜,大げさじゃないもん……
紗夜,はいはい。まったく、仕方のない子ね
燐子,……どうしようどうしよう……どんどん話がすれ違っていく……
友希那,紗夜……ロゼリアの練習には……
紗夜,大丈夫ですよ、湊さん。これも私の自己管理がなっていなかったせいですから、気にしないで下さい
友希那,……気にするわよ。あなたの貴重な時間は、あなた自身がしっかり考えて、やりたいことに使って頂戴
紗夜,はぁ。遠回しに無理はするなと言ってくれてるのかしら……。やっぱり今は怪我を治すことに専念した方がいいわね
友希那,あことリサには私から伝えておくわ。だからこっちは気にしないで
紗夜,分かりました
友希那,……でも、ワガママを言わせてもらえるなら……元気なうちに……私たちとたくさん……会ってほしい
紗夜,会う？
友希那,なんだっていい。なんだっていいのよ。紗夜がしたいことを言ってくれればみんなでそれをやるから、紗夜との時間を……私たちにも頂戴
紗夜,……はい？
友希那,後回しでいいの。優先順位なんて最後でいいから。せめて……最期は笑い合ってさよならがしたいから……
燐子,……友希那さんが……泣きそうになってる……。ざ、罪悪感で胸が張り裂けそう……
紗夜,えぇと……
友希那,……言いたいことはまだまだたくさんあるけど……まだ時間は残されているもの。次に取っておくわ。でも、これだけは言わせて。……紗夜。あなたに出会えて、一緒に音楽を奏でられたことは……私の一生の誇りよ
紗夜,あ、ありがとうございます……？。なんだか日菜も湊さんも様子がおかしいわね。本当にどうしたのかしら？
燐子,これ……次はわたしが氷川さんに何か言わなくちゃ……いけないんだよね……
紗夜,白金さんは白金さんでさっきからずっとそわそわしているし……
燐子,や、やっぱり……正直に言った方が……いいよね……。あ、あの……氷川さん……その……
紗夜,はい、なんでしょう
燐子,…………
紗夜,白金さん？どうかしましたか？
燐子,……い、いざとなると……ものすごく言い辛い……。苦しいから逃げるのではない。逃げるから苦しくなるのだとは……昔の心理学者の言葉ですが……。まさに今が……そういう状況です……
友希那,燐子……無理をする必要はないわ。さっき言った通り、これが今生の別れじゃないんだから。また次の機会があるもの。キチンと言葉を整理して、悔いのないようにするのが一番よ
燐子,あああ……泣きそうな友希那さんから……そういう優しい言葉をかけられるほど……言い辛くなっていく……。い、いえ……！ここで言わないと……ダメです……！。そう……ここで言わなくちゃ……この先もっと言い辛くなって、絶対に言えないから……！
友希那,……分かったわ。頑張って、燐子
燐子,おねがいします、友希那さん……今だけはそんな顔でわたしを応援しないで下さい……。勇気が……なけなしの勇気が萎んでいってしまいます……。すー、はー……。とにかく深呼吸して……よ、よし……一気に言おう……！。ひっ、氷川さん……！
紗夜,はい
燐子,あの、その……えっと……ごっ、ごめんなさいっ……！
紗夜,何がですか？
燐子,氷川さんが腱鞘炎だって……言い出せませんでした……！
紗夜,……はい？
日菜,腱鞘炎……？
燐子,あの……昨日氷川さんが病院に行ったのは……ギターの弾きすぎで左腕が腱鞘炎になってるからで……。病気とか……余命幾ばくもないとか……全然っ……そういうのじゃないんです……！！
友希那,…………。えっ
紗夜,あの後、何度も頭を下げる白金さんから事の次第を説明された。あまりに素直だった私の様子がおかしくて日菜が後をつけていたこと、そこに白金さんと湊さんが鉢合わせたこと、そして昨日病院に行ったという話をしたこと……。あの夢のせいで私は会う人全員に改まってお礼を言っていたから、そこから湊さんが勘違いをしたらしかった。全部自分の勘違いだと知った湊さんは、
友希那,……私は悪くない。変なことばっかり言って回ってた紗夜が悪い
紗夜,と、顔を赤くさせながら拗ねたように言っていた
燐子,ご、ごめんなさい、友希那さん……言い出せなくて……
紗夜,白金さんは私たちにぺこぺこと頭を下げ続けていた
日菜,じゃあおねーちゃん、何ともないの……？よかったぁ、よかったよーっ！
紗夜,日菜はそう言って喜んでいた。えぇと……お騒がせしてすみませんでした。そして私は３人にそう謝った。……確かに急に改まってお礼を言われるだなんて、まるで死ぬ間際の人みたいだ。物事には順序があるだろうし、私ももう少し考えてお礼を言うべきだった。けれどどさくさで羽沢さんを抱擁できたことは間違いなく私の人生においてプラスだった。それだけは譲れない。譲る訳にはいかない。ともあれ、誤解が解けてからは４人で洋服を見て回った。ロゼリアの新しい衣装の参考、ということだったけど、まだまだ少し拗ねたような湊さんがいて、衣装関係になるとやや饒舌になる白金さんがいて、あんなことがあった後でもいつも通りに――いや、いつも以上に騒がしくじゃれついてくる日菜がいたから、段々そういう目的からは外れて、いつの間にかただ純粋に肩を並べて歩くことを楽しんでいた
友希那,……結局、新しい衣装の参考からはかけ離れたわね
燐子,でも……ちょっと楽しかったです……
紗夜,そうね。たまにはこういうのもいいんじゃないかしら
日菜,ん？今おねーちゃん、あたしとこういう風にデートしたいって言った？
紗夜,言ってないわよ。どんな耳をしてるのよ、あなたは
日菜,こんな耳だよ！
紗夜,分かったから耳を近づけてこないの。ちゃんと前を見て歩きなさい
日菜,はーい
燐子,……ふふ……
友希那,燐子？どうかしたの？
燐子,あ、いえ……やっぱり氷川さんは……お姉さんなんだなって……
日菜,そーだよ！おねーちゃんは世界で一番優しくてカッコよくて素敵なおねーちゃんなんだから！
紗夜,……やめなさい、湊さんや白金さんにそういうことを言うのは
日菜,あー、おねーちゃん照れてるね？
紗夜,からかわないの
日菜,あっはは～、ごめんごめん！
燐子,やっぱり……妹さんと一緒にいると……いつもと表情が違いますね……
友希那,ええ。いつもよりも表情豊かというか、少しだけ柔らかい雰囲気というか……宇田川さんもああいう感じになってたわね
燐子,……あ
紗夜,？白金さん、どうかしましたか？
燐子,そういえば……あこちゃんに説明してなかったなって……
日菜,あー、そういえば
友希那,……まぁ大丈夫でしょう
日菜,そーだね！友希那ちゃんみたいな早とちりはきっとしないよね！
友希那,……日菜、元はと言えばあなたが最初に言ったことでしょう？
日菜,でもでも、途中から友希那ちゃんがどんどん話進めてったじゃん！
友希那,だとしても、大概悪いのは発端となった人間よ。だからあなたと紗夜が悪いのであって私に非はない
日菜,えーっ！？それはないよ～！絶対友希那ちゃんにも責任あるからね！
燐子,また……同じことで言い合いしてますね……
紗夜,……そうね。夕陽に照らされる道を賑やかに歩いて家路を辿る。昨日までの私であればまったく気にも留めなかっただろうけど、今は少しだけ違った。朝に見た夢。曲がりなりにもお世話になった人へ伝えたお礼。羽沢さんの温もり。ちょっと変なシチュエーションではあったけど、日菜と湊さんから私に伝えられた言葉。きっと明日も当たり前のようにやってきて、こういう景色が当たり前に広がるんだろう。けど、何か一歩を踏み違えただけで、この当たり前は当たり前じゃなくなるのかもしれない。だから私はこの当たり前を大切にしたい。この日々を大事にして、生きていきたい。きっと、当たり前にやってくる明日なら生きたいなんて言わなかった。こういう風に思えるようになっただけでも、私はあの嫌な夢に感謝するべきなんだろう
日菜,ぜーったい友希那ちゃんのせいだから！おねーちゃんからも言ってあげてよ！
友希那,いいえ、日菜と紗夜のせいよ。紗夜から直々に妹へ言い聞かせなさい
燐子,どちらかというと……わたしのせいな気がしますけど……
紗夜,……まぁ、全員がほどほどに悪かった、ということで決着をつけましょうか
日菜,んー……おねーちゃんがそう言うならそれでいっか
友希那,そうね。決して私だけのせいじゃないものね。私だけのせいじゃ
燐子,友希那さん……その、本当にごめんなさい……
紗夜,連帯責任ですから、白金さんが謝る必要はありませんよ
燐子,はい……ありがとうございます……。……でも
紗夜,……でも？
燐子,あこちゃん……勘違いしてないといいんですけど……
リサ,いらっしゃいませー……って、なーんだあこじゃん
あこ,あ、リサ姉……
リサ,ん？どしたの、なんか元気ないけど
あこ,うん……あの、あのね……？
リサ,うん
あこ,紗夜さんが……死んじゃうかもしれないんだって……
リサ,えぇ？どうしたの急に？誰がそんなこと言ったのさ？
あこ,友希那さんが……
リサ,友希那が？あ、そういえば、さっき友希那から電話来た時に心の準備がどうとか言ってたっけ……。友希那がそんな冗談言う訳ないし……まさか……？
あこ,リ、リサ姉……やっぱり紗夜さん……そんなのやだよぉ……
リサ,お、落ち着こう、あこ！と、とにかく、バイト終わってからちょっと話しよ！
あこ,うん……ぐすっ
後日、同じような勘違いをしたリサ姉とあこちゃんに紗夜さんが詰め寄られ、友希那さんがまた,私のせいじゃない
