幼馴染(6),男くんだいすきー、えへへ
幼馴染(18),いまごろなにしてんのかなぁ。元気にやってんのかな。痛っ！ったー…なんでボールが…。ちょっと！気をつけなさ――――え？。嘘……なんでここに…？。あ、あんた。ここ入学してたの？。スポーツ推薦でもっと上いけたでしょ！？。なん…で？。テニ部があればどこでも良かった？！。……ならそれこそ推薦で都内の有名校でよくない？わっかんないなぁ。てかここテニサーしかないよ…。あんたばかでしょ。くすっ。そっかおばさん良くなったんだ。よかったね。でも部屋借りてるんだ？ふーんそっかぁ。えへへ。あんたひとりでよく戻ってこれたね。あ…一人じゃないか。何すっとぼけてんの。コレ、いるでしょ？かわいい彼女さん。知ってるんだからね。電話で声きいたし。幼馴染相手に隠し事しないでよ…。えﾞ……親戚の…かてい…きょうし……？。しかも叔母？！。ソ、そっかぁ。田舎に帰ってたんだもんね……ｱﾊﾊ。ん？ってことは、あんた彼女すらいないの？
幼馴染,なんだーー。そうなんだーーえへへへ。ねぇ、そういえばテニサー入るの？検討中？。まぁあんたの相手になりそうな先輩いなかったもんね。新歓コンパどうする、いく？あんたがいくならあたしも…。ば、バイト？へぇ新生活早速忙しくしてるんだ。履修登録した？まだ？よかったー。できればさ、おんなじ講義とろ！。ほら、いざとなったとき便利じゃん？。あんたこっちきたばっかだし、あたし以外に知り合いいないでしょ？。まっかせなさーい。あ、あたし元からこんな感じですぅ！久々だからって忘れてるな？。え？風邪！？ちがうちがう！。あー6限まであるとつかれたー。ねーこの後ご飯いかない？。えー女の子の誘いを断られるとは…。……もしかしてあんた節約中？あぁそっか一人暮らしだもんねえらいなぁ。あたし実家から通いだから通学に一時間半……。あたしもバイトして近くに下宿しようかなー。そうだ。部屋遊びに行っていい？。いいじゃーん。みたいなー。あ、わかった恥ずかしい物おいてあるんだ？くすっ。ほんとかなぁ？ないなら別にあたしを上げても問題なくない？。きまり！行こいこ。結構綺麗してるんだ…っていうか物が無い…。生活感なさすぎ。ふつー男子の部屋ってぐっちゃぐちゃじゃないの？。そういえば昔の家のあんたの部屋って……うーん割りと綺麗にしてたかも。ベッドの下とゴミ箱チェーック！うそうそなにマジになって焦ってんの。といいつつ好奇心はおさえられない。………。ねー、もうちょっと体に良いもん食べようよ何このゴミ。コンビニ弁当ばっかりやめよ？。これっぽっちも自炊とかしないわけ？。あーっ！ていうかなんか足りないと思ったら、洗濯機ないじゃんこの部屋！。コインランドリー？あきれた…それでよく自活っていえるね。そんなんだからお金に困って苦学生してんのよ。……。……ぁ、あのさ。たまには家事しにきてあげよっか？。迷惑じゃないならね！。……どう？。あたし一応、なんでもできるよ。ん？何これ…。あ、合鍵……ですか。それはちょっと…うーん、どうなんだろ…ｱﾊﾊ。も、もらっとく！。ふーごちそうさま。手料理なんてひさしぶりでしょ？。若いんだからしっかり栄養とれよー？。じゃ今日のところは帰るね。あしたは掃除機かけにくる！うん、ばいばい。パパママあのね。友達の家が学校のちかくで、たまに泊まっていい？。月曜の1限目とか、すごく朝早くて辛くて…さぼっちゃいそいになるし。ねっ！お願いたまにだから！。みてみてー注文した布団セット届いたー。いやいや、だって泊まるし。は？なんでダメなの？。合鍵ってこの部屋自由にしていいって意味じゃないの？。ははーん。さては照れてますな。部活一筋だった青少年がかわいい女の子と一つ屋根の下だもんねー。……なんか自分で言ってて恥ずかしくなっちゃった。うん、幼馴染だよね！友達友達！ただのルームメイト♪。だからあたしの荷物くらい置かせてね
智美,男くんと仲いいね。付き合ってんの？
幼馴染,んー別に
智美,うっそだぁ。四六時中一緒に見えますけどー？
幼馴染,そんなんじゃないってばぁ
智美,じゃ、あたし告っていい？
幼馴染,え？
智美,だってイケてるじゃん！高校の時テニスでインターハイ行ったんでしょ？
幼馴染,う、うん…
智美,今日晩ごはんさそってみよーっと♪。まさかのオッケーでちゃった♪
幼馴染,はぁ！？あ、そう…
智美,じゃあ行ってきまーす。大丈夫大丈夫。食べるだけだから
幼馴染,ただいまーって誰もいないし。つか人の部屋だし。あーあ。いまごろなにしてんのかなぁ。あいつってば智美にデレデレしてんのかなぁ。友子といい、智美といい、あいつモテるなぁ…。あーもう。関係ないじゃんあたし。……。布団いいにおい…あいつのにおいだ…えへへ。…//。な、なんかヘン夕イっぽいからやめとこ！掃除掃除！。晩ごはん…はひとりなんだよね。虚しい…。彼氏でもない男の部屋で一人ご飯って…。たべおわったら帰ろう…これじゃ都合の良いただ働き家政婦じゃん。あははー何期待してたんだろ。そうだよね…幼馴染なんて幼馴染でしかないよね。ばかだなぁあたし…。！。え？！だ、だれ？。あんた…帰ってくんの早くない…？。と、智美とご飯いったんじゃ。はぁ？ラーメン屋でささっと食ってきた？？。……あ、あきれた。ふつーさ、ファミリーレストランとかで深夜まで長話するもんじゃないの？それで…その流れで。な、なんでもない！。……え、まだお腹空いてるの？う、うん、ちょっとだけおかず残ってるよ！。あたためなおそうか！？うん！
智美,男くんってさ……すっごいずれてるよね
幼馴染,そう？
智美,あんたよくあんなのと一緒にいられるね
幼馴染,…まぁ、腐れ縁だし
智美,あれ無理だわ
幼馴染,ラーメン屋いったんだって？
智美,あれ？知ってるんだ？はぁ…プライベートでも連絡とりあう仲なのね。ふーん…
幼馴染,な、なにさ
智美,いいなーあたしも幼馴染の男がいて、むかえにこないかなー
幼馴染,あんた智美にふられたよ。ばっかでー。デートで女の子をラーメン屋つれてくなんてふつーしないから。レストランのあとは映画とかさーあるでしょ。え。デートのつもりじゃなかった？そ、そう…。もしかしてさ。誰に誘われてもついて行っちゃうの？。……そーゆーの尻軽って言うの知ってる？。じゃああたしが誘ってもくる？。んー、どこにしよっかな。考え中…カラオケ…うーん密室はやだよね。ボーリング…はあんた本気になってうざそう。あ、あのさ…ん、何？先に言って。……何このチケット。水…族館……？。おぼえてたんだ？。そ、そっか…おぼえてたんだね…えへへ。えへへ。行く！絶対行く！。こ、これって…デート…のお誘いなのかな…。…や、やるじゃん。うわ。顔赤っ。なるほどねぇ。いつ渡そうか迷ってたんでしょ？。えーわかるよ。何回も取り出そうとしたんでしょ。だってこのチケット…。くしゃくしゃじゃん…うふふ。日曜日、たのしみにしてるね！。……こない。また…なのかな。どうしてこうなるんだろ。電話しよ。……なんで出ないの。なんのために携帯もってんの。はー昨日泊まっておけばよかったかなぁ。でも家にしかかわいい服置いてないし…。！。もしもし……。あっ、はい。え…警察…。じ、事故……？。全治三ヶ月だって？もーびむくりしたよ。むぅ……いいかっこしぃなんだから。でも、子供無事でよかったね。さっき親御さんに会ったよ。すっごい感謝されて。ってあたし他人じゃん！。おばさん、お見舞いくるってさ会うの久しぶりー。お腹空いた？りんごでも向こうか。講義は大丈夫。智美もノート取るの手伝ってくれてる。まぁあんたなら杖ついてでもくるんだろーけど。もうしばらくは安静にしときなさいねー。あーん。…手、不便でしょ。食べさせてあげるから。幼馴染に遠慮すんな！
母親,無茶ばっかりして。びっくりしたわよ
幼馴染,おばさんご無沙汰してます
母親,えっと……
幼馴染,お、幼馴染の…
母親,あー！おっきくなったねぇ
幼馴染,えへへ
母親,……
幼馴染,？
母親,……あ、そっかぁ。それでこっちの大学いくって聞かなかったんだ
幼馴染,え？
母親,ま、無事そうでなにより。若いんだし骨折くらいすぐ治るすぐ治る！。じゃ息子のことよろしくね
幼馴染,えっ！？あ、はい…
母親,あんた。ちゃんとこの子に感謝してる？。また来るからね。変なことして愛想つかされんじゃないよ
幼馴染,あはは…さよなら。おばさん元気そうでよかった。はやく怪我なおしてアパート戻ろうね。あーん♪くすっ、おばさんの前じゃ流石に出来なかった。一応退院おめでと。けどギプスまだまだとれないし無茶しちゃだめだよ。車いすのる？。あたし押すよ？気にしないで、あんたの世話できるのあたししかいないじゃん。…こんなときくらい頼っていいんだよ。どうです。久しぶりの我が家ーって感じ？。あたしはちょこちょこ着て掃除したり泊まったりまぁいろいろ。座れる？手伝うね。えへへ。病院は退屈そうだったもんねぇ。やっとこさ自由だね。……あ、そういえば。お風呂…どうしよっか。病院では介助してくれてたんだよね？。あたし…やろうか？。恥ずかしい…よね。こんなとき気の置けない男の親友がいればねぇ。……ほんとに遠慮しなくていいよ。あたしそういうの気にしないから。困ったときはお互いさまじゃん。じゃあ頭だけ洗うね。体はその…片手動けばできるでしょ？。タオルまいた？入っていい？。……なんか久しぶりだね。七歳か八歳くらいまで、結構一緒に入ったりしてたような。……。ごしごし。ごしごし。かゆいとこない？。入院生活でちょっと髪伸びちゃったねぇ。あした切ってあげようか？。えー下手じゃないもん。やったことないけど、たぶん。ごしごし。ごしごし、わしやわしゃー♪。シャンプーしてもらうのってきもちいいよね。あ、ごめん目に入っちゃった？ごめんごめん。うー次は気をつける。流すねー。きれーなった。……さてと、体も洗っちゃおっかな。なーんちゃって。えぇ！？いいの！？。いや……で、でもあたし。あ、背中だけ。そうだよね。うん。じゃあ泡立てるね。……。手あったかいでしょ。洗うね。……。……。…な、なんか喋ってよ。気まずいじゃん…。か、感想？うーんと……ごつごつしてますね。背筋大事だもんね。さすが全国行っただけあるなぁ。つつー♪。あははっ！ごめーんいたずら。文字あてクーイズ。なんて書いたかあててみてね。まってまって考え中！。急かすな！うーんじゃあ。わ、わかっちゃった…？。ねぇ……はやく何書いたかあててみて…。…わかんないならもう一回かくよ。何回でも書くよ。わかったよね？。口に出して言ってみて。……うん。最初はスであってる。次は？言ってみて……。……惜しいね。こたえはスキーでした。伸ばし棒あったでしょー？。あははっ、なーに耳まで赤くして答えてんの！かわいーとこあるんだ。怪我なおったらスキー行こうよ。ね？。お風呂…ついでに入っちゃおうかなあたしも。だめ？だよね…恥ずかしいもんね。けどあたしもうどのみちびしょびしょだし、後で入り直すのめんどくさいからさ。少しの間目…つぶっててくれるかな…だめ？。すぐあらってでていくから。それにいまさら裸でどうこう言う仲じゃないじゃん？。…目つぶってるよね？。み、見ちゃダメだからね。見たら明日から手伝ってあげない。…。よし。もういいよ。じゃ。おさきに！。なんか柄にもなく大胆なことしちゃったよぉぉぉお。絶対ヘン夕イだとおもわれた…ひかれた！あああころしてくださいー。あたし…なんで最近舞い上がってるんだろ。これじゃ彼女じゃん！
智美,甲斐甲斐しいねぇ
幼馴染,うるさいな。こいつ効き手つかえないんだから仕方ないでしょ。周りの人が手伝ってあげないと
智美,じゃ手伝うのはあたしでもいいってこと！？。男くーん。たべさせてあげるよー。あーん
幼馴染,や、やめてよ！
智美,はい本性出た。くすくす。邪魔しないわよーっと
幼馴染,か、からかわれてる！？あたし迷惑かな？。いいの？迷惑じゃないなら手伝う…あーん
母親,あら。男の子の一人暮らしにしては結構綺麗じゃない
幼馴染,と、時々掃除に来てますので。あんまりにもだらしないものですから
母親,ふぅーん。食器おおいね
幼馴染,！ええ、えっとそれは…来客用…だよね
母親,誤魔化さなくていいのに。たすかるわぁ。こんなしっかりした娘がついてくれてるなら、安心できちゃう。もう胃袋もがっちりつかまれてるの？
幼馴染,そ、そんなんじゃないですってばぁ！//
幼馴染(19),ようやく足の方も治ってよかったね。あーあもう雪解けの季節かぁ。スキーいけなかったねぇ。また来年かな。体の具合どう？かなり鈍ってる？。ん？何が残念なの。お風呂……？ば、ばかぁ！。なんで快気祝いでそういうこというかなー
幼馴染,お風呂くらい…入ってあげるけども…。やっ、いまのうそ！。はいるわけないじゃん！。もうすぐ20歳だよ！？ないないっ！。こらーもう一回骨おろうとするなー。やっぱりうれしいもんなの？。じゃ、じゃあもうお世話いらないしあたし帰るね。ばいばい。なに？。あんまり人に頼ってちゃ堕落するよー。！？//。な、なに…？。びっくりするじゃん…。は、離してよ。……っ。なに？苦しいよ…。なんか言いなよ…。ねぇ……終電なくなるまで、こうしてて。ふぁぁ…結局泊まっちゃった…。くふ。おはよ。朝ごはんつくるね。いつものことだから気にしないで。そうだ。せっかくだから今日朝からどこかいこっか。どこ行く？。やっぱりあそこ？だよね。あんたと入り口まで到達したのはじめて……。水族館だけじゃなくて、パークの方も入れるチケット買お。魚見るだけだとあんた飽きるでしょ？。あとまだあんまし歩けないだろうし、休憩しながらにしようよ。うおー。でっか…。みて！これなんで他のお魚食べられないの！？。ねーこの魚キモくない？あんたの寝顔みたいな顔してる。タコみてたらたこ焼きたべたくなってきちゃったな。みてみてペンギン～♪。かわいすぎ！行進してる！。一匹くらい持って帰っちゃだめかなぁ！？。見所満載だったね。年甲斐もなくはしゃいじゃった。だ、だって…。ようやく一緒にこれたんだもん…。…どうしたの？ちょっと疲れた？。ご、ごめん、怪我明けにこんなに歩かせてきついよね。パークの方にベンチとか芝生とかあるから休憩しよ。ぽかぽかしててきもちー。お昼にしよっか。お弁当。じゃーん。あんたの好きなおかずばっかりにしてみた。うれしい？お祝いだからね。いっぱい食べてね。あーん……はもうしなくていいんだった//。ごめん…ここ数ヶ月の癖で…。えっ…いいの？うん…じゃあ……あーん。あたしにもしてくれる？。あーん。ん～おいし～。自画自賛。あんたにしてもらうのはじめて…えへへ。これは……デートみたいだね。って…デート…だったね。そっかようやく……ようやくデートできたんだ。長かったね…。…ご、ごめ。なんか…わかんないけど、涙が。おかしいね。こんなに嬉しいのに。……ねぇ。ちょっとだけ背中むいてくれる？。文字書くからあててみて…答えるチャンスは一回だけ。……。…な、なんでしょう//。……うん。正解だよ。今度は…伸ばし棒なしだから。好きだよ。ずっと、側にいたいな
友子(22),あら？懐かしい。手紙送ってくるなんてなんだろ。招待状？。……へぇ！そっか。そっかそっかぁ。よかったね…。慶んで出席…っと♪
