承太郎,オラァッ！
DIO,ハエだ、空間にハエが飛んで...エジプト、それもアスワン付近ではないかッ！。何ィ！？奴は今エジプトにいるだとォ！？。.........。便利な世の中だ。これが飛行機か、中々のパワーとスピードだ。このDI
CA,お客様、機内ではお静かに...。そのままでございますお客様
民衆,バクシーシ！バクシーシ
あずさ,あらあら～、困ったわ～
DIO,何をしている、行くぞ
あずさ,プロデューサーさん！
DIO,全く何をやっているのだ。それでコッチの高槻共に囲まれたのか
あずさ,はい～
DIO,世話の焼ける奴だ。帰る......
あずさ,？
DIO,しかし、久しいな。昔と少し変わったが...。.........
あずさ,プロデューサーさん？
DIO,ん？あぁ、行くぞ
あずさ,あ！待ってください～
雪歩,大型ライヴ、もうすぐですね...
DIO,怖いか？。あぁ。......しかし貴様は大丈夫だ
雪歩,......ふふっ
DIO,何がオカシイ？
雪歩,前までクズとかカスとか言ってたのにって...
DIO,それだけ成長したという事だ
雪歩,ありがとうございますぅ
DIO,成功させるぞ、ライヴ
雪歩,はい！
DIO,.........
やよい,お前の瞳だッ！バイ！ツァ！ダスト！
伊織,吉良メ吉良リドカンボカンと♪
DIO,リサリサの指導は抜群だった。奴がここを去って数か月経つが
春香,乙女よ波紋を流せ♪
DIO,誰一人衰えず、むしろ進歩している
美希,大好きダニィー♪
DIO,元々の力もあるだろうがな。よし、貴様らの大型ライヴに向けて、いくつか教えることがある
伊織,アンタから教わるなんて珍しいわね
DIO,あぁ、これだけはな。まず、LESSON1妙な期待をDIOにするな
千早,あの...どういうことですか？
DIO,うむ、これは初めに伝えておくべきだったが、一応言っておく
雪歩,期待はするななんて...プロデューサーがいなければここまで来れませんでした
やよい,そうです！
DIO,そうか、まぁいい。本題は次からだ。LESSON2は筋肉には悟られるな......
真,！
DIO,だから、悟らせない身体を作るのだ。皮膚を支配しろ。ならば異常事態が起こっていると気付かない
響,難しいぞ...
DIO,ま、大方...
響,！？
DIO,リサリサの修行によって、筋肉に悟られない体に施されているがな
響,ちょ！ぷ、プロデューサー！///
真美,兄ちゃんがひびきんの腕を......
貴音,触りましたね
春香,ちょっと羨ましいかも......
美希,ずるいの！ミキのも！ミキのも！
DIO,大丈夫だ、全員なっているのはわかる
美希,そういうことじゃないのー！
DIO,リサリサの奴...ここまでやるとは...。まぁいい、次だ。LESSON3回転を信じろ
伊織,まーた哲学臭いのを...
亜美,むずかちー...
DIO,いかなる場において必要とされるのは頭だ。言わば、頭の回転という事だ
あずさ,なるほど～
DIO,どんな異常事態にも対応できる身体、頭......。これがあれば問題はないだろう。難しいがな
春香,どうやって鍛えればいいですか？
DIO,そうだな......ンドゥールごっこで鍛えろ
真美,あの砂浜でやってたやつ？
美希,頭使うのヤなの～
DIO,貴様らが先に進むためだ。逃れられん。そしてLESSON4は......。これは......後にする
伊織,どうしてよ？
DIO,貴様らの力を最大限にまで発揮させるためだ
やよい,どれも難しそうです...
DIO,大丈夫だ。貴様はやれる
やよい,そうですか！？ありがとうございますぅー！。うっWRYYYYYYYYYYYY！！！！！
DIO,いいだろう、今日はここまでだ
美希,ふーっ、くたくたなの～
DIO,どうやら歌やダンスは完璧のようだな
美希,当ったり前なの！こんなのおにぎり前なの！
DIO,そうか
美希,ねぇ、ライヴってどんな所でやるの？
DIO,そうだな........ならば下見に行くか？
美希,行くの！
DIO,着いたぞ
美希,結構大きいの...
DIO,ステージに行くぞ。ここだ。どうだ？
美希,わ～っ...。キラキラしてるの......
DIO,...？客席は暗いが
美希,そーゆーコトじゃないの！ダニー！
DIO,ダニーはやめろ
美希,ここって、満席なの？
DIO,あぁ、確実にな
美希,それじゃあダニー、アレ、見て
DIO,ん？
美希,三階席の一番端っこ。いーっちばん端っこ
DIO,あぁ、それがどうかしたか？
美希,あの席から、ミキ達をよく見えると思う？
DIO,いや、思わん。あの席じゃあ、貴様らは豆粒程度だろうな
美希,でも、どーして席は埋まってるの？
DIO,.............
美希,答えは簡単なの。好き。どんなに見えなくても、どんなにわからなくても、会いに行くの。ミキ達はそれほど愛されてるの...。それって......キラキラしてるって、思わない？
DIO,......なるほど。輝いている貴様らを想像したのだな
美希,そーゆーコトなの！
DIO,既に、今も輝いている。心配はない
美希,わかってるの！。................。.............ねぇ、ダニー
DIO,何だ？
美希,ミキね、前まで一日中寝てたの。お仕事がないーっていうのもあったけど、それしかするコトがなかったの。でも今は違うの。お仕事が増えたコトもそうだけど、一番は......。どーしたらもっとキラキラできるか考えるようになったの
DIO,.........
美希,それはね、ダニー、うぅん、プロデューサーのおかげって思うな
DIO,美希......
美希,プロデューサーと会わなかったら、どーなってたかわからないの。だからねミキ、とーっても感謝してるんだよ？
DIO,.........ﾌﾝ、感謝されなくては困る
美希,......ダニー、今すっごくやさしー目してるの！
DIO,む！しておらん！
美希,見せるのー！
DIO,や、やめろ！
美希,あはっ！照れてるダニー可愛いの！。これからもずーっと一緒にいてね、ダニー！
DIO,......あぁ。いつまで経っても騒がしい奴だ。......そういえば四条とらぁめんとやらを食す約束をしていたな。引き返すか。遅くなった
貴音,いえ、私も先ほど仕事が終わりましたので
DIO,そうか。...で？そのらぁめんとやらはここか？
貴音,はい、入りましょう
DIO,む
店員,いらっしゃ
貴音,メンカタカラメヤサイダブルニンニクアブラマシマシ
DIO,！？
店員,はいぃ！！お連れの方もソレでいいですか？
DIO,ん？......あぁ。四条よ、先ほどのは一体何の呪文だ
貴音,ふふ、すぐにわかりますよ
店員,ハイお待ち！
DIO,
貴音,相変わらず美味しそうですね
DIO,まぁ、マズくはない
貴音,......DIO殿
DIO,何だ
貴音,行ってしまうのですか？
DIO,ッ！。......貴様、何故それをッ
貴音,あなた様がこの時の者ではない事は知っています
DIO,............
貴音,異なる時が重なるのは決して許されぬ事...。私にはわかるのです。何故かはわかりません
DIO,.........ﾌﾝ、なんでもお見通しか
貴音,...驚きというか、受けとめが早いのですね
DIO,貴様だからだ、意外性はない。これがタルカスや高槻だったら卒倒していた
貴音,左様ですか......。........
DIO,いつかはここを離れねばならん。貴様らの成長のためではない。俺自身の、この世界の理のためだ。......それは俺自身が一番わかっている
貴音,.......
DIO,........
DIO貴音,おかわり
DIO,残り一週間を切ったか......
小鳥,あっという間ですね～
DIO,......皆、成長したな
小鳥,はい♪。ずっと夢でした。765PROの大型ライヴ......。私が出るわけじゃないんですけどね、ふふっ
DIO,ﾌﾝ、そうだな
小鳥,暖かく見守ってあげましょうね
DIO,あぁ......
