※かつてのめちゃイケの人気コーナー,クイズ濱口優
あおい,･･･あっ、煙から人影が！
五十嵐,ｹﾞﾎｹﾞﾎ･･･お前･･･中々やるな･･･！
矢部,五十嵐くんも凄いでやんす･･･何だか喧嘩が馬鹿らしくなってきたやんす･･･！
五十嵐,そうだな、では仲直りしようか！
矢部,するでやんす！
五十嵐,
矢部,
猪狩,
友沢,
あおい,うわっ･･･
パワプロ,･･･あおいちゃん本気で引いてるよこれ･･･
猪狩,その前にパワプロがディープキスとか答えるからだ･･･
矢部坂,･･･と、とりあえずクイズ矢部明雄、また来週でやんす！
五十嵐,･･･いやおかしいだろこれ！？何が悲しくて男同士でキスしなきゃいけない！？
矢部,そうでやんす！こんな答え考えたパワプロ君がおかしいでやんす！
パワプロ,ははは･･･2人ともごめん･･･ｗｗｗ
