輩,ともがら
提督,他の提督に聞いてみれば、朝方まで業務を執り行って、新規任務が張り出される日の出と共に出撃している所が殆どだ
長門,そんな情報をどこから手に入れているんだ？
提督,俺の同期達からだよ。元帥から少将まで階級の高い奴らばかりで、俺達の新兵時代は未だ黄金期と呼ばれている
長門,ちなみに提督の階級はいくつだったか？
提督,新米少佐だがなにか？てかテメェ知ってるのに言わせるんじゃねぇよ！
長門,これほどボンクラという呼び名が相応しい人も稀有だな
提督,泣くぞ？俺絶対泣くぞ？すぐ泣くぞ？
長門,だが他の提督方のやる気は見習うものがあるだろう
提督,止めとけ止めとけ。艦娘たちの疲労も抜かずに酷使する輩から見習うもんなんてねぇよ。……そこまで言うなら、明日にでも試してみるか？
長門,ん？
提督,日の出と共に出撃して、デイリー任務をこなしてみるかって事だよ
長門,ほぅ、戦場を求めるこの長門にとってこれ以上ないほどの機会だ！是非とも試してみよう！。おはよう、提督
提督,おはよう
長門,朝からまたえらく不景気な顔をしているな
提督,どこぞのＩＱ７が早朝出撃しようと言い出したんで集合かけてみたら、肝心のそいつが寝坊したらしくてな。しかもおまけに通常業務はマルキュウマルマルからなのに２時間も寝過ごした様子でな。どうしたもんかと考えていた。ふむ、なるほどなぁ。はっはっは
長門,はっはっは。ではそろそろ私は遅めの朝食をとってくるから失礼するぞ
提督,せめて少しだけでも反省している素振りくらいくれませんか長門さん！？
長門,壁ドンというのが巷で流行しているらしい
提督,へぇ、初耳だ。だが生憎俺はその壁ドンとやらを知らなくてな
長門,なんでも気になる異性にそれを行なうと効果的だそうだ。人によっては胸の高鳴りがしばらく治まらないとか
提督,そこまで効果抜群なのか。その行為に少し興味が出てきたわ
長門,なんなら実践してみるか？私も知識だけあって実際に試したことが無いんだ
提督,上等だ。で、どうすりゃいいんだ？
長門,えーと、確か。おぉそうだ、提督。ちょっと部屋の壁に背をくっつけてくれ
提督,へいへい。これでいいか？
長門,うむ、問題ない。では行くぞ！
提督,……
長門,これが、壁ドンだ
提督,新技みたいな口調で言ってんじゃねぇよ。戦艦級の深海棲艦を一撃で沈める拳が飛んでくるのが壁ドンなのか
長門,どうだ提督、胸は高鳴っているか？
提督,今死ぬほど高まっているのを感じてる最中だ
長門,ほぅ。本当に効果があるんだな、この壁ドンとやらは
提督,俺が今抱いている感情は間違いなく恐怖以外の何物でもないんだが。全く、阿呆な事でいちいち壁を壊してんじゃねぇよ
長門,提督が見たいと言ったから見せただけなのに
提督,せめて加減を知れと言いたいわ。常に全力とかどこの戦闘民族だよお前
長門,むぅ、失敗か。それによくよく思い出したら、これは男性から女性に向けての行為だった
提督,お前のうっかりで鎮守府からまた諭吉様が飛び去っていったぞ。給料から修繕費さっぴかれても文句言うなよ
長門,よし、提督。次は貴方から私に向けてやってみてくれ
提督,普通の人間はコンクリ壁に風穴を空けるような怪力なんぞ持ち合わせてないわ
長門,いやいや。確か相手を壁際まで追い込んでから、手の平をドンと壁について脅迫するような形が正解だった気がする
提督,その言い分だと壁ドンはカツアゲ専用の技っぽくしか聞こえないんだが。まぁ業務も一段落しているし、仕方ないから付き合ってやる
長門,よし提督ばっち来い。この長門、壁ドン如きに遅れをとるような戦艦でない事を見せてやる
提督,はいよ、これでいいのか？
長門,……
提督,何だこれ。実際やってみると顔すっげぇ近くなるんだな
長門,……
提督,おいおいビッグセブン。せっかくやってんだから何か感想くらい言ってくれよ
長門,……
提督,長門さん？おーい、長門さーん
長門,あ、ああ、すまない。予想以上の衝撃に驚いてしまったようだ
提督,なんだ本当に効果覿面なのかコレ
長門,なんだこんなものか、と
提督,上等だ表に出ろコラ。バット７本粉砕する提督キックをそのムチムチの足にお見舞いしてやるわ
長門,ほぅ、義足と車椅子の準備が出来ているようで何よりだぞ
提督,おぅ真顔で歩けなくなるようにしてやる宣言やめろや
長門,全く、どこの誰だ。このような行為が胸キュンを呼び寄せるとか言い出した輩は
提督,執務室の隅に大きめの鏡あるから見てこいやビッグセブン
長門,む？おや、もうこんな時間か。これから駆逐艦ちゃん達の鍛錬に付き合う予定があるので、そろそろ失礼する
提督,業務ご苦労さん。ただ、そのハンディカムとデジカメは置いていきなさい
長門,おいおい提督。私のコレクションが潤う機会に水を差すのは頂けないな
提督,さっき俺が言ったご苦労さんの言葉を返してくれ
長門,では、この辺りで私は席を外そう
提督,長門
長門,なんだ？
提督,お前さっきからなんで目を合わせようとしないんだよ、俺提督のハート傷ついちゃうだろうがオイ
長門,なに、気のせいだ。さっきからどうにも不整脈でな、治ったら目くらい合わせてやるから安心してくれ
提督,不整脈とか安心とは縁遠い単語すぎんだろ。無理すんなよ
長門,心遣い痛み入る。……ふぅ。……。……壁ドン、か。……。……これは、アレだな。……遅効性で威力があるのか
電,はわわ！？長門さん、顔が真っ赤なのです！風邪でも引かれたのですか！？
提督,そういやお前さ、明日休みだよな
長門,という事は……明日は日程的に駆逐艦ちゃん達の遠征か！？
提督,お前を行かせるわけには断じてならんから、明日は一日基地内で待機な。これ提督命令だから
長門,なんだ、つまらん
提督,お前の趣味で破産しそうになっている鎮守府があるのをそろそろ学習しなさい
長門,そうなると明日は読書が捗りそうな一日だな
提督,なんだお前、読書なんてしていたのか
長門,ああ。だが小説ではなく、第六駆逐隊のみんなから借りた漫画の消化が殆どになる
提督,へぇ、お前が漫画を読むのは正直以外だったわ。あの子たちが読んでそうな漫画って、やっぱりあれか？
長門,少女漫画だが？
提督,題材としてロマンチックな恋がよく描かれているあの？
長門,その系統だな
提督,好き嫌い惚れた脹れたでヤキモキする？
長門,その葛藤がまた良いんじゃないか
提督,それをお前が読んでるのか？
長門,うむ、相違ない
提督,ぶっふぉｗｗｗｗｗｗｗｗｗｗｗｗ長門ちゃんがｗｗｗｗｗｗ少女漫画ｗｗｗｗｗｗｗｗｗ
長門,おいなんだ殴り合いを所望か？よし任せろ提督
提督,いやすまんかった、ギャップに思わず驚いてしまって吹き出したんだよ
長門,驚いていたのか。それならそうと早く言ってほしいものだな
提督,マウント取られた挙句にデンプシーロールを顔面に浴びせられてる最中、人は喋れると思うかい長門くん？
長門,おや。顔に傷がついたからか、男前によりいっそう箔がかかったな提督。わ、私が可愛く見えていた瞬間なんてあったのか！？
提督,むしろ後半の部分を耳に入れてほしいんだが。まぁでも、お前が読んでいる漫画に興味があるってのも本当だ。どういう本を借りたんだ？
長門,私の部屋にいくつかあるんで、取ってこよう。少し待っていてくれ。待たせたな。借りている本をそれぞれ２巻まで持ってきたぞ
提督,ほぅ、どれどれ……
長門,私のお薦めはコレだな
提督,何これ？
長門,通称“ハチムツ”。複雑な人間模様の中で芽生える恋がいいんだ
提督,へ、へぇ……。さっきのは微妙にツッコミどころのある漫画だった気がするわ
長門,あとは提督だったら読みやすそうなのは、これかな
提督,あれ、デジャヴ？
長門,入学初日から騒ぎを起こした主人公と、感情の起伏が乏しいヒロインの恋愛ものだったな
提督,なんかそれっぽい少女漫画のタイトルは俺も見た事あるような……
長門,そして次はこれ。まぁ少女漫画っぽくはない内容なんだがな
提督,……。……ちなみに他の漫画タイトルは？
長門,他は確か、こんな感じだな
提督,なんか知らん間にお前の姉妹艦が少女漫画のスターダムにのし上がってんぞオイ。でもこれでお前が“壁ドン”なんていうワードを知っていたのか腑に落ちたわ
長門,少女漫画でよく見る場面だったからな。私だって憧れたりもするさ
提督,まぁ結果は散々だったけれどな
長門,うむ、やはり提督ではアレだったようだな
提督,アレって言うオブラートの包み方が逆にハートに突き刺さるからやめれ
長門,まぁ何だ。また提督がやってみたいというなら、私としてはやぶさかではないぞ。……
提督,なんで不貞腐れてんだよビッグセブン！？
長門,まぁ今は業務時間外だろう？モノは試しで一回読んでみるといい
提督,へいへい。じゃあ２巻までくらいなら読んでみるわ。お前も適当にゴロゴロしていいぞ
長門,許可を頂く前からすでにその姿勢に入っていた私に隙なぞ無かった
提督,ちょっとウチの秘書艦は自由すぎるんじゃなかろうか……。おい、長門
長門,なんだ？
提督,まぁ何だ、その
長門,どうした、歯切れが悪いな？
提督,……。……ハチムツの続き貸してくれ
長門,今日は久々に非番か。空は快晴、海も穏やか。休息を取るには絶好の日和だな。だがいざ休みの日になると、どう時間を潰していいか分からないのは困ったものだ。提督でも誘ってみようかと思えば、何やら呼び出しを受けて遠出してしまったようだし。さて、どうするか。む？あの前方に見えるのは……暁ちゃんと響ちゃん？
暁,あ、長門おねえさん！
響,おはよう、長門さん
長門,おはよう。二人とも今日も可愛いな。……そうか、第一艦隊の皆々は全員休みだったな
暁,そうよ。だから第六駆逐隊の皆で一緒にお買い物に行きましょうって約束してたの！
響,どこぞの長女が寝坊した結果、私達は少し遅れて現地に赴くんだけどね
暁,れ、レディが寝坊するわけないでしょう！？ちょーっと身支度に準備がかかっただけなの！
響,ん、今気付いたけれど右の髪がハネてる。暁、寝ぐせは治さなかったのかい？
暁,うそ、ヤダー！？もーぅ、もっと早く起こしてくれたらセットに時間とれたのにぃー！
響,……やれやれ
長門,ふふ、相変わらず仲が良さそうで何よりだ
響,ところで、長門さんは何をしていたんだい？
長門,今日は何をしようかと考えていた。まぁ多分このまま鍛錬と昼寝で日がな一日を過ごすだろうな
暁,え？じゃあ一日ずっと鎮守府にいるの？
長門,そういう事になる。おっと、それよりいいのか？私なんかと話し込んでは折角の休みが勿体無いぞ
響,……暁
暁,……うん！ねぇ、長門おねえさん
長門,どうした？
暁,今日はね、暁たちと一緒に過ごさない？きっとすっごーく楽しいわよ！
響,うん、そうしよう。きっとそれがいい
長門,え、でも、いや、私は。……いいのか？
暁,勿論よ！一人前のレディは遊びの誘い方すらエレガントなんだからっ♪
長門,ふふ、淑やかなレディ方からのお誘い感謝する。ではお言葉に甘えさせてもらおうか
響,ハラショー。こちらこそ快諾感謝する。構わないさ。どうせ長女が寝坊して遅くなるだろう、と事前に伝えてある
暁,なんで私が寝坊するの前提なのよーっ！？
長門,では財布を取りに行ってくる。数分だけ待っていてくれ
暁,はーい。レディはちゃんと待てるし
響,了解。ゆっくりでいいよ
長門,……。……。……。……。……
暁,な、なに轟音！？鎮守府が振動で揺れてるぅっ！？
響,て、敵襲！？
雷,もぅ、やっぱりお寝坊さんだったじゃない！
響,今日が楽しみすぎて昨晩は夜更かしだったんだ、仕方ないさ
暁,ちょっと響！なんで夜更かししてたの知ってるのよ！？
電,でも空き時間が出来たおかげで、美味しいクレープのお店を知れたのです♪
雷,そうそう！電と一緒に歩いてて、すっごい良い所を見つけたの！後でもう一度行きましょ！
電,賛成なのです！
雷,……あれ？長門お姉ちゃん！？お姉ちゃんも買い物に来たの！？
長門,あ、いや、私は……
響,私達と今日は一緒に遊んでくれるそうだ
電,え！本当なのですか！？はわわ、う、嬉しいのです！
暁,ふふん、長門おねえさんを誘ったのは暁よ
雷,なるほど、お姉ちゃんを誘っていて遅くなったのね！もぅ、それならそうと早く言ってくれるといいのに～
響,いや、遅れたのは紛れもなく暁のねぼ……むぐっ
暁,しぃ～っ！このまま誤魔化せそうなんだから静かにしててよぅ！
長門,天使が四人もいる。なんだ、ただの楽園じゃないか。みんなで楽しんでいるなか恐縮だが、私も混ぜてもらえるか？
雷,もちろんよ！私とお姉ちゃんの仲じゃない！
響,長門さんがいてくれるのは凄く新鮮だな。いい休日になりそうだ
暁,おねえさん、レディの嗜みを色々教えてね！
長門,ああ、勿論だとも
響,……鼻血、でてるよ？
長門,うむ、失敬。よし、今日は私の奢りだ。みんなで存分に羽を伸ばそう
響,いやいや、流石にそれは悪いよ。誘ったのはこっちなんだ
雷,なんだか頼もしい発言ね。じゃあ、お言葉に甘えちゃおうかなっ
長門,それにほら、これを見てみろ
電,はわわ、胸の谷間から物を取り出す仕草がセクシーなのです！
暁,お、大人の女性っぽい仕草だわ……
長門,ふふ、そんなに褒めるんじゃあない
電,ちなみにそれは何なのですか？
長門,全てのダメージが提督の懐へ向かうダメコンを搭載している、ちょっとした魔法のカードさ
雷,長門お姉ちゃんって魔法使いだったの！？
長門,ああ、これで皆に沢山お菓子を買ってあげようじゃないか！
響,ハラショー……こいつはテンション上がるのを禁じえない。ん、もうこんな時間か
雷,そろそろ鎮守府に帰る頃合ね
暁,いっぱいお洋服を買ってもらっちゃった。ありがとう、おねえちゃん！
長門,そんなに喜んでもらえると私としても嬉しい限りだよ
電,また一緒に遊びましょう！次は電おすすめの雑貨店に行きたいのです
雷,はーい。じゃあお姉ちゃん、また夕食のときに会おうねー！
電,なのです！
響,スパシーバ。今日はありがとう……おねえちゃん
暁,ありがと！お礼はちゃんと言えるし
長門,うむ、こちらこそ。本当に良い休日だった。楽しかったよ、有難う
提督,よぅ電ちゃん。今日もかわいいな
電,お疲れ様です、提督。……あの、その手に持っているのは軍刀ですか？。軍刀をオブラートに包みすぎてボンタン飴みたいになっているのです……
提督,ちなみに、今朝から探しているんだけれど秘書艦のビッグ穀潰しセブンを見ていないかい？
