正しくは,憎たらしい糞ガキだった頃は
王,大臣、儂はその権力を行政府や議会に委譲したがな、それでも人事権の一部を行使する程度の力は残っておるのだよ。だが、権力の乱用と言うのはどうも儂は苦手でのう。まあ、大臣が駄目だと言うなら仕方ない。どれ、久方ぶりに権力を押し通してみるのも良いかと思うのだが、どう思う？
大臣,・・・っ！畏まりました！陛下の仰る通りに・・・
王,ははは、すまんな
盗賊,権力者って恐ろしい・・・
近衛兵,皆さん、お届け物です
商人,普通にドア開けるやがったな近衛兵・・・あんだけ開けろって言っても無視しやがったのに
近衛兵,出ることは叶わんが、入れる分には問題がない
賢者,お届け物だと言いましたね？何を持ってきたんですか
近衛兵,盗賊と言う娘が持ってきた。頼まれていた仕事机と、宝物庫の管理帳簿、それとメモだそうだ
商人,どれどれ
賢者,さすが盗賊ちゃんですね、察しもいいし、何より仕事も早い
商人,まったくの同意見だな
騎士,ん、商人君。裏にも続いているぞ。・・・いくらなんでも仕事が早すぎないか
賢者,大臣の手回しでしょ？さすがに、そこまでは盗賊ちゃんでも無理でしょう
商人,で、追加の人員はどこに？
？？？,ここにいますわ！みなさん、初めまして！遊び人と申しますの！
遊び人,よろしくお願いしますわ！
騎士,
商人,
賢者,
遊び人,あ、あれ？皆さん、どうしました？
第一章騎士,縁故採用はほどほどに！
賢者,し、死んでる・・・！
大臣,陛下の勅命で、宝物庫を閉鎖だと！？
盗賊,はい、中にいる補助係の皆さんとは面会することすらできませんでした
大臣,近衛兵を締め出し、なんとか直属の補助係で現場を抑えたというのに。肝心の、宝物庫内部の情報を持ち出せないとは。何が国民が望めば退陣するだ！しっかり隠蔽工作図ってるではないか、あの狸おやじめ！
盗賊,・・・大臣、よろしければ。現在の状況を教えていただけないでしょうか
大臣,よかろう。貴様には、しっかり働いてもらわなねば困る。事の次第を知っていた方が、動きやすかろう。ただし、貴様の父のこと忘れるでないぞ。これは、貴様のこれまでの仕事ぶりを信頼してのものだと知れ
王,そのように声を張らずともよい近衛兵長、儂はここにおる。一体、どうしたというのだ？酷い汗だぞ
近衛兵長,あの開かずの間の宝物庫が・・・暴かれた
王,・・・犯人はわかっておるのか？
近衛兵長,まだだ・・・だが、ひとまず部屋は封鎖しておいた。一般兵に中を調べられたらまずい、俺の兵にも俺が行くまで決して部屋に入らぬよう厳命した
王,そうか・・・鍵が失われて幾十年。いつかは来るものと覚悟はしていた。王家終焉の時が・・・遂に来たか
近衛兵長,まだだ！まだ終わりではない！。この国には、まだアンタが必要だ！終わらすわけにはいかない！。捜査は、俺が直々に行う！必ず、犯人を捕らえてみせる！。大臣！？貴様いつからそこに！？
王,・・・聞いておったのか
大臣,申し訳ありません陛下！。血相を変えた近衛兵長の姿を見たものですから。何事かと、馳せ参じた次第
近衛兵長,それで、私たちの話を立ち聞きしていたと申すか！？貴様は礼儀も知らんのか！
大臣,礼儀ね・・・よくぞそのような言葉が吐けるな。近衛兵如きが、陛下に対してあの口の利きよう。如何に信厚き者と言え許されることではないぞ！
近衛兵長,ぐ・・・
大臣,ところで、宝物庫が暴かれたそうですな。それは一体、いつのことですかな近衛兵長？
王,構わん、申せ
近衛兵長,・・・まだわかってはおらん
大臣,なるほど、この王城の警備は貴公ら近衛兵団の仕事であったな
近衛兵長,あぁ・・・
大臣,怠慢であるとは思わんか？宝物庫を暴かれただけでなく、その日時もいつかわからんと申すか
近衛兵長,・・・！だからこそ、汚辱は自らの手で晴らして見せる！。必ずや、犯人の首を陛下の御前に！
大臣,陛下、捜査は我が部下にお任せください
近衛兵長,な、なにを申すか大臣！
大臣,いや、先ほどはああ申したが。私は近衛兵団の精強さを以前から評価していたのだ。近衛兵団の一兵卒ですら、かの勇者に届き得る力を持つとすら考えている。その近衛兵団を出し抜くほどの賊、そうありましょうか？
王,まるで、賊に心当たりがあるかの言いようだが・・・？
大臣,その様なことができる者は、この国にただ一人・・・勇者にございます
近衛兵長,なっ！？
王,なるほど・・・
大臣,勇者のしでかした事件の後始末は、私直属の勇者補助係の主要業務。彼らは、この一年勇者を追い続けておりました。現状において、勇者に最も詳しい者どもでございます。捜査も迅速に行うことが可能です。それに加えて、私直属であるがゆえに情報の機密性は非常に高い
王,わが懐を探るつもりか・・・
大臣,そのような気は毛頭ございません！。陛下には、いえ王家には何やら重大な秘密がある様子。しかし、私もまた国を守る者。どのような事実があれど、口外するようなことは誓ってありませぬ
近衛兵長,王っ！捜査は我々にお任せください！
大臣,なりませぬ！近衛兵団は一度とはいえ失態を犯しました！故に、この捜査に近衛兵が関わるようなことがあってはなりません
王,・・・なるほどな。一理ある
近衛兵長,陛下っ！
王,よい、まずは犯人を特定する。それが先決だ。大臣、お主に任せることとしよう
騎士,はっ！・・・いやあ、すまなかったね。まさか新人が、君のように可愛い女の子だとは思っていなかったものだからさ
賢者,つ、ついつい驚いちゃいましたよ。いやあ、まいったなあ
商人,
遊び人,あらあら、見かけほどは若くはありませんわよ？。先輩！起きてくださいまし！今は、業務時間内ですよ！
商人,はっ！・・・おっと、これは新人の前でダラシナイところを見せちゃったなあ、はっはっは
騎士,じ、じゃあ、新人教育は賢者くんに任せようかな
賢者,よおし！お兄ちゃんがビシビシ鍛えるからね！
遊び人,・・・まあいいでしょう、お手柔らかにお願いいたします
賢者,で・・・とりあえず、どうします？
遊び人,はい？早速、業務に取り掛からないのですか？
騎士,そうだった！。遊び人さん、この部屋は近衛兵によって完全に封鎖されているんだ！。うかつだった！遊び人さんが部屋に入るのは、なんとしても阻止しなくちゃならなかったのに・・・私としたことが
遊び人,あらあら、私も侮られたものですね
商人,おいおい、遊び人ちゃん。ちょっと上司への口の利き方がおかしかないか？
遊び人,あっ！これは、失礼しました。なにぶん、まだ慣れていないものでして・・・。失礼いたしましたわ。騎士様
騎士,・・・構わないよ。それより侮られたと言ったね？
遊び人,はい騎士様。新人として、皆様の置かれている状況は事前に勉強してきましたのよ
賢者,部屋に入ったら、出られないということは知っていたと？
遊び人,その通りですわ、先輩
商人,おいおい、本当に状況を分かっているのか？
遊び人,社会には往々にして、こういったことがあると聞いております
商人,・・・そ、そうなのか？
賢者,少なくとも、私は初めてですけど
遊び人,仕事が終わるまで帰れない。つまりこれは！一般社会で言うところの缶詰というものですわ！
商人,遊び人ちゃんは、一体どこで社会について勉強してきたんだ・・・？
賢者,さて・・話が一巡したようですね。で、どうしましょうか
騎士,・・・仕事しようか
商人,えー、まじすか
騎士,外からの情報も得られない、こちらの情報も持ち出せない。つまり、私たちに現状を打開する手段はないということだ。ならば、やることは一つ仕事だ
遊び人,業務時間内ですしね！社会人は仕事してナンボです！
商人,遊び人が社会人を語るのか・・・
賢者,騎士さんの仰る通りですね。では、さっそく盗賊ちゃんが持ってきてくれた資料と部屋の状況を照らし合わせてみましょうか
遊び人,応っ！
騎士,・・・賢者くん
賢者,・・・言葉使いは、仕事しながら覚えてもらうこととしましょう
遊び人,あら・・・///私、また言葉遣いを間違いました？
騎士,それじゃあ、管理簿を読み上げるから。保管庫の現状と照らし合わせてね。えーまずは・・・何だこれ？
賢者,ちょっと見せてもらえますか？。これは、旧字で書かれていますね・・・
騎士,旧字かあ・・・この管理簿も、相当古いものだし当然か。じゃあ、悪いけど賢者くんに読み上げてもらおうかな
賢者,えっと、期待してもらって申し訳ありませんが・・・旧字はちょっと
騎士,ええっ！？賢者くん旧字読めないのかい！
賢者,すみません・・・読めないことは無いんですが、ちょっと時間がかかりそうです
騎士,いや、謝る必要は無いよ。読めないのは私も同じだ
商人,ふふん、当然私も読めません
騎士,だろうね・・・
遊び人,では、僭越ながら私が読み上げましょう
商人,ん、よろしく！。ってなるかボケ！
賢者,遊び人ちゃん・・・旧字を読めるんですか？
遊び人,ええ、わたくし詩歌も嗜むものですから。旧字も扱えますのよ
商人,あ、遊び人のくせに？
賢者,ちょっと気になっていたのですが、遊び人さん言葉遣いがちょっとアレですよね
遊び人,あら、ごめんあそばし
賢者,もしかして、どこかの貴族の御子弟なのでは？
遊び人,・・・まあ、そうです
騎士,け、賢者くん親族に関する詮索は失礼だよ
賢者,これは、私としたことが。失礼しました
商人,しかし貴族の娘が、遊び人とはなあ。厳格な教育に反発して、グレちゃった感じか？
遊び人,定職に就かず、遊び惚けている者は世間一般に遊び人でしょう？。私は詩歌を詠んだり、あとは花を生けたり、茶を嗜んだりして日々を過ごしてきました。まさに遊び人ではございませんか！
騎士＆賢者＆商人,み、雅な遊び人だーっ！
大臣,遊び人か・・・どう思う、盗賊よ
盗賊,申し訳ありません。探ってみましたが、彼女に関する情報は一切出てきませんでした。少なくとも、ここ10年は王都付近に住んでいたとは思えません
大臣,そうであるか、だが・・・私は彼女に会ったことがあるような気がするのだ。いや、忘れてくれ。王の友人の娘とは言っていたが、王の間者と見るのが筋であろうな
盗賊,ではどうして、彼女が勇者補助係に加わることをお許しになったのですか？
大臣,断っても、王が捻じ込んだであろうよ。なれば、無理をする必要はない。いまはまだ、陛下との対立が表面化するのは避けたいのだ
盗賊,大臣は・・・陛下をどうされるおつもりなのですか？。あまり調子にのるなよ・・・ってとこかな
大臣,陛下は、衆民議会の設置による権力の分散や、行政府を設け官僚制を導入する等、国の政治構造の改革に力を注いできた。確かに、権力の分散は一人の愚かな権力者を抑制し、官僚制の導入は合理的な行政を我々にもたらした。しかし、弊害もある。議会では日々終わらぬ権力闘争が行われ、官僚共は規則に縛られることに快感を覚えたのか、その志を失った。いまや国政の滞りは著しいものなのだ。国政の滞り、それはすなわち国にとっての大きな損失だ。損失は常に回避すべきであると、私は考える。あの宝物庫にはな、この国の政治体制を変える大きな大きな火種が眠っているのだよ
盗賊,つまり、陛下の弱みを握って傀儡と・・・？
大臣,私を、侮るなよ盗賊。権力が、行政府や議会に分散している昨今。陛下を傀儡と化したところで何になる。仮に意のままに陛下を操る術を手に入れたとしても、何のメリットもない
盗賊,しかし、陛下の発言は議会にも強い影響を持つと聞いております
大臣,まあ、半分正解だ。陛下がその影響力を発揮できるのは、議会の内の衆民院においてのみだ。陛下がこれまで行ってきた改革は、臣民の意見をより多く取り入れるもの。当然、衆民院からの支持を得られるのも当然だ。だが一方で、権力構造の変革を望まない貴族たちにとっては陛下は疎ましい存在なのだよ
盗賊,つまるところ、大臣は何を為すおつもりなのですか？
大臣,私は、ただな。ただ、この国をより良くしたいだけなのだ。私自身の手によってな
盗賊,父さんなら、そのうち飽きたら牢を破って逃げ出すだろう。宝物庫には、一体何が隠されているのですか・・・？
大臣,それはまだわからん。だが、王家が終焉を迎えるほどの何かがあったことは確かなのだ。そして、その手掛かりは今、我が配下である勇者補助係によって押さえられている！。盗賊よ！何としても、中と連絡をとる手段を考えるのだ！
遊び人,次はＡ－301棚ですね。宝箱が三つあると思いますが
賢者,ああ、これですね。全部開けられています
遊び人,そこには、王国金貨300枚と魔力回復剤、あと王者の剣があったようです
賢者,あちゃー根こそぎですね
遊び人,次は、書架に行きましょうか
商人,そちらは調べておいたぜ。どの本も、埃を被ったままだ。勇者が手を付けた様子はない
遊び人,あら、それを確認するための読み合わせでは？先輩
騎士,もっともだな、面倒だが商人君。書架も照らし合わせてくれ
商人,えーまじすか
遊び人,ほら先輩、子供みたいに駄々をこねない！いい男が台無しですよ！
商人,へえーい・・・
賢者,・・・いいですね彼女
騎士,まったくだ。どうやら我々は、二年連続で当たり新人を引いたらしいな
賢者,商人君の扱いにも手馴れてます、とても少女とは思えませんよ
騎士,お母さん気質なのかもなあ。どことなく盗賊ちゃんを彷彿させるよ
賢者,ところで、騎士さん。宝箱を調べてわかったことですが・・・
騎士,ほとんどの箱が荒らされている中で、手が付けられていない物がいくつかあったようだね
賢者,黄金のツメ、聖者の短剣、黒檀のブーメラン・・・
騎士,勇者パーティーは、勇者、戦士、魔法使い、僧侶の4人だったね
