大和麻弥,うーん、新年初ライブは大成功でしたね！
イヴ,そのようなザレゴトを言えるのも今のうちだけです！。アナタとの奇怪なウンメイ……今日、ここで断ち切ります！
ＭＤＢ,いいだろう……刮目させてもらおう、貴様のブシドー！
イヴ,志半ばで、無念に散ったアヤさんのセツジョク……ここで晴らさせてもらいます！
ＭＤＢ,痴れた事を！所詮あの小娘は我がダークブシドーの試し切りでしかない！
イヴ,減らず口をっ！
ＭＤＢ,ふふふ……いきなりカタナを抜くとはな……私も我慢弱く落ち着きのない男だ……それでこそ我がライバル……！
イヴ,アナタは……アナタは何故戦うのですか！？
ＭＤＢ,私は純粋に戦いを望む！。貴様のブシドーとの戦いをっ！！。そしてブシドーを超える、それこそが私の生きる証だ！！
イヴ,そんなものの為に……！！
ＭＤＢ,貴様にとってそんなものでも、私にとってこれはウンメイだ！
イヴ,っ、クッ……
ＭＤＢ,貴様の圧倒的なブシドー、私はそれに心を奪われた……。この気持ち、まさしく愛だ！
イヴ,愛……！？
ＭＤＢ,だが愛を超越すれば、それはニクシミとなる……いきすぎた課金が生活を逼迫するように！！
イヴ,それが分かっていながらナゼ！？
ＭＤＢ,課金に意味を問うか！ナンセンスだな！
イヴ,アナタは歪んでいます！
ＭＤＢ,そうさせたのは限定☆4だ！。排出率１．5％という確率だ！！。だから私は貴様を倒す……パスパレファンのユーザーなどどうでもいい、己の意思で！
イヴ,アナタだってユーザーの一人でしょうに！
ＭＤＢ,ならばこれはユーザーの声だ！！
イヴ,違います！アナタは自分のエゴを押し通しているだけです！。その歪み……私が断ち切ります！！
ＭＤＢ,よく言った、ブシドー！！
イヴ,ハァァァァ！！
ＭＤＢ,チェェストォォォ！！
イヴ,…………
ＭＤＢ,…………。……ぐっ
イヴ,……私の勝ちです、ミスターダークブシドー
ＭＤＢ,くっ……なんとブザマな……！
イヴ,アナタのニクシミに囚われたカタナでは、私を斬ることはできません。私のブシドーには、散って逝ったアヤさんの魂が……私の帰りを待つ仲間の気持ちがあるんです。アナタ一人のダークブシドーでは……私に届きません
ＭＤＢ,私は……この程度だというのか……！。くっ……情けは無用……斬るがいい
イヴ,いいえ、斬りません
ＭＤＢ,私をブジョクするか！生き恥を晒すは耐えきれぬ！
イヴ,…………
ＭＤＢ,ならば……ブシドーとは、死ぬことと見つけたりっ……！
イヴ,させません！
ＭＤＢ,なっ……！？
イヴ,……セップクもさせません。アナタが死ぬことなど……天国のアヤさんは望んでいません。きっと……生きて、世のため人のためにその命を使ってほしい。そう思っているハズです
ＭＤＢ,っ……
イヴ,もし生きる意味が必要なら、私がいつでもお相手します。だから、その命……残された人たちのために使ってください
ＭＤＢ,……あえて言う、覚えておくがいい！
イヴ,はい。いつでも、挑戦をお待ちしてます。ふぅ……これにて一件落着、ですね！。…………。……うーん、なんだかとてもいい夢を見たような気がします！。ニホンでは元旦の初夢に縁起がいいものを見れるといいことが起こるって言いますし、去年よりも素敵な一年になりそうですね！。よーし、今年はもっともっとニホン文化を学んで、色んな人と仲良くなれるように頑張りましょう！。ブシドー！
彩,あー、あー……ううん、やっぱり上手く音程が取れないな……。これでダンスもしながらやらなくちゃいけないんだもんね……もっと練習しなきゃ。……～♪
千聖,……あら？
彩,～♪……うん？あれ、千聖ちゃん
千聖,どうしたの、彩ちゃん。今日はパスパレの活動はお休みじゃなかった？
彩,あ、うん、そうなんだけど……ちょっとね、この前のライブで失敗しちゃったところがあったから、自主練しに来たんだ
千聖,そうだったの……
彩,千聖ちゃんはどうしたの？
千聖,私も彩ちゃんと同じ理由よ。他のお仕事があったんだけど、それが延期になったから少し体を動かしていこうと思って
彩,そうだったんだ。じゃあ一緒にレッスンしようよ！
千聖,そうね。折角だし、そうしましょうか
彩,それじゃあ千聖ちゃん、ちょっと私の歌とダンス、見てもらっていい？
千聖,ええ、良いわよ
彩,それじゃあ……。はぁ、はぁ……どうかな？
千聖,うーん、最初の出だしはほとんど完璧だったんだけど……二番の変調するところから、ちょっとずつ体がブレているわね。それに引きずられて音程も少し外していたわ
彩,あーやっぱり……どうしてもそこが苦手なんだよね……
千聖,でも一番はしっかり出来ているんだし、ひょっとして技術的な問題じゃなくて体力的な問題なんじゃないかしら
彩,うん……確かにだんだん息が上がっちゃって……余裕がなくなってきたところで変調するからそこでぎこちなくなるんだよね……
千聖,なら体力トレーニングをするのが先かしらね
彩,それは分かってるんだけど……一人だとあんまり身が入らなくって。みんなとのレッスンの時はやっぱり全体の動きを合わせなきゃだからそういう時間もなくて……
千聖,そうね……でも今日は私と二人の自主練なんだし、ちょっと頑張りましょうか
彩,うん……ごめんね、私のレッスンに千聖ちゃんを付き合わせちゃって
千聖,ああ、それなら大丈夫よ。ついでに私のレッスンにもなることをすればいいんだし
彩,え？
千聖,やっぱり歌を歌うのには肺活量が大事よね？
彩,あ、うん、そうだね
千聖,で、私、今度の映画でキスシーンがあるのよ
彩,うん……うん！？
千聖,その練習を彩ちゃんに付き合って貰えば一石二鳥じゃない？
彩,え、いや、それは……
千聖,さぁ、彩ちゃん
彩,ま、待って待って！私、ずっとダンスとかしてて汗臭いし、せめて歯を磨かせて！！
千聖,大丈夫よ。大丈夫……
彩,大丈夫じゃない目をしてるよ千聖ちゃん！？待って、私の両肩に手を置かないで！？
千聖,いつもしてるじゃない
彩,そっ、そうだけどさ……流石にこんなところで――んむ！？
千聖,ん――
彩,あああレッスンルームで千聖ちゃんとキスしてる……！。いけない事なのに頭がクラクラして抗えない……！！
千聖,――ん
彩,ぷはっ、ち、千聖ちゃん、強引すぎるよ
千聖,ごめんなさい、彩ちゃんが可愛くてつい……
彩,もう……千聖ちゃんなんて知らないっ
千聖,ああ、拗ねないで、彩ちゃん。今度は優しくするから……ね？
彩,……それなら……許してあげる
千聖,それじゃあ彩ちゃん……
彩,うん……ん――
千聖,…………。…………。……新年早々、なんて夢を見るのかしら……。欲求不満なのかしらね、私って……
彩,うーん……千聖ちゃーん……
千聖,……ああ……そう言えば昨日は彩ちゃんが泊まりに来てたわね
彩,流石に……それは私に入らないよ……マズイって……
千聖,……くす、どんな夢を見てるのかしら
彩,アイドルがピッチリの全身ピンクタイツは……絵的にも……版権的にも危ない……よ……
千聖,彩ちゃんの夢にも私が出てきているのかしらね。そうだと嬉しいわ。……私も二度寝しよう。私はもう一度ベッドに横になって、少しうなされてる彩ちゃんを抱き枕にして、目をつぶる。今年もよろしくね……彩ちゃん……
彩,タイトルは……やまあやちゃん……？それもう完全に……宣戦布告だよ……
今日は,ゆら・ゆらRing-Dong-Dance
