ナレーション,以下N
ドロロ,ひどいよケロロく～ん・・・
ケロロ,あ、忘れてた。と、というわけでこちらドロロ兵長であります
ドロロ,うう・・・
華,まぁまぁドロロさん、私も気持ちはわかりますよ
ドロロ,え・・・
華,5人組グループではよくあることですから・・・みほゆかとかさおまことか・・・
ドロロ,華殿ぉ・・・
沙織,華、そういう発言やめて
みほ,わ、私は華さんも大好きだよ！
華,ええ、わかってますよ
ケロロ,さて、これで本当にケロロ小隊全員揃ったことだし、とりあえずアレやっとく？
タママ,はいですぅ！
ギロロ,おう！
クルル,ク～クックック・・・
ドロロ,心得た
優花里,何が始まるんでしょう・・・
N,出ました！本編でも滅多にない共鳴×５！
沙織,な、何この声・・・頭が割れる・・・
麻子,眠気が覚めるな
優花里,鳥肌が立ちます・・・
みほ,可愛い・・・
華,いい音・・・何だか、心地いい・・・
N,感想は人それぞれのようですね
ケロロ,よーし！早速船に戻って作戦会議であります！
ギロロ,おい、船は・・・
ケロロ,え・・・
タママ,そもそもボク達が離れ離れになったのって・・・
クルル,こっちの世界に来た瞬間ヤツに襲われて散り散りになったからじゃねぇか？
ケロロ,そ、そうでした・・・。そういえばモア殿もまだ・・・
タママ,あんな女のことなんかどうだっていいですぅ！
沙織,あ！ヤバイそろそろ遅刻に・・・
優花里,急ぎましょう！
みほ,皆、とりあえずついてきてください！
ケロロ,りょ、了解であります！
みほ,とりあえずここで待っててください
沙織,お昼には来るからね～
華,一緒にお昼ご飯食べましょう
麻子,じゃあな
優花里,それでは、我々はこれで！
ケロロ小隊,・・・・・・
ケロロ,まさか・・・学校に戦車があるなんて・・・
ギロロ,もしやあいつら軍人学校の生徒じゃあるまいな
タママ,サッチー達すごい人だったんですぅ？
クルル,・・・いや、そうでもないみたいだゼェ
ドロロ,どういう事でござる？
クルル,ネットで調べたら、こっちのペコポンでは、戦車道っつー武道があってだな・・・
ケロロ,武道？
ドロロ,心身を鍛えるための授業でござるな
クルル,ここの生徒にとっちゃ、戦車なんて野球のバットとかサッカーボールと大して変わんねぇってトコだな
ギロロ,何だと・・・
タママ,すごいですぅ・・・
ドロロ,戦いの道具を平和利用する・・・良き事でござるな
ギロロ,それより、問題なのは本部から俺達に課せられた任務だ
ケロロ,そうそう、そうでありました！
ギロロ,大丈夫かホントに・・・
ケロロ,わかってるでありますよ、この任務は超危険な任務・・・
タママ,・・・・・
ドロロ,・・・・・
クルル,クク・・・
ケロロ,この世界に逃げ込んだキルル討伐であります！
N,簡単に説明すると、キルルとは劇場版でよく出てくる怪物です
ケロロ,ずいぶんざっくりでありますな
クルル,そんで奴を追うために時空移動船で追跡したってのによ
ギロロ,ケロロ！貴様が余所見などしているから奴の不意打ちを喰らったんだろうが！
ケロロ,だ、だって～他の世界のペコポンも面白そうだったんだも～ん！ガンプラでバトルできる世界とかあったし・・・
タママ,ボクはキラキラしたスイーツのある世界に行きたかったですぅ
ドロロ,まぁまぁ、それで、これからどうするのでござる？
ケロロ,ううむ・・・ここは。タママ２等兵！ギロロ伍長！ドロロ兵長！諸君に偵察を命ずる！
タマギロドロ,！
ギロロ,偵察だと！？
タママ,サッチー達はここにいろって言ってたですぅ
ケロロ,こういう時こそ、地道な活動が実を結ぶであります
ギロロ,まぁ確かにそうだな・・・行ってくる
ドロロ,御意
タママ,軍曹さんがそういうなら行ってくるですぅ！
ケロロ,昼までには帰ってくるでありますよー！
クルル,で、隊長はどうするんだ？
ケロロ,そんなの決まってるであります！。優花里殿と作ってたガンプラの仕上げであります！
クルル,ああそうかよ
N,真面目に仕事しなさい
クルル,じゃあ俺はこの戦車共を調べるとするかな、ククク
ケロロ,え、そんなすごいもん何でありますか？
クルル,さっきはああ言ったが、この戦車中々だゼェ。どんな材質使ってるかわからねぇが、中の奴らの安全を守るように作られている。確実にこっちのペコポンより技術力は上だな
ケロロ,ほう・・・
クルル,ま、船の上に学校や町なんて作る連中だ、そのくらいはやってのけるだろうよ
ケロロ,もしや優花里殿達って凄い方々なのでは・・・
クルル,ま、それは確実だな
ケロロ,ケロ？
クルル,今この学校のデータベースにハッキングしたんだが、過去2回廃校の危機に陥っている
ケロロ,マジでありますか！？
クルル,ま、お偉いさんの都合って奴だな、だがどちらも戦車道の試合で勝利して帳消しにした。本格的に戦車道を始めたのは今年なのにも関わらず・・・だ
ケロロ,何と・・・優花里殿達恐るべしであります！
クルル,こっちのペコポンにいなくてよかったな
ケロロ,そしたら侵略どころではないであります！
N,いやいや、いてもないなくても侵略どころじゃないじゃないですかアンタら。とまぁケロロ小隊が行動を開始したころ、大洗の学園艦から少し離れた所にある無人島では・・・
モア,・・・・ん？。あれ、私どうしたんでしたっけ・・・てゆうか意識朦朧？
ミカ,やぁ、起きたかい？
モア,あなたは・・・？
ミカ,名乗るほどの者じゃないさ
モア,あ、そういえばおじさま！おじさま達はどこに・・・
ミカ,聞いちゃいないね、人を探しているのかい？
モア,はい、おじさまがどこに行ったか知りませんか？てゆうか人物捜索？
ミカ,といわれてもね、私もここがどこだかわからないからね
アキ,ミカー！あ、その人起きたんだ
ミカ,ああ、食事の準備はできたかい？
アキ,うん、空から落ちてきた船に食料がたっぷり入ってたからね
モア,え、それっておじさまの船・・・てゆうか無断拝借？
ミカ,ああ、そうなんだ、ちょっと借りてるよ
アキ,ミッコも待ってるから早く！
ミカ,そうだね、一緒に食べるかい？おじさまとやらを探すのはそれからでもいいだろう？
モア,わかりました！元々私達の物ですけど・・・てゆうか本末転倒？
ミカ,じゃあこっちだ
モア,はい
アキ,何だかミカが2人いるみたい・・・
N,さて、そのころ偵察中のメンバーはというと・・・
ギロロ,ふむ、ここは体育館か・・・
典子,根性ー！！！
あけび・妙子・忍,おおーっ！！！
ギロロ,な、何て熱気だ・・・。バレーボールか、それにしても凄い気迫・・・。ここのペコポン人は根性も段違いのようだな
典子,よーし！どんどんいくぞー！
ギロロ,え？
典子,超高速サーブ！
ギロロ,お、俺はボールじゃないいいいいいいいいい！！！！！
N,その頃、ドロロ兵長は・・・
ドロロ,ふむ・・・。戦車道の他に、よもや仙道や忍道まであるとは・・・。この学校は、中々意欲的でござるな。む、あれは・・・
座衛門座,・・・・・
おりょう,・・・・・
ドロロ,あの娘達、昔の日本を意識した格好をしているでござる。若いのに感心でござる
座衛門座,・・・フッ
エルヴィン,どうした？
おりょう,今何か褒められた気がしたぜよ
カエサル,は？
N,そして、タママ２等兵は・・・
タママ,とりあえずあの子達についてってみるですぅ
桂利奈,ふぇ～やっとお昼だよぉ
梓,あれ？紗希どこ行くの？
紗希,・・・・・
あゆみ,ちょっと用事すましてから食堂行くって
優季,そっか～
あや,なるべく早くね
紗希,・・・・・・・
タママ,あの子・・・どこへ行くですぅ？
N,おやおや、あの紗希ちゃんという子、誰もいない校舎裏に来ましたね
紗希,・・・・・
タママ,こんな所で何を・・・
紗希,・・・・・出てきて
キルル,小
タママ,あれは・・・キルル！？
紗希,・・・ほら、ご飯だよ
キルル,小
N,何と、キルルが大口を開けて・・・
紗希,あ・・・
タママ,！
N,その頃のケロロ軍曹達は・・・
優花里,軍曹殿、お待たせしました
ケロロ,あ、優花里殿、もうお昼でありますか？
華,はい、おや？ドロロさん達は・・・
ケロロ,あ、いやちょっとトイレに・・・
沙織,見つかると面倒だからあんまりうろつかないでよね
優花里,って曹長殿！我々の戦車に何をしているのですか！
クルル,悪ィな、ちょっと調べさせてもらってるゼェ、ククク・・・
麻子,壊すんじゃないぞ
沙織,じゃあ皆が戻ってきたらご飯・・・
ケロロ,ケロ！？
優花里,い、今の音は・・・
キルル,超巨大
N,あらら、キルルが巨大化してしまいましたね
優花里,ななな何ですかあれは・・・
ケロロ,やっべぇ・・・キルル出てきちゃったよ・・・
ドロロ,隊長殿！
ギロロ,まずいことになったな
タママ,軍曹さーん！
ケロロ,タママ2等、その子は？
タママ,キルルに食べられそうな所を助けてきたですぅ！
紗希,
麻子,丸山さんじゃないか
タママ,気を失ってるだけだから平気ですぅ
みほ,よかった・・・でもこれからどうしたら・・・。あ、角谷先輩から電話が・・・
華,おかげさまで
優花里,え、じゃあこの学園艦は・・・
沙織,そんな・・・
麻子,そもそも自爆装置なんてあったのか
みほ,ほかに方法はないんですか？。あっ・・・
優花里,どうしましょう・・・
ケロロ,・・・・・。・・・優花里殿
優花里,はい？
ケロロ,優花里殿は、この町が好きなのでありますか？
優花里,勿論、故郷ですから
ケロロ,そうでありますか・・・
優花里,軍曹殿？
ケロロ,ここは吾輩達にまかせるであります！
タママ,またサッチーのお菓子が食べたいですぅ！
ギロロ,もとよりそういう任務だしな
ドロロ,こちらのペコポンの平和も守るでござるよ！
クルル,ク～クックック・・・
ケロロ,それではケロロ小隊！出撃であります！
タママ,はいですぅ！
ギロロ,了解！
ドロロ,ニンッ！
クルル,ククク・・・しょうがねぇなぁ
優花里,軍曹殿・・・
華,大丈夫でしょうか・・・
沙織,心配だよね・・・
みほ,うん・・・
そど子,あ！あなた達何やってるの！早く非難を・・・
麻子,そど子、丸山さんを頼む、友達の所へ連れて行ってやってくれ
そど子,え？
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！
タママ,タママインパクトォ！！！！
ギロロ,喰らえ！
キルル,キルゥ・・・
ギロロ,何！？
タママ,効いてないですぅ！
クルル,どうやらビーム攻撃に耐性があるようだなぁ・・・ククク
ケロロ,マジで！？
ギロロ,クッ・・・今はビームライフル一丁しかないぞ！
クルル,主要な武器は船に置いてきちまったからな
ドロロ,ならば拙者が！トイヤッ！
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！！
ドロロ,うおっ！
タママ,すごいビームの嵐ですぅ！
ドロロ,これでは近づけないでござる！
ケロロ,クルル～どうすればいいの～！？
クルル,だったら遠距離物理攻撃しかないんじゃね？
ギロロ,クソ・・・バズーカ砲さえあれば・・・
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！
ケロロ,これはまずいであります・・・優花里殿・・・
？？,撃て！
キルル,キルッ！
ケロロ,え！？
ギロロ,今の砲撃は・・・
N,軍曹達の前に、一台の戦車が現れた！
みほ,皆さん！
華,大丈夫ですか？
麻子,間に合ったようだな
沙織,うわっ・・・近くで見るとデカッ！
優花里,軍曹殿！一緒に戦いましょう
ケロロ,優花里殿・・・みんな・・・
クルル,ククク・・・そう来ると思ったぜ
優花里,曹長殿？
クルル,こんなこともあろうかと、こっそり戦車を改造しておいたのさ
沙織,いつの間に・・・
麻子,どおりで操作性いいと思った
華,砲撃の音も違いましたね
みほ,終わったらちゃんと戻してくださいね
クルル,へいへい。あ、そうだ隊長、さっき作ったガンプラ出せよ
ケロロ,え？このMGガンタンクが何か？
クルル,ポチっと
ケロロ,ケロッ！吾輩のガンタンクが大きく・・・
クルル,こっちにも仕込んでおいたゼェ・・・ククク
N,完成！1/1ガンタンク！
ケロロ,車長
クルル,通信手
ギロロ,砲手
タママ,装填手
ドロロ,操縦手
ケロロ,優花里殿！ここは我らケロロ小隊と・・・
優花里,はい！我々あんこうチームの共同戦線開始です！西住殿、温度を・・・
みほ,あ、はい！それではケロケロ作戦、開始します！。パンツァー・フォー！
ケロロ,ケロロ小隊、出撃であります！
N,かくして、ケロロ小隊とあんこうチームの戦いが始まりました
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！
みほ,麻子さん！２時の方向から攻撃！
麻子,わかった
ケロロ,ちょっと！弾幕薄いよ！何やってんの！
ギロロ,す、すまん・・・
キルル,キルウ・・・
ドロロ,大分弱ってきたでござるな
ケロロ,よーし！ケロロ小隊突撃！あんこうチームはそのすきに急所を狙い撃ちであります！
優花里,了解！
ケロロ,いくぞおおおおおおおおおおおおおおおお！！！！！
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！
ギロロ,よし！そのまま押さえつけろ！
みほ,これで最後・・・撃て！
華,はい！
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！
タママ,倒れたですぅ！
ケロロ,やったか！？
優花里,ぐ、軍曹殿・・・その台詞は・・・
キルル,キシャアアアアアアアアアアアアアアアアアアアアアア！！！！！
麻子,あ、蘇った
ギロロ,ケロロ！貴様という奴は・・・
ケロロ,だ、だってお約束だし・・・
沙織,もうおしまいだよお・・・
モア,アンゴル族究極奥義！黙示録撃！！！
キルル,キルウウウウウウウウウウウウウウウウウウウウ！！！！！
N,キルル、消滅！
沙織,え、何？
麻子,終わった・・・のか？
モア,おじさま～
ケロロ,モア殿！
タママ,あの女アアアアアアアアアアアアア！！！！美味しいとこ持っていきやがってええええええええええええええええ！！！！！
ギロロ,結果はどうあれ、任務終了か
ドロロ,これにておいとまするでござる
みほ,え、もう帰っちゃうんですか？
クルル,異世界に長居するのもよくねぇからなぁ、船も戻ってきたし
ケロロ,ここでお別れであります
優花里,軍曹殿・・・
沙織,タマちゃん！お菓子また食べに来てね！
タママ,はいですぅ！
クルル,ま、なるべく早起きはしろよ
麻子,・・・ああ
華,今度一緒に花を活けましょう
ドロロ,よいでござるな
みほ,今度ボコミュージアムに行きませんか？
ギロロ,フン、まぁ行ってやらんでもない
ケロロ,優花里殿、また一緒にガンプラ作るであります！
優花里,はい！
モア,それでは発信！てゆうか出発進行？
ケロロ小隊,さようなら～
あんこうチーム,元気でね～
N,かくして、ケロロ小隊は元の世界に帰っていったのでした・・・
ケロロ,ケロオオオオオオオオオ！！！！！！？？？？？
N,・・・あれ？
ケロロ,ケロ・・・
優花里,軍曹殿！
沙織,もう戻ってきた・・・
麻子,何かあったのか？
ケロロ,それが・・・船が突然爆発を・・・
みほ,アフロ頭可愛い・・・
N,一体何が原因なんでしょうね？
アキ,ミカ！いいパーツが沢山手に入ったね！
ミカ,人助けもたまにはしてみるもんだね
華,それで他の皆さんは？
ケロロ,結構広範囲に吹っ飛んだからわからないであります！
モア,ここはどこでしょう・・・てゆうか暗中模索？
ケイ,OH！空からパツキンガールが降ってきたわ！
タママ,もっとおかわりですうううううううう！！！！！
アンチョビ,ああ我々のおやつが・・・
クルル,ク～クックック・・・これは背が伸びる機械だ・・・
カチューシャ,本当！？
ノンナ,カチューシャに変な事吹き込まないでください
ダージリン,紅茶でいいかしら？
ドロロ,・・・かたじけないでござる
ローズヒップ,私にも忍術教えてほしいですわー！
オレンジﾍﾟコ,ローズヒップさん、落ち着いてくだし
ギロロ,気を付け！目を食いしばれェ！
エリカ,できないわよそんな事！
ギロロ,そうだ！普通はできん！
エリカ,何なのよ一体・・・
ケロロ,みんなにも探すをの手伝ってほしいであります・・・
沙織,しょうがないなぁ
麻子,ま、乗りかかった船だしな
華,まずは他のチームの皆さんにもケロロさん達を紹介しません？
みほ,他の学校にも連絡してみましょう
優花里,それじゃ軍曹殿、行きましょう！
ケロロ,よっしゃぁ！ケロロ小隊とあんこうチームの共同作戦・・・
ケロロ・優花里,開始であります！
みほ・沙織・華・麻子,おー！！！！
N,こうして、再び作戦を開始した軍曹とあんこうチーム、はてさてどうなることやら・・・
