※出演してほしい艦娘,空母、軽空母、水母など空母限定
赤城,というのは冗談でえ～w。今日もまた、余興に参加してくれる艦娘の方々がおられまーす！。皆大鳳さんの幸せが嬉しいようです！ではこの方々です、どうぞ～。では最初の余興はこの方々～。春雨さん＆天城さんで～す
春雨,白露型駆逐艦、春雨です。よろしくお願いします
天城,雲龍型航空母艦、天城です。よろしくお願い致します
春雨,えー。ショートコント。天城越え。天城さぁん、今日砂浜で優勝した加賀さんの歌、すっごくよかったですねー
天城,ええ、そうですね。やはりあのこぶしを効かせた演歌は素晴らしかったですね
春雨,そういえば、妹さんの葛城さんも出演されていたとか！
天城,ええ、残酷な天使的なテーゼ？を歌って完全敗北していたけれど
春雨,それはあれですねー。春雨特製、麻婆春雨の出番ですねー
天城,ですね。ではでは、天城。歌います。聞いてください。天城が傷ついた時のメンヘラ顔がエグすぎて話にならなかった件
春雨,天城越えちゃうんかい～！！
天城,ご清聴ありがとうございました
春雨,おあとがよろしいようで……
瑞鶴,いや歌えよwwwwwwwww
蒼龍,そこまで言って歌わねえのかよwwwwww
龍驤,大体おあとよろしくねえだろwwwwwwww
赤城,麻婆春雨の出番どこにあったんですかwwwww
加賀,ぐっ……！
赤城,加賀さんwww。さあ、ではの余興はこの方々～。黒潮さん＆吹雪さん＆夕立ちさんで～す
黒潮,黒潮や！よろしゅうな～
吹雪,特型駆逐艦、吹雪です！司令かぁん！よろしくお願いします！
夕立,っぽい！！
黒潮,えー、ショートコント。バーニングラブ。いやーしかし、金剛さんのあの声なんとかならんかいな～。バーニング？なんたらやったっけ。戦闘中いちいち振り返ってしまうんよなあ
吹雪,ま、まあまあ。あれは金剛さんの代名詞みたいなものだからさ、はは
夕立,夕立としては、吹雪ちゃんに再現してほしいっぽいー
吹雪,へ、へえ！？私に！？いや、そんな！で、でもでも！
黒潮,なんやねん。恥ずかしがっとるんー？
吹雪,だ、だだだだって、やっぱり憧れの人だしさあ！
夕立,憧れの人だからこそ、マネしてほしいっぽい
黒潮,せやなあ、そんな吹雪ちゃんの恥じらう姿、見てみたいわあ
吹雪,ええ～？ぜ、ぜったい、金剛さんに言っちゃダメだよ～？
夕立,大丈夫大丈夫！
吹雪,それじゃあ、いくね？
黒潮,なっが！！！
夕立,おあとよろしいっぽい！！
蒼龍,だからよろしくねえだろwwwwwwww
大鳳,何回このくだりやるんですかwwwwww
飛龍,説明なっがwwwwwwwwww
瑞鶴,政府はこれをなんて発表するのwwww
赤城,いやー。吹雪さんもやるようになりましたねー。では次はこのお二人、龍鳳＆霧島さんです
龍鳳,どうも。軽空母になった龍鳳です
霧島,マフィアの霧島です
龍鳳,いやいや、突然どうしたんです霧島さん！
霧島,マイクチェックの時間だオラァ！！！
龍鳳,怖い怖い！メガネが光って怖いですよお！
霧島,･･･一個だけ･･･
龍鳳,えっ？
霧島,一個だけ･･･聞かせてくれいや
龍鳳,ど、どうぞw
霧島,根掘り葉掘りってよォ～。根を掘るってのは分かる。根は大木のしたで確かに張ってるものだからな。だけど、メガネを外して命中率が上がるってのはどういう了見だァ～ッ！！？アニメふざけとんのかコラァ！！だったら最初っからわしのメガネいらんやないかコラァ！！
龍鳳,お、落ち着いてキ・リ・シ・マ・さん！！
霧島,オレぁ落ち着いてるってんだよォ～っ
龍鳳,くそっ。こんなこと言っても全然霧島さんは落ち着いてくれないわ･･･どうしよう。はっ、そうだ、これしかない！。霧島さん、メガネ失礼します。バルス！
霧島,目がァ～。目がァァアアア～
龍鳳,お後は･･･？
飛龍,いや客にオチ求めんなwwwww
瑞鶴,よろしくねえよwwwメガネ外しただけだろうがwww
蒼龍,ラピュタネタ強引すぎるwww
赤城,なにこれwwwwwwwwww
加賀,･･･
赤城,加賀さん正直すぎwww。さあ、では最後の余興はこの方々～。伊58さん＆球磨さんでーす
伊58,海の中からこんにちわー！ゴーヤだよ？
球磨,クマー。球磨だクマ
伊58,えー、ショートコント。すごいよ球磨さん！。球磨さん、ゴーヤの愚痴、聞いてほしいでち！！
球磨,どうしたクマー
伊58,最近、ゴーヤ、ずっとオリョール回ってるでち！！
球磨,それは仕方ないクマー。みんなの出撃のためクマー
伊58,まあ、それはいいでち。仕方ないでち。だけど最近、一緒に出撃する呂にはうんざりでち！
球磨,なにがあったクマー
伊58,最近あの子、ゴーヤのことを、でっちでっち言ってくるでち！！ゴーヤはでっちじゃないでち！！
球磨,まあそんなときもあるクマー
伊58,極めつけはこれでち！！。昨日飲み会で、あの子がゴーヤに向かって一気コールしたでち。でっちでっちでち、でっちでっちでち、でっちでっちでち、でっち？。うおおおおおおおおおおおおおおお！！！！。でっちじゃねえぞコラアアアアアアアアアアア！！！！
球磨,まあまあ、落ち着くクマー
伊58,うう･･･球磨さんは優しいでち･･･！でっちの愚痴を聞いてくれるの、球磨さんしかいないでち･･･！
球磨,今自分で自分のことでっちって言ったクマー。まあなんだろクマ。妹の大井や北上に比べたら全然楽クマ
伊58,さっすが球磨さん！！
瑞鶴,お、おうwww
大鳳,これも結局自虐ネタを含むというwww
蒼龍,球磨ちゃん苦労してるんだなwww
赤城,いやー、面白かったですねー！最高です！。皆さんありがとうございました～。では拍手拍手！。おっと
加賀,赤城さん、大丈夫ですか？
赤城,あ、ごめんなさい加賀さん。少し酔いすぎてしまいました。はは
加賀,･･･お部屋までお連れしましょう
赤城,いえいえ。そんな。夜はこれからですよ！
加賀,･･･なら、いいのだけど
赤城,ヘーーーイ、大鳳さん！飲んでますかー！？
大鳳,あ、はは。はい。飲んでおります
赤城,テーイトクのハートを掴んだのはー！！。アーナタデース！あははは～
大鳳,どうしたんです赤城さんwww
赤城,んー、嬉しいんですよお～。ほら、飲んで飲んで！
大鳳,あ、ありがとうございます。そのように喜んでくれて、大鳳も嬉しいです
赤城,うはははー。よかったよかった～。幸せになってくださいねえ～？うりうり
大鳳,あはは。く、くすぐったいですよお！
赤城,まったまた～！提督と一緒のときは、これ以上のことしてたんでしょお～？
大鳳,そ、そんなことないですよw
赤城,あはははは･･････！
鳳翔,･･････
大鳳,ふうっ。ああー。今日は酔ってしまいました。でも、提督とは意思の疎通ができたし。先輩方も皆、喜んでくれていた。すごく、すごく暖かい気持ちになれたなあ。よーし。今後も、この鎮守府のために、頑張らなきゃ。あんな暖かいご先輩方にも、恩返しするために！。ん･･･？。個人ライン･･･？誰かしら。あ、お母さん
お母さん：,いつでも、えがおのあるちんじゅふを。〃＾∇＾
Bismarck：昨日お休みがあったでしょう。私はそこで言ったの。,Admiral。あんたは今日大鳳とずっと入渠場にいなさい
Z1：その割に、デートの時は,ここでミーが邪魔することにヨッテー、二人の愛が燃え上がるのデース
