モバP,……え？
拓海,なぁ……。アタシの前じゃ、泣けねえってのかよぉ……
P,確かに全く涙も出なかったかと言えば嘘になるけど。別れてすぐは何か大きな物を失った気がして一人で泣いていたこともあったけど。そんな時……彼女と一緒に通っていた大学時代の友達がどこからともなく事の次第を嗅ぎ付け、俺の周りにぞろぞろと集まってくれて。久し振りに会ったにもかかわらず昔の話に花を咲かせるうちにあの頃の空気にすんなり戻れてたちまちワイワイ盛り上がって。懐かしくもこそばゆい楽しさの中、ふと昔を思い出すとそういえばこの輪の中には“彼女”もいたんだななんて。そんな記憶がぶり返すや歯がゆさと切なさに襲われ抑えきれず身体が震えてきて、けどその肩にそっと旧友の温かい手が置かれ。泣きたい時には泣けよこんな時くらい痩せ我慢するなと染み入るような言葉に、気が付けば俺の心のダムは決壊し。壁にぶち当たった子供みたいに泣きじゃくってる俺の前で、バカみたいに溢れるくらいグラスにビールを注いで。今日は飲め、飲み倒せって大騒ぎしてる親友たちを見ているうちに、なんだか一人で泣いているのがアホらしくなって。アイツらと一緒になって騒いで、何回も大笑いして、酔いに沈んで目を覚ますと空は抜けるように明るくて。胸にぽっかり空いてた穴に洗い流すような風が吹いたなんて……。言えない………
拓海,っく……っ……
P,ダ、ダメだ、何だかんだ言っても、ここで拓海の誠意に応えられないようじゃ。プロデューサー失格だ！。泣け！泣くんだ俺！！。……げおっ……ぉぐぇええええええ
拓海,………
P,どうしよう……死に瀕したヒキガエルみたいな声が出てしまった……。泣き真似下手すぎだろ俺……自分の無力さが嫌になる
拓海,……！。へへっ、んだよ……やっぱり泣きてぇんじゃねえかよっ
P,俺が泣いてるのを喜んじゃってる……
拓海,へへ……このっ
P,肘でグリグリしてきた……。さっきの泣き方でオーケーなのかとか言えない……
拓海,……
P,拓海のグリグリが止んだ……
拓海,あのよ……アンタ、さ
P,あ、ああ
拓海,ここ数日、仕事も休んでただろ
P,……
拓海,あれって、さ。その……どこ、行ってたんだよ……。……
P,すごい不安そうな瞳で見上げられてる……。顔もすごく近い……
拓海,………
P,アメリカに旅行してたなんて言えない……。さっきの大学時代の友達と話が盛り上がって、そのままの勢いで有給取っちゃって。渡米したあげく親友たちとUSAのアトモスフィアに思うさま浸ったなんて……言えない
拓海,心配なんだよ、アタシ……
P,……
拓海,このままアンタがどっかに行っちまうんじゃないかって……だってよぉ
P,……
拓海,なあっ、平気なんだよな？生活とか、大丈夫なのかよ。共働きだったんだろ？アンタそういうの全然話さねえからっ
P,だって言えないだろ……カジノで300万当たったなんて……
拓海,不安なんだっ……
P,落ち着け拓海、俺は平気だから。カジノで300万も当たったから……。拓海には傷心旅行だなんて恥ずかしくて伝えてなかった……
拓海,……
P,……拓海？
拓海,アンタ、肌がだいぶ浅黒くなったな……
P,そ、そうか？
拓海,そうだよ、アタシの目はごまかせねえぞ、アタシがどれだけアンタのこと……
P,……
拓海,なんでもねえよ……
P,そこまで言ったらもう全部言ってほしい……いや、俺も人のこと言えないな……。西海岸で焼いてきたなんて……
拓海,何してたんだよ……フザけんなよ、アタシに心配かけんな……。道路っぺりで、虚ろな目で歩いてたりとか……そういうのが勝手に思い浮かんじまう
P,拓海、俺は平気だから
拓海,さっきからそればっかじゃねえか！他に言うことねえのかよ！！
P,！
拓海,なあオイ……言えよ、どこで何してたんだよ……っ！
P,……
拓海,頼むよ……P……。っ……く、ぅ……
P,これ以上……拓海の悲しむ顔は見たくない……。ここはあえて言うべきか……そうだ、もう言ってしまおう。拓海に全部打ち明けよう……！。西海岸で、焼いてきたんだ……
拓海,………
P,憐れむような目で見られた……。クソっ、余計に悲しい顔にさせてしまった！何がいけなかった！？。そのまま伝えたのがマズかったか……そうか、ちゃんと一から経緯を説明していれば……！。話術ゼロかよ俺……！！
拓海,ホント、どうしたんだよアンタ……
P,……
拓海,ちひろさんに聞いたぞ……部屋の整理を始めたって。引っ越しか何かか？
P,……
拓海,じゃなかったら何だよ、何考えてんだよ。まさかプロデューサー辞めるとかじゃねえよな……
P,辞めないよ。	一人で住むにはもう広すぎるからさ……
拓海,本当に、それだけなんだな？
P,……
拓海,アタシが考えてる最悪の事、現実になったりしねえよな……！？
P,ああ、ならない。これに関してはマジで引っ越し
拓海,そう、か……
P,ただ……。さっきの大学時代の友達と話が盛り上がって、ロックバンド渡米ユニバーシティfeat.Pを結成したため。防音設備のあるマンションを探してるなんて……言えないよな……
拓海,……
P,あとエアロビも始めた
拓海,すまねえ、P
P,え……？
拓海,アタシ、なんか変にナーバスんなっちまって……こんなのらしくねえよな。アンタに詰め寄ってばっかで、全部受け止めるとか言っておきながらよ……
P,っ、そんなことないっ、拓海は――。もう限界だ……。拓海にこれ以上辛い思いはさせられない。どうすれば……どうすればこの空気を払拭できる……！？。そうか！こうなればいっそ――。た、拓海
拓海,……ん？
P,ぅ……。うっそぴょ～～～～ん☆☆☆。じ、実はぜーんぶ、嘘なんだっ……ぴょ～～～ん☆☆
拓海,……
P,離婚なんかしてないっ……ぴょ～～～ん☆☆。妻も余裕でいるっ……ぴょ～～～ん☆☆
拓海,………
P,ぴょぴょんがぴょ～～～～ん☆☆☆
拓海,………
P,………
拓海,……っ、。～～～すんっ……
P,めっちゃ涙ぐまれた……。な、何故だ……どういうことなんだこの状況は……
拓海,ぅ……っく……
P,まさか――そうかぁあっ、これじゃあ傷心中の俺が痛々しいまでに気丈に振る舞ってるみたいな構図に！！
拓海,っ
P,わぁあああああ普段あんなに活発で豪放な拓海が手の付け根あたりで目をグシグシしてわぁああああああ。ま、待ってくれ！嘘というのはだな、別に全部が嘘ってわけじゃなくて
拓海,……
P,いや、妻も家にいる状態といない状態が重なり合ってるっていうか、そのな、あの。………え？。何かに包み込まれて……これって
拓海,……
P,拓海に抱き締められてる！！！？？
拓海,もう……無理すんなよ。そんなウソまでついて……自分をごまかすな
P,わぁあああああおᘄぱいわぁああああああおᘄぱいおᘄぱいわぁああああああああああ
拓海,アンタはよく頑張った。アタシは知ってるから。だからもういい。ゆっくり休め……な？
P,わぁあああああああああやらかいおっきいわぁああああああああああああああ。おっきいのにやらかいよおおおおおおおおなんでぇええええええええええ
拓海,何も気にする必要ねえから……今はこうしてろ……
P,気になるよぉおおおおおおやらかいのふしぎだよぉおおおおおおおおおお
拓海,……
P,――ってイカンイカン何してるんだ俺これじゃダメだろバカ！。た、拓海！
拓海,ひゃっ
P,拓海の気持ちはすごく嬉しいが、でも俺は――わぷっ！！？
拓海,コラ。あんま動くな。じっとしてろって……。あ、アタシはアンタの前から……いなくなったりしないから。ずっと一緒にいてやるから……
P,堕ちるよぉおおおおおおおおおおおおおおおおおおおおおおお。全然逃げられないよこれぇええええええええええええええ
拓海,……なんか、子供をあやしてるみたいだな、これ。あ、べ、別に変な意味じゃねえからなッ、勘違いすんじゃねーぞ！？
P,千の風に千の風になってあの大きな空を
拓海,っ、わりぃ、苦しかったか
P,吹きわたっています
拓海,ふふ……ったく、子犬みてえな目しやがって……。……な、なあP。今から少し……いや、かなり変なこと聞くけどよ……。別に、アンタが答えたくなかったら、無理に答えなくていいからな……じゃあ聞くなっつー話かもしれねえけど。でも、何だ……あぁもう！こうなったら聞いちまうけど、さ……。あ、アタシの胸……。アンタの、元の嫁さんより……大きかったり、するのか……？
P,……………。………。……。おっきくないわけないでしょぉおおおおおおおおおおおおおおお！！！？？？？！！？？。そりゃそうだよだって元の嫁さんの胸なんて平原だもんエグれてるもんペトリ皿かと思ったよあんなん。――ってダメだダメだ何で人のこと貶してるんだ、でもこの状態じゃ仕方ないんだよぉおおおおおお。大きい、よ……
拓海,！。そ、そうか……へへ、そっか……
P,ごまかしてもしょうがないから素直に言うよ。拓海にこうされてると、すごく落ち着く……安心する
拓海,っ
P,ありがとうな拓海。俺はお前のプロデューサーになれて、こんなに優しい子に出会えて幸せだ
拓海,なッ
P,その、変な意味じゃなくてな……
拓海,～～～～～。ンだよ……
P,……
拓海,別にそんな、キザッたらしい言葉聞くためにやってたわけじゃねえよ……
P,ひゃあああああああおᘄぱいってもうほんとおᘄぱいひゃぁあああああああああああ。でも、いつまでも拓海の優しさに甘えてるわけにはいかない
拓海,―――
P,一旦落ち着こう拓海、お互いに変な感じになってる。それで、そのあと話が
拓海,……だ
P,え？
拓海,……イヤだ
P,拓海……
拓海,P……。……アタシじゃダメか……？。アタシじゃ……アンタの嫁さんの代わりに……
P,それって……
拓海,！！。あっ、いっ、いきなり結婚とかそういう話じゃなくてな！その、だからよッ。……
P,拓海？
拓海,……自分でイヤなこと言ってるのはわかってんだ。これじゃあアンタの元の嫁さんが嫉妬してたアイドルそのまんまだ、最低だ
P,そんなこと……
拓海,でも……もう我慢できねえんだよ……。これ以上やり過ごそうとしてたら、もっとヒデェことになる。今こうやって、アンタの弱みにつけ込んでる以上のこと、仕出かしちまうかもしれねえ……。なあ、P……アンタならよく知ってるだろ
P,……
拓海,アタシは昔、チームのけつを持ってたんだ。欲しいモンがありゃ、周りに何て言われようが指差されようが、全力で手に入れる。そんな喧嘩上等の、特攻隊長だったんだぜ。……止めてみせろよ、悪い女を。アンタがあの時、アタシをスカウトしたみたいによ……
P,……
拓海,……
P,……どうしよう
拓海,……あ？
P,拓海のこと、止める気が起きないなんて……言えないよな
拓海,アンタ、何言って
P,アメリカに旅行に行ってたんだ
拓海,はぁ！？
P,大学時代の友達とあっちに行って、思いっきり遊んできた。この間の休みに
拓海,な……
P,肌が黒いのはビーチで焼けたんだ。バンドも組んだ。あと個人的にエアロビも始めた。それだけじゃない、俺はこうして拓海に話す前から、ソイツらと一緒にハメ外してた。傷は、もうとっくに癒えてたんだ
拓海,……
P,それなのに、俺はそのことを言い出せずに拓海に甘えてた。余計な心配をかけてばかりだった。本当にすまなかった――！
拓海,………
P,拓海が悪い女なんて、そんなことない。それを言うならこんな俺の方がよっぽど卑怯で、ズルい奴なんだ
拓海,……そう、か。じゃあ……。Pは、ヘコんでなかったんだな
P,……ああ
拓海,ずっと最初から、平気だったんだな
P,そうだ
拓海,不安になって、暗くなってたのはアタシ一人だったんだな……
P,……すまなかった。！！？？？
拓海,……よかった。よかったぜ……もう、立ち直ってたんだな……よかった、本当にっ……！！
P,！！！？？？！！？？？？
拓海,へへ……ったく、心配させやがってよぉ……コイツ……。バーカ……。……すんっ。ううぅ、Pぃい……
P,堕ちるよぉおおおおおおおおおおおおおおおおおおおおおおお！！！！！！！！！
拓海,のわぁあああああああああ！！？？？？
P,ひゃぁあああああああああおᘄぱいおᘄぱいひゃああああああおᘄぱいひゃぁああああああああ
拓海,ちょ、ちょっと待てどうしたんだアンタ！？何なんだよいきなりッ！？
P,やさしいしやらかいしふしぎだよぉおおおおおなんでぇええええええええええ！！！！？？？？
拓海,だから落ち着けッ、本当はやっぱりどっか壊れてんじゃねェだろうなァ！？って―――
P,あれ、拓海……
拓海,お……。お、おお、おᘄぱいって
P,あ
拓海,……
P,う……
拓海,そういうトコも、楽しんでたんだな
P,……は、はい……
拓海,人がマジで心配してたのに、アンタはその裏で、そんな。え、工口いことばっかり、考えてやがったんだな……
P,……そうです……申し訳ありませんでした……
拓海,……
P,っ！～～～！！
拓海,いいよ……
P,え―――
拓海,だから、別に、いいって言ったんだよ……
P,拓海が、軽く頭突きするみたいにして……額を俺に寄せてきて――
拓海,アタシだって、卑怯で、ズルいんだ。自分が、男どもにどう見えてるかくらい、アイドルの仕事を通じてわかってる。だから……その、アンタに。押しつけたりも、したし……
P,――――
拓海,好きな男になら、別に……。何されたって……いい……
P,………
拓海,………
P,………
拓海,……ぅ
P,………
拓海,……P？
P,
拓海,うぉおおおおおおおい！！？
P,――って違う違う、拓海は卑怯なんかじゃない！！
拓海,アァ！？だからアタシが自分で
P,俺の方がズルい！卑怯だ！離婚したばかりだってのに目の前の女の子に惹かれてるなんて言えないよな！！
拓海,言ってるじゃねえかテメエ！って、い、今
P,世話焼きだけど不器用で思い入れが強くて、そこが可愛いなんて言えないよな！！！
拓海,コラ！調子に乗んなッ！
P,かわいい！拓海かわいい！！
拓海,うるせぇッ、そんなのテメエだってなぁ！。アタシを無理やりこの世界に引っ張ってきたかと思えば毎度毎度変なことさせやがって！。でもアンタに褒められたり、ファンの奴らに応援されるとどうしようもなく嬉しくなっちまってよぉ！！。かけがえのないマブいダチも増えて、胸を焦がすようなアツさも知っちまって！！
P,俺も拓海の胸のこと前から結構見てた！スマン！！
拓海,全然カンケーねえじゃねェかブッ飛ばすぞ！！
P,混乱してた、すまん……
拓海,っく……頼れるとこもあるかと思えば、そうやって子犬みてえな目しやがってぇ……っ。ほっとけねェんだよ！黙ってアタシに世話させろバカ野郎！
P,よ、喜んで！！
拓海,胸くらい後でいくらでも好きにしやがれ！！
P,ひゃぁああああああああああ
拓海,一人暮らしなんて勝手にしてんな！！毎日メシ作りに行くぞオラァ！！！
P,にゃぁあああああああああああああああああああ
拓海,さっきみたいに抱き締めてほしけりゃいつでも呼べアホ野郎！！！！
P,うわぁああああああああああああああああああああああああ
拓海,少しは黙れこのクソ野郎が！！！ずっと前からテメエ一筋だ大っっっっ嫌いだ！！！！！
P,ぎゃぁあああああああああああああああああああああああああ
拓海,……ハァ……ハァ……
P,
拓海,……。……バンド
P,へ？
拓海,アタシも入れろ。ついでに夏樹や李衣菜、涼あたりも誘ってよ。あとは何だ、エア……ロビ？だったか。そっちも興味がないわけじゃねえ。アタシにも教えろ。アンタと一緒なら、きっと楽しい
P,拓海……
拓海,あとは……アメリカか。それもいつか連れてけ。そっちはできれば……二人きりだ。でもいつかっつってもあんまり遅いとシメ上げるからな、覚悟しとけよ。あとできればっつったが二人きりじゃなかったらやっぱりシメ上げるからな
P,……あのさ
拓海,アァ？ンだよ
P,まだ一つ言い忘れてた
拓海,……テメェ
P,いや、これはそんなに悪い話じゃない……と思う、たぶん
拓海,さっさと言え。アタシの気分が良いうちに
P,カジノで300万当たったんだ
拓海,マジかよ……すげえなオイ
P,もともと自分のためだけには使うまいと決めてたけど。結婚資金にするよ
拓海,………
P,………。……なんて
拓海,……
P,……い、言えないよな……ハハ……
拓海,……ちゃんと言え
P,あ……
拓海,アタシの目を見て
P,……。拓海、好きだ。俺とずっと……、一緒にいてほしい
拓海,違う……
P,え
拓海,さっきは、もっと……違った
P,……えぇと。……俺と結婚してほしい、拓海
拓海,……もういっかい
P,結婚しよう、拓海
拓海,……その前のやつも
P,好きだ
拓海,もういっかい……
P,好きだよ、拓海
拓海,……もっとゆっくり言え。聞こえない
P,好きだ……拓海
拓海,本当か？
P,ああ
拓海,マジなんだな……？
P,もちろん
拓海,信じねえわけじゃねえが、もしアタシに、無理に合わせてるんなら……
P,そんなのありえない、だって。俺の嘘はすぐ破れるって、さっきわかったばっかりだろ？
拓海,それって、嘘はつくってことじゃねえのか
P,え゛！？いやっ、そういう意味じゃなくて
拓海,わかってる。冗談だ
P,ホッ……
拓海,でもやっぱり不安だ
P,え゛！？
拓海,不安だから、アンタはこれからずっと、アタシと一緒にいて証明しなきゃならないんだ。あ、アタシのことが好きだって、大切に思ってるって。そういう義務があるんだ
P,拓海……？
拓海,だからその代わりに、アンタはアタシに気兼ねなんかしなくていい。したいことは好きにすればいいし、してほしいことはすぐ言え。アタシに対して遠慮なんかしたら……ブッ飛ばすからな
P,―――。たく、み……。俺のために……俺の心を和らげるために
拓海,……
P,したいこと、ある。拓海とキスしたい
拓海,んなッ！？
P,ヤバいもう、拓海が可愛すぎてヤバい、今すごく胸が苦しい
拓海,わ、わかったから落ち着けっ。アンタ……やっぱり工口い
P,そうだとも。自分のアイドルにすぐ手を出してしまうような男だ
拓海,コラ。自分をそんな風に悪く言うな
P,すまん、冗談だよ
拓海,……するなら、さっさとしろ。イヤってわけじゃねえから……したいこと、しろよ
P,～～～～
拓海,……
P,……
拓海,……っ。P……。んぅ―――
P,っは……
拓海,……
P,拓海……
拓海,………
P,拓海？
拓海,
P,わぁあああああああ！！？。拓海っ、おい、平気か！？
拓海,
P,ああダメだ、信じられないくらい赤い！大丈夫か、クソ、まだ早かったのか！？
拓海,……
P,目を覚ましてくれ拓海ぃいい！
拓海,……恥ずかしかったのは本当だ。顔から火が出るくらい。今までのどんな仕事よりも。愛してる男と、キ、キスするのが……こんなに、溶けるみてえな感じがするなんて。まだまだ精進が足りねえ……したいことしていいって言ったくせに、こんなザマなんて。ハンパはダメだ。もっと、Pの全部を受け止められるくらいにならなきゃと思った。でもよ、P
P,もっと大胆なことしてたのに、これでこうなるなんて……
拓海,アタシは、やっぱりズルいみてえだ。アンタが思うより、自分で思ってたより
P,まったく……
拓海,気を失ってるフリして、薄目を開けて
P,……
拓海,アンタの優しい笑顔を、ノゾキミしちまうくらいに。……なんて、言えねえよな。いや。いつか言おう。いつか、この先。なるべく早く。メシ作ってやってる時にでも、サラっと。……あの時はああだったんだぞって。だって、アタシたちは――
P,これからよろしくな、拓海……
拓海,……へへっ
