キャラ崩壊,特にベクター
アリト,よっしゃああああ！！！
真,やりましたね！プロデューサー！
ベクター,どうなってやがる…！
アリト,さっきギラグが営業とかレッスンって言ってただろ？
ベクター,ああ
アリト,プロデュースの過程でその営業やレッスンを何度も繰り返しすることでアイドル達のステータスは上がるんだ。だからプロデュースしてないアイドルはプロデュースされたアイドルには敵わねえってわけだ
ベクター,なに…！？。ギラグ！テメェ真面目にこいつのプロデュースしたのか！？
ギラグ,いや、俺はやよいちゃんPだから千早ちゃんはやってない
ベクター,ハメやがったな！
アリト,ま、俺達に勝ちたかったらちゃんとプロデュースするこったな
ギラグ,そういうことだ
ベクター,っ…テメェら…今に見てろよ…！。おい！ドルベ！
ドルベ,なんだ？
ベクター,オレにアイドルマスターを教えろ！
ドルベ,やる気になったのか。いいだろう。まずアイドルマスターとは元々アーケードゲームで…
ベクター,そんなもんどうでもいい！勝つためにはどうすりゃいいんだ！
ドルベ,営業とレッスンをすることだな。そしてオーディションに受かってアイドルランクをアップするんだ
ベクター,ランクアップだと？待ってろ…確かこの辺にバリアンズフォースが…
ドルベ,ベクター…アイドルはNo.じゃない。アイドルランクとはその名の通りアイドル達のランクで、アイドルランクがアップすることでより効率良く営業とレッスンができるようになる
ベクター,なに…！？
ドルベ,お前のアイドルのアイドルランクはまだ最低のFにすら届いてない。アリトやギラグアイドルのアイドルランクはC。頑張って追いつくことだな
ベクター,チッ…やってやる…！
ドルベ,ちなみに私の雪歩はアイドルランクBだ。見てくれ、可愛いだろう…思い出ゲージもこんなにいっぱい……。………行ってしまったか
ベクター,なるほどねェ…まずはストーリープロデュースをしてこいつのアイドルランクとステータスを上げなきゃならねえのか。とりあえず、営業するか。まずはミーティングだな
千早,名前は如月千早です。歌が私の全てです
ベクター,ヘェ…えらく自分の歌に自信持ってんじゃねえか
千早,はい。私の歌を聴いてくれた人は皆褒めてくれます
ベクター,…
千早,私はもっと歌が上手くなりたいんです！
ベクター,ならオレがビシバシシゴいてやるよォ！キヒヒヒ！
千早,ありがとうございます。私、いいプロデューサーに恵まれたようです
ベクター,…。やりにくいな…。じゃあ次はレッスンか。レッスンはイメージUPに大きく関わる！基礎をしっかりとやっていくことが重要だ！。なに言ってんだオレは。早速はじめんぞ
千早,はい
ベクター,指示に合わせてボタン押しときゃいいんだよな
千早,このリズムですね。なるほど、こうですね！
ベクター,あ、失敗した
千早,プロデューサー、真面目に教える気がないならやめてください
ベクター,
千早,今日はレッスンありがとうございました。次回も頑張ります
ベクター,ノーマルレッスンか…まあ最初にしてはまずまずなんじゃじゃねえか…？。あ、テンションが下がってやがる…。今日はオーディションすっか
千早,はい。準備は万端です
ベクター,曲か…前にアリトと戦った時は適当に蒼い鳥だったんだが。他にも色々とあるんだよな。太陽のジェラシー…relations…どれも悪かねェ…。……こいつは！？
千早,さあいっぱい食べよおよはやおきできたごほおびっ！
ベクター,どうなってやがる…！？。おはよう‼朝ごはん…。これだけはねえな…。やっぱり蒼い鳥でいいか
千早,はい。精一杯歌います
ベクター,ああ…
審査員,今回のオーディションの結果は…！。１番、３番、５番の方です！。それ以外の方は帰っていただいて結構です
千早,私、１番です！
ベクター,ヒャハハハ！やったぜ。あららら…他のアイドル達ぃ、ちょっとイケてないんじゃなぁい？。はっずかしぃー！
千早,プロデューサー
ベクター,あ？
千早,そういうのは良くないと思うんです…真剣に勝負した方達に対して失礼では？
ベクター,チッ…
千早,ですが、これで私も晴れてアイドルです。まだFランクですが…これからも一緒に頑張っていきましょう
ベクター,…ああ。今日もプロデュースすっか…。データは…っと…三浦あずさアイドルランクA……なんだこりゃ。プロデューサー名…サウザンドP…！？
ドン・サウザンド,我がお前のデータを書き換えたのだ…
ベクター,ざけんなテメェ！！！。削除だこんなもん！
ドン,あっ！こら！
ベクター,また最初からプロデュースすんのかよ…
ミザエル,よし！アイドラランクが上がったぞ！
ベクター,ん？ミザエルか…あいつもアイドルマスターやってんのか。おいミザエ…
ミザエル,よし！これでタキオンドラゴンのアイドラランクはA！私こそ真のアイドルドラゴンマスターだ！
タキオン,グオー
ベクター,…いや、あいつに声掛けんのはやめとこう。営業とレッスンを繰り返してるうちに結構アイドルランクも上がってきたな
千早,はい。これもプロデューサーの指導のおかげです
ベクター,ああ…そろそろアリトの野郎にもリベンジしねえとな…。おいアリト！
アリト,あん？…ベクターか
ギラグ,ベクター！何の用だ！？
ベクター,テメェじゃねえよ。アリト！オレとオーディションバトルしやがれ！
アリト,ああ！いいぜ！
ギラグ,ちょっと待て！
ベクター,なんだァ？
ギラグ,このオーディションバトル、俺も参加する！バトルロイヤルといこうじゃねえか！
アリト,いいぜ！
ベクター,好きにしろ
ギラグ,よし！現れよ！俺のアイドル！。そのハイタッチでこの世の全てを握り潰せ！やよい！
やよい,うっうー！
アリト,現れよ！俺のアイドル！。その姿、まさにアイドルの絶対王者！真！
真,バリバリ気合い入れていきますよー！
ベクター,えっ？お前ら自分のNo.の召喚口上アイドルにつけてんのか？
ギラグ,次はお前の番だぞベクター
アリト,はやくしろよ
ベクター,お、おう…いでよ！オレのアイドル！。そのまばゆき聖なる歌声で、愚かな虫けら共をひざまずかせよ！如月！
千早,まあ、なんでも、いいですけれど
ドルベ,…
萩原雪歩,…？プロデューサー、どうしたんですか？
ドルベ,…いや。私も召喚口上欲しいなあ…あ、デュエルカーニバルのやつがあったっけ…でもノーブルデーモンがなあ…
雪歩,？
アリト,よし！それじゃあ
アリトギラグベクター,オーディションバトル！
ギラグ,負けただと…
アリト,そんな…
ベクター,ハハハ！オレ様達の勝ちだ！
千早,ええ、私達の勝利です
やよい,うぅー負けちゃいました…
真,すみません…プロデューサー
ギラグ,気にするなやよいちゃん！
やよい,はい…
アリト,またレッスンして鍛え直すぞ！今度は負けねえからな！ベクター！
真,そうですよ！
ベクター,何度やっても無駄だけどな
千早,…ふふっ
ベクター,ミザエルを除くと、バリアン七皇でアイドルマスターをやってんのはギラグとアリトと…えーっと…。ああ…ナッシュか…。おいナッシュ
ナッシュ,…ベクター。聞いたぞ、お前もアイドルマスターを始めたそうだな
ベクター,ああ…。プロデューサー同士が出会ったらすることは１つ！
ナッシュ,オーディションバトル！
ベクター,今度こそお前を地獄に送ってやるぜ…ナッシュ！
ナッシュ,そいつは無理ってもんだぜ。俺の伊織はアイドルランクAのトップアイドルだ。貴様には負けん！
水瀬伊織,別にあんたの為にトップアイドルになったわけじゃないわよ！わかる？自分の為よ！自分の為！
ナッシュ,くっ…どこまでも面倒なやつだ…！
ベクター,テメェが言うな。それに…アイドルランクならうちのアイドルもAだ
ナッシュ,ならはやく貴様もアイドルを出せ
ベクター,いいぜ
千早,くっ…
ナッシュ,何っ！？千早に猫耳だと！？。俺はこれほどまでに誰かを憎いと思ったことはない！！！。千早にはもっとふさわしい衣装があるだろうが！
ベクター,１ポイント。どうやらやっぱりオレたちは分かり合えねえみたいだな
ナッシュ,そうだな
ベクターナッシュ,オーディションバトル！
ナッシュ,何…！？俺が負けるだと！？。どこまでも俺の、俺たちの希望を打ち砕く気か！ベクター！千早！
伊織,何言ってんのよ！負けちゃったのはしょうがないでしょ。さっさと帰ってレッスンするわよ！次は…負けないんだから！
ナッシュ,…ああ
ベクター,やった…遂にナッシュの野郎に勝ったぞ！
千早,ええ！やりましたね、プロデューサー
ベクター,…？なんだあ？その手は
千早,プロデューサー、ハイタッチですよ
ベクター,そんなもん…
千早,プロデューサー…？
ベクター,チッ…
千早ベクター,いぇい！
ナッシュ,そういえばベクター、貴様遊馬とはもう戦ったのか？
ベクター,…いや
ナッシュ,なら気をつけることだな。遊馬のアイドルは他のアイドルとはわけが違う…ランクS…伝説のアイドルだ
ベクター,ランクS…か。遊馬…。決めたぜ、オレは明日遊馬とオーディションバトルする
ナッシュ,！？正気かベクター！相手はSランクだぞ！
ベクター,ああ…だがやらなきゃならねえんだよ。プロデューサーとしてな
千早,プロデューサー…
Mr.ハートランド,さあ！遂に今日という日がやってまいりました！なんとこのドームでファンタスティックッ！な伝説のプロデューサー！九十九遊馬がオーディションバトルをするのです！
双海亜美,これは必見ですねえ
双海真美,そうですねえ
ハートランド,実況は私、ハートランドと
亜美,亜美と
真美,真美がお送りするよ！
ハートランド,双子の実況で面白さが！
ハート亜美真美,はっはっは→！２倍２倍→！！！
フェイカー,なんだあのやかましい実況は
カイト,美希イイイイイイイイイイイイイイイイイイイイ！！！！！！！！！
星井美希,あはっ☆ハニーってば！
ハルト,アイドルにうつつをぬかす兄さんは嫌いだ…
IV,しかし、遊馬のオーディションバトルとは…いいファンサービスだな
秋月律子,そうね、でもアストラルがいない遊馬はそこまでプロデューサーとしての能力は高くないと思うのだけれど…
III,いや、遊馬はプロデューサーとして着実に成長しているよ
我那覇響,だぞ！
V,遊馬が来たようだ…今こそ私が動くとき！
四条貴音,ええ…そのようです！
遊馬,…
ハートランド,おっと！ここで遊馬の入場だ！
遊馬,行くぞ！アストラル！
アストラル,ああ！
亜美,あ、見て！アストラルがいるよ！
真美,本当だ！
ハートランド,いつの間にこっちの世界へ！？
ナッシュ,アストラルもいるとなるとベクターじゃかなりきついな
伊織,おしまいね
アリト,いや、あいつのここ数日の伸びは尋常じゃねえ
真,何が起こっても不思議じゃありませんよ！
ギラグ,うおー！行けー！ベクター！
やよい,頑張ってくださいー！
ドルベ,私に言えることはない
雪歩,えー…
メラグ,男どもは一体何を言ってるの？
キャット,きゃっともわからないわ
小鳥,さあ？。ピヨ？。えっ？。えっ？
メラグ,ややこしい…
ベクター,アストラルがいた方がオレにとっては好都合。なんたって遊馬とアストラル２人同時にあのときのお返しができるんだからなァ！
千早,？
ベクター,いや…こっちの話だ
遊馬,ベクター！お前もアイドルマスターやってたんだな！
ベクター,ああ…今日、お前らを倒すためにな！
アストラル,遊馬、始めるぞ！
遊馬,ああ！今こそ現れろ！俺のアイドル！。天使、今ここに解き放たれ、縦横無尽に未来へ走る。これが俺達の、天地開闢！俺達の未来！かっとビングだ、春香！
春香,プロデューサーさん！トップアイドルですよ！トップアイドル！
ベクター,天海春香…あれがSランクアイドルか…。負けてられねえ！現れろ！オレのアイドル！。混沌より生まれし歌姫の歌声が光を覆うとき、大いなる音色が舞い踊る！如月！
千早,くっ…！
ベクター,さあ…正々堂々と勝負、といこうぜ！
遊馬ベクター,オーディションバトル！
遊馬,よし！いつも通り行くぞ！春香！
春香,はい！
ベクター,オレの指示通りにやれ
千早,はい
ハートランド,戦いの火蓋が今、切られましたーっ！
亜美,さあ！白熱のバトルの
真美,スタートだよ！
ハートランド,序盤はベクターの千早の方がすこし有利でしょうか？
亜美,なかなかの滑り出しだね
真美,でもあんなに飛ばしてたら途中で息切れしちゃうＹＯ！
千早,こんなに序盤から飛ばして、プロデューサーは何を考えているの？。このままじゃもたない…。春香は？
春香,♪
千早,…！負けない！
遊馬,ベクター！なかなかやるぜ！
アストラル,だが、そんなに飛ばして大丈夫か？
ベクター,心配してくれるとは優しいねえ。テメェのアイドルに集中しやがれ
アストラル,…
遊馬,…ベクター
亜美,さあ！オーディションバトルはどんどん盛り上がっていくＹＯ！
真美,今は千早おねーちゃんの方がリードしてるけど、はるるんはどこまで追いつけるのか！
ハートランド,今後もファンタスティックッ！なバトルから目が離せなーい！
千早,よし！
春香,…
遊馬,春香！自分のペースでいいぞ！
ベクター,如月！いいぞ！頑張れー！
千早,！？
アストラル,！？ベクター！？
遊馬,ベクター…お前、やっぱり変わったんだな！よかったぜ！
ベクター,ああ…アイドルと一緒にいると…いつの間にかこっちが変わらさせられてたぜ
遊馬,そうだ！お前は本当はいい奴なんだ！
アストラル,本当か？
ハートランド,！？おーっとこれは？
亜美,いちぶの照明が消えちゃって…
真美,はるるんのパフォーマンスがほとんど見えないＹＯ→！
春香,あ、あれっ！？
遊馬,ど、どうなってんだ！？
アストラル,…！。まさか…ベクター！貴様！
ベクター,…ククク。…ハハハハ。ヒャーッハッハッハァ！！！！。ジャンジャジャーン！今明かされるー！衝撃の真実ゥー！。このドームにはお前らを陥れる為の数々の罠が仕掛けられてんだよ！！！。バーカ！まんまと引っかかりやがって！。どうしようもねえ甘ちゃんだな！お前ら！。俺がまさか、本気で改心したとでも思ったのか？。全部この時、お前らを倒す為の伏線だったんだよ！！！
アストラル,何っ！？
ベクター,オレがアイドルに影響されて変わったァ？オレがいい奴だァ？ハハハ最高だぜ！最高ォ！
ナッシュ,ベクター！貴様という奴は！！！
ドルベ,クッ…なんという卑劣な！
ベクター,これでお前ら真っ暗！俺無事！。キヒヒヒヒ！あばよ虫けらァ！！！
千早,ちょっと待ってください！
ベクター,……お前が最後までやらねえと勝ちにならねえ。さっさと戻りやがれ
千早,プロデューサーにとって…私は…アイドルは…道具にすぎないんですか！？
ベクター,…そうだ！テメェもオレに利用されてたんだよ！ヒヒヒ！どうしたァ？ショックで踊れませんてかァ！ヒャハハハ！
千早,…利用されているのは…構いません。勝つためならなんでもするという精神に口出しする気もありません
ベクター,ハハハ…
千早,でも…どうしてもっと信じてくれないんですか！？自分のプロデュースしたアイドルを！。私なら、こんなことしなくても勝てます！いえ、勝ってみせます！！！。こんな卑怯な真似せずとも、私は勝ちます！！！それは、プロデュースしてくれたあなたが一番分かってるんじゃないですか！？
ベクター,…
千早,私を…信じてください
ベクター,…………チッ
ハートランド,…！？照明が直ったようです！
千早,！。プロデューサー！
遊馬,ベクター！
ベクター,…別に良い人になったわけじゃねえぞ。ただ…こんなもんなくても勝てるだけだ
千早,…！
ベクター,遊馬…悪いが仕切り直しといこうじゃねえか
遊馬,いいぜ！今度は最初っから全力だ！。俺と！
アストラル,！？私で！
遊馬アストラル,オーバーレイ！
ゼアル,眩き希望の光が未来を導く！アルティメット・エクシーズ・チェンジ！ZEXAL！。最強アイドルのオーディションは全て必然！。行くぜ！春香！
春香,はい！
ベクター,来やがれ！ゼアル！返り討ちにしてやるよォ！！！。…そうだろ？なあ…千早！
千早,……！はい！！！
ドルベ,む、ベクター。貴様こんな河原で寝転んで、何を惚けている
ベクター,あー？ああ、ドルベか…
ドルベ,全く…バリアン世界がなくなってからというものの、貴様はダラダラしてばかり。さしずめ、不満足ならぬ不真ゲスだな
ベクター,全然上手いこと言えてねえぞ
ドルベ,…コホン！それにしても、だらけてばかりでは…昔のようになにか大きな事でもしてみたらどうだ？
千早,そうですよプロデューサー。まだ、私のプロデュースは終わっていませんから
ベクター,そうだな…さあ！！よからぬ事を始めようじゃねえか！！！
