大学生当麻,美琴と付き合ってたらヒモみたいになってた
当麻,お仕事お疲れ様……みこっちゃん。今日もよく頑張ったね
美琴,……とうまぁ…………あたし……あたし……ｸﾞｽｸﾞｽ。……あたし寂しかったぁ…………当麻がいなくなって寂しかったぁ！……。……ふふふっ。久しぶりに二人で遊んだら、仕事の疲れなんてすぐふっとんじゃった！
当麻,そりゃよかった
美琴,またやろうね！かくれんぼっ！
当麻,……今度は俺が探す役でやる？
美琴,だめっ！あたしが探すの！あたしが当麻を探して、見つけて、ぎゅっとして、そしたら当麻が見つかっちゃった、って言うの！。……あ、そうだ
当麻,……ん？
美琴,この前言った話覚えてる？
当麻,……なんの話だっけ？
美琴,あたしが開発した独立モジュールの話
当麻,……？……全く覚えてない
美琴,……だと思ったわ。もうっ！……あのね
当麻,ふーん。よくわかんないけど、すごいじゃん。
美琴,そうなの！本当はもっと改良したかったけど、今のでも十分すごいって評価で！……それでね！きょう
当麻,……あ、そうだ。ちょいまって
美琴,……もう。人が話してるのにー。
当麻,……みこっちゃん。ちょっとの間、目をつぶってて
美琴,え？な、なんで？
当麻,いいからー
美琴,う、うん…………
当麻,いいよ。目開けてもー
美琴,……う、うん。…………っ！？。……と、当麻、このクマさんは……？
当麻,いつもお世話になってるから。プレゼント。みこっちゃんに
美琴,………………
当麻,おいしいごはんありがとう。みこっちゃん
美琴,………………と。……とうまぁぁぁあぁあっぁあ！！！。……とうまぁ！とうまぁ！あたしこそだよ！あたしこそなんだよ！
当麻,…………
美琴,あたしこそ当麻にありがとうって！感謝してるんだよって！本当に伝えたいんだよ！。あたしが……あたしが！本当に絶望した時に近くにいてくれたのが当麻だった！支えて！助けてくれたのが当麻だった！。あたしが辛くて死まで考えたのに、まるごと救ってくれたのが当麻だった！。あたしの世界は一度死んでるの！……当麻が死んだ私に生きる意味と目標をくれたの！。私の世界に居るのは、ただただ当麻だけなの！当麻しか居ないの！。だからあたしっ……あたしっ！…………言葉が出ないよぉお…………うわぁぁああぁぁ……。…………ﾋｯｸﾞ…………ﾋｯｸﾞ…………
当麻,……………………。……もう大丈夫か？
美琴,…………うん…………ｸﾞｽｯ
当麻,……離れても平気か？
美琴,…………待って…………もう少しだけ……
当麻,………………
美琴,…………あのね。…………さっきの話なんだけど……。機関から報酬が出るみたいなの
当麻,……その開発したって奴の報奨金みたいな？
美琴,……うん。……特許とはまた違うんだけど
当麻,……やったじゃん。みこっちゃんの頑張りが認められたんだろ？
美琴,…………うん。……わたし頑張ったの……
当麻,おめでとう。みこっちゃんが頑張った結果、世界に貢献できたんだろ？それってすごい事なんじゃないか？
美琴,…………ありがとう……とうま……
当麻,……ちなみにいくら出るの？
美琴,……えっと、確か……10億ちょっとだったような……
当麻,ブフォッ！。……お、お前……10億て……
美琴,……それでね、当麻…………そのお金なんだけど
当麻,……お、おう……
美琴,……ぜんぶとうまにあげる
当麻,……ちょ、ちょ、ちょっと待った！いまなんて！？
美琴,だから、全部とうまにあげるって言ったの！
当麻,……あげるって、報奨金を……？
美琴,報奨金を！
当麻,……じゅ、十億ぜんぶ……？
美琴,ぜーんぶ！
当麻,……ま、待てって……ちょっと冷静になろうぜ？
美琴,あたしはずっと冷静よ！ずっと考えてたの！
当麻,……だってお前……十億だぜ？
美琴,十億だけじゃないよ！……あたしの貯金も！持ってるものなんでも！ぜーんぶぜんぶ！当麻にあげる！
当麻,…………えぇぇ……
美琴,あたしは当麻が何不自由なく過ごせるように隣にいるだけでいいの！お金が足りないならあたしに言って！いくらでも稼いできてあげる！。もう当麻は何もしなくていいの！ただ毎日楽しく過ごして、面白おかしく過ごして、夜になって疲れて眠って、気づいたら朝になって！そんな毎日を過ごしたらいいの！。毎日贅沢して、何も困ることなく生活して、…………一日の最後に……一言だけあたしに愛してるって……言ってくれれば……それで…………あたしは……
当麻,……美琴…………
美琴,……とうまぁ……あたしの気持ち受け取ってぇ……
当麻,……うん。受け取るよ。美琴
美琴,……っ！？……ほ、ほんとう！？
当麻,……あぁ。みこっちゃんの物は全て俺がもらう！報奨金も！預金も！何から何まで！
美琴,……とうまぁ……
当麻,それだけじゃないぞ。みこっちゃん
美琴,……え？
当麻,みこっちゃんも俺のもんだ！俺の所有物だ！
美琴,……そ、それって……
当麻,美琴の全てを、全部をひっくるめて俺がもらってやる！
美琴,……うっ……ううぅうぅぅっ！とうまぁああぁぁぁあ！！。……たーだーいーまーーー！！！当麻ーーーー！！
当麻,……おかえりー
美琴,じゅっうでん！じゅっうでん！当麻パワーを補充ー
当麻,……ちなみに他の女に反応しないのって……みこっちゃん原因わかる？
美琴,…………知らない
