夢見りあむ,……は？
P,あ、悪い、そろそろミーティングで出なきゃだから、いったん次で最後にしよう
りあむ,わかったよぅ……最後……最後……。……これっ。帰る！！！！！！
P,ま、待て待て！最後がこれだと気分もあれだろ？ほら、適当にあと一枚！
りあむ,かーえーるー！！！
P,じゃあ俺が引いてやる！これだ！！！
りあむ,やむ！！！！！！！
P,大丈夫、また別の人だ
りあむ,何ひとつ大丈夫じゃないよう！！！！！
緒方智絵里,ほたるちゃんを。ほたるちゃんの
渋谷凛,未央のシンデレラガールを
