・故に,？
他ﾁｰﾑﾄﾚｰﾅｰ,なあに、困った時はお互い様さ…しっかしアンタも大変だな？まさかあまりの強さに回避ウマ娘が続出、レース成立の規定数に到達しないなんざ…
ハナ,…はい。昨シーズンの最優秀ウマ娘に選出されたのは良かったんですけど…
他ﾁｰﾑﾄﾚｰﾅｰ,俺ぁ構わねえんだけどよ？上も含め、中には国内ウマ娘にレース参加権を制限しようって考えが根強いからなぁ…
ハナ,…その考えを否定するつもりは無いんです。ただファン視点で、単純に走らせてみたらどっちが強いかという興味は根強くあると思うんです
他ﾁｰﾑﾄﾚｰﾅｰ,確かに、外国ウマ娘も出られるレースが無いのは問題だよな？まあ、それすら覆す"何か"が無えと変わらねえとは思うが…
ハナ,その"何か"を…私は、マルゼンスキーに託してるんです
他ﾁｰﾑﾄﾚｰﾅｰ,…そういや、アイツの行方はまだ分かんねーのか？
ハナ,はい。どこで何してるんだか？全く"あの人"は…
他ﾁｰﾑﾄﾚｰﾅｰ,良いトレーナーだったんだがな…まあ頑張んな？ウマ娘を助けられるのは俺達トレーナーしかいねえんだから…じゃ、俺ぁ行くわ
ハナ,ふうっ…膝の骨折で３ヶ月の休養を余儀無くされたけど、あの娘は本当に良くやってくれている。もう少し…もう少しなの。上を何とか説得して、ようやく８連勝を条件に飲ませたのに…まさか最後の８戦目にして、参戦ウマ娘が足らなくなる上に、あんな条件が出るだなんて…。…あの娘をドリームトロフィに出させてほしい！賞金なんかいらない、大外枠でいい、他の馬の邪魔もしません！ただ、マルゼンスキーの能力を確かめるだけでいい！そうすれば誰が一番強いか…そして、海外ウマ娘に対抗できるだけの力がある事を証明出来るんです！。！…じゃあ次に勝って8連勝を決めれば…晴れてドリームトロフィへの出場を認めて頂けるのですね？！。…え…？。…ここまで来て…最後の最後で、ね…。ここに来るまで、ずいぶんとお偉いさん方の鼻っ柱を叩き折ってきてしまったものね。最後の華はお偉いさんに持たせろって事か…。…いえ。私の望みは、確かにこの娘がドリームトロフィを全力で走る事。なら、私の気持ちなんて些細な話…やる事は決まってるわね…
ﾏﾙｾﾞﾝｽｷｰ,…あのー、おハナさん？お話って…
ハナ,あ、ご、ごめんなさいねっ？！…それとマルゼンスキー？私の事はトレーナーって呼びなさいって言ったでしょ？
ﾏﾙｾﾞﾝｽｷｰ,ウフフ、ごめんなさい。トレーナーさんっ♪
ハナ,…８戦目が決まったわ。前から話していた通り、これに勝てば８連勝…ドリームトロフィへの参戦権を得る事が出来る
ﾏﾙｾﾞﾝｽｷｰ,あまりにも夢過ぎて夢にさえ見なかったドリームトロフィに、まさかこの私が出れるなんて…っ！
ハナ,フフ……出来るだけショックを与えないように…落ち着いて話すのよ？東条ハナ
ﾏﾙｾﾞﾝｽｷｰ,…それでっ？！次のレースはどんな内容なのっ？！
ハナ,短距離ステークス…ダートなのっ…あ…ダメだっ…感情が抑えられない…っ！。…芝じゃないのっ…治ったばかりの脚に負担の掛かる、ダートなのっ…ごめんなさい…ごめんっ……どうして？どうしてこの娘ばっかり…。…ま、マルゼンスキー？
ﾏﾙｾﾞﾝｽｷｰ,私なんかのためにっ…いつも苦労かけさせちゃってるの…私、ちゃんと知ってるよ？
ハナ,！！…あなたは…
ﾏﾙｾﾞﾝｽｷｰ,だから…心配しないで？私は大丈夫だからっ！これダート向けトレーニングメニューよね？行ってくるわっ？！
ハナ,む、無理はするなよっ！マルゼンスキー…
ﾏﾙｾﾞﾝｽｷｰ,よくも…よくも！"私のトレーナーさん"を泣かせたわね？見てらっしゃい…絶対後悔させてやるんだから…っ！！
同期ウマ娘,…ふふーん！あなた初めてのダートよね？トレーナーに頼んで無理矢理参加したの！今度こそケッチョンケッチョンに…
ﾏﾙｾﾞﾝｽｷｰ,…"また"来てくれたんだ？私、スッゴく感謝してる…
同期ウマ娘,ひ、ヒイーッ？！
ハナ,頼むっ…無事に帰ってきてくれ、マルゼンスキー…！
？？？？,…なぜ芝ではなく、短距離のダートなんだ？ついこの前怪我をしたウマ娘に対する行為では無い…何か事情がありそうだな…
実況,マルゼンスキー、ダートでも圧勝！その差なんと１０ウマ身！！
同期ウマ娘,…か、怪物め…
？？？？,ダートでも１０ウマ身差だと？！…これではますます一刻も早い手合わせをしないと…滾る血汐を抑えきれんっ！！
ﾏﾙｾﾞﾝｽｷｰ,トレーナーさんっ！見ててくれました？！これなら文句無しですよねっ！！
ハナ,え、ええ…もちろんそうだけど…あ、脚は大丈夫？あんな悪路を…
ﾏﾙｾﾞﾝｽｷｰ,泣いちゃダメっ！…芝でもダートでも関係ないの。貴女が死ぬ気で取ってきてくれたレースだもの…私はそこを全力で走って勝利をもぎ取るだけなんだからっ！
ハナ,ま、マルゼンスキー…
ﾏﾙｾﾞﾝｽｷｰ,…だから、私が勝ったら笑顔で出迎えて？それだけで私はまた頑張れるんだから…
ハナ,…そ、そうだわっ…おめでとうマルゼンスキー。8連勝で貴女自身はドリームトロフィシリーズ出場の権利を得たわ…
ﾏﾙｾﾞﾝｽｷｰ,…ああ！そういう事になるのよね…
ハナ,忘れてたの？！…今の貴女にはその資格がある。その資格のおかげで、幾つかのチームから貴女を受け入れようという話が…
ﾏﾙｾﾞﾝｽｷｰ,私、行かないわよ？
ハナ,え？な、何をいってるの…特に良さげなところを見繕ったのよ？…貴女の好きなところに…
ﾏﾙｾﾞﾝｽｷｰ,私が好きなのは、おハナさんのいるチームリギルだもん
ハナ,ダメなのよ…チームに５人以上いないと、ドリームトロフィ参加は認められないの…だから
ﾏﾙｾﾞﾝｽｷｰ,関係ない！私が本当に一人ぼっちだった時、救ってくれたのは貴女だけだった！他に行くなんかあり得ない。私がドリームトロフィに出るのは過ぎた夢…その夢を見れるとしたら、それはチームリギル以外ありえないのっ！！
ハナ,全く…バカな娘ね？せっかくのチャンスをふいにして…っ
ﾏﾙｾﾞﾝｽｷｰ,チャンスなんか幾らでもあるわっ！チームメイトが増えるまで、10でも20連勝でもしてみせるわよ！それとも、協会やトレセン学園は、たった一人のウマ娘の自由意思も受け止められないのかしら？！
ハナ,マルゼンスキー？あなた…強くなったわね…
ﾏﾙｾﾞﾝｽｷｰ,あら？私はもともと強いのよ？
ハナ,そうかしら？初めて会った時めそめそ泣いてたくせに…
ﾏﾙｾﾞﾝｽｷｰ,やっぱ知ってたんだ…恥ずかしい///
ハナ,いいえ？やっぱりあなたは強いわ…ずっと一人で頑張ってきたんだもの…私が来るまで
ﾏﾙｾﾞﾝｽｷｰ,うん…頑張ったよ？おハナさんが来るまで
ハナ,私が迎えに行くまで…頑張ってくれて、ありがとう？マルゼンスキー
ﾏﾙｾﾞﾝｽｷｰ,…うんっ！迎えに来てくれてありがとう。私のトレーナーさんっ！
？？？？,…そういう事だったのか…それにしても、良いチームじゃないか…
同期ウマ娘,…あなた、誰？関係者じゃ、ないわよね…
？？？？,…あ
ハナ,朗報よ、マルゼンスキー！今年入ってくる規格外の新人のおかげで、海外ウマ娘への規制が相当弛くなるらしいわ！
ﾏﾙｾﾞﾝｽｷｰ,規格外の新人のおかげで？それってどういう…
ハナ,ついに日本にも、世界レベルで通用しそうなウマ娘が出てきたって事。日本にもこんなスゴいウマ娘がいるんだぞって事を、世界に対して見せ付けたくなったんでしょ？…あなたも含めて、ね
ﾏﾙｾﾞﾝｽｷｰ,ふふ…さしずめ私は海外から来るであろう悪役の代理ね？でも存分にレースができるなら、それでも全然構わないわ！
ハナ,ええ！このチャンスを活かしてメンバーを増やし、今度こそドリームトロフィに出ましょう…チームリギルとして！！
ﾏﾙｾﾞﾝｽｷｰ,で、その驚異の新人ウマ娘の名前は？
ハナ,このウマ娘よ…名前は、シンボリルドルフ。ちょうど今頃、各チームトレーナーに向けた新人ウマ娘達の公開練習に参加してるんじゃないかしら
ﾏﾙｾﾞﾝｽｷｰ,チームリギルのトレーナーは参加しないの？
ハナ,彼女にとって最大のライバルのあなたを擁するチームリギルが？…シンボリルドルフ目的のトレーナー達がいなくなったら、他の娘目当てで見に行くわよ
他ﾁｰﾑﾄﾚｰﾅｰA,どうかね、ぜひうちのチームに…！
他ﾁｰﾑﾄﾚｰﾅｰB,うちはアフターフォローが万全で…！
他ﾁｰﾑﾄﾚｰﾅｰC,ウマ娘の所属人数はうちが一番…！
ルドルフ,………
ﾏﾙｾﾞﾝｽｷｰ,…そういえば噂の新人ウマ娘、昨日はどこにも所属チームを決めなかったみたいね？
ハナ,有力なチームトレーナーのほとんどが参加したはずなんだけどね？…ま、驚異の新人は気まぐれでもあるんだろうし、何も慌てて決める必要も無いし…
？？？？,…誰が気まぐれだって？私は信念に対しては限り無く一途だぞっ！！
ハナ,？！お、お前…シンボリルドルフじゃないか！！
ルドルフ,そうだ。あなた達に用があってわざわざ訪ねて来たというのに…好き勝手に気まぐれだの何だの好き放題言われ、かなり機嫌を損ねたぞ？
ハナ,その期待の新人ウマ娘が、私たちに一体何の用だ？
ルドルフ,…何の用だと？ずいぶんな言い草だな。この時期に新人ウマ娘がチームを訪ねて来ると言えば、用件など１つしか無いだろう？！
ﾏﾙｾﾞﾝｽｷｰ,え？それってひょっとして…私たちのチームに入りたい、って事？
ルドルフ,…マルゼンスキー。私は貴女の走りをずっと見てきた。私が初めて、本気でぶつかり合いたいと思ったのがお前なんだ！
ﾏﾙｾﾞﾝｽｷｰ,…えっ…ほ、本気でぶつかり合いたい…？
ルドルフ,そうだ。ここトレセン学園に来る前から、私はリギルに決めていた！なのに公開練習には来ず、訪ねてみれば何しに来た呼ばわり…これでは私の立つ瀬が無い。チームリギルは、たった一人のウマ娘の自由意思も受け止められないのか？！
ﾏﾙｾﾞﾝｽｷｰ,ごめんなさい…泣いてる？
ルドルフ,…なっ、泣いてないっ！
ハナ,あー…それは確かに私が悪かったわ。ごめんなさいね？…でも私たちにも言い分はあるの。聞いてくれない？
ルドルフ,…いいぞ。話を聞こうじゃないか
ハナ,まずあなたの最大のライバルたるマルゼンスキー…彼女の所属するチームに、そもそも単純に入るはずがないという思い込みがあったのは素直に認めるわ
ルドルフ,…それから？
ハナ,次に、チームリギルは色々あって同僚や上の方に睨まれてる…つまり、敵が多いのよ。だから、期待の新人たるあなたを採れば、更に風当りが強くなる…これも理由の１つね
ルドルフ,…海外ウマ娘の扱いについて諸問題が発生している事は理解している。本来私が言うべき事では無いのだが…
ﾏﾙｾﾞﾝｽｷｰ,…？
ルドルフ,私がいる事で規制が緩くなり、マルゼンスキーの出走機会が増えるのであれば…同じチームの方が無視できなくなり、より効果を狙えるのではないか？
ハナ,…それを貴女自身が言うとはね。ただ逆の見方もあるのよ？例えば、私が貴女とマルゼンスキーの八百長を仕込むんじゃないか、とか…
ルドルフ,ふむ…
ハナ,…だから最初から貴女は候補には入れてなかった。貴女の存在だけで私たちは救われた。その感謝と敬意を踏みにじり、巻き込むような真似をしたくなかった…それが一番の理由かしらね？
ルドルフ,…話は解った。互いの誤解が解け、互いの本心が解った。それは良い…だが私はまだ答えをもらっていない
ハナ,…
ルドルフ,改めて問おう。このチームに…私は必要か否か？！。？！な、何を…マルゼンスキー？お、おいっ…
ﾏﾙｾﾞﾝｽｷｰ,…ありがとうっ…シンボリルドルフっ…
ハナ,…それが答えよ。私たちに今必要だったのは、共に同じ高みに立つ仲間…戦友なの。だから歓迎するわ、シンボリルドルフ！ようこそ…チームリギルへ！！
ルドルフ,フッ…これからよろしく頼む！
????????,全く…相変わらず話が回りくどいぞ？ルドルフ
??????,面白そうな話だね…ボク達も交ぜてくれるかな？
ハナ,エアグルーヴ？それに…フジキセキ！
ｴｱｸﾞﾙｰｳﾞ,トレセン学園トップクラスを２名も擁するチームなら…高みを目指すには持ってこいだな！
ﾌｼﾞｷｾｷ,その通り。それに尊敬すべき先輩の泣き顔は見たくないからね
ﾏﾙｾﾞﾝｽｷｰ,る、るどるふぅ…み、みんな～っ！！
ルドルフ,あぁ泣かないでくれ、マルゼンスキー。お前に涙は似合わない…世間の偏見？そんなもの、私たちの本気の走りを持って押し通って見せる！！
ハナ,ああ！…これでチームリギルは計４人。必ず５人以上のメンバーを集めて…マルゼンスキーをドリームトロフィに送り込むぞっ！！
ﾌﾞﾗｲｱﾝ,…おい、ゴールドシップ。お前、やめるのか？
ゴルシ,ああ。一応顔は出してみたが、どーもこーゆーお堅いのは性に合わなくてなー…
ﾋｼｱﾏｿﾞﾝ,だろうな～…
ゴルシ,むしろ規格外のお前らが、こんなクソ真面目なチームにすんなり入るの決めちまった方が意外だぞ？
ﾌﾞﾗｲｱﾝ,フン…同じ条件下、同じ環境で、ガチで殺り合いたいヤツに出会っちまったからな…
ﾋｼｱﾏｿﾞﾝ,おーおー怖えー怖えー…
ﾌﾞﾗｲｱﾝ,笑うなアマさん
ﾋｼｱﾏｿﾞﾝ,アマさん言うな
ゴルシ,シンボリルドルフか…まあそれもいーんじゃね？
ﾌﾞﾗｲｱﾝ,…チーム決まったら真っ先に教えろよ？
ゴルシ,あれ？心配してくれてんの？
ﾌﾞﾗｲｱﾝ,いや？これまた見事に
ﾋｼｱﾏｿﾞﾝ,全く。全然
ゴルシ,…おいおいゴルシちゃん傷つくなー泣いちゃうぞこのヤロ
ﾌﾞﾗｲｱﾝ,大丈夫だろお前なら…適当にうまくやるだろうしな？
ゴルシ,へへっ…実はオレもな？全く心配してねー
ﾌﾞﾗｲｱﾝ,フフッ…だろうな
ゴルシ,んじゃなー
ﾋｼｱﾏｿﾞﾝ,おーう
ハナ,貴女の推してたウマ娘が残ったわね…まるでいつぞやの誰かさんみたいじゃない？
ルドルフ,だから、他人事じゃないのさ…可愛い奴らだろう？
ハナ,はいはい。じゃあ決まりね
ルドルフ,…あのゴールドシップとか言うのは引き留めなくて良いのか？中々の逸材と見たが…
ハナ,悪いけど、気紛れなジャジャ馬にかまけてる暇は無いの…"あの人"は好きそうだけどね…
ルドルフ,…５人以上揃って、これでようやくドリームトロフィへの出場権を得た訳だな？
ハナ,ええ…ようやくあの娘を晴れ舞台に立たせてあげれるわ！！
ゴルシ,はぁ…ああは言ったものの、さて、どーすっかなー…
？？？,…おお！この張り、肉付き…これは理想的な…
ゴルシ,…お前。この私の魅力的な脚に何してくれちゃってるわけ？
ﾄﾚｰﾅｰ,…あ。
ﾏﾙｾﾞﾝｽｷｰ,ああ…居場所の無かったこの私が…皆のおかげで、夢の舞台に立ててる…！！。…ダメ！泣くのはまだ早いわ…全力で走る！！全てはこのためだったんだから…っ！
幼ウマ娘,…お母ちゃん！赤いウマ娘さん…スゴく速いよ？スゴいスゴい！！
お母ちゃん,スゴいねー…素人の私が見ても分かるよ、圧倒的じゃないか
幼ウマ娘,ヤッター！！勝ったよ？誰も追い付けなかった！
お母ちゃん,ふぅん…スーパーカー、マルゼンスキーって言うんだ
幼ウマ娘,…あれれ？赤いおウマ娘さん泣いてるよ？怪我したのかな？痛いのかな？
お母ちゃん,違うねー…きっとこの人は、夢の舞台で存分に走れて、スゴく嬉しいんだよ。人は…ウマ娘は、嬉しくても泣くんだ。あんたを産んだときのお母ちゃんみたいにね？
幼ウマ娘,そっかぁ…嬉しいんだぁ！なら良かったねぇ？
お母ちゃん,…お前も、この人みたいになるんだよ？スペ！
幼ウマ娘,うんっ！
ハナ,気高く、美しく、可憐で、華やかだ…そして傍にいた私は、彼女が限りなく優しく、そして強い事も知っている…！
ルドルフ,ああ…ようやく見れた！これが見たかった！！おめでとうとは敢えて言わないぞ？なぜなら、お前こそこの晴れ舞台に最も相応しい存在だからだ！。…ありがとうマルゼンスキー。これで私は、お前が見せてくれた、私の望む進むべき世界に自信を持って挑むことが出来る！
ﾀｲｷｼｬﾄﾙ,…今度は、私の番デースっ！
ｵﾍﾟﾗｵｰ,このレースこそ、華麗な僕に相応しい…！
ｸﾞﾗｽﾜﾝﾀﾞｰ,先輩方の走りを目に焼き付ける…来るときに備えて！
ｴﾙｺﾝﾄﾞﾙ,国内も海外も…全部ミーが頂きマース！
スズカ,誰よりも速く走るなら…避けては通れない場所…っ！
ルドルフ,…生徒会に入り、理不尽な制限や要求にも対抗できるだけの力を手に入れた…これでおハナさんの負担も大分減らせるだろう
ハナ,おハナさんはよせ…だが、マルゼンスキーの受けた理不尽な仕打ちを、もう他のウマ娘にさせないのはありがたいな？
ｴｱｸﾞﾙｰｳﾞ,ウマ娘の自由意思を、組織の都合に左右させず全うさせるのが生徒会のあるべき姿だ…
ﾌｼﾞｷｾｷ,それはリギルに限らない。他のどのチームにも、そしてウマ娘達に公平に与えられるべき権利だからな！
ﾏﾙｾﾞﾝｽｷｰ,フフッ…ねえみんな？私、チームメイトとドリームトロフィに出ることになったら、やってみたかった事があるんだけど…
