城ヶ崎莉嘉,……うぅ～～ん
美嘉,ヤッホー★待ってたよ、法子、時子さん
法子,美嘉ちゃん！すっごい汗だくだね！
美嘉,第一声がそれ！？
時子,蒸し暑いわね、まるで豚小屋だわ……あら、あなた達も一緒なの？
周子,あ、時子さん。ううん、あたし達はただの冷やかしだよ
フレ,冷やしデリカー☆
周子,んじゃ、帰ろっか莉嘉ちゃん
莉嘉,う、うん……。お姉ちゃんのダメなとこ、見つけられなかったかぁ……
時子,ところで美嘉。せっかく私が来たというのに、もてなしの一つも無いのかしら？
美嘉,あ、あぁ。ごめんね時子さん、そこのクーラーボックスにコーラがあるけど
法子,あ、ホントだ！
時子,アァン？コーラ？
法子,ドーナツのお供にはコーラもアリだよ！
時子,スイーツのお供が砂糖水？法子、あなたの頭も立派に砂糖まみれのようね
美嘉,うーん、まぁ、運動には甘いものが良いっていうし、法子にも悪気は無いしさ
時子,当たり前よ、悪気があったらとっくに私が躾けているわ
法子,じゃあ皆で飲もっか！
時子,
法子,あ、あわわわわ……！
時子,……
美嘉,と、時子さん、違うんだよコレは…
美嘉・法子,ひええぇぇぇぇぇっ！！
周子,……よし、撤収っ
莉嘉,ひょっとして……周子ちゃん、ここまで計算ずくだったの？
周子,いやいや、まさか
北条加連,じゃあ、例のやつ、ヨロシクね美嘉♪
美嘉,ハイハイ……
藤本里奈,ふぇっ？
加連,そーれこしょこしょ、こしょこしょ～♪
里奈,ちょ！？まぢかこれダメダメヤバイ！やっ、やひゃははははははは！！
周子,な、何という卑劣な行為！
高垣楓,見て、美嘉ちゃん
楓,私の時計、ちょっと遅れているんです
美嘉,あれ、ホントだ。直さないんですか？
楓,多少の遅れは、ほっとけい……なんて
美嘉,…………えっ。あ
楓,……
美嘉,うわっ！？あ、いやいや面白い！面白いです、楓さん！！
フレ,www
速水奏,美嘉、この間の写真をLINEで送ったわ
美嘉,やりぃ～！サンキュー、奏ちゃん！。……って、えっ？
奏,どうかした？
美嘉,何で……皆の集合写真なのに、何でアタシとプロデューサーしか映ってないの！？
奏,そう加工してあげた方が、あなたが喜ぶと思ったからよ
美嘉,か、かな……かなっ、かなぁ～～ッ！！
奏,ふふ、セミかしら？
莉嘉,……カブトムシじゃない！？
周子,……おっ、来た来た。奏ちゃん、こっちこっち
奏,お役に立てたかしら？
周子,うん、ありがとね。しかし……
莉嘉,これで８コ……あと２コかぁ
フレ,シキちゃんが手伝ってくれてからの３つはトントン拍子だったねー☆
一ノ瀬志希,にゃはははー♪こんな楽しそうなコトしてるなら早く呼んでよ～
周子,ただねー、さっきから美嘉ちゃんの警戒心がすごいんよ
奏,それだけちょっかいを出されたら、さすがに美嘉も警戒するでしょう
志希,別に経口薬じゃなくても、お香で作用させるものならいくらでもできるよ？
フレ,ワォ♪さっすがシキちゃんとんち者～☆
莉嘉,…………！。そうだイイこと考えた！
周子,おっ？
莉嘉,あとの２コは、アタシにまっかせて～！
フレ,リカちゃん、頑張ってー♪
奏,……あれは、果たしてどうかしら
志希,んー、あたしの推測だと、たぶん良からぬ事になるねー
周子,だねー
加連→加蓮,３箇所
Ｐ,美嘉、明日のオーディションが正念場だ。この仕事を勝ち取れば、今度出す新曲にも弾みが付くし、その後のフェスでも有利になる。てっぺん、取りに行くぞ
美嘉,トーゼン★アタシを誰だと思ってんの？
Ｐ,あぁ、その意気だ……ところでお前、何か色っぽくなってないか？
美嘉,へぇあ！？い、いやいや、これは別に志希ちゃんがただ……！
莉嘉,むっふっふ……！。思った通り、Ｐ君とお姉ちゃん、一緒にいるね♪。アタシの計画はこう……。カンペキじゃん！これで１０コ揃うし、お姉ちゃんもヘンなの飲まなくてすむし！
Ｐ,まぁ、美嘉もようやく大人の魅力が出てきたって事かなぁ
美嘉,アタシが子供っぽいって言いたいの！？もうっ！
莉嘉,Ｐ君、お姉ちゃん、お疲れー！
Ｐ,お、莉嘉。何だか楽しそうだな
美嘉,げ、莉嘉
莉嘉,げ、って何さ。もー失礼だなーお姉ちゃんは
美嘉,だって今日のアンタ、何かヘンなことばっかするし
莉嘉,えー、そんなこと無いよー。エヘヘ、疑ってる疑ってる♪。ま、いいや、とりあえずコーヒー淹れてあげるね♪
美嘉,ぬぁ！？
Ｐ,な、何をそんな動揺するんだ……？
莉嘉,Ｐ君も飲むでしょ？
Ｐ,あぁ、ありがとう。助かるよ
美嘉,莉嘉っ！
莉嘉,うわっ！？。え、な……
美嘉,当たり前でしょ！
莉嘉,！？
美嘉,今日一日中、周子ちゃん達とアタシに付きまとって、変なことばっかりして！。今度のアタシの仕事がすっごく重要なの、アンタにだって分かるでしょ！？
莉嘉,そ、そんな……！
美嘉,今まで一度もコーヒー淹れたことの無いアンタが？
莉嘉,うっ……！
美嘉,ほら、やっぱりヘンなこと考えてるんじゃん
莉嘉,ち、違うもん！！
Ｐ,お、おいおい二人とも…
莉嘉,アタシはただ、お姉ちゃんのダメなところを…！
美嘉,はぁ！？
莉嘉,ちゃんと、見つけないとって！
美嘉,イミ分かんないこと言わないで！それでアタシの仕事のジャマをするの！？
莉嘉,まだしてないじゃん！仕事なんかいつだって出来るのに、お姉ちゃんはアタシの…！
美嘉,なんか、って……！
莉嘉,……ふぇ
美嘉,アタシの仕事を“なんか”呼ばわりしないでよっ！！
莉嘉,…………うぇ
美嘉,……あ
莉嘉,お姉ちゃん……アタシ、お姉ちゃん……。友達、な……ならなきゃ、って……！。なんで……なんで、わか、わかっ、て……えぇ……！
美嘉,り、莉嘉……あの……
莉嘉,お姉ちゃん……バカぁ！！
美嘉,莉嘉！？ちょっ…！
莉嘉,うぅ……ううぅ……！。…………ッ。…………。……うぅ。うあ、あぁぁ……！。イヤだよ……お姉ちゃん……。嫌いになんて、なれない……イヤな所なんてないよ……。分かんないよ……だけど……！。ちゃんと、好きになりたいよぉ……！。ヒック…………ヒック……！。…………？
フレ,フンフンフフーンフンフフーン♪。あーるーこー♪あーるーこー♪。わたっしはーみやもとフレデリカちゃーん♪
莉嘉,語呂が悪い……
志希,にゃーん♪
フレ,あっ！野生の捨てシキちゃんだー！
志希,にゃんにゃーん♪
フレ,おぉよしよしよし、シキちゃん可愛いですねぇ～～☆
莉嘉,なんか茶番が始まった……
フレ,ところで、シキちゃんはこんな所で何をしているの？
志希,はい……実は、この一ノ瀬、悪い事をしていたら、悪いプロデューサーに、猫にされちゃったのです
フレ,ワォ☆シキちゃん悪い事してたら、悪いプロデューサーに猫にされちゃったのー！？
周子,フレちゃん、そこは常務っぽく
フレ,あ、そっか
志希,はい、そうなのです。宮本さんであれば、猫をやめる方法を、ご存知とお聞きしております
フレ,確かに、私は猫をやめる方法を心得ている。その方法とは、城ヶ崎美嘉……彼女のダメなところを１０コ言うことだ
莉嘉,……！
志希,えっ！美嘉ちゃんのダメなところを１０コ！？
フレ,できらぁっ！
志希,フレちゃんの台詞じゃなくない？
フレ,あ、そっか
周子,グダグダやなー
莉嘉,グダグダだね
周子,ねー。なんかごめんね
フレ,コホン。とにかく早くすることだ。私は気が長い方ではない
志希,あぁ、どうしましょう！私、彼女のダメなところを１０コなんて言えませんわ！。こんな時、城ヶ崎美嘉のダメなところを１０コ言える人がいてくれたら……！
フレ・志希,……
莉嘉,！？
フレ,……えっと、早くすることだ。私は気が長い方ではない
志希,あぁ、どうしましょう！私、美嘉ちゃんのダメなところを１０コなんて……！。こんな時、あの子のダメなところを１０コ言える人がいてくれたら……！。彼女の事をよく知っている、妹的な人がこの場にいてくれたら……！
フレ・志希,……
莉嘉,めっちゃアタシ見てる……
奏,何をしているの？こんな所で
莉嘉,あっ、奏ちゃん
フレ,カナデちゃーん！カナデちゃんもやろー☆
志希,莉嘉ちゃんに美嘉ちゃんのダメ出しさせる遊びー♪
周子,いやいや、それ言ったらあかんやろ
志希,あ、そうだったっけ？にゃははー、まーまー、どんとまいんど♪
莉嘉,そういう遊びだったんだ……
奏,馬鹿な事をやっていないで、事務所に来て
周子,へっ、あたし？
莉嘉,あ、明日のオーディション、って……お姉ちゃんの！？
奏,美嘉のメンタルを勘案して、代打を当てた方が良いと、プロデューサーが判断したの。明日までにコンディションを回復させる事は、極めて難しいだろうって……だから
周子,だから、あたしが代わりに行けって？
奏,あなたなら上手くやれると、彼は言っていたわ
周子,美嘉ちゃんを茶化して貶めた挙げ句、仕事を横取りしちゃうようで、すごくそのさぁ……
莉嘉,待ってよ！！
周子,うぉ、ビックリした
奏,莉嘉……
莉嘉,元はと言えば、アタシがダメだったんだよ！。アタシが、無理矢理お姉ちゃんのダメなところ、見つけなきゃって……！。周子ちゃんもフレちゃんも、皆、アタシを手伝ってくれただけだもん！。お姉ちゃんだって、アタシが悪いことしなきゃ、アタシをぶたなくてすんだもん！！。アタシ……イヤだよ……！。アタシのせいで、お姉ちゃんのお仕事を取らないであげてよ！！。本当の友達じゃなくても……アタシ、お姉ちゃんに嫌われてもいいから……！。強くてカッコ良くて、優しくてキラキラのお姉ちゃんがアタシ、大好きだから……！。悪いのはアタシなんだ……アタシのせいで、お姉ちゃんがダメになるの、イヤだよぉ！！
周子,だってさ、美嘉ちゃん
莉嘉,…………え？
美嘉,……莉嘉
莉嘉,お、お姉ちゃん！？
奏,ごめんね、莉嘉。さっきの話は、全部嘘なの
莉嘉,は……？
志希,手を上げた事に、美嘉ちゃんがすっごく落ち込んでたのはホントだけどねー
周子,プロ意識の高い美嘉ちゃんの代打は、ちょっとあたしじゃ荷が重いかなー
フレ,プロデリカー☆
莉嘉,お……お姉ちゃん……
美嘉,バカだなぁ、莉嘉
莉嘉,ふぇ……
美嘉,ダメなところ、わざわざ言わなくたってアタシ達、姉妹でしょ？。大好きって、莉嘉が言ってくれただけで、アタシ、すごく嬉しいよ
莉嘉,お姉ちゃん……！
美嘉,痛かったよね……ごめんね、莉嘉。お姉ちゃん失格だね……
莉嘉,そんな事、無い……お姉ちゃん、うわあぁあぁぁ……！！
美嘉,…………
周子,んー、いやまぁ……さ
美嘉,ううん。ありがとう、周子ちゃん。莉嘉の面倒見てくれて。さっきの小芝居だって、周子ちゃんのアイデアだって、奏ちゃんから聞いたよ
志希,めちゃくちゃ焦ってたよねー。周子ちゃん、ひょっとして気ぃ遣いなのかにゃ？
フレ,ひょっとしなくてもシューコちゃんは気配り屋さんだよー☆
莉嘉,周子ちゃん、ありがとう！
周子,あー、と……そういうのはホント、いいや。ごめん
奏,……もしもし、プロデューサー？。えぇ……大丈夫、心配要らないわ。これから皆でそっちに戻るから
Ｐ,美嘉のダメなところ？
美嘉,そっ。プロデューサー、ちゃんと言える？
Ｐ,当たり前だろ
美嘉,えっ？
Ｐ,俺達プロデューサーは、お前達のファン第一号であると同時に、指導者でもある。自分の担当アイドルの課題も見いだせないようでは、おまんまの食い上げだ。そろそろ出るぞ、荷物持ったか？
美嘉,ちょ、ちょっと！じゃあ試しになんか言ってみてよ！
Ｐ,ん？そうだなぁ……。まず、胸がデカい
美嘉,…………え゛
Ｐ,グラビアの仕事の度に、お前の写真は修正が大変だって、先方から小言を言われるんだ
美嘉,なぁっ！？
Ｐ,それと、ちょっとした事で感情的になりやすいのも玉にキズだな。昨日だって…
美嘉,プロデューサーのスケベッ！！
Ｐ,オホッ！？
美嘉,はぁ、はぁ……まったく！！。もういいっ！！莉嘉、行くよ！
莉嘉,えっ？
美嘉,プロデューサーじゃ頼りになんないから、アンタが付いてきて。莉嘉ならちゃんとアタシの事、見てくれるでしょ？
莉嘉,……やったぁ！！お姉ちゃん大好きっ！！
美嘉,あーもう、暑いから離れなってば
周子,ま、雨降って地固まる、ってとこ？
フレ,もっと仲良しになれて良かったねー、リカちゃんとミカちゃん☆
周子,しかし、ダメなところ１０コ言うって、結構難しいもんやねー
フレ,ねーねーシューコちゃん
周子,ん？
フレ,アタシのダメなところ、シューコちゃん言える？。聞かせてくりゃれ
周子,いやいやとてもとても！
奏,相変わらず白々しいわね
周子,おっ、そういう奏ちゃんは言える？フレちゃんのダメなとこ
奏,思い当たりすぎて、わざわざ口に出すのも馬鹿らしいわ
周子,手厳しいねー
フレ,ねー♪あ、シキちゃーん、フレちゃんのダメなところテルミー♪
志希,んー？あたしに構ってくれるトコー♪
フレ,ワォ、即答ー☆
志希,フレちゃんはどうかにゃ？あたしのダメなトコ
フレ,ンー？えっとねー。シキちゃんなところー♪
志希,にゃはははー、サラッと全否定～♪
フレ,皆のダメなところも頑張って１０コ言うよー！
周子,いや頑張らなくてもよくない？
フレちゃんのダメなところ１０個挙げれば、フレちゃんと友達になれると思った,錯乱
