志保P,以下P
いつき,ファンのみんなにはおいしいから大丈夫だよ
志保,私はおいしくありませんからぁ！
CIの三人,いってらっしゃーい
智絵里,じゃあ、準備しますね
かな子,はぁい
杏,ちゃんとカロリー消費して帰ってくるよね？
わんこ,わふぅ、わふぅ
聖來,はぁはぁ……わんこ……ちょっと……待って
志保,ふぅ、結構走りましたね
いつき,うん、ちょうどいい時間かな？
志保,時間？
芳乃,お迎えに参りましたー
いつき,ナイスタイミング！
志保,芳乃ちゃん？ってことはどっかまでワープ？
芳乃,私は体のいい舞台装置でしてー
志保,まってちがう
聖來,と、というか自虐しすぎ……
芳乃,とりまー、皆様をお送りしましてー。ほいっ
聖來,えっと事務所？
志保,誰もいないけど？
芳乃,聖來殿はさらに違う会場までお送りしましてー
志保,えっ？
聖來,よ、よくわかんないけど、今日は色々ありがとうね
志保,はいっ、こちらこそありがとうございました。聖來さんも頑張ってくださ。いっちゃいましたか……。……
P,諦めるのはまだ早いぞ
志保,プロデューサー？どうして？
P,あぁ、最後はこうなるように頼んでおいたんだ
志保,そっか……なら朝、約束したパフェでも
P,その前に……ｶﾞｻｺﾞｿ
志保,またまたぁ～パフェ以上にいいものかなぁ？
P,どうかな
志保,え……その小さな箱って……えっ！？
P,志保、手を出してくれないか？
志保,あ……あ、うん。本当に……もう……
P,志保……ｽｯ
志保,あっ……
P,これからも志保と……未来を映して行きたい
志保,はいっ
P,好きだ
志保,私もですっ！
本当は26日が海保兼海自の日だったのでネタとして,ちひろ
千枝,海軍風なので中華そばの玉を作ることが困難という理由で細打ち饂飩乾麺を使ってます
最上静香,うどんと聞いて！
千枝,では一緒に作り方を。二人前ですので干しうどん二束、ちくわ1本短冊切り
静香,まず、お湯を沸かしたお鍋にうどんを入れて茹でるわよ。固さは好みで。茹で上がったら湯切りして置いておくわ
千枝,饂飩を茹でている間に、深めのフライパンにラードをとかして具材を炒めます
静香,最後に器に饂飩を盛りつけて、上から具材ごとスープを入れまして完成です
千枝,スープが白濁してませんが、スープと麺とを一緒に煮立たせていないからです。一緒に煮ても大丈夫ですよ
唯,じゃあ、第六駆逐隊お料理レシピ集暁響の食卓から乾饂飩玉子汁の作り方だよ☆
ぴてぃ,ぴてぃ！
唯,お、ぴてぃちゃんもヤルキ？ゆいもがんばっちゃう♪。材料は二人分だから干し饂飩2束、玉子1個、玉葱中サイズを半分でくし切り、キャベツ一枚をざく切り、人参中サイズ半分を拍子木切りで
ぴてぃ,ぴー
唯,まず、うどんを……袋の裏に書いてある時間だけ茹でるね
ぴてぃ,あーころころ
唯,つづけてつけ汁をつくるね♪
ぴてぃ,ぴー
唯,最後に沸騰させたら火をとめて溶き玉子を糸賀ひくようにそっと流し込みます
静香,ちなみに玉子汁の方は、もっと玉子を入れた方が玉子のふわふわが味わえていいかしら？
ぴてぃ,ｽﾞｰｽﾞｰ
静香,ご馳走様。さっ、帰るわよ
ぴてぃ,あーころころ
千枝,あ、またね。ぴてぃちゃん
唯,まったねー☆
