Turn1,愛神が生まれた日
ルルーシュ,お互いに好意を持っていることと、ナナリーとも仲良く出来る事。そして朝食はパン派だという事だ
シャーリー,ナナちゃんもパンも大丈夫。あとはルルが・・・
カレン,ふぅーん。まぁ、どうでもいいけど
ミレイ,へぇー。意外と要求少ないのね。で、ルルーシュ君の好みのタイプはどうなのかな？ん？
ルルーシュ,言いませんよ
ミレイ,隠し事はナシ！会長命令よ！
ルルーシュ,職権乱用じゃ・・・
シャーリー,せっかくだから言おうよ
カレン,会長命令は絶対よ。はやく言え！・・・あたしは興味ないけど
リヴァル,ルルーシュだけ言うのはアンフェアだから、会長も好みのタイプを言うってことでどうっすか！？
ミレイ,良いわよ
リヴァル,おっ！
ルルーシュ,意外だ
ミレイ,私はそうねぇ～・・・
リヴァル,リヴァルみたいなのが好みって言って下さい！会長ォ～！
ミレイ,普段は生意気だけど優しい一面もある年下の子がタイプかなぁ
リヴァル,そ、それって、もしかして・・・
シャーリー,ギャップ萌えってやつですか？
ミレイ,かもねぇ。意外な一面にキュンッと来たりして
シャーリー,分かります！
カレン,で、ルルーシュは？会長に言わせたんだからアンタも言いなさいよ
ルルーシュ,・・・元気で誠実な人だな
カレン,ふーん
シャーリー,元気で誠実かぁ
ミレイ,あれ？私の事だ！
カレン,へ！？
リヴァル&シャーリー,なっ！？
ルルーシュ,会長のどこらへんが誠実ですか・・・っと、ナナリーの看病もあるしそろそろ帰ります。お疲れ様です
リヴァル,・・・逃げた
シャーリー,ルル～・・・
ミレイ,そっかそっか
リヴァル,どうしたんすか？会長
ミレイ,・・・身を引こうと思ってたけど、やっぱり諦めきれないなぁ
リヴァル,え・・・？
ミレイ,シャーリー！ごめん！私もルルーシュ争奪戦に立候補する！
リヴァル,か、会長！？
カレン,・・・！
シャーリー,えっ！？会長もルルの事好きなんですか！？
ミレイ,うん。今日ルルーシュ見てて思ったの。誰にも渡したくないなぁって。だから今日から私たちはライバルよん
リヴァル,ほわぁ・・・
シャーリー,そんな・・・。でも、争奪戦って他にもルル狙いの子が居るんですか？
ミレイ,そりゃ居るでしょ。ルルーシュはモテるもん
シャーリー,か、カレンはルルの事どう思ってるの？
カレン,あたしは何とも思ってないよ
シャーリー,本当に？
カレン,た、たぶん・・・
シャーリー,そっか。良かったぁ。会長！私、負けませんよ！私が一番ルルの事好きですから！
ミレイ,それはどうかなぁ？とりあえず、お互い頑張ろー！
シャーリー,おーっ！
リヴァル,はぁ・・・
カレン,・・・ちょっと、用事があるので先に帰ります！
ルルーシュ,生徒会メンバーにも特に影響は見られない。やはり今朝のはクソ親父の妄言か。あ、すみません
C.C.,・・・おい。どこを見て歩いている？って、何だ。ルルーシュか
ルルーシュ,C.C.！？ロロと一緒に留学へ行っていたんじゃないのか？
C.C.,飽きたから先に帰ってきた。また、お前の家に居候するぞ。シャルルと咲世子には既に連絡してある
ルルーシュ,ったく・・・。いい加減自分でアパートを借りるなりしろ
C.C.,ルルーシュ、腹が減った。イタリアンレストランに行くぞ
ルルーシュ,話をすり替えるな。それにお前の提案は却下だ。ナナリーが風邪をひいていて看病しなくてはならない
C.C.,私に一人で外食させる気か？
ルルーシュ,行くのを止めればいいだろう
C.C.,ほぉう。来月の請求金額がどうなってもいいようだな？
ルルーシュ,それはオレのクレジットカード！？何故お前が持っている！？
C.C.,返してほしければ一緒に来るんだな
カレン,あれ！？なんでC.C.が居るの！？
C.C.,久しぶりだなぁ、カレン。留学に飽きて帰ってきた
カレン,はぁ？本場のピザが食べたいとか言ってE.U.に行ったと思ったら・・・
C.C.,あっちのもウマいが、こっちのピザが一番だな
ルルーシュ,カレン、生徒会は？
カレン,用事があるから抜けてきた
C.C.,そうか。私たちはイタリアンレストランに行ってくる。じゃあな
カレン,なっ！？
ルルーシュ,食べたらすぐ帰るぞ。あと、クレジットカード返せ
C.C.,仕方ないな。ほら
ルルーシュ,もう勝手に持っていくなよ
カレン,あっ！すっかり忘れてたけど今日の用事は中止になったんだった！という事で、あたしも行くわ
C.C.,はぁ？
カレン,はやく行きましょ！お腹すいちゃった
*,ご注文はお決まりでしょうか？
C.C.,スペシャルドリームピザを３枚
カレン,私はミートソースで
ルルーシュ,エスプレッソでお願いします
*,かしこまりました
ルルーシュ,・・・おい。お前、３枚も食べるのか？
C.C.,育ち盛りだからな
カレン,横方向限定でね
C.C.,相変わらず生意気なやつだ
カレン,アンタほどじゃないわよ
ユーフェミア,あら？ルルーシュ？
ルルーシュ,ユフィ！
ユーフェミア,こんにちは。今日はナナリーは一緒じゃないのね
ルルーシュ,あぁ。君こそバイトは？
ユーフェミア,これからです
カレン,えっと・・・前に会った事あるよね？ルルーシュの妹さんだっけ？
ユーフェミア,はい！ルルーシュとはお母さんが違いますが兄妹です。いつもルルーシュがお世話になってます
C.C.,あぁ。ちゃんと世話しているぞ
ルルーシュ,お前は黙っていろ！
ユーフェミア,女の子に向かって、そんな乱暴な言い方ダメですよ
ルルーシュ,うっ。すまない・・・
カレン,珍しく素直だ
ユーフェミア,ルルーシュ・・・ちょっと見ない間にカッコよくなってきましたね
ルルーシュ,ありがとう
ユーフェミア,恋人は出来ましたか？
ルルーシュ,居ないな
ユーフェミア,勿体ないですね。なんなら私が恋人になってあげましょうか？
ルルーシュ,ユフィ！？
カレン,え！？
ユーフェミア,ふふ。冗談です。いそがないと遅刻しちゃうんで、そろそろ行きますね
ルルーシュ,あぁ。スザクによろしくな
ユーフェミア,はい！今度お姉さまと一緒に遊びに行きますね。また！
*,スペシャルドリームピザ３枚、エスプレッソ、ミートソースをお持ちしました
ルルーシュ,どうも
*,ごゆっくりどうぞ
カレン,・・・なんでスザクによろしくなの？
ルルーシュ,ユフィとスザクはバイト先が同じなんだ
カレン,なるほど
C.C.,さて、食べるか。ルルーシュの奢りだしな
ルルーシュ,何を言っている！？自分の分は自分で払え！
C.C.,甲斐性なしめ
ルルーシュ,黙れ、魔女が！
C.C.,そんな乱暴な言葉遣いをしていると、ユーフェミアに嫌われるぞ？
ルルーシュ,うぐっ・・・
カレン,ナナリーに対してもそうだけど本当に妹に弱いのね
ルルーシュ,くっ・・・
ユーフェミア,こんにちは！
スザク,やぁ、ユフィ
セシル,こんにちは
ユーフェミア,スザク。さっきルルーシュに会いました
スザク,本当かい？
ユーフェミア,はい。しばらく見ないうちに随分とカッコよくなっていてビックリしました！妹の私ですら付き合いたいって思っちゃいました
スザク,そんなにかい・・・？
セシル,・・・スザク君？
ユーフェミア,女の子二人連れていましたし学校でもモテモテなんでしょうね
スザク,女の子？誰だろう？
ユーフェミア,お名前までは分かりませんが
ロイド,こんにちわぁ～！そろそろ仕事交代の時間だよぉ～！
セシル,はーい
スザク,はい
ロイド,あっ、ユーフェミアさんは少し残ってねぇ。ちょっと書類を書いてもらいたいんだ
ユーフェミア,分かりました
スザク,先に行ってるよ、ユフィ
ユーフェミア,はい
セシル,スザク君、今日は元気がないみたいね？
スザク,そんなことは・・・
セシル,話した方が楽になることもあるわよ
スザク,・・・聞いてもらえますか？
セシル,もちろん
スザク,相手は言えませんが・・・実は僕、恋をしているんです
セシル,さっきユーフェミアさんが男の子の事をほめていて悲しそうな顔していたし・・・きっとユーフェミアさんの事ね
スザク,でも、その人は僕の事を友達としか見ていない気がして・・・
セシル,ユーフェミアさんはスザク君の話題の時いつも楽しそうだし・・・きっと脈ありよね。お姉さんが一肌脱いであげましょう。スザク君。ちゃんと自分の気持ちを伝えた方が良いわ
スザク,でも・・・
セシル,その人もスザク君と同じように思っているかもしれないでしょ？
スザク,・・・そうでしょうか？
セシル,そうよ。頑張って！
スザク,ありがとうございます。セシルさん。明日にでも相手が僕の事をどう思っているか聞いてみます！
セシル,今日聞けば良いのに
スザク,いえ、ちゃんと自分の考えをまとめたいので
セシル,それもそうね。でも、気休めに聞こえるかもしれないけどきっと上手くいくわよ。スザク君は優しいから
スザク,ありがとうございます！セシルさんもロイドさんと上手く行くといいですね！
セシル,こ、こらスザク君！大人をからかうんじゃありません！
スザク,あはは
ユーフェミア,あら、楽しそうですね～。何の話をしているんですか？
スザク,セシルさんとロイドさんの事でちょっとね！
ユーフェミア,まぁ！ついにお付き合いを始めたのですか！？
セシル,もう！ユーフェミアさんまで！
C.C.,美味かった
ルルーシュ,３枚を一人で食べるとは・・・とんでもないやつだな
C.C.,トイレ
ルルーシュ,いちいち宣言するな！下品なやつめ
C.C.,ふふ。興奮したか？
ルルーシュ,そんなワケないだろう！早く行け！
C.C.,はいはい
ルルーシュ,カレンもこんな遅くまで付き合わせて悪かったな
カレン,いや、良いよ。それよりも聞きたい事があるんだけど
ルルーシュ,なんだ？
カレン,彼女欲しい？
ルルーシュ,今日はその話ばっかりだな
カレン,いいから答えて！
ルルーシュ,欲しくないと言えばウソになるな
カレン,そっか
ルルーシュ,仮に世界に不満があって世界を変える為にテロリストでもしていたら、欲しいなんて思わなかっただろうがな
カレン,何それ。ただの学生が世界を変えるって・・・ルルーシュって、まだそういうの卒業してないの？
ルルーシュ,おま・・・
カレン,あっ！もしかしてルルーシュが授業中寝てるのって、学校がテロリストに占拠された時を想定して皆を助ける方法とか考えてるから・・・？
ルルーシュ,・・・その通りかもしれない事も無くはないが、誰にも言うなよ
カレン,回りくどいわね！言わないわよ。せっかくの二人だけの秘密だもの
ルルーシュ,そうか。それで、何の話だったか
カレン,ルルーシュは彼女が欲しくて欲しくてしょうがないって話よ
ルルーシュ,そこまでは言ってないが
カレン,そんなに欲しいなら、あたしが彼女になってあげようか？
ルルーシュ,え？
カレン,イヤなの？
ルルーシュ,いきなりどうしたんだ？
カレン,別に。ルルーシュが独り身で可哀想だったから助けてあげようかなっていう気まぐれ
ルルーシュ,生徒会室でも言ったが、付き合うならお互いに好意をもっている事が条件だ。だから、お前の気まぐれに付き合う気はない
カレン,・・・す、好きよ
ルルーシュ,何？
カレン,だから！私はアンタの事が好きだって言ってんのよ！
ルルーシュ,なっ！？
カレン,もう！何であたしから言ってんのよ！こういうのって普通男から言うんじゃないの！？
ルルーシュ,す、すまない・・・
カレン,・・・で、ルルーシュはあたしの事どう思ってるの？
ルルーシュ,オレは・・・。なんだこれは！？カレンが突然・・・思えばユフィもおかしな所があった気がする。普段はオレの事を誉めたりしないからな。はっ！１０人の中にカレンとユフィが入っていたという事か！？ならば、ここでカレンを満足させなければならないということ。しかし・・・。オレはカレンの事が好きなのだろうか？今まで考えたこと無かった。少なくても嫌いではない。いや、どちらかと言えば好きだ。なら、ここはYesか？。だが、ここでカレンと付き合うとなると他の９人を満足させることが出来なくなる恐れがある。最善の回答はなんだ？考えろ・・・落ち着け！オレなら出来る！。なぜなら、オレは奇跡を起こす男“ゼロ”なのだから！※授業中考えた設定。・・・
カレン,ルルーシュ？
C.C.,どうした？二人して沈黙して。倦怠期か？
カレン,別に何もないわよ
ルルーシュ,戻ったか。ナイスタイミングだ！初めて良い仕事したな！
カレン,・・・そろそろ帰りましょうか
ルルーシュ,そうだな。カレン、奢るよ。帰りが遅くなってしまったお詫びだ
カレン,良いの？
ルルーシュ,あぁ。払わせてくれ
カレン,じゃあ、お言葉に甘える。ありがとね
C.C.,よろしく頼む
ルルーシュ,どさくさに紛れて何を言っている！？
*,ありがとうございました！
ルルーシュ,・・・これは貸しにしておくぞ？C.C.
C.C.,私への借りを全部返してからそういう事は言え
ルルーシュ,そもそも何も借りていない
カレン,ごちそうさまでした。すっかり遅くなっちゃったわね
ルルーシュ,家まで送ろうか？
カレン,ううん。こっから近いしいいよ。はやく帰ってナナリーの看病してあげて
ルルーシュ,ありがとう
カレン,・・・早めに返事ちょうだいね
ルルーシュ,・・・あぁ
C.C.,なんだ？カレン、告白でもしたのか？
カレン,はぁ！？そんなワケないじゃない！あたしはこんなモヤシ男、アウトオブ眼中だから！
ルルーシュ,モヤシはひどくないか？
カレン,あっ。ごめん。・・・じゃあ、あたしは帰るから。また明日ね！
ルルーシュ,あぁ。帰り道気を付けて
C.C.,私たちも帰るぞ
ルルーシュ,そうだな・・・って本当に居候する気か？
C.C.,既に荷物をお前の家に送ってある
ルルーシュ,干物女め
C.C.,口先だけのDT坊やに言われたくないな
ルルーシュ,黙れ。ただいま
ナナリー,お帰りなさい
咲世子,お帰りなさい
ルルーシュ,あっ。咲世子さん
咲世子,シャルル様ご不在の間、毎度のことながら身の回りのお世話をさせて頂きます
ルルーシュ,いつもありがとうございます
C.C.,咲世子、私の荷物は届いているか？
ナナリー,C.C.さん、お久しぶりです。咲世子さんから話は聞きました。また一緒に暮らすんですね
C.C.,あぁ。また宜しく頼む。ナナリー
咲世子,お荷物の所までご案内します
C.C.,頼む。また後でな、ルルーシュ
ナナリー,お兄様、手を握ってください
ルルーシュ,あぁ。帰りが遅くなってしまってゴメン。風邪は大丈夫かい？
ナナリー,だいぶ良くなりました。それより、女遊びはほどほどにしてくださいね？
ルルーシュ,何の事だい？オレはそんな事しないよ
ナナリー,お兄様から女の人の匂いがします
ルルーシュ,それならC.C.だよ。あいつ放課後学校に来ていて一緒にご飯食べて帰ってきたから・・・
ナナリー,でも、３人の匂いが
ルルーシュ,あぁ。たまたまカレンやユフィにも会ってね
ナナリー,そうですか・・・
ルルーシュ,そうだよ。ナナリー、着替えてくるからちょっと待っていてくれ
ナナリー,はい！でも、お兄様
ルルーシュ,なんだい？
ナナリー,カレンさんの告白は受けるんですか？
ルルーシュ,ナナリー！？
ナナリー,ふふ。お兄様は私を置いて他の方と付き合ったりしませんよね？私は自室に戻りますね
ルルーシュ,・・・何故ばれた？
C.C.,おい、ルルーシュ
ルルーシュ,部屋に入るときはノックくらいしろ
C.C.,そんな事より見てくれ。チーズ君が我が家に来たんだ
ルルーシュ,お前が抱いているそのヌイグルミか？確かピザのキャンペーンで超難問が解けたら抽選でもらえるってヤツだったか？
C.C.,それだ。お前に解かせて半年前に応募したきり音沙汰がなかったからお前に復讐してやろうかと思っていたが、こうして無事に届いたぞ
ルルーシュ,相変わらず理不尽なやつだ
C.C.,やれば出来る坊やだな。お前に言うのも癪だが、礼を言う
ルルーシュ,そうか。それは良かったな
C.C.,今日の私は気分が良いからな。なんならお前の欲望のはけ口になってもいいぞ？
ルルーシュ,バカ言うな。そんな事する暇があったら今日のピザ代を返せ
C.C.,なんだ、つまらない奴だな。そうだ、ナナリーにチーズ君を自慢してこよう。またな、ルルーシュ
ルルーシュ,まったく。相変わらず自己中心的な奴だ。・・・ん？。メーターの緑色のランプが１個光っている。誰かが満足したのか。・・・C.C.か？あいつがオレに礼を言うなんて初めてだしな。・・・ヌイグルミで喜ぶ、か。意外と可愛い所もあるんだな。今日は色々あったが、１０人のうち３人が分かり１人満足させた。大きな前進だ。表にしてまとめておくか
07.ナナリー,だったら嬉しい
ルルーシュ,なんとか１０人を見つけ、全員を満足させなければ。さしあたりカレンをどうするかだが・・・とりあえず今日はもう寝て明日に備えるか
スザクはルルーシュに問う。,君はユフィの事をどう思う？
次回Turn2,床の味
Turn2,床の味
ナナリー,おはようございます。お兄様
ルルーシュ,おはよう、ナナリー。風邪はどうだい？
ナナリー,だいぶ良くなりました
咲世子,熱は下がりましたが用心の為今日までお休みして頂きます
ルルーシュ,そうですか。ナナリーのこと宜しくお願いします
咲世子,はい
C.C.,ふわぁ・・・
ルルーシュ,やっと起きてきたか。オレは先に学校に行くぞ
C.C.,私も行く・・・
ルルーシュ,まだ全然準備出来ていないだろう。遅刻しないように後から来い
C.C.,分かった
ルルーシュ,外は寒いな・・・。そろそろコートを出す時期か
アーニャ,おはよう。ルルーシュ
ルルーシュ,アーニャ。おはよう。もう風邪は治ったのか？
アーニャ,うん。ルルーシュ記録
ルルーシュ,本当に写真好きだな
アーニャ,別に。ただ物忘れが激しいから記録を残して思い出す材料にしてるだけ
ルルーシュ,いつかはオレや生徒会の皆とのことも忘れてしまうのか？
アーニャ,・・・
ルルーシュ,アーニャ？
アーニャ,ルルーシュ、記憶。これでもう忘れない
ルルーシュ,そうか。じゃあオレもずっとアーニャの事を忘れるわけにはいかないな
アーニャ,ルルーシュ・・・
ルルーシュ,どうした？服の裾をつかんで
アーニャ,寒いから・・・
ルルーシュ,つかむだけじゃ暖かくならないだろ？
アーニャ,・・・そんな事ない
スザク,おはよう！ルルーシュ！あっ。アーニャも！
ルルーシュ,おはよう
アーニャ,・・・邪魔
スザク,朝から二人で登校なんて、ラブラブだね
アーニャ,・・・
ルルーシュ,何を言っているんだ。さっき、そこで偶然会っただけだ
アーニャ,・・・むぅ
スザク,なんだ、そうか。良かった！はは
ルルーシュ,何が良かったんだ？
スザク,いや、ユフィがルルーシュと付き合いたいって言ってたからさ。二股する気なのかなって
アーニャ,・・・ユーフェミア。厄介、ちょっとだけ
ルルーシュ,ユフィの冗談を真に受けるな。それにオレが二股などするわけないだろ
スザク,じゃあ５股くらい？
ルルーシュ,何故増える！？
スザク,ルルーシュはモテるからね。そんぐらいしているのかなって
アーニャ,・・・会話の主導権を持っていかれた
ルルーシュ,それはない。それに、今はお前やアーニャたちと生徒会で一緒に過ごす時間を大切にしたいしな
スザク,ルルーシュ・・・。君にとって僕たちは大切な存在なんだね
ルルーシュ,まぁな。面と向かって言うのも照れるが
アーニャ,素敵
スザク,はは。でも、ありがとう！僕も大切にするよ
*,一限目、授業なんだっけー？。国語だよ。あぁー。朝っぱらから扇のモジャ毛ヘアを見なきゃいけないのかぁ。あの髪型キモいよなぁ。本人はヤンチャな髪型のオレかっけーってつもりなんだろうけど。昨日もヴィレッタ先生にちょっかい出して教頭先生に怒られてたぜ。マジかよ。相手にされてない事に気づいてないのかなぁ
スザク,ルルーシュ
ルルーシュ,ん？どうした？
スザク,今日の放課後、枢木道場まで来れないか？
ルルーシュ,何かあるのか？
スザク,ユフィの事で話があるんだ
ルルーシュ,ここで出来ない話なのか？
スザク,うん
ルルーシュ,そうか。なら仕方ない。生徒会が終わったら行こう
スザク,ありがとう
シャーリー,ルル～、スザク君。おはよう
ルルーシュ,おはよう
シャーリー,あのね、ルル・・・きょ、今日の放課後ヒマかな？友達の誕生日プレゼント選びに付き合って欲しいんだけど
ルルーシュ,ごめん、シャーリー。今日の放課後はスザクに呼ばれているんだ
スザク,ちょっと大事な用事があってね。ごめん
シャーリー,そ、そうなんだ！別に良いの！何となく誘っただけだから！
カレン,皆おはよう
シャーリー,おはようカレン
カレン,ルルーシュ、昨日はご馳走さま
シャーリー,え？
ルルーシュ,気にするな。昨日も言った通り遅くまで付き合わせたお詫びだ
シャーリー,遅くまで付き合わせた・・・？
スザク,カレンと遅くまで何かしていたのかい？
ルルーシュ,食事に行ったんだ
シャーリー,えぇ！？まさか二人って・・・
カレン,変な勘違いしないでよ！C.C.も居たんだから！
スザク,あぁ。もしかしてユフィが言ってた昨日ルルーシュと一緒に居た女の子二人というのはカレンとC.C.の事だったのかな
ルルーシュ,そうだろうな。昨日ユフィと会ったとき３人で居たからな
スザク,そういう事か
シャーリー,私も行きたかったなぁ
カレン,たまたま道端で会って一緒にご飯行くことになっただけだから
シャーリー,そっか。良かったぁ
カレン,さすがに良心が傷むわね。抜け駆けしてゴメン、シャーリー・・・
扇,授業始めるぞー。座れー
*,ﾌﾞｰﾌﾞｰ
ルルーシュ,はぁ・・・はぁ・・・
リヴァル,がんばれー！ルルーシュ
スザク,あと１週だよ～！
ヴィレッタ,終了時刻か。ルルーシュは頑張って完走しろ。他の者は先に帰っていいぞ！
リヴァル,どうする？ルルーシュのやつ待ってやる？
スザク,うん
ルルーシュ,はぁ・・・はぁ・・・やっと・・・ゴールだ・・・
リヴァル,お疲れ！ルルーシュ
ヴィレッタ,ブービーに周回遅れにされるとはな・・・。このままじゃマラソン完走出来るか怪しいな
スザク,はやく戻ってご飯食べようよ。僕お腹ペコペコだよ
ヴィレッタ,ルルーシュ、しっかり自主練しておけよ。あと、コーネリア先生がお前を呼んでいたぞ
ルルーシュ,また・・・ですか・・・
スザク,姫さまってルルーシュの事よく呼び出すよね
リヴァル,良いなぁルルーシュは。保健室の先生とイケナイ関係になるって憧れるよな。しかも、あの姫さまとだぜ？
スザク,まさかルルーシュ・・・ユフィに飽き足らず姉妹同時攻略かい！？
ルルーシュ,バカ言うな・・・。オレは保健室に寄って行くから、すまないが先に戻っていてくれ
スザク,分かったよ。行こうかリヴァル
リヴァル,また後でな
ルルーシュ,あぁ。失礼します
コーネリア,来たかルルーシュ
ルルーシュ,何の用ですか？姉上
コーネリア,ルルーシュ！公私混同するな！今は先生だ
ルルーシュ,先生・・・どうしたんですか？
コーネリア,ヴィレッタから聞いたのだが、お前体力ないそうだな？このままだと冬のマラソン大会で完走できるか怪しいとか
ルルーシュ,・・・オレが体力無いのは先生がよくご存じかと思いますが
コーネリア,そうだな。だからこそ一人の教師として生徒をこのままにしてはおけないと考えている。だから、明日の夜に特訓するぞ！私がマラソン完走できる男にしてやる！
ルルーシュ,なっ！？あね・・・先生も忙しいでしょう？無理をなさらずに
コーネリア,無理なものか！明日の夜、ユフィと一緒にお前の家に行くからな。ちゃんと家に居ろよ
ルルーシュ,そんな・・・
コーネリア,話は以上だ。行っていいぞ。それとも一緒に昼ごはん食べるか？
ルルーシュ,い、いえ！友達が待っているので。それでは失礼します
コーネリア,・・・ちっ。仕方ない。私も昼ごはん食べに戻るか。ん？
扇,千草先生。オレと一緒に学食行きましょうよ
ヴィレッタ,誰が千草だ。私はヴィレッタです。変なアダ名をつけないで頂きたい
扇,でも二人だけの呼び名って憧れませんか？
ヴィレッタ,相手によります
扇,だから、オレと・・・
コーネリア,扇！
扇,こ、コーネリア先生
コーネリア,抜けている、呆けている、堕落している！神聖な学び舎で何をしているか！それでは生徒に示しがつかんぞ！
扇,す、すみません・・・
ダールトン,何かあったのか？
コーネリア,ダールトン教頭。また扇がヴィレッタにちょっかいを・・・
ダールトン,またか
ギルフォード,困ったものですね、扇には。ねぇ姫さま？
コーネリア,ギル先生。その姫という呼び名をやめて頂きたい！そのせいで生徒にも影で姫さまとか姫先生と呼ばれているのだが？
ギルフォード,保健室の先生はいつの時代もアイドルです。良いではありませんか？
コーネリア,それでは扇の事を言えなくなる！
扇,そうだそうだ！オレを取り締まるなら、まず姫さまを取り締まれ！
ダールトン,まぁまぁ。それだけ人気という事で良いじゃないですか。姫先生。ただし扇！お前は自重しろ
コーネリア,教頭まで・・・！扇の自重は賛同するが
扇,理不尽だ・・・
リヴァル,なぁ、姫さまの用事って何だったんだ？
ルルーシュ,マラソン大会で完走できる男になれ、と・・・
スザク,それだけ聞くとハードル低いように感じちゃうね
ルルーシュ,言うな・・・
リヴァル,まっ、それは置いといて飯食おうぜ！
シャーリー,あの、ルル？今日私も一緒に食べて良い？ソフィたちが風邪で休みでしょ？だから、一緒に食べる人が居ないの・・・
ルルーシュ,あぁ。どうぞ
カレン,あたしも入れてよ
スザク,カレンもかい？
カレン,たまにはね
リヴァル,じゃあ、いただきまーす！
カレン,ルルーシュ
ルルーシュ,ん？
カレン,アンタ料理得意よね
ルルーシュ,それなりにな
カレン,今日のお弁当あたしが作ったんだけど、味見してみてくれない？
シャーリー,なっ！？
ルルーシュ,あぁ。じゃあ、少し貰うぞ
カレン,アンタが料理上手って聞いて頼んだだけだから！勘違いしないでよね！
ルルーシュ,はいはい
