それでは、第五章,深夜・前
剣使い,……悪かった。アンタらのシゴトを疑ったりして。ならば教授の嬢ちゃんたちのコトは、アンタらに任せよう。だから、俺たちも。俺たちのシゴトを確実に果たす
車掌,ええ。私たちの役目は、乗客の皆さんを守り、今日の運行を無事成功させるコト……。そしてその目的は、貴方がたの目的とも共通しているハズ。共に頑張りましょう
弓使い,でもさー、それでもやっぱ何の襲撃も無いっていうのは、やっぱりヒマだよねー。アル○ォート派の魔族っていうのは、本当にこの１２号車の動力室を襲うのかなあ？
車掌,おそらくは。過去襲撃してきた魔族は皆、この動力室の動力源を狙いました。今回の魔族も、動力室の場所に勘付けば、きっとココに現れるかと。それに、この１２号車から繋がる、１３号車は、この列車の要の一つ……。もし教授さんを狙うき○こ派や、謎の赤色仮面が、列車の機能を狙って襲ってきても。ここに張ってさえいれば。迎え撃ち、懸案を一つ減らすコトが出来ます
銃使い,ん。電話？
車掌,おや……。乗務員の誰かでしょうか。……失礼。もしもし
弓使い,やれやれ。こりゃあ、年をまたぐ、大シゴトになりそうだねぇ。朝まで気合い入れていこうか！
剣使い,ああ、そうだな……。……魔族。お前たちは今、どこにいる？
族長,……ッ！？
魔族A,ぞ、族長？今、族長も感じましたか！？
族長,あ、ああ……
魔族B,絶大な魔力の奔流……！前方車両から……
魔族C,これほどの術を発動するとは。手練れの術士でも乗っているのか？
魔族D,あるいは、我々と同じ魔族か……？
族長,…………。……いや。今の魔力の波動には、心当たりがある
魔族A,え？
族長,まず、魔力を使った術というのは、我々が使っているそれと。一部の人間が使うそれは、似ているようで、根本的に違うという。そして、俺の経験から言えば……。今のは、魔族の使う術の波動だ
魔族B,というコトは、今の術の主は、魔族……？
族長,おそらくはな。そして、今ほどの術となれば、使えるのは魔族でも、ほんの一握り……
魔族C,……ま、まさか？
族長,ああ、そうだ……。マチガイない。今の術の主、この列車に乗っている魔族とは、魔王の誰かだ
魔族D,魔王……！！
魔族A,そんな。魔王のような大物が、どうしてこの列車に……
族長,わからん。だが、我々の行動の範疇で、考えられる原因は……。人間界に干渉した我々の行動を誅するために、魔王が直々にやって来た、という可能性だ
魔族B,な……！
魔族C,そ、そんなまさか。ははは、そんなワケないッスよ
魔族D,そ、そうッスよ。いくら俺たちの行動が、魔界のルールを破るモノだとはいえ……。そんな、魔王さまが、俺らみたいな木端を直々に罰しに来るモンすかねえ？
族長,だが、ならばこの状況。他にどう説明する？
魔族A,！
魔族B,そ、それは……
魔族C,……、……
魔族D,……ぞ、族長。もし魔王さまが、本当に俺らを捕まえに来たら……。どうします？
族長,…………。……たしかに、我々の行いは、魔界の規範を越えて、人間界に干渉するモノだ。もし魔界に発覚すれば、処罰は避けられまい。一族の取り潰しもあり得る
魔族A,そ、そんな。じゃあ……
族長,―――だが、それがどうした？
魔族B＆C,……！
族長,我らの決意は、その程度のコトで崩れるようなヤワなモノであったか。改めて誓おう。是が非でも俺は、この列車の動力源を奪い、アル○ォートこそが至高と知らしめる。果たさねばならぬ約定もある。ココで退くワケには、いくまいよ。例え敵が魔王だろうと天使だろうと
魔族D,……うおおおおっ！！反逆の精神、マジリスペクトっす！！！
運転士長,―――“白の大天使”？
魔王,ああ、そうだ。あんたたちが会ったという、白ドレスの女の正体……。そして。今回の一連の騒動の黒幕である可能性が最も高い存在だ
執事,テロリスト、悪魔、未来人ときて、とうとう天使が出てきましたか……
教授,もう今さらって感じだよね。私は何も驚かないよ。あ、き○この山もらえる？
副運転士,はいはい、どうぞー。さて、今回ここにお集りいただいたのは。ディナータイムでの、食堂車での騒動の関係者……
革ジャン,へーえ。あの赤いポリマースーツが、お前を雇った、未来の市民ボランティアのねぇ
小型メカ,たしかに彼は完全に不審者でした。ですが、車外に蹴り飛ばすのは、やりすぎでしょう……
黒コート,う、うう。すまない。まさか、私たちの標的は、あの鉄仮面のほうだったとは
桜色の女,まあまあ。過ぎたるは、なお、及ばざるが如し。アル○ォートでも食べて元気出すでござるよ
魔王,ん？人間のコトワザの、過ぎたるはナントカって、そういう使い方だったか？
ウェイター,あ、オジサンたちも周りで掃除してるけど、事情よく知らないから気にしないでねー
ウェイトレス,もう深夜だから、ほとんど乗客のヒトは寝てるだろうし、これ以上騒がないでねー
運転士長,では料理長、食堂車の後始末はよろしく頼む。はあ、これで連絡は最後か……
執事,それと、俺とお嬢様の二人。居合わせただけの乗客の皆さん以外は、これで全員でしょうか
副運転士,そうみたいですね。こんな遅い時間に、ご協力感謝します
教授,なんだか、まとめ役が板についてきたね
副運転士,そ、そうですか？えへへ……。それにしても、もう深夜の０時ですか……
教授,本当なら、皆でハッピーニューイヤー、って言ってるような時間だね。あいにく、私たちにそんな余裕は無いけれど
運転士長,さて……。それで、ミスター・魔王。白の大天使、とは、いったい……？
魔王,ああ。ここまで事態が大きくなれば、詳しく説明せざるを得ないな。乗務員の嬢ちゃんには、軽く説明したが……。改めて詳しく説明するとしよう。まず、この世界の裏には、天界という場所がある。生き物の魂が最後に行き着く場所だな。世界の裏と言ったのは、物理的な上でも下でもないからだ。通常の方法では行き来できない世界……。まあ、既に俺たちの出身の魔界や。乗務員の嬢ちゃんも行った冥界なんかも関わってるし、そういうモノと理解してほしい
運転士長,え。君、冥界に行ってきたのか……？
副運転士,は、はい。死神のヒトや、冥王さんなんかとも会ってきちゃいました
魔王,次に、天界は、多くの神々と、多くの天使によって運営されている。神々のシゴトは、この世のコトワリを正常に運営するコトだ。そうだなあ、わかりやすく言えば……。ハッキングから今晩のオカズまで、ってやつか？このコトバ、どっかで聞いたが面白いよな。天界には、今晩のオカズを司る神から、ハッキングの神まで、色々いる。本当に色々だ
桜色の女,ほー。今晩のオカズを司る神様とは、具体的にどんなコトを？
魔王,俺も詳しくは知らないが、まあ、献立に迷ってる主婦の思考を助けたりとかだろうな。あんたの思いついた今日のメニューも、案外、今晩のオカズの神の助けかもだぜ？
副運転士,す、スゴい地味なコトしてるんですね……
魔王,いやいや、ハデなコトしてる神々もいるぜ？隕石の軌道を変えたり、冥界からの魂を処理したり。そんなワケで、主神みたいなまとめ役もいるが、神々ってのは基本的に皆平等で、色々いる。そして……。これが本題だな。天使……。神々の意志を実行に移す者だ。天界の使いと書いて、天使。枕コトバに、“大いなる”とつけば、大天使。下っ端の天使はウジャウジャいやがるが、上司である大天使の数は限られている。それだけに、大天使のチカラは強力無比。俺たち魔王も何人いれば、一人とようやく渡り合えるか
執事,魔王さんは天使と戦ったコトがあるんですか？
魔王,小競り合いなら、何度か。だが魔界と天界の全面戦争となると、俺たちにとっても神話の時代だな
教授,私の知らないコトもまだまだあるモンねぇ～。知的好奇心がくすぐられる
魔王,最後に。その大天使の中で、少なくとも騒動への関係はマチガイないのが……。―――白の大天使。混沌を司り、自由と無秩序を愛する、ハタ迷惑な、乳デカ姉ちゃんだ
ウェイター,お。胸が大きいのは良いねえ。お兄さん、直接会ったコトがあるのかい？
魔王,あんた、気が合いそうだな。……うん、まあ、俺とアイツは、色々とな
ウェイトレス,貧乳はステータスだ！希少価値だ！
革ジャン,白い乳デカ姉ちゃん？っとすると、もしかして、さっきの……
黒コート,お前は黙ってろ！！
小型メカ,うわあ。痛そお。毎日黒コートさんに殴られて、よく死にませんよね
副運転士,なるほど。その白の大天使さんが、今回の騒動を招いたと？
魔王,ああ。大騒動、事件、イベント事だいすきの、アイツのコトだ……。奴さん、ヒマに飽いて、この列車に揉め事を大量に集めやがったんじゃねえか？
副運転士,うーん。そんなふうには、見えなかったような……。……いや、やっぱり見えたような？
魔王,そして、この列車は、魔族にもよく狙われる厄ネタを積んでいる……。そうだな？
運転士長,……！そこまで知っているのか、ミスター・魔王
魔王,ああ。ドライ・ブラーの魔力塊のハナシは、魔界でも有名だからな。まあ、その魔力塊の、本当の意味まで知る者は少ないが
運転士長,本当の意味だと？この列車の動力源、というコトではなく？
魔王,違う。古き人間と魔族の約定……。魔力塊はその要石、といったところか。この列車の路線が、この国最大の霊峰の傍を通るのも、そのためだ。簡潔に言おう。白の大天使は、魔力塊を破壊し、古の封印を解こうとしている可能性が高い。なぜなら。それが俺の考えうる限り、この列車における最大の“大騒動”になるからだ
副運転士,大騒動って……。その封印を解くと、いったい何が起こるんですか？
魔王,要石が動かされれば、封印された神々の怒りは解き放たれ、最悪の大戦が始まる。具体的に言うと。ある山が突然噴火して、みんな死ぬ
副運転士,……！。それが……。あのエンマ帳の、真相……？
魔王,そうだ。皆、聞いてくれ。俺が冥界に行ったところ、今日の分の人間の死亡リストを確認するコトが出来た。―――そこに、このドライ・ブラー号の乗員乗客、全員の名前があったんだ
革ジャン,なんだと……！
桜色の女,聞き捨てならないでござるな
魔王,死因は、火砕流に、土石流。加えて、火山弾。……マチガイない。件の、封印が解かれた結果の山の噴火によるモノだ
執事,なるほど。列車の魔力塊とやらが、封印の要石であると知っているのは……
魔王,ああ。魔界でもごく一部。さもなくば、封印された側の、天界の者だけだ
運転士長,私でも知らなかったな。あの魔力塊に、そんなヒミツがあったとは……
黒コート,つまるところ。白の大天使を捕らえるのが最優先、というワケか……
小型メカ,私たちの問題も、教授の死亡がトリガーですから。山の噴火とやらが原因かもしれませんね
教授,え、なになに？私って有名人？
小型メカ,あ、そういえば教授。“最強の兵器”ってどこにあるんですか？
教授,げ。それか……。ゴメン、まだ無い。今現在絶賛思案錯綜中
小型メカ,そ、そうなんですか……。なるべく早く作ってくださいね。未来のために
教授,ねえ運転士さん。運転士さんは、さ。さっき、なんで食堂車の乗客にお菓子を配ったの？。それも、き○この山も、たけ○この里も、アル○ォートも、関係なく
副運転士,え？あ、そういえばアレ、イマイチ意味ありませんでしたね……。あはは。いやあ。どれもおいしいお菓子なんだから、皆で一緒に食べればいいんじゃないのかな、って
教授,……どれも、皆で、一緒に、か
革ジャン,なるほどなあ。んじゃあ、俺たちで、その白の大天使って奴をとっちめてみますか
黒コート,は！？
革ジャン,いやあ、俺たちは仮面の男を追ってたワケだけど、センパイが外に蹴り飛ばしちゃったジャン。それにせっかくこんなヤバい列車に乗ってるのに、俺たちだけ仲間外れってのも、シャクだろ。だったら、自分から悪を探す！そして倒す！。……それが。俺のポリシー
黒コート,……お前のポリシーなど誰も訊いていないんだが
小型メカ,まあ、私の相方も一緒に飛んでいってしまいましたしね……。やるコトが無いのはたしかです
桜色の女,―――いや。奴は、必ず戻ってくるでござるよ
黒コート,え？
桜色の女,―――仮面の男。拙者は、何度もあの男と戦った。ある時は一対一で倒し、ある時は戦艦ごと落とし、ある時は空中庭園ごと叩き潰し……。それでも、奴は、ケロリとして次の戦いに現れた。タイムパトロールどの。あまり、あの男を、侮らぬほうがいい。あの男は必ず、この列車に戻ってくる。そして、……拙者と戦うコトになる。仮面の男の身柄が目的なら、まだ諦めるのは早いでござる。拙者が奴と決闘し、討ち果たした後に……。奴の身柄を、おぬしらに引き渡そう
黒コート,なるほど……。そういうコトなら、仮面の男の打倒、ぜひお願いしたい
桜色の女,承知した。そして、標的を譲っていただいたコト、かたじけないでござる
小型メカ,あの正義の味方気取りも、しぶといですから、なんだかんだで戻って来そうですね
革ジャン,ヒーロー野郎もオペ子ちゃんの味方だってんなら、やっぱ狙いは大天使だけだな
魔王,ハナシはまとまったか？それじゃあ、俺もさっそく動きたい。白の大天使は事件が大好きだ。だから、こちらからも事件を作って、おびき出す。俺は魔王として、この列車に乗った魔族に灸をすえる必要もある。だから、まず魔族の奴らを……
運転士長,ん？今……
副運転士,……ミシッ？
ヒーロー,ぎゃああああああああああああああああああ！！！！！！
仮面の男,おや！そこにいるのは！我が麗しの、それでも呼びたければ教授さん！！
教授,ま、またお前か！？それと、それでも呼びたければは余計だ！！
キノコ頭,落ちるうううううううううううううううううう！！！！！！
執事,な、なんだ？また空からヒトが！？
黒コート,か、仮面の男……！
革ジャン,おっ、こりゃちょうどいい！死ねぇ！！
テロリストB,あっ待て、拳銃なんか撃ったら、爆薬に引火して――――
黒コート,時空整備課を……
ヒーロー,――――あ
黒コート,ナメるなァァッ！！！
ヒーロー,ぶべらああああああああああああああああああ！！！！！！
桜色の女,な―――？赤いカタマリ……！？
仮面の男,えっ？あの、ちょっ―――、待っ――――
ヒーロー＆仮面の男,ぶべらああああああああああああああああああ！！！！！！
ヒーロー,れ、列車の外に投げ出される！？。そ、そんなワケにはいくか！俺は列車に残って、まだやるべきコトがあるのだ！！
仮面の男,むぅ……。このままでは線路の近くの木に叩きつけられて終わり、か……。ならば！！
ヒーロー,な、何を！！？
仮面の男,こうするまでよ！！
ヒーロー,ば、爆弾！？そんなモノお前、いったいどこに隠し持って――――。ぶるああああああああああああ！！！爆風に吹き飛ばされるうううううう！！！！！！
仮面の男,ここからだ！しっかり捕まっていろ！！
ヒーロー,あ、足からジェット噴射！？そんなモノお前、いつの間に装着して――――。うおああああああああああああああああああああああああ！！！！！！。うおああああああああああああああああああ。ああああああああああああああああああああ。ああああああああああああああああああああ。ああああああああああああああああああああ。ああああああああああああああああああああ。ああああああああああああああああああああ。ああああああああああああああああッ！！！
仮面の男,―――む。そこだアアァッッッ！！！
ヒーロー,ジェット噴射で列車の最後尾に近づいている！？。でも、一手足りない、届かない……ッ！！
仮面の男,ならば一手伸ばすまでよおおォッッッ！！！
ヒーロー,う、腕が伸びたああああああああああああ！！？
仮面の男,そら！飛び乗れ！！
ヒーロー,わかった！！。すたっ
仮面の男,ふぅ……。危機一髪、といったところだったな
ヒーロー,ああ……。仮面を被った変態かと思ったら、スゴいんだな。お前
仮面の男,ふふふ。君こそ。良いアクロバティックだった
テロリストA,え……？
キノコ頭,ん？なんだ、今の音？後ろから聞こえたな。１３号車か……？
ヒーロー,ん……？何やらコッチに走ってくる人影がいるな……
仮面の男,こんな時間の、しかもこんなところで、何者だ……？
テロリストB,―――た、大変です！誰かいます！
テロリストC,仮面を被った変態二人組です！！
キノコ頭,なんだと！！？
ヒーロー,変態とは失敬な！！
仮面の男,我ら仮面の元に意気投合した二人組！！
ヒーロー,マスク・ド・ヒーロー！
仮面の男,マスク・ド・スティール！
ヒーロー＆仮面の男,二人合わせて――――
ヒーロー,……あれ、何にしようか
仮面の男,そこまで考えていない
テロリストD,やっぱり変態だああああああああああああ！！！
キノコ頭,く。どうしてこう、次から次へと、イレギュラーが……。……？待て、鉄仮面のほう。お前、もしや……
仮面の男,ん……？どうかしたかね、頭マッシュルームくん。僕は君のような男に脳ミソヒトカケラほどの記憶も無いのだが……
キノコ頭,……いや。お前が覚えていなくとも、俺は知っている……
テロリストA,リーダー？
テロリストB,あっ……！まさか、もしや……！
キノコ頭,お前！！たけ○こ陣営に突然現れて、き○こ派壊滅の原因になった、仮面の男だな！！！
仮面の男,ああ……。き○こたけ○こ戦争の
ヒーロー,ああ……。き○こたけ○こ戦争の
キノコ頭,……お前のせいで、俺たちが、どれだけの屈辱的大敗を喫したか。……お前の発案で、吊るされ火あぶりにされた、き○この山は数知れず。……お前の参戦で、ついにスフ○ラトゥーン決戦で、き○こ派は壊滅となった。―――お前のせいで、チョコとビスケットを分離され、街中に転がされたき○この恨み！！。今こそ思い知れ！！ファイヤアアアアアアァァァ！！！
ヒーロー,火炎放射器だと！？
仮面の男,ううむ……。これは、逃げるしかあるまい。ついでに１０号車の客室の僕の武器も拾っていくとしよう
キノコ頭,待てやゴラアアアアアアアアアアアア！！！
テロリストC,で、出た……！リーダー必殺の、火炎放射器だ！
テロリストD,き○こ派の憤怒の炎を体現したリーダーは、もはや誰にも止められない！！
テロリストA,行くぞ！俺たちも追いかける！お前ら、残りの爆薬を分けて持て！
テロリストB,ああ。だけど今度は、火炎放射器の炎で引火させたりするんじゃないぞ！？
キノコ頭,ファイヤアアアアアアアアアアアアァァァ！！！
仮面の男,くっ……！しつこい奴らだ！列車の端から端まで追いかけてくるか！
ヒーロー,隙あり！今必殺のォォ―――、カカト落とし！！
キノコ頭,ぐあ！！！
仮面の男,ま、待て！炎の熱さと冬の寒さでモロくなった屋根に、そういうコトをすると……
運転士長,ん？今……
副運転士,……ミシッ？
ヒーロー,ぎゃああああああああああああああああああ！！！！！！
仮面の男,おや！そこにいるのは！我が麗しの、それでも呼びたければ教授さん！！
教授,ま、またお前か！？それと、それでも呼びたければは余計だ！！
キノコ頭,落ちるうううううううううううううううううう！！！！！！
執事,な、なんだ？また空からヒトが！？
黒コート,か、仮面の男……！
革ジャン,おっ、こりゃちょうどいい！死ねぇ！！
テロリストB,あっ待て、拳銃なんか撃ったら、爆薬に引火して――――
魔王,うおおおおお、また爆発した！？
小型メカ,よく爆発しますねこの列車は！！
桜色の女,―――やはり、現れたか
副運転士,士長……！あのキノコ頭、教授さんや剣使いのヒトたちのお話通りなら……
運転士長,うむ。奴こそが、ハイジャック犯の片割れ、き○こ派の総元締め……！
ウェイター,あー、もう。せっかく掃除したのにグチャグチャだよ。オジサン、ショック
ウェイトレス,まったく。ヒトの苦労を何だと思ってるのかなー
ヒーロー,あ、いたたた……。まったく、ヒドい目に遭った
小型メカ,自称ヒーローさん！ご無事でしたか！？
ヒーロー,あ、ああ。なんとか。あの仮面のおかげで、列車に戻ってこれたぜ
小型メカ,なんで指名手配犯と仲良くなってんですか……
キノコ頭,むッ……。あれは、教授……！！
教授,キノコ頭！
キノコ頭,……クッ、ククハハハハ。俺たちは事故にはよく遭うが、天運もついている……！。やれ、者ども！！再び奴とまみえたは僥倖！！教授を捕らえろ！！
テロリストA～D,イェッサー！！
執事,ぐ……ッ！
魔王,……なんか、エラいコトになってきたなぁ。いや、でもちょうど屋根に大穴が開いた！今がチャンスだ！。……もしやこの事態すらも、白の大天使の掌の上という可能性もあるか？。いや、それは穿ちすぎか……。いずれにせよ、俺は今、魔族を呼ぶという役目を果たすべきだ。さあ！この列車のすべての戦いに、決着をつける時だ！ふんっ！！！
族長,……！
魔族A,ま、また魔力波です、族長！
魔族B,今度は明確な指向性を持っています！１号車の、屋根の上から……！
族長,…………
魔族C,……？族長？
族長,―――お前たちはココに残れ
魔族D,え！？
族長,今の魔力の波動は、間違いなく魔王様だ……。この列車に潜伏せし魔族よ。申し開きがあるならば、この魔王の元に馳せ参じよ。この魔力波は、そういう意味を持った、念話だ……。……おそらく、俺がいけば、魔王様との戦いになる。それにお前たちを巻き込む必要は無い。お前たちは、ここに残れ
魔族D,―――族長
魔族A,……そんな冷たいコト、言いっこナシですよ
族長,何……？
魔族B,族長の、アル○ォート派として覇を唱えたいという気持ちは、俺たちも同じです
魔族C,だったら、たとえ魔王さまが相手でも、一人では行かせられません
魔族D,一蓮托生ってやつッスよ、族長！！
族長,……。お前たち……。そうか。ならば、行くとしようか、バカども。―――魔王を倒しに
魔族D,下克上の精神、マジリスペクトっす！！
弓使い,……？
剣使い,ん？どうかしたか、姐さん？
弓使い,いや。今なんか、聞こえなかった？
銃使い,物音……？何も、しなかった
車掌,私も、特には。弓使いさんは耳が良いのですか？
弓使い,まあ、耳は良いほうだけど。そうじゃなくて……。頭の中に直接響いてきた感じ。テレパシーってやつかな？
剣使い,テレパシー？そいつは、まさか……
車掌,魔力によるモノですか？弓使いさんは、魔法の素養がおありで？
弓使い,まあね。本職の魔法使いほどじゃないけど、魔法も戦闘に使う。みんなには聞こえなかった？じゃあ、指向が限定的なモノなのかな
剣使い,テレパシーってコトは、内容があるんだよな。なんて言ってた？
弓使い,うん。盗み聞きしたみたいなモノだから、よくは聞こえなかったんだけど……。おしおきするから、魔王のところに来ーい！……みたいな？
車掌,ま、魔王？いわゆる、魔族の王の……？
銃使い,おしおきってコトは、上司が部下に罰を与える、ってコト？
剣使い,ちょっと待て。魔王が罰を与える相手、ってのは……
車掌,……！この動力室を狙っているハズの、魔族！？
弓使い,つまり、アル○ォート派の魔族の、上司の魔王がこの列車に乗っていて……。その魔王が、部下の魔族を、いま呼び出した。ってコトか。……なら、さ。いつ魔族が勘付くかわからない、この動力室で待ってるよりも
剣使い,俺たちも今のテレパシーの主の魔王を探したほうが早い、か！？
車掌,そうですね。魔王が動いたとなれば、また新たな騒動が起きるのかもしれない
魔王,ふぅぅぅぅ……。これで魔族のほうは、おとなしく降参してくれるだろ
教授,うぐっ！？
キノコ頭,フゥーハハハァー！教授の身柄は、俺たちき○こ派が預かった！
テロリストA,教授さえいればこの列車に用はありません！脱出しましょう！
執事,待て、下郎ども……ッ！！
副運転士,し、士長！私たちの乗客を、彼らに誘拐させるワケにはいきません！
運転士長,ああ。この列車の総力を持って、き○こ派、ハイジャック犯どもをここで止める！！
仮面の男,おお！我が麗しの、それでも呼びたければ教授さん……。今この鉄仮面が、お助けに
桜色の女,―――悪いが、ここは通行止めだ
仮面の男,……！またしても君か。一度ならず二度までも会うとは、君は僕のファンなのかな？
桜色の女,さてな。だが、その得物……。貴様も、私との戦いを予期していたのではないか？
仮面の男,ほう……。これはこれは。運命とは、知らず知らずのうちにヒトを動かすらしい
桜色の女,その言葉、どこまで本心かな。私は自分の欲望に正直になろう。少なくとも私は期待していた。貴様と二人で死合うこと。忘我の果てに、獣のように踊り狂い、鮮血の華を咲かせること
仮面の男,下品だね。だがそれがいい。僕たちの戦いに装飾は不要。必要なのは、互いの刃のみ
黒コート,始まるか……。彼女らの戦いに割って入るのは、彼女らへの侮辱になるな
革ジャン,ようし、それじゃあセンパイ！白の大天使とやらを、探すとしようぜ！
黒コート,は！？お前、本気で言ってるのか？それ、あの魔王が勝手に言ってるだけだぞ！
革ジャン,ん？でも、なんか腹立つンだよな。俺の見えないところで、動いてる奴がいるってのは
ヒーロー,はっ！無辜の乗客の女性がさらわれた！おのれハイジャック犯！！。悪は滅ぶべし！正義は必ず勝つ！俺の目の黒いうちは、好きにはさせんぞ悪党！
小型メカ,ああっ、待ってください！もう……。本当に勝手なんだから。申し訳ありません、革ジャンさん。大天使とやらは、お任せできますか！？
革ジャン,おうよ。お互い、悪党は全員お天道様の元に引きずり出して、初日の出を迎えるとしようぜ！
白ドレス,お。この音……。これは、ついに始まったかな？始まっちゃったかな！？。ドライ・ブラー号乗っ取り爆発大炎上事件における、最後の大騒動が！！。ラウンジでの爆発、食堂車での爆発……。正直爆発にも飽きてきてたんだよね。さて。乗っ取りが起きて、爆発が起きれば……最後に起きるのは、なーんだ？。―――さあっ！私も、ただ一人の傍観者として、特等席での見物といきますか！
第五章,深夜・前
それでは、第六章,深夜・後
魔王,……、…………。……？
族長,…………
魔族A～D,……っ
魔王,…………
族長,…………
魔王,……来たか。……まずは、勇ある魔界の民として、この魔王の召喚に応じたコトを褒めてつかわす
族長,ありがたきお言葉
魔王,我ら魔族のコトワリとはチカラがすべて。強き者が世界を支配し、弱き者を護らねばならん。そのコトワリに反し、戦場から遁走するのであれば……。貴様らの命、そこで潰えていたところだ
魔族A,……っ
魔王,―――改めて名を聞こう。貴様らの素性は既に知り得ている。だが、これが魔族の作法だ。貴様ら、何者の魔族だ？
族長,……青鬼族。緋雷王一の臣下にして、かつて魔界に勇名轟かせた青鬼。俺はその現当主だ
魔王,そうか、緋雷めの……。奴め、部下の管理はゾンザイと見える。今度注意しておかねば
族長,僭越ながら、コチラからもお尋ねしたい。その魔力、その風貌、その威厳。貴方様が魔王の一角であるコトは疑いの余地も無い。だが俺は浅学ゆえ、その真の名に思い至らぬ。閣下は何者の魔王であらせられるか？
魔王,……我が魔王であると知り、なお参じる勇。なお臆せぬ猛。なるほど、緋雷の臣下にふさわしい。ならばその矜持に敬意を表し、我の座を名乗るとしよう。……我は、あまねく魔性を統べる者。誉れ高き、七魔公王がその一人。最も多くの魔族の長。守護宝石はペリドット。預かる座席は―――碧夕王、であるッ！！
族長,リヒトヴァルツ、碧夕王……！！
魔族B,先の魔界統一戦争において、我らの軍の中核を為し、緋雷王様とも共に戦った……！？
魔王,いかにも！！我が黄昏に照らされし、常緑の輝きに平伏するが良い！！。そしてこの碧夕王が問おう、青鬼の族長よ！。勇ある貴様が、なにゆえ魔界の法を破り、人間界へと攻め入ったか！？
族長,…………。……貴方様には詮無きコトだ、魔王よ。我らはアル○ォートをニンゲンに侮辱されたがゆえに、人間への復讐を誓った。それ以上でも、それ以下でもない。些末なコトと断じるならば、嗤うが良い
魔王,……。なるほど、チョコ菓子が原因、か。存外世界は狭い。菓子が原因の揉め事など古来より在る。だが、俺はそれを一笑に付しはしまい
魔族C,……と、いうコトは、我らの主張を認めてくださるのですか！？
魔族D,やはりアル○ォートこそが至高であると！？
魔王,―――たわけ！！
魔族D,……！
