一応国際的には彼らには,孤立する権利
Aさんの答え,うかつに水場に近づいたやつがたまに死ぬ、水場は危ない
Bさんの答え,父親が小さいときに父親の母親が小さいときに危ないものから逃げてここに来たとか言ってたような
Cさんの答え,だから外から来た奴は危ない奴だから殺してる
吹雪,じゃあ私は？
Aさんの答え,だってお前殺せねぇんだもん
Dさんの答え,カッコいい男しかいない
Fさんの答え,でも私の旦那が一番
Gさんの答え,子供なのに服を着てるから目が節穴になるんだよ吹雪
吹雪,イラッ
Aくんの答え,火
Bちゃんの答え,服
Cくんの答え,一回しか見たことないけど生えてるㄘんㄘんは食べちゃダメとか聞いた
吹雪,ちんっ…///
Cくん,ほらこんなの
吹雪,見せないで―！。あれ…もしかして…キノコのことかな…？。少なくとも過去に深海棲艦が来た。ってことはないみたい…。昔危ないものから逃げた…過去に迫害とか、そういう者から逃げてきた人の集まりなのかな？。そしてあの子の言っていたおち…キノコ…見たことはないって言うからすごい珍しいものなのかも…。おㄘんㄘん、あんなになってるんだ…今までわざと直視しないようにしてたけど…。///
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,うーん、各家庭ではお昼時にはお料理の煙…。夕方にはみんな公衆浴場…。だいぶ文明的な様相が見えてきました！。この調子でいけば…近いうちに島の外、国際社会との交流も夢ではないかも…！。…。・・・。私、決めました。農業を行います！。農業と言えば、文明の基礎！四大文明だって農業を行ったから文明となった！。今の私なら…ううん、私たちなら、出来る！。皆さん！集まってください！あ、お忙しい方は結構です！。これから穴を掘ります！。そして…私が集めて来たこの芋！。これを埋めます!!。あぁ、この可哀そうなものを見る目…凄い久しぶりに心が痛いっ！
安価↓1コンマ30,100-信頼度
男,…
吹雪,み、皆さんがおかしな顔をしているのはわかります！でも、この芋を地面に植えて…水とかをかけると…何個もの芋に…
男,
吹雪,あ…
男,吹雪、狂ってる、寝ろ
女,吹雪湯、入って、寝ろ
吹雪,ま、待って…！本当だから！
男,吹雪、これ、埋める。増えるか？
吹雪,…増えません…
男,な、吹雪、寝ろ、休め…
吹雪,…。足りなかった、のでしょうか…まだ、信頼が、信用が足りなかったのでしょうか…？。言葉を勉強した、みんなと食事をした。それなのに全く信用してもらえなかった…やはり、私たちと、この島の人々は決定的に違うのかもしれません…
1.吹雪、頑張ります！,一人でも続行します。失敗率と失敗したときのマイナスは多めになってしまいます…
2.出直します…！,涙を飲んで出直します…農業はまたの機会に
吹雪,確かに、島の人たちにとって、火や水以上に、理解しがたい概念だったのかもしれません。でも、私がやって…うまくいけば、考えを改めてくれるはず…。あっさりー…しっじみー…はっまぐっりさーん…
幼女,…
男,！？
吹雪,生えた！生えました！芋です!?
男,吹雪、お前、本当に、寝…
吹雪,芋です…です…！
女,そんな馬鹿な
男,…たしかに、この葉っぱの下に芋が埋まってることが…
吹雪,ダメですよ!まだ小さいから！取っちゃだめですよ!!!
男,
>>21227×1.1,吹雪補正
吹雪,こうして、なんとか島では農耕を行う事になりました
男,
鳥,ぴぃぃぃぃぃっ！
吹雪,鳥は埋めても増えないから！生き埋めはやめてあげて!!
女,ここに木、埋める、ここに増える、薪取るの楽
男,お前頭いいな
吹雪,増えません！
男,何!?植物は埋めたら増えるのではないのか!?。これで穴掘るの、楽になる！
吹雪,なんか吹雪湯に呼ばれたんだけど…何をするんだろう…？
男,あぁぁぁさぁぁぁりぃぃぃぃぃぃぃぃ…
女,しぃじぃみぃぃぃぃぃぃ～
幼児,ハマグリ、さん！
男,あぁぁぁさぁぁぁりぃぃぃぃぃぃぃぃ…
女,しぃじぃみぃぃぃぃぃぃ～
幼児,ハマグリ、さん！
男,
吹雪,あ、どうも…。お椀の中身は、木のみと芋をすりつぶしたものにお湯を混ぜた、謎のﾄﾞﾛﾄﾞﾛした物体でした。…。島の人が語ったところによると、芋の化身吹雪を称えるなんかよくわかんない行為なんだとか…
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
安価↓1～5多数決,同数の場合コンマが一番多かった奴
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,農耕を憶え、徐々に島民の皆さんも変わってきているみたい…。逆を言えばここまでくれば現代社会の仲間入りは間近と言ってもいい、そんな部族とかいっぱいいるし…！。此処は製鉄…いや、服…うーん、どれもこれもレベルが高そうな、行けそうな…。でも、せっかく農業が始まったわけだし、それを楽しむ、喜ぶって精神はきっと必要だと思う。収穫祭を、行おう。という事で、祝います！
男,…どうやって…？
吹雪,皆さん、楽しいときは何をしますか？
女,飯食う
幼女,吹雪湯入る
男,性行為
吹雪,せっ…///そういうのは置いといて…とにかく楽しいことをどんちゃんするんです！芋の芽が出てきたお祝いに!!
安価↓1～3,祭りと言えばこれ、みたいなのを
男,俺たち、マツリ、良く分からない
吹雪,そうですね…まずは歌と踊りです！
女,それは知ってる
吹雪,というわけで何人かで木を集めてきます！。そして…お酒です！
幼女,鮭？
吹雪,違うよ！えっと、この島で作れそうなお酒…。クチャクチャクチャ
幼女,もぐもぐもぐ
女,ンぐんぐんぐ
吹雪,これに少し水を加えて…
幼女,もったいない、お腹膨れない
吹雪,私を信じて少しだけ待ってて！。そして、祭りと言えば…祭りと言えば…
幼児,ふぶき、木、集まった
女,なんかこの桶泡立ってる、怖い
吹雪,…瑞雲しか思い浮かばない…！！。そう、好きなものでいい。みんなが思う、好きな物、好きでなくとも恐れ、敬うような物…。星々を喰う魔物でもいい、宇宙を消滅させる機械の化物でもいい…。そして、みんなで力を合わせ、木で骨組みをつくり、葉っぱを合わせ、灰でいろや模様を整えたそれは…
男,あーっはははははっ！
女,全員、踊ってー！
幼児,アサリ―、シジミ―
女,吹雪、お前、君、毛、生えてる？
吹雪,はぁっ！？
女,息子、ともにまぐわえ！歓迎する！
吹雪,うわっ！酒くさっ！めっちゃ酔ってる！
男,一番最初の俺、子供に戻る！
吹雪,いやぁぁぁぁぁぁっ！
安価↓1～5多数決,同数の場合コンマが一番多かった奴
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,一緒にお風呂に入り、お食事をし、お祭りをした…。次は一緒に寝ます、あ、やましい意味はないですよ？それは失敗した前任とかいるので、今回はそういうのは控えめです。というわけで、今日はお世話になります
男,吹雪、よくきた
女,吹雪、そこ、座る、芋茶、出す
幼児,吹雪、顔、芋、うふふ
吹雪,…なんで私と芋が結びついているんでしょう…？
男,吹雪、芋の化身、芋、おいしい
女,つまり、吹雪、芋
吹雪,えぇぇぇ…。最初は蔦と葉っぱだった家は、今では木の家になり、居間には囲炉裏があります。なんかだいぶ…うん、東北とか長野とか、そっちの山奥にあっても驚かない家になってる…
男,
吹雪,この服装以外は…。さて、この島の皆さんは葉っぱをひき、横になって、葉っぱを被って寝るみたいですが…基本温暖なこの島で、葉っぱを被って寝ることもあまりないようです。では、お休みなさい…
男,待て、寝る前の、お祈り
女,アサリ～シジミ～♪
吹雪,…寝る前に芋のミニチュア木製
幼児,吹雪、吹雪
女,吹雪、もう、寝た、起こすな
吹雪,あ…まだ、起きてるよ？
男,ぐごーっ…ずごーっ…
吹雪,お父さんのいびきがうるさくて寝れないとか言えない…鎮守府じゃ同室みんな静かだったし…
幼児,吹雪、島の外から来た
吹雪,うん、そうだね
幼児,吹雪、子供のくせして、服、着てる。生意気
女,生意気、芋じゃなければおしりぺんぺん
吹雪,えぇ…
女,吹雪、外、怖くなかったか？外、化け物いっぱい
吹雪,んー、そんなことないですよ？みんないい人ばっかりだし…怖いこともたまにあるけど…。それに最初、みんな私の事殺そうとしたし…言っちゃうとみんなの方が怖かったというか…
女,あ
吹雪,…忘れてました？。えーっと、私の故郷は…まあ、故郷の鎮守…村、でいいのかな？私みたいな艦娘がいっぱいいて…
幼児,いっぱい？50ぐらい？
吹雪,200超えてる
女,？
吹雪,…この村4個分ぐらい？
女,怖い
吹雪,あ、でもでも、その外にもたくさん村や町があって…えーと、町、に当たる単語がないや…
幼児,吹雪、50が4…芋の楽園…
吹雪,芋だけじゃないよぉ…
女,Zzz…
幼児,…吹雪
吹雪,なぁに？
幼児,…いつか、吹雪の、村、見たい…
吹雪,…いつか連れてってあげる
幼児,Zzz…Zzz…
吹雪,…。Zzz…Zzz…
女,芋が焼けたぞーっ!!
男,肉が焼けたぞーっ!!
幼児,いぇえぇぇぇえぇいっ!!
吹雪,うわぁぁぁっっ！！
安価↓4コンマ50以上で,艦娘に憧れる子供
安価↓1～5多数決,同数の場合コンマが一番多かった奴
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
男,おはよう吹雪
吹雪,おはようございます！
女,おはよう吹雪
吹雪,おはようございます！
幼児,…///
吹雪,おはよう！
幼児,おは…よう…///
吹雪,？。芋も収穫はまだだけど軌道に乗ってきた…でも、これから先のことを考えると芋だけを生産できてもだめ…もう一つぐらいは自分たちで作ってもらわないと…。というわけで…生簀をつくります
男,いけす
吹雪,えっと…海や川の中に、こう…木や蔦でこういうの作ってですねぇ…。小さい魚が大きくなるまで育てる！これで魚も安定して取れるようになる…はず！
男,吹雪、頭いい
女,芋だけじゃなかった
男,海、怖い
幼女,海、外から変なのくる、怖い
幼児,…。さかな、いっぱい、たべたい
安価↓150-,信頼度77+技術力20
男,うおぉぉぉぉぉっ！
男2,しょっぱいー！！！
吹雪,あーもう！いくら何でも無茶しすぎです！
幼児,ふぶきー
吹雪,あ゛あ゛あ゛あ゛あ゛あ゛海の上走ろうとしないでぇぇぇぇ!!
男,これでいいか、吹雪
吹雪,うーん、何とか形には…
女,おーい！お茶がはいったー！
吹雪,あ、ありがとうございます！この木の実茶をいた…
女,
吹雪,…
女,吹雪、芋茶、飲め
吹雪,…
女,スキキライ、良くない
吹雪,じゃあ…この芋茶を…凄いドロドロしてる…
幼児,
吹雪,視線を感じる…
船医,はーい、感染症のリスクとかあるからお注射するねー
幼児,あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛
吹雪,あ゛ーっ！おしっこ引っ掛けないでーっ!?!?
艦これでガンプラバトル,でも調べたらそれっぽいものがすでにある…？
あと、一応過去作,SS速報VIPのみ
