悪魔ほむら,以下“ほむら”
QB,君の能力の本質、君がそれまで行っていたことはおそらく……。起点と終点の限定された範囲の時空軸をまるごと挿げ替える能力だ。厳密に言えば“鹿目まどか”を唯一の楔として、過去から現在、未来へかけて一直線に流れる時間において“君が病院を退院した時間から最後に時間遡行を行った時間までを流れの部分”を切り捨てて、その空白となった部分に新たな時間の流れを作成出来る能力。とでもいえば正しいかな？。上流から下流へと一直線に向かう河の流れの一部に手を加えて、特定範囲の水の流れる方向を自由に作り変えることができる能力といってもいいかもしれない。そして、だからこそ、過去から未来に流れる時間、上から下に落ちる水の流れを遡行させることは出来なくても、君にはその範囲内であれば時空軸を自在に停止させることが、河の流れで例えるなら、それを任意に塞き止めて再び流すことが出来るんだ。何故なら君が切り捨てた時空軸の範囲に限定していえば、その創物主は“暁美ほむら”、他でもない君なんだからね。ここまでのボクたちの見解に、何か異論はあるかい？
ほむら,……いいえ、無いわ。続けなさい……
QB,それじゃぁ、続けるよ？。そもそも君が切り捨てた後、その時空軸はいったいどうなってしまうと思う？
ほむら,そ…れは……、平行線の世界として存続するのでは無いかしら？
QB,……解答が、白々しいよ。暁美ほむら。それにボクはいったはずだよ？“平行線の世界というものは存在をし得ない”ってね？。そもそも平行線の世界が存在すると定義することには、それを維持するエネルギー的に見てかなりの無理があるんだ。たった１秒の時間の間にも無数に世界が分岐して拡がっているというのであれば、それを維持するために必要となるエネルギーは際限なく膨らんでいって、ボクたちがどれだけ補充したとしても焼け石に水状態になって、すぐに枯渇してしまうというわけだからね
ほむら,……分岐したいずれの世界にも彼方達インキュベーターがいてエネルギーを回収しているのであれば、その問題は解決されるのではないの？
QB,そんな簡単なことだったら、ボクたちも平行線世界の可能性を、否定したリはしないんだけどね……。平行線世界の可能性をすべて肯定してしまうと、そういうわけにもいかなくなる。それは“インキュベーターがエネルギーの回収を行っていないのに、宇宙が存続している時間軸”や、“インキュベーターを含めたいかなる生物も存在していないのに、インキュベーターが宇宙軸存続のエネルギーを回収している時間軸”なんてものも肯定してしまうことに繋がってしまうからね。いま君やボクが認識しているこの世界の根幹を否定する世界の存在や、０×１以上の整数もしくは虚数。それはどう言い繕っても滑稽で、ナンセンスなことだとは思わないかい？。そもそもボクたちインキュベーターは、世界線が分岐するからエネルギーが足りなくなってエネルギーを回収しているわけじゃない。いまも尚、膨張をし続けている宇宙がその自重を支えるために必要としているエネルギーを回収しているのであって、世界線の分岐なんてものは初めから考慮なんてしてはいないんだ。だからこそ、もう一度あらためて問うよ？暁美ほむら。君が新たな時間の流れを作成するために切り捨てて、空白とした部分にそれまであった時間軸は、いったいどうなってしまうんだろうね？
ほむら,……消滅する……と、いいたいの？
QB,大正解だよ、暁美ほむら。君が切り捨てた約１ヶ月という時空軸は過去にも、未来にも繋がっていない孤立した状態になるというわけだ。前に進むことも、後ろに退くことも出来なくなるけれど、それでもその時間軸の宇宙は膨張を続けてエネルギーは消耗の一途を辿っていき、やがてその孤立した時間軸の宇宙は須くその自重を支えきることが出来なくなり、逆に収縮を行っていくということになるだろう。宇宙生誕のエネルギーと言われている超爆発ビッグパン。そして、１つの宇宙に内包され、その収縮と消滅によって道連れにされる生命の数は、それこそ億や兆なんて生易しいものではない。それは天文学的数字を用いても表しきれないほどに、無数という単語が軽率に思えるほどの莫大な量になってしまっているんだろうね……
ほむら,ぅ……、っぷ…………
QB,ここまでの部分でそんな吐き気を催していて、大丈夫なのかい？
ほむら,ハァ……、ハァ……、ハァ……。ん…くっ、大丈夫よ。続けなさい……
QB,本当かい？ボクの話はまだまだ初めの段階で、核心的な部分にはこれから入っていくんだよ？
ほむら,ここまで来たら、毒を喰らえば皿までよ。とことんまで付き合ってあげるわ
QB,本当に、いいんだね？それじゃぁ、話を続けるよ？。ねぇ、ほむら。君はいったいどのくらい、その時間遡行だと思っていた能力を使用したんだい？。１０回や２０回なんてものじゃないんだろう？。それは何百回や何千回、もしかしたら万の値を超えるくらいの回数、行ってきたんじゃないのかい？
ほむら,……そうね。１００を超えたあたりから、正確な数を数えるのはやめてしまったわ
QB,そして、その１回毎に１つの宇宙が消滅し、莫大な量の生命がそれとともに消えていったというわけだ
ほむら,…………
QB,さて、ここからが本題だ。それでは、その消えていった生命たちの有していたすべての因果は、いったいどこに行ってしまったんだろうね？。通常であれば、時間の流れとともに原因と結果として昇華されていくはずなのに、君が時間の概念を切り取ってしまったが故に、行き場を失ったその概念の行先とは？。君の能力の本質の特性から鑑みれば、その答えはもう明快だよね？
ほむら,そう……、だから、“彼女”だったのね…………
QB,そう、“鹿目まどか”さ。良くも悪くも君が旧い宇宙軸を切り捨てて、新たな宇宙軸を繋ぐ楔とした彼女という存在だけが、行き場を失ったはずの数多の因果という概念たちにとっては唯一つの、行くことの許された場所になってしまったんだ。だからこそ、君の能力で１つの宇宙が消滅する度に“鹿目まどか”の背負う因果も膨大になっていき、それは回数を重ねる毎に際限無く、向上の一途を辿って行った
ほむら,……わたしがまどかだけに拘らず、まどか以外の魔法少女たちのためにも時間遡行さえ行っていれば、そんなことにはならなかった。……とでも、皮肉をいいたそうな口振りね？
QB,そんなつもりはまったく無いし、そもそも皮肉なんてものを言えるほどの感情をボクたちが持ち合わせてはいないということは、君はとっくに周知しているはずだろう？
ほむら,……ああ、そう。そうね。そうだったわ……。お前たちってそういう奴等だったわね…………
QB,それにこれは気休めにもならないだろうけど、例えそんなことをしたとしても多分無意味で、膨大な因果はどう足掻いても“鹿目まどか”へと集束したんじゃないかなぁ？
ほむら,……何故、そうなるというかしら？
QB,実際に検証してみたわけじゃないし、検証する術も無いから確実なことは言えないけど、おそらく君が行った最初の時間軸の挿げ替えによって、その一部を削り取られる“時間”という概念自体が認識を固定してしまったんだと思うよ？。自分から削り落とされる部分が内包する因果のすべては、“鹿目まどか”という少女へと向かわないといけない。……といったような感じでね。そして、そうであると定義すればこそ、“鹿目まどか”が円環の理という概念となり宇宙の法則性のひとつをまるごとそっくり挿げ替えたのだという君の話も、成程、納得といったものなんだよ。魔女のシステムを魔獣のシステムに書き換えた、そう言葉にしてしまうと一見簡単なことのように見えるけど、その本質はそんなに簡単なものじゃぁない。まず君たちは勘違いをしているのかもしれないけど、ボクたちインキュベーターの端末が魔法少女の契約を行うのは、この地球が初めてというというわけじゃない。この地球が誕生する以前から存在する天体では、そこにインキュベーターと意志の疎通が可能な生命体がいれば魔法少女の契約は行ってきていたし、その内のいくつかの天体ではまさに現在進行形で、いまでもボク以外の端末が契約を遂行していたりもする。確かいま現在で、宇宙が誕生してからおおそよ１３８億年ほどだったかな？。魔女のシステムを魔獣のシステムに書き換えたという“鹿目まどか”はそれにほぼ等しいだけの時間を切り捨てて、空白になったその部分を埋めるほどの歴史を新たに構築したというわけだ。実際にどれほどのエネルギーが、それを成し遂げるために必要とされたんだろうね？。そのときの“鹿目まどかの魂”が有していた因果の大きさはいったいどれ程だったのか、ボクたちに窺い知る術が無いことが、実に残念でならないよ
ほむら,……何故、……なの？
QB,ぅん？
ほむら,“いま”、彼方がわたしにそんな話をすることに、いったい何の意味があるというの！？
QB,それは愚問だね、暁美ほむら。本当はもう、わかっているんだろう？。まさにその“いま”だからこそ、意味があるんだよ。“君が円環の理からもぎ取った鹿目まどかが人間としての人生を全うし、ほどなく寿命を迎える”という“いま”だからこそ、……ね
ほむら,……ちょっとした、意趣返しのつもりなのかしら？
QB,何のことを、言っているんだい？
ほむら,私が悪魔になってから、彼方達に行ってきたことに対してのことよ
QB,だから、何のことだい？ボクたちに対して、君が行ってきたことって？
ほむら,この地球分の宇宙軸存続に必要なエネルギーを回収するために、私は“彼方達端末の素体”を魔獣の呪いの受皿にして、無数に使い潰して来たでしょう？。そのことに対して、彼方達インキュベータの端末は、恨みのようなものを私に抱いたのでは無いの？
QB,ああ、何だ、そんなことか。それは君の、考え過ぎというものだよ。まず前提に於いて、感情が理解出来ないボクたちが誰かを恨むなんてことはあり得るわけが無いだろう？。それに加えて、君が“ボクたちの素体を使い潰すだけの手間で、魔法少女に魔獣を狩って貰うより効率的にエネルギー回収を行った”ということは、総合的には寧ろボクたちの得となることだ。本当に、それが“悪魔である君にしか出来ない方法”であって、“ボクたち端末や総体を含めたインキュベーター総ての科学力をもってしても、再現することが出来ない方法”であることが、まったくもって非常に残念だよ
ほむら,自分たちのことなのに、そこまで他人事のように割り切った考えが出来るのね……
QB,実際のところ素体のスペアはいくらでもあるし、そこにボクという意識が無ければ、ただの蛋白質の塊に過ぎない素体に君が何をしても、それはボクにとっては他人事と同義だからね
ほむら,本当に彼方達って、つまらない思考回路をしているわよね
QB,そこは“一切の無駄が無く、効率的”とでも、言って欲しいものだね
ほむら,ものも言いよう……ね。まぁ、いいわ。それで？
QB,ぅん？
ほむら,意趣返しの類で無いというのなら本当に、何故“いま”なのかしら？
QB,ああ、そうそう。また脱線していたけど、そんな話をしていたんだったね。それに関することだけど……、ねぇ、ほむら？。“鹿目まどかだけでは、なかった”……んだろう？
ほむら,……唐突にいったい、何のことを言っているのかしら？
QB,ボクを相手にそんな風にとぼけてみせることに、いったい何の意味があるというんだい？。まさかとは思うけど、本当に何のことか、わからないというわけではないんだろう？
ほむら,あたりまえでしょう？まぁ、こういうときに行うひとつの、お約束というものよ
QB,それがいったい、何になるっていうんだい？
ほむら,何にもならないでしょうし、こういうのは、何かになる必要性も無いのよ
QB,……意味がわからないよ
ほむら,敢えて彼方達風に言うとしたなら、“無駄を好む人間の、形式美”とでも表せばいいのかしら？
QB,当人でも無駄だとわかっていることなのに、敢えて行うことということかい？
ほむら,まぁ、理解出来ないというのなら、無理に理解しようとする必要もないことであるのは確かね
QB,ますますもって、意味がわからないよ
ほむら,おそらく自身に感情が理解できないと言っている彼方達には、永遠にわかる日なんてものは来ないでしょうね
QB,何気にそれはボクたちのことを、貶めてはいないかい？
ほむら,気のせいでしょ？わたしはただ、“事実を述べている”だけよ？
QB,うん、それはそう、なんだけれど……
ほむら,あなたみたいなのでも、即座に納得しないことが、あったりもするのね……
QB,ちなみに、その“ボクみたいなの”っていうのは、いったいどういう意味なのかな？
ほむら,完全合理的主義で、嘘は吐かない代わりに言葉のニュアンスを曖昧にして、聞き手にミスリードを誘発させる詐欺師？
QB,それは、ひど――
ほむら,加えてっ！！
QB,――って、最後まで言わせてくれないのかい！？
ほむら,仕事の効率のみが最優先事項で、他者どころか自身さえも、そのためならどうなろうが知ったことではない社畜。……っていったところかしら？
QB,…………
ほむら,…………
QB,……ハナシヲモドシテモ、イイカナ？
ほむら,……ドウゾ？
QB,それじゃあ、改めて聞くけれど、時間のやり直しをする度に魂の因果の量が増していった、もっとわかり易くいえば、魔法少女としての魔力のキャパシティ許容量。いや、というよりも寧ろ、その割合は“鹿目まどか”よりも“暁美ほむら”、君のほうが断然多かったんじゃないのかい？
ほむら,……何故“貴方”が“わたし”に、それを訊ねるのかしら？。こと、魂の因果や魔法少女の素質なんかについては、わたしなんかよりも彼方達のほうが、専門の分野のはずでしょう？
QB,ボクたちインキュベーターに判別出来るのは、ボクたちと契約可能な魂の持つ因果がどれだけのものなのか、契約完了後にどれだけの魔力を持つ存在になれるのか、ということだけなんだ。だから、時間の挿げ替え能力によって“インキュベーターの知らないところで既に魔法少女になっていた”君だけは、当て嵌めることが出来ない
ほむら,……さっきから思っていたのだけど、推論と憶測だけで何の検証も出来ていないのに、妙に確信をもった言い方で、貴方は話をするのね
QB,何か、おかしいかい？
ほむら,少なくとも、わたしの知っている“インキュベーターらしく”はないわね
QB,……君の知っているその“ボクたちらしさ”っていうのが何なのかは、敢えて聞かないでおくことにするよ
ほむら,……そうするのが、賢明でしょうね。それで？
QB,ぅん？
ほむら,貴方は何故、何も確証がないことを、そこまで確信をもって、いうことが出来るのかしら？
QB,ああ、それは実に、簡単な話さ。――というより、君自身でも、とっくに気づいていることなんだろう？
ほむら,――何の、ことかしら？
QB,そうでなければ、魔力の釣り合いからみて明らかに、見合わないことになる――ということだよ。１回毎のスパンは、約１ヶ月と短いものであるとはいえ、それが何千回――ましてやそれが万にも匹敵する回数ともなれば、単純に計算をしても、ざっと数百年の規模になってしまう。――ということは、必然的に君も実年齢的には、ゆうに数百歳を超えているということになるんだね。それにしては……
ほむら,……何所を見て、何が言いたいというのかしら？怒
QB,いや、どうしても“マミ”や“さやか”や“杏子”なんかと比較をすると――ね？
ほむら,わたしは“永遠の１４歳だから”いいのよっ！変なことに気を向けないで、真面目に話を進めなさいっ！！
QB,ボクはただ、“事実を述べた”だけ、だよ？
ほむら,……いまのは明らかに、さっきのことの意趣返しよね？この、淫獣っ！！
QB,本当に、別に性的な意味合いを、含んだつもりはなかったんだけどね？。君は少し、自身の身体的特徴に、過敏になり過ぎているんじゃないかい？
ほむら,……うるさいわね
QB,ボクには人間の美醜の判断基準はよくわからないんだけど、一般的な見地からすると君は美少女の部類にあたるほうで、気にしているその特徴にも、需要がないわけではないんだろう？。そんなに自虐的思考に偏る必要は、無いとボクは思うけどね？
ほむら,……人外の貴方に言われても慰めにもならないし、そんなの余計なお世話というものよ。それよりも……、いつまでこの話題を、続けるつもりなのかしら？。いい加減にしないと、本当に“潰す”わよ？
QB,……認めるよ、ボクが悪かった。認めるから――。半分泪目でこめかみを引き攣らせながら、ニッコリと笑みを浮かべるといった器用な表情で、どす黒いオーラをボクに向けるのは、やめてもらえないかな？
ほむら,……本当に次は無いと、あるなら肝に銘じておきなさい？
QB,心得て、おくことにするよ……。さてと、どこまで話を、進めていたんだっけ？
ほむら,……１回毎の時間移動が約１ヶ月のスパンでも、それが１万近い回数になれば数百年の規模になる――というところまででは、なかったかしら？
QB,ああ、そうそう、そうだったね。どうも君と話していると、話が横道に逸れ易いような気がするなぁ～？
ほむら,あら、誰かさんが、いちいち喧嘩売るような真似をするのが、悪いんじゃないの？
QB,その“誰かさん”というのがボクを指しているっていうのなら、それはいちいち過剰反応する、君のほうが悪いということになるんだと思うけど？
ほむら,あら、女の子に責任転嫁をするなんて、男らしくないわよ？
QB,感情が理解できないボクには、“喧嘩を売る”という概念自体が理解できないし、ボクに性別なんてものは無いんだから、“男らしく”とかっていう表現は当て嵌まらないと思うんだけどね？
ほむら,…………
QB,…………
ほむら,……やめましょう、堂々巡りになるわ……
QB,……そうだね……
ほむら,それで？わたしがループした時間が数百年を超えるということに、何の問題があるといいたいのかしら？
QB,大有りだよ！だって通常の場合、人間の寿命なんてものは７０年～８０年程度のもので、例外的に長かったとしても、１００年前後が限界なんだろう？
ほむら,まぁ、そうね。そのぐらいで、間違いないと思うけど？
QB,であるとするなら、約１３０億年という時間に干渉した“円環の理”の比では無いにしても、数百年という時間は下手をすれば、人間の寿命の約１０回分にも相当していることになるわけだよね？
ほむら,……否定は、しないわ
QB,そうなると、論理的には“元は人間であるたった１人の魔法少女”の魔力だけで、数百年もの時間に干渉し続けるなんてことが、可能であるわけがない
ほむら,……だから、時間のループをする度に、わたしの魂にも因果が蓄積されて魔力の容量も増加した――とでも、いいたいのかしら？
QB,……一応、他にもひとつだけ、別の理由もあるよ
ほむら,……どんな理由か、聞かせてもらえないかしら？
QB,“概念には意志がある”、君が以前、ボクに教えてくれた“それ”さ
ほむら,あら？わたしは“円環の理”と呼ばれる概念が、かつて“鹿目まどか”という名前の、１人の魔法少女だったということ。それと、ソウルジェムの力を使い尽くした地球の魔法少女は、その“まどか”によって“円環の理”へと導かれる、ということしか、貴方に話していなかったはずじゃなかったかしら？
QB,マクロ的に見れば、それだけで充分さ。たったひとつでも“概念”に意志があるということが立証できるのなら、それは“その他の概念”に当て嵌めて考えても、何もおかしなことは無い
ほむら,……随分な暴論ね、そこまでいくと、感心するわ
QB,そんな風に強がって、ボクを嘲るふりをしているけど、実のところ君もその点は、同じ考えなんだろう？。違うかい？
ほむら,……いったいどこまで、何を知っているつもりなの
QB,その問いに対する答えは、“何も知ってはいない”としか、いいようがないかな？。だけど、大凡の仮説を組み得るだけの材料は、粗方もう揃っている――そうだろう？
ほむら,……それで貴方は、どんな“仮説”を組み立てたというの…………
QB,確か“因果応報”とかいったっけ？。良くも悪くも、行ったことの結果やツケは、それを行った者のもとへと必ず還って来る。それが君が“鹿目まどか”に執着する、最大の理由なんだろう？。時間の概念に意志があるのだと仮定すれば、それは不自然に捻じれた自身の歪を絶対に、放置したままにはしないだろうね
ほむら,……やめなさい
QB,どうにかして歪になった部分を取り除き、自身の状態を正常に戻すために、時間は修復作業を試み始める
ほむら,お願いだから……
QB,では、不自然に捻じれた歪な部分を排除するために、具体的に時間は何を行うか？答えは単純明快だよね？
ほむら,やめて……
QB,因果応報、自業自得、その癌細胞のようになった部分を作り出した元凶たる存在に、当然の如く代償を取らせようとするだろう。では、その責任を追及される存在とはいったい誰か？
ほむら,それ以上は……
QB,当然“鹿目まどか”では無いよね？彼女はその意志に関係無く、いつの間にか本来存在する筈の無い幾つもの平行時間軸を繋ぐ潜戸となってしまっただけの、言うなれば可哀想な被害者だ。常識では考えられない大きさの因果がその魂に蓄積してしまったことや、そのせいでボクたちインキュベーターに目を付けられる存在になってしまったことなんかは、運が悪かったというより他に、妥当な表現は無いだろうね
ほむら,もう……
QB,現実逃避をして、何になるというんだい？これまでの過程を総合して鑑みれば、おのずと時間の概念が標的とし得る存在は、たったひとりに絞られる
ほむら,聞かせないでっ！！
QB,それは“暁美ほむら”、君だ！
ほむら,っ……！！
QB,そして“鹿目まどか”は、最終的に君へと向かう因果の通過点となってしまった為に、１回毎に全体から見れば端切れのような因果を着実に、回数を重ねるごとに徐々に、その魂に蓄積することになったんじゃないかな？
ほむら,……まったく、それが事実なのだとしたら、本当に冗談じゃ無いわ…………
QB,自分でここまで話しておいて言うのもなんだけど、そんなに衝撃を受けるようなことかい？君の時間遡行能力が原因で“鹿目まどか”の魂の因果律が増大したという仮説自体は、法則改変前の宇宙のインキュベーターも唱えていた説だったんだろう？
ほむら,それとは話がまったく違うわ！。これまでは、わたしが時間遡行能力の発現理由が“まどかのため”だったから、平行時間軸にいる無数のまどかの魂の連ねてしまって、彼女の因果律を宇宙のひとつの法則を丸ごと変えることが可能になってしまうぐらいに大きくしてしまったんだと思っていたわ。でも、貴方のいま組み立てた“仮説”がもし“真実”であるとしたら……
QB,まぁ、検証のしようが無いから、あくまでも“仮説”だけどね
ほむら,まどかはただ目標に至るまでの導線上にいたから、事のついでに巻き添えにされただけっていうことじゃない
QB,まぁ、そういうことになるんだろうね。もしボクの“仮説”が“真実”であったとしたら本当に、彼女は只々不運だっただけということになるわけだ
ほむら,本当に、笑い話にもならないわ……。ねぇ？性悪のインキュベーター
QB,なんだい？悪魔の暁美ほむら
ほむら,相変わらず、口の減らない奴ね。そういう態度、可愛く無いわよ？
QB,おや？それはおかしいね。ボクの姿は統計を基にして、第二次性徴期の女の子が最も可愛いと感じるものの筈なんだけど？。ああ、君は女“の子”では無かったね
ほむら,貴方はいつも、一言余計なのよ！本当に、可愛く無いわ……
QB,それがボクのお腹を揉みながら、言うような科白かい？
ほむら,あら？わたしは揉み心地が良さそうだから、揉んでいるだけよ。決して貴方のことを、可愛いと思っているわけでは無いわ
QB,それは、屁理屈っていうんじゃ無いのかい？まぁ減るものじゃ無いから、好きに揉ませてあげるけどさぁ……
ほむら,貴方と意志疎通が出来ることの、数少ない美点よね。もし猫に同じことをしたら、今頃は掌でも引っ掻かれて、逃げられているところだわ
QB,随分、満足気だね？愛玩動物と同じ扱いをされるのは、ボクとしてはプライドが傷付くんだけどなぁ……
ほむら,中身は鬼畜・外道のくせに、長毛種の猫に似た外観をしている貴方が悪いのよ
QB,それは外観はクールな美少女風でも、中身はテンパり屋の上がり症な悪魔が言えた義理なのかい？
ほむら,それはわたしを褒めているのか、貶しているのかどっちなのかしら？
QB,どちらでも、受け取りたい意味で受け取ればいいさ……。ところで、ボクの触り心地を堪能するのは良いんだけど…ねぇほむら、君はボクに、何か聞こうとしていたんじゃ無かったのかい？
ほむら,ああ、そうそう、忘れるところだったわ。貴方は何故“いま”になって、最悪な仮説をわたしに話したりしたのかしら？。もしかして、それでわたしを絶望させて、魔女化させようとでも画策していたのかしら？
QB,それが愚問だって、分かってて君は言ってるよね？もし君を絶望させるつもりなら、もっと早く前に、君に話をしているさ
ほむら,あ～ら、それなら何故、いまこのタイミングでなのかしら？
QB,あくまでも、ボクの方から言わせたいということかい？魔法少女のコスチュームを見たときから思っていたんだけど、君って女王様気質で、本質的にサディズムの気があるだろう？
ほむら,余計なお世話よ！きちんとした理由があるのなら、さっさと話したらどうなの？。それとも本当は、大した理由なんてものは無いのかしら？
QB,安っぽい挑発だね。でも、敢えて乗ってあげるよ。何故このタイミングで、ボクの仮説を君に話したのかってことだよね？
ほむら,ええ、そうよ
QB,確認を一応しておくけど、聞いた後で後悔はしないね？
ほむら,つべこべ言わずに、さっさとしなさい
QB,それじゃぁ、言わせてもらうよ？。君はもう間も無く、ボクたちインキュベーターや魔法少女たち、そしてそれ以外の何者とも一切、意志の疎通が出来ない存在になってしまう…そうなんだろう？。君をいま、悪魔という一個の確たるものとして存在させているものは、“鹿目まどかに魔法少女でも円環の理でも無い普通の人生を全うさせる”ことに対する強い理念だ。そうだよね？
ほむら,ええ、その通りよ……
QB,そして間も無く、“鹿目まどか”は君の望み通り、１人の女性として普通の人生を全うし、その寿命を終わらせる
ほむら,貴方に態々言われなくても、そんなことわたしにも分かっているわ……。それがいったい、何だって言うのかしら？
QB,ところでほむら、君は自分が悪魔になったあのときのことを、君が円環の理の一部を無理矢理もぎ取って人間の鹿目まどかにしたときのことを覚えているかい？
ほむら,忘れるわけがないわ。貴方たちインキュベーターがわたしのソウルジェムを隔離し、円環の理であるまどかを自分達の支配下に置こうとした陰謀を、わたしが“潰してやった”貴重な瞬間だもの
QB,そう、君はあのときもそう言っていたね。ボク達の好きなようには、思い通りにはさせない！って。でもねほむら、君はいまでも気付いてはいないみたいだけど、あの瞬間ある意味で、ボク達は目的を達成してはいたんだよ
