・,アイドルマスターシンデレラガールズ
美羽,そこで！敢えて失敗をネタにするような一発ギャグを繰り出せば、見ている人はもれなく大爆笑！マイナスをプラスにできるってもんです！
歌鈴,す、すごい自信……でも、そんなにうまくいきますかね？
藍子,……これも、根本的な解決にはなっていないような……
美羽,そうですね……歌鈴さんの場合、こんなのはどうでしょう？。すってんころりん、りんりんかりーん♪
歌鈴,……ほぉー……
藍子,あ、あはは……は……？
美羽,……なるほど。まぁ、こういうこともあります。ですがっ！こうやって滑ったときこそ、一発逆転の一発ギャグを……！
藍子,す、ストップです！これ、なんだか延々に繰り返されちゃう予感がしますっ！
歌鈴,延々に滑りっぱなし……い、痛そう……
藍子,……さっきから、歌鈴ちゃんと美羽ちゃんで滑るの意味が食い違ってませんか？。それに、そもそもは二人三脚をどう乗り切るかっていうお話ですから……
美羽,そ、そうでしたっ！肝心なことを忘れてましたね……。二人三脚というからには、藍子ちゃんのぶんのギャグも考えないとっ！
歌鈴,た、確かにっ！
藍子,えぇっ！？ど、どうしてそうなるんですか～！？
？？？,ふっふっふ……話は聞かせてもらったよ
歌鈴,ほぇ……？部屋のどこからか、声が……？
藍子,変ですね、今は私たち以外誰もいないはずなのに……
？？？,道明寺歌鈴よ……力が欲しいか？いかなる状況でもコケずに済む、禁断の力が……！
歌鈴,こっ、コケなくなる力！？ほ、欲しいですっ！
藍子,な、なんだかゲームに出てくる魔王みたいなことを……だ、大丈夫なんですか？
？？？,……よかろう。ならば代償に……
歌鈴,だ、代償……？
双葉杏,飴をよこせー！
歌鈴,ひゃあああぁっ！？
藍子,あ、杏ちゃんっ！？ソファーの後ろにいたんですか！？
歌鈴,ど、どうしよう……？飴なんて持ってないですよぉ……。……あ。昨日、芳乃ちゃんにもらったおせんべいがありました。こ、これじゃダメでつかっ？！
杏,おせんべかぁ……甘いものじゃないけど、まぁ、特別に許してあげるよ
藍子,それで、杏ちゃん。何か、転ばなくなるような方法があるんですか？
杏,まぁねー
歌鈴,そ、その方法とはっ！？
杏,ズバリ！何もしない！
歌鈴・藍子,…………え？
杏,走ると転んじゃうんでしょ？だったら、その場で動かず、ずっとだらだらしてれば、絶対に転ばないじゃん
歌鈴,い、言われてみれば確かに……！
藍子,そ、それはそうですけど……お仕事は、どうするんですか？
杏,んー…………サボる？
藍子,ダメですっ！
日野茜,足腰を鍛えましょうっ！！悩んだときは、特訓あるのみです！！
歌鈴,と、特訓でしゅかぁ！？……あぅ
茜,はいっ！流した汗は、嘘をつきませんから！
藍子,……あはは……。なんとなく予想はしてたけど、茜ちゃんらしい解決方法だね……
茜,ご安心ください！私でよければ、いくらでもお付き合いしますよっ！！さぁ、何から始めますか！？走り込みですか！？それともランニングですかっ！？
藍子,それって同じ意味じゃないですか？
歌鈴,あわわわっ！あ、茜ちゃん、近い！近いですっ……あっ
藍子,あっ
歌鈴,へぶぁ！
茜,歌鈴ちゃーん！？大丈夫ですかっ！？
歌鈴,いたた……は、はい！大丈夫です、慣れてますんでっ
茜,すみません……つい、勢いがパッションしてしまいました！歌鈴ちゃん、掴まってください！
歌鈴,あ、ありがとうございます……！
藍子,言いたいことは伝わるけど、よくよく考えると勢いがパッションって結構めちゃくちゃですよね
歌鈴,ううぅ……でも、走る前からこんなんじゃ、特訓なんてしてもきっと無駄です……ムダムダのダメダメですよぅ……
茜,何を言ってるんですかぁ！！
歌鈴,ひぃッ！？
茜,簡単に諦めちゃダメです！前にも言いましたが、100回転んだら、101回立ち上がればいいんですよっ！その為なら、手でも肩でも、いくらでも貸しますから！
藍子,茜ちゃんの言う通りですよ。私だって……いつも側にいるんですから、歌鈴ちゃんの支えになりたいですっ
歌鈴,藍子ちゃん……！茜ひゃんも……っ！。わっ、私、頑張りましゅっ！
茜,その意気です！さぁ、共に栄光への道を駆け抜けましょうっ！ボンバー！！！
歌鈴,ふぇっ！？は、走るって、今ここでですかっ！？
藍子,あ、茜ちゃーん！ここ、事務所の中ですよっ！？せめて屋外でお願いします～！
歌鈴,ふひゅー……も、もうくたくたですぅ……
藍子,はぁ、はぁ……私も、さすがに疲れちゃいました……
歌鈴,やっぱり、茜ちゃんってすごいですね……
藍子,茜ちゃんに打合せの予定が入ってなかったら、夜まで特訓してたかもしれませんね
歌鈴,ひぃ……！ドジだけじゃなくて、筋肉痛で足が動かなくなってコケちゃいそう……
藍子,あ、歌鈴ちゃん。お水どうぞ
歌鈴,わわっ。ありがとうごじゃいまし！
藍子,……ごじゃいまし？
歌鈴,はうぅ……り、リピートしないでください……///
藍子,ふふ、ごめんなさい。つい、可愛くてっ
歌鈴,そ、そんな……えへへ
藍子,それに、ほら。歌鈴ちゃんは今日一日、転ばないためにっていろいろ事務所を回りましたけど。みんな、転んでもいいって言ってくれたじゃないですか
歌鈴,……はっ……
藍子,あやめちゃんも、美羽ちゃんも、茜ちゃんも……杏ちゃんは、ちょっと違うかも、ですけど
歌鈴,で、でもそれは、皆さんに諦められてるってだけじゃ……？
藍子,うーん……もしかしたら、それもあるかも？
歌鈴,やっぱりっ！
藍子,あっ、悪い意味じゃないんですよ？。それ以上に、私も含めてみんな、ドジをしながらでも一生懸命頑張る歌鈴ちゃんのことが、大好きなんです
歌鈴,だっ、だいしゅきだなんてっ！？
藍子,あはは……自分で言いましたけど、ちょっと照れちゃいますね
歌鈴,ぅぅ……///。あ、あのっ。藍子ちゃんっ！
藍子,はい
歌鈴,ふっ、ふつつつか者ですが、よ、よろしゅくお願いしますっ！
藍子,ふふっ。つが多いですよっ。……こちらこそ。二人三脚、一緒に頑張りましょうね♪
歌鈴,はいっ！
藍子,やっとお弁当タイムですね
歌鈴,ふぁぁ……な、長い戦いでした……
藍子,もう、歌鈴ちゃんったら。運動会はお昼からもまだ続きますよ？
歌鈴,で、ですよねっ。歌鈴、頑張りますっ！
美羽,あっ、お二人ともー！お疲れ様です！二人三脚、見てましたよっ！
歌鈴,美羽ちゃん！えへへ……たくさん転んで、結局ビリになっちゃいましたけど
美羽,でも、もうちょっとで前のチームを抜かせそうでした！いやー、惜しかったですね！
藍子,その分、次の競技で挽回しちゃうよ。ね、歌鈴ちゃん！
歌鈴,は、はいっ！
美羽,……はて？そういえば、一発ギャグは、結局どうなったんですか？
歌鈴,ふぇっ！？そ、それは……
美羽,藍子ちゃんも、せっかく矢口史上五本の指に入るとっておきを伝授しておいたのに……
藍子,それは……ほら、またの機会に、ね？
美羽,なるほど！切り札は最後まで取っておく、というやつですか！
歌鈴,あ、藍子ちゃん。なんだかハードルが上がっちゃってる気がしますけど……？
藍子,だね……。うーん、使う機会、来るかなぁ……？。……あの、ところで、さっきから歌鈴ちゃんの荷物から、ぴーぴー音が鳴ってる気がするんですけど。スマホの着信か何かですか？
歌鈴,あっ、これは……たぶん、美羽ちゃんのお弁当に反応してるっぽいです
美羽,へっ？
歌鈴,お弁当というか……その、デザートのバナナに
藍子,まさか……持ってきてるんですか？晶葉ちゃんの装置……
歌鈴,い、一応、もしもの時のために……あ、あはは
美羽,……？？？
デレステにドレスコーデ機能が実装されたことで、ついにインディゴ・ベルに藍色,っぽい
