姫川友紀,た、ただいまぁ……
飛鳥,フフッ……まぁ、こんな時でも無ければ、伝える機会なんか無いだろうからね。２度は言わないぞ？
友紀,１回で十分だよぅ……
飛鳥,これっきり、今日だけさ。明日からはまた平常運転だ
友紀,そ、そうだよね！あと１週間、LIVEに向けてラストスパートかけなきゃいけないし！
飛鳥,ドーム公演、だね。キミの念願の
友紀,そう！ついに、ようやくここまで来たんだ！我らが聖地、ドーム球場！！
飛鳥,……その"我ら"って、ボクまでカウントしてるのかい……？
友紀,当然でしょ！
飛鳥,おいおい、当然って
友紀,みんなで頑張ろうねっ
飛鳥,ボクは別に聖地だなんて思ってないんだが……やれやれ
友紀,えー。そこは、頑張ろー！ってなるとこじゃないのー
飛鳥,やるよ、やるけど
友紀,あー……。……やっぱ飛鳥ちゃんは、あたしと一緒じゃ嫌だったかな。たはは……
飛鳥,ッ……いや、その
友紀,ゴメンね勝手に。こういうとこがウザがられるんだろうなぁ、あたし
飛鳥,待て、違う。そんなつもりじゃないんだ
友紀,ううん、良いんだよ気を使わなくても
飛鳥,確かに、キミとは色々合わないさ。だけど……いや、そうじゃない。そんなことを言いたいんじゃなくて、ボクは……えぇと。……少し、言葉を探したい
友紀,う、うん
飛鳥,…。……正直、よく理解らないんだ。次のLIVE、ボクはどんな顔をして出ればいいのか
友紀,へ？きゅ、急に何言って……
飛鳥,ドームLIVE。凄いことなのだとは理解している。これまでとは比べ物にならない規模、収容人数。ひと回りもふた回りも広くなる会場。演出も機材も、きっと何から何まで今まで以上のモノなのだろうね。パフォーマンスをする舞台としては、相当な大舞台さ。クォリティへの意識も自然と高まるし、心も踊るというもの。だが一方で。今一つ意気込みに欠けているんじゃないかと、客観的に自分を見てしまう冷静な自分もいる
友紀,意気込み？
飛鳥,勿論やる気が無いわけじゃない。それだけは誤解しないでほしい。でも、キミを見ていると。……キミを見ていたからこそ、どうしようもなく感じてしまうんだ。LIVEに注ぐ情熱が、意思が。ボクには足りないんじゃないか、って
友紀,そんな……
飛鳥,ドームでLIVEをする。あのマウンドに立つ。それが夢…。キミは前に、こう言っていた
友紀,…うん。言った
飛鳥,夢、叶ったじゃないか。良かったね
友紀,……まだだよ、まだ。あと１週間
飛鳥,そう、１週間。あと１週間すれば、キミがずっと口にしていたドームとやらに、ボクらは足を踏み入れる。どんな想いを以て、あの日のキミは夢を語ったんだろう。其処に立つと決めた経緯は？きっかけは？ドームに立つ為に、此処に至るまでに、キミはどれほどの努力と想いを積み重ねてきたんだろうか
友紀,…
飛鳥,残念ながらボクには、キミの全ては理解らない。理解るハズもない。キミほど野球、好きじゃないから。理解らないけれど……それでも、多少なりとも感じるものはあるつもりさ。公演が決まった瞬間から今日までのキミを、ずっと見ていたから。あんなに鬼気迫る様子、初めて見た。１人の人間が夢を叶えるまでの過程とは……こんなにも強く動的で、熱くて、血生臭いモノなのかと。感動すら覚えた
友紀,……え、そんな血とか吐いてそうな感じだったのかな、あたし……
飛鳥,さっきも言った通りさ。……多少心配になるくらいには
友紀,そっかー……うぁー、マジかー……
飛鳥,恥じることではない。キミにとっては、それ程までに特別な場所なのだという証明なのだからね。野球人として、想いを叫ぶ舞台として。ドームは正に聖地なんだろう？それは揺るがない事実さ。……羨ましいよ。そこまで思えることが
友紀,そんな、飛鳥ちゃんだってさっき、
飛鳥,ああ。規模としてこの上ない会場、それもまた事実。でも、それだけ。ボクにとっての其処は、ホールやアリーナよりも少し大きいステージ。言ってしまえば、普段の延長に過ぎないんだ。特別な場所だなんて、どうしたって思うことができない。キミのその大きな声は、きっと会場中に響き渡るんだろうな。普段は応援する側として足を運ぶ場所で、その日はキミが歓声を受けるのだろう？それはきっと、キミにとっても、キミのファンにとっても、素敵な光景なのだろうね。……では、ボクは？夢を掲げるキミを見てきて、そんなキミと新しい曲まで貰って、その上でボクは、何の為に歌えばいい？。理解らないんだ……ボクには理解できない。ドームって何だ？ただいつもより広い会場という訳じゃないのか。魂を震わせる何かがあるって言うのか？どうしてキミは、そこまで必死になれる？野球か？野球の何が、キミにそれほどの熱意をもたらしているっていうんだ？！
友紀,あ、飛鳥ちゃん？ちょっと落ち着いて……
飛鳥,落ち着いているさ……！落ち着いているからこそ、自分の想いの弱さに嫌気が差すんだよ。１度気が付いてしまったら、知る前のボクにはもう戻れない。目を背けることなんてできない。こんな感情、できれば気付きたくなかった……LIVEを前に嫉妬だなんて。ここに来て、今になって、妬ましくなったんだ、キミのことが。ドームに懸けるその覚悟も、キミを動かすその原動力も、心の在り方も！どうやったって、ボクには手に入らない！。……誰かを励ます為に歌うなんてこと、ボクはしてこなかったから
友紀,だ、だから、あたしと一緒じゃダメって……？
飛鳥,そんなことは言ってない。……でも。今のボクに、キミと並ぶ資格なんか無いんじゃないか……そんな気はする
友紀,ちょっと待ってよ……そんな
飛鳥,……すまない。こんなこと、言うべきじゃなかった
友紀,…
飛鳥,忘れてくれ……だなんて、無理な話だな。都合良く記憶を消去だなんてできるわけがない、痛い程知ってる。……ごめん
友紀,……
飛鳥,……何をやってるんだ、ボクは……。全然冷静なんかじゃ無いじゃあないか。少し、頭を冷やして来る……
友紀,……待って！
飛鳥,？
友紀,言いたいことは、それだけ？
飛鳥,それだけって……
友紀,他にも言いたいことあるんならさ、今のうちに吐き出しちゃった方が良いんじゃない？
飛鳥,……別に。これ以上なんて、もう何も
友紀,そか！じゃあ、スッキリして、またやり直せるね
飛鳥,…
友紀,よかったー。あたしと歌うのが嫌！とかだったら、どうしようかと思ったよ……。そういうモヤモヤ～ってしたやつはさ、早めに出しちゃった方が良いんだ。ほら、お酒飲んだ時とかそうじゃない？
飛鳥,……ボクは未成年だ
友紀,あ、そうだったそうだった。じゃあ、将来の為にも覚えておいてね！
飛鳥,もしかして、ふざけてるのか？
友紀,ふざけてない
飛鳥,…
友紀,そんなにたくさん、たっくさん考えてたなんて知らなかった。やっぱりすごいよ、飛鳥ちゃんは。ゴメンね、あたしのせいだよね……。ドーム、ドームって、あたしが自分のことばっかりだったから……
飛鳥,……これはボクの問題だ。謝罪を受ける筋合いでは無い
友紀,原因はあたしなんでしょ？迷惑、かけっぱなしでさ。謝らせてよ。……ごめんなさい
飛鳥,謝ったからって、どうなるわけでも無いのに
友紀,うん。だから、謝るのはもうおしまい。次に進まなきゃ
飛鳥,次……
友紀,あたしさ。ドームLIVE、すっごく楽しみにしてたんだよね
飛鳥,……知ってる
友紀,いっつも野球観に行ってるあの球場で。憧れだったグラウンドに、今度は自分が立てるんだ。……昔のあたしじゃどうしたって叶わなかった、立つことすら許されなかった、あのマウンドに
飛鳥,…
友紀,今回だけは、本当に特別なんだよ。絶対、大事な日になるって思ってる。確信してる。ファンのみんなにいつも応援してもらってる分を、何十倍にも、何百倍にもしてお返ししたい。それができるのが、あそこなの。あたしにとってドームって、そんな場所。アイドルになって頑張って来て、みんなと一緒だったからこそ、ようやく来れた舞台なんだよ？なのに……。なのに、並ぶ資格が無いだなんて……そんなこと、言わないでよ……
飛鳥,でも、ボクには……
友紀,ドームを特別に思えだとか、あたしが強要することなんてできない。そんなの分かってる。それでも、行くからには少しでも良い思い出になってほしいよ。あたしの好きなもの、みんなにも好きになってもらいたいもん。あたしだけ楽しくても、それじゃダメなんだ。あたしだけのLIVEじゃないんだから。みんなで声掛け合って、ドキドキしながらスポットを浴びて、全力出し切って、ずーっとワクワクしていられるような、そんな時間にしたい。こんなに熱くて、キラキラしたところなんだ、またドームに来たいなって。その場に居る全員に感じてもらえたら良いと思ってる。勿論、飛鳥ちゃんにも。……歌ってよ、飛鳥ちゃん。別に、一緒に曲を貰ったからってわけじゃない。あたしの事情なんて、全然考えなくてもいいから。特別な場所だなんて、無理して思う必要もないっ。誰にとっても特別じゃなきゃいけないなんて、そっちの方が間違ってる！
飛鳥,…ッ
友紀,さっき言ってた、何のために歌うのかってヤツも。普段通りで良いんだ、変に意識することなんて無い。いつもの延長だっていうんなら、それだって良いじゃん。いつも通りで良いんだよ。ステージ終わった後に、良い場所だったな……って。ほんの少しでも感じてくれればそれで充分だから。そしたらさ、また連れてくるから。LIVEでも野球観戦でも。あたしが、いつでも連れてってあげるからさ。だから、一緒に歌ってよ……
飛鳥,友紀……。……キミには非道いことを言った
友紀,そう、なのかな
飛鳥,言ったさ、キミの夢を否定するような言葉を
友紀,……気にしてないよ
飛鳥,放ってしまった言葉は、もう戻せない。あんなこと、口にするべきじゃなかった。それでも……それでもキミは、こんなボクと一緒に歌ってくれると。そう言うのかい
友紀,勿論っ
飛鳥,………そうか
友紀,うん、そうだ
飛鳥,……。……敵わないな
友紀,え？
飛鳥,今回ばかりは、本当に敵わないよ。敵うハズがない。……最初から、勝負にすらなっていなかったか
友紀,べ別に、勝負なんてしてないんだけど……
飛鳥,気持ちの問題さ。キミの想いの強さに、熱に当てられて……知らずの内に、見失っていた。見誤っていた。ボクはボクであればいい、ただそれだけのことだったのに
友紀,ごめん……
飛鳥,謝らなくて……って。これ、さっきから何度目だ……？
友紀,……あは、確かに
飛鳥,と、とにかく。悩むのはもう、これっきりさ
友紀,！じゃあ……っ
飛鳥,ああ。あと１週間、だったね？
友紀,……うん！
飛鳥,結局のところ、ボクはただ、理由が欲しかっただけなんだ
友紀,理由、かぁ
飛鳥,キミにはキミの、歌う理由がある。それが羨ましかった……。突き詰めれば、実にシンプルな解答だ
友紀,……こんなの、あたしぐらいだよ
飛鳥,そう。キミだけの理由、キミだからこそ理解る、譲れないもの。素晴らしいじゃないか
友紀,でもそのせいで、変に悩ませちゃった
飛鳥,ボクが勝手に僻んでいただけ。それだって、キミの言う通り吐き出したら、幾分かすっきりした。悪かったよ
友紀,……みんな、勝手なんだね
飛鳥,勝手に主張して、勝手に影響を受けて。勝手に苦しんで、勝手に救われて……。人間なんて、そんなものじゃないかな
友紀,おぉ、深い
飛鳥,言ってしまったことは、もう取り返せない。ならば、改めて上書きさせてくれないか。今一度、キミへ放つ言葉で
友紀,よっしゃ、ばっちこい！
飛鳥,……２つ、見つけたよ。ボクの歌う理由
友紀,ふたつ？
飛鳥,１つは簡単だ。ボクの歌を待っててくれる誰かがいる、そんな彼ら彼女らに届けたい。……いつも通りだね
友紀,……うん。飛鳥ちゃんらしいんじゃない？それで良いと思う！
飛鳥,こんな当たり前なことも見逃していたとは。全く、なんて遠回り……。……もう１つは。…
友紀,え、な何？
飛鳥,……どうやったって、ボクはキミのようにはなれない。歩いて来た道が違いすぎる。それは、変えようのない事実だ。でも、キミが共に歌おうと言うのなら。こんなボクとでも、共に並び立ってくれるというのなら。ならばこの声は、キミに捧げよう
友紀,！
飛鳥,言っておくが。許してもらおうだとか、罪滅ぼしだとか。これはそんなチャチなモノじゃないよ？キミの力になりたいと、純粋にそう思えたんだ。姫川友紀、親愛なる我が隣人。誰よりも何よりもその日を待ち望むキミの為に、ボクは歌おう
友紀,……うん
飛鳥,そうしてキミの特別な場所を、新たな色で描き上げることができたなら、その時は。その時は、ほんの少しで構わない。キミの瞳に映るその景色を、感情の高鳴りを、ボクにも魅せてはくれないだろうか
友紀,うん、うんっ
飛鳥,どう、かな
友紀,良いに決まってるよ！ありがとう！
飛鳥,……よかった
友紀,嬉しいなぁ。誰かにそんなこと言ってもらえたの、初めて！
飛鳥,ふぅん……そんなものかな
友紀,そうなの！すっごく嬉しい！
飛鳥,そう
友紀,じゃあ……決めた！あたしも、飛鳥ちゃんに向けて歌うね
飛鳥,え？
友紀,お返し！あたしも、飛鳥ちゃんの為に歌うよ
飛鳥,……ボクの為に、ね
友紀,お互いにやるの、なんかエール交換みたいで良くない？フレー、フレーってさ！
飛鳥,おかしい。確かにキミの為にとは言ったが、それだとニュアンスがどうにも違ってくるような気が……
友紀,細かいことはいいの！やろう？
飛鳥,……好きにしたまえよ
友紀,オッケー！。約束だよ？はい、小指出してっ
飛鳥,お、おいおい……指切りなんて、コドモじゃないんだから
友紀,ん！
飛鳥,……理解ったよ。約束だ
友紀,ゆーびきーりげーんまん、嘘ついたら……うーんと……千本ノックする！
飛鳥,ちょっ
友紀,ゆーび切ったっ！
飛鳥,……やれやれ。これじゃ、絶対に破れないじゃないか……フフ
友紀,へへ。改めて、本番までよろしくね♪
飛鳥,本番も、だろう？こちらこそ
友紀,うん！
飛鳥,……ありがとう
P,……戻りましたー
友紀,あ！プロデューサーだ、おかえり！
飛鳥,やぁ
P,おっす、お疲れ様。レッスン終わり？
友紀,うん！
P,そっかそっか。……あれ、唯は？
友紀,唯ちゃん？アーニャちゃんたちのとこ行っちゃったけど
P,は？
飛鳥,それも、だいぶ前にね
P,うっそ、マジで？結局１人で行っちゃったのかぁ……
友紀,一緒のつもりだったの？
P,だって、連れてけって言うから
飛鳥,あまり遅いから、置いて行かれてしまったんじゃないかい？
友紀,ねー。今来ても、って感じ
P,しゃーないな………っと。あー、もしもし？唯、お前今どこ……え、着いてる？はやっ……それじゃ今から……
飛鳥,さて。果たして彼は、プラネタリウムの上映に間に合うのかな
友紀,うへー……お迎えにも上映にも遅刻とか、サイアクだよ
飛鳥,フフ。早く向かわないと、またふらりと何処かへ往ってしまうかも
友紀,ヤバいよヤバい！走れー、プロデューサー♪
P,……あの、ちょっと静かにしててくれない？一応電話中なんすけど。さて……。お前さんたちも、一緒に来る？
友紀,うーん……今日は、もう休んでよっかな
飛鳥,ボクも
P,おっけ。んじゃ、俺もそっち行ってくるから
友紀,行ってらっしゃーい！
飛鳥,アーニャとみくにも、よろしく
P,あいよー。……なあ。２人、何かあった？
友紀,へ？
飛鳥,随分ざっくり聞いてくれるじゃないか。何かって？
P,いや、なんて言うか……。こう、柔らかいっていうか
飛鳥,……キミも発言には気を遣った方が良い。社会的な立場というものがあるだろう
友紀,うわ、やらしー
P,ばっかちげーよ、そうじゃなくて。うーんと……。……いつもより雰囲気が丸っこいような気がしてさ。何か良いことでもあったのかなって
飛鳥,良いこと、ね
友紀,……えへへ。あたしは、良いことあったよ！
飛鳥,ボクは……さあ、どうだろう
友紀,えー！そこは、ちゃんと教えてよー！
飛鳥,今日、また１つボクは学んだのさ。言い過ぎないのが良い時だって世の中にはある。何事も控え目に、時に大胆に……ってね
友紀,つまり……？
飛鳥,ふふ、秘密
友紀,そんなぁ？！
P,……ふーん？ま、気のせいかな。これはこれで、いつも通りか
