☆先輩命★：先輩！！この名前どうでしょうか！？私としては気に入ってるんですけど、,瑞鶴★LOVE★オンリーワン
那智,酒友に喜んでばかりもいられないな。飲んで兜のなんとやらだ。ただ、今夜ばかりは飲ませてもらおう！！！
リコリス棲姫,ホントノサケノミッテノハネ……コウイウモンダヨッ！
隼鷹,ふふ……少しばかし。涼しくなったぜ……
千歳,て、敵もかなりの手練れだったようね……
那智,見ないで……見ないでぇぇえええーーーーっっ！！
龍驤,いやなんであんたらが中破してんねん
蒼龍,支援艦隊のはずですけどねぇ
瑞鶴,つか他の艦娘の台詞パクんなよwww
翔鶴,那智さんは何故空母じゃないのに出撃したんですかwww
イタリアからの友軍艦娘,Pola
赤城,…………
加賀,……やはり、ここでしたか
赤城,……加賀さん
加賀,赤城さん。そろそろ時間です
赤城,……分かりました。すみません。探させちゃいましたか？
加賀,……いえ。ここだとは思っていましたので
赤城,……
加賀,もう、４年ですか。早いものですね
赤城,そうですね……
加賀,……
赤城,……まさか
加賀,え？
赤城,まさか、あの人と同じ事を言う人がいるとは思っていませんでした
加賀,……
赤城,少しだけ。……少しだけ、昔を思い出してしまいまして
加賀,……
赤城,いけませんね。皆、前を向いて頑張っているというのに
加賀,……赤城さん。その。五航戦の子も育ってきているわ。今回は、貴方が無理をして前線に出なくても
赤城,あ、はは。すみません。大丈夫ですよ。ふふ。行きましょう
加賀,……
赤城,過去は乗り越えねばならない試練。そう思うことにしています。振り返ってばかりでは何も生まれない。ミッドウェーで散った私達と、二航戦のお二人もそうです
加賀,……
赤城,えへへ、らしくないですかね？昔は敵だったとはいえ、アイオワさんが来ることは、凄く嬉しいんです。私
加賀,……私もよ。赤城さん
赤城,それに。これは。ずっと、彼が望んでいたことだったから
加賀,……
赤城,ですから、今は昔を見るべきではない。前だけを。未来だけを見て。さあ、行きましょう
丙提督の作戦立案による功績から,深海棲艦をできる限り沈めることなく、アイオワを救出せよ
瑞鶴,よぉーしっ！見たかぁ！これが新編五航戦の本当の力よ！！
翔鶴,ふふ。瑞鶴ったら。すみません、加賀先輩
加賀,……いえ。頼もしくなったものだわ。貴方たちも
赤城,……。……私は……いつ貴方に……
加賀,赤城さん！！直上！！！
赤城：まあ、毎日飲みに行ってる私らですから、今日くらいは休肝日にします,笑
加賀,……
赤城,……
加賀,赤城さん。LINE、しておいたわ
赤城,ありがとうございます。加賀さん
加賀,……
赤城,ごめんなさいね。怪我は治ったのに。震えが、止まらなくて……
加賀,……いえ
赤城,……もう、弓を引くこともできないかもしれません
加賀,……
赤城,艦娘、失格ですね、私……
加賀,……そんなことないわ
赤城,……
加賀,赤城さん。今の艦隊には、絶対に貴方が必要なの。無理をさせる気はないけれど、今はゆっくり、休んで
赤城,……
加賀,……
赤城,……あの人の姿を、思い浮かべてしまいました……
加賀,え……？
赤城,もう、忘れようと思ったはずなのに
加賀,……
赤城,……あはは、しんみりさせちゃってごめんなさい。加賀さん、私は大丈夫だから、祝勝会に行ってきて？
加賀,……いいえ。私はここにいるわ
赤城,加賀さん……
加賀,貴方を二度と、一人になどさせません
赤城,……ありがとう
乙提督,いやぁ。しかしこの度の作戦は見事でしたな！優秀なお二人の作戦のおかげでありますぞ！！ささ、我々も祝杯をあげましょう。艦娘たちも今頃は、居酒屋鳳翔にて祝賀会を行っているそうであります
甲提督,……
丙提督,……ぼ、僕は、何も……
乙提督,何を言っておられるのだ。これまでに誰もが成し得ることのできなかった泊地へ進軍ができ、更に一隻の轟沈も出さず友軍を救出できたのだぞ。若輩とはいえ、君の作戦の成果だ！
丙提督,で、でも僕は。赤城さんに、過去を思い出させてしまって……
乙提督,むぅ。いやしかし、それは某らが存じえなかったこと。致し方ありませんぞ。提督は、どう思われますかな？
甲提督,……！。……
乙提督,あ、相変わらず無口な方でありますな
丙提督,……
乙提督,ほ、ほら。貴官もしょんぼりせずに。せっかくですから、某と乾杯といきましょうぞ！
丙提督,は、はい
甲提督,……
乙提督,んっ。んっ。ぷはっ、あー、うまいであります。作戦後の酒は格別でありますな！
丙提督,……僕。この度のことで、気付いたことがあるんです
乙提督,ぬっ？と、突然でありますな。一体どうしたのであります？
丙提督,……実はこの艦隊の艦娘で。一人だけ、心から笑ってない人がいると分かりました
甲提督,……！
乙提督,笑ってない艦娘？そ、そんな人がいるでありますか？誰だろうか……弥生？加賀？うーむ
丙提督,……今日、ようやく分かったんです。その人は、誰よりも艦隊全体を見ていて、誰よりも皆の幸せを望んでいて、誰よりも心に傷を負っていました。そして、多分。その人が持っている夢は。僕と同じです
甲提督,……
乙提督,ま、まさか、その艦娘とは
丙提督,……はい。えっと、その。僕が偉そうなことを言える立場ではありませんが……。僕は、彼女を心の底から笑わせてあげたい。彼女の笑顔を取り戻したい。彼女を幸せにしたい。そう、思っています。……で、でも。深海棲艦と和解なんて……。本当にできるかどうか……分かりませんが……
乙提督,むう……。そうだったな。貴官の最終目的は。しかしそんなことが本当にできるのなら……
甲提督,……できる
丙提督,えっ……！
甲提督,……君の意見が聞けて良かった。私も、彼女の笑顔を取り戻したい内の一人。誰かがやらねばその道は開けん。だが道を切り開くことは容易なことではない。険しい道だ。君にはその覚悟があるか？何を捨ててでも、自らの道を進む覚悟が
丙提督,……！
乙提督,あ、あの無口な彼がここまで……！
丙提督,……やります。僕が必ず、あの人の笑顔も、海の平和も、取り戻してみせます！！！
甲提督,……よし。来たばかりの君にも苦労をかけるが……。我等の同志として、働いてくれぬだろうか
乙提督,某ですか？ふ、ふふっ。聞くまでもありません。このような優秀なお二方に囲まれた中ですからな。深海棲艦との和解。面白いではありませんか
甲提督,……ありがとう。では大本営へ電報を打とう。我等三名はこれから、忙しくなる。他鎮守府とは全く別の道を歩もうとしているのだからな。電報の後、祝杯としよう。いや、祝杯ではないな。これは――――
