で書いています。,話の都合で６人目が少しだけ出演しています
部活の数字を増やしたのは,たくさんビーチバレー部があるんですよー
紗代子,え、やだ。ボールは私の勘違いだったの!?ごめんなさい……うぅ、恥ずかしい……
未来,この騒ぎはなに⁉
女生徒,キングよ！キングロコさまがいらしたわ！
未来,え、キングって
恵美,７６高で一番強い選手だよ！
未来,……！
ロコ,おや、遠くから今までに感じたことのないストロングなビーチバレーオーラをキャッチしたはずだったんですが
杏奈,知らない２人はおそらく新入生……こっちのはずはない、よね……
ロコ,オーラの持ち主はサヨコだったんでしょうか。だとしたら納得ですね
未来,このモフモフ髪の小さくてかわいい女の子が……
紗代子,第１ビーチバレー部の部長であり、７６高最強と言われているロコちゃん、通称キングロコよ
ロコ,言われているのではありません、本当にストロンゲストなんです。ロコは７６高においてオールヴィクトリー、つまり無敗を続けていますので
杏奈,２人で組めば……もっと最強……だよ
恵美,となりの大人しそうに見えるのが望月杏奈先輩。キングの右腕として活躍する姿からクイーンとも呼ばれてる人だよ
未来,かわいい……えっ、かわ……かわいい……
ロコ,ではロコはこれでグッバイです。サヨコ、部長ミーティングでまた会いましょう
未来,待ってください！。あの……ロコ先パイは７６高で一番強い選手なんですよね
ロコ,ザッツライト、その通りです
未来,じゃあ、私と試合をしてください！お願いします！
紗代子,未来ちゃん!?
ロコ,おやおや、今日入学でロコにチャレンジとは素晴らしいカレッジですね
杏奈,ロコ、こんな申し込み……受ける必要ない……よ
ロコ,キング’ｓルールその１！キングはすべてのチャレンジャーをアクセプト。ロコはあらゆるゲームの申し込みをアクセプトします。そして勝ちます。今回もそうです
女生徒,き、キングロコが新入生と試合をするわよ！。え、嘘!?
杏奈,ロコ
ロコ,ウォーターを差さないでください。キングはロコですよ
杏奈,ロコ！
ロコ,アンナ……分かっています。ではこうしましょう。１ポイントだけやってディサイドします。ロコ達ペアと１回ラリーをして、スタンディングアライブしていられたら※注１
(※注１……,無事に立っていられたら
紗代子,未来ちゃん受けちゃだめ。あなたの敵う相手じゃないわ
未来,心配しないでください。たった１回ですよ？これに勝って、ぜったいに私を認めてもらいます！。恵美ちゃん。ごめん、知り合ったばっかりだけどペアをお願いできないかな
恵美,え、ダメってことはないけど……。アタシなんかで大丈夫？
未来,もちろん！私は恵美ちゃんがいいんだ
恵美,なら……いいよ
ロコ,グッド。先攻か後攻かチョイスしなさい
未来,当然先攻です！
ロコ,なら……カモン！ロコ＆アンナの準備はオールウェイズできています！
未来,ふぅ……はぁ……。勝つんだ……これに勝って……。いきます！”全力スパーク”！！
紗代子,サーブされたボールが空気との摩擦でスパークを起こしている!?これが１年生の打つ球なの？。でも……
ロコ,ふっ、イージー
恵美,……ッ！普通にレシーブした!?
紗代子,なんて柔らかなタッチ。すべてのエネルギーを完全に受け流している
杏奈,ナイスレシーブ！それじゃあ杏奈も、最高のトスいっくよー！”HappyDarling"！応援ください！
観客,応援するよ!!!!!!!
恵美,あれがキングのスパイクを何万倍にもするっていうクイーンのトス！１ミリの狂いもなくキングの最高到達点へ！あと観客がうるさい！
ロコ,オーライです！フレッシュマン、覚えておきなさい。これがキングのスパイク、キングスパイクです！
恵美,高い！あの身長でネットの春ｋ、いや遥か上まで飛んでいる！
ロコ,”トラッシュ・トゥ・ザ・トラッシュボックス”！！
未来,来た！物凄い派手なブレと音……ネットを挟んでも強さが伝わってくる
恵美,でも止めなきゃ！だよね未来！。背中はアタシが支えておくから、思いっきり受け止めな！
未来,うん！ぜったいに止めてみせ、えっ。このスパイク……止められな……なん、で……!?
ロコ,そのスパイクは到達するべきプレイス、つまり砂浜にたどり着くまでそのパワーを落とすことはありません
未来,そんな……２人で受けてる、の、に……ああっ！
紗代子,吹き飛ばされた!?恵美ちゃん、未来ちゃん！
恵美,っ痛～……。でも大丈夫です。未来は？
紗代子,それが気を失って返事をしないの。吹き飛んだ衝撃で頭を打ったのかも。保険室に運びましょう！
恵美,は、はい！
ロコ,サヨコ
紗代子,なによ！
ロコ,メッセージをお願いします。そのフレッシュマン……ミライに。再試合をしよう、と。ディフィートして気を失ってはいますが、キングスパイクをこちらのコートに返されたのは久しぶりでした……
杏奈,ロコ!?
ロコ,期日はワンウィークアフター。今度は１ポイントではありません。勝ちたければ死ぬ気でトレーニングしなさいと。そう言ってください
紗代子,……わかったわ。恵美ちゃん、いきましょう
未来,ん……んん…………はぅあっ!?れっれしいいいぶ!?
恵美,未来、寝てないと
未来,でも……
恵美,寝てな。話はするからそのまま聞いてて
未来,うん……。ねえ、勝負はどうなったの
恵美,負けちゃったねー。もう完敗ってやつ。で、未来は１時間くらいそのまま気絶してた
紗代子,でもね、キングの方から再試合の申し出があったの。１週間後にきちんとした試合を、ってことで。ただ今回のことがあるでしょう？受けるかは未来ちゃん次第よ
未来,今回のことって……？受けるに決まってるじゃないですか！
恵美,はあ～……未来、あんたってほんとに……。なんだろ、アタシもうまく言えないけど、もう昔からの知り合いみたいになっちゃってるわ……
未来,？
恵美,いちおう思いっきり吹っ飛ばされてこてんぱんにやられた後なんだけどね、って言いたいの
未来,やられちゃったらもう一度挑むよ。今度は特訓もたくさんして。私はどうしても７６高で一番になりたいの
恵美,どうしてもって……まだ入学１日目だよ？正直なにをそんなにあせってるのかわからないよ
紗代子,さっき恵美ちゃんに聞いたんだけど、未来ちゃん。中学ではビーチバレー部じゃなかったんでしょう？。そんな子が急に７６高に入ってトップを目指すって……なにがあったの
未来,……
恵美,話しづらいなら無理しないで
未来,あ、そうじゃないの！。ちょっと……友達がいまなにをしてるかな、って。考えてて
恵美,友達？
未来,うん。実は、７６高に入ってトップを目指すっていうのはもともと私の友達の目標だったんだ。その友達のことをね、考えてたの。話します。私と、ビーチバレーがとっても好きなその友達のことを。７６高の受験をやめるってどういうこと⁉
静香,そのままの意味よ。７６高は受けずに、きちんとした進学校に行くの
未来,他の学校でビーチバレーをやりたくなったっていうこと？
静香,違うわ、もうビーチバレーをやめるのよ
未来,そんな！あんなに好きだったのになんで！
静香,元々ビーチバレーをやるのは受験が始まるまでっていうのが両親との約束だったのよ。それまでに私が日本で一番になれれば７６高受験も考えていいって話だったけど。私は結局……なれなかった。これはもう、仕方のないことなのよ
未来,静香ちゃんはそれでいいの⁉
静香,……ええ、私も納得してるわ
未来,嘘
静香,え？
未来,静香ちゃんいま嘘ついてる！私絶対にビーチバレーを諦めたくない！って、そう思ってる！
静香,そんなこと……ない
未来,ある！静香ちゃんがビーチバレーを誰より好きなのは私が知ってる！静香ちゃん自身の心も！。だからそんな泣きそうな顔してるんだよ！
静香,……っ！
未来,お父さんとお母さんにもう一度話をしにいこうよ。ビーチバレーでトップを目指したいんですって
静香,それは駄目よ！そんなこと認めてもらえるわけがない。未来こそ好き勝手に言いすぎよ！ビーチバレーでトップを目指すのがどれだけ大変かも知らないのに！
未来,知らないよ！でも！
静香,もうやめて！私はもうビーチバレーを諦めるの……そう、決めたのよ。これから先、大きくなってなにがあるかわからない……ビーチバレーの道へ進んだことを後悔するかもしれないし、ほかのことを好きになるかもしれないじゃない……。私にももうなにが正しいかなんてわからない……わからないのよ。そんな中でようやく諦めて、決めたと思ったのに……。なのになんで、いまさら迷わせるようなことを言うのよ……
未来,……ごめん、静香ちゃん
静香,あのお父さんを説得するなんて、無理よ……
未来,わかった。まず私が日本で一番になる！
静香,どういうこと？
未来,さきに私が日本一の選手になって、静香ちゃんのお父さんを説得するの。静香ちゃんはトップになれます！日本一の私が保証します！って。日本で一番のビーチバレー選手に説得されたらお父さんだって意見が変わるかもしれないよ！
静香,できるわけないでしょ！
未来,できる！やるから！
静香,ビーチバレーを馬鹿にしてるの⁉
未来,してない！でもやるの！。それに！いま見えたの！いつか静香ちゃんと私でペアを組んで世界一に挑戦する舞台に立つシーンが！。そうなったら素敵だなって！本気で本気で本気でそう思えるのっ！
静香,未来……
未来,いまから先生に７６高の願書もらいにいってくるから！
静香,ちょっと、未来ー！
紗代子,なるほど……そうだったの
恵美,親友の代わりに……
未来,うん……私は早く日本で一番になって、静香ちゃんを連れ戻したいの。でも、いま思った。それだけじゃないなって。キングのスパイクを受けながら、ビーチバレーってすごいなって感じた。私が想像してたビーチバレーとはぜんぜん違ったの。普通とは違って、なんていうか……ドキドキした！。ここにはすごい人がたくさんいるんだよね？紗代子先パイだけじゃなくて。だったら私、もっともっとビーチバレーのことを知りたい。この７６高で！。そのうえで、キングにも勝ってみせます。紗代子先パイ、こんどは私のほうからお願いします。私を第５ビーチバレー部に入れてくれませんか。紗代子先パイと恵美ちゃんといっしょに７６高でやっていきたいんです！
紗代子,未来ちゃん……うん！頑張ってキングに勝ちましょう！
恵美,……とはいっても、あのキング相手にどうやって戦えばいいんだろ
未来,わかんない！
紗代子,そういうときはね……
未来・恵美,そういうときは？
紗代子,おんなは度胸！やれることはなんだってやってみるのよ！。まずはビーチを１００周！対策は走りながら考えましょう！。さあ、第５ビーチバレー部伝統のランニング中の掛け声いくよー！
未来・恵美,おー！
紗代子,ぜったいキングに勝つぞー！
未来・恵美,勝つぞー！
紗代子,働くって素敵ー！
未来・恵美,素敵ー！
紗代子,きっと流した汗は美しいー！
未来・恵美,美しいー！
紗代子,たくさんの夢があれば、くろうなんてなんのそのー！
未来・恵美,なんのそのー！
紗代子,いも！
未来,いも！
恵美,いも……？
未来,はあ……ひい……走りながら考えたんですけど……。キングスパイクが、はあ……強すぎるなら……鎧を、着るっていうのは、はあ……どうでしょう！。防御、りょくを……上げれば……耐えられる、はあ……はずです！
紗代子,いいわね！鎧を水着として捉える新発想！。やりましょう！
未来,はあ……やった……！
恵美,それ……重すぎて動けないか、中で未来の蒸し焼きができるだけじゃないですか？
未来・紗代子,え……!?
未来,はあ……そう、いえば……キングの、はあ……過去の試合、って……どうだったんでしょう……。キング、をぉ……追い詰めたことがある人がいれば、ふう……その人が……参考、に、なるんじゃ……？
紗代子,そうね……。常勝のキングでも、過去に追い詰められた試合はたしかにあった。記憶にあるのはやっぱりほかの部の部長たちかしら
恵美,アタシもそれが印象強いですね
未来,……その人たちを、はあ……分析すれば……ヒントが、あるかも……。どん、な……人たちなんですか
紗代子,順番に話していきましょうか。第２の部長はパワータイプね。格闘技経験者だって言ってたと思うんだけど
恵美,１発の重さが尋常じゃないですよね
未来,じゃあ、まずは筋トレですね……
紗代子,筋トレ！いいわね、私も筋トレ大好き！
恵美,第３の部長は……トリッキーっていうんですかね、あれは？
紗代子,ええ、多分
恵美,ブレイクダンスの達人らしくて、独特のリズムがあるんだよね。本人はアメリカ仕込みのビートさ！てよく言ってる
未来,じゃあ、ダンスの練習も追加で……
恵美,第４は……野生？コートの上で獣みたいに跳ね回ってる。すごい瞬発力だよ
紗代子,よく都会のハトはどんくさいなーて言いながら追い回しているんだけど、あれが特訓なのかも……？
未来,じゃあ、ハトも捕まえましょう……
紗代子,第６の部長は胸が大きい
恵美,胸が大きいですね
未来,胸が!?ど、どうすれば……バストアップ体操……？
紗代子,ボールは友達！ボールは親友！。ビーチバレープレイヤーだったらボールと会話くらいできて当たり前！。実際上位のプレイヤーたちはバレーボールと認識したものすべてと意思疎通して操れるというデータもあるわ！。ということで今日はボールと会話ができるようになるまでひたすらボールタッチの練習よ！
未来,はい！
ボール,ちっちゃくてもがんばりますぞー！
未来,はわっ!?ささささ紗代子先パイ、私さっそくボールの声が聞こえました！CV：嘉山未紗みたいな声です！
紗代子,やったわね未来ちゃん……！
恵美,えぇー……？
紗代子,サーブほど練習量がものを言う分野はないわ！徹底的に磨きましょう！
未来,はい！
恵美,えっ、なんか普通
紗代子,？どうしたの？
恵美,なんでもないです！
紗代子,さあ、それじゃあ始めましょう！
未来,はあ……はあ……紗代子先パイの特訓、キツすぎ～っ。恵美ちゃんはなんで普通についていけてるの……？
恵美,一応76高の中等部で３年間鍛えられたからね。体力とか基礎的なのは一通り
未来,すごいね！
恵美,いやあアタシは全然だよ。典型的な試合では使えないタイプでさ。コートに立つと緊張して頭真っ白になっちゃって……。いつもなんだよね。体がガチガチに固まって、肝心なところで足が出ない感じ？結局ビーチバレーってその一歩を踏み出せるかが大事なわけじゃない？。もう自分でも選手よりマネージャーなんかのほうが向いてんだろなー、って思い始めてたんだけどさ、アハハ……って未来？
未来,ぎゅうううううううう
恵美,え、え？どしたのどしたの。突然抱き着いてきて、っていうか今アタシ汗かいてるし
未来,ぎゅうううううううう。おまじない。試合中に動けるようになるおまじないをかけてるの
恵美,え……。……もう、仕方ないなあ。じゃあアタシも。未来がキングとの試合に勝てるようになるおまじない。ぎゅうう
未来,えへへ～
恵美,へへ……
紗代子,練習をさぼってるやつはい”ね”え”か～！
未来・恵美,す、すいませんでした～～!!
紗代子,もう。２人ともまだ中学生気分が抜けきらないんだから。ふふ、３人で練習するの楽しいな……。私がこれまで感じたことがなかったくらい充実した１週間だった……。ずっとこんな風に続けていけたらいいな……。……でも、これでいいのかしら。そう……私たちは３人。未来ちゃんと恵美ちゃんはペア。だけど私は……？。２人のうちどちらかとたまに組むのかしら？ううん、たとえそうしても同じ大会には出られなくなっちゃう。そんなことはできない。だとしたら、同じチームで？それとも第５以外の誰かと……？……でも、私なんかと組んでくれる人なんて……。……いなかった。やめやめ。考えてもしょうがないじゃない紗代子。いまは２人をロコちゃんとの試合に勝たせることだけ考えましょう
ロコ,くっ、ラ、ライトアームが……っ
杏奈,ロコ……。もう……もうやめよう？ロコの使う技はどれも強力だけど、強力すぎてロコ自身の体を破壊していってるんだよ……。これ以上続けたらロコの腕が壊れちゃう
ロコ,それはできません。アンナにもしっかりとはエクスプレインしたことがありませんでしたね。ロコがなぜキングという道を選んだのか。アンナは現在のビーチバレーの世界をどう思いますか。プロリーグも活動していて、一見ノープロブレムに見えます。しかし一方でかつてのように誰もが知っているプレイヤーやスーパープレイはなくなっているのではないでしょうか？。多くの人は話題にしても昔のプレイヤーや昔のゲームのことばかり……。ロコはいまのそんなビーチバレー界を変えたい。チェンジです!!!!そのためにはよりスター性の高いプレイヤー、エンターテインメント性の高いプレイが必要なんです。つまり、キングです。キングこそ、ビーチバレーに今求められている存在なんです！
杏奈,普通のビーチバレーじゃ駄目なの⁉
ロコ,ロコはキングという自分を使ってビーチバレーを変えていきたいんです！
杏奈,だからって！ロコの体が壊れてもいいなんて、そんなの駄目だよ！
ロコ,キングであることはロコのアイデンティティです。負けたらなにも残りません。ロコは誰でもなくなってしまうんです
杏奈,そんなことない！アートが好きでいつも一生懸命で、クセっ毛で学校に友達がいなくてプロデューサーさんに作ったオブジェを捨てられてて……杏奈の親友！そんなのロコしかいない！
ロコ,……ロコにはキング以外の道はノーセレクトです
杏奈,……っ！ロコなんてもう知らない！もう一人でビーチバレーでもなんでもやってて！
ロコ,アンナ⁉……行ってしまいました。キング’ｓルールその2、キングは孤独をノーフィアー……。バット、これは……。パートナーもいなくなってしまいましたし……ミライたちとの試合は……。……。……いえ、まだ手はあります
未来,ボール磨きは楽しいな～♪いつもピカピカ明るいな～♪
杏奈,お邪魔……します……
未来,えっかわわわちょちょちょ望月先パイかわいいですけどどうしたんですか急に第５のかわいい部室なんかに!???。もっもしかしてかわいいですけど紗代子先パイになにかかわいい用事があって!?
杏奈,落ち着いて……
未来,はっはははい！。ひぃー……ふぅぅー……。すいませんでした……一度に大量のかわいさを浴びすぎて動転してしまって。どうされましたか
杏奈,今日……ここに来たのは未来に……話があった……から
未来,も、望月先パイが私の名前を呼んでいる!?
杏奈,え、……うん
未来,はわぁ～～～～～～…………
杏奈,話をさせて……
未来,はいすいません！
杏奈,えと……じゃあ本題なんだけど。明日の試合……杏奈は……未来たちに協力……しよう、と思って……ます
未来,え？。どういうことですか？協力っていうと、望月先パイはキングのパートナーだから……わざと負けよう、と？
杏奈,ううん。ロコとはパートナーを解消……してきたんだ
未来,解消!?
杏奈,……ずっとではない……と思うけど……多分。杏奈は……ロコを負けさせたいんだよ……。実は……ロコの体は……いま、ボロボロなの……。原因は……無理な大技の連発で……負担がかかりすぎてて……体がとっくに限界を超えてるの……。ロコにそれをやめさせ……たいんだけど……ロコはやめる気はなくて……。きっとね……無敗のキングって……いうのに……自分を縛っていて……もうロコ自身でも止められないんだと思う。だから……一度ロコをぼっこぼこにするんだよ……です
未来,おー……なるほど？
杏奈,ごめんね……難しいよね……？。つまり杏奈を……明日の試合だけでいいので……仲間にしてください……ってこと
未来,それならわかりました！
杏奈,うん。ありがと……です。明日の試合に勝つためだったら……なんでもするよ……
未来,なんでも
杏奈,……
未来,……ふーん……
杏奈,……
未来,…………
杏奈,……
未来,…………ちょっと水着
恵美,未来ー！大変大変!いま掲示板で発表があって……ってあー！クイーン！なんでここに！
杏奈,……話が……あって……
未来,あ、危なかった……じゃなくて。恵美ちゃん、発表ってなんの？
恵美,そう！それ！。キングのパートナーが変更になったって！しかも新しいパートナーが！紗代子先輩だって！
未来,ん？キングのパートナーは望月先パイで……でも望月先パイはここにいて紗代子先パイはここにはいなくて……つまり……えええええええ～～～!!??
杏奈,ロコ……
観客,今日の試合！勝つのは――どっちだ～⁉。キング!!!キング!!!キング!!!
未来,うわあ……すごい歓声
観客,最高のプレイを魅せるのは――誰だ～⁉。キング!!!キング!!!キング!!!。みちことみらい、似たような名前だが!!勝つのは――どっちだ～⁉。みちこ!!!みちこ!!!みちこ!!!
ロコ,ロコです!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
観客,ウォオオオオオオ!!!
ロコ,まったく、しょうがないオーディエンス達ですね。しかし彼女たちがいるからこそ戦い甲斐があるというもの。そうでしょう？
紗代子,ええ
未来,紗代子先パイ……
恵美,水着まで黒のセーラー水着に変えてる。本当にキングのパートナーになったんですね……なんで
紗代子,私たちは敵同士。まだそんな迷いがあるようではすでに勝敗は決まったわね
未来,いえ……！紗代子先パイにも言った通りです。私はキングに勝ちます！
紗代子,ならいいわ。お互いにベストを尽くしましょう
ロコ,ふふん、ではゲームスタートです。今回は先攻をもらいますよ。先にディスペアーを与えておいてあげましょう……。これから放つ”IMPRESSION→LOCOMOTION!”はその名の通り、あまりのインプレッションで一度にロコ点、つまり６５点をゲットする技です。これが何を意味するかわかりますか？
杏奈,返せなければ１球で試合が終了する……！
ロコ,グッドアンダスタンド。さすが元パートナーです
杏奈,もうやめてロコ！強すぎる技の連続でもうロコの体は限界なんだよ！
ロコ,キング’ｓルールその３、リスクはあえて冒してこそエンターテインメント！ワイルドよりデンジャラスな一撃をくらいなさい、”IMPRESSION→LOCOMOTION!”！
未来,来た！二人とも、打ち合わせ通りに！
恵美,OK!
杏奈,インプレッションでボールを65個に分裂させる必殺技……ならそれを上回る人数で対処すればいい！。リトルアンナたち！ビビッとよろしく！
恵美,すごい！杏奈先輩の両手にはまった杏奈パペットの両手にさらに杏奈パペットをはめて、連結していく……最終的な数は２の６乗で６４体！
杏奈,そしてすべてのリトルアンナでレシーブ！ビビッとパーフェクト！イェイ！
未来,残った１個のボールは私が！
恵美,それをアタシがトス！あ、杏奈先輩……！
杏奈,杏奈のとっておきスパイク！見せちゃうよー！”VIVIDイマジネーション”！！キャッチミー！
観客,キャッチミー!!!!!!!
恵美,打ったボールがデジタル変換されてバーチャル世界へ移行した!?もはや人類には止めようがないスパイクじゃない。敵じゃなくてよかった……
紗代子,いいえ止められるわ。”vividcolor”！！
恵美,”VIVID”を”vivid”で相殺!?紗代子先輩の力でボールが鮮やかな現実世界に引き戻されて……上げられた！嘘でしょ!?
ロコ,驚くのはまだアーリーですよ？決めなさいサヨコ！トス！
紗代子,スパイクを放った杏奈ちゃんは防御には回れない……もらったわ。”デストルスラッシュ”！！
未来,私が拾って――
杏奈,未来、触っちゃダメ！
未来,え……？。……ッ！……ひ、拾わなくてよかった。杏奈先パイの一言がなかったら触れてしまっていた……。信じられない……。スパイクで砂浜が一刀両断に……
恵美,だけどその切り裂く軌道が裏目に出たんだね……ボール半個分アウトだ……ナイス未来
未来,うん……
恵美,これが紗代子先輩のフルパワーなの？怖～……
未来,やっぱりすごい選手だったんだ……
恵美,うん。良いパートナーさえいればキングとも互角じゃないかってずっと言われてたんだ。弱いわけがないよ
未来,……
杏奈,紗代子さん、なんでロコのパートナーになっちゃったの
紗代子,……こんなこと、言ったってしょうがない
未来,しょうがなくないです！
恵美,そうです。紗代子先輩が考えてることだったらなんだって聞きたい！アタシたち、３人しかいない第５のメンバーじゃないですか！
紗代子,……。元々キングと立場上の対立はなかったわ、組めない理由はない。それにね……思ったの。キングと組むのがベストな選択だって。勝ちたいから組む、パートナーがいないから組む。もちろんそれもあるの。ただ、それだけじゃない……ううん、それ以外の理由のほうが大きいのかもしれない。一番はきっと……ずっと一緒にいた、私の周囲の人たち。想像はついてるだろうけど私って一年生のときから周りの子たちと競技への取り組み方でぶつかることが多かったの。よくケンカになったのが練習量のこと。そりゃあ、努力はいくらしても報われるとは限らない。それは私も知ってる。でもね、最初から頑張ることができない、練習に誘っても来てくれない人たちもいて。いえむしろそんな人ばかりだわ……。なんなの？あなたたちビーチバレーが好きで部に入ったんでしょ!?。なのに誰に聞いても紗代子の熱血にはついていけないよって……みんなそう！。じゃあ私はどうすればいいの⁉私のこの情熱は！力は！どこに向ければいいのよ！。そんな風にずっと思ってた……。そして昨日、キングにペアの話を持ちかけられた。その時に気づいてしまったの。私のビーチバレーへの情熱をもっとも理解してくれるのはキングなんだって。それだけよ
杏奈,紗代子さん……
未来,ﾝﾝ~~~~!!!!!!。紗代子先パイっっっ!!!!
紗代子,ひゃいっ!?
未来,わかります！人が自分の言ってることをわかってくれないのって、とってもと～っても寂しいですよね！
紗代子,……あなたに解るはずがない
未来,わかりますよ！私も修学旅行の前の日に楽しみすぎて寝られないよ～！て言ったらお母さんにはいはい早く寝てねて言われちゃって、なんでわかってくれないのー！てなりました！。それにそれに！小さいころ私が転んでヒザをすりむいたときにも痛いよ～！て泣いてたのに大丈夫、痛くないよてお母さんに言われて……
恵美,えっと、未来……？アタシが割り込むのも変かもだけどそのー、話がさすがにずれてない？
紗代子,そうよ、私とは全然違う話じゃない
未来,違うけど、同じなんです！誰かと一緒に練習できなかったら悲しいし修学旅行は楽しみだし、ヒザをすりむいたら痛いんです。それで私は自分が大きくなって娘が生まれたとして、もしその子がヒザをすりむいて泣いてたらやっぱり大丈夫、痛くないよて声をかけてあげるんです
紗代子,……
未来,あれ？やっぱり違う話だったかな？同じ話だと思ったんですけど、だんだん自分でもわからなくなってきちゃいました……えへへ
恵美,あの……。紗代子先輩はアタシたちじゃ駄目なんですか。そりゃ……アタシは紗代子先輩が3年間どんな思いでいたか何もわかっていませんでしたし、紗代子先輩のプレイについていくこともできないです。でも……未来も、アタシも、紗代子先輩と一緒にやっていきたいんです！。これだけは信じてください、お願いします。……まあ、たまーに先輩の指導が厳しすぎる気はするんですけど
