北条加蓮,こっちはオッケー、っと。あとはモバＰ以下Ｐ
藍子,でも何を書けばいいのかな……あっ、ごめんなさい加蓮ちゃん。何ですか？
加蓮,大したことじゃないんだけどさー
藍子,はい
加蓮,私さ
藍子,はあ
加蓮,まだ藍子のカフェコラム朗読会を諦めてないからね？
藍子,まだ諦めていなかったんですかあれ！？。Ｐさんだって、さすがにそれはって言っていたじゃないですかっ
加蓮,あれは藍子がずっとヤダヤダって言い続けるからでしょ？
藍子,だっていやですもん！
加蓮,なんでよ。どーせ雑誌買ってる子はみんな読んでるんだから。同じでしょっ
藍子,だから前に言いましたけどっ、雑誌で読んでいただけるのと目の前でそれも私が読むのとではぜんぜん違います！
加蓮,ちぇ。まーでも先輩アイドルの実績だしみんな読んでるに決まって――。決まって……。…………絶対読んでなさそう
藍子,……あはは、読んでいただけてなさそうです
加蓮,Ｐさんのことだからなんとなくそんな気はしてたけどさ。またすごい子達が来たよね。藍子的にはどう？新人ちゃん。ヤバイのが３人とマスク配信が１人とりんごが１個だけど
藍子,り、りんごが１個？
加蓮,そういえば本人はりんごの精霊……妖精？って言い回ってるんだっけ。じゃあ、りんごが１匹
藍子,りんごが１匹！？。新人さんの……その、個性もですけれど、もっとびっくりしたことが
加蓮,ん
藍子,吸血鬼って、本当に実在していたんですね……
加蓮,あー……。まぁ、幽霊がいるんだしサンタもいるんだしウサミンもいるんだし、吸血鬼くらいいてもそんなに不思議じゃないけどね
藍子,……冷静に考えると、私たちの事務所ってどうなっているんでしょうか？
加蓮,そうそう。時間を盗める子がいるのはさすがにうちの事務所くらいでしょ
藍子,あの、それって私のことでしょうか？
加蓮,はい。藍子ちゃんのことです
藍子,もうっ
加蓮,新人ちゃんの中でも、あの子なら藍子のコラムも読んでくれそうかなー
藍子,あの子？
加蓮,りんごちゃん、……じゃなかった、あかりちゃんだっけ？なんか色んな都会っ子を参考にしてるみたいだし
藍子,そうなんですね
加蓮,どこかの第二次東北りんご戦争中のバカが言ってた
藍子,第二次ということは、第一次があったんですか？……あと加蓮ちゃん、それって――
加蓮,ん？
藍子,あはは、まぁいっか……。それより第一次って？
加蓮,あれ、藍子って巻き込まれてなかったっけ
藍子,たぶん、たまたまオフの日が続いた頃だったから……。あかりちゃんが来たばかりの頃ですよね？
加蓮,あーそっか。そうそう。自称りんごの妖精ちゃんが来たばっかりの時にね。奇襲っていうのかな、いきなりふっかけたんだって。あの時は大変だったらしいよー。最初は本人達だけが騒いでたんだけど、面白がったどこかの科学者さんが急にりんごが食べたくなるガスが事務所中に大散布。お蔭で事務所の朝昼晩はすべてりんご定食。さらに東北のりんごのプロモーションをしようとＰさんは躍起になって三徹、疲労回復にもりんごジュース
藍子,そこまで……！？
加蓮,加蓮ちゃんはポテト派だったから助かったけどねー。大戦争は３日くらいで収まって、結果は引き分け、持ち越しだってさ。ちなみに今でも女子寮のメニューにりんご定食があるんだって。藍子、興味があるなら注文してみれば？
藍子,え、遠慮しておきますっ。……本当に、私たちの事務所ってどうなっているんでしょうね
加蓮,さすがにヤバかったみたいで、今回はそういう系は無し、純粋な勝負なんだってさ
藍子,勝負……ということは、投票をしたり、点数をつけたり？
加蓮,そんな感じかな
藍子,私も今度、投票してあげなきゃ。……でも、りんごの味の違いなんて分かるのでしょうか。加蓮ちゃんは分かりますか？
加蓮,りんごとポテトの違いならなんとか
藍子,それは誰でもわかりますっ
加蓮,頑張ってる子の方に入れればいいんじゃないの？アピール合戦とかしてるみたいだし
藍子,どっちにしよう……
加蓮,……。……気が向いたらあのバカの方にでも投票しといてくれる？結果でも出してあげないと努力努力って面倒くさいから
藍子,……？
加蓮,ごちそうさまでした
藍子,ごちそうさまでした♪
加蓮,結局わかんなかったなぁ。藍子ちゃんの味
藍子,加蓮ちゃん。それ、例えば私が淹れたコーヒーやお茶なら、加蓮ちゃんの言う"私の味"って出ると思うんですけれど……。ここのストレートティーは、店員さんが淹れてくれたものですよ？
加蓮,あー
藍子,それだったら、店員さんの味ってことになるんじゃ……？
加蓮,それもそっか。藍子、今度淹れてー
藍子,は～い。実は最近、ちょっとだけ練習中なんです。腕によりを入れて、美味しく淹れちゃいますね♪
加蓮,期待してあげる。にしても新人ちゃんかー。なんだかんだ落ち着いて、Ｐさんもいつも通りって感じになってきたよね
藍子,ここしばらく、てんやわんやって感じでしたよね。Ｐさんも、ぜんぜん寝ていないくらいにお疲れで……
加蓮,人にはちゃんと休めちゃんと寝ろってうるさいのにね
藍子,あはは……。じゃあ、Ｐさんがお忙しい時は、私が代わりに言うようにしますね？
加蓮,……
藍子,言うようにしますね？
加蓮,ありがた迷惑です
藍子,じゃあお布団――
加蓮,それはもういいから！
藍子,新人のみなさんとは、まだそんなにお話していなくて……。でも、みなさんすごく張り切っていますよね。ううん、張り切っているっていうか、楽しんでいて……。ふふっ。そういえば、みくちゃんが腕まくりしていました。先輩として、業界の厳しさを教えるんだって
加蓮,私的にはアンタにああなってほしかったんだけどね……。思ったんだけどさ
藍子,はい
加蓮,クラスに転校生が来るのってこういう気分なんじゃない？
藍子,あ、確かに……。転校生が、一気に４人も来たことになるんですね
加蓮,しかもうち１人は僕しもべ
藍子,そして、さらにそのうち１人はりんごの妖精さん
加蓮,そんな周りを見て何か起きる前からメンタルが砕けている子が１人
藍子,その様子がスマートフォンで配信されているんですっ
加蓮,……いやホンットにマジで私達の事務所ってどうなってんの？
藍子,こんなクラスは、さすがに見たことがないかな……？
加蓮,そんな相手に張り切るみくちゃんはクラスのリーダーって感じかな。似合うような、意外って感じもするような
藍子,みくちゃんがまとめ役なら、トラブルもなさそう！
加蓮,わかるー
藍子,でもみくちゃんって、学校ではあんまり目立たないようにしているみたいですよ。この前、たまたま学校帰りのところを見て……
加蓮,メガネなんだっけ？
藍子,眼鏡ですね
加蓮,メガネかぁ……
藍子,眼鏡ですね……
加蓮,……
藍子,……
加蓮,……私さ
藍子,はい
加蓮,みんなが話しかけづらそうにしてるあのヴァンパイアコンビに、いの一番にメガネを渡しに行くメガネを見てさ
藍子,眼鏡を渡しに行く眼鏡
加蓮,もう無敵じゃんって思って、だからもうメガネでいいやって
藍子,呼び方ってことですか？
加蓮,そ。もう一番敬意を払ってるよね。メガネって言えばこの前に久しぶりにちょっと話したの。あっちはなんか新しいメガネ道に目覚めたみたいで
藍子,眼鏡道
加蓮,そだよー。で最近ファッションにも目覚めたみたいで。色々教えてあげたんだー
藍子,この前のファッションショーで、新しい道を見つけたのでしょうか
加蓮,……そしてそのお返しがこちらです
藍子,加蓮ちゃんの鞄から眼鏡ケースと眼鏡が自然に……！
加蓮,あの子、どこで仕入れてきてるんだろうね……
藍子,噂ですけれど、最近は自分で作るようになったそうですよ
加蓮,メガネを？
藍子,はい
加蓮,……作れるの？
藍子,みたいですね……
加蓮,手作りかぁ。そりゃヴァンパイアコンビにも持っていくよね
藍子,自分で作った物って、誰かに使ってほしくなりますよねっ
加蓮,そう？私は自分で使う方が好きかなー
藍子,手作りのプレゼントを使ってもらっている時って、なんだか嬉しくなりませんか？
加蓮,あ、それは分かるかも。……でＰさんに何かプレゼントでもしたの？
藍子,ふぇっ！？
加蓮,わっかりやすー。……あ。お茶はとっくに飲んだ後だった
藍子,ぷ、プレゼントって言っても簡単なアクセサリですよ？男の方でも簡単に使えてあんまり目立たない控えめの――
加蓮,藍子はもうちょっと重くなってもいいと思うけどね。プレゼントくらいでここまで動揺するのもどうかと思うわよ
藍子,それよりおかわりがほしいんですよね！？すみませ～んっ
加蓮,お茶より藍子ちゃんのお話のおかわりがほしいなー？
藍子,すみませ～んっ！！。――かくれメニューを教えてほしい方は、このカフェに通ってみましょうっ。こんな感じかな……？……うんっ！。加蓮ちゃん、終わりまし――
加蓮,くー……
藍子,あ……。寝ちゃってる。私、そんなに長くコラムを――。わ、もう３時半！？集中するって言ってから、もう１時間半も経ってる……。それなら加蓮ちゃんも、寝ちゃいますよね。今日はすごく、ぽかぽかで……。もう春ですもんね
加蓮,すぅ……
藍子,……。……♪
加蓮,ん……
藍子,あっ、そうだ。"これを書いている間に、一緒にいてくれた加蓮ちゃんが寝ちゃいました。春は、もうすぐそこですね"。うんっ。……後で、何か言われちゃうかな？そういえば、加蓮ちゃんのひとくちコメント、まだもらってなかったっけ。でも、寝ちゃった加蓮ちゃんが悪いんですからね～？
加蓮,くー……
藍子,さてっ。加蓮ちゃんを起こして……。ううん、でも、こんなに気持ちよさそうに寝ているんだから、このままにしておいた方が？。う～ん……。でも、このままじゃ加蓮ちゃんとお話できないし……。でも……。う～ん
加蓮,すぅ……。……………………そういう時は起こしなさいよ
藍子,ご、ごめんなさい。だって～……
加蓮,だって？
藍子,どうしても……その……起こしづらくて……。……あの、もしかしてすごく怒ってます……よね？起こさなかったこと……
加蓮,……
藍子,うぅ……
加蓮,……っと、店員さん。コーヒーありがとー。藍子、注文しててくれたの？
藍子,加蓮ちゃんが、顔を洗いに行った時に……来た時のお返し、にはなっていませんかもしれませんけれど
加蓮,そっか。うわ、苦っ……いや、濃い。すごく濃いよ、これ
藍子,きっと、店員さんも加蓮ちゃんが寝起きだってことを知っていたんですよ。それで、眠気覚ましにしてくれたんだと思います
加蓮,なるほどねー
藍子,目、覚めますか？
加蓮,……。ん……。んーー。うん、オッケー。藍子、次からはホントちゃんと起こしてね？
藍子,はいっ。ごめんなさい、加蓮ちゃん！
加蓮,許してあげる。コラム、終わった？
藍子,はい、ばっちりですっ。これで、きがねなく加蓮ちゃんとゆっくりできますね♪
加蓮,あ、そうだ、私もコメント書かなきゃ
藍子,！
加蓮,……こら。なんでノート隠すの
藍子,そ、それは。……ほら、まだ書き終わったばっかりで自信がないですからっ
加蓮,いつも書いてる途中から私に見せてるし何なら声に出してるでしょうが！さては藍子、私が寝てる間に余計なこと書いたでしょ！？
藍子,そんなことありません、そんなことありませんっ。あ、そうだ。加蓮ちゃん、コメントを口で言ってくれれば私が書きます！ほら一緒に考えましょう！
加蓮,いいから見せなさい！
藍子,わ～っ。そんなに暴れたらコーヒーこぼれます！
加蓮,っと。……完成品できたらばっちり見るからね。その後デコピンするから
藍子,デコピンはやめて……。じゃあ、完成品ができたら、加蓮ちゃんに一番に見せますね？
加蓮,はいはい。コメントかぁ……。そういえばさ、藍子のコラムの評判ってどうなの？好評っぽいのは分かるけど、私あんまり知らないんだよねー
藍子,そうですね～。みなさん、加蓮ちゃんのコメントも楽しみにしてくださってるようですよ
加蓮,いやアンタへの評価を聞きたかったんだけど。…………ちなみにどんな意見？
藍子,次も楽しみにしています、とか、また藍子ちゃ――わ、私のことを教えてくださいとか、そんな感じですね
加蓮,ふんふん
藍子,そうそう、前にカフェの写真を掲載したことがありましたよね。あれ、実はとっても評判がよかったんです！
加蓮,おー
藍子,あい……私の写真とは、また違う趣きがあっていいって。加蓮ちゃんに詳しいって方が、あれは加蓮ちゃんが撮ったものだって、一発で見抜いちゃったり！
加蓮,へ、へー。そっか。見てくれる人は見てくれる的な……
藍子,そうそう、雑誌の担当の方もほめてくださってましたよ。今度、フォト系の何かをお願いしたいかも、って
加蓮,そうなんだ。……そっか。ま、師匠が師匠だもんね。当然と言えば当然でしょ？
藍子,ふふ。加蓮ちゃん、耳が赤いですっ♪
加蓮,前言撤回、私の師匠はほわほわしてるヤツです
藍子,いいじゃないですか～。一緒に、ほわほわしましょ？
加蓮,最近ずっと思ってたことだけど最近のアンタのゆるふわ空間マジでひどいからね？
藍子,ひどいっ
加蓮,マジでひどい。……でもそれに囚われてる私も私か。ところでさー
藍子,はい、何ですか？
加蓮,んー……。うん。藍子のコラムへのファンレターのこと、もっと教えてほしいなー？
藍子,ファンレターのことですか？そうですね……。最近の……そうそう、加蓮ちゃんは普段、あいっ、私と何をしているんですか？って聞かれたことがあります
加蓮,ふんふん。なんて答え――って、答える場がないか
藍子,そうですね……。あっ、でも、この前SNSでも同じことを聞かれて。あの時は、いつもカフェでのんびりしています、ってお返ししました
加蓮,……ここのこと教えた？
藍子,教えていませんよ。それはやめた方がいいって、前にＰさんが言っていましたし。ずっと前に、こういうお店は秘密にした方がいいってお話になったじゃないですか
加蓮,そだね。やっぱり覚えてたんだ、藍子
藍子,ふふっ。それに――。いつの間にか、ここは私たちの隠れ家みたいになってるから……。このカフェのこと、みなさんには知ってほしいですけれど、でも秘密なんです。ふふ、おかしなお話ですよね
加蓮,……、
藍子,……？
加蓮,や……。ん、そっか
藍子,はいっ♪
加蓮,……。……、
藍子,……♪
加蓮,っていうかファンレターで聞かれるの？私達が何してるのかってこと
藍子,ときどき聞かれますよ。みなさん、加蓮ちゃんに興味しんしんなんですね
加蓮,だからそれ私じゃなくて私に絡んでる藍子のことでしょ……。でも……そっか。ファンレター、いっぱい来てるんだ
藍子,おかげさまで、ですっ
加蓮,よかった。ねね、他にも教えてよ。どんなのが来てるの？質問？感想？
藍子,……？そうですね、他には……例えば、加蓮ちゃんと、あいっ、私がよく注文するメニューは――。…………。…………加蓮ちゃん？
加蓮,ん、何ー？
藍子,何かを楽しんでいませんか？
加蓮,さー何のことだろーねー
藍子,楽しんでるっ
加蓮,藍子が自分のことを藍子ちゃんって言いそうになって慌てて言い換えるところなんて、ちっとも楽しんでないよー？
藍子,にやにやしながら言っても説得力がぜんぜんありませんっ
加蓮,にやにやー
藍子,……い、いいじゃないですか。べつに
加蓮,別にいいよ？たださ、加蓮ちゃん的には自分のことを藍子ちゃんって呼ぶ藍子ちゃんもアリかなーって
藍子,わ、私としては無しです。……でも加蓮ちゃん、よく自分のことを"加蓮ちゃん"って呼びますよね。今みたいに
加蓮,そーだねー。だから藍子もやってみようか。さんはいっ
藍子,あ、あ～
加蓮,あー？
藍子,……高森藍子です。こんにちは
加蓮,はいこんにちは、ゲストの北条加蓮です
藍子,ラジオでしょうか……
加蓮,じゃラジオのコーナーってことで。自分を名前で呼んでみよー。わー
藍子,わ、わ～？
加蓮,はいノッたね。では高森さん、どうぞっ
藍子,は、はいっ。……ごほん。あ――
加蓮,あ？
藍子,……藍子です
加蓮,はい。ゲストの北条加蓮です。今日は藍子ちゃんが台本をガン無視するので困ってます
藍子,だっ、台本にないことをやってるのは加蓮ちゃんです！
加蓮,お？そーきたか。ではここでお便りを募集しましょう。あっ、早速ツイッターのアカウントに投稿が。"私も見てみたいです！"とのことです。これは期待に答えないといけませんねー。では藍子ちゃん、どうぞっ
藍子,……か、加蓮ちゃん？本当にそういう企画や、台本がある訳じゃないんですよね？
加蓮,ないよ？やりたいなら持ち込むけど
藍子,それなのに、こんなにすらすらと……
加蓮,場慣れ的なヤツかな。ほら、私Ｐさんに鍛えてもらってますから♪。では藍子ちゃん、どうぞっ
藍子,は、はいっ。あ――
加蓮,い？
藍子,……まずは加蓮ちゃんがお手本を見せてくださいっ
加蓮,えー、しょうがないなぁ。やっほー、加蓮ちゃんだよー♪。――ぉ？
藍子,あっ……
加蓮,……、…………えーと店員さん？何の御用かな？
藍子,コップをお下げに来た……ですか。あ、あはは
加蓮,み、見ての通り？ラジオの収録中……なんだけどなー……
藍子,……そうですね。機材、ありませんよね……
加蓮,……
藍子,えと……コップ、お願いします、ね？
加蓮,よ、よろしくねー……
藍子,……
加蓮,……
藍子,…………
加蓮,…………やっほー加蓮ちゃんだよー。じゃあ次、藍子ちゃんの番、行ってみよっか
藍子,まだ続けるんですか！？加蓮ちゃん顔真っ赤ですよ無理しなくていいです！ほ、ほらほらっ、店員さんまだこっち見てますったぶんあれは聞こえてもいます！
加蓮,いいからアンタもやりなさいよ自己紹介！藍子ちゃんって言いなさいよ！！
藍子,無理です、無理ですってば～～～～っ！
加蓮,……っと、もう６時すぎてるんだ。そろそろ帰る？
藍子,は～い
加蓮,外暗くなるの遅くなったよね
藍子,お散歩していたら、気付いたら６時半になっていたりして……。もう、春ですね
加蓮,だねー。って、時間には気をつけなさいよ？アイドルなんだし
藍子,あはは……。気をつけますねっ
加蓮,ったくもー。……っと、ごめん、Ｐさんから電話だ。待っててもらってていい？
藍子,分かりましたっ
加蓮,先帰っててもいいよ？
藍子,そんな。ちゃんと待ちますよ
加蓮,どーだか。とか言ってこっそり逃げ帰ったり――
藍子,……加蓮ちゃんがそう言うなら本当にやりますからね？外に出た時、ひとりぼっちでも知りませんからっ
加蓮,あっ。……まぁ藍子はマジでやったりしないでしょ。しないしない。……しないよね？。……。っと、電話に出なきゃ。もしもし？Ｐさん？うん、今は大丈夫。そろそろ帰るとこだよ。……うんうん、――うん。……。……分かった。今度の金曜日の夕方ね。オッケー。ううん。ね、Ｐさん。ありがと。無理言ってごめんね？――うん、うん、分かった。後は私がやる。私にやらせて。じゃあ、またね。……だから体調は万全だってば。心配いらないよ。よしっと。……もうっ。ホントに過保護なんだから！。……、。さて――
