所恵美,以下、恵美
P,んぐっ！あ、当たり前だ、お前らのプロデューサーとして残すわけにはいかん！。……ご馳走様！
真美,に、兄ちゃん……
亜美,ホントに食べ終わるなんて流石にやばいよ→……
真美,ケンコ→にも良くないちね
P,…………
秋月律子,以下、律子
P,律子？手空いてるか？
亜美,げぇっ！
真美,に、兄ちゃん！それは良くないって思うな→？
P,これが俺の復讐だ……！
亜美,フクシュ→は何も生み出さないんだZE！？
真美,ほ、ほら！真美のカラダで何とか！
律子,今事務所に着いたところですけど
P,それは良かった、ちょっと問題児2人をこってり絞ってやってくれないか？
律子,……まぁたあの子達何かやったんですか
P,少々、毒を盛られてな……
亜美,に→ちゃん、愛情だよ、愛情！
真美,り、りっちゃんの出る幕じゃないっしょ→！？
P,だまらっしゃい！純情な俺のハートを弄びおってからに……！
律子,はぁ……了解です、こってりやっときますね
P,任せたぞりっちゃん……！
真美,うあうあ→！
亜美,オ→ボ→だぜに→ちゃん！
P,鬼の降臨に戦け！フハハハハ！
亜美,ぐ、ぐぅ！？
真美,あ、亜美隊員！ここはセンリャクテキテッタイを……！
律子,……逃げられないわよ
亜美,しかしまわりこまれてしまった！
真美,うあうあ→！もうオシマイだよぅ！
律子,全く……さ、こっち来なさい！。はぁ……了解です、こってりやっときますね
P,任せたぞりっちゃん……！
真美,うあうあ→！
亜美,オ→ボ→だぜに→ちゃん！
P,鬼の降臨に戦け！フハハハハ！
亜美,ぐ、ぐぅ！？
真美,あ、亜美隊員！ここはセンリャクテキテッタイを……！
律子,……逃げられないわよ
亜美,しかしまわりこまれてしまった！
真美,うあうあ→！もうオシマイだよぅ！
律子,全く……さ、こっち来なさい！
亜美真美,助けて、に→ちゃ→ん！
P,さよならだ……健闘を祈るよ。亜美、真美
律子,プロデューサーも来てもらえます？
P,えっ、俺もか？そうだな、確かに何が起きたか分からないもんな
律子,だーれが、鬼、なんですかー？
P,
亜美,2combo！
真美,オ→バ→キルだNE
律子,さ、来て下さい！
P,わ、悪かったよ律子！だから引っ張るな伸びるううう
恵美,さ、琴葉の新しいお手本だよ
琴葉,無理よ、絶対無理！
エレナ,マミとアミのマネは難しそうダヨー……
琴葉,そ、そうよ！しかもプロデューサーに嫌われちゃうかもしれないじゃない！
恵美,プロデューサーはあれくらいで嫌いになるような人じゃないと思うんだけどなー？
琴葉,そ、それはそうだけど……！
エレナ,コトハ、ここは勇気を振り絞っテ！
琴葉,うう……
恵美,琴葉、好きの反対は無関心なんだよ！
琴葉,！
恵美,ここでプロデューサーの視線を引き付けなきゃ！
エレナ,コトハ！
琴葉,…………
P,さ、散々な目にあったぞ……。し、仕事が溜まってるってのにぃ……
琴葉,あ、あの！プロデューサー！
P,ん？どうした琴葉。悪い、今からちょっと急ぎで仕事片付けなきゃいけないから手短に……
琴葉,そ、それなら良いんです！
P,そうか？ならお言葉に甘えて……。…………
琴葉,…………
音無小鳥,以下、小鳥
P,す、すみません音無さん！琴葉も悪かった！
琴葉,い、いえ……
P,全く、どういう事だ……！？。……亜美真美め、ここまで俺が憎かったと言うのか。成長したと思っていたのに……！
琴葉,ぷ、プロデューサー……。プロデューサー泣いちゃってる……やっぱやらない方が良かったよね……
恵美,あちゃー……
エレナ,プロデューサー泣いちゃってるヨー……
恵美,でも何で小鳥さんスルーしてるんだろ？
P,ううう……
琴葉,げ、元気出して下さい、プロデューサー
P,悪いな琴葉……情けないなぁ俺
小鳥,面白そうだから黙ってるピヨ
琴葉,そ、そんな事ないです！プロデューサーは優しくてカッコ良くて……！
P,はは、ありがとう。ちょっとだけ元気出たわ
琴葉,あ、あぅ……。亜美ちゃん達のイタズラグッズ入れからブーブークッション出してみたけどダメだったな……
P,さ、仕事仕事。音無さん、書類下さい
小鳥,助かりますー！じゃあこれ、お願いしますね！
P,音無さんだけに事務やらせてるのが申し訳なくてやってるので気にしないで下さいよ
小鳥,この紳士的心遣い……まさか、恋ッ！？
P,寝言は寝てから言うのがこの世界のルールだぜピヨ助ェ……
小鳥,あぁん、いけずですねー
P,ハハハ！じゃ、仕事始めましょうか！
小鳥,おー！
琴葉,小鳥さんとプロデューサー、仲よさそう……。そういえば好きの反対は無関心って……！。……よし
P,…………
小鳥,…………
P,……ふー
琴葉,プロデューサー、お疲れ様です
P,おっ、琴葉
小鳥,琴葉ちゃん、お疲れ様ー
琴葉,こ、コーヒーを入れてきました……
P,おっ、悪いな琴葉
琴葉,いえい、え゛！？
小鳥,琴葉ちゃん！？
P,まずい！。あ、あつぃいっ！
恵美,ぷ、プロデューサー！
エレナ,ダイジョーブ！？これ、タオルだヨ！
P,恵美にエレナか……すまん、タオル借りるぞ
琴葉,あ、ああ……ゴメンなさい！ゴメン、なさい……ッ！
P,泣くな琴葉、ブーブークッションそこに置いといた俺が悪い
小鳥,ぷ、プロデューサーさん早く拭いちゃって下さい！火傷しちゃいますから！
P,ハハハ、悪戯好きなアイドルたちで慣れた鋼鉄の身体はビクともしませんって
琴葉,…………
恵美,プロデューサー、怒らなかったね……
エレナ,ちなみに、コトハはナニしようとしてたノ？
琴葉,コーヒーに……砂糖いっぱい入れてぇ
恵美,それイタズラじゃないよ！？
琴葉,か、構って欲しかったんだもん……
エレナ,コトハはいいコだから悪いコト出来なかったのネ……
琴葉,ううう………
恵美,わざとじゃないんでしょ？
琴葉,わざとするわけないじゃない！
エレナ,ハルカのマネしたんじゃないかって思ってたなんて言えないヨー……
琴葉,ううう……。プロデューサーにどうやって謝ろう……
Ｐ,おーい、琴葉！
琴葉,えっ、プロデューサー！？
Ｐ,そんな驚かれるような事か？いやあ、さっきこれ落としたからさ
琴葉,これは……携帯ですか？落としたことにも気づかなかったなんて……
Ｐ,琴葉も、たまーにこんなミスするんだな
琴葉,……プロデューサー
Ｐ,ん？どうした？気に障ったなら謝るが
琴葉,いえ、謝るのはこっちです！さっきは、すみませんでした！
Ｐ,！？い、いきなりどうした？
琴葉,今日コーヒーかけちゃったりしたし、いっぱい迷惑かけて……
Ｐ,迷惑って……そんないうほどかけられたか？
琴葉,かけました！レッスン行こうとしなかったり、ブーブークッション入れたり……
Ｐ,えっ、あれ琴葉だったのか！？てっきり亜美と真美が仕掛けていったのかと……後で謝っとかなきゃ。でも……琴葉らしくないな。どうかしたのか？
琴葉,らしくない、ですよね……
Ｐ,琴葉？
琴葉,プロデューサーは、たくさんアイドルを担当してるじゃないですか
Ｐ,まあ、社長が新しいプロデューサーを雇ってくれないからな……忙しい事この上ないが。それがどうかしたか？
琴葉,そのせいで、最近ずーっと他の子ばっかり気にかけてて私の事見てもらえなかったから……
Ｐ,……もしかして、ジェラシー？
琴葉,ジェラシーですよ
Ｐ,そうかぁ……フフッ
琴葉,おかしいですか？
Ｐ,いやぁ……琴葉もそんな事思うんだなぁって
琴葉,笑い事じゃないですからね
Ｐ,フフフ……。俺な、琴葉は俺の事邪魔に思ってるんじゃないかとちょっと心配してたんだ
琴葉,邪魔だなんてそんな事思ってないです！
Ｐ,今ならそんな事当たり前に分かるんだけどな？。なんでも出来ちゃうから俺なんて要らないんじゃないかと思ってたんだ。なるべく気づかれないようにフォローはしてたけど、それくらいで良いのかなって
琴葉,……プロデューサー
Ｐ,ん？
琴葉,私、そんな出来た人間じゃないです
Ｐ,……そうか？
琴葉,そうですよ。だって私、褒めてもらいたいだけですから。認めてもらいたい。必要とされたい。隣にいるのは、琴葉がいいって、言ってもらいたい
Ｐ,……プロポーズか？それってヤバイ意味じゃないだろうな
琴葉,もう！真面目に聞いてくださいよ！
Ｐ,す、すまんすまん
琴葉,……迷惑ですか？
Ｐ,いいや、全然。安心したよ。琴葉もまだ俺を必要としてくれてたんだからな。分かった、約束する。もっと琴葉を見てるよ、放置したりしない
琴葉,本当ですか？
Ｐ,ホントホント、プロデューサーは嘘つかないって。これからはもっとお前の事よく見てるから。二人三脚で頑張ろう！。だから、これからもよろしくお願いします！
琴葉,……はい！
恵美,……で？
エレナ,どういう事ナノ……
Ｐ,悪いな琴葉、お前にまで書類の仕分け手伝わせちゃって
琴葉,いえ、私も手が空いてましたから！
Ｐ,もう少しで終わるから、そうしたら休憩挟もうか
琴葉,はい！
恵美,おっはよープロデューサー
エレナ,オハヨー！
Ｐ,お、恵美にエレナか。お疲れ様
琴葉,おはよう、二人とも
エレナ,コトハ、何やってるの？オテツダイ？
琴葉,そう！これ終わらせてプロデューサーについてきてもらおうと思って！
Ｐ,琴葉がどうしてもっていうからな……今まで見てやれてなかった分は重点的に見てやろうと思ったんだ
恵美,へぇ……
エレナ,プロデューサー、ズルイヨー！ワタシも見てヨー！
Ｐ,今日は琴葉を見るって決めてるからゴメンなー、また今度見るよ。……っと、よし。琴葉、休憩にしていいよ
琴葉,はい！じゃあ私、コーヒー入れてきますね！
エレナ,コトハ、なんだか嬉しそうダヨー
Ｐ,こんなにキラキラするなら、もっと早くから構ってやるべきだったかな
恵美,そうだね
琴葉,はい、プロデューサー！お待たせしました！
Ｐ,早いな、コケるなよ？
琴葉,もうコケません！はい、どうぞ！
Ｐ,ありがとう、頂くよ。……うん、美味い！コーヒーこんな美味く入れられたなんて知らなかったよ！
琴葉,えへへ……
恵美,…………
エレナ,どうしたの、メグミ？
恵美,プロデューサーに構ってほしい
美咲ちゃがどんな子か早く知りたいです,切実
