横山奈緒,ひまっひまっひまっ～
志保,……焼却炉にポリシーごと身投げすれば解決しますよ
奈緒,あたりキツない？
志保,……
奈緒,なぁ、志保
志保,……何ですか？
奈緒,うわぁ、凄い嫌そうに返事するなぁ
志保,返事するだけありがたいと思ってください
奈緒,まぁ、ええわ。志保って恋したことある？
志保,星の球団が好きなので
奈緒,そっちやのうてラブの方や、Ｒ・Ｏ・Ｖ・Ｅ
志保,ラブの綴り間違えてますよ
奈緒,……大阪ではこっちやから
志保,ここは東京なので郷に従ってください
奈緒,嫌や！例え何度生まれ変わっても私はマクドって言い続ける！！
志保,……
奈緒,無視はやめよ？な？私泣くで？すぐ泣くで？
志保,……豆腐メンタル。はぁ、何で急に恋の話なんです？
奈緒,ふっふっふっ、志保、自分が演じる役をもう一度よく見てみい
志保,？……特に恋の要素なんて見あたらないですが
奈緒,そうやで。恋の話は私の趣味や
志保,ははっ
奈緒,あっ、人間って笑いながらこんな冷たい表情できるんやね。でも実際おかしいと思わへん？
志保,奈緒さんの頭がですか？
奈緒,私の頭の話やなくてな？これだけべっぴんさんがおりながら浮いた話の一つも無いのが私はおかしいと思う
志保,そりゃアイドルなんですから浮いた話があれば困るでしょう
奈緒,でも一人もおらんのはおかしいやろ。絶対誰かは隠れてラブラブしよるって！
志保,はぁ
奈緒,……志保はあんまりこの手の話に興味がなさそうやな
志保,いえ、興味ありますよ
奈緒,いや、そういう優しさはいらんで。興味がないならないと――
志保,興味がないのは奈緒さんに対してなので
奈緒,いるいるいるいる！！優しさめっちゃいるわ！！やっぱり優しさって大事やな！！うん！。さて、お迎えが来る気配が微塵もしない今、どう暇を潰すかやな
志保,私は台本読んでるので交差点を通る車の数でも数えててください
奈緒,うん、何かそのバイト知っとるわ。私一回やったことあるし。そのとき目の前で事故起こったから鮮明に覚えとる。割とトラウマ
志保,急に重い話するのやめてくれます？なんだか申し訳なくなってくるので……
奈緒,ああ、いや、気にせんでええで。誰も怪我なかったし、それに暇つぶしにちょうどいいグッドアイデアや
志保,それならいいんですが……
奈緒,うーん、でもなー私は志保と暇を潰したいねん
志保,トラウマって言ってたのに自分から巻き込み事故起こすんですか？最低ですね
奈緒,あたりキツない？
志保,……
奈緒,なぁ、志保～。車数えるん飽きた～
志保,……
奈緒,なぁ志保～
志保,……
奈緒,志保ってば～
志保,……
奈緒,……
志保,……
奈緒,……
志保,……
奈緒,1番、横山奈緒。足を滑らせて浴槽に落ちる猫の物真似
志保,待って待って待って待って。ズルイ。それはズルイ
奈緒,ええやんか。さっきにみたいに無視しよったら
志保,無視できたら言いませんよ！いや、ホントにツボなんﾆｬｯ
奈緒,ﾆｬ、ﾆｬｰｵ、ﾆｬｰ
志保,くっ……
奈緒,ﾆｬｯ、ﾆｬﾆｬｰ、ﾆｬｯﾀﾗﾆｬｰ
志保,…………ふっ
奈緒,ﾆｬｰ、ﾆｬﾗﾆｬｰﾆｬｯ！？ｽﾞﾙｯﾆｬﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏ！！！！ﾊﾟｯｼｬｰﾝｷﾞﾆｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ！！
志保,あははははははははははははははははははははははははははははははははははは！！！！！！。あー、もう駄目！！ホントお腹痛い！！
奈緒,鍛え方が足りてへんのちゃう？
志保,誰のせいだと思ってるんですか！誰の！
奈緒,元はといえば無視した志保が悪いと思う
志保,……
奈緒,……
志保,…………
奈緒,…………
志保,……ﾝﾏｰｵ
奈緒,くっ！
志保,ﾝﾅｰｺﾞ、ｺﾞﾛﾆｬｰﾝ
奈緒,ちょっ、それは卑怯やで！いきなり人のネタパクるんはズルイ！
志保,ﾆｬｯ？ﾆｬﾆｬｯ？
奈緒,あっ、そっち行ったらあかん！そっち行ったら絶対――
志保,ﾝﾆｬｰ？ﾆｬｯ！？ﾝﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏﾏ！！！！ﾊﾟｯｼｬｰﾝｼｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ！！！！
奈緒,あはははははははははははははは！！ほら落ちたやん！！あはははははははははははは！！
志保,ﾝﾆｬｱー！！ﾆｬｱｱｱｱｱｱｱｱ！！ﾏｵｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳ！！！！
奈緒,ぷっ、くくっ、あかん！！ごっつおもろいわ！！物真似の物真似上手すぎやろ！！ぷっ、わはははははははははははははは！！
志保,ﾆｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ！！！！
奈緒,あははははははははははははははははは！！！！！！
P,あー、前の収録長引いちゃったな。あの二人、待ちすぎて怒ってないといいなー。……特に志保。すまん！待たせた！さぁ、二人とも急いで現場に――ってあれ？
奈緒,ﾊｧﾊｧ
志保,ｾﾞｨｾﾞｨ
P,……何でお前らは息も絶え絶えなんだ？
奈緒,いや、あのな、ちょっとわらかし合戦してて
志保,少し熱が入りすぎちゃいました……ﾆｬ
奈緒,ぷっ、くくっ、あかんて志保……。もう無理やって
志保,いーや、絶対奈緒さんの方が笑う回数少なかったですから！後数回は笑ってもらいますからね！
奈緒,宇宙人に連れ去られるニワトリ
志保,あっ、ちょっ、それホント駄目ですって！！それ、猫のやつよりツボなんですから！！ふっ、くくくっ……！！
P,……何だこれ
