本田未央,ただいま～疲れたよ～
先輩Ｐ,っ！……た、助け合いって大事だろ？それはそうと、拓海達のデビューイベントの件で先方から連絡があってな
モバＰ,あぁ！地方のでかい会場を提案されてたんですけど、やっぱ小さいけどこっちの会場で着実にいこうと決めたんですよ。取次ぎどうもです、連絡しときます
先輩Ｐ,うん、それな。地方でオッケーって言っちゃた★でかい会場って聞いて、凛達と勘違いしちゃった、へへへ★
モバＰ,美嘉が微妙な顔してますよ。しかし、マジっすか……事務所の信用的にキャンセルはしないほうがいいですね。まあ、三人共度胸あるから大丈夫か……でかい会場ってチャンスではあるし……
先輩Ｐ,そーだぞー。デビューで二箇所も同時なんて前代未聞だぞー
モバＰ,ん？二箇所？同時？……は？
先輩Ｐ,さっきも言ったけど、助け合いって大事だよなー
モバＰ,こ、このっ……どうすんスかっ！デビューイベントですよ！？先方も確認してこなかったんですか！？
先輩Ｐ,してたなー。でも私の頭の中、TPとNGと美嘉でどう振り分けようかなーっていっぱいだったなー。電話切った後、ん？ってなったなー
モバＰ,あぁ、もう……普段完璧だから文句言い難いなぁ。ちなみに、どことどこですか？
先輩Ｐ,仙台と広島
モバＰ,見事に逆ですね。仕方ないから、時子さん、それと拓海と巴のユニットと分けましょう。先輩どっちか付いて下さいよ
先輩Ｐ,もちろんっ！助け合い助け合いっ！きゃはっ
モバＰ,だから、絶望的にかわいくなッイ！？
先輩Ｐ,二度目は許さん……ｳｫｫ
拓海,すげぇパチキだな……
巴,なぁＰ。うち、どうせなら広島がええのう。親父達に晴れ舞台見せちゃりたいんじゃ。あんなぁら、地元離れて応援しに来るゆうんも、色々難しいけんのう。良い機会じゃ
拓海,アタシも広島がいいな！バッドボーイズの舞台じゃねぇか！八丁左回り見てぇ！○忠でうどん食いてぇ！
巴,八丁左回りは親父達の時代じゃのう……丸○はまだあるけど
モバＰ,ｫｫｫ……およそ人間の頭じゃねぇ…………ｩｩえ～と、そうだな。お前らは広島、時子さんは仙台でいいだろ。って、時子さんは？
みく,あっちでくるみちゃん達を見下ろしてるにゃ。手で鞭の端っこビョンビョンしながら
卯月,くるみちゃんは気持ちよさそうに寝てるけど、杏ちゃん脂汗かいてるね
モバＰ,起きてるな、ありゃ。そのままくるみの盾に……じゃなくて、時子さんデビューイベント仙台でお願いします。どっちかというと仙台のほうがでかいんで、プレッシャーかかるかもしれませんが
時子,はっ。そんなもの関係ないわ。すぐに皆、私の下僕になるんだから。アーッハッハッハ！！
モバＰ,……うい。それじゃ、先輩どっち行きます？
先輩Ｐ,それはお前が決めな。頭痛ぇ
モバＰ,自分の所為でしょーが。そうだな……
凛,広島に行こう。仙台は嫌な波動がする
加蓮,だね。私にとって脅威な何かが存在してる。ね、広島にしよ
奈緒,広島もちょっと嫌な感じがせんでもないけど、仙台は駄目だ。な？広島でいいだろ？
モバＰ,うお、急にどうした？電波受信したか？まぁ、いいけど……お前らはこっちで仕事だからな？
トライアド,え？嫌だよ？一緒に行くよ？
先輩Ｐ,じゃあ私が仙台だな。お前達あんまふざけた事言ってると、マストレさんに地獄の特訓割り増しでお願いするからな
トライアド,ほんと、ごめんなさい
巴,ここにいる人みんなパンチ効いとるのう……
ちひろ,私は普通ですよ
乃々,謎の栄養ドリンク売りつけてるんですけど……
巴,ちヒロポン……
ちひろ,失礼すぎるっ！
拓海,おいＰ！急げっギリギリだぞ！
モバＰ,ああ、大丈夫だから先に巴と席ついとけ。車内で食べる駅弁は格別なんだよなぁ……おっと、発車メロディーか。おばちゃん、これ丁度ね。よし急……
和久井留美,美優何してるのっ。もう閉まるわよ！
三船美優,あぁ……財布、どこ……あぅ、ごめんなさい、すぐ出します。あぁ、時間が……
モバＰ,おばちゃん！これ、この人の分ね！釣りはとっといてっ！手、失礼します。あの新幹線ですよね？走りますよ
美優,ひゃっ！あ、あの……そうですけど、ひゃあ！
モバＰ,ぃよいしょ！……ふぅ。結構危なかったな。あ、手のほう失礼しました。間に合ってよかったですね、それじゃ
美優,あ、あ、あの……行っちゃった……
留美,もう、びっくりしたじゃない。間に合わないと思って私一回出ちゃってたわよ。で、今の人は？
美優,あ、留美さん。ごめんなさい。財布が見当たらなくて、それで……あっお金！
留美,大体わかったわ。とりあえず荷物を席に置いて、それから探しましょう
美優,はい……
巴,ほんま、危なっかしいのう。まあ間に合うて良かったわ
モバＰ,悪い悪い。ほら、駅弁って少年心が疼くっていうか……わかる？
拓海,わっかんねーよ。アタシこのもも焼き弁当なっ
モバＰ,あ、おまえ……まったく……巴は？
巴,ほいじゃあ……ってこれ全部同じ弁当じゃ
モバＰ,ふはは、みんなおそろいってことで
拓海,率先して取ったアタシ馬鹿みてぇじゃねーか……
美優,え～と、この席……あっ！
留美,あら、隣だったのね。探す手間が省けたわね
モバＰ,？……あぁ！さっきの
美優,あ、あの、先ほどは助けて頂いて有難うございましたっ
モバＰ,いえいえ、頭上げてください。俺も格好つける事が出来て、結構悦に浸れましたから。逆にありがとうございます
留美,ふふ、謙虚な人ね。それで、連れが立て替えてもらってたみたいなんですけど
美優,そ、そうです！すいません、すぐお返しします！
モバＰ,う～ん、ここでお金貰ってしまうと格好がつかなくなってしまうので、俺を助けると思って奢られといてください
美優,え、でも……
巴,何があったかは知らんけど、ここはＰの顔立ててくれんかのう？男が女から金を受け取るのはふうが悪いけぇ
拓海,そうそう、ナンパな奴じゃないから安心しな
モバＰ,代わりと言っちゃなんですが、アイドルやってみません？お二人とも尋常じゃなく美人ですし、トップいけますよ！
拓海,オイ！シメるぞテメェ！！アタシのフォローもクソもねぇだろうが！
巴,はぁ……ＰはやっぱＰじゃのぉ……
美優,あ、あの……
留美,美優、ここまで言って下さってるんだからお言葉に甘えなさい。おどけてるけど、意思は固そうよ
モバＰ,はは、そうですよ。けど、アイドルに関しては本気なので、もし少しでも興味がありましたらこちらに連絡を
留美,あら、本当に芸能関係者なのね。アイドルって歳でもないし……でも、この名刺はありがたく頂きますわ
モバＰ,お、これは脈ありと考えても？
留美,……私、最近仕事やめちゃって再就職先をさがしてるんです。いざという時は口ぞえの方よろしくお願いしますね？ふふ
モバＰ,……うちは社員の中途採用ないですよ？ですが、アイドルなら一発合格です。ふふ
留美,えっと、Ｐ……さん？でいいですか？
モバＰ,ええ、敬語もさん付けもいいですよ
留美,あらそう、じゃあＰくん。私結構いい所に勤めてたんだけど、それ考慮されないのかしら
モバＰ,え？どうなんでしょう……
留美,なんて、冗談よ。でもＰ君とだったら楽しく働けそうね
モバＰ,じゃあアイドルですね
留美,ふふ
モバＰ,ふふ
美優,なんか、置いてけぼりに……
モバＰ,う～ん！やっと着いたな、広島
留美,目的地が一緒で良かったわ。道中楽しかった。向井さん達、デビューイベント頑張ってね
拓海,おう！和久井の姉御も気の乗らない見合いなんてちゃちゃっと終わらして、美優さんの観光旅行楽しんでなっ！
巴,広島出身者として、広島の魅力存分に叩き込んでやってくれのう。虜になるはずじゃあ
留美,ふふ、そうね頑張るわ
美優,あの、改めて有難うございました。旅行の出だしが最悪なものから、最高なものになりました
モバＰ,いえいえ、広島楽しんでくださいね
美優,はいっ！
留美,それじゃ、また機会があったら
美優,失礼します
モバＰ,よい旅を！
拓海,またなぁ！
巴,ほいじゃあの！
モバＰ,よし、それじゃあ俺達も行くか。まずタクシー拾ってホテルで荷物降ろして、リハ……ん？
黒服,お嬢！お疲れ様です。迎えに上がりやした
巴,はぁ……すまん、うちのもんじゃ。いらんゆーたじゃろうが！わりゃ目立つんじゃ！
黒服,しかし親父の申しつけである以上、手前も引けんのです。理解してくだせぇ
巴,ぬぅ……
拓海,なぁ、あの人ＴＨＥ任侠って感じだなっ。たぶんマサって名前だぜ
モバＰ,……頼むからいらん事言うなよ。礼儀だけはちゃんとしてくれよ
拓海,わーってるよ。でもマサさん絶対いい人だぜ？オーラが違ぇ
モバＰ,そうかもしれんが、マサって名前では絶対ない
巴,仕方ないのぅ。Ｐ、たちまち家の車でええか？一旦うちに寄るが
モバＰ,っおう……どっちにしろあいさつに行こうと思ってたから、渡りに船だ
巴,ほうか、すまんの。それじゃマサ、案内頼む
モバＰ,んひゅっ
黒服,何か？
モバＰ,い、いえ……すいません
拓海,礼儀だけはちゃんとしようぜ
黒服,ちなみに、自分はマサって名前じゃありやせん
モバＰ,巴っおまっ……聞こえて
巴,くくくっ
モバＰ,リハ普通にこなしてたな。もう少し硬くなると思ったけど
拓海,意外に緊張しねぇモンだな。体が軽かったぜ
巴,姉御、躍動しとったのう。うちも負けとれんわ
モバＰ,頼もしいな。お客さん入るとまた違うけど、そこまで心配いらないかな？っと、もう巴の家か。すいません、一旦降ります
巴,ほんまに泊まっていかんのか？親父とも打ち解けとったじゃろが。遠慮せんでええんよ？
モバＰ,ありがたいけど、アイドルの家に泊まるなんて絶対しちゃいけないことだから
巴,……ほうか。うちも明日からアイドルじゃけぇ、自覚せんといけんの
モバＰ,あぁ。あと拓海、お泊りだからってテンション上げて夜更かしすんなよ？
拓海,ガキ扱いすんじゃねぇ！シメんぞっ！
モバＰ,ははっ、それじゃ、明日朝また迎えにくるから……って、タクシー居なくなっとる！？
拓海,個人タクシーだったしなぁ。この家見てビビっちまったか？
巴,……うちの若いのに送らせる
モバＰ,いや、いいよ。ホテルまで意外に近いし、観光がてら歩くのもいいだろ。んじゃ、また明日な
拓海,おぅ、Ｐも寝坊すんじゃねーぞ！
巴,気ぃ付けぇの！
モバＰ,せっかくだし、晩飯お好み焼き食おうかなぁ……あれ？
美優,あ……あ、あ…………
黒服,むぅ……
モバＰ,美優さん？
美優,ぁ……っ！
モバＰ,うおっ！めっちゃ小動物みたい！って、そんな袖引っ張られたら伸びちゃう！
美優,ぅぅ……
モバＰ,えっと、マサさ……うぅん！何かあったんですか？
黒服,いえ、その嬢ちゃんがここらをウロウロしておりやして。念の為、不穏な輩やないか確かめとったんです
モバＰ,そうですか。この人の身元は僕が保証します。解放してもらってもいいですか？
黒服,あぁ、そんな大袈裟にするつもりやなかったんです。すんません、逆に助かりました
モバＰ,ほっ……良かった。美優さん、一人なんですか？なんでこんな所に
美優,留美さんのお見合いがここら辺で……そろそろ、終わるからって……でも迷っちゃって……ぅぅ
モバＰ,大丈夫ですよ～。はい、深呼吸す～は～
美優,す～は～……あの、料亭を探してまして……ふぅふぅ
黒服,だいぶ怖がらせてしまったようですね。その料亭に心当たりがございやす。お詫びと言っちゃぁなんですが、案内させてもらいやす
モバＰ,そうしてもらいましょう。俺も付き添うんで
美優,はい……
モバＰ,役得だ、これ
黒服,ここがその料亭だと……
留美,いい加減にしてっ！もう帰るって言ってるでしょ！
男,そがいなこと言わんと、この席作ってくれたもんの顔もあるじゃろ。もうちょびっとおろうや
留美,何言ってるかわかんない！
男,……そんなこと言わないで？この見合いのせってぃんぐ？してくれた人の面目もあるでしょ？もうちょっと居て？
留美,いちいち言い直さないで！自信なさ気なのも腹立つわ！あと、ここに来ただけでも義理は果たしたわ。元々お見合いなんてする気なかったんだから！
男,後生じゃ！こがぁないい女、この先出会えんのわかっとんのじゃ！幸せにしちゃるけぇ！苦労させんけぇ！一緒になってくれぇ！
留美,しつこい！嘘つきに信用なんてないのよ！なにが銀行員よ！ただのチンピラじゃない！
男,金融って意味では……
モバＰ,あの……
留美,！？ごめんなさいね。彼氏が迎えにきたわ。もう会うことはないでしょうけど、あなたの幸せを願ってるわ
モバＰ,嘘つきに信用はないんじゃ……いてっ！
留美,空気読みなさいっ
男,なんじゃわりゃ！なに女くっつけてしゃしゃり出てきとんの……
黒服,おい
男,あ、あにき……
黒服,何みっともねぇ醜態晒しとんのや。この方はお嬢の客人やぞ
男,え！？
黒服,あと金融がどうとか言っとったな。お前にそんなしのぎ任した覚えはないぞ
男,い、いや……その……
黒服,……モバＰさん。すんまへん。今からこいつ教育しますんでこれで失礼します
モバＰ,いえ、助かりました。その……お手柔らかに……
黒服,そこのお嬢さん。こいつとはもう面合わせんようにするんで、安心してくだせぇ。おら、行くぞ
男,
留美,もう！父さんも母さんも、良い様に騙されちゃって！すぐに帰っちゃうし！もう、もうっ！！
モバＰ,留美さん、落ち着いて。駄々っ子みたいになってますよ
留美,んふ～んふ～……ふぅ。……そうね、ごめんなさいＰ君。それと助かったわ。ありがとう
モバＰ,俺何もしてないんですが……とりあえず良かったです
留美,美優もごめんなさいね。一時間くらいでパパっと終わらせるって言ってたのに
美優,いえ……留美さんに何事もなくて、良かったです……
留美,………………それで、なんでＰ君がここに？仲良く腕組んだりして
美優,あっ！？ごめんなさいっ！これはその……
モバＰ,ありゃ、残念。俺から説明しますよ。さっきですね―――
留美,なるほど。美優改めてごめんなさい。怖い思いさせたわね
美優,いえ、Ｐさんが助けてくれたので……平気です
モバＰ,ん～？あれ、助けたうちに入るのかな……まぁいいか。それじゃ俺もう行きますね
留美,あら、もう行くの？つれないわね
美優,そ、そうですよ。何かお礼もしたいですし……
モバＰ,お礼って、まいったな……う～ん、じゃあ晩飯食いに行くとこだったので、付き合ってくれません？って留美さん料亭にいたんだ……
留美,何も口に入れてないから大丈夫よ。元々予定では美優とディナーに行くことになってたから、丁度いいわね。どこのお店に行こうとしてたの？
モバＰ,ディ、ディナーッスか。どこって訳ではないですけど、お好み焼きを……
留美,なら、おいしいお店知ってるわ。地元民ならではの隠れた名店よ。美優もそれでいい？
美優,はいっ！ぜひご一緒に……
モバＰ,えっと、いいんですか？ディナーは……
留美,……そうね。美優も観光に来てるんだし、私が食べさせて上げたいのよ。……これでどう？
モバＰ,はは、言う事ないです。お供させて下さい
留美,よろしい。じゃ、行きましょう
美優,あ、あれ？Ｐさんが私達に付き合う感じに……あぁ、待って下さいっ
モバＰ,昨日のお好み焼き美味かったなぁ……
拓海,ズリィよな。アタシも食いたかった……食いたかった！
モバＰ,そんな事言われてもな。○忠に連れて行ってもらったんだろ？
拓海,アタシは欲しがりなんだよっ！
モバＰ,ほう……
拓海,イヤラシイこと想像してんじゃネーよ！Ｐのゲス顔！！
モバＰ,おおぅ……また……
巴,余裕あるのぅ。流石に緊張してきたで……
モバＰ,そんな時は、時子さんになりきるんだ。この私を下僕共が待ってるわ、アーッハッハッハ！！ってな
巴,ふはっ、なんじゃそりゃ。まあそうじゃの。ビビッてもしゃーないし……よっしゃ、もう大丈夫じゃ！
モバＰ,おしっ！それでいい。贔屓目なしで他の出演者よりお前らのほうが秀でてると思う。自身持て
拓海,ッたりーめだろ！今日デビューの小娘達にアタシ達が負けてるわけないだろ！
モバＰ,うん、自分も今日デビューってこと忘れるなよ？しっかり顔と名前覚えて貰って来い。よしっ時間だ、行ってこい！
拓海・巴,応っ！
モバＰ,……漢らしいな。ん？先輩？。パイセンっスか？どうしたんです？。今スタンバイ中ですよ。時子さんは？。……それがナチュラルな時子さんです。そうですか。良かった。安心しました。ははっ実はもうスカウトしてみたんですけど、駄目でした。そこら辺は流石ですよね。あ、もうステージ始まるんで切りますね。はい、失礼します。よっし！拓海、巴！頑張れ！！
巴,おい、Ｐ！もう始まっとる！姉御も早よぅ！
拓海,すげぇ、テンション上がってんな。疲れてねぇのか？
巴,そんなもん吹き飛んだわい！今年の広島は調子ええけぇの！楽しくてしょうがないんじゃ！
モバＰ,時間の関係とか疲労とかでどうだろうって思ってたけど、チケット買っといて良かった。頑張ったご褒美になったかな
拓海,あの笑顔見たら答えは出てんだろ。アタシも一回は生でプロ野球見てみたかったから、まあ……その、ありがとよ……
モバＰ,やべっ……今、たくみんにキュンときちゃった。たくみんスマイル☆にやられちゃった
拓海,うるせえバカ！……バカっ！
巴,二人で何イチャついとんのじゃ！もう三回の表じゃ！はよはよ！！
拓海,イチャ！？ちょっ、待てっ！そんなんじゃないからな！おいコラっ待てって！
モバＰ,二人共俺トイレ行ってくるから……って、聞いちゃいねぇ
拓海,ったく、どんだけ早く見てぇんだよ。……おお、内野席って案外近くで見れるんだな！
巴,そうじゃろ。その分ファールには気ぃ付けんといけんが。……三塁側はやっぱりキャッツファンが多いの。まぁええわ。席はあそこじゃの
合法口リ,広島まで応援に来たんだよー！勝たないと許さないんだから！男になれーかっとばせー！ぷはぁ
拓海,おいおい、あの子供堂々とビール飲んでるぞ……
巴,ちょっと前失礼するの
留美,ええ、あら？
拓海,おおっ和久井の姉御じゃねぇか！美優さんもすげぇ偶然だなっ！
巴,ほんま、すごいのう。この球場三万人以上入るんじゃけど、会う時は会うもんじゃのう
留美,そうね。ここまで偶然出会うと、乙女な思考になってしまいそうよ
拓海,乙女？なんだそれ
合法口リ,あぁ！追い込まれた！このチャンスものに出来ないと、乙女って呼ぶよー！ぷはぁ
留美,ふふ、なんでもないわ。ちなみにあの子、成人らしいわ。売り子が確認してたから。ちょっとしたファンタジーよね
巴,うちと一緒くらいかと思ったわ
美優,あ、あの……Ｐさんは
拓海,そういやトイレがどうとか言ってたような……っと、座らんと邪魔だな
巴,うちが端で姉御がその隣じゃな
美優,あ、じゃあ……私の隣……
モバＰ,え～と……お、いたいた。あの空いてる席が俺か。すいません、前の方失礼しま
拓海,姉御危ねぇ！
留美,キャア！
モバＰ,ぅん！？。当たってから言われても……か、肩が……パイセンの肩パンぐらいやべぇ……
巴,Ｐ！グッジョブじゃ！！
留美,Ｐ君！大丈夫！？ああ、蹲って……どうしたら……
モバＰ,あれ？留美さん？ああ、ごめんなさい。とりあえず席に行きます。美優さん、前
拓海,美優さんっ！
美優,ひゃあ！
モバＰ,んふんっ！？。ひゅ～ひゅ～、背中は……肺の空気がもってかれ……ご注意してなかった結果がこれですよ……こひゅ～
巴,Ｐ！ファインセーブじゃ！！
美優,Ｐさん！ＰさんＰさん！！しっかりして下さい！だ、誰かっ
モバＰ,だ、大丈夫です。こういうの慣れてますから。しばらく安静にしとけば……先輩？。なん。……
美優,あの……Ｐさん？本当に大丈夫ですか？
モバＰ,ええ。ちょっとアドレナリンが良い感じに出たので、痛みが無くなりました
美優,そ、そうですか
モバＰ,あの、もう本当に大丈夫ですから。そんなに擦らなくても……留美さん、なんとかして下さい
留美,そんなに照れなくてもいいじゃない。後で私も擦ってあげるわ
モバＰ,ありがたいんですけど、流石に恥ずかしいですよ
美優,……三度目ですね。こうして、また……
