モバP(以下、P),さて、用も済んだし事務所に戻るか
桃華,今までこういったお召し物を履いた事がなかったので新鮮な気持ちですわ
店員A,桃華ちゃん脚綺麗だからショーパンが映えるね
唯,わわっ、マジで桃華ちゃん脚綺麗だね！
桃華,そ、そんなまじまじと見ないで下さい！///
唯,今日はあんがとね☆
桃華,ありがとうございました
女子A,また遊び来てねー♪
唯,いい買い物だったね～☆桃華ちゃん似合ってるよ♪
桃華,ありがとうございます♪ですが慣れてないものなので少しソワソワしますわね
唯,その内慣れるから大丈夫！じゃあ次はゆい行きつけのお店に行こっか☆
桃華,唯さんの行きつけ・・・？
唯,何か新しいのあるかな～？
桃華,キャンディショップなんて唯さんらしいですわ
唯,原宿来た時には絶対寄るんだ♪
店員A,唯ちゃーん
唯,あ、できたー？
桃華,？
唯,ここのお店の名物！じゃーん☆
桃華,まぁ！？これは・・・わたあめ？
唯,レインボーわたあめ！どうどう？スゴイっしょ～♪
桃華,えぇ。色鮮やかでとても可愛らしいですわね！
唯,はい、これ桃華ちゃんの分ね！
桃華,こ、これを・・・？結構大きいのですね。食べきれるでしょうか
唯,わたあめだしイケるイケる！ん～！おいちぃー☆
桃華,はむっ・・・・んっ！？美味しい・・・！
唯,でしょー♪
店員B,いらっしゃい。唯ちゃん来てたんだね！あ、そうそう私今度握手会行くからヨロシク～
唯,マジ！？待ってるよ～☆
女子C,あれー！？唯じゃん！この前のCD買ってやったぞ～
唯,サンキュー！ちゃんとヘビロテしてね～
桃華,・・・。・・・さすがホームと言われるだけありますわね
唯,ん？なに？
桃華,いえ、こんなにもたくさんの方が唯さんに注目していて・・・さすがは唯さんだと思いまして
唯,・・・。んー、確かにここには友達もたくさんいるし、声をかけられることもあるけど・・・今日はちょっと違うと思うなー
桃華,？
唯,おーっ☆竹下に来てたんだ～。大正解～♪
桃華,えっと・・・
唯,あ、ゴメンね！この二人は学校のトモダチ☆
桃華,そうでしたのね
友A,えっとこの娘は・・・
桃華,櫻井桃華と申します
友B,えっ、桃華ちゃんってお嬢様アイドルの！？雰囲気違くない！？
唯,今日の桃華ちゃんは原宿ガールだからね♪
桃華,そんなにわたくし普段と違いますか？
友B,うん！だって髪型も服装も普段と全然違うんだもん！
友A,はは～ん、じゃあ例のウワサは桃華ちゃんだったのか
桃華,うわさ？
友B,唯ちゃんと謎の金髪美少女が一緒に歩いてるって竹下で今軽くウワサになってるよ
桃華,わ、わたくしがですか！？
唯,やっぱし？そんな気がしてたんだよね～
桃華,唯さんは気づいてましたの？
唯,だっていつもと周りの雰囲気が違うな～って思ったもん！みんな桃華ちゃんを見に来てたんだね☆
桃華,！
友A,唯目当ても勿論いるけど、今回は唯と仲良さげに歩く謎の美少女にみんな興味津々みたいよ？
唯,謎の美少女だって！なんかカッコいい～☆
桃華,そう言われるとなんだか急に恥ずかしくなってきましたわ・・・///
唯・桃華,？
唯,あ、おひさー☆
桃華,ど、どちら様ですか・・・？
唯,ギャル系モデル事務所の女性スカウトマンさん♪
桃華,本当に唯さんはお知り合いが多いんですのね・・・
女子B,ウワサ聞いて来たんでしょー？
スカウトマン,たまたまコッチ来てたら周りで噂になってたから！ねぇ唯ちゃん、そんなカワイイお友達がいるんだったら私に紹介してよ～！
唯,ざーんねん！もう346に所属してるからダメだよ～？
スカウトマン,346って・・・この娘アイドルなの！？
桃華,あ、あの・・・櫻井桃華と申します
スカウトマン,櫻井桃華・・・・・え、あの桃華ちゃん！？。まるで別人じゃない！こんなにも変わるの！？
友B,ビックリするよねー
唯,そーゆー事だからゴメンね☆
スカウトマン,～～～～っ！！も、桃華ちゃん！もし良かったらウチの事務所に遊びに来てみない？
桃華,えっ・・・？いえ、わたくしは・・・
スカウトマン,いやいや！？ウチの事務所に入れってわけじゃないのよ！ただ桃華ちゃんと年の近い娘がウチにはたくさんいるからお友達になれるんじゃないかなぁ～って！
桃華,ですが・・・
スカウトマン,すぐ近くだから！ね！？
唯,ちょっと～、桃華ちゃん引き抜こうとしてるっしょー
スカウトマン,してないしてない！ちょーっとだけ！ね！？ね！？
唯,とにかくダーメ！これ以上しつこくするとPちゃんに言いつけちゃうよ～？
スカウトマン,！？。あ、あはは・・・！もう唯ちゃんったら～！冗談よ冗談！
唯,ホント～？
スカウトマン,本当本当！あ、そろそろ事務所戻らないと！じゃあまたね～♪
唯,もうっ・・・ゴメンね桃華ちゃん、悪い人じゃないんだよ？
桃華,え、えぇ・・・。・・・。あの方、Pちゃまの名前を出したら怖がられていたようでしたが・・・Pちゃまとはどういったご関係ですの？
唯,ん～、よく分からないけどPちゃんの名前って業界では結構有名なんだってー
桃華,・・・普段優しいPちゃまにも大人同士にしか見せない意外な一面があるという事ですのね
唯,いやー、ただ何かしら誤解されてるだけだと思うけどね。Pちゃんの事だし☆
桃華,あら、もうこんな時間・・・
唯,ホントだ！楽しい時間はあっという間だね☆
桃華,えぇ、本当に・・・あれもこれも初めての事ばかりで今日はとても充実した一日でしたわ。それにお友達もたくさんできましたし
唯,今日一日で桃華ちゃんすっかり原宿に馴染んでたもんね♪
桃華,それも全部唯さんのおかげですわね♪ありがとうございました
唯,えへへー、そう言われるとナンカ照れちゃうな～///
桃華,では一旦事務所に・・・
唯,・・・あ、そうだ！もう一つだけやりたい事あったんだ！
桃華,？
唯,イエーイ♪
桃華,これが噂のプリクラ・・・！
唯,桃華ちゃんの初原宿記念に撮っとかないとね☆。ホラ桃華ちゃん！投げキッス～♪
桃華,わたくしもするのですか！？
唯,早く早く～！撮られちゃうよ！
桃華,っ！///
唯,桃華ちゃんの投げキッスカワイイ～♪
桃華,か、からかわないで下さい！///。～～～っ！///もうこうなったらヤケですわ！とことんやりますわよ！
唯,おー、乗って来たね！？
桃華,こ、こんなポーズはどうでしょうか！？
唯,イイね～！どんどんやっちゃおー☆
桃華,―――これがその時のプリクラですのよ♪
みりあ,わぁ～！二人とも可愛い～♪
千枝,桃華ちゃんのお洋服もとっても似合ってるね
莉嘉,いいな～、アタシも一緒にプリクラ撮りたかった～。そうだ、今度みんなでプリクラ撮りに行かない！？
みりあ,みりあ行きたーい！
桃華,楽しそうですわね♪
千枝,千枝達だけで行ってもいいのかな？
莉嘉,保護者役でお姉ちゃんに頼んでみよっか☆
ちひろ,プロデューサーさん、ちょっとよろしいですか？
P,はい？
ちひろ,ネットに掲載されている人気芸能人ランキングなんですけど、この原宿エリアの所・・・
P,ん？おー、相変わらず美嘉と唯は上位にいますね！
ちひろ,いえ、そうでなくてもう少し下の方
P,下の方？。・・・なんで？
これをきっかけに大槻唯と櫻井桃華のユニットが結成される事になり,親和性がヤバい
桃華,・・・
P,。・・・。
桃華,！
P,？。・・・
桃華,・・・
P,
桃華,！
P,・・・
桃華,
P,桃華？
桃華,きゃっ！？
P,さっきから何してるんだ？
桃華,あ、あの・・・実は・・・
P,俺が同業者から恐れられてる？
桃華,わたくしはPちゃまがそんなお方だとは思っていません！ですが・・・
P,あー・・・もしかしてアレかぁ？
桃華,？
P,以前同業者の人と飲む機会があった時に、俺が所属アイドル全員のプロデュース兼マネージャーをしているって話をしたんだよ。そしたら346のプロデューサーは化け物だとかヤバい薬やってるだとか、終いには346で開発された人造人間なんて噂を流された事があってさ
桃華,なんだ・・・そういうことでしたのね
P,失礼な話だよな。200人くらい頑張れば何とかなるってのにさ
桃華,・・・。
P,な、何だよ・・・ほっぺなんか触って
桃華,本当に人造人間だったりなんてことは・・・
P,ないよ！
モバP,人の言葉が話せるようになるライト？
