怪談,かいだん
綾波,でも行ってもすることがないわ
カヲル,使徒は全部倒したから定期起動実験以外では呼ばれないしね。何よりこの炎天下の中、ネルフまで歩いていくのかい？
マリ,うぇ、歩くのパース。わんこくんおぶってくれるならいいけど
シンジ,なにその苦行
アスカ,夏・・スイカ・・花火・・祭り
綾波,碇君、セカンドが何か呟いてるわ
シンジ,なんか嫌な予感がする
アスカ,肝試し・・怪談・・・そう!怪談よ怪談!
マリ,怪談？
アスカ,昨日テレビでやってたわ。夏の暑い日には日本人は肝を冷やして涼を感じるって
シンジ,昨日は特番で心霊番組のスペシャル見てたもんねアスカ
アスカ,みんなで恐い話をして暑さをぶっ飛ばすのよ!
カヲル,怖い話、か
マリ,面白そうじゃん♪やろーやろー
綾波,碇君、どうするの？
シンジ,うーん・・まあいいんじゃないかな
アスカ,んじゃ決まりね!。そうと決まれば・・・
ミサト,ビールぇビールぇビールぇビールぇビールぇ
リツコ,いい加減にしなさいミサト。暑いのは皆一緒よ
ミサト,だってぇー!!節電でクーラー切るとか普通する!？
リツコ,それだけ日本は切迫詰まってるのよ
ミサト,キンッキンに冷えたビール飲みてぇー!
リツコ,黙りなさいアル中。それに良いことじゃない、地球にも経済にも優しいエコライフ
ミサト,ほんっとリツコは優等生だこと
リツコ,携帯鳴ってるわよ
ミサト,ん。アスカ？。はーいはーい。はぁ？急にどうしたのよ。ふんふん。あら、面白そうじゃない。ま、いっか。ただ気をつけてくるのよ。夕御飯も食べてきてね
リツコ,何だって？
ミサト,いやぁ中学生って青春だわ
リツコ,はぁ？
ミサト,あ、リツコも夜暇でしょ？実はねーーー
シンジ,・・・
綾波,りんごジュース美味しい
カヲル,ふふ、賑やかだね
マリ,ふぁー
アスカ,・・・ねぇミサト
ミサト,なーに？アスカ
アスカ,なんでみんないるのよ!
ミサト,人は多い方がいいでしょ？
青葉,なんか学生時代思い出さないか？
日向,よくやったよ。懐かしいなぁ
マヤ,先輩!わくわくしますね
リツコ,まあ、こういう息抜きも必要・・・かしら？
加持,童心に帰るってのもいいじゃないかリっちゃん
冬月,碇、話の準備は出来てるのか？
ゲンドウ,問題ない
アスカ,仮に他は良いとしても
ゲンドウ,・・・
アスカ,司令と副司令までいるわよっ!？
ミサト,・・仕方なかったのよ。本当は隠れてやろうと思ってたけどリツコの奴、司令にばらしたから
アスカ,はぁ!？。シンジの顔見なさいよ!彼女とデートしてたら昔の彼女に偶然逢って気まずいような顔してるわよ
ミサト,何よその例え
アスカ,うっさい!
ミサト,それに。夜に思春期の子どもをほったらかしにしたら赤ちゃん作っちゃうかもしんないしねー
アスカ,なっ・・///
ミサト,そんなにシンちゃんとくっつきたいの
アスカ,うっ、うっさい!ちがうわよ///!
ミサト,へー
アスカ,。こんな時だけ保護者面して・・メタボビール三十路女
ミサト,。アスカ。あなた来月分と再来月分の小遣いなしだから
アスカ,はぁ!？
冬月,さて、そろそろ始めるとするか碇
ゲンドウ,ああ
冬月,皆いいかね。まず集まってくれて有難う。何かと忙しいと思うが今日はこの機会にレクリエーションと親睦、チルドレン達の要望も兼ねて。百物語をする。実際、百話も話たら時間が足りないので順番に人数分だけ話していく
シンジ,は、話が大きくなってるね
マリ,まあまあわんこくん
冬月,しかし、ただ話すだけではつまらないだろう。こんな物を用意した。尚、最後に誰の話が一番恐く涼しさを感じさせたのか決める。そして一番恐い話をした者には特典を用意させて貰った。各自、特典目指して頑張ってくれ。最後に碇
ゲンドウ,ああ・・・諸君。普段、会話をしない者をよく知るチャンスだと思い積極的にコミュニケーションを取るように。・・・
ミサト,(うわぁ・・シンちゃんガン見してる)
冬月,全員好きな場所に座ってくれ
マリ,私わんこくんの隣もっーらい!
アスカ,あっコネメガネ!
綾波,ずるい。交換を要求するわ
カヲル,僕はシンジ君の膝でも構わないよ
アスカ,ほんっとホモアンタまじで殴るわよ？
ゲンドウ,・・・
シンジ,と、父さん？
リツコ,ちゃっかりシンジ君の横座ったわよ司令
ミサト,関係修復に必死なんじゃない
冬月,ふむ。全員座ったな？。それではシンジ君から左に順番に話していこうか。最後は碇お前だ。雰囲気を出す為に電気は消すから蝋燭に火を点けて話終えたら吹き消してくれ
シンジ,え、僕からですか？
マリ,わんこくんふぁいとー♪
アスカ,バカシンジの話なんて怖くないだろうけど聞いてあげるからさっさと話しなさい
綾波,期待してるから碇君
カヲル,どんな怪談なのか楽しみだよ
ミサト,トップバッターは肝心よ!
ゲンドウ,・・・
シンジ,・・あんまり期待しないで下さいね
加持,それじゃ電気消すぞ
シンジ,えっと、この話は僕が小学生の時に体験した話です
加持,お、体験談か
シンジ,はい
マヤ,あんまり怖くないといいなぁ・・
シンジ,それじゃ話しますね。ーーーーこれで終わりです
アスカ,・・・
綾波,・・・
ゲンドウ,・・・
冬月,ふむ
シンジ,え、なんですか。皆黙らないで下さいよ
マリ,いやぁ、わんこくんさハードルめっちゃ上げ過ぎ
日向,普通にびびったよ
青葉,俺も
加持,確かに怖かったな
ミサト,雰囲気もでてたしねー
リツコ,・・シンジ君、本当に貴方の体験談なの？
マヤ,きゃ、脚色してるよね？
アスカ,そ、そーよ。バカシンジ正直に言いなさい
シンジ,いや、本当だよ!。だって僕さっき話したみよちゃんと同じ幼稚園だったんだから
アスカ,・・・え
シンジ,最近、知ったんだけど幼稚園の卒園式に配られたアルバムを見て気づいたんだ。みよちゃんの写真と名前があったから。もしかしたら、おねえちゃんは昔から僕を知ってたのかもしれない。それで遊んでくれたのかなって
ミサト,(余計、怖いわ)
シンジ,いや、シーンってするのやめてって!。だって僕さっき話したみよちゃんと同じ幼稚園だったんだから
アスカ,・・・え
シンジ,最近、知ったんだけど幼稚園の卒園式に配られたアルバムを見て気づいたんだ。みよちゃんの写真と名前があったから。もしかしたら、おねえちゃんは昔から僕を知ってたのかもしれない。それで遊んでくれたのかなって
ミサト,(余計、怖いわ)
シンジ,いや、シーンってするのやめてって!
カヲル,ふふふ。僕はシンジ君の怪談面白かったよ
シンジ,ありがとう、カヲルくん
冬月,それでは次に行くとしようか。シンジ君、火を消してくれんかね？
シンジ,あ、はい
マリ,次わたしかぁ。んじゃ!まっいっちょ話すとしましょうか
アスカ,(コネメガネなら大丈夫よね)
カヲル,期待してるよ
日向,盛り上がってきたなぁ
リツコ,私も何を話すかちゃんと決めないと不味そうね
マリ,これは私がまだイギリスにいた頃の話なんだけどね。ーーーーおしまい!。どっだった？
アスカ,・・普通に怖いじゃない。アンタいつもはそーゆキャラじゃないくせに!
綾波,油断してた・・
マヤ,と、途中まで凄い良い話だったのに
カヲル,ふぅ
青葉,やばい・・思った以上にレベル高いぞ
リツコ,勘弁して欲しいわね
マリ,にゃにこの言われよう
シンジ,でも怖かったけどマリは話すの上手だね。引き込まれたよ
ゲンドウ,・・・
マリ,わんこくんはやさしー♪お姉さんと結婚しよ!
シンジ,へ!？
アスカ,コネメガネ。アンタマジでほんっともう殴っていい？
冬月,さて
シンジ,次はアスカだね
マリ,姫がんばれ!
綾波,わくわく
ゲンドウ,・・・良い流れだ。期待している
日向,どんな話だろ。楽しみですね葛城三佐
ミサト,アスカかぁ。アスカってば子供っぽいとこあるからあの二人に比べたら微妙じゃないかしら
アスカ,(ここでめちゃくちゃ怖い話してシンジをビビらせまくれば・・)
シンジ,？
アスカ,スパアァァキングっ!!
冬月,!？
綾波,？
カヲル,えっ
マリ,す、すぱーきんぐ!？
シンジ,きゅ、急にどうしたの
アスカ,うっさい!!話すわよ!
加持,気合い入ってるな、アスカ
リツコ,何を考えてるのかしら
アスカ,これは７月にヒカリの実家に遊びいった時に体験した話
ゲンドウ,・・・ヒカリ？
シンジ,僕たちの中学の同級生だよ、父さん
アスカ,その日は夏の割には涼しい日だった。ーーー終わりよ
綾波,ちょっと哀しい話ね
シンジ,報われないというか
ミサト,でも怖かったわ!やればできる子だって信じてたわよ
ゲンドウ,おきつねさんか・・興味深い
アスカ,ふっふっふっ。これが実力ってやつね
リツコ,貴女達、どれだけ怪奇現象にあってるの
マヤ,某有名探偵少年並みの遭遇率ですね・・
青葉,うわぁ、またプレッシャーだよ
アスカ,どうよバカシンジ!
シンジ,うーん
アスカ,・・・
シンジ,アスカって優しいよね。委員長を助けようと振り返るなんてほんとすごいよ
アスカ,あっ・・あったり前でしょ!そんなの・・・バカシンジとは違うのよ///
ミサト,わっかりやすー・・
マヤ,顔真っ赤にして照れてますねアスカ
アスカ,(予想とはちょっと違ったけど・・・まっいっか♪)
綾波,。早く蝋燭の火を消してくれる？なんちゃってドイツ人
アスカ,・・・は？
綾波,次私。・・あ、日本語分からないのね。えっと・・・グーテンモーゲン？
アスカ,ぶっ殺すわよこのくそがきゃあああああ!!
綾波,話すわ
アスカ,さっさっと話なさいよ。このリアル市松人形
綾波,・・・五月蝿い。レッドモンキーガール
アスカ,ああ!？
シンジ,あ、アスカと綾波もう喧嘩はダメだよ
マリ,大人げにゃいにゃあ
綾波,・・・さっきから思ってたけどメガネは碇君に近すぎる。ちょっと離れた方がいいわ
アスカ,何ニヤニヤして鼻の下伸ばしてんのよスケベ!
シンジ,えぇー!？
マリ,わんこくぅん・・二人がこわーい
シンジ,わっわっ!ちょっと近すぎですよマリさん///
綾波,
アスカ,
カヲル,ふふ。シンジくんの照れてる姿もいいね
リツコ,痴話喧嘩はいいから早く話なさい
綾波,・・・。ーーーーおわり
アスカ,短いわねー
リツコ,あら、私は良かったわ。簡潔でだらだらせずまとめられた内容じゃない
日向,なんてゆうか・・話の間とか声のトーンも良かったですよね
マリ,前の私たちが長かったからさっぱりしてて良い感じだったにゃ!
シンジ,うん。綾波の声って綺麗だからよく聴こえてくるし
綾波,・・・///。・・・
アスカ,な、なによ
綾波,・・・
アスカ,こっち見んな!
綾波,
アスカ,あ、あんたそんなに褒められて嬉しかったのね
綾波,。
アスカ,・・とりあえず嬉しいのわかったからそのドヤ顔やめなさいよ。踏みつけたくなってきたから
ゲンドウ,・・・
シンジ,綾波とアスカ喧嘩はダメだってば
冬月,(碇の奴め。シンジ君と全く会話出来とらんぞ)。(このままでは職権乱用で用意させた特典の温泉旅行宿泊券で親子の絆を深めよう作戦も失敗に終わる)。(急遽、旅館の予約からチケットの手配までした私の苦労を無駄にするつもりか貴様)。(助け船でもだしてやるか・・)。あー皆すまん。そう言えばどんな特典なのか説明しとらんかったな。特典は温泉旅行の宿泊券だ
ミサト,えっ
日向,ま、マジですか!？
シンジ,そんな高級な特典だったんだ・・
アスカ,ちょっ!？そんな大事なこと何で今ごろ言うのよ!
マリ,ほんとだー!先話した私ら不利じゃんか
綾波,やり直しを要求します。もっと怖い話をするんでさっきの怪談はなかった事にして下さいお願いします
カヲル,必死だね
冬月,そこは安心してくれ。チケットはチルドレン達の事を配慮して保護者同伴を兼ねて３人分ある。だから君たちは選ばれなくても2人だけ特典を当てた大人に指名して貰えれば行けるという訳だ。逆に君達は保護者を一人指定しなければいけないがね
マリ,おぉー
冬月,勿論、当てた大人が必ず子供達を指名しろとは言わん。個人的に活用するのも構わん。・・構わんが!子供達と旅行に行くのも良い経験になると思わんかね？。ネルフの職員としてだけではなく素顔で子供達と接するのは将来にきっと役立つ筈だ。よく考えて!特典を貰った者は有効活用して欲しい
リツコ,露骨な脅しね
ミサト,あれじゃ誘わなかったら何されるかわかったもんじゃないわ
冬月,・・・シンジ君は温泉は好きかね？
シンジ,僕ですか？好きですけど
冬月,!。(碇、今だ!シンジ君と話すチャンスだぞ)
ゲンドウ,(冬月先生・・ありがとうございます)。・・シ、シンジ!
シンジ,ど、どうしたの父さん？
ゲンドウ,私も温泉が好きだ
シンジ,そ、そうなんだ。父さんが温泉好きってなんか意外だね
ゲンドウ,ユイとはよく行った
シンジ,母さんと？
ゲンドウ,ああ。二人で草津のーーー
マヤ,司令とシンジくんいい雰囲気だよね
青葉,普段、会話してるとこ見たとこないから新鮮だしな
日向,あっちは殺気立ってるぞ・・
マリ,リョウジさ特典の宿泊券なんだけど貰えたら私とわんこくん指名してくれるよね？
加持,裏工作かマリ。あんまり関心しないぞ
マリ,ねぇー葛城三佐ぁー。ユーロ支部にいたときねーリョウジがオペレーターの女の人にねぇー
加持,はははは♪マリは交渉が上手だなぁ・・分かったからちょっと葛城がいない所で話さないかっ!!？
マリ,さっすがリョウジ♪話がわかるにゃー
アスカ,ミサト
ミサト,はいはい。どうせシンちゃんと旅行行きたいって話でしょ
アスカ,べ、別にバカシンジだって一言も言ってないでしょ
ミサト,んじゃ私がシンちゃんとレイを指名しちゃってもいいんだ
アスカ,それはダメ!バカシンジはスケベだから私が一緒についてって監視してやらなくちゃダメなの!
ミサト,言ってること無茶苦茶よアスカ。大体、私が貰えるとは限らないでしょ？
アスカ,(・・・ミサトのやつ、やる気悪いわね。こうなったら)。・・・エビチュ一ヶ月分の小遣いの譲渡
ミサト,。い、いや大の大人がそんなので
アスカ,・・・二ヶ月分
ミサト,最近、３人で遠出もしてないしいい機会だから私とアスカとシンちゃんで旅行もいいわよね。絶対特典ゲットするわ!
アスカ,さっすがミサト
綾波,赤木博士
リツコ,・・レイ。私に頼むのはお門違いじゃないかしら
綾波,赤木博士
リツコ,他を当たりなさい
綾波,赤木博士
リツコ,・・・そんな顔をしても駄目なものは駄目よ
綾波,赤木博士
リツコ,話聞いて
綾波,赤木博士
リツコ,だから
綾波,赤木博士
リツコ,・・・
綾波,赤木博
リツコ,分かったわよ!。だから人の顔を下から死んだ魚のような目で覗くのは止めなさい!
綾波,・・・ぶい
青葉,し、熾烈な争いが起きてる
日向,なんだかんだでチルドレンにはあの３人も甘いからな
マヤ,いいなぁ・・私も温泉旅行行きたいのに
カヲル,ふふふ。空気？僕って空気？
冬月,ーーーさて、仕切り直して次は
カヲル,僕だね。大分、待たされた気がするよ
シンジ,カヲルくんの怪談って怖そうじゃない？
マリ,えー・・どうせ上野駅13番線の男子トイレとかの話じゃにゃいのー
アスカ,ああ、納得だわ
レイ,日頃から物色してるらしいから
マリ,怪談が猥談になるっつー感じ？
アスカ,引くわー・・同姓愛を否定する訳じゃないけど
レイ,流石の私でも吐き気を催す程の邪悪さを感じ得ない
カヲル,ははは。そろそろ怒るよ？。僕が話す怪談は知り合いの体験談なんだ
レイ,知り合いって青いツナギを着たお兄さん？
マリ,うほ
カヲル,・・・女性だよ。年上のね
アスカ,その人ってショタコン？
カヲル,
シンジ,アスカってばカヲルくんに失礼だよ
カヲル,シンジくん・・僕の心のオアシスは君だけだよ。ーーー終わりだよ
シンジ,・・・怖かったね
アスカ,えっ、アンタまだその女と遊んだりしてるの？
カヲル,うん
マリ,それヤバくない？
ミサト,護衛とかつけよっか・・・？
加持,何かあってからじゃ遅いしな
カヲル,いや、大丈夫さ。だって。ソイツは今僕の隣にいるから
マヤ,・・・・え？
綾波,・・・
アスカ,ファ、ファーストしがみつかないでよ
綾波,怖くないわ。これは寒いからそう寒いから決してビビった訳ではない
アスカ,なら爪たてないでよ!痛い痛い!
カヲル,・・・ふふ、冗談だよ。からかわれた仕返しさ
綾波,だと思った。ホモは腹黒くて意地が悪い
アスカ,・・・アンタの方が腹黒いわ
冬月,次は俺か
マリ,副司令は伊達に歳を取ってないから期待度高いねわんこくん
シンジ,失礼だよ・・あといつまで僕にしがみついてるの？
マリ,だってホモの話が怖かったからさぁ。わんこくんだってかよわい乙女に抱きつかれてうれしいっしょ？
シンジ,・・・。うん、嬉しいよ
マリ,ほえ!？。(よ、予想外の返しだった///)
アスカ,あざとい女って嫌われると思わない？ファースト
綾波,激しく同意
アスカ,媚び売るなんて女としてのプライドがないんじゃないかって疑うわぁ
綾波,そう。セカンドの言う通り
マリ,負け犬の遠吠えがきこえるにゃー。わんわんってね
アスカ,鼻っ柱折ってあげましょうかしらこの偽装中学生
綾波,なるほど。牛乳だから偽装牛肉問題という訳ね。こっちは年齢詐称だけど
マリ,おい、表でろ
シンジ,だから喧嘩はだめだって!
カヲル,仲が良いのやら悪いのやら
冬月,・・・ふむ。丁度良い。男女の関係にまつわる話をするか。ーーー終わりだ。仲違いして言い争うよりもお互い正直に話し合い相手の気持ちを知る・・。それは喧嘩の原因になるかもしれん。だがそれを恐れていてはいかん。人間関係にとって大切な事だと俺は思うよ
アスカ,・・・
綾波,・・・
マリ,・・・
加持,流石、副司令。あの三人が大人しく聞いてるぞ
リツコ,教育者として見習うべきよね。特にミサト
ミサト,なんで私？ねぇなんで名指しなの？ねぇ
アスカ,・・・そうね。やっぱり正直になるのが一番よ
綾波,確かに
マリ,言わなきゃ伝わらないしさ。・・・うん!
アスカ,コネメガネ
綾波,セカンド
マリ,レイちゃん
アスカ,アンタのことビッチの癖に語尾ににゃーとかつけてなに必死に可愛いアピールしてんの？その顔で中学生(笑)はないでしょ。年誤魔化してんじゃねーよババア。見てて痛々しいからほんっとやめて。人間やめてとか思っててゴメン
綾波,貴女がドイツ語で喋る度にエセドイツ人とか心の中で馬鹿にしてた。だってあの発音はないでしょう。あと貴女って自分が一番可愛いとか思ってるんだろうけどいい加減その腐ったジャガイモのような思考回路を何とかして欲しい。正直でごめんなさい
マリ,無口キャラで読書好きって何番煎じだよ。今時もうそんなのいないし。どうせキャラ作りに熱心なオタクなんでしょ？ってか髪の色がまずあり得ないわー。何その蛍光色みたいな水色。黒に染め直して出直してこいにゃあって感じ。あ、傷ついてたらごめんね
アスカ,・・・
綾波,・・・
マリ,・・・
シンジ,・・・
日向,これは酷い
マヤ,け、喧嘩するほど仲がいい？
青葉,フォローが虚しいな
冬月,・・・はぁ
リツコ,やれやれ・・私ね
綾波,期待しています赤木博士。あの腐れ眼鏡やパチモンドイツ人が泣いて失禁するような怪談をお願いします
マリ,腐れはお前だ。ネクラ
アスカ,パチモン言うな。腹黒
シンジ,三人ともやめなって。ね？
ゲンドウ,・・・もう喧嘩は駄目だぞ
綾波,ちっ
アスカ,ふん
マリ,ぺっ
冬月,(・・余計な事をしてしまった)
ミサト,レーイー。期待しない方がいいわよ
リツコ,は？
ミサト,だってリツコって大学んときは私や加持くんと一緒にいる以外ほとんど一人だったし
リツコ,・・・
ミサト,どーせ高校も中学も勉強ばっかで友達もいなかっただろうし
リツコ,・・・・
ミサト,怪談なんてナンセンスよ。なーんて言ってぼっちだったに違いないわ
リツコ,・・・・・。レイ
綾波,はい
リツコ,少なくともあのビア樽メタボの怪談よりはきっと怖い話をしてあげるわ。・・・こんな所かしら
カヲル,これは・・
青葉,寒気がしてきた
加持,(・・本気でチケット取りにきてるな)
シンジ,リツコさんの話、すごい怖かったです
リツコ,あら。そんなことないわシンジ君。ぼっちで根暗で金髪黒眉毛で科学オタでパソコンと研究ぐらいしか取り柄のない私の話よりもミサトなんかはよっぽど恐い怪談を話すんだから。ミサトの話の方がきっと凄いに決まってるわよ
ミサト,(リ、リツコこの野郎・・!)
マヤ,葛城三佐の顔が凄いんですけど・・
ゲンドウ,冬月
冬月,なんだ
ゲンドウ,殺伐としてきたのは気のせいか？
冬月,気のせいだ
ゲンドウ,冬月
冬月,なんだ
ゲンドウ,段々と怪談のハードルが上がってきているのも気のせいか？
冬月,気のせいだ
ゲンドウ,・・・そうか
綾波,赤木博士、私は信じてました。博士ならやってくれると
リツコ,・・・
綾波,こんな時・・どんな顔したらいいか分からないんです
リツコ,ほくそ笑めばいいと思うわ
綾波,ほくそ・・笑む？
リツコ,そうよ。勝ち誇りたい相手にするの。こんな風に
綾波,わかりました
リツコ,
綾波,
ミサト,むかつくううぅ!!
アスカ,むきいいいいぃ!!
マリ,蹴っ飛ばしてぇぇぇ!!
冬月,次は伊吹二尉だ
マヤ,ああ・・きちゃった
日向,あまり気負うなよ
カヲル,うん。気楽にいったらいいんじゃないかな
シンジ,遊びですしね
リツコ,そうよマヤ
マヤ,そ、そうですよね!。それじゃ話します
アスカ,(マヤはノーマークでいいわね)
綾波,(伊吹二尉は問題ない)
マリ,(大丈夫だよねー。マヤは)
青葉,この三人だけ考えてる事が違う気がする
加持,同感だ
マヤ,・・・これでおしまいです
シンジ,凄い良い話です
カヲル,感動で胸が打たれたよ
冬月,素晴らしい。道徳観に富んだ話だ
青葉,・・ちくしょう。目が潤んできやがった
日向,この後に普通に怪談を話すのかよ俺・・
リツコ,宮沢賢治の銀河鉄道の夜に似てるわね。良い話には変わらないけど
加持,・・葛城？
葛城,うぁ・・うぇぇ!ぐす・・!い゛い゛はな゛じだわぁ!!
リツコ,滅茶苦茶に泣いてるわねミサト
冬月,・・こっちも凄いぞ
アスカ,ちょっ・・マジでマヤちょっ・・ほんともう・・・
カヲル,泣いてるの？
アスカ,ち、違うわよ!これはっ・・涙腺から分泌される体液で!がっ眼球を保護する為に流れただけだから!
カヲル,いやそれ泣いてるよね
綾波,・・・。・・・・。・・・・・。・・・・・・
冬月,(声を押し殺して無表情で涙を流すとは・・)
青葉,(先生に怒られて泣いてるみたいに見える)
リツコ,・・ほらレイ
綾波,・・・ありがとうございます赤木博士。っ
リツコ,・・・レイ。それあなたにあげるわ
加持,アスカもレイも感動してるが
日向,はい。一番凄いのは・・
シンジ,ちょ、マリさん!落ち着いて!
マリ,うわあああああああああああああああああん!!!。ひっ・・く!・・もぅ!こ・・・んなのって!!お兄さんがぁあああ!!
シンジ,ほら、落ち着こう
マリ,う゛ん・・・。ぐす・・ごんなに泣いたのって・・・百万回死ん゛だネゴいらいだよぉ・・・
マヤ,(意外とこの三人って涙脆いのね・・)
ゲンドウ,・・・伊吹二尉
マヤ,は、はい
ゲンドウ,・・素晴らしい話だった。冬のボーナスは期待したまえ
マヤ,ほえ!？
冬月,・・・。(碇、俺は見たぞ。話終える直前にお前も泣いてたのを)
日向,次自分ですね
マリ,・・感動系はもう勘弁してほしいにゃー
アスカ,そうね
綾波,同感
日向,はは・・あれの後じゃそんなの話せないよ。定番なコテコテの怪談でも話すとしようかな
加持,お、いいねぇ
ミサト,日向くーん・・あんましハードル上げないでよー
青葉,切実ですね
シンジ,楽しみです
ゲンドウ,期待している
日向,あんまり期待しないでくださいよ。それじゃ話します。こんな所です
ゲンドウ,確かに定番だが良いな
カヲル,うん。夏に相応しい怪談だね
青葉,ちくしょう・・お前らのおかげでハードルマックスじゃねぇか!
マリ,ビデオテープって今もうないもんねぇ
綾波,DVDとBlu-rayに乾杯
アスカ,アンタって意外と怖がりよね
綾波,萌える？
アスカ,・・その発言で台無しよ
青葉,きたかぁ
冬月,さて青葉二尉はどんな怪談を話すのか・・
ミサト,青葉くん
青葉,はい？
ミサト,ありきたりな話で良いのよ
青葉,は、はい
ミサト,無理に怖い話なんてしなくていいんだから。遊びなんだから、ね？
青葉,ちょ、葛城三
ミサト,後に残ってる人の気持ちをちょっと・・ほんのちょっちでいいから考えてくれるだけでいいのよ
青葉,痛い!葛城三佐!鎖骨の部分を掴んで捻りあげるの止めてください!
リツコ,パワハラじゃない
加持,焦ってるなあいつ
綾波,碇君
シンジ,どうしたの綾波
綾波,碇君は浴衣姿の女の子って好き？
シンジ,嫌いではないけど・・急になんで？
綾波,私って浴衣似合うかどうかと思って
シンジ,そうだね。綾波の浴衣姿は可愛いと思うよ
綾波,・・・旅行が楽しみ///
マリ,まあさ!胸がない女は浴衣とか着物は似合いそうじゃん？苦しくないしさ。ねー姫
アスカ,コネメガネってばわかってんじゃない。その通りよ。実際に着た私が言うんだから間違いないわ!。ってかね!なにアンタもう旅行券貰った気になってんのよ
綾波,皆の怪談も怖いけど赤木博士の怪談が一番怖かった。異論はある？
アスカ,うぐっ・・そ、そりゃ確かに怖かったけど
マリ,ま、まだわかんないじゃんか!
リツコ,そんな事ないわよ。まだミサトも加持君もいるんだから
綾波,・・それでも赤木博士が一番です。私にとっては揺るがない一番なの。だって私の為に話してくれた怪談だから。他の人がなんと言おうと譲れない
リツコ,レイ・・貴女って子は
綾波,赤木博士・・・
ミサト,何よあの茶番は
加持,仲良いなあの二人
アスカ,ミサトさアンタ・・マジで頼むわよ・・・？
マリ,リョウジー。わかってるよね？旅行券貰えなかったらどうなるかー・・悲惨なことになるかにゃー
加持,(・・・これはまずい)
ミサト,(・・・後がないわ)
カヲル,必死過ぎて笑えなくなってきたよ
シンジ,？
アスカ,うっさいわね。ほらロン毛早くしなさいよ
マリ,ちゃっちゃっとぱっぱっとスピーディにね
青葉,扱い酷くないか？。ーーーこんな音さ
綾波,・・・!?
アスカ,ひぃ!?
