・,アイドルマスターシンデレラガールズ
歌鈴,ありましたねぇ。たくさんお話できて、楽しかったです
藍子,あの時歌鈴ちゃんの台本をちらっと見たら、一行ごとに噛まない！って書き足してあって、びっくりしましたもん
歌鈴,え……？だ、だって、気を付けなきゃいけないことをメモしておくのは、普通なのでは……？
藍子,例え加奈ちゃんでも、あそこまで同じことは書かないですよ……。それに、アルバム収録曲とか、言い辛い単語が出てくるところは、なるべく噛まない！になってましたし……。どうしてちょっと諦めそうになってるんですか
歌鈴,うぐぅ……だって、何回練習してもしゅうりょくきょくになっちゃうんですもん……
藍子,これは、前に茜ちゃんが言ってたことなんですけどね。諦めずに努力を続ければ、いつかきっと目標に辿り着きます！努力！根性！勝利っ！……だそうですよ？だから、歌鈴ちゃんも頑張ればきっと……！
歌鈴,はうぅ……！あ、藍子ちゃんが眩しい……！。最終的に妥協しちゃって、そのうえでアルバムに入ってりゅ曲って、結局噛んじゃった私とは、月とすっぴょん……すっぽんですよぉ……
藍子,あ、あはは……でも、ほら。歌鈴ちゃんは、そういうところも可愛いって評判だから、ね？
歌鈴,それはそれでありがたいですけど……やっぱり、ドジはなるべく無くしたいですし……。そのためには、藍子ちゃん先生のお力添えが必要なんです～！
藍子,もう、だから先生は……って、そういえばそういうお話でしたね。うーん……一緒に居てあげたいのはやまやまだけど、お仕事も大事だし……何かいい方法は無いかなぁ……？
歌鈴,うぅ……今の私に出来ることといえば、今のうちに藍子ちゃんのゆるふわ開運オーラを充電しておくことしか……
藍子,あ、いいことを思いつきましたよっ
歌鈴,ほ、本当でしゅかっ！？
藍子,歌鈴ちゃん。そのまま、もう少し顔を寄せてもらえますか？
歌鈴,ふぇっ！？え、えぇと……こ、こうですか……？///
藍子,ふふっ♪いい感じですっ。それでは……。はい、チーズっ
歌鈴,ひゃうっ！？……え、自撮り……？
藍子,はいっ。お仕事の間、側に居られない代わりに、この写真をお守り代わりにしてもらえたらなって。あ、今から送りますね？
歌鈴,あ、藍子ちゃん……！ありがとうございますっ！待ち受けにして、持ち歩いて……いえ！いっそ家宝にしますっ！
藍子,あはは、相変わらず大袈裟なんだから
歌鈴,あ、届いた……はわわ、私ったら、目を瞑っちゃってる……！言ってくださいよぉ、藍子ちゃんっ
藍子,えへへ……なんだか可愛いなって思って、つい♪
歌鈴,むぅ……でも、これでなんだか、勇気が湧いてきた気がしますっ！道明寺歌鈴、もう大丈夫でつっ！……あぅ
藍子,よかったぁ。ラッキーパーソンの役割は、果たせそうかな？
歌鈴,はい！それはもう！。ラッキーパーソンはイニシャルがＩの人ですから！藍子ちゃんのパワーを借りて、今日一日、乗り切って見せます！
藍子,………………あれ？
歌鈴,……はい？どうかしましたか？
藍子,あのぉ……私って、高森藍子、ですよね？
歌鈴,え？は、はい。存じておりますっ
藍子,……えぇと……藍子って、AIKOだから……イニシャルは、Ａなんですけど……
歌鈴,…………あああああぁー！
藍子,も、もしかして、今気付いたんですか？
歌鈴,だ、だって、アイって聞いたら、もう藍子ちゃんしか頭に浮かばなくって……！。あぁぁもう、恥ずかしい……！こんなの、ドジじゃなくてただのおバカさんじゃないですかぁ！
藍子,と、とりあえず落ち着きましょう？ね？。……あ。そうだ！私たち、二人合わせてインディゴ・ベルじゃないですか！それならイニシャルはＩですよっ。きっと大丈夫ですっ！
歌鈴,はうぅ～！こんな私でも、見捨てないでくれますか……っ！？
藍子,見捨てるわけ無いじゃないですか、もうっ。…………一応、私のほうが年下なんだけどなぁ。なんだか逆になったみたい
高森藍子,歌鈴ちゃん会議
