ラジオ,本日未明……ｻﾞｻﾞｯ…げ出し………く中との……近隣住………さい…ｻﾞｻﾞｯ
提督,なんで都合よくこんなもん持ってんだよ！！！！！！！！！！！！！！
フェニックス響,ハラショー。
卯月,流石はフェニックス響だぴょん……用意周到とはまさにこのこと……かもしれんぴょん。
提督,お願いだから質問に応えて……
卯月,……そうか。わかったぴょん！
提督,なにがだよ
卯月,司令官！いいからこの着ぐるみをきてみるぴょん！！
提督,あ"ぁ"っ"！？
フェニックス響,ゴッドフェニックス！！
提督,うぎゃああああああああああ！！！？？？？
フェニックス響,さぁ！早く着るんだ！！駆逐艦の目の前で全裸になった罪でしょっぴかれる前に…早く！！
提督,許さんぞ……この虫けら共め……！！
ゴリ長門,ウホ…？？
ゴリ提督,…………
卯月・フェニックス響,wwwwwwwwwwwww
フェニックス響,実にハラショーだねwwww
卯月,司w令w官wよく似合ってるぴょんwwww
ゴリ提督,お前らあとで覚えてろよ。
ゴリ長門,！？
卯月,あっ、ゴリ長門さんが反応したぴょん！！
フェニックス響,さぁ…鬼が出るか蛇がでるか……
ゴリ提督,ゴリラしかでねぇよ
ゴリ長門,ウホホ……
ゴリ提督,な、なんだよ……こっちみんな…
ゴリ長門,ウッホ…ウホホ………。ウホッ///
ゴリ提督,げっ……なんだ……こいつ。
ゴリ長門,ウホッウホホ///
ゴリ提督,うわああああああああ！！！？？？？アブねぇぇぇぇぇぇぇぇぇ！！！！！！
ゴリ長門,ウッホ！ウッホホイ！！
ゴリ提督,汚ねぇぇぇぇぇぇぇ！！！！やめろぉぉぉぉぉぉぉ！！！！！！！！
フェニックス響,聞いたことがある。ゴリラにとって、糞を投げるのは求愛行動の１つなのだと。
卯月,つまり、ゴリ長門さんは司令官に対して発情してるぴょん？？。それはマズイぴょん！！
ゴリ長門,ウッホ///
ゴリ提督,んなことあとでいいだろぉぉぉぉぉ！！！早く助けて！！！！！
卯月・フェニックス響,wwwwwwwwwwwwwwwwww
ゴリ提督,ぜぇぜぇ……ようやく弾切れか…
ゴリ長門,ウッホ……
卯月,ゴリ長門さんをゴリ司令官になつかせて言うことを聞かせる作戦は上手く行かなかったぴょん……
フェニックス響,というかむしろ上手く行きすぎて困ったことになったね。
ゴリ提督,どうすんだよ……余計にここから離れられなくなるぞ。
卯月,ふぅむ……どうすればいいぴょん？？
？？？,お困りでしょうか？？
ゴリ提督・卯月・フェニックス響,お、お前は！！？？？？
エリートブリーダー鹿島,ふふっ…可愛いゴリラさんね。私に任せてください！！
卯月,お、お前は…エリートブリーダー鹿島！！
フェニックス響,数々の動物に関する知識を備え…動物を扱うことに関しては右に出るものはないというエリートブリーダーの肩書きを持つ艦娘…別名動物博士の鹿島……実在したなんて…
エリートブリーダー鹿島,それだけじゃありません！有明の女王ドウテイ殺しの鹿島一人でローソンの株価を上げた女など、72通りもの異名を私は持ってるんです！！ふふふ……スゴいでしょう♪
ゴリ提督,鹿島……お前いつからそんな大層な地位に就いたんだ……ってかゴリラって、ブリーダーの仕事の範囲なの……？？
エリートブリーダー鹿島,あなたが噂の、ゴリラになった長門さんね…うふふ。安心して…怖くない。怖くないわ…
ゴリ提督,俺じゃねえよ。いい加減眼鏡かけろって何度言えばわかるんだ！
卯月,うちの鹿島は目が悪い癖に眼鏡をかけないことで有名だぴょん。
エリートブリーダー鹿島,だってぇ…それじゃ香取姉と被るし…
ゴリ提督,コンタクトとか、色々あるだろ……このポンコツ……
エリートブリーダー鹿島,ふふっ…けど。私の実力は本物です！どんな動物だろうと私の魅力の前ではその心を開き……すぐに仲良くなることが出来るんですよ！！
ゴリ提督,ほう……例えば…？
多摩,ごろにゃーん♪
エリートブリーダー鹿島,ほら、猫ちゃん！猫じゃらしですよ～ほらほら～
多摩,多摩は猫じゃないにゃ。
球磨,がおーだクマ！！
阿武隈,ヒッ……なんか球磨ちゃんが因縁吹っ掛けてきたんですけどーーーー！！！？？？？？
球磨,くまの王の座は球磨のものだクマー！！！！
阿武隈,ﾋｨｨｨｨｨ！！！？？？？？
エリートブリーダー鹿島,危ない！！
球磨,おっ…鹿島の頭。おいしいクマ～
エリートブリーダー鹿島,お怪我はありませんか？阿武隈ちゃん？
阿武隈,ヒッ、ﾋｨｨｨｨｨぃぃぃ！！！人喰いだあああ！！！！！！！
エリートブリーダー鹿島,どうして逃げるんでしょう……おとなしくなったらこんなにも可愛らしい熊さんなのに……
球磨,クマ～♪
エリートブリーダー鹿島,はい。わたあめですよ！！
時雨,やった♪。はふはふ！はふはふ！！
エリートブリーダー鹿島,ふふっ…可愛いワンちゃん……♪。どうです？？これこそ私がエリートブリーダーたる由縁ですよ。ふふん♪
ゴリ提督,そいつら全員動物じゃねぇし……
鹿島,とにかく任せてください、提督さん！！
提督,……わかった。頼んだぞ。
鹿島,はい♪提督さんのために……鹿島！頑張ります♪
フェニックス響,これ、どう考えても失敗す……ﾓｶﾞﾓｶﾞ
卯月,しっ…それを言っちゃかわいそうだぴょん……
鹿島,はーい、ゴリ長門さん！？元気！？
ゴリ長門,ウホッ…？
鹿島,私は、鹿島！覚えてる！？
ゴリ長門,ウホ、ウホホ…
鹿島,うふふ……私はね…今日はあなたとお友だちになるために会いに来たの！！
ゴリ長門,ウホッ？ウッホウホホ！！
鹿島,そうよ。私とあなたはもうお友だち。これから仲良くしましょ♪
ゴリ長門,ウホホ♪
提督,なんだと……何故か上手くいってる…………のか？
卯月,ひょえぇぇ……これは予想外だぴょん。
フェニックス響,ハラショー
鹿島,ゴリラは本来とっても臆病で、優しい動物なんです。だから…きちんと敵意がないことをアピールして、こちらも優しく接していけば……
ゴリ長門,ウホホ♪ウホッホイ！！
鹿島,ｺﾞﾌｩｩｩｩｩｩｩｩ！！？？？？？
提督,鹿島ああああああああああああああああああ！！！？？？？？？？？？？？
卯月,やっぱこうなるぴょん？
フェニックス響,しってた
鹿島,うげぇ……げほっ、げほっ…
提督,鹿島！大丈夫か！？
鹿島,もう……提督さん…いきなりラリアットとかやめてくださいよぉ…そんなにこの鹿島のことが好きなんですか……//いいですよ、ちゅー//
提督,お前は今、ゴリラからラリアット喰らったんだぞ……俺じゃない…
鹿島,へ……どうして…そんなバカな！？完全にお友達になったはずなのに！？
卯月,ゴリラだから突然ラリアットしてもしょうがないぴょん！
フェニックス,そうそう。ゴリラだし仕方ないさ。
提督,お前ら…ゴリラのなにを知ってそんな偉そうなこと言えるんだ……？(困惑)
鹿島,ぐぬぬ……このゴリラさんは中々に手強いようですね……
提督,ってか、ゴリラの渾身のラリアットを喰らった割には元気だな、お前。
卯月,司令官がそれを言うぴょん……？？
鹿島,なんとかしないと……このままじゃエリートブリーダーとしての名誉が……
？？？,うふふ……ほらみなさい。やっぱりあなたは甘ッちょろいのよ。鹿島……！
鹿島,あっ…あなたは！？
エリート調教師・香取,どうやらそのゴリラは躾がなってないようね。少し厳しめに指導してあげなきゃ……ふふっ♪
卯月,また変なのが出てきたぴょん。
フェニックス響,やっぱこの鎮守府は魔窟だ。
提督,おまえがいうな。
鹿島,お、お姉ちゃん！？これまで数々の凶暴な動物をその華麗な調教術で手懐け、一部の界隈からは絶大な人気を誇り調教を希望する者があとを絶たないと噂される香取姉がどうしてここに！？
卯月,エリート調教師・香取…別名だて眼鏡の香取。実在したのかぴょん……
フェニックス響,ハラショー。
提督,いや……お前ただの香取だろ。だからいつお前らはそんな大層な二つ名をもらうようなことしたんだよ……
エリート調教師・香取,うふふ……疑うんですか、提督ぅ？そんな悪い子にはお仕置きしちゃいますよ？？
提督,ていっ！！
エリート調教師・香取,いたっ……うぅ…(泣)
香取,いぢめられました……ぐすん。
フェニックス,弱いね。
提督,お前らバカなことやってねぇでさっさと逃げろ。このゴリラは俺が食い止める！
ゴリ長門,ウホホ？
香取,安心してください、提督。私の実力は、そこのエセアニマリストの鹿島とは段違いです！！
提督,アニマリストってなに！？初耳なんだが！？
卯月,新手のケモナーか何かぴょん？
鹿島,！？もうっ…バカにして！！私だってお姉ちゃんなんかに……
香取,うふふ…その様でよくそんなことが言えるわね。いい加減、眼鏡かけたら…？？
鹿島,うぐぐ……私がそれを気にしてるの知っててわざとだて眼鏡かけてるくせに……
香取,おほほほ！！何のことですか……？うふふふふふ♪
鹿島,ぐぬぬ……！
提督,お前ら姉妹なんだから仲良くしろよ。ていうかしてください……
香取,そうですね。そんなに私の実力が知りたいと言うのなら試しに……あそこで若葉ちゃんにアルゼンチン・バックブリーカーをキメているネズミの子日ちゃんを調教してみせましょうか。
若葉,うぎぎ……ぐががががががが！！！！
子日,今日は何の日～～～？？。お前が沈むには丁度いい日だ……そうだろ？若葉ぁぁぁ～～？？
若葉,うがが……背骨…折れっ……むっちゃくちゃ痛いぞ！！！！。だが悪くない。
卯月・フェニックス響・鹿島,おおっ…！！
提督,なにしてんだぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！！？？？？？？？？？早く止めろよおおおおおおおおおおおおおおおおおおおおおおおおお！！！！！！！！！！！！！！！！！！！
香取,はい。了解です♪。はい子日ちゃん……そこまでよ！！
子日,誰？
若葉,あっ……んっ、はぁぁん//ぐぅ……感じるぞ！！
香取,妹をいじめるような悪い娘にはきっつーいお仕置きが待ってるわよ～うふふふふ……子日ちゃん？覚悟しなさぁい♪
鹿島,ずるい！！自分は私のこといじめてる癖に！！
提督,おもっきしブーメラン放ってるなアイツ…
フェニックス響,ハラショー
子日,ねのひあたーーーっく！！
香取,ひうっ！？も、もっとよ//そんなんじゃ物足りないわ……もっとちょうだい！！
提督,なんでてめぇが調教されてんだよ！！ってかぶっちゃけ知ってた！！お前ら姉妹揃ってマジでポンコツだな！！
香取,う、うぐぐ……屈辱//はぁん//いいわ！！その感じでビシバシ叩いてちょうだい！！
子日,ねのひもう疲れたぁぁ！！今日はもうおしまいだよぉぉ！！
若葉・香取,そ、そんなっ！！？？？？
若葉,いや、これは放置プレイか…………いいぞ//
提督,よくねぇよボケ
鹿島,いいなぁ…………
全員,えっ……
ゴリ長門,ウッホホォォォ！！
若葉,うべぇ
提督,うわぁぁぁ！！！！そうこうしているうちに這い寄るゴリラトホテプに若葉がやられたぁぁぁぁ！！！！！！！！！！！
若葉,ないす……ぱんち…………。
香取,若葉さんまでやられるなんて…これは少々不味いですね……
提督,そうだな。お前の頭の中がな。
香取,ひうっ/////
提督,こんなバカどものコントに付き合ってる場合じゃねぇ……なんとかしねぇとマジにヤバイ！！
ゴリ長門,ウホホホウホ♪
？？？,すっごーーい！！あなたはパンチの得意なフレンズなのね！？
卯月,また来たぴょん。
提督,勘弁してくれ……次はなんなんだよ！！
足柄オオカミ,ようこそ！ちんじゅふちほーへ！！わたし、あしがらおおかみっ！！ほーらいげきせんがとくいなの！！えへへ！！
提督,おい足柄。化粧崩れてんぞ。
足柄,えーわっかんなーい！！わたし、まだぴちぴちだからそんなのしないですしー！
提督,
足柄,…………ぎゃあああああああああっす！！！！
卯月,可哀想だぴょん…………
フェニックス響,出オチかな？
足柄オオカミ,あらためて！よろしくね！！えぇっと……ゴリ長門さん！！ぷふぅっ(笑)
ゴリ長門,ウホホ？
提督,だから勝手に決めつけんな！！
足柄,あっ、きょこんちゃん！！やっほー！！元気！？
提督,てめぇ……俺の見たことねぇ癖にバカにしやがってぇぇぇ！！
卯月,まぁまぁ司令官……ここはおさえるぴょん！！
フェニックス響,そうだ。まだ彼女がどこまでできるかわからないじゃないか。
提督,くそっ……
足柄オオカミ,そうそう♪ぜーんぶわたしにまっかせなさーーい！！おほほほほほほ！！
香取,そ、その自信は一体どこから……
鹿島,何か策があるのかも……
足柄オオカミ,ほーら、ゴリ長門！！いっしょにあーそぼ！！
ゴリ長門,ウホ？ウッホ♪
足柄オオカミ,かりごっこだね！？いいよ！！まけないもん！！
提督,おいぃぃぃ！！！！あいつ鎮守府の中に入っていきやがったぁぁぁ！！！！せっかく門で食い止めてたのに！！！！！！！！！
卯月,だったら追いかけるぴょん！！ぷっぷくぷ～♪
フェニックス響,ハラショー
足柄オオカミ,ちんじゅふちほーにはね！たっくさんのフレンズがいるのよ！！たとえばー……
島風,ん？何？追いかけっこ！？
足柄オオカミ,このこはしまかぜうさぎちゃん！！
ゴリ長門,ウッホホホーイ♪
島風,なんでぇぇぇぇぇぇ！！！？？？？？
足柄オオカミ,あのこはね！！しちめんちょうのずいかく！！
瑞鶴,だ、誰が七面鳥ですってぇぇぇ！！？？
ゴリ長門,ウッホウッホウホホホホ♪
瑞鶴,ごふぅぅぅぅぅぅぅぅぅ！！？？？
足柄オオカミ,あいつはただのババァ
金剛,いっぺん死んでみマスカ？アシガラ！！(怒)
ゴリ長門,ウホホホッウッホホイホーイ♪
金剛,うわらば！！？？？？？？
比叡・榛名・霧島,お姉さま！！！？？？？？
足柄オオカミ,あはははは♪たーのしー♪
ゴリ長門,ウーホホー♪
？？？,そこまでだ！！足柄！！
足柄オオカミ,むむっ！？だれよ！！わたしたちのかりごっこをじゃまするやつは！？
ゴリ長門,ウホッ？
提督,ぜぇぜぇ……追い付いた…………足柄！！てめぇ気でも狂ったか！！おかげで鎮守府がどったんばったん大騒…………あれ？
卯月,そ、そこにいるのはまさか！？
長門,ん？あっ……お兄ちゃんていとく！！ただいま～♪
全員,長門が２人～～っ！！？？？？
フェニックス響,ハラショー
提督,いや！！？？？？違うだろ！！！！！アホなのか！！？？？ていうかお前ら全員アホだろ！！！！！！！！！！！。っていうか長門……その口調キモいからやめろ。お願いだから……
長門,むっ……そうなのか？なら提督。この状況は一体なんなのだ？
提督,俺が知りてぇよ…………ってかお前今までどこいってたんだよ……
長門,いや……ちょっとばかし工厰にて特訓をな……というかそのゴリラ、一体なんなんだ？新たな仲間なのか？
卯月,……………………
提督,……………………
卯月,ちょっと早とちりしちゃったぴょん♪てへっ
提督,このダアホ！！
卯月,うべぇぇ～(泣)
フェニックス響,あーよしよし。
長門,あっ……よくみたら私がなくしたヘッドギアが！！そうか……このゴリラが届けに来てくれたのか……ありがたい！
提督,いや、多分違うと思うんですけど……そもそも大事な艤装の一部をなくすな！！
長門,だってぇ……あれただのカチューシャだし……あれつけないと赤城と間違われるから着けてるだけだし……
提督,艤装じゃねぇのかよ…………あれ……。ま、なんにせよ、だ。危うく俺はゴリラの兄になるところだった……よかったよかった。
長門,えっ……私はゴリラだったのか！？知らなかったぞ……そういえばお兄ちゃん、昨日より毛深くなった？
提督,これ着ぐるみだから！！お前の目は節穴か！！このアホンダラっ！！
卯月,かくかくしかじかぴょん。
長門,なるほど(笑)それは迷惑をかけたな……ぷふっ(笑)
提督,うぜぇ……
長門,で……聞きたいのだが。あのゴリラは結局なんなんだ…………？
卯月・響・鹿島・香取,知らない
ただのゴリラ,ウホッ……？
足柄オオカミ,あっ……ぐぐぐ……あががが…………どうして…………(大破)
提督,ばーか(笑)
足柄オオカミ,いぎぎぎ……わたしのおいかけっこしてたらなんかつかれてねむくなっちゃったさくせんがぁぁ～…………
提督,どうやら知能も動物並みになっちまったみたいだな……お前にはガッカリだよ、足柄…………
卯月,大変だぴょん！！早く足柄ぴょんを助けなきゃ！！このままじゃゴリラの腕力で身体をねじ切られてとんでもないことになってしまうぴょん……！！
フェニックス響,だが、どうする？下手に近づけば、あのきまぐれゴリラ格闘術によっていくら艦娘であろうとひとたまりもないよ。
香取・鹿島,きゃああああああぁぁぁぁぁ！？？？
ゴリラ,ウッホホホイ♪
響,ああなる。やれやれ……こいつはお手上げ侍だね！
提督,おいぃぃぃぃ！！？？？案の定アホが突っ込んで行って、アホみたいにやられたぞ！！！
卯月,つよい(迫真)
響,ハラショー
足柄,たすけてーー！しんじゃうわぁぁーーー！！(泣)
ゴリラ,ウッホイ♪ウッホイ♪ウッホホホイ♪
提督,マズい……100%アイツの自業自得だが、ここで食い止めなければ今ごろ部屋で俺の帰りを待ちわびながらノンビリ空を眺めているだろうラブリーマイエンジェル扶桑たんが襲われる危険性もある……なんとかしなくては！！
長門,ふっ……よくはわからんが、どうやらこの長門の出番が来たようだな…………久方ぶりの活躍の場だ。存分にやらせてもらおう！
提督,やれるか？長門？
長門,もちろんだ……そのために私は強くなったのだ！！みせてやろう……私の新たな力を！！
卯月,まさか……長門ぴょん！？
長門,このヘッドギアを発注している間……私が工厰での特訓で得た新たな力！！行くぞ！！
ゴリラ,ウッホ…………ウホッ……！？
提督,な、なんだ……一体何が始まるんだ！？
卯月,ついに来るぴょん！！これが長門ぴょんの……
フェニックス響,出た！！進化だ！？
長門,ナガモン！！究極進化ぁぁぁぁぁ！！
提督,うおっまぶし
長門改二,待たせたな……これが私の新たな姿、究極完全体バンチョーナガモンだっ！！
提督,確かに番長っぽいけど！！このネタもう古いだろ！！？？？？？？？？色んな意味で！！
卯月,か、かっこいいぴょん……！！
フェニックス響・朝潮・清霜,ハラショー
ゴリラ,ウホッ！！(驚愕)
長門改二,行くぞ！！ゴリラお兄ちゃん！！
提督,ゴリラじゃねぇつってんだろ！！アホ！！
ゴリラ,ウホッ！？
卯月,速いっ！？って言ってるぴょん！！
フェニックス響,いけ！！ナガモン！！ゴリ司令官！！
提督,ゴリラじゃねぇ！！！！！！
足柄オオカミ,たすけてーーごりらていとくぅぅぅぅ！！！(泣)
提督,お前は助けてやんねぇ……。くらえ！！リベンジ提督ぱんち！！
ゴリラ,ウホッホイッ！！
卯月,甘いっ！！
提督,なっ……こいつ、俺の渾身の拳を片手で受け止めやがった！？
ゴリラ,ウホッホホイーホイッ！！
卯月,このまま腕を捻り潰してくれるっ！！
提督,くっ……長門！！
長門改二,応っ！！片手を提督に……もう片手を足柄を捕まえるのに使っている以上、もう防御はできまい！！叩き込んでやる！！。くらえ……51連、主砲ぱんち！！！！
ゴリラ,！？
卯月・フェニックス響,や、やった！？
足柄,あ、がが……たすかったぁぁぁ(大破)
提督,くぅぅ……腕がいてぇぇ(泣)それにして相変わらずの威力だな……お前のパンチは…………
長門改二,以前までは46連が限界だったが……改二となった今なら51連まで叩き込めるようになったぞ！！しかも反動なしでだ！！ふふふ！！すごいだろ♪
提督,あぁ、はいはい。すごいすごい。
長門改二,えぇ～もっとほめてよ！！ケチお兄ちゃん提督！！
長門・卯月・響,ぷっぷくぷー！！(怒)
提督,お前は何者なんだよ……最早長門ですらない(困惑)
ゴリラ,ウホッホ……
提督,げっ……まだ立ち上がってくるのか！？
長門改二,やはりゴリラ……なんという膂力。まるで提督みたいだ……
卯月,司令官みたいだぴょん……ひょえぇ
フェニックス響,ハラショー
提督,なんかさ……いつの間にか長門じゃなくて俺がゴリラ扱いされてないか？イジメかな？
ゴリラ,ウホーーーーっ！！ウッホウッホウッホホホホホ！！！！
提督,ヤツめ……興奮してやがる！！厄介なことになる前に片をつけるぞ！！長門！！
長門改二,あぁ……ここは例の二人の合体技で決めるぞ！！
提督,そんなものを決めた覚えはないが……いくぞ！！とどめだぁぁぁぁぁぁ！！！！！！！
長門・提督,うおぉぉぉぉぉぉぉぉ！！！！
卯月,ちょっと待つぴょん！！！！
提督,とめるな！！俺はこの鎮守府を守る！！ゴリラの脅威から！！
フェニックス響,待てっていってるだろ！！
提督,うべぇぇっ！？
長門改二,お兄ちゃん！！？？？？？。一体どういうことだ、うーちゃん。説明してもらおうか。
卯月,ゴリラさんがね……お前たちの強さは認めた。ここは引き分けといこう。これ以上は誰も傷つけたくはない……って。
長門改二,なにっ！？そうだったのか……てっきり早とちりをしてしまっていた……
鹿島,…………そういえば聞いたことがあるわ……ゴリラがドラミングをするのは、一般的には威嚇を表すものだとされているけれども……実際には相手との引き分けを提案する、回避行動らしいの。
フェニックス響,流石は動物博士の鹿島。ハラショー……というか生きてたんだ……
ゴリラ,ウッホウッホホイ！ウッホイ！！ウホホホホウッホ！！
卯月,人間よ。我が悪かった。今は反省している。どうか許してくれだって！！
長門改二,ならしょうがないな……ゴリラ。お前のその潔さに、私は敬意を表するっ！！
卯月・響,ﾋﾞｼｨｯ！！ぴょん！！
鹿島,終わったのね……長く、そして厳しい戦いだったわ……
香取,犠牲者もでてしまったけれども……これで。ようやく。みんな救われるわ…………
提督,誰か、卯月がゴリラ語理解してることにツッコめよ…………いや、無駄か…………
ゴリラ,ウホ…………♪
提督,っていうか……ほんとお前なんなんだよ……
ゴリラ,ウホーーーウッホホイウホホホホホ！！
提督,おい、卯月こいつなんて言ってるんだ？
卯月,今のは特に意味はない単なる鳴き声だぴょん。
フェニックス響,ゴリラだから仕方ないね。
長門改二,あぁ……そうだな。ゴリラだからな！
提督,今さら当たり前を持ち出さないでください……
？？？,あっ……こんなところにいましたか！！ゴリの助！！
提督,えぇっと……あなたは……
普通の飼育員,すみません……今朝方うちの動物園、ゴリラパークから逃げ出したゴリラがこの辺にいると聞いて……かくかくしかじか
飼育員,というわけでうちのゴリの助がご迷惑をおかけしました……本当に申し訳ありません……
ゴリの助,ウッホ♪ウッホホホ♪
卯月,気にしなくていいぴょん！！むしろ逃げ込んだ場所がここで良かったぴょん！！
長門,そうだな……艦娘なら丈夫だから襲われても最悪死ぬことはないからな。街中に逃げ込むより何倍もマシだ。
提督,そういう問題じゃないと思うんですが……
フェニックス響,というかキミ……オスだったんだね。
ゴリの助,ウッホ！
提督,ゴリラを逃がすような管理体制とは一体…………
飼育員,いやぁ……ありがとうございます！！まさか無傷でゴリの助を連れて帰れるなんて思ってもみませんでした。ゴリの助も辛かったでしょう……見知らぬ場所で迷子になって……
卯月,それは良かったぴょん♪
飼育員,さ、ゴリの助。帰るぞ。仲間が待ってる。
ゴリの助,…………
飼育員,どうした、ゴリの助？
ゴリの助,ウッホ…………
フェニックス響,ゴリの助が長門さんのヘッドギアを名残惜しそうにしている……よっぽど気に入ったんだね……
長門,……………………
飼育員,ダメじゃないか、ゴリの助。それはそこのお姉さんのものだろう？きちんと返さなきゃ。
ゴリの助,ウッホホ…………
長門,いいぞ。ゴリの助。そいつは持っていけ！！
ゴリの助,ウホッ！？
飼育員,えぇっ、いいんですか！？相手ゴリラですよ！？
長門,気にするな。気に入ったのだろう？ならば大事にしろよ。それは……このビッグセブンの長門だけが持つことを許されるマストアイテムだ！！つまり……。ゴリの助。今日からお前もビッグセブンの……ひいては我々の一員だ！！。そして……共に拳を交えた友でもある。そいつは餞別だ。受け取ってくれ！
ゴリの助,ウッホ…………(泣)
卯月,ありがとう。我が友よ。これは一生の我が宝とする。だって。
長門,あぁ……また会おう！！ゴリの助！！
ゴリの助,ウホッ！！
卯月,これが……友情！！ってやつぴょん……うるうる(涙目)
フェニックス響,ハラショー……ハラショー！！
飼育員,さ、帰るぞ。ゴリの助！
ゴリの助,ウッホホーイ♪
提督,え……
ゴリの助,ウッホ//
提督,ちょ、バカ！！降ろせ！！いででででででで！！！！！
飼育員,おっ、ゴリの助！！そいつはまさかお前の彼女か？
ゴリの助,ウッホホ//
