あかり(24歳),きょ、京子ちゃん、飲み過ぎだよ
京子,はなせー！！>>7をしてる結衣に私の気持ちなんてわかるかぁ！！。プロゲーマーをしてる結衣なんかに私の気持ちがわかるかぁー！！
結衣,おまっ！？それは！？
綾乃,えぇ！？船見さんってプロゲーマーなの！？
向日葵,プロゲーマーってゲームで稼ぐあれことですわよね！？
結衣,はぁ…ごらく部のみんな以外には秘密にしてたのに…
櫻子,ゲーマーってどうやって稼ぐんですか？
結衣,どうって…主に賞金かな？後は、ほら…一応プロのチームに所属してるからそこから給料は出るよ
千歳,ゲームで稼げるなって時代は変わったんやなぁ…
あかり,今度のオリンピック選手の候補にも選ばれたもんね
結衣,候補だから選ばれないかもしれないけどね
ちなつ,大丈夫です！！どんなに結衣先輩落ちぶれようとも私が養いますから！！
結衣,は…はは、あ、ありがとう、千夏ちゃん
京子,ちなちゅー、私にはぁ…
ちなつ,京子先輩は自力で這い上がってください
京子,ひどいっ！？
千歳,ほんま、みんなすごいわぁ…ウチなんてただの>>9やし。ただのGL漫画原作やし
綾乃,その…また相方と上手くいってないの？
千歳,まぁ…ウチのせいやな、原作が悪いから売れないんやろうね
綾乃,そんな事ないわよ。千歳の作る…素直じゃない女の子と自由奔放の女の子の話、私は好きよ
千歳,そりゃ…そうやろな…。参考にしとるし
綾乃,え、何か言った？
千歳,なんにもあらへん。それより、みんなには内緒に…な
綾乃,わかってるわよ。でも、みんな受け入れてくれると思うわよ
千歳,ダメや。漫画の世界は売り上げが全て、なのに売れてない漫画の原作なんて恥ずかしくて名乗れへんよ…
ちなつ,どうしたんですか？そんな隅っこで？
綾乃,な、なんでもないないナイアガラよ！？
千歳,せ、せやな。吉川さんって何してるんやっけ、って話してたんや
ちなつ,2人で私の話？私は>>12をしてますよ。わたしはアイドゥルをしてますよ
綾乃・千歳,アイドル？
ちなつ,こほん…。愛と正義のアイドルっ娘ちなちゅ！！今日も華麗に参上！きゅるるーん！！名前を覚えて帰らないとメッだよ！！
綾乃,え…えぇ…
千歳,その個性的やな…
ちなつ,まぁこんな感じですね。まだまだ駆け出しですけどね。あっ、この前CD出たんで買ってくださいね。それと、今度深夜ですけどテレビにも出ますので絶対に見てくださいね
京子,ねぇねぇ、今の名乗りってミラクるんの真似してない？
ちなつ,そりゃ不本意ですけど似てますからね。利用するものはなんでも利用しないと
向日葵,すごく悪い顔してますわよ…
ちなつ,あっ、そうそう。向日葵ちゃんと櫻子ちゃんも今度のライブ来てよね。今ならチケットにサイン書いちゃうぞ！
向日葵,いえ、その…わたくしも>>15とかで忙しいですし
櫻子,あっ、私も>>16がなー
向日葵,スーツアクターとかで忙しいですし
櫻子,私も服屋がなー
ちなつ,あーはいはい。そう言えばそうだったわね。…なんでスーツアクターなんだっけ？
向日葵,え、いや、その…恥ずかしい話ですが、特撮にはまって/////
櫻子,そうそう、高校時代すごかったよね。ベルトとか買ってさー
向日葵,そ、それで、そういう仕事に関わりたいって思いまして…///
ちなつ,へー。で、どうなの？
向日葵,それは…その正直あまり動くのが得意でもないですし…何より着れるスーツが…
ちなつ,まぁ、子供番組でそのおっぱいじゃね
向日葵,うっ…
あかり,だ、大丈夫だよ。きっといつか向日葵ちゃんにぴったりのヒーローが出るよ！
向日葵,だと…いいのですが…正直、一時のテンションでなりましたが向いてないのかと…
千歳,わかる、その気持ちはわかるんよ！！
向日葵,池田先輩？
千歳,好きを仕事にしても上手くいくわけじゃない…でも、好きだから辞められない、その両バサミの辛い気持ち…ウチはわかるんよ
向日葵,…その通りですわ。わかってくれますのね、池田先輩！！
千歳,勿論や！！ウチは古谷さんの味方や！！
綾乃,良かったわね、千歳。理解者がいて
京子,はっ？なにこれ？
あかり,櫻子ちゃんも服屋はどうなの？
櫻子,どうって…うーん、難しいよね。服の組み合わせとか在庫とか覚えるのはあまり得意じゃないし
結衣,え、じゃあなんで服屋に？
櫻子,そこだけしか受からなかったからです！
結衣,そ、そうだったんだ
櫻子,いやー、何社も落ちちゃって、で最後の最後にそこが受かったんですよ！
あかり,櫻子ちゃん、すごく焦ってたよね…
櫻子,だって周りはみんな決まるし、ちなつちゃんはアイドルになるし。受かったらそこでいいかなーって
京子,でもさ、アパレルって大変らしいじゃん
櫻子,めっちゃ大変ですよ！！姉ちゃんにも言われたけど3年やったら転職しようかなーって思ってます
京子,あれ？そう言えば、あかりは何やってるんだっけ？
あかり,えぇー！？忘れちゃったの！？
京子,はははっ、あかりは大人になっても存在感がないなー
あかり,気にしてるんだから、からかわないでよ
向日葵,まぁまぁ、赤座さんは>>21でしたわよね。OLでしたわよね
京子,あー、なんというか普通だよね
あかり,京子ちゃん酷くない！？
ちなつ,あかりちゃんらしいっていうか、OLって感じですよね
結衣,うん、だね
あかり,満場一致！？。はぁ…明日は休みだから、明後日は仕事かぁ、嫌だなぁ
京子,おーい、あかりー！！
あかり,えっあれ、京子ちゃん、なんで？
京子,私だけじゃないぞー
向日葵,ど、どうも
千歳,さっきぶりやね
櫻子,うーっ、さぶっ！！あかりちゃん！！
あかり,わっ、さ、櫻子ちゃん、重いよぉ！？///
櫻子,はぁ…あったかぁい///
向日葵,あなたは何をしてますの。ほら、赤座さん困ってますわよ
櫻子,なんだよ、大人になってもうるさいおっ○いだなー
あかり,でも…どうしてみんなが？
京子,いやー、ほら、飲みなそうと思って。みんな色々とあるっぽいしさ
あかり,京子ちゃん…
向日葵,どうします、赤座さん？来たらあの場では話せなかった愚痴につき合っていただきますわよ
千歳,せや、ウチもいっぱい言いたいことあるんよ
あかり,向日葵ちゃん…池田先輩…
櫻子,行こう、あかりちゃん！！
あかり,ま、待ってよー！！櫻子ちゃん！京子ちゃん！
京子,ほらぁ、つぎぃ…おがばりぃ
あかり,きょ、京子ちゃん、本当に飲み過ぎだよぉ！？
向日葵,おっぴゃいがおおききってもぉ…いいじゃないですがぁ…ねぇ、あきゃぎゃびゃん！
あかり,ひぃ！？ひ、向日葵ちゃんも飲み過ぎだって！？だ、誰か助けて！？
櫻子,ぐー…がー…
千歳,ねたがぁ…ちづるぅ…
あかり,わわわっ！？だ、誰かぁ！？。え、あっ！西垣先生に松本会長！！
西垣,ほら、古谷。赤座から離れろ、そして水だ。松本は歳納を頼む
松本,…
京子,ぐーぐー…
向日葵,すー…すー…
西垣,やれやれ、全員ダウンか。大変だったな、赤座
あかり,あはは…みんな色々と溜まってるみたいで…
西垣,それが大人になるということだ。私から見ればまだまだ子供だがな
松本,…
西垣,ん、あっ、すまんすまん。タクシーも呼ばないとな
あかり,そんな悪いですよ
西垣,いいから甘えておけ。1人で全員送り返すのは大変だぞ。なっ、松本
松本,…
あかり,ありがとうございます、松本会長
松本,…
あかり,な、なんですか？
西垣,もう会長じゃないと言ってるぞ。今はただの松本りせだと
あかり,そうですか。それじゃ、松本さん
松本,…
あかり,えぇっと、松本さんは今何をしてるんですか？
松本,…
西垣,>>32だな。翻訳家だな
あかり,そうなんですね。松本さんって英語が得意なんですね
松本,…///
西垣,ん、赤座、それは違うぞ
あかり,へ、何がですか？
西垣,松本が翻訳するのは英語だけじゃないぞ。英語はもちろんだが、中国語、韓国語、イギリス語…その他、文字を使う国の翻訳は大体松本がやっている
あかり,そ、そうなんですか！？
西垣,あぁ、聞いたことはないか？如何なる言語でも翻訳する寡黙な美少女ってな
松本,…
西垣,ん？あぁ、すまない。松本はもう大人だったな。ただ、美少女と言われて嫌な気はしないだろう
松本,…
あかり,す、すごいんですね。松本さんって
松本,…/////
西垣,さて、そろそろタクシーも来るだろう。赤座、今度は一緒に飲もう。松本も赤座がいたほうが嬉しいみたいだからな
松本,…！？///
あかり,え、なんでですか？
西垣,それは…そのうちわかるさ。なっ、松本？
