［名・形動］飾りけがなく、清らかなこと。また、そのさま。,清楚なアイドル
文香,そうですね…こういう手合いは私は書くつもりはなかったのですが。事務員さんとプロデューサーさんに強く押されてつい…///というような言い訳でもするのでしょう…まったく…卑しさがとどまることを知りませんね…
夕美,ふん！卑しい！卑しいよ！私とおしとやかなお姉さんキャラが被ってるし！
文香・慶,おしとやかなお姉さんキャラ？
夕美,？
【青木慶】清楚力23,-1
【相葉夕美】清楚力19,-1
【鷺沢文香】清楚力23,-1
美波,3人とも。清楚力がまたダウンしたわ
3人,なにゆえに！？
美波,過度な他者批判は清楚力ダウンの原因になるのよ
文香,批判をすることさえ許されない世の中なんて…
夕美,私の清楚力が下がり続けちゃってるよ…
慶,こんな世界間違っています！
美波,でも、本当に清楚力を取り戻したいなら我慢しなきゃダメよ。節制と前向きな努力こそが清楚になれる唯一の道なの。わかるでしょう？
3人,…はい
美波,それじゃあ、この本を教科書代わりにすることにも異論ないかしら？
夕美,その人は本当に清楚なの？信用できるの？
美波,前に収録現場で見かけた時に清楚力を測ったら85あったわ
慶,は、85…！？
文香,け、計測ミスでは…？
美波,いいえ。私も認めたくはなかったけど、何度計測しても結果は同じだったわ
夕美,…。でも他の事務所の人の本を読むのはなんかヤダ。悔しい…
文香,同感です…
美波,気持ちはわかるわ。でも考えてみてちょうだい。敵の強さを認めて、清楚の秘訣を学び盗めば私たちも同じかそれ以上の清楚になれる。いまは己の弱さを受け入れるしかないの。最上級の清楚になるためにも。いまは安いプライドは捨て去る時なのよ！
【新田美波】清楚力29,+3
文香,み、美波さんの清楚力があがりました…
慶,す、すごいです！リーダーシップを発揮すると清楚力があがるのでしょうか！
美波,ふふふ、どうかしらね。それよりもみんな。特訓はどうするのかしら。私は1人でもこの本を参考に進めるつもりだけど、抜けたいなら構わないわよ？
3人,…
文香,私は…参加します…いまさら恥も何もありませんからね…
慶,私もです！すでに醜態を晒していますから！失うものなどありはしません！
美波,夕美ちゃんは？
夕美,…。やるよ！私も参加します！どんな手を使ってでも清楚に戻るんだから！
美波,決まりね！それじゃあビシバシ行くわよ！
3人,押忍！
美波,それじゃあ第1章から読んで追っていきましょう…第1章はえーと…清楚力を身に付けるためにはいかなる時も心を落ち着かせるべしですって
夕美,ふふん。なら私は大丈夫だね。落ち着きがあるもん♪
美波,自己肯定感の塊ね。この花は。どこからその自信が湧いて出てくるのかしら
文香,夕美さんはさておき…私はどうでしょう…自分で言うのも何ですが…人並み以上には落ち着いているのでは…？
慶,確かに夕美さんよりは落ち着いているとは思いますけど…文香さんが落ち着いた人間であるかと言われると…
夕美,2人とも待って
美波,そうね。夕美ちゃんはともかく。文香さんが落ち着いているというのも違和感があるわ。言い方は悪いけど、文香さんはローテンションではしゃぎ回るキッズだもの
文香,本当に言い方が悪いですね…が、私もそれは自覚しています…心を落ち着かせるとはどうすればできるのでしょう…
夕美,ねえ！みんな！待ってよ！おかしくないかなっ！
3人,？
夕美,私！落ち着いてるよ！
美波,そうね。花
文香,落ち着いていますね…花
慶,花ですね
夕美,私の扱いが雑だよ〜！
美波,はいはい。可愛いわよ夕美ちゃんは
夕美,でしょ〜♪
【相葉夕美】清楚力17,-1
美波,でもこれが現実よ。数字を直視なさい。夕美ちゃんはアイドルにあるまじき低レベルの清楚だわ
夕美,嫌ァァァ。また下がったァァァ
文香,この浅ましさ…むしろ私は好意を持ちますが…
慶,私も人間性は大好きですよ。ただ清楚ではないですよね
夕美,うるさいよ！こんちくしょう！絶対清楚になってみんなを見返してやるんだから！
美波,さあ！まずは走りなさい！何より走りなさい！身体を追い詰め、心も追い詰める！清楚はその先にあるのよ！
慶,うぉぉぉぉぉっ！！！
夕美,ヒィィィィィッ！
文香,
美波,おしとやかウォーク！
慶,うっふん
文香,あはん…
夕美,ふふん
美波,みんな。5日間の特訓お疲れ様でした。これで全行程は終了よ
文香,まるで一瞬のように感じてしまうほど厳しい特訓でしたね…
夕美,もうやりたくない…
慶,でも、あれだけのことをしたのですから清楚力に反映されているはずですよ！
美波,そうね。さっそくスカウターで計測してみましょう
3人,お願いしまーす
夕美,あるぇー！？思ったより伸びてない！？
慶,まあ、たった5日の特訓ですから
文香,ふむ…標準ラインは超えているものの…清楚を売りにしたアイドルとしてはまだまだ物足りないですね…
美波,そうね。でも5日で20も伸びているのよ。上出来じゃない。目標達成は出来なかったけどみんな頑張ったわよ
慶,ええ。あとは各々で伸ばしていくのがいいのではないでしょうか。清楚になりたいという心構えがあればきっと元に戻れますよ
文香,そうですね…5日で20上がったということは1日4清楚…50日で200…365日で1460の清楚力があがる計算になります…
慶,最大100ですよ。計算ガバガバですね
文香,冗談です…
美波,もう文香さんったら
夕美,んー…あれだけ頑張っても清楚力があがらないなんて…もっと手っ取り早く清楚力を上げる方法はないのかな…
美波,どうかしたの？夕美ちゃん？
夕美,う、ううん。何でもないよ
藍子,こんにちは。みなさん明けましておめでとうございます♪
美波,あら、明けましておめでとう藍子ちゃん
文香,明けましておめでとうございます…
慶,明けましておめでとうございます！
夕美,明けましておめでとう♪
藍子,はい♪ところで皆さん。ここ数日、道場にこもっていたようですが何をしていたんですか？仕事とレッスンが終わるなりそそくさと帰っていたのでプロデューサーさんも心配していましたよ？
美波,あら、そうだったの。実はみんなで集まって清楚力を上げていたのよ
藍子,…清楚力？
文香,個人の清楚さを数値化したものです…
藍子,なるほど。よくわからないけど。また愉快なことをしてるなぁ…このお姉さんたち…
美波,ほら。このスカウターで清楚力を測るのよ。ええと…藍子ちゃんの清楚力は、っと
4人,87ァ！？
藍子,？
美波,ぐぅぅぅっ！！な、何なの！この清楚力は！？
文香,浄化されていく…ゆるふわの清楚エネルギーに…身も心も浄化されていく…
夕美,うわぁぁぁぁぁぁ！！
慶,何という清楚力なんでしょう！
藍子,え、ええっ！？みなさん一体どうしたんですか！？
美波,くっ…新年早々、低清楚の私達を嘲笑いに来たのかしら！
文香,浅ましい…浅ましいですよ…
夕美,藍子ちゃんがそんなひどい後輩だったなんて知らなかったよ！
慶,藍子ちゃんはぺったんこまな板仲間だと思っていたのに！もうささみを分けてあげません！
藍子,反応に困るのでいわれのない罵倒はやめてください！？
美波,ふん。清楚力を鍛えるために頑張っていた私たちのモチベーションを下げる藍子ちゃんなんてもう…あら？
夕美,どうかしたの？美波ちゃん？
美波,ふ、文香さん！？清楚力が上がっているわ！
文香,…？。い、いきなり10近くも上昇しています…これは一体…？
美波,よく見たら夕美ちゃんも慶さんも上昇しているわ！
夕美,ホントだ！やったあ！
慶,なぜでしょうね！
文香,恐らく…藍子ちゃんの影響でしょう…いうならばこれは清楚浴…森林浴の清楚版です…ほとばしるほどの清楚オーラにあてられたことで…我々の清楚力も呼応して上昇したのでしょう…
3人,なるほど！
藍子,もう帰っていいのかな
美波,駄目よ。もう少しここにいてちょうだい
藍子,心を読まないでください
美波,…やっぱりそうね。藍子ちゃんに近づけば近づくほど、そして近づいていた時間が長いほど清楚力が上がっていくみたいね
慶,ええ。ですがその反面…
文香,朱に交われば何とやら…藍子ちゃんの清楚力も下がってしまうようです…
藍子,未だに何のことかよくわからないのですが、もう帰ってもーーー
夕美,ダメ！
藍子,むぐっ！抱きつかれると暑苦しいです
夕美,ふふん。こうして抱きついてれば清楚力があがるんだもん！天啓とみたり！こんな手っ取り早い方法があるなら最初からそうすればよかったよ！
慶,藍子ちゃんの清楚力がどんどん吸収されてますね
美波,花どころか、もはや寄生植物ね
文香,私も…清楚力をあげたいことには変わりませんが…清楚浴はしょせん一過性のものでしょう…藍子ちゃんから離れればすぐに数値は下がっていきます…努力をしなければ身に付かないということですね…
美波,そうね。もう呼び戻しましょう。夕美ちゃん、清楚浴はあまり効果がないからそろそろ藍子ちゃんを解放してあげて…
夕美,閃いた！事務所にいる清楚な子をどんどん拉致してエネルギーを吸収すれば、簡単に清楚になれるよ！
美波,老魔女みたいなことをすごくいい笑顔で言っているわ。あの花
文香,夕美さん…そのような浅はかな考えは長く続きません…オチがもう見えていますよ…
慶,はい。そろそろやめましょうね
夕美,ええと、事務所にいる清楚なアイドルは〜、っと♪
3人,聞いちゃいねぇ
藍子,…あの。私もう帰ってもいいですか？
美波,ええ、ごめんなさいね。あとでケーキ買ってきてあげるから。今日の分の埋め合わせはそれで許してちょうだい
藍子,わぁ。ありがとうございます♪
文香,…さて、我々は夕美さんを最後まで見守りましょうか
慶,ですね
夕美,捕獲！ぴちぴちの清楚ゲット！
ゆかり,いきなり抱きつかれてしまいました…これは新手の挨拶なのでしょうか♪
夕美,うん！そうだよ！。また捕獲！新しい清楚を捕まえたよ！
茄子,あらあら〜。どうかしたのですか？
夕美,何も聞かずにこのままハグさせててください！。清楚！
肇,？
夕美,私に力を分けてください！
詩織,？
夕美,ふんぬらば！
聖,ちょっと苦しいです♪
夕美,にゃー！
星花,ふふふ。情熱的な抱擁ですわね♪
夕美,どっせーい！いい香り！
久美子,？
夕美,たくさんの清楚が集まりました！これだけの人数に囲まれれば私の清楚力もうなぎのぼりだよ！がははは！
美波,もう末路が見えているわね
慶,ロウソクの火って消えかけが1番激しく燃えるんですよ
文香,最後の輝きですね…
夕美,ほら来た！ついに清楚力が90を突破だよ！このまま100を目指してアイドル界最強の清楚に…
ゆかり,すみません。そろそろ用事があるので失礼しますね
夕美,え？
茄子,私もそろそろ♪
夕美,え、ちょっ、ちょっと待っ
肇,それでは。今年もよろしくお願いします
詩織,失礼しますね♪
聖,ハグされて嬉しかったですよ♪では
星花,今度はわたくしからハグさせてもらいますわね
久美子,じゃ、またね
夕美,み、みんなァァァ！！！待ってェェェ！！！。…。ああ…。あ、あれ？ちょっと減りすぎ…。一気に下がっちゃってる！？
美波,がはははなんて笑い方をしてればそうなるわよね
文香,同情の余地なしですね…
慶,当然の帰結ですよ
夕美,うわぁぁぁぁぁん！！。…
P,…なあ美波
美波,はい？
P,さっきから夕美は何をしてるの？
美波,清楚トレーニングです
P,？
夕美,…。…っ！もう無理！脚が痺れるー！
慶,あ！夕美さん！正座を崩してはいけません！まだ5分しか経ってませんよ！さあ！まだまだ続けますよー！
文香,自分から厳しくして欲しいと言ったのでしょう…頑張ってください…
夕美,足の裏を突くのは嫌ァァァ。やめてェェェ
P,新年から楽しそうね
夕美,プロデューサーさん！助けてェ！
それより美波の,言い方は悪いけど、文香さんはローテンションではしゃぎ回るキッズだもの
そもそも,清楚力
