月山シノブは子供たち,と一部の大きなお友達
フタバ,っていう事があって…。それにしたって…一緒に居ればシノブくんが普通に男の子だって分かりますよ…
出水,……いや？シノブくんは女の子だよ？
アカギ,え゛っ！？
フタバ,……嘘ですよね？
出水,フフッ…さて、どうだろうね？
アカギ,そんな…！でも、仮にそうだとしてもあの子なら何ら不思議じゃない…？
フタバ,本庄さんも本気にしないで下さい！
ツラヌキ,こうなったら…！シノブの股くらを直接触ってイチモツが付いてるか確かめて！
アキタ,アイツはプロの忍者だ。触れようとした途端に腕を捻られるのがオチだ
ツラヌキ,クッソ～！なんか良いアイディアはねェのかよ！
ハヤト,……それなら、シノブを大宮の温泉に誘うってのはどうかな？
ツラヌキ,何だって？
アキタ,話は読めた！それならこちらの真意を悟られずに、シノブが男かどうか確認できる！
ｼｬｼｮｯﾄ,成る程～でありまーす！
ハヤト,うん！と言っても、今集まれるのは大宮支部のメンバーだけなんだけどね。……ツラヌキの言う通りシノブの正体が女の子なら、そもそもこの話には乗らないと思うけど…。そ、そっか！じゃあ今度の土曜に大宮支部に集合だよ！
シノブ,待たせた
ハヤト,全然待ってないよ！じゃあ、早速行こっか！
シノブ,ん。……んっ？
ツラヌキ,………
アキタ,………
シノブ,……どうかしたか？
ハヤト,な…何でもないよ！。二人ともジロジロ見すぎだよ～！
シノブ,……？。………
ツラヌキ,………
アキタ,………
シノブ,……何か、凄い視線を感じる…
ハヤト,二人とも…！そんなにチラチラ見てたら流石に怪しまれるよ～…！
ツラヌキ,……あっ、ああ…しかしどーしても気になってなぁ…
シノブ,………
アキタ,……んっ？。まだ上着すら脱いでないのに、どうして手を止めた…？
シノブ,……ちょっと、トイレ行ってくる
アキタ,なにッ！？
ツラヌキ,─ッ！？シノブッ！やっぱりお前実はおんn─
ハヤト,なっ！何でもないよ～シノブ～！いってらっしゃい！
ツラヌキ,ん゛～！ん゛～！
シノブ,……？…ああ…
ツラヌキ,ん゛ん゛…何すんだよハヤト！
ハヤト,何って今シノブのこと“女だろ”って言おうとしたでしょー！？。まだ完全に女の子だって決まった訳じゃないでしょ！決めつけはよくないよ！
ツラヌキ,ンだとォ！
アキタ,止めろ二人とも。こうなったら仕方ない…先に風呂に入ってシノブが来るのを待つぞ
ツラヌキ,全くもって今まで気付かなかったぜ！シノブのヤツが女だったなんて！
ハヤト,だからまだ決まった訳じゃないって！
トイレから戻ってきたシノブがここ,男湯
ハヤト,……シノブの正体は、女の子…？
アキタ,ああ…その可能性は、高くなるな
ハヤト,─ッ！！。来た！ってことはやっぱりシノブは男の─
シノブ,私服
ハヤト,……って、あれ！？
ツラヌキ,シノブ！お前何で服着たまま入って来てんだ！？。これじゃあ男か女か確認できねェじゃんか～！
ハヤト,何だって！？ならオレたちもいかなきゃ！
ツラヌキ,あーもう！せっかくのチャンスがここまで来て～！
アキタ,言ってる場合か！急ぐぞ！
シノブ,……？。チャンス？何のこと…？
ハヤト,それから、巨大怪物体との戦いやら何やらで結局温泉は中止となりました
ツラヌキ,あーあ…結局シノブの性別は謎のままかぁ～…
ハヤト,ははっ…まだ疑ってるんだ…
アキタ,で、どうするつもりだ？また温泉にでも誘ってみるか？
ツラヌキ,いやいや…小学生の財力じゃこれ以上の散財はキツいって…。……それに…ひとつ思ったんだよ、オレ
ハヤト,えっ？。ツラヌキ…！
アキタ,……フッ…話は読めた。そういうことなら、もうシノブへの詮索は止めだな
ツラヌキ,おうよ！
ハヤト,そっか！良かった！。………。……でも…もしもシノブが、ツラヌキの言うように本当は女の子だとしたら…。もしもアキタの言うような、数パーセントの可能性が事実だとしたら…。……もしもあの時、温泉に入ってきたシノブが……女の子だったら…。………。って！何考えてんだよオレーッ！！。はぁ…うっ。……ちょっとトイレ…。ふぅ…
シノブ,………
ハヤト,あっ！シノブ！
シノブ,んっ？…なに？
ハヤト,えっ！あっ、いや！何でもないよ！
シノブ,……？
ハヤト,………
シノブ,………
ハヤト,………。……あっ、ついてる…
これにより、凡そ半年に渡り繰り広げられた,月山シノブ女の子説論争
